QUARTER,TIME_REMAINING,UTAH_ACTION,HOUSTON_ACTION,UTAH_SCORE,HOUSTON_SCORE
3,9:45.0,Shooting foul by J. Harden (drawn by R. Gobert),,50,62
3,9:45.0,R. Gobert makes free throw 1 of 2,,51,62
3,9:45.0,R. Gobert makes free throw 2 of 2,,52,62
3,9:28.0,,C. Capela misses 2-pt layup from 3 ft,52,62
3,9:25.0,Defensive rebound by R. Gobert,,52,62
3,9:20.0,R. Rubio makes 2-pt layup from 1 ft,,54,62
3,9:19.0,,Houston full timeout,54,62
3,9:01.0,,C. Capela makes 2-pt dunk from 2 ft (assist by C. Paul),54,64
3,8:45.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Favors),,57,64
3,8:32.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),57,66
3,8:19.0,R. Gobert makes 2-pt dunk at rim (assist by R. Rubio),,59,66
3,8:08.0,,J. Harden misses 2-pt jump shot from 7 ft,59,66
3,8:04.0,Defensive rebound by D. Mitchell,,59,66
3,7:57.0,D. Mitchell makes 2-pt jump shot from 11 ft,,61,66
3,7:45.0,,P. Tucker misses 3-pt jump shot from 26 ft,61,66
3,7:42.0,,Offensive rebound by J. Harden,61,66
3,7:40.0,,J. Harden misses 2-pt layup from 5 ft,61,66
3,7:39.0,,Offensive rebound by Team,61,66
3,7:39.0,Loose ball foul by R. Rubio (drawn by J. Harden),,61,66
3,7:34.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),61,68
3,7:19.0,Personal foul by J. Harden (drawn by R. Gobert),,61,68
3,7:08.0,Turnover by D. Mitchell (bad pass),,61,68
3,6:57.0,,J. Harden misses 3-pt jump shot from 25 ft,61,68
3,6:54.0,Defensive rebound by J. Ingles,,61,68
3,6:50.0,Personal foul by J. Harden (drawn by J. Ingles),,61,68
3,6:40.0,D. Mitchell misses 2-pt jump shot from 8 ft,,61,68
3,6:37.0,,Defensive rebound by C. Capela,61,68
3,6:34.0,,Personal foul by D. Mitchell (drawn by C. Paul),61,68
3,6:29.0,,Turnover by J. Harden (lost ball; steal by R. Rubio),61,68
3,6:27.0,Turnover by R. Gobert (bad pass),,61,68
3,6:18.0,,C. Paul misses 3-pt jump shot from 25 ft,61,68
3,6:15.0,Defensive rebound by R. Gobert,,61,68
3,6:01.0,R. Rubio misses 3-pt jump shot from 25 ft,,61,68
3,5:58.0,,Defensive rebound by C. Capela,61,68
3,5:49.0,,C. Paul misses 3-pt jump shot from 23 ft,61,68
3,5:45.0,,Offensive rebound by C. Capela,61,68
3,5:43.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by C. Capela),61,71
3,5:26.0,Turnover by D. Favors (out of bounds lost ball),,61,71
3,5:26.0,J. Crowder enters the game for D. Favors,,61,71
3,5:26.0,R. O'Neale enters the game for J. Ingles,,61,71
3,5:26.0,,D. House enters the game for E. Gordon,61,71
3,5:26.0,,A. Rivers enters the game for C. Paul,61,71
3,5:15.0,,J. Harden misses 3-pt jump shot from 26 ft,61,71
3,5:12.0,Defensive rebound by D. Mitchell,,61,71
3,5:03.0,R. Rubio misses 3-pt jump shot from 24 ft,,61,71
3,5:01.0,,Defensive rebound by J. Harden,61,71
3,4:54.0,,J. Harden makes 2-pt layup at rim,61,73
3,4:54.0,,Shooting foul by R. Gobert (drawn by J. Harden),61,73
3,4:54.0,,K. Faried enters the game for C. Capela,61,73
3,4:54.0,,J. Harden makes free throw 1 of 1,61,74
3,4:47.0,Personal foul by A. Rivers (drawn by D. Mitchell),,61,74
3,4:47.0,J. Crowder misses 3-pt jump shot from 26 ft,,61,74
3,4:30.0,,Defensive rebound by J. Harden,61,74
3,4:26.0,,J. Harden misses 2-pt layup from 2 ft (block by R. Gobert),61,74
3,4:23.0,Defensive rebound by R. Rubio,,61,74
3,4:20.0,Offensive foul by R. O'Neale (drawn by K. Faried),,61,74
3,4:20.0,Turnover by R. O'Neale (offensive foul),,61,74
3,4:08.0,,J. Harden misses 3-pt jump shot from 26 ft,61,74
3,4:04.0,Defensive rebound by D. Mitchell,,61,74
3,3:55.0,J. Crowder misses 3-pt jump shot from 25 ft,,61,74
3,3:52.0,,Defensive rebound by Team,61,74
3,3:44.0,,A. Rivers makes 2-pt layup from 1 ft,61,76
3,3:44.0,,Shooting foul by R. O'Neale (drawn by A. Rivers),61,76
3,3:44.0,,A. Rivers misses free throw 1 of 1,61,76
3,3:44.0,Defensive rebound by R. Gobert,,61,76
3,3:32.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by R. Rubio),,64,76
3,3:09.0,,J. Harden makes 3-pt jump shot from 25 ft,64,79
3,2:59.0,Personal foul by K. Faried (drawn by R. Gobert),,64,79
3,2:59.0,Utah full timeout,,64,79
3,2:59.0,J. Ingles enters the game for R. Rubio,,64,79
3,2:59.0,,G. Green enters the game for P. Tucker,64,79
3,2:59.0,R. Gobert makes free throw 1 of 2,,65,79
3,2:59.0,R. Gobert makes free throw 2 of 2,,66,79
3,2:43.0,,K. Faried makes 2-pt dunk from 1 ft (assist by D. House),66,81
3,2:27.0,Def 3 sec tech foul by Team,,66,81
3,2:27.0,D. Mitchell misses technical free throw,,66,81
3,2:27.0,Offensive rebound by Team,,66,81
3,2:27.0,D. Favors enters the game for R. Gobert,,66,81
3,2:19.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by J. Ingles),,69,81
3,2:03.0,,D. House misses 3-pt jump shot from 26 ft,69,81
3,1:59.0,Defensive rebound by D. Favors,,69,81
3,1:59.0,,C. Paul enters the game for J. Harden,69,81
3,1:55.0,Turnover by D. Mitchell (lost ball; steal by A. Rivers),,69,81
3,1:43.0,,K. Faried makes 2-pt dunk from 1 ft (assist by C. Paul),69,83
3,1:26.0,Shooting foul by K. Faried (drawn by J. Crowder),,69,83
3,1:26.0,J. Crowder makes free throw 1 of 2,,70,83
3,1:26.0,R. Neto enters the game for D. Mitchell,,70,83
3,1:26.0,J. Crowder makes free throw 2 of 2,,71,83
3,1:14.0,,G. Green misses 3-pt jump shot from 25 ft,71,83
3,1:12.0,Defensive rebound by J. Crowder,,71,83
3,0:57.0,J. Crowder misses 3-pt jump shot from 26 ft,,71,83
3,0:55.0,,Defensive rebound by K. Faried,71,83
3,0:43.0,,C. Paul misses 2-pt jump shot from 11 ft,71,83
3,0:41.0,Defensive rebound by J. Ingles,,71,83
3,0:26.0,R. O'Neale misses 2-pt layup from 1 ft,,71,83
3,0:25.0,,Defensive rebound by K. Faried,71,83
3,0:03.0,,K. Faried misses 2-pt hook shot from 7 ft,71,83
3,0:02.0,Defensive rebound by D. Favors,,71,83
3,0:00.0,R. O'Neale misses 3-pt jump shot from 40 ft,,71,83
3,0:00.0,Offensive rebound by Team,,71,83
4,11:49.0,Shooting foul by G. Green (drawn by K. Korver),,71,83
4,11:49.0,K. Korver makes free throw 1 of 3,,72,83
4,11:49.0,K. Korver makes free throw 2 of 3,,73,83
4,11:49.0,K. Korver misses free throw 3 of 3,,73,83
4,11:49.0,,Defensive rebound by G. Green,73,83
4,11:35.0,,Personal foul by K. Korver (drawn by G. Green),73,83
4,11:35.0,,E. Gordon enters the game for G. Green,73,83
4,11:25.0,,C. Paul makes 2-pt layup from 1 ft,73,85
4,11:08.0,D. Favors makes 2-pt dunk from 1 ft (assist by J. Ingles),,75,85
4,10:49.0,,Shooting foul by D. Favors (drawn by K. Faried),75,85
4,10:49.0,,K. Faried makes free throw 1 of 2,75,86
4,10:49.0,,K. Faried makes free throw 2 of 2,75,87
4,10:39.0,Personal foul by C. Paul (drawn by J. Crowder),,75,87
4,10:39.0,,C. Capela enters the game for K. Faried,75,87
4,10:26.0,D. Favors misses 2-pt layup from 1 ft (block by C. Capela),,75,87
4,10:22.0,,Defensive rebound by C. Paul,75,87
4,10:20.0,,D. House makes 3-pt jump shot from 22 ft (assist by C. Paul),75,90
4,10:06.0,J. Crowder misses 2-pt layup from 1 ft,,75,90
4,10:05.0,,Defensive rebound by Team,75,90
4,10:05.0,R. Gobert enters the game for J. Crowder,,75,90
4,10:05.0,D. Mitchell enters the game for R. Neto,,75,90
4,9:52.0,,C. Paul makes 2-pt layup from 1 ft,75,92
4,9:27.0,D. Mitchell misses 3-pt jump shot from 36 ft,,75,92
4,9:27.0,Offensive rebound by Team,,75,92
4,9:27.0,Turnover by Team (shot clock),,75,92
4,9:15.0,,Personal foul by K. Korver (drawn by C. Paul),75,92
4,9:15.0,R. Rubio enters the game for D. Favors,,75,92
4,9:15.0,T. Sefolosha enters the game for J. Ingles,,75,92
4,9:08.0,,D. House makes 3-pt jump shot from 26 ft (assist by C. Paul),75,95
4,8:53.0,Shooting foul by A. Rivers (drawn by D. Mitchell),,75,95
4,8:53.0,D. Mitchell makes free throw 1 of 2,,76,95
4,8:53.0,D. Mitchell makes free throw 2 of 2,,77,95
4,8:42.0,,Personal foul by K. Korver (drawn by A. Rivers),77,95
4,8:36.0,,C. Paul makes 2-pt jump shot from 16 ft,77,97
4,8:22.0,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by R. Rubio),,80,97
4,8:03.0,,D. House misses 3-pt jump shot from 25 ft,80,97
4,8:00.0,Defensive rebound by K. Korver,,80,97
4,7:58.0,Turnover by D. Mitchell (traveling),,80,97
4,7:58.0,R. O'Neale enters the game for K. Korver,,80,97
4,7:58.0,,J. Harden enters the game for C. Paul,80,97
4,7:45.0,,D. House makes 2-pt dunk at rim (assist by J. Harden),80,99
4,7:45.0,,P. Tucker enters the game for A. Rivers,80,99
4,7:21.0,R. O'Neale misses 3-pt jump shot from 25 ft,,80,99
4,7:18.0,,Defensive rebound by P. Tucker,80,99
4,7:09.0,,D. House misses 3-pt jump shot from 23 ft,80,99
4,7:06.0,Defensive rebound by T. Sefolosha,,80,99
4,6:54.0,R. Gobert makes 2-pt layup from 1 ft,,82,99
4,6:39.0,,Houston full timeout,82,99
4,6:39.0,,I. Shumpert enters the game for D. House,82,99
4,6:32.0,,Offensive foul by J. Harden (drawn by T. Sefolosha),82,99
4,6:32.0,,Turnover by J. Harden (offensive foul),82,99
4,6:24.0,Shooting foul by C. Capela (drawn by R. Gobert),,82,99
4,6:24.0,R. Gobert makes free throw 1 of 2,,83,99
4,6:24.0,J. Ingles enters the game for R. O'Neale,,83,99
4,6:24.0,R. Gobert makes free throw 2 of 2,,84,99
4,6:09.0,,E. Gordon makes 3-pt jump shot from 26 ft,84,102
4,5:49.0,R. Rubio misses 2-pt layup from 1 ft,,84,102
4,5:43.0,Offensive rebound by R. Gobert,,84,102
4,5:43.0,R. Gobert makes 2-pt dunk at rim,,86,102
4,5:36.0,,Turnover by C. Capela (off goaltending),86,102
4,5:18.0,T. Sefolosha misses 3-pt jump shot from 24 ft,,86,102
4,5:14.0,,Defensive rebound by I. Shumpert,86,102
4,5:07.0,,J. Harden makes 2-pt layup from 1 ft,86,104
4,4:40.0,T. Sefolosha misses 2-pt jump shot from 17 ft,,86,104
4,4:38.0,,Defensive rebound by C. Capela,86,104
4,4:32.0,,Shooting foul by R. Gobert (drawn by J. Harden),86,104
4,4:32.0,,J. Harden makes free throw 1 of 2,86,105
4,4:32.0,G. Allen enters the game for R. Rubio,,86,105
4,4:32.0,,C. Paul enters the game for E. Gordon,86,105
4,4:32.0,,J. Harden makes free throw 2 of 2,86,106
4,4:23.0,J. Ingles misses 2-pt layup from 1 ft,,86,106
4,4:23.0,Offensive rebound by R. Gobert,,86,106
4,4:23.0,R. Gobert misses 2-pt layup from 1 ft,,86,106
4,4:21.0,,Defensive rebound by C. Capela,86,106
4,4:09.0,,J. Harden misses 3-pt jump shot from 23 ft,86,106
4,4:05.0,Defensive rebound by R. Gobert,,86,106
4,3:56.0,T. Sefolosha misses 3-pt jump shot from 24 ft,,86,106
4,3:52.0,,Defensive rebound by J. Harden,86,106
4,3:48.0,,J. Harden makes 2-pt layup from 1 ft,86,108
4,3:35.0,D. Mitchell misses 2-pt jump shot from 6 ft,,86,108
4,3:33.0,Offensive rebound by D. Mitchell,,86,108
4,3:25.0,D. Mitchell makes 2-pt jump shot from 16 ft,,88,108
4,3:01.0,,C. Paul makes 2-pt jump shot from 11 ft,88,110
4,3:01.0,Utah full timeout,,88,110
4,3:01.0,R. Neto enters the game for R. Gobert,,88,110
4,3:01.0,G. Niang enters the game for J. Ingles,,88,110
4,3:01.0,E. Udoh enters the game for D. Mitchell,,88,110
4,3:01.0,,K. Faried enters the game for C. Capela,88,110
4,3:01.0,,G. Green enters the game for J. Harden,88,110
