QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
2,1:52.0,,A. Drummond misses 2-pt layup from 3 ft (block by K. Bazemore),53,40
2,1:48.0,Defensive rebound by A. Len,,53,40
2,1:46.0,A. Len misses 2-pt layup from 3 ft,,53,40
2,1:46.0,Offensive rebound by Team,,53,40
2,1:46.0,,Loose ball foul by A. Drummond (drawn by D. Dedmon),53,40
2,1:46.0,D. Dedmon makes free throw 1 of 2,,54,40
2,1:46.0,J. Anderson enters the game for D. Bembry,,54,40
2,1:46.0,D. Dedmon makes free throw 2 of 2,,55,40
2,1:32.0,,B. Griffin misses 2-pt jump shot from 9 ft (block by D. Dedmon),55,40
2,1:32.0,Defensive rebound by J. Anderson,,55,40
2,1:32.0,Personal foul by B. Griffin (drawn by J. Anderson),,55,40
2,1:32.0,J. Anderson makes free throw 1 of 2,,56,40
2,1:32.0,J. Anderson makes free throw 2 of 2,,57,40
2,1:16.0,,B. Griffin misses 3-pt jump shot from 23 ft,57,40
2,1:13.0,Defensive rebound by T. Young,,57,40
2,1:11.0,T. Young misses 3-pt jump shot from 29 ft,,57,40
2,1:06.0,,Defensive rebound by R. Jackson,57,40
2,1:01.0,,B. Griffin makes 3-pt jump shot from 24 ft (assist by R. Jackson),57,43
2,0:45.0,K. Bazemore misses 3-pt jump shot from 24 ft,,57,43
2,0:41.0,,Defensive rebound by S. Johnson,57,43
2,0:25.0,,B. Griffin misses 3-pt jump shot from 28 ft,57,43
2,0:23.0,Defensive rebound by J. Anderson,,57,43
2,0:04.0,A. Len misses 3-pt jump shot from 27 ft,,57,43
2,0:01.0,,Defensive rebound by B. Griffin,57,43
2,0:01.0,,Turnover by B. Griffin (lost ball; steal by D. Dedmon),57,43
3,11:44.0,K. Huerter makes 2-pt layup from 1 ft (assist by D. Dedmon),,59,43
3,11:26.0,,R. Jackson makes 2-pt jump shot from 10 ft (assist by A. Drummond),59,45
3,11:07.0,Personal foul by A. Drummond (drawn by D. Dedmon),,59,45
3,11:01.0,K. Bazemore misses 3-pt jump shot from 26 ft,,59,45
3,10:58.0,,Defensive rebound by A. Drummond,59,45
3,10:48.0,,R. Bullock misses 3-pt jump shot from 24 ft,59,45
3,10:45.0,Defensive rebound by D. Dedmon,,59,45
3,10:42.0,Turnover by T. Young (traveling),,59,45
3,10:30.0,,Personal foul by D. Dedmon (drawn by B. Griffin),59,45
3,10:26.0,,Personal foul by D. Dedmon (drawn by B. Griffin),59,45
3,10:26.0,V. Carter enters the game for D. Dedmon,,59,45
3,10:12.0,,B. Brown misses 2-pt layup from 7 ft (block by K. Huerter),59,45
3,10:09.0,Defensive rebound by V. Carter,,59,45
3,10:07.0,K. Bazemore misses 2-pt layup from 3 ft,,59,45
3,10:05.0,,Defensive rebound by A. Drummond,59,45
3,9:59.0,,R. Jackson misses 3-pt jump shot from 30 ft,59,45
3,9:54.0,Defensive rebound by K. Bazemore,,59,45
3,9:52.0,T. Young makes 2-pt layup from 3 ft (assist by K. Bazemore),,61,45
3,9:28.0,,A. Drummond makes 2-pt layup from 3 ft (assist by R. Jackson),61,47
3,9:16.0,A. Len misses 2-pt layup from 3 ft,,61,47
3,9:15.0,Offensive rebound by A. Len,,61,47
3,9:11.0,A. Len misses 2-pt layup from 5 ft (block by A. Drummond),,61,47
3,9:07.0,,Defensive rebound by B. Brown,61,47
3,9:05.0,,B. Brown misses 2-pt layup from 5 ft,61,47
3,9:01.0,,Offensive rebound by A. Drummond,61,47
3,9:00.0,,A. Drummond makes 2-pt layup from 2 ft,61,49
3,8:48.0,V. Carter misses 3-pt jump shot from 26 ft,,61,49
3,8:44.0,,Defensive rebound by B. Brown,61,49
3,8:33.0,,B. Brown makes 3-pt jump shot from 26 ft,61,52
3,8:32.0,Atlanta full timeout,,61,52
3,8:13.0,K. Bazemore misses 2-pt jump shot from 10 ft,,61,52
3,8:13.0,Offensive rebound by A. Len,,61,52
3,8:08.0,A. Len makes 2-pt dunk from 1 ft,,63,52
