QUARTER,TIME_REMAINING,CHICAGO_ACTION,SACRAMENTO_ACTION,CHICAGO_SCORE,SACRAMENTO_SCORE
2,6:55.0,,Sacramento full timeout,27,36
2,6:34.0,,B. Hield makes 3-pt jump shot from 27 ft (assist by H. Barnes),27,39
2,6:13.0,O. Porter misses 2-pt jump shot from 13 ft,,27,39
2,6:11.0,Offensive rebound by C. Felício,,27,39
2,6:11.0,R. Lopez enters the game for C. Felício,,27,39
2,6:11.0,L. Markkanen enters the game for O. Porter,,27,39
2,6:07.0,Turnover by K. Dunn (bad pass; steal by B. Bogdanović),,27,39
2,5:59.0,,Shooting foul by R. Lopez (drawn by W. Cauley-Stein),27,39
2,5:59.0,,W. Cauley-Stein misses free throw 1 of 2,27,39
2,5:59.0,,Offensive rebound by Team,27,39
2,5:59.0,R. Arcidiacono enters the game for S. Harrison,,27,39
2,5:59.0,,W. Cauley-Stein makes free throw 2 of 2,27,40
2,5:45.0,Turnover by Z. LaVine (bad pass),,27,40
2,5:30.0,,H. Barnes misses 3-pt jump shot from 25 ft,27,40
2,5:27.0,,Offensive rebound by W. Cauley-Stein,27,40
2,5:25.0,,B. Bogdanović makes 2-pt layup from 4 ft (assist by W. Cauley-Stein),27,42
2,5:12.0,K. Dunn misses 2-pt layup from 7 ft (block by B. Hield),,27,42
2,5:12.0,,Defensive rebound by B. Hield,27,42
2,5:10.0,,H. Barnes makes 2-pt dunk from 4 ft (assist by C. Brewer),27,44
2,5:10.0,Chicago full timeout,,27,44
2,5:00.0,K. Dunn makes 2-pt jump shot from 14 ft (assist by L. Markkanen),,29,44
2,4:40.0,,H. Barnes makes 2-pt layup from 6 ft,29,46
2,4:25.0,Shooting foul by B. Hield (drawn by R. Lopez),,29,46
2,4:25.0,R. Lopez makes free throw 1 of 2,,30,46
2,4:25.0,,D. Fox enters the game for B. Hield,30,46
2,4:25.0,R. Lopez misses free throw 2 of 2,,30,46
2,4:19.0,,Defensive rebound by W. Cauley-Stein,30,46
2,4:12.0,,W. Cauley-Stein misses 2-pt hook shot from 5 ft (block by R. Lopez),30,46
2,4:08.0,,Offensive rebound by W. Cauley-Stein,30,46
2,4:04.0,,B. Bogdanović misses 2-pt layup from 6 ft,30,46
2,4:01.0,Defensive rebound by L. Markkanen,,30,46
2,3:49.0,K. Dunn misses 3-pt jump shot from 26 ft,,30,46
2,3:47.0,,Defensive rebound by W. Cauley-Stein,30,46
2,3:47.0,,N. Bjelica enters the game for C. Brewer,30,46
2,3:31.0,,N. Bjelica misses 2-pt jump shot from 18 ft,30,46
2,3:29.0,Defensive rebound by K. Dunn,,30,46
2,3:28.0,L. Markkanen makes 2-pt dunk from 6 ft (assist by K. Dunn),,32,46
2,3:17.0,,Turnover by W. Cauley-Stein (bad pass),32,46
2,3:00.0,L. Markkanen misses 3-pt jump shot from 27 ft,,32,46
2,2:58.0,,Defensive rebound by W. Cauley-Stein,32,46
2,2:56.0,,Turnover by W. Cauley-Stein (lost ball; steal by Z. LaVine),32,46
2,2:51.0,Z. LaVine misses 2-pt layup from 9 ft,,32,46
2,2:48.0,,Defensive rebound by D. Fox,32,46
2,2:42.0,,N. Bjelica misses 3-pt jump shot from 24 ft,32,46
2,2:36.0,,Offensive rebound by H. Barnes,32,46
2,2:36.0,,H. Barnes makes 2-pt layup from 4 ft,32,48
2,2:23.0,R. Arcidiacono makes 3-pt jump shot from 23 ft (assist by L. Markkanen),,35,48
2,2:23.0,,Sacramento full timeout,35,48
2,2:23.0,,H. Giles enters the game for B. Bogdanović,35,48
2,2:23.0,,B. Hield enters the game for W. Cauley-Stein,35,48
2,2:11.0,,B. Hield misses 2-pt jump shot from 17 ft,35,48
2,2:09.0,Defensive rebound by R. Arcidiacono,,35,48
2,1:59.0,Z. LaVine misses 2-pt layup from 9 ft (block by H. Giles),,35,48
2,1:59.0,,Defensive rebound by Team,35,48
2,1:58.0,,Personal foul by Z. LaVine (drawn by D. Fox),35,48
2,1:58.0,,D. Fox misses free throw 1 of 2,35,48
2,1:58.0,,Offensive rebound by Team,35,48
2,1:58.0,,D. Fox makes free throw 2 of 2,35,49
2,1:58.0,O. Porter enters the game for K. Dunn,,35,49
2,1:40.0,Z. LaVine makes 2-pt layup from 3 ft,,37,49
2,1:40.0,Shooting foul by N. Bjelica (drawn by Z. LaVine),,37,49
2,1:40.0,Z. LaVine makes free throw 1 of 1,,38,49
2,1:26.0,,H. Giles misses 2-pt hook shot from 10 ft,38,49
2,1:26.0,,Offensive rebound by Team,38,49
2,1:26.0,,Personal foul by L. Markkanen (drawn by N. Bjelica),38,49
2,1:26.0,,N. Bjelica misses free throw 1 of 2,38,49
2,1:26.0,,Offensive rebound by Team,38,49
2,1:26.0,,N. Bjelica makes free throw 2 of 2,38,50
2,1:12.0,Z. LaVine misses 2-pt layup from 10 ft,,38,50
2,1:10.0,Offensive rebound by R. Arcidiacono,,38,50
2,1:10.0,Offensive foul by R. Arcidiacono (drawn by D. Fox),,38,50
2,1:10.0,Turnover by R. Arcidiacono (offensive foul),,38,50
2,1:10.0,K. Dunn enters the game for R. Arcidiacono,,38,50
2,1:00.0,,H. Barnes misses 3-pt jump shot from 22 ft,38,50
2,0:57.0,,Offensive rebound by Team,38,50
2,0:52.0,,H. Giles makes 2-pt layup from 3 ft,38,52
2,0:38.0,R. Lopez misses 2-pt layup from 6 ft (block by H. Giles),,38,52
2,0:35.0,,Defensive rebound by N. Bjelica,38,52
2,0:33.0,,D. Fox misses 2-pt layup from 3 ft,38,52
2,0:33.0,,Offensive rebound by H. Giles,38,52
2,0:33.0,,H. Giles makes 2-pt layup from 1 ft,38,54
2,0:14.0,R. Lopez makes 2-pt dunk from 4 ft,,40,54
2,0:01.0,,D. Fox makes 2-pt jump shot from 18 ft,40,56
2,0:01.0,,Technical foul by H. Giles,40,56
2,0:01.0,Technical foul by R. Lopez,,40,56
3,11:42.0,,H. Barnes makes 2-pt dunk from 5 ft (assist by W. Cauley-Stein),40,58
3,11:25.0,O. Porter makes 2-pt jump shot from 10 ft (assist by K. Dunn),,42,58
3,11:25.0,Shooting foul by B. Hield (drawn by O. Porter),,42,58
3,11:25.0,O. Porter makes free throw 1 of 1,,43,58
3,11:08.0,,Personal foul by O. Porter (drawn by H. Barnes),43,58
3,10:55.0,,W. Cauley-Stein makes 2-pt layup from 3 ft,43,60
3,10:39.0,K. Dunn misses 2-pt jump shot from 7 ft,,43,60
3,10:39.0,Offensive rebound by R. Lopez,,43,60
3,10:39.0,R. Lopez misses 2-pt layup from 2 ft,,43,60
3,10:39.0,,Defensive rebound by N. Bjelica,43,60
3,10:26.0,,N. Bjelica misses 2-pt layup from 6 ft,43,60
3,10:21.0,,Offensive rebound by N. Bjelica,43,60
3,10:21.0,,N. Bjelica misses 2-pt layup at rim,43,60
3,10:21.0,Defensive rebound by R. Lopez,,43,60
3,10:09.0,K. Dunn makes 2-pt jump shot from 3 ft,,45,60
3,10:04.0,,Shooting foul by Z. LaVine (drawn by D. Fox),45,60
3,10:04.0,,D. Fox makes free throw 1 of 2,45,61
3,10:04.0,,D. Fox makes free throw 2 of 2,45,62
3,9:52.0,K. Dunn misses 3-pt jump shot from 27 ft,,45,62
3,9:50.0,,Defensive rebound by B. Hield,45,62
3,9:42.0,,D. Fox makes 3-pt jump shot from 27 ft (assist by B. Hield),45,65
3,9:33.0,Personal foul by D. Fox (drawn by R. Lopez),,45,65
3,9:22.0,Turnover by O. Porter (bad pass),,45,65
3,9:07.0,,B. Hield makes 2-pt hook shot from 12 ft,45,67
3,9:07.0,Chicago full timeout,,45,67
3,8:57.0,Z. LaVine misses 2-pt layup from 6 ft,,45,67
3,8:57.0,Offensive rebound by Team,,45,67
3,8:51.0,L. Markkanen misses 2-pt jump shot from 21 ft,,45,67
3,8:51.0,,Defensive rebound by D. Fox,45,67
3,8:35.0,,B. Hield makes 2-pt jump shot from 19 ft (assist by D. Fox),45,69
3,8:28.0,Personal foul by N. Bjelica (drawn by L. Markkanen),,45,69
3,8:18.0,Z. LaVine misses 2-pt jump shot from 10 ft,,45,69
3,8:16.0,,Defensive rebound by N. Bjelica,45,69
3,8:13.0,,Turnover by D. Fox (bad pass),45,69
3,8:03.0,L. Markkanen makes 2-pt dunk from 4 ft (assist by K. Dunn),,47,69
3,7:59.0,,B. Hield misses 2-pt layup from 6 ft (block by Z. LaVine),47,69
3,7:59.0,,Offensive rebound by Team,47,69
3,7:52.0,,H. Barnes makes 2-pt layup from 4 ft (assist by W. Cauley-Stein),47,71
3,7:40.0,Turnover by K. Dunn (bad pass; steal by B. Hield),,47,71
3,7:35.0,,W. Cauley-Stein makes 2-pt dunk from 3 ft (assist by N. Bjelica),47,73
3,7:20.0,Shooting foul by W. Cauley-Stein (drawn by R. Lopez),,47,73
3,7:20.0,R. Lopez makes free throw 1 of 2,,48,73
3,7:20.0,R. Lopez makes free throw 2 of 2,,49,73
3,7:05.0,,N. Bjelica makes 2-pt layup from 6 ft (assist by B. Hield),49,75
3,6:52.0,K. Dunn misses 2-pt layup from 9 ft,,49,75
3,6:51.0,,Defensive rebound by Team,49,75
3,6:32.0,,B. Hield misses 2-pt jump shot from 4 ft,49,75
3,6:29.0,Defensive rebound by L. Markkanen,,49,75
3,6:28.0,Turnover by L. Markkanen (lost ball; steal by B. Hield),,49,75
3,6:25.0,,B. Hield makes 2-pt layup from 2 ft,49,77
3,6:10.0,Z. LaVine makes 2-pt layup from 7 ft,,51,77
3,6:07.0,,Personal foul by Z. LaVine (drawn by D. Fox),51,77
3,6:07.0,R. Arcidiacono enters the game for K. Dunn,,51,77
3,6:00.0,,D. Fox misses 2-pt jump shot from 9 ft,51,77
3,5:58.0,Defensive rebound by O. Porter,,51,77
3,5:49.0,Personal foul by D. Fox (drawn by Z. LaVine),,51,77
3,5:49.0,Z. LaVine makes free throw 1 of 2,,52,77
3,5:49.0,W. Selden enters the game for L. Markkanen,,52,77
3,5:49.0,,H. Giles enters the game for W. Cauley-Stein,52,77
3,5:49.0,Z. LaVine misses free throw 2 of 2,,52,77
3,5:49.0,,Defensive rebound by N. Bjelica,52,77
3,5:35.0,,H. Giles makes 2-pt jump shot from 17 ft (assist by D. Fox),52,79
3,5:17.0,O. Porter makes 3-pt jump shot from 27 ft (assist by Z. LaVine),,55,79
3,4:59.0,,H. Giles misses 2-pt jump shot from 21 ft,55,79
3,4:57.0,Defensive rebound by O. Porter,,55,79
3,4:52.0,Z. LaVine makes 2-pt layup from 3 ft,,57,79
3,4:52.0,,Sacramento full timeout,57,79
3,4:52.0,,M. Bagley enters the game for N. Bjelica,57,79
3,4:40.0,,Turnover by D. Fox (bad pass; steal by Z. LaVine),57,79
3,4:22.0,Turnover by O. Porter (lost ball; steal by D. Fox),,57,79
3,4:18.0,,H. Barnes makes 2-pt dunk from 6 ft (assist by D. Fox),57,81
3,4:00.0,Z. LaVine misses 2-pt jump shot from 17 ft,,57,81
3,4:00.0,Offensive rebound by Team,,57,81
3,4:00.0,Personal foul by H. Giles (drawn by R. Lopez),,57,81
3,4:00.0,R. Lopez makes free throw 1 of 2,,58,81
3,4:00.0,T. Luwawu-Cabarrot enters the game for O. Porter,,58,81
3,4:00.0,,B. Bogdanović enters the game for B. Hield,58,81
3,4:00.0,R. Lopez misses free throw 2 of 2,,58,81
3,3:53.0,,Defensive rebound by H. Giles,58,81
3,3:38.0,,M. Bagley makes 2-pt hook shot from 7 ft,58,83
3,3:32.0,Z. LaVine misses 2-pt layup from 6 ft (block by D. Fox),,58,83
3,3:32.0,Offensive rebound by Team,,58,83
3,3:19.0,Z. LaVine makes 3-pt jump shot from 28 ft,,61,83
3,3:11.0,,D. Fox makes 3-pt jump shot from 27 ft,61,86
3,2:49.0,Z. LaVine misses 2-pt jump shot from 14 ft,,61,86
3,2:46.0,Offensive rebound by R. Lopez,,61,86
3,2:46.0,R. Lopez misses 2-pt layup from 1 ft,,61,86
3,2:46.0,,Defensive rebound by H. Giles,61,86
3,2:38.0,,H. Giles makes 2-pt dunk from 5 ft (assist by M. Bagley),61,88
3,2:24.0,R. Lopez makes 2-pt hook shot from 6 ft,,63,88
3,2:14.0,,D. Fox misses 3-pt jump shot from 26 ft,63,88
3,2:11.0,Defensive rebound by Z. LaVine,,63,88
3,2:06.0,W. Selden misses 3-pt jump shot from 28 ft,,63,88
3,2:01.0,,Defensive rebound by M. Bagley,63,88
3,1:54.0,,M. Bagley makes 2-pt jump shot from 11 ft,63,90
3,1:54.0,,Shooting foul by W. Selden (drawn by M. Bagley),63,90
3,1:54.0,C. Felício enters the game for Z. LaVine,,63,90
3,1:54.0,S. Harrison enters the game for R. Lopez,,63,90
3,1:54.0,,C. Brewer enters the game for D. Fox,63,90
3,1:54.0,,M. Bagley makes free throw 1 of 1,63,91
3,1:43.0,R. Arcidiacono misses 2-pt jump shot from 13 ft,,63,91
3,1:39.0,Offensive rebound by R. Arcidiacono,,63,91
3,1:32.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 28 ft (assist by S. Harrison),,66,91
3,1:18.0,,H. Giles misses 2-pt dunk from 7 ft,66,91
3,1:12.0,,Offensive rebound by M. Bagley,66,91
3,1:11.0,,M. Bagley makes 2-pt layup from 2 ft,66,93
3,0:57.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 28 ft,,66,93
3,0:57.0,,Defensive rebound by Team,66,93
3,0:47.0,,H. Barnes makes 2-pt jump shot from 7 ft (assist by H. Giles),66,95
3,0:47.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by H. Barnes),66,95
3,0:47.0,,H. Barnes makes free throw 1 of 1,66,96
3,0:39.0,R. Arcidiacono makes 3-pt jump shot from 27 ft,,69,96
3,0:31.0,,B. Bogdanović makes 3-pt jump shot from 25 ft,69,99
3,0:08.0,R. Arcidiacono makes 2-pt jump shot from 7 ft (assist by W. Selden),,71,99
3,0:02.0,,C. Brewer misses 3-pt jump shot from 28 ft,71,99
3,0:02.0,Defensive rebound by R. Arcidiacono,,71,99
4,11:48.0,Personal foul by B. Bogdanović (drawn by T. Luwawu-Cabarrot),,71,99
4,11:39.0,S. Harrison makes 2-pt layup from 3 ft,,73,99
4,11:26.0,,B. Bogdanović misses 2-pt jump shot from 17 ft,73,99
4,11:24.0,,Offensive rebound by M. Bagley,73,99
4,11:24.0,,M. Bagley misses 2-pt layup at rim (block by C. Felício),73,99
4,11:24.0,,Offensive rebound by M. Bagley,73,99
4,11:24.0,,M. Bagley makes 2-pt jump shot from 3 ft,73,101
4,11:24.0,,Shooting foul by W. Selden (drawn by M. Bagley),73,101
4,11:24.0,,M. Bagley makes free throw 1 of 1,73,102
4,11:09.0,Turnover by A. Blakeney (lost ball; steal by C. Brewer),,73,102
4,11:08.0,,Shooting foul by S. Harrison (drawn by C. Brewer),73,102
4,11:08.0,,C. Brewer makes free throw 1 of 2,73,103
4,11:08.0,,C. Brewer makes free throw 2 of 2,73,104
4,10:53.0,Shooting foul by H. Giles (drawn by W. Selden),,73,104
4,10:53.0,W. Selden makes free throw 1 of 2,,74,104
4,10:53.0,W. Selden makes free throw 2 of 2,,75,104
4,10:36.0,,M. Bagley makes 2-pt jump shot from 8 ft (assist by B. Bogdanović),75,106
4,10:25.0,W. Selden misses 2-pt jump shot from 6 ft,,75,106
4,10:25.0,Offensive rebound by Team,,75,106
4,10:25.0,Personal foul by H. Giles (drawn by C. Felício),,75,106
4,10:14.0,T. Luwawu-Cabarrot misses 2-pt jump shot from 16 ft,,75,106
4,10:12.0,,Defensive rebound by B. Bogdanović,75,106
4,10:04.0,,Y. Ferrell makes 2-pt jump shot from 18 ft (assist by B. Bogdanović),75,108
4,9:46.0,A. Blakeney misses 2-pt jump shot from 19 ft,,75,108
4,9:43.0,,Defensive rebound by M. Bagley,75,108
4,9:38.0,,M. Bagley misses 2-pt layup from 5 ft,75,108
4,9:36.0,Defensive rebound by C. Felício,,75,108
4,9:34.0,Turnover by W. Selden (lost ball; steal by Y. Ferrell),,75,108
4,9:31.0,,H. Giles makes 2-pt hook shot from 11 ft (assist by C. Brewer),75,110
4,9:31.0,Chicago full timeout,,75,110
4,9:31.0,,A. Burks enters the game for B. Bogdanović,75,110
4,9:18.0,C. Felício misses 2-pt layup from 6 ft,,75,110
4,9:16.0,,Defensive rebound by H. Giles,75,110
4,9:00.0,,H. Giles makes 2-pt hook shot from 6 ft (assist by C. Brewer),75,112
4,8:49.0,S. Harrison makes 2-pt layup from 3 ft,,77,112
4,8:33.0,,C. Brewer makes 2-pt dunk from 4 ft (assist by H. Giles),77,114
4,8:12.0,W. Selden makes 2-pt layup from 6 ft (assist by S. Harrison),,79,114
4,7:56.0,,M. Bagley misses 2-pt jump shot from 15 ft,79,114
4,7:54.0,Defensive rebound by C. Felício,,79,114
4,7:42.0,W. Selden misses 2-pt jump shot from 13 ft,,79,114
4,7:38.0,Offensive rebound by C. Felício,,79,114
4,7:31.0,S. Harrison makes 2-pt layup from 2 ft,,81,114
4,7:13.0,,H. Giles misses 2-pt hook shot from 4 ft,81,114
4,7:09.0,Defensive rebound by A. Blakeney,,81,114
4,7:06.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 24 ft (assist by S. Harrison),,84,114
4,7:06.0,Shooting foul by Y. Ferrell (drawn by T. Luwawu-Cabarrot),,84,114
4,7:06.0,,K. Koufos enters the game for C. Brewer,84,114
4,7:06.0,,F. Mason enters the game for H. Giles,84,114
4,7:06.0,T. Luwawu-Cabarrot misses free throw 1 of 1,,84,114
4,7:03.0,,Defensive rebound by K. Koufos,84,114
4,6:42.0,,K. Koufos misses 2-pt layup from 5 ft,84,114
4,6:41.0,,Offensive rebound by K. Koufos,84,114
4,6:39.0,,K. Koufos makes 2-pt layup from 2 ft,84,116
4,6:26.0,C. Felício makes 2-pt layup from 3 ft (assist by S. Harrison),,86,116
4,6:16.0,,M. Bagley makes 2-pt hook shot from 5 ft,86,118
