QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW YORK_ACTION,SACRAMENTO_SCORE,NEW YORK_SCORE
1,1:59.0,Defensive rebound by D. Fox,,20,27
1,1:53.0,N. Bjelica makes 2-pt layup at rim (assist by D. Fox),,22,27
1,1:48.0,,New York full timeout,22,27
1,1:48.0,,Personal foul by H. Giles (drawn by M. Robinson),22,27
1,1:40.0,,A. Trier misses 3-pt jump shot from 27 ft,22,27
1,1:36.0,,Offensive rebound by H. Ellenson,22,27
1,1:35.0,,H. Ellenson misses 2-pt layup from 3 ft (block by N. Bjelica),22,27
1,1:32.0,Defensive rebound by N. Bjelica,,22,27
1,1:17.0,N. Bjelica misses 2-pt layup from 1 ft,,22,27
1,1:15.0,,Defensive rebound by H. Ellenson,22,27
1,1:07.0,,Shooting foul by B. Bogdanović (drawn by D. Dotson),22,27
1,1:07.0,,Offensive rebound by Team,22,27
1,1:07.0,,D. Dotson misses free throw 1 of 2,22,27
1,1:07.0,,D. Dotson makes free throw 2 of 2,22,28
1,0:58.0,Turnover by D. Fox (bad pass; steal by H. Ellenson),,22,28
1,0:55.0,,A. Trier makes 2-pt layup from 2 ft,22,30
1,0:42.0,Personal foul by M. Robinson (drawn by B. Bogdanović),,22,30
1,0:42.0,B. Bogdanović makes free throw 1 of 2,,23,30
1,0:42.0,B. Bogdanović misses free throw 2 of 2,,23,30
1,0:38.0,Offensive rebound by B. Bogdanović,,23,30
1,0:35.0,H. Giles misses 2-pt hook shot from 4 ft,,23,30
1,0:33.0,Offensive rebound by H. Giles,,23,30
1,0:32.0,Turnover by H. Giles (lost ball; steal by M. Robinson),,23,30
1,0:32.0,,L. Thomas enters the game for H. Ellenson,23,30
1,0:28.0,,Turnover by M. Robinson (lost ball),23,30
1,0:03.0,N. Bjelica misses 2-pt jump shot from 4 ft,,23,30
1,0:01.0,,Defensive rebound by L. Thomas,23,30
1,0:00.0,,A. Trier misses 3-pt jump shot from 28 ft,23,30
1,0:00.0,,Offensive rebound by Team,23,30
2,11:43.0,N. Bjelica misses 2-pt layup from 2 ft,,23,30
2,11:40.0,,Defensive rebound by M. Robinson,23,30
2,11:20.0,,A. Trier misses 2-pt jump shot from 13 ft,23,30
2,11:17.0,,Offensive rebound by L. Thomas,23,30
2,11:16.0,,L. Thomas misses 2-pt layup from 2 ft,23,30
2,11:12.0,Defensive rebound by Y. Ferrell,,23,30
2,11:08.0,N. Bjelica misses 3-pt jump shot from 25 ft,,23,30
2,11:05.0,,Defensive rebound by E. Mudiay,23,30
2,10:53.0,,Turnover by E. Mudiay (bad pass; steal by N. Bjelica),23,30
2,10:48.0,C. Brewer makes 2-pt dunk at rim (assist by N. Bjelica),,25,30
2,10:20.0,,E. Mudiay makes 2-pt layup from 2 ft,25,32
2,10:07.0,H. Giles misses 2-pt jump shot from 8 ft,,25,32
2,10:05.0,,Defensive rebound by D. Dotson,25,32
2,9:56.0,,Turnover by A. Trier (bad pass; steal by N. Bjelica),25,32
2,9:56.0,Personal take foul by A. Trier (drawn by N. Bjelica),,25,32
2,9:45.0,Turnover by Y. Ferrell (bad pass),,25,32
2,9:45.0,,D. Smith enters the game for A. Trier,25,32
2,9:24.0,,D. Dotson misses 2-pt jump shot from 11 ft,25,32
2,9:21.0,Defensive rebound by Y. Ferrell,,25,32
2,9:16.0,Y. Ferrell misses 2-pt layup from 1 ft,,25,32
2,9:16.0,Offensive rebound by H. Giles,,25,32
2,9:16.0,Shooting foul by M. Robinson (drawn by H. Giles),,25,32
2,9:16.0,H. Giles makes free throw 1 of 2,,26,32
2,9:16.0,H. Giles makes free throw 2 of 2,,27,32
2,9:01.0,,L. Thomas misses 3-pt jump shot from 23 ft,27,32
2,8:59.0,,Offensive rebound by M. Robinson,27,32
2,8:59.0,,Shooting foul by H. Giles (drawn by M. Robinson),27,32
2,8:59.0,,M. Robinson makes free throw 1 of 2,27,33
2,8:59.0,H. Barnes enters the game for N. Bjelica,,27,33
2,8:59.0,B. Hield enters the game for C. Brewer,,27,33
2,8:59.0,,M. Robinson makes free throw 2 of 2,27,34
2,8:40.0,,Violation by Team (kicked ball),27,34
2,8:35.0,Y. Ferrell misses 2-pt jump shot from 14 ft,,27,34
2,8:30.0,,Defensive rebound by E. Mudiay,27,34
2,8:28.0,,E. Mudiay makes 2-pt layup from 2 ft,27,36
2,8:15.0,Turnover by B. Bogdanović (traveling),,27,36
2,8:15.0,,D. Jordan enters the game for M. Robinson,27,36
2,8:03.0,,D. Dotson misses 2-pt layup from 2 ft,27,36
2,8:01.0,Defensive rebound by H. Barnes,,27,36
2,7:57.0,B. Hield misses 3-pt jump shot from 25 ft,,27,36
2,7:54.0,,Defensive rebound by L. Thomas,27,36
2,7:32.0,,E. Mudiay misses 3-pt jump shot from 29 ft,27,36
2,7:28.0,Defensive rebound by Y. Ferrell,,27,36
2,7:22.0,Y. Ferrell makes 2-pt jump shot from 11 ft,,29,36
2,7:01.0,,D. Dotson misses 2-pt jump shot from 12 ft,29,36
2,7:00.0,Defensive rebound by Team,,29,36
2,7:00.0,W. Cauley-Stein enters the game for H. Giles,,29,36
2,7:00.0,,K. Knox enters the game for L. Thomas,29,36
2,6:41.0,H. Barnes misses 2-pt jump shot from 12 ft,,29,36
