QUARTER,TIME_REMAINING,HOUSTON_ACTION,ORLANDO_ACTION,HOUSTON_SCORE,ORLANDO_SCORE
2,8:29.0,J. Harden enters the game for G. Green,,34,30
2,8:29.0,,K. Birch makes free throw 1 of 1,34,31
2,8:13.0,D. House makes 3-pt jump shot from 23 ft (assist by J. Harden),,37,31
2,7:47.0,,A. Gordon misses 2-pt layup from 3 ft,37,31
2,7:45.0,Defensive rebound by C. Capela,,37,31
2,7:42.0,D. House misses 3-pt jump shot from 23 ft,,37,31
2,7:37.0,,Defensive rebound by K. Birch,37,31
2,7:19.0,,I. Briscoe misses 2-pt layup from 4 ft,37,31
2,7:17.0,,Offensive rebound by K. Birch,37,31
2,7:15.0,,A. Gordon makes 3-pt jump shot from 27 ft (assist by K. Birch),37,34
2,6:55.0,J. Harden misses 3-pt jump shot from 27 ft,,37,34
2,6:52.0,,Defensive rebound by E. Fournier,37,34
2,6:42.0,,E. Fournier misses 2-pt layup from 3 ft,37,34
2,6:39.0,Defensive rebound by J. Harden,,37,34
2,6:35.0,D. House makes 2-pt layup from 1 ft (assist by J. Harden),,39,34
2,6:35.0,,Orlando full timeout,39,34
2,6:35.0,G. Green enters the game for A. Rivers,,39,34
2,6:35.0,,D. Augustin enters the game for K. Birch,39,34
2,6:35.0,,W. Iwundu enters the game for I. Briscoe,39,34
2,6:35.0,,N. Vučević enters the game for E. Fournier,39,34
2,6:15.0,,N. Vučević misses 2-pt hook shot from 7 ft,39,34
2,6:12.0,Defensive rebound by C. Capela,,39,34
2,6:09.0,D. House makes 3-pt jump shot from 25 ft (assist by J. Harden),,42,34
2,5:43.0,,T. Ross misses 3-pt jump shot from 23 ft,42,34
2,5:40.0,Defensive rebound by D. House,,42,34
2,5:36.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,44,34
2,5:17.0,,T. Ross makes 2-pt jump shot from 15 ft (assist by N. Vučević),44,36
2,4:58.0,Turnover by J. Harden (bad pass; steal by N. Vučević),,44,36
2,4:58.0,,J. Isaac enters the game for A. Gordon,44,36
2,4:47.0,,J. Isaac makes 2-pt layup from 1 ft,44,38
2,4:27.0,J. Harden misses 2-pt jump shot from 2 ft,,44,38
2,4:24.0,,Defensive rebound by N. Vučević,44,38
2,4:21.0,,T. Ross makes 2-pt dunk from 1 ft (assist by J. Isaac),44,40
2,4:05.0,Shooting foul by W. Iwundu (drawn by J. Harden),,44,40
2,4:05.0,J. Harden makes free throw 1 of 3,,45,40
2,4:05.0,J. Harden makes free throw 2 of 3,,46,40
2,4:05.0,A. Rivers enters the game for D. House,,46,40
2,4:05.0,J. Harden makes free throw 3 of 3,,47,40
2,3:51.0,,N. Vučević makes 2-pt layup from 1 ft (assist by J. Isaac),47,42
2,3:40.0,J. Harden misses 3-pt jump shot from 27 ft,,47,42
2,3:36.0,Offensive rebound by C. Capela,,47,42
2,3:34.0,G. Green misses 3-pt jump shot from 25 ft,,47,42
2,3:31.0,,Defensive rebound by D. Augustin,47,42
2,3:18.0,,J. Isaac misses 2-pt jump shot from 17 ft,47,42
2,3:15.0,Defensive rebound by J. Harden,,47,42
2,3:08.0,J. Harden makes 2-pt layup from 1 ft,,49,42
2,2:57.0,,N. Vučević misses 3-pt jump shot from 26 ft,49,42
2,2:56.0,,Offensive rebound by Team,49,42
2,2:56.0,Loose ball foul by J. Harden (drawn by J. Isaac),,49,42
2,2:56.0,Houston full timeout,,49,42
2,2:56.0,,E. Fournier enters the game for W. Iwundu,49,42
2,2:56.0,,A. Gordon enters the game for T. Ross,49,42
2,2:48.0,,Turnover by A. Gordon (bad pass; steal by J. Harden),49,42
2,2:30.0,J. Harden makes 2-pt jump shot from 8 ft,,51,42
2,2:15.0,,N. Vučević makes 3-pt jump shot from 24 ft (assist by E. Fournier),51,45
2,2:02.0,G. Green misses 3-pt jump shot from 24 ft,,51,45
2,1:57.0,Offensive rebound by J. Harden,,51,45
2,1:55.0,G. Green makes 3-pt jump shot from 25 ft (assist by J. Harden),,54,45
2,1:37.0,,N. Vučević misses 2-pt dunk at rim,54,45
2,1:37.0,Defensive rebound by J. Harden,,54,45
2,1:29.0,J. Harden makes 3-pt jump shot from 26 ft,,57,45
2,1:12.0,,Shooting foul by G. Green (drawn by E. Fournier),57,45
2,1:12.0,,E. Fournier makes free throw 1 of 2,57,46
2,1:12.0,,E. Fournier makes free throw 2 of 2,57,47
2,1:02.0,Turnover by G. Green (lost ball; steal by D. Augustin),,57,47
2,1:02.0,,Personal take foul by G. Green (drawn by D. Augustin),57,47
2,1:02.0,,D. Augustin makes free throw 1 of 2,57,48
2,1:02.0,D. House enters the game for G. Green,,57,48
2,1:02.0,,D. Augustin makes free throw 2 of 2,57,49
2,0:50.0,C. Capela makes 2-pt dunk from 3 ft (assist by J. Harden),,59,49
2,0:41.0,,D. Augustin misses 3-pt jump shot from 26 ft,59,49
2,0:38.0,Defensive rebound by Team,,59,49
2,0:32.0,J. Harden misses 3-pt jump shot from 27 ft,,59,49
2,0:31.0,,Defensive rebound by Team,59,49
2,0:11.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by D. Augustin),59,52
2,0:00.0,J. Harden misses 3-pt jump shot from 27 ft,,59,52
2,0:00.0,Offensive rebound by Team,,59,52
3,11:44.0,,A. Gordon makes 2-pt jump shot from 20 ft (assist by N. Vučević),59,54
3,11:22.0,A. Rivers makes 3-pt jump shot from 27 ft (assist by D. House),,62,54
3,11:10.0,,Shooting foul by D. House (drawn by E. Fournier),62,54
3,11:10.0,,E. Fournier makes free throw 1 of 2,62,55
3,11:10.0,,E. Fournier makes free throw 2 of 2,62,56
3,10:52.0,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),,64,56
3,10:42.0,,Shooting foul by P. Tucker (drawn by J. Isaac),64,56
3,10:42.0,,J. Isaac makes free throw 1 of 2,64,57
3,10:42.0,,J. Isaac makes free throw 2 of 2,64,58
3,10:30.0,D. House misses 2-pt layup from 3 ft,,64,58
3,10:26.0,,Defensive rebound by N. Vučević,64,58
3,10:18.0,,J. Isaac makes 3-pt jump shot from 26 ft (assist by N. Vučević),64,61
3,10:02.0,J. Harden misses 3-pt jump shot from 26 ft,,64,61
3,10:01.0,,Defensive rebound by Team,64,61
3,9:50.0,,Turnover by J. Isaac (out of bounds lost ball),64,61
3,9:41.0,A. Rivers makes 2-pt layup from 2 ft,,66,61
3,9:26.0,,Turnover by N. Vučević (lost ball; steal by J. Harden),66,61
3,9:21.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,68,61
3,8:56.0,,A. Gordon makes 2-pt jump shot from 12 ft,68,63
3,8:45.0,A. Rivers makes 3-pt jump shot from 27 ft,,71,63
3,8:27.0,,N. Vučević makes 2-pt dunk from 2 ft (assist by D. Augustin),71,65
3,8:08.0,D. House makes 3-pt jump shot from 26 ft (assist by A. Rivers),,74,65
3,8:08.0,,Orlando full timeout,74,65
3,7:50.0,,A. Gordon makes 2-pt jump shot from 15 ft (assist by J. Isaac),74,67
3,7:41.0,Offensive foul by D. House (drawn by E. Fournier),,74,67
3,7:41.0,Turnover by D. House (offensive foul),,74,67
3,7:26.0,,Shooting foul by P. Tucker (drawn by A. Gordon),74,67
3,7:26.0,,A. Gordon makes free throw 1 of 2,74,68
3,7:26.0,,A. Gordon makes free throw 2 of 2,74,69
3,7:13.0,J. Harden makes 2-pt jump shot from 10 ft (assist by C. Capela),,76,69
3,6:57.0,,E. Fournier makes 2-pt layup from 2 ft,76,71
3,6:42.0,A. Rivers misses 2-pt jump shot from 9 ft,,76,71
3,6:39.0,,Defensive rebound by J. Isaac,76,71
3,6:30.0,,Shooting foul by P. Tucker (drawn by A. Gordon),76,71
3,6:30.0,,A. Gordon makes free throw 1 of 2,76,72
3,6:30.0,G. Clark enters the game for A. Rivers,,76,72
3,6:30.0,G. Green enters the game for P. Tucker,,76,72
3,6:30.0,,A. Gordon makes free throw 2 of 2,76,73
3,6:19.0,J. Harden makes 2-pt layup from 6 ft,,78,73
3,6:19.0,Shooting foul by N. Vučević (drawn by J. Harden),,78,73
3,6:19.0,J. Harden makes free throw 1 of 1,,79,73
3,6:05.0,,Personal foul by J. Harden (drawn by E. Fournier),79,73
3,6:05.0,,E. Fournier makes free throw 1 of 2,79,74
3,6:05.0,,W. Iwundu enters the game for J. Isaac,79,74
3,6:05.0,,E. Fournier makes free throw 2 of 2,79,75
3,5:50.0,Personal foul by E. Fournier (drawn by J. Harden),,79,75
3,5:47.0,Shooting foul by E. Fournier (drawn by J. Harden),,79,75
3,5:47.0,J. Harden makes free throw 1 of 3,,80,75
3,5:47.0,J. Harden makes free throw 2 of 3,,81,75
3,5:47.0,J. Harden makes free throw 3 of 3,,82,75
3,5:28.0,,A. Gordon misses 2-pt layup from 2 ft,82,75
3,5:25.0,Defensive rebound by J. Harden,,82,75
3,5:15.0,Turnover by J. Harden (bad pass; steal by A. Gordon),,82,75
3,5:11.0,,W. Iwundu misses 2-pt jump shot from 7 ft,82,75
3,5:07.0,,Offensive rebound by W. Iwundu,82,75
3,5:01.0,,N. Vučević misses 2-pt layup from 2 ft,82,75
3,4:59.0,,Offensive rebound by W. Iwundu,82,75
3,4:57.0,,W. Iwundu misses 2-pt layup from 2 ft,82,75
3,4:56.0,,Offensive rebound by W. Iwundu,82,75
3,4:55.0,,W. Iwundu makes 2-pt layup from 2 ft,82,77
3,4:55.0,,Shooting foul by C. Capela (drawn by W. Iwundu),82,77
3,4:55.0,,W. Iwundu makes free throw 1 of 1,82,78
3,4:45.0,Personal foul by N. Vučević (drawn by C. Capela),,82,78
3,4:45.0,,I. Briscoe enters the game for D. Augustin,82,78
3,4:39.0,G. Green misses 3-pt jump shot from 26 ft (block by W. Iwundu),,82,78
3,4:36.0,,Defensive rebound by A. Gordon,82,78
3,4:29.0,,W. Iwundu misses 2-pt jump shot from 20 ft,82,78
3,4:29.0,Defensive rebound by Team,,82,78
3,4:17.0,J. Harden makes 2-pt layup at rim,,84,78
3,4:03.0,,Shooting foul by G. Green (drawn by W. Iwundu),84,78
3,4:03.0,Houston full timeout,,84,78
3,4:03.0,J. Ennis enters the game for D. House,,84,78
3,4:03.0,,T. Ross enters the game for E. Fournier,84,78
3,4:03.0,,W. Iwundu misses free throw 1 of 2,84,78
3,4:03.0,,Offensive rebound by Team,84,78
3,4:03.0,,W. Iwundu makes free throw 2 of 2,84,79
3,3:50.0,G. Green misses 3-pt jump shot from 26 ft,,84,79
3,3:50.0,,Defensive rebound by N. Vučević,84,79
3,3:36.0,,W. Iwundu misses 2-pt jump shot from 10 ft,84,79
3,3:32.0,Defensive rebound by G. Clark,,84,79
3,3:23.0,J. Harden misses 3-pt jump shot from 27 ft,,84,79
3,3:19.0,,Defensive rebound by A. Gordon,84,79
3,3:14.0,,N. Vučević misses 3-pt jump shot from 27 ft,84,79
3,3:09.0,Defensive rebound by J. Ennis,,84,79
3,3:01.0,Turnover by J. Harden (bad pass; steal by A. Gordon),,84,79
3,2:56.0,,A. Gordon misses 2-pt layup from 2 ft (block by G. Green),84,79
3,2:51.0,,Offensive rebound by A. Gordon,84,79
3,2:50.0,,A. Gordon makes 2-pt layup from 1 ft,84,81
3,2:34.0,G. Green misses 3-pt jump shot from 26 ft,,84,81
3,2:31.0,,Defensive rebound by N. Vučević,84,81
3,2:27.0,,Personal foul by C. Capela (drawn by N. Vučević),84,81
3,2:27.0,,N. Vučević makes free throw 1 of 2,84,82
3,2:27.0,A. Rivers enters the game for C. Capela,,84,82
3,2:27.0,P. Tucker enters the game for G. Green,,84,82
3,2:27.0,,J. Isaac enters the game for A. Gordon,84,82
3,2:27.0,,N. Vučević misses free throw 2 of 2,84,82
3,2:24.0,Defensive rebound by J. Harden,,84,82
3,2:05.0,J. Harden misses 3-pt jump shot from 29 ft,,84,82
3,2:01.0,,Defensive rebound by I. Briscoe,84,82
3,1:49.0,,N. Vučević makes 2-pt jump shot from 5 ft (assist by J. Isaac),84,84
3,1:24.0,Shooting foul by I. Briscoe (drawn by J. Harden),,84,84
3,1:24.0,J. Harden makes free throw 1 of 2,,85,84
3,1:24.0,M. Chriss enters the game for G. Clark,,85,84
3,1:24.0,,K. Birch enters the game for N. Vučević,85,84
3,1:24.0,J. Harden misses free throw 2 of 2,,85,84
3,1:21.0,,Defensive rebound by J. Isaac,85,84
3,1:14.0,,Personal foul by J. Ennis (drawn by T. Ross),85,84
3,1:14.0,,T. Ross makes free throw 1 of 2,85,85
3,1:14.0,,T. Ross makes free throw 2 of 2,85,86
3,0:54.0,Shooting foul by I. Briscoe (drawn by J. Harden),,85,86
3,0:54.0,J. Harden makes free throw 1 of 3,,86,86
3,0:54.0,J. Harden makes free throw 2 of 3,,87,86
3,0:54.0,J. Harden makes free throw 3 of 3,,88,86
3,0:44.0,,T. Ross misses 3-pt jump shot from 28 ft,88,86
3,0:40.0,,Offensive rebound by J. Isaac,88,86
3,0:32.0,,I. Briscoe misses 2-pt jump shot from 21 ft,88,86
3,0:29.0,Defensive rebound by M. Chriss,,88,86
3,0:24.0,J. Harden misses 3-pt jump shot from 27 ft,,88,86
3,0:21.0,,Defensive rebound by I. Briscoe,88,86
3,0:01.0,,T. Ross misses 3-pt jump shot from 27 ft,88,86
3,0:01.0,Defensive rebound by M. Chriss,,88,86
4,11:48.0,A. Rivers makes 2-pt layup from 7 ft,,90,86
4,11:27.0,,K. Birch misses 2-pt jump shot from 9 ft,90,86
4,11:24.0,Defensive rebound by M. Chriss,,90,86
4,11:19.0,A. Rivers misses 3-pt jump shot from 24 ft,,90,86
4,11:17.0,,Defensive rebound by E. Fournier,90,86
4,11:14.0,,Turnover by E. Fournier (bad pass),90,86
4,10:58.0,J. Harden makes 2-pt layup from 2 ft,,92,86
4,10:39.0,,E. Fournier makes 2-pt jump shot from 15 ft,92,88
4,10:13.0,J. Harden misses 2-pt jump shot from 21 ft,,92,88
4,10:07.0,Offensive rebound by P. Tucker,,92,88
4,10:07.0,P. Tucker makes 2-pt layup at rim,,94,88
4,9:48.0,,Offensive foul by K. Birch (drawn by M. Chriss),94,88
4,9:48.0,,Turnover by K. Birch (offensive foul),94,88
4,9:31.0,P. Tucker makes 2-pt layup from 2 ft (assist by J. Harden),,96,88
4,9:11.0,,E. Fournier misses 3-pt jump shot from 27 ft,96,88
4,9:09.0,Defensive rebound by P. Tucker,,96,88
4,9:06.0,Shooting foul by I. Briscoe (drawn by P. Tucker),,96,88
4,9:06.0,P. Tucker makes free throw 1 of 2,,97,88
4,9:06.0,C. Capela enters the game for M. Chriss,,97,88
4,9:06.0,D. House enters the game for J. Harden,,97,88
4,9:06.0,P. Tucker makes free throw 2 of 2,,98,88
4,8:46.0,,Turnover by J. Isaac (lost ball; steal by P. Tucker),98,88
4,8:46.0,Personal foul by J. Isaac (drawn by P. Tucker),,98,88
4,8:46.0,,N. Vučević enters the game for K. Birch,98,88
4,8:31.0,Personal foul by I. Briscoe (drawn by P. Tucker),,98,88
4,8:25.0,D. House misses 2-pt jump shot from 11 ft,,98,88
4,8:22.0,,Defensive rebound by T. Ross,98,88
4,8:19.0,,Shooting foul by A. Rivers (drawn by N. Vučević),98,88
4,8:19.0,,N. Vučević makes free throw 1 of 2,98,89
4,8:19.0,,D. Augustin enters the game for I. Briscoe,98,89
4,8:19.0,,N. Vučević makes free throw 2 of 2,98,90
4,8:06.0,A. Rivers makes 2-pt jump shot from 12 ft (assist by C. Capela),,100,90
4,7:55.0,,D. Augustin misses 2-pt layup from 2 ft,100,90
4,7:54.0,,Offensive rebound by N. Vučević,100,90
4,7:54.0,,N. Vučević makes 2-pt layup from 1 ft,100,92
4,7:38.0,Turnover by P. Tucker (bad pass),,100,92
4,7:38.0,Houston full timeout,,100,92
4,7:38.0,J. Harden enters the game for J. Ennis,,100,92
4,7:24.0,,T. Ross misses 3-pt jump shot from 26 ft,100,92
4,7:21.0,,Offensive rebound by N. Vučević,100,92
4,7:19.0,,N. Vučević makes 2-pt hook shot from 5 ft,100,94
4,7:09.0,Personal foul by D. Augustin (drawn by A. Rivers),,100,94
4,6:59.0,C. Capela misses 2-pt layup from 1 ft,,100,94
4,6:57.0,Offensive rebound by Team,,100,94
4,6:53.0,P. Tucker misses 3-pt jump shot from 23 ft,,100,94
4,6:50.0,,Defensive rebound by J. Isaac,100,94
4,6:42.0,,T. Ross makes 2-pt jump shot from 16 ft,100,96
4,6:28.0,J. Harden misses 3-pt jump shot from 24 ft,,100,96
4,6:26.0,Offensive rebound by P. Tucker,,100,96
4,6:20.0,D. House misses 2-pt layup from 8 ft,,100,96
4,6:19.0,Offensive rebound by C. Capela,,100,96
4,6:19.0,C. Capela makes 2-pt dunk at rim,,102,96
4,5:56.0,,E. Fournier misses 3-pt jump shot from 26 ft,102,96
4,5:52.0,Defensive rebound by C. Capela,,102,96
4,5:38.0,Shooting foul by N. Vučević (drawn by C. Capela),,102,96
4,5:38.0,C. Capela misses free throw 1 of 2,,102,96
4,5:38.0,Offensive rebound by Team,,102,96
4,5:38.0,,A. Gordon enters the game for J. Isaac,102,96
4,5:38.0,C. Capela makes free throw 2 of 2,,103,96
4,5:25.0,,T. Ross misses 3-pt jump shot from 28 ft,103,96
4,5:20.0,Defensive rebound by P. Tucker,,103,96
4,5:01.0,J. Harden misses 2-pt jump shot from 21 ft,,103,96
4,4:57.0,,Defensive rebound by T. Ross,103,96
4,4:51.0,,E. Fournier makes 2-pt layup from 3 ft,103,98
4,4:34.0,Personal foul by E. Fournier (drawn by J. Harden),,103,98
4,4:34.0,J. Harden makes free throw 1 of 2,,104,98
4,4:34.0,J. Harden makes free throw 2 of 2,,105,98
4,4:31.0,,Orlando full timeout,105,98
4,4:19.0,,N. Vučević makes 2-pt dunk from 2 ft (assist by T. Ross),105,100
4,3:57.0,A. Rivers misses 3-pt jump shot from 27 ft,,105,100
4,3:55.0,,Defensive rebound by Team,105,100
4,3:47.0,,T. Ross makes 2-pt jump shot from 17 ft (assist by N. Vučević),105,102
4,3:47.0,,Shooting foul by A. Rivers (drawn by T. Ross),105,102
4,3:47.0,,T. Ross makes free throw 1 of 1,105,103
4,3:32.0,J. Harden misses 2-pt jump shot from 19 ft,,105,103
4,3:28.0,Offensive rebound by C. Capela,,105,103
4,3:27.0,D. House misses 3-pt jump shot from 23 ft,,105,103
4,3:27.0,,Defensive rebound by D. Augustin,105,103
