QUARTER,TIME_REMAINING,UTAH_ACTION,SACRAMENTO_ACTION,UTAH_SCORE,SACRAMENTO_SCORE
3,7:55.0,,Personal foul by R. Rubio (drawn by D. Fox),66,59
3,7:55.0,,D. Fox misses free throw 1 of 2,66,59
3,7:55.0,,Offensive rebound by Team,66,59
3,7:55.0,,D. Fox makes free throw 2 of 2,66,60
3,7:55.0,D. Favors enters the game for J. Crowder,,66,60
3,7:55.0,,M. Bagley enters the game for N. Bjelica,66,60
3,7:55.0,,J. Jackson enters the game for B. Hield,66,60
3,7:31.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,68,60
3,7:21.0,,B. Bogdanović misses 2-pt layup from 5 ft (block by D. Exum),68,60
3,7:17.0,Defensive rebound by R. Gobert,,68,60
3,7:16.0,Turnover by R. Gobert (bad pass; steal by D. Fox),,68,60
3,7:13.0,,Personal foul by R. Rubio (drawn by B. Bogdanović),68,60
3,7:13.0,,B. Bogdanović makes free throw 1 of 2,68,61
3,7:13.0,A. Burks enters the game for R. Rubio,,68,61
3,7:13.0,,B. Bogdanović makes free throw 2 of 2,68,62
3,7:02.0,J. Ingles misses 3-pt jump shot from 26 ft,,68,62
3,6:58.0,Offensive rebound by R. Gobert,,68,62
3,6:57.0,R. Gobert misses 2-pt layup from 2 ft,,68,62
3,6:57.0,Offensive rebound by R. Gobert,,68,62
3,6:53.0,R. Gobert makes 2-pt layup from 1 ft,,70,62
3,6:40.0,,Turnover by B. Bogdanović (lost ball; steal by D. Exum),70,62
3,6:35.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),,72,62
3,6:21.0,,D. Fox misses 2-pt jump shot from 15 ft,72,62
3,6:18.0,Defensive rebound by A. Burks,,72,62
3,5:56.0,A. Burks misses 3-pt jump shot from 26 ft,,72,62
3,5:54.0,,Defensive rebound by M. Bagley,72,62
3,5:47.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Fox),72,65
3,5:43.0,Utah full timeout,,72,65
3,5:43.0,R. Neto enters the game for J. Ingles,,72,65
3,5:43.0,,H. Giles enters the game for W. Cauley-Stein,72,65
3,5:30.0,D. Favors makes 2-pt jump shot from 16 ft (assist by R. Neto),,74,65
3,5:10.0,,H. Giles misses 2-pt jump shot from 10 ft,74,65
3,5:05.0,,Offensive rebound by H. Giles,74,65
3,5:05.0,,H. Giles makes 2-pt layup at rim,74,67
3,4:55.0,A. Burks makes 2-pt layup from 2 ft,,76,67
3,4:46.0,,D. Fox makes 2-pt layup from 1 ft,76,69
3,4:46.0,,Shooting foul by D. Favors (drawn by D. Fox),76,69
3,4:46.0,,D. Fox misses free throw 1 of 1,76,69
3,4:46.0,Defensive rebound by A. Burks,,76,69
3,4:37.0,A. Burks makes 2-pt layup from 2 ft,,78,69
3,4:37.0,Shooting foul by H. Giles (drawn by A. Burks),,78,69
3,4:37.0,A. Burks makes free throw 1 of 1,,79,69
3,4:26.0,,D. Fox makes 2-pt jump shot from 13 ft,79,71
3,4:07.0,A. Burks makes 2-pt layup from 3 ft,,81,71
3,3:56.0,,M. Bagley makes 2-pt layup from 3 ft (assist by H. Giles),81,73
3,3:43.0,Turnover by R. Neto (bad pass; steal by H. Giles),,81,73
3,3:40.0,,Shooting foul by D. Favors (drawn by M. Bagley),81,73
3,3:40.0,,M. Bagley makes free throw 1 of 2,81,74
3,3:40.0,R. O'Neale enters the game for D. Exum,,81,74
3,3:40.0,,M. Bagley makes free throw 2 of 2,81,75
3,3:25.0,Turnover by R. O'Neale (bad pass; steal by D. Fox),,81,75
3,3:19.0,,H. Giles makes 2-pt layup from 2 ft,81,77
3,3:03.0,A. Burks misses 2-pt jump shot from 10 ft,,81,77
3,2:59.0,,Defensive rebound by M. Bagley,81,77
3,2:51.0,,H. Giles misses 3-pt jump shot from 24 ft,81,77
3,2:47.0,Defensive rebound by A. Burks,,81,77
3,2:31.0,Shooting foul by J. Jackson (drawn by R. Neto),,81,77
3,2:31.0,R. Neto makes free throw 1 of 2,,82,77
3,2:31.0,G. Allen enters the game for A. Burks,,82,77
3,2:31.0,J. Ingles enters the game for R. Gobert,,82,77
3,2:31.0,T. Sefolosha enters the game for R. O'Neale,,82,77
3,2:31.0,R. Neto makes free throw 2 of 2,,83,77
3,2:23.0,,Turnover by D. Fox (bad pass; steal by D. Favors),83,77
3,2:17.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Neto),,86,77
3,1:57.0,,M. Bagley misses 2-pt layup from 4 ft,86,77
3,1:54.0,Defensive rebound by T. Sefolosha,,86,77
3,1:52.0,Turnover by G. Allen (traveling),,86,77
3,1:52.0,,B. Hield enters the game for B. Bogdanović,86,77
3,1:36.0,,H. Giles misses 2-pt hook shot from 9 ft,86,77
3,1:34.0,,Offensive rebound by H. Giles,86,77
3,1:31.0,,Turnover by H. Giles (lost ball; steal by T. Sefolosha),86,77
3,1:26.0,G. Allen makes 3-pt jump shot from 23 ft (assist by R. Neto),,89,77
3,1:14.0,,M. Bagley makes 2-pt layup from 2 ft (assist by H. Giles),89,79
3,1:01.0,R. Neto misses 2-pt layup from 3 ft (block by H. Giles),,89,79
3,1:01.0,Offensive rebound by Team,,89,79
3,0:57.0,D. Favors makes 2-pt jump shot from 19 ft (assist by J. Ingles),,91,79
3,0:46.0,,J. Jackson misses 3-pt jump shot from 23 ft,91,79
3,0:43.0,Defensive rebound by T. Sefolosha,,91,79
3,0:35.0,Turnover by D. Favors (traveling),,91,79
3,0:35.0,,F. Mason enters the game for D. Fox,91,79
3,0:31.0,,Personal foul by T. Sefolosha (drawn by F. Mason),91,79
3,0:31.0,,F. Mason misses free throw 1 of 2,91,79
3,0:31.0,,Offensive rebound by Team,91,79
3,0:31.0,,F. Mason makes free throw 2 of 2,91,80
3,0:11.0,D. Favors misses 2-pt layup from 5 ft (block by M. Bagley),,91,80
3,0:11.0,,Defensive rebound by H. Giles,91,80
3,0:04.0,,M. Bagley misses 2-pt layup from 3 ft (block by D. Favors),91,80
3,0:03.0,Defensive rebound by Team,,91,80
3,0:00.0,R. Neto misses 2-pt jump shot from 20 ft,,91,80
3,0:00.0,Offensive rebound by Team,,91,80
4,11:48.0,D. Favors makes 2-pt dunk from 1 ft (assist by R. Neto),,93,80
4,11:48.0,Shooting foul by H. Giles (drawn by D. Favors),,93,80
4,11:48.0,D. Favors makes free throw 1 of 1,,94,80
4,11:42.0,,Turnover by B. Hield (bad pass; steal by R. Neto),94,80
4,11:39.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Neto),,97,80
4,11:26.0,,B. Hield makes 2-pt layup from 1 ft (assist by H. Giles),97,82
4,11:11.0,G. Allen misses 3-pt jump shot from 23 ft,,97,82
4,11:07.0,,Defensive rebound by J. Jackson,97,82
4,11:07.0,,Personal foul by J. Ingles (drawn by F. Mason),97,82
4,10:53.0,,B. Hield misses 3-pt jump shot from 23 ft,97,82
4,10:48.0,Defensive rebound by D. Favors,,97,82
4,10:42.0,G. Allen misses 3-pt jump shot from 23 ft,,97,82
4,10:38.0,,Defensive rebound by H. Giles,97,82
4,10:35.0,,Shooting foul by R. Neto (drawn by J. Jackson),97,82
4,10:35.0,,J. Jackson misses free throw 1 of 2,97,82
4,10:35.0,,Offensive rebound by Team,97,82
4,10:35.0,,J. Jackson makes free throw 2 of 2,97,83
4,10:19.0,D. Favors makes 2-pt hook shot from 7 ft (assist by G. Allen),,99,83
4,10:13.0,,Personal foul by T. Sefolosha (drawn by H. Giles),99,83
4,10:10.0,,Turnover by B. Hield (bad pass; steal by T. Sefolosha),99,83
4,10:06.0,Shooting foul by M. Bagley (drawn by D. Favors),,99,83
4,10:06.0,D. Favors makes free throw 1 of 2,,100,83
4,10:06.0,D. Favors misses free throw 2 of 2,,100,83
4,10:04.0,,Defensive rebound by H. Giles,100,83
4,9:54.0,,M. Bagley misses 2-pt layup from 4 ft,100,83
4,9:48.0,,Offensive rebound by H. Giles,100,83
4,9:48.0,,H. Giles makes 2-pt dunk at rim,100,85
4,9:37.0,J. Ingles makes 2-pt jump shot from 6 ft,,102,85
4,9:22.0,,J. Jackson makes 2-pt layup from 2 ft (assist by H. Giles),102,87
4,9:03.0,T. Sefolosha misses 3-pt jump shot from 26 ft,,102,87
4,9:03.0,Offensive rebound by D. Favors,,102,87
4,9:01.0,Shooting foul by M. Bagley (drawn by D. Favors),,102,87
4,9:01.0,D. Favors misses free throw 1 of 2,,102,87
4,9:01.0,Offensive rebound by Team,,102,87
4,9:01.0,A. Burks enters the game for G. Allen,,102,87
4,9:01.0,D. Exum enters the game for J. Ingles,,102,87
4,9:01.0,R. Rubio enters the game for R. Neto,,102,87
4,9:01.0,D. Favors makes free throw 2 of 2,,103,87
4,8:50.0,,M. Bagley misses 3-pt jump shot from 23 ft,103,87
4,8:44.0,Defensive rebound by T. Sefolosha,,103,87
