QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA LAKERS_ACTION,WASHINGTON_SCORE,LA LAKERS_SCORE
4,5:31.0,T. Satoranský makes 2-pt jump shot from 13 ft (assist by B. Portis),,100,110
4,5:30.0,,LA Lakers full timeout,100,110
4,5:30.0,T. Bryant enters the game for B. Portis,,100,110
4,5:30.0,,L. Stephenson enters the game for L. James,100,110
4,5:18.0,,L. Stephenson makes 3-pt jump shot from 26 ft (assist by R. Rondo),100,113
4,4:57.0,B. Beal misses 2-pt layup from 1 ft (block by J. McGee),,100,113
4,4:53.0,Offensive rebound by T. Bryant,,100,113
4,4:53.0,Turnover by T. Bryant (lost ball; steal by L. Stephenson),,100,113
4,4:35.0,,L. Stephenson misses 3-pt jump shot from 25 ft,100,113
4,4:32.0,Defensive rebound by T. Satoranský,,100,113
4,4:20.0,J. Parker makes 2-pt dunk from 1 ft (assist by T. Satoranský),,102,113
4,3:59.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,102,113
4,3:54.0,Defensive rebound by J. Green,,102,113
4,3:43.0,J. Parker misses 3-pt jump shot from 26 ft,,102,113
4,3:39.0,,Defensive rebound by K. Caldwell-Pope,102,113
4,3:33.0,,K. Kuzma misses 2-pt jump shot from 6 ft,102,113
4,3:31.0,Defensive rebound by T. Bryant,,102,113
4,3:24.0,B. Beal makes 2-pt layup from 2 ft,,104,113
4,3:05.0,,J. McGee makes 2-pt dunk at rim (assist by R. Rondo),104,115
4,2:45.0,B. Beal misses 3-pt jump shot from 26 ft,,104,115
4,2:40.0,,Defensive rebound by L. Stephenson,104,115
4,2:32.0,,R. Rondo misses 3-pt jump shot from 28 ft,104,115
4,2:27.0,Defensive rebound by J. Parker,,104,115
4,2:27.0,Personal take foul by R. Rondo (drawn by J. Parker),,104,115
4,2:27.0,,L. James enters the game for K. Kuzma,104,115
4,2:09.0,T. Satoranský misses 3-pt jump shot from 27 ft,,104,115
4,2:07.0,,Defensive rebound by R. Rondo,104,115
4,2:05.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by R. Rondo),104,117
4,2:05.0,Washington full timeout,,104,117
4,1:43.0,Turnover by T. Bryant (bad pass; steal by L. James),,104,117
4,1:41.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),104,119
4,1:35.0,J. Parker misses 2-pt layup from 2 ft,,104,119
4,1:33.0,Offensive rebound by J. Parker,,104,119
4,1:33.0,J. Parker makes 2-pt dunk from 1 ft,,106,119
4,1:33.0,,Violation by Team (def goaltending),106,119
4,1:15.0,,L. James misses 2-pt jump shot from 18 ft,106,119
4,1:11.0,Defensive rebound by T. Satoranský,,106,119
4,1:08.0,T. Satoranský misses 2-pt dunk from 3 ft,,106,119
4,1:06.0,,Defensive rebound by J. McGee,106,119
4,1:06.0,,Violation by Team (kicked ball),106,119
4,1:06.0,T. Brown enters the game for B. Beal,,106,119
4,1:06.0,J. McRae enters the game for J. Parker,,106,119
4,1:06.0,C. Randle enters the game for T. Satoranský,,106,119
4,1:06.0,,I. Bonga enters the game for K. Caldwell-Pope,106,119
4,1:06.0,,A. Caruso enters the game for L. James,106,119
4,1:06.0,,S. Machado enters the game for J. McGee,106,119
4,1:06.0,,J. Williams enters the game for R. Rondo,106,119
4,0:59.0,C. Randle misses 2-pt jump shot from 17 ft,,106,119
4,0:56.0,,Defensive rebound by L. Stephenson,106,119
4,0:45.0,,S. Machado misses 2-pt jump shot from 17 ft,106,119
4,0:43.0,,Offensive rebound by J. Williams,106,119
4,0:43.0,,J. Williams makes 2-pt layup at rim,106,121
4,0:29.0,J. McRae misses 2-pt jump shot from 21 ft,,106,121
4,0:24.0,,Defensive rebound by L. Stephenson,106,121
4,0:20.0,,S. Machado makes 2-pt layup from 1 ft (assist by L. Stephenson),106,123
4,0:20.0,,Shooting foul by T. Brown (drawn by S. Machado),106,123
4,0:20.0,,S. Machado makes free throw 1 of 1,106,124
