QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DETROIT_ACTION,CHARLOTTE_SCORE,DETROIT_SCORE
1,7:21.0,,R. Jackson misses 3-pt jump shot from 27 ft,9,7
1,7:17.0,Defensive rebound by N. Batum,,9,7
1,7:05.0,M. Williams misses 3-pt jump shot from 28 ft,,9,7
1,7:01.0,,Defensive rebound by A. Drummond,9,7
1,6:44.0,,G. Robinson misses 3-pt jump shot from 28 ft,9,7
1,6:40.0,,Offensive rebound by R. Bullock,9,7
1,6:31.0,,B. Griffin misses 3-pt jump shot from 25 ft,9,7
1,6:27.0,Defensive rebound by N. Batum,,9,7
1,6:22.0,N. Batum misses 3-pt jump shot from 27 ft,,9,7
1,6:19.0,,Defensive rebound by B. Griffin,9,7
1,6:14.0,,Turnover by B. Griffin (bad pass),9,7
1,6:14.0,,Detroit full timeout,9,7
1,6:14.0,W. Hernangómez enters the game for C. Zeller,,9,7
1,6:14.0,,L. Galloway enters the game for G. Robinson,9,7
1,6:02.0,K. Walker makes 2-pt jump shot from 9 ft,,11,7
1,5:46.0,,B. Griffin makes 2-pt layup from 2 ft (assist by R. Jackson),11,9
1,5:37.0,Personal foul by R. Jackson (drawn by W. Hernangómez),,11,9
1,5:35.0,Offensive foul by N. Batum (drawn by R. Bullock),,11,9
1,5:35.0,Turnover by N. Batum (offensive foul),,11,9
1,5:15.0,,R. Jackson makes 3-pt jump shot from 23 ft (assist by B. Griffin),11,12
1,4:55.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by K. Walker),,13,12
1,4:47.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by R. Jackson),13,15
1,4:32.0,W. Hernangómez makes 2-pt layup from 3 ft (assist by K. Walker),,15,15
1,4:19.0,,R. Jackson misses 2-pt jump shot from 12 ft,15,15
1,4:18.0,Defensive rebound by Team,,15,15
1,4:18.0,,Loose ball foul by A. Drummond (drawn by W. Hernangómez),15,15
1,4:18.0,M. Bridges enters the game for N. Batum,,15,15
1,4:18.0,M. Kidd-Gilchrist enters the game for M. Williams,,15,15
1,4:18.0,,Z. Pachulia enters the game for A. Drummond,15,15
1,4:18.0,,I. Smith enters the game for R. Jackson,15,15
1,4:10.0,W. Hernangómez misses 3-pt jump shot from 27 ft,,15,15
1,4:10.0,Offensive rebound by W. Hernangómez,,15,15
1,4:03.0,K. Walker misses 3-pt jump shot from 26 ft,,15,15
1,4:03.0,,Defensive rebound by B. Griffin,15,15
1,3:56.0,,Personal foul by W. Hernangómez (drawn by Z. Pachulia),15,15
1,3:56.0,T. Parker enters the game for J. Lamb,,15,15
1,3:51.0,,B. Griffin misses 2-pt layup from 3 ft (block by M. Kidd-Gilchrist),15,15
1,3:48.0,Defensive rebound by W. Hernangómez,,15,15
1,3:30.0,T. Parker makes 2-pt jump shot from 14 ft (assist by K. Walker),,17,15
1,3:09.0,,L. Galloway misses 2-pt jump shot from 20 ft,17,15
1,3:09.0,,Offensive rebound by L. Galloway,17,15
1,3:06.0,,R. Bullock makes 3-pt jump shot from 28 ft (assist by B. Griffin),17,18
1,3:06.0,Charlotte full timeout,,17,18
1,3:01.0,T. Parker makes 2-pt layup from 4 ft,,19,18
1,2:39.0,,B. Griffin makes 2-pt hook shot from 6 ft,19,20
1,2:39.0,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Griffin),19,20
1,2:39.0,,B. Griffin misses free throw 1 of 1,19,20
1,2:39.0,Defensive rebound by M. Bridges,,19,20
1,2:23.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by M. Bridges),,21,20
1,2:08.0,,Z. Pachulia makes 2-pt hook shot from 7 ft (assist by B. Griffin),21,22
1,1:56.0,T. Parker misses 2-pt jump shot from 9 ft,,21,22
1,1:52.0,,Defensive rebound by Z. Pachulia,21,22
1,1:36.0,,B. Griffin misses 3-pt jump shot from 27 ft,21,22
1,1:32.0,Defensive rebound by M. Bridges,,21,22
1,1:22.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by K. Walker),,23,22
1,1:15.0,,L. Galloway misses 3-pt jump shot from 23 ft,23,22
1,1:12.0,Defensive rebound by M. Bridges,,23,22
1,1:11.0,Turnover by M. Bridges (bad pass),,23,22
1,1:11.0,M. Monk enters the game for K. Walker,,23,22
1,0:57.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by B. Griffin),23,25
1,0:40.0,Shooting foul by L. Galloway (drawn by M. Kidd-Gilchrist),,23,25
1,0:40.0,M. Kidd-Gilchrist misses free throw 1 of 2,,23,25
1,0:40.0,Offensive rebound by Team,,23,25
1,0:40.0,M. Kidd-Gilchrist makes free throw 2 of 2,,24,25
1,0:28.0,,I. Smith misses 3-pt jump shot from 29 ft,24,25
1,0:26.0,,Offensive rebound by Team,24,25
1,0:26.0,Loose ball foul by W. Hernangómez (drawn by Z. Pachulia),,24,25
1,0:12.0,,L. Galloway makes 2-pt layup from 6 ft,24,27
1,0:01.0,M. Kidd-Gilchrist misses 3-pt jump shot from 22 ft,,24,27
1,0:00.0,Offensive rebound by Team,,24,27
2,11:50.0,T. Parker misses 2-pt layup from 6 ft,,24,27
2,11:47.0,,Defensive rebound by Z. Pachulia,24,27
2,11:42.0,,S. Johnson misses 2-pt layup from 3 ft (block by M. Kidd-Gilchrist),24,27
2,11:40.0,,Offensive rebound by Team,24,27
2,11:40.0,J. Lamb enters the game for M. Kidd-Gilchrist,,24,27
2,11:32.0,,L. Galloway misses 3-pt jump shot from 29 ft,24,27
2,11:30.0,,Offensive rebound by Z. Pachulia,24,27
2,11:29.0,,Turnover by Z. Pachulia (lost ball; steal by J. Lamb),24,27
2,11:21.0,Shooting foul by Z. Pachulia (drawn by M. Bridges),,24,27
2,11:21.0,M. Bridges makes free throw 1 of 2,,25,27
2,11:21.0,M. Bridges makes free throw 2 of 2,,26,27
2,10:59.0,,G. Robinson misses 3-pt jump shot from 25 ft,26,27
2,10:59.0,,Offensive rebound by L. Galloway,26,27
2,10:52.0,,L. Galloway misses 3-pt jump shot from 28 ft,26,27
2,10:47.0,Defensive rebound by T. Parker,,26,27
2,10:42.0,T. Parker makes 2-pt hook shot from 6 ft,,28,27
2,10:36.0,,I. Smith makes 2-pt layup from 7 ft,28,29
2,10:16.0,T. Parker makes 2-pt jump shot from 14 ft,,30,29
2,10:08.0,,I. Smith misses 2-pt layup from 6 ft,30,29
2,10:02.0,Defensive rebound by J. Lamb,,30,29
2,9:59.0,J. Lamb makes 2-pt layup from 8 ft (assist by M. Bridges),,32,29
2,9:54.0,,Detroit full timeout,32,29
2,9:54.0,C. Zeller enters the game for M. Bridges,,32,29
2,9:54.0,,A. Drummond enters the game for Z. Pachulia,32,29
2,9:45.0,,I. Smith misses 3-pt jump shot from 27 ft,32,29
2,9:40.0,Defensive rebound by J. Lamb,,32,29
2,9:27.0,Personal foul by L. Galloway (drawn by C. Zeller),,32,29
2,9:18.0,M. Monk misses 3-pt jump shot from 24 ft,,32,29
2,9:14.0,,Defensive rebound by A. Drummond,32,29
2,8:55.0,,G. Robinson makes 2-pt jump shot from 5 ft (assist by I. Smith),32,31
2,8:41.0,T. Parker makes 2-pt jump shot from 18 ft,,34,31
2,8:24.0,,G. Robinson misses 3-pt jump shot from 23 ft,34,31
2,8:23.0,,Offensive rebound by Team,34,31
2,8:23.0,,Personal foul by J. Lamb (drawn by A. Drummond),34,31
2,8:13.0,,A. Drummond makes 2-pt layup from 3 ft,34,33
2,7:58.0,Personal foul by I. Smith (drawn by T. Parker),,34,33
2,7:49.0,T. Parker misses 2-pt jump shot from 14 ft,,34,33
2,7:46.0,,Defensive rebound by G. Robinson,34,33
2,7:46.0,,Personal foul by C. Zeller (drawn by A. Drummond),34,33
2,7:46.0,N. Batum enters the game for T. Parker,,34,33
2,7:46.0,K. Walker enters the game for M. Williams,,34,33
2,7:41.0,,Personal foul by M. Monk (drawn by L. Galloway),34,33
2,7:41.0,,R. Jackson enters the game for L. Galloway,34,33
2,7:29.0,,S. Johnson makes 2-pt layup from 3 ft,34,35
2,7:14.0,C. Zeller makes 2-pt layup from 4 ft (assist by M. Monk),,36,35
2,7:03.0,,Turnover by R. Jackson (bad pass; steal by J. Lamb),36,35
2,6:53.0,M. Monk misses 3-pt jump shot from 27 ft,,36,35
2,6:49.0,,Defensive rebound by S. Johnson,36,35
2,6:49.0,,S. Johnson misses 3-pt jump shot from 29 ft,36,35
2,6:41.0,Defensive rebound by M. Monk,,36,35
2,6:35.0,C. Zeller misses 2-pt layup from 4 ft,,36,35
2,6:32.0,,Defensive rebound by I. Smith,36,35
2,6:25.0,,Personal foul by M. Monk (drawn by I. Smith),36,35
2,6:19.0,,G. Robinson misses 2-pt jump shot from 5 ft,36,35
2,6:14.0,Defensive rebound by N. Batum,,36,35
2,6:07.0,J. Lamb makes 2-pt jump shot from 15 ft,,38,35
2,5:54.0,,S. Johnson makes 2-pt layup from 4 ft,38,37
2,5:38.0,K. Walker makes 2-pt jump shot from 18 ft,,40,37
2,5:29.0,,I. Smith misses 2-pt jump shot from 5 ft,40,37
2,5:27.0,Defensive rebound by M. Monk,,40,37
2,5:17.0,Turnover by M. Monk (bad pass; steal by S. Johnson),,40,37
2,5:17.0,M. Williams enters the game for M. Monk,,40,37
2,5:17.0,,R. Bullock enters the game for S. Johnson,40,37
2,5:17.0,,B. Griffin enters the game for G. Robinson,40,37
2,5:09.0,,Shooting foul by J. Lamb (drawn by R. Jackson),40,37
2,5:09.0,,R. Jackson makes free throw 1 of 2,40,38
2,5:09.0,T. Parker enters the game for J. Lamb,,40,38
2,5:09.0,,S. Johnson enters the game for I. Smith,40,38
2,5:09.0,,R. Jackson makes free throw 2 of 2,40,39
2,4:57.0,K. Walker makes 2-pt jump shot from 7 ft,,42,39
2,4:42.0,,R. Jackson makes 2-pt jump shot from 18 ft (assist by R. Bullock),42,41
2,4:24.0,N. Batum misses 3-pt jump shot from 22 ft,,42,41
2,4:22.0,,Defensive rebound by Team,42,41
2,4:06.0,,Personal foul by M. Williams (drawn by A. Drummond),42,41
2,4:06.0,,A. Drummond makes free throw 1 of 2,42,42
2,4:06.0,,A. Drummond makes free throw 2 of 2,42,43
2,3:52.0,M. Williams makes 3-pt jump shot from 27 ft (assist by T. Parker),,45,43
2,3:41.0,,Shooting foul by K. Walker (drawn by R. Jackson),45,43
2,3:41.0,,R. Jackson makes free throw 1 of 2,45,44
2,3:41.0,,R. Jackson misses free throw 2 of 2,45,44
2,3:38.0,,Offensive rebound by A. Drummond,45,44
2,3:29.0,,Shooting foul by C. Zeller (drawn by B. Griffin),45,44
2,3:29.0,,B. Griffin makes free throw 1 of 2,45,45
2,3:29.0,Charlotte full timeout,,45,45
2,3:29.0,,B. Griffin makes free throw 2 of 2,45,46
2,3:19.0,M. Williams misses 3-pt jump shot from 24 ft,,45,46
2,3:17.0,,Defensive rebound by S. Johnson,45,46
2,3:05.0,,Offensive foul by A. Drummond (drawn by C. Zeller),45,46
2,3:05.0,,Turnover by A. Drummond (offensive foul),45,46
2,3:05.0,,Z. Pachulia enters the game for A. Drummond,45,46
2,2:43.0,K. Walker makes 2-pt jump shot from 7 ft,,47,46
2,2:17.0,,S. Johnson misses 3-pt jump shot from 27 ft,47,46
2,2:15.0,,Offensive rebound by B. Griffin,47,46
2,2:03.0,,R. Bullock misses 2-pt jump shot from 14 ft,47,46
2,2:00.0,Defensive rebound by T. Parker,,47,46
2,1:52.0,N. Batum misses 3-pt jump shot from 27 ft,,47,46
2,1:48.0,,Defensive rebound by S. Johnson,47,46
2,1:43.0,,B. Griffin misses 2-pt layup from 3 ft (block by C. Zeller),47,46
2,1:42.0,,Offensive rebound by B. Griffin,47,46
2,1:36.0,,B. Griffin misses 2-pt layup from 3 ft,47,46
2,1:33.0,,Offensive rebound by Z. Pachulia,47,46
2,1:32.0,,Z. Pachulia misses 2-pt layup from 1 ft,47,46
2,1:30.0,Defensive rebound by K. Walker,,47,46
2,1:29.0,K. Walker makes 2-pt jump shot from 14 ft,,49,46
2,1:06.0,,S. Johnson misses 2-pt layup from 5 ft,49,46
2,1:04.0,Defensive rebound by M. Williams,,49,46
2,0:59.0,K. Walker misses 2-pt jump shot from 14 ft,,49,46
2,0:51.0,,Defensive rebound by Z. Pachulia,49,46
2,0:47.0,,R. Jackson makes 3-pt jump shot from 29 ft,49,49
2,0:35.0,T. Parker makes 2-pt jump shot from 11 ft,,51,49
2,0:31.0,,R. Jackson misses 3-pt jump shot from 29 ft,51,49
2,0:26.0,Defensive rebound by T. Parker,,51,49
2,0:12.0,Personal foul by B. Griffin (drawn by T. Parker),,51,49
2,0:05.0,M. Williams misses 3-pt jump shot from 26 ft,,51,49
2,0:05.0,Offensive rebound by M. Williams,,51,49
2,0:02.0,M. Williams misses 2-pt jump shot from 8 ft,,51,49
2,0:00.0,,Defensive rebound by B. Griffin,51,49
3,11:47.0,C. Zeller makes 2-pt layup from 6 ft (assist by N. Batum),,53,49
3,11:18.0,,B. Griffin misses 3-pt jump shot from 26 ft,53,49
3,11:14.0,Defensive rebound by M. Williams,,53,49
3,11:08.0,M. Williams makes 3-pt jump shot from 27 ft (assist by J. Lamb),,56,49
3,10:46.0,,R. Bullock misses 2-pt jump shot from 14 ft (block by N. Batum),56,49
3,10:43.0,Defensive rebound by J. Lamb,,56,49
3,10:42.0,K. Walker makes 2-pt layup from 5 ft (assist by J. Lamb),,58,49
3,10:42.0,,Detroit full timeout,58,49
3,10:35.0,,Personal foul by M. Williams (drawn by B. Griffin),58,49
3,10:26.0,,Turnover by B. Griffin (lost ball; steal by M. Williams),58,49
3,10:16.0,C. Zeller misses 2-pt layup from 8 ft (block by G. Robinson),,58,49
3,10:11.0,,Defensive rebound by R. Bullock,58,49
3,10:08.0,,G. Robinson misses 3-pt jump shot from 24 ft,58,49
3,10:05.0,,Offensive rebound by A. Drummond,58,49
3,10:04.0,,A. Drummond misses 2-pt layup from 5 ft,58,49
3,10:00.0,,Offensive rebound by A. Drummond,58,49
3,9:59.0,,A. Drummond makes 2-pt layup from 4 ft,58,51
3,9:44.0,K. Walker misses 2-pt jump shot from 14 ft,,58,51
3,9:44.0,Offensive rebound by Team,,58,51
3,9:44.0,,Loose ball foul by R. Jackson (drawn by N. Batum),58,51
3,9:35.0,J. Lamb makes 3-pt jump shot from 27 ft (assist by C. Zeller),,61,51
3,9:11.0,,B. Griffin misses 2-pt layup from 2 ft,61,51
3,9:08.0,,Offensive rebound by A. Drummond,61,51
3,9:06.0,,R. Bullock makes 3-pt jump shot from 27 ft (assist by A. Drummond),61,54
3,9:03.0,,Technical foul by B. Griffin,61,54
3,9:03.0,K. Walker makes technical free throw,,62,54
3,8:46.0,C. Zeller misses 2-pt layup from 4 ft (block by B. Griffin),,62,54
3,8:44.0,,Defensive rebound by G. Robinson,62,54
3,8:37.0,,A. Drummond misses 2-pt layup from 2 ft,62,54
3,8:37.0,,Offensive rebound by R. Jackson,62,54
3,8:30.0,,A. Drummond makes 2-pt layup from 4 ft (assist by G. Robinson),62,56
3,8:30.0,,Shooting foul by C. Zeller (drawn by A. Drummond),62,56
3,8:30.0,,A. Drummond misses free throw 1 of 1,62,56
3,8:27.0,Defensive rebound by N. Batum,,62,56
3,8:19.0,K. Walker makes 3-pt jump shot from 27 ft,,65,56
3,7:58.0,,Turnover by R. Jackson (out of bounds lost ball),65,56
3,7:48.0,K. Walker misses 2-pt layup from 5 ft (block by A. Drummond),,65,56
3,7:47.0,Offensive rebound by Team,,65,56
3,7:42.0,Turnover by N. Batum (bad pass; steal by A. Drummond),,65,56
3,7:26.0,,R. Bullock makes 3-pt jump shot from 27 ft (assist by B. Griffin),65,59
3,7:06.0,Turnover by J. Lamb (traveling),,65,59
3,6:50.0,,B. Griffin misses 2-pt layup from 7 ft (block by C. Zeller),65,59
3,6:46.0,Defensive rebound by C. Zeller,,65,59
3,6:42.0,J. Lamb misses 2-pt jump shot from 16 ft,,65,59
3,6:38.0,,Defensive rebound by A. Drummond,65,59
3,6:27.0,,Personal foul by N. Batum (drawn by R. Bullock),65,59
3,6:27.0,W. Hernangómez enters the game for C. Zeller,,65,59
3,6:22.0,,R. Bullock misses 3-pt jump shot from 27 ft,65,59
3,6:17.0,Defensive rebound by N. Batum,,65,59
3,6:16.0,Offensive foul by W. Hernangómez (drawn by B. Griffin),,65,59
3,6:16.0,Turnover by W. Hernangómez (offensive foul),,65,59
3,6:02.0,,R. Jackson misses 3-pt jump shot from 27 ft,65,59
3,5:58.0,Defensive rebound by J. Lamb,,65,59
3,5:53.0,M. Williams misses 3-pt jump shot from 27 ft,,65,59
3,5:47.0,Offensive rebound by W. Hernangómez,,65,59
3,5:45.0,N. Batum makes 3-pt jump shot from 24 ft (assist by W. Hernangómez),,68,59
3,5:30.0,,Turnover by A. Drummond (out of bounds lost ball),68,59
3,5:30.0,,L. Galloway enters the game for G. Robinson,68,59
3,5:21.0,Shooting foul by R. Jackson (drawn by K. Walker),,68,59
3,5:21.0,K. Walker makes free throw 1 of 3,,69,59
3,5:21.0,K. Walker makes free throw 2 of 3,,70,59
3,5:21.0,M. Bridges enters the game for N. Batum,,70,59
3,5:21.0,,I. Smith enters the game for R. Jackson,70,59
3,5:21.0,K. Walker makes free throw 3 of 3,,71,59
3,5:11.0,,Personal foul by W. Hernangómez (drawn by A. Drummond),71,59
3,4:59.0,,B. Griffin misses 3-pt jump shot from 26 ft,71,59
3,4:52.0,Defensive rebound by M. Bridges,,71,59
3,4:46.0,M. Williams makes 3-pt jump shot from 27 ft (assist by K. Walker),,74,59
3,4:29.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by A. Drummond),74,62
3,4:07.0,W. Hernangómez makes 3-pt jump shot from 25 ft (assist by J. Lamb),,77,62
3,3:44.0,,R. Bullock makes 3-pt jump shot from 22 ft (assist by I. Smith),77,65
3,3:43.0,Charlotte full timeout,,77,65
3,3:43.0,,S. Johnson enters the game for B. Griffin,77,65
3,3:28.0,W. Hernangómez misses 2-pt hook shot from 8 ft,,77,65
3,3:27.0,,Defensive rebound by Team,77,65
3,3:27.0,M. Monk enters the game for M. Williams,,77,65
3,3:16.0,,Shooting foul by J. Lamb (drawn by R. Bullock),77,65
3,3:16.0,,R. Bullock makes free throw 1 of 3,77,66
3,3:16.0,,R. Bullock makes free throw 2 of 3,77,67
3,3:16.0,T. Parker enters the game for J. Lamb,,77,67
3,3:16.0,,R. Bullock makes free throw 3 of 3,77,68
3,3:13.0,Turnover by W. Hernangómez (bad pass; steal by A. Drummond),,77,68
3,3:08.0,,S. Johnson misses 2-pt layup from 4 ft (block by W. Hernangómez),77,68
3,3:08.0,,Offensive rebound by A. Drummond,77,68
3,3:08.0,,A. Drummond makes 2-pt layup from 5 ft,77,70
3,3:08.0,Charlotte full timeout,,77,70
3,2:51.0,Shooting foul by I. Smith (drawn by M. Monk),,77,70
3,2:51.0,M. Monk makes free throw 1 of 2,,78,70
3,2:51.0,M. Monk makes free throw 2 of 2,,79,70
3,2:37.0,,R. Bullock misses 3-pt jump shot from 28 ft,79,70
3,2:35.0,Defensive rebound by M. Bridges,,79,70
3,2:28.0,M. Monk misses 2-pt hook shot from 8 ft,,79,70
3,2:27.0,Offensive rebound by Team,,79,70
3,2:20.0,W. Hernangómez makes 2-pt jump shot from 8 ft (assist by K. Walker),,81,70
3,2:10.0,,Personal foul by M. Bridges (drawn by A. Drummond),81,70
3,2:10.0,,A. Drummond misses free throw 1 of 2,81,70
3,2:10.0,,Offensive rebound by Team,81,70
3,2:10.0,,J. Calderón enters the game for R. Bullock,81,70
3,2:10.0,,A. Drummond makes free throw 2 of 2,81,71
3,1:52.0,M. Monk misses 2-pt jump shot from 7 ft,,81,71
3,1:49.0,,Defensive rebound by S. Johnson,81,71
3,1:40.0,,L. Galloway makes 2-pt layup from 8 ft (assist by A. Drummond),81,73
3,1:19.0,T. Parker makes 2-pt jump shot from 15 ft,,83,73
3,1:08.0,,A. Drummond misses 2-pt hook shot from 8 ft,83,73
3,1:06.0,Defensive rebound by M. Monk,,83,73
3,0:49.0,T. Parker misses 2-pt jump shot from 9 ft,,83,73
3,0:46.0,,Defensive rebound by I. Smith,83,73
3,0:38.0,,I. Smith makes 2-pt layup from 4 ft,83,75
3,0:15.0,K. Walker misses 3-pt jump shot from 26 ft,,83,75
3,0:12.0,,Defensive rebound by A. Drummond,83,75
3,0:01.0,,I. Smith misses 3-pt jump shot from 26 ft,83,75
3,0:00.0,,Offensive rebound by Team,83,75
4,11:48.0,,J. Calderón misses 2-pt jump shot from 14 ft,83,75
4,11:45.0,Defensive rebound by C. Zeller,,83,75
4,11:30.0,C. Zeller makes 2-pt jump shot from 7 ft (assist by T. Parker),,85,75
4,11:11.0,,S. Johnson misses 2-pt jump shot from 11 ft,85,75
4,11:09.0,Defensive rebound by C. Zeller,,85,75
4,11:02.0,T. Parker makes 2-pt layup from 6 ft,,87,75
4,10:55.0,,I. Smith misses 3-pt jump shot from 27 ft,87,75
4,10:51.0,Defensive rebound by N. Batum,,87,75
4,10:41.0,T. Parker misses 2-pt jump shot from 12 ft,,87,75
4,10:38.0,Offensive rebound by M. Bridges,,87,75
4,10:36.0,M. Bridges makes 2-pt layup from 2 ft,,89,75
4,10:24.0,,S. Johnson misses 3-pt jump shot from 27 ft,89,75
4,10:21.0,Defensive rebound by M. Monk,,89,75
4,10:10.0,M. Bridges makes 2-pt dunk at rim (assist by M. Monk),,91,75
4,10:10.0,,Detroit full timeout,91,75
4,10:10.0,,A. Drummond enters the game for L. Galloway,91,75
4,10:10.0,,R. Jackson enters the game for S. Johnson,91,75
4,10:10.0,,G. Robinson enters the game for I. Smith,91,75
4,10:00.0,,J. Calderón misses 3-pt jump shot from 27 ft,91,75
4,9:57.0,,Offensive rebound by B. Griffin,91,75
4,9:54.0,,J. Calderón misses 3-pt jump shot from 26 ft,91,75
4,9:50.0,Defensive rebound by M. Bridges,,91,75
4,9:33.0,M. Bridges misses 3-pt jump shot from 27 ft,,91,75
4,9:30.0,,Defensive rebound by A. Drummond,91,75
4,9:22.0,,B. Griffin makes 2-pt layup from 4 ft (assist by R. Jackson),91,77
4,9:06.0,T. Parker makes 2-pt jump shot from 19 ft,,93,77
4,8:56.0,,Turnover by R. Jackson (bad pass; steal by N. Batum),93,77
4,8:51.0,M. Bridges makes 2-pt dunk from 7 ft (assist by T. Parker),,95,77
4,8:50.0,,Detroit full timeout,95,77
4,8:33.0,,B. Griffin makes 2-pt hook shot from 8 ft (assist by R. Jackson),95,79
4,8:07.0,T. Parker makes 3-pt jump shot from 29 ft (assist by N. Batum),,98,79
4,7:47.0,,B. Griffin misses 2-pt layup from 6 ft,98,79
4,7:47.0,,Offensive rebound by Team,98,79
4,7:38.0,,B. Griffin misses 2-pt hook shot from 9 ft,98,79
4,7:34.0,Defensive rebound by N. Batum,,98,79
4,7:31.0,Turnover by T. Parker (traveling),,98,79
4,7:18.0,,G. Robinson misses 2-pt jump shot from 18 ft,98,79
4,7:16.0,Defensive rebound by M. Bridges,,98,79
4,7:16.0,Personal foul by A. Drummond (drawn by M. Bridges),,98,79
4,7:16.0,,R. Bullock enters the game for J. Calderón,98,79
4,7:06.0,Flagrant foul type 2 by B. Griffin (drawn by M. Monk),,98,79
4,7:06.0,,B. Griffin ejected from game,98,79
4,7:06.0,M. Monk makes flagrant free throw 1 of 2,,99,79
4,7:06.0,M. Monk makes flagrant free throw 2 of 2,,100,79
4,7:06.0,,L. Galloway enters the game for B. Griffin,100,79
4,7:06.0,,I. Smith enters the game for G. Robinson,100,79
4,7:01.0,T. Parker misses 2-pt jump shot from 20 ft,,100,79
4,6:58.0,,Defensive rebound by L. Galloway,100,79
4,6:46.0,,A. Drummond makes 2-pt layup from 2 ft (assist by R. Jackson),100,81
4,6:32.0,M. Monk misses 3-pt jump shot from 25 ft,,100,81
4,6:32.0,,Defensive rebound by A. Drummond,100,81
4,6:26.0,,Personal foul by N. Batum (drawn by A. Drummond),100,81
4,6:20.0,,I. Smith misses 2-pt layup from 4 ft (block by C. Zeller),100,81
4,6:16.0,Defensive rebound by N. Batum,,100,81
4,6:13.0,Turnover by N. Batum (lost ball; steal by A. Drummond),,100,81
4,6:09.0,,A. Drummond makes 2-pt dunk from 2 ft,100,83
4,5:56.0,C. Zeller makes 2-pt layup from 3 ft (assist by T. Parker),,102,83
4,5:56.0,,Violation by Team (def goaltending),102,83
4,5:50.0,,Shooting foul by C. Zeller (drawn by A. Drummond),102,83
4,5:50.0,,A. Drummond makes free throw 1 of 2,102,84
4,5:50.0,K. Walker enters the game for M. Monk,,102,84
4,5:50.0,,A. Drummond makes free throw 2 of 2,102,85
4,5:38.0,C. Zeller misses 2-pt layup from 3 ft (block by A. Drummond),,102,85
4,5:33.0,,Defensive rebound by A. Drummond,102,85
4,5:31.0,,L. Galloway misses 2-pt layup from 2 ft,102,85
