QUARTER,TIME_REMAINING,WASHINGTON_ACTION,SAN ANTONIO_ACTION,WASHINGTON_SCORE,SAN ANTONIO_SCORE
2,11:34.0,C. Randle makes 3-pt jump shot from 26 ft (assist by T. Ariza),,29,36
2,11:21.0,,Shooting foul by J. Green (drawn by M. Belinelli),29,36
2,11:21.0,,M. Belinelli makes free throw 1 of 2,29,37
2,11:21.0,,R. Gay enters the game for D. Bertāns,29,37
2,11:21.0,,D. White enters the game for D. Cunningham,29,37
2,11:21.0,,M. Belinelli makes free throw 2 of 2,29,38
2,11:06.0,Shooting foul by J. Poeltl (drawn by T. Brown),,29,38
2,11:06.0,T. Brown makes free throw 1 of 2,,30,38
2,11:06.0,T. Brown misses free throw 2 of 2,,30,38
2,11:04.0,,Defensive rebound by M. Belinelli,30,38
2,10:58.0,,Personal foul by T. Brown (drawn by J. Poeltl),30,38
2,10:45.0,,Turnover by P. Mills (bad pass; steal by T. Ariza),30,38
2,10:39.0,J. Green makes 3-pt jump shot from 24 ft (assist by C. Randle),,33,38
2,10:26.0,,R. Gay misses 3-pt jump shot from 25 ft,33,38
2,10:23.0,Defensive rebound by T. Satoranský,,33,38
2,10:20.0,Shooting foul by M. Belinelli (drawn by C. Randle),,33,38
2,10:20.0,C. Randle misses free throw 1 of 2,,33,38
2,10:20.0,Offensive rebound by Team,,33,38
2,10:20.0,,L. Aldridge enters the game for J. Poeltl,33,38
2,10:20.0,C. Randle makes free throw 2 of 2,,34,38
2,10:07.0,,P. Mills makes 2-pt layup from 2 ft (assist by L. Aldridge),34,40
2,9:56.0,J. Green makes 3-pt jump shot from 26 ft (assist by C. Randle),,37,40
2,9:42.0,,Turnover by D. White (bad pass; steal by T. Ariza),37,40
2,9:37.0,C. Randle misses 3-pt jump shot from 23 ft,,37,40
2,9:36.0,Offensive rebound by Team,,37,40
2,9:36.0,Personal foul by R. Gay (drawn by T. Brown),,37,40
2,9:36.0,,B. Forbes enters the game for P. Mills,37,40
2,9:24.0,T. Satoranský makes 2-pt layup from 2 ft (assist by T. Ariza),,39,40
2,9:24.0,Shooting foul by M. Belinelli (drawn by T. Satoranský),,39,40
2,9:24.0,T. Satoranský makes free throw 1 of 1,,40,40
2,9:24.0,,L. Walker enters the game for M. Belinelli,40,40
2,9:06.0,,Shooting foul by T. Ariza (drawn by D. White),40,40
2,9:06.0,,D. White makes free throw 1 of 2,40,41
2,9:06.0,,D. White makes free throw 2 of 2,40,42
2,8:47.0,J. Green makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,43,42
2,8:33.0,,B. Forbes makes 2-pt jump shot from 16 ft,43,44
2,8:24.0,Shooting foul by L. Walker (drawn by C. Randle),,43,44
2,8:24.0,C. Randle makes free throw 1 of 2,,44,44
2,8:24.0,C. Randle makes free throw 2 of 2,,45,44
2,8:12.0,,Personal foul by C. Randle (drawn by L. Aldridge),45,44
2,8:12.0,B. Beal enters the game for T. Brown,,45,44
2,8:12.0,O. Porter enters the game for C. Randle,,45,44
2,8:00.0,,Shooting foul by O. Porter (drawn by R. Gay),45,44
2,8:00.0,,R. Gay misses free throw 1 of 2,45,44
2,8:00.0,,Offensive rebound by Team,45,44
2,8:00.0,,R. Gay makes free throw 2 of 2,45,45
2,7:50.0,T. Satoranský makes 2-pt layup from 1 ft,,47,45
2,7:49.0,,San Antonio full timeout,47,45
2,7:49.0,,D. Bertāns enters the game for L. Walker,47,45
2,7:30.0,,L. Aldridge makes 2-pt jump shot from 14 ft,47,47
2,7:13.0,T. Satoranský makes 3-pt jump shot from 25 ft (assist by O. Porter),,50,47
2,7:08.0,,San Antonio full timeout,50,47
2,7:00.0,,B. Forbes makes 3-pt jump shot from 23 ft (assist by L. Aldridge),50,50
2,6:35.0,J. Green misses 3-pt jump shot from 26 ft,,50,50
2,6:31.0,,Defensive rebound by R. Gay,50,50
2,6:25.0,,L. Aldridge makes 2-pt hook shot from 8 ft (assist by R. Gay),50,52
2,6:15.0,Shooting foul by B. Forbes (drawn by B. Beal),,50,52
2,6:15.0,B. Beal misses free throw 1 of 2,,50,52
2,6:15.0,Offensive rebound by Team,,50,52
2,6:15.0,T. Bryant enters the game for J. Green,,50,52
2,6:15.0,B. Beal makes free throw 2 of 2,,51,52
2,5:58.0,,D. White makes 2-pt layup at rim (assist by L. Aldridge),51,54
2,5:38.0,B. Beal makes 2-pt jump shot from 11 ft,,53,54
2,5:26.0,,Shooting foul by T. Bryant (drawn by L. Aldridge),53,54
2,5:26.0,,L. Aldridge makes free throw 1 of 2,53,55
2,5:26.0,,L. Aldridge makes free throw 2 of 2,53,56
2,5:13.0,T. Ariza misses 3-pt jump shot from 25 ft,,53,56
2,5:09.0,,Defensive rebound by B. Forbes,53,56
2,4:57.0,,B. Forbes makes 3-pt jump shot from 23 ft (assist by D. Bertāns),53,59
2,4:41.0,T. Bryant makes 3-pt jump shot from 24 ft (assist by T. Satoranský),,56,59
2,4:29.0,,R. Gay misses 2-pt jump shot from 7 ft,56,59
2,4:29.0,,Offensive rebound by R. Gay,56,59
2,4:25.0,,Turnover by R. Gay (lost ball; steal by B. Beal),56,59
2,4:21.0,B. Beal makes 3-pt jump shot from 26 ft (assist by T. Satoranský),,59,59
2,4:07.0,,Def 3 sec tech foul by Team,59,59
2,4:07.0,,L. Aldridge makes technical free throw,59,60
2,4:07.0,,M. Belinelli enters the game for R. Gay,59,60
2,4:07.0,,P. Mills enters the game for D. White,59,60
2,3:58.0,,B. Forbes misses 3-pt jump shot from 26 ft,59,60
2,3:53.0,Defensive rebound by T. Bryant,,59,60
2,3:45.0,Shooting foul by P. Mills (drawn by T. Bryant),,59,60
2,3:45.0,T. Bryant misses free throw 1 of 2,,59,60
2,3:45.0,Offensive rebound by Team,,59,60
2,3:45.0,T. Bryant makes free throw 2 of 2,,60,60
2,3:36.0,,Turnover by P. Mills (bad pass),60,60
2,3:23.0,B. Beal makes 2-pt layup from 1 ft,,62,60
2,3:23.0,Shooting foul by B. Forbes (drawn by B. Beal),,62,60
2,3:23.0,B. Beal makes free throw 1 of 1,,63,60
2,3:10.0,,L. Aldridge misses 2-pt jump shot from 13 ft,63,60
2,3:08.0,Defensive rebound by T. Satoranský,,63,60
2,2:56.0,B. Beal misses 2-pt layup from 2 ft,,63,60
2,2:51.0,Offensive rebound by T. Satoranský,,63,60
2,2:51.0,T. Satoranský makes 2-pt layup at rim,,65,60
2,2:46.0,,D. Bertāns makes 3-pt jump shot from 25 ft (assist by B. Forbes),65,63
2,2:34.0,T. Ariza misses 3-pt jump shot from 26 ft,,65,63
2,2:34.0,Offensive rebound by T. Satoranský,,65,63
2,2:30.0,B. Beal misses 3-pt jump shot from 22 ft,,65,63
2,2:28.0,,Defensive rebound by D. Bertāns,65,63
2,2:18.0,,L. Aldridge makes 2-pt layup from 3 ft (assist by B. Forbes),65,65
2,1:57.0,O. Porter makes 2-pt jump shot from 23 ft (assist by B. Beal),,67,65
2,1:40.0,,P. Mills misses 2-pt layup at rim,67,65
2,1:40.0,,Offensive rebound by L. Aldridge,67,65
2,1:33.0,,L. Aldridge makes 2-pt dunk from 1 ft,67,67
2,1:25.0,T. Ariza makes 2-pt layup from 1 ft (assist by O. Porter),,69,67
2,1:11.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by P. Mills),69,70
2,0:45.0,O. Porter misses 2-pt jump shot from 10 ft,,69,70
2,0:43.0,,Defensive rebound by B. Forbes,69,70
2,0:36.0,,M. Belinelli misses 3-pt jump shot from 23 ft,69,70
2,0:33.0,,Offensive rebound by L. Aldridge,69,70
2,0:30.0,,P. Mills misses 3-pt jump shot from 24 ft,69,70
2,0:28.0,Defensive rebound by T. Bryant,,69,70
2,0:08.0,B. Beal misses 2-pt dunk from 1 ft (block by L. Aldridge),,69,70
2,0:05.0,Offensive rebound by T. Satoranský,,69,70
2,0:04.0,T. Satoranský misses 3-pt jump shot from 22 ft,,69,70
2,0:02.0,,Defensive rebound by L. Aldridge,69,70
2,0:00.0,,L. Aldridge misses 3-pt jump shot from 26 ft,69,70
2,0:00.0,,Offensive rebound by Team,69,70
3,11:42.0,,R. Gay makes 2-pt jump shot from 21 ft,69,72
3,11:28.0,T. Ariza misses 3-pt jump shot from 25 ft,,69,72
3,11:25.0,,Defensive rebound by D. White,69,72
3,11:17.0,,D. White misses 2-pt jump shot from 10 ft,69,72
3,11:15.0,Defensive rebound by B. Beal,,69,72
3,10:59.0,T. Satoranský misses 2-pt jump shot from 9 ft,,69,72
3,10:57.0,,Defensive rebound by P. Gasol,69,72
3,10:57.0,,Personal foul by T. Satoranský (drawn by D. White),69,72
3,10:42.0,,Offensive foul by L. Aldridge (drawn by J. Green),69,72
3,10:42.0,,Turnover by L. Aldridge (offensive foul),69,72
3,10:33.0,B. Beal misses 3-pt jump shot from 26 ft,,69,72
3,10:30.0,,Defensive rebound by B. Forbes,69,72
3,10:23.0,,P. Gasol makes 3-pt jump shot from 25 ft (assist by B. Forbes),69,75
3,10:05.0,T. Satoranský misses 3-pt jump shot from 23 ft,,69,75
3,10:02.0,,Defensive rebound by L. Aldridge,69,75
3,9:55.0,,B. Forbes misses 3-pt jump shot from 24 ft,69,75
3,9:51.0,Defensive rebound by T. Bryant,,69,75
3,9:40.0,J. Green makes 2-pt jump shot from 5 ft,,71,75
3,9:24.0,,L. Aldridge makes 2-pt jump shot from 11 ft,71,77
3,8:57.0,T. Ariza makes 2-pt jump shot from 16 ft (assist by T. Bryant),,73,77
3,8:39.0,,P. Gasol misses 2-pt hook shot from 5 ft,73,77
3,8:39.0,,Offensive rebound by P. Gasol,73,77
3,8:36.0,,Turnover by P. Gasol (lost ball; steal by T. Satoranský),73,77
3,8:31.0,J. Green misses 3-pt jump shot from 23 ft,,73,77
3,8:26.0,,Defensive rebound by D. White,73,77
3,8:19.0,,R. Gay misses 2-pt jump shot from 8 ft,73,77
3,8:18.0,Defensive rebound by T. Satoranský,,73,77
3,8:07.0,T. Bryant misses 2-pt jump shot from 19 ft,,73,77
3,8:07.0,,Defensive rebound by D. White,73,77
3,7:46.0,,Shooting foul by B. Beal (drawn by P. Gasol),73,77
3,7:46.0,,P. Gasol makes free throw 1 of 2,73,78
3,7:46.0,,P. Gasol makes free throw 2 of 2,73,79
3,7:34.0,Turnover by B. Beal (bad pass; steal by L. Aldridge),,73,79
3,7:29.0,,D. White makes 2-pt layup from 1 ft,73,81
3,7:29.0,Washington full timeout,,73,81
3,7:17.0,B. Beal misses 2-pt jump shot from 12 ft,,73,81
3,7:15.0,Offensive rebound by B. Beal,,73,81
3,7:13.0,J. Green misses 3-pt jump shot from 25 ft,,73,81
3,7:13.0,Offensive rebound by Team,,73,81
3,7:10.0,T. Satoranský misses 2-pt layup from 1 ft,,73,81
3,7:08.0,,Defensive rebound by L. Aldridge,73,81
3,6:58.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. White),73,83
3,6:45.0,Shooting foul by L. Aldridge (drawn by T. Ariza),,73,83
3,6:45.0,T. Ariza misses free throw 1 of 2,,73,83
3,6:45.0,Offensive rebound by Team,,73,83
3,6:45.0,,P. Mills enters the game for B. Forbes,73,83
3,6:45.0,T. Ariza misses free throw 2 of 2,,73,83
3,6:43.0,,Defensive rebound by P. Gasol,73,83
3,6:22.0,,L. Aldridge misses 2-pt jump shot from 19 ft,73,83
3,6:21.0,,Offensive rebound by P. Gasol,73,83
3,6:20.0,,P. Gasol misses 2-pt layup from 1 ft,73,83
3,6:18.0,Defensive rebound by T. Bryant,,73,83
3,6:11.0,T. Ariza misses 3-pt jump shot from 25 ft,,73,83
3,6:11.0,,Defensive rebound by P. Gasol,73,83
3,6:00.0,,Personal foul by J. Green (drawn by P. Gasol),73,83
3,6:00.0,,D. Bertāns enters the game for P. Gasol,73,83
3,5:58.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by D. Bertāns),73,86
3,5:36.0,B. Beal makes 3-pt jump shot from 25 ft (assist by T. Bryant),,76,86
3,5:31.0,,Turnover by D. Bertāns (bad pass; steal by B. Beal),76,86
3,5:30.0,T. Satoranský makes 2-pt layup from 1 ft (assist by B. Beal),,78,86
3,5:30.0,,San Antonio full timeout,78,86
3,5:22.0,,D. Bertāns misses 3-pt jump shot from 24 ft,78,86
3,5:17.0,Defensive rebound by T. Satoranský,,78,86
3,5:12.0,B. Beal misses 3-pt jump shot from 24 ft,,78,86
3,5:10.0,,Defensive rebound by R. Gay,78,86
3,4:56.0,,L. Aldridge misses 3-pt jump shot from 23 ft,78,86
3,4:52.0,Defensive rebound by T. Ariza,,78,86
3,4:33.0,T. Satoranský makes 3-pt jump shot from 25 ft (assist by J. Green),,81,86
3,4:04.0,,R. Gay misses 2-pt jump shot from 14 ft,81,86
3,4:00.0,,Offensive rebound by L. Aldridge,81,86
3,3:59.0,,L. Aldridge misses 2-pt layup from 2 ft,81,86
3,3:57.0,Defensive rebound by T. Bryant,,81,86
3,3:51.0,Shooting foul by R. Gay (drawn by T. Bryant),,81,86
3,3:51.0,T. Bryant makes free throw 1 of 2,,82,86
3,3:51.0,,M. Belinelli enters the game for L. Aldridge,82,86
3,3:51.0,,J. Poeltl enters the game for R. Gay,82,86
3,3:51.0,T. Bryant misses free throw 2 of 2,,82,86
3,3:49.0,,Defensive rebound by J. Poeltl,82,86
3,3:31.0,,D. White makes 2-pt jump shot from 10 ft,82,88
3,3:21.0,T. Bryant misses 3-pt jump shot from 25 ft,,82,88
3,3:17.0,Offensive rebound by T. Bryant,,82,88
3,3:16.0,Turnover by T. Bryant (lost ball; steal by D. White),,82,88
3,3:06.0,,Turnover by D. White (bad pass; steal by B. Beal),82,88
3,2:57.0,Washington full timeout,,82,88
3,2:57.0,O. Porter enters the game for T. Bryant,,82,88
3,2:42.0,T. Ariza misses 3-pt jump shot from 24 ft,,82,88
3,2:40.0,,Defensive rebound by D. Bertāns,82,88
3,2:36.0,,M. Belinelli makes 3-pt jump shot from 28 ft (assist by P. Mills),82,91
3,2:23.0,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),,84,91
3,2:16.0,,D. White makes 2-pt layup from 2 ft,84,93
3,2:06.0,B. Beal makes 2-pt jump shot from 21 ft (assist by J. Green),,86,93
3,1:41.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by J. Poeltl),86,96
3,1:21.0,J. Green misses 2-pt jump shot from 21 ft,,86,96
3,1:18.0,,Defensive rebound by M. Belinelli,86,96
3,1:07.0,,D. Bertāns makes 3-pt jump shot from 27 ft (assist by M. Belinelli),86,99
3,0:44.0,O. Porter misses 2-pt jump shot from 10 ft,,86,99
3,0:42.0,,Defensive rebound by M. Belinelli,86,99
3,0:38.0,,M. Belinelli misses 3-pt jump shot from 29 ft,86,99
3,0:36.0,,Offensive rebound by Team,86,99
3,0:36.0,T. Brown enters the game for T. Satoranský,,86,99
3,0:36.0,,B. Forbes enters the game for D. White,86,99
3,0:29.0,,D. Bertāns misses 3-pt jump shot from 27 ft,86,99
3,0:26.0,Defensive rebound by T. Ariza,,86,99
3,0:06.0,B. Beal misses 3-pt jump shot from 24 ft,,86,99
3,0:04.0,,Defensive rebound by M. Belinelli,86,99
3,0:01.0,,Turnover by M. Belinelli (bad pass; steal by O. Porter),86,99
3,0:00.0,O. Porter misses 3-pt jump shot from 33 ft,,86,99
3,0:00.0,Offensive rebound by Team,,86,99
4,11:47.0,Turnover by O. Porter (lost ball; steal by P. Mills),,86,99
4,11:47.0,Loose ball foul by B. Beal (drawn by B. Forbes),,86,99
4,11:36.0,,J. Poeltl misses 2-pt dunk from 1 ft,86,99
4,11:33.0,Defensive rebound by J. Green,,86,99
4,11:31.0,B. Beal makes 3-pt jump shot from 25 ft,,89,99
4,11:18.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by P. Mills),89,102
4,11:04.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by B. Beal),,92,102
4,10:53.0,,D. Bertāns makes 2-pt jump shot from 11 ft (assist by P. Mills),92,104
4,10:41.0,T. Ariza misses 2-pt layup from 1 ft,,92,104
4,10:39.0,,Defensive rebound by B. Forbes,92,104
4,10:25.0,,P. Mills misses 3-pt jump shot from 26 ft,92,104
4,10:23.0,,Offensive rebound by Team,92,104
4,10:23.0,C. Randle enters the game for J. Green,,92,104
4,10:15.0,,M. Belinelli makes 2-pt layup from 1 ft (assist by B. Forbes),92,106
4,9:56.0,Shooting foul by J. Poeltl (drawn by T. Ariza),,92,106
4,9:56.0,T. Ariza makes free throw 1 of 2,,93,106
4,9:56.0,T. Ariza makes free throw 2 of 2,,94,106
4,9:41.0,,P. Mills makes 2-pt layup from 1 ft (assist by M. Belinelli),94,108
4,9:41.0,Washington full timeout,,94,108
4,9:25.0,Turnover by B. Beal (bad pass),,94,108
4,9:09.0,,D. Bertāns misses 3-pt jump shot from 25 ft,94,108
4,9:05.0,Defensive rebound by T. Brown,,94,108
4,8:56.0,B. Beal misses 2-pt jump shot from 23 ft,,94,108
4,8:56.0,,Defensive rebound by J. Poeltl,94,108
4,8:45.0,,D. Bertāns makes 2-pt jump shot from 10 ft (assist by P. Mills),94,110
4,8:36.0,Personal foul by B. Forbes (drawn by B. Beal),,94,110
4,8:36.0,T. Satoranský enters the game for T. Brown,,94,110
4,8:36.0,,L. Aldridge enters the game for D. Bertāns,94,110
4,8:36.0,,R. Gay enters the game for P. Mills,94,110
4,8:36.0,,D. White enters the game for J. Poeltl,94,110
4,8:31.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by C. Randle),,97,110
4,8:17.0,,B. Forbes makes 3-pt jump shot from 26 ft,97,113
4,8:06.0,T. Ariza misses 3-pt jump shot from 25 ft,,97,113
4,8:03.0,Offensive rebound by B. Beal,,97,113
4,8:03.0,B. Beal makes 2-pt layup from 1 ft,,99,113
4,7:49.0,,D. White makes 2-pt layup from 1 ft,99,115
4,7:30.0,O. Porter makes 3-pt jump shot from 24 ft (assist by T. Satoranský),,102,115
4,7:30.0,,San Antonio full timeout,102,115
4,7:30.0,J. Green enters the game for C. Randle,,102,115
4,7:08.0,,R. Gay makes 2-pt dunk from 1 ft (assist by D. White),102,117
4,7:00.0,O. Porter makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,105,117
4,6:40.0,,Personal foul by O. Porter (drawn by L. Aldridge),105,117
4,6:37.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by L. Aldridge),105,120
4,6:23.0,B. Beal misses 2-pt jump shot from 19 ft,,105,120
4,6:20.0,,Defensive rebound by M. Belinelli,105,120
4,6:08.0,,Shooting foul by B. Beal (drawn by D. White),105,120
4,6:08.0,,D. White makes free throw 1 of 2,105,121
4,6:08.0,,D. White makes free throw 2 of 2,105,122
4,5:55.0,Shooting foul by L. Aldridge (drawn by T. Satoranský),,105,122
4,5:55.0,T. Satoranský makes free throw 1 of 2,,106,122
4,5:55.0,T. Satoranský misses free throw 2 of 2,,106,122
4,5:53.0,,Defensive rebound by R. Gay,106,122
4,5:39.0,,L. Aldridge makes 2-pt hook shot from 4 ft (assist by R. Gay),106,124
4,5:39.0,,Shooting foul by J. Green (drawn by L. Aldridge),106,124
4,5:39.0,,L. Aldridge makes free throw 1 of 1,106,125
4,5:27.0,O. Porter misses 3-pt jump shot from 23 ft,,106,125
4,5:24.0,,Defensive rebound by D. White,106,125
4,5:06.0,,Personal foul by J. Green (drawn by L. Aldridge),106,125
4,5:06.0,,L. Aldridge makes free throw 1 of 2,106,126
4,5:06.0,,D. Bertāns enters the game for R. Gay,106,126
4,5:06.0,,L. Aldridge makes free throw 2 of 2,106,127
4,4:58.0,T. Satoranský makes 2-pt layup from 7 ft (assist by B. Beal),,108,127
4,4:58.0,Shooting foul by D. Bertāns (drawn by T. Satoranský),,108,127
4,4:58.0,T. Satoranský makes free throw 1 of 1,,109,127
4,4:44.0,,L. Aldridge misses 2-pt jump shot from 14 ft,109,127
4,4:42.0,Defensive rebound by B. Beal,,109,127
4,4:35.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by J. Green),,112,127
4,4:35.0,T. Bryant enters the game for B. Beal,,112,127
4,4:35.0,J. McRae enters the game for J. Green,,112,127
4,4:35.0,C. Randle enters the game for T. Satoranský,,112,127
4,4:05.0,,M. Belinelli misses 3-pt jump shot from 30 ft,112,127
4,4:03.0,Defensive rebound by T. Bryant,,112,127
4,3:53.0,O. Porter misses 3-pt jump shot from 26 ft,,112,127
4,3:48.0,,Defensive rebound by D. White,112,127
4,3:30.0,,B. Forbes makes 2-pt layup from 1 ft (assist by L. Aldridge),112,129
4,3:26.0,Washington full timeout,,112,129
4,3:26.0,T. Brown enters the game for T. Ariza,,112,129
