QUARTER,TIME_REMAINING,PHOENIX_ACTION,OKLAHOMA CITY_ACTION,PHOENIX_SCORE,OKLAHOMA CITY_SCORE
1,1:11.0,,P. Patterson makes 2-pt jump shot from 7 ft (assist by P. George),20,28
1,0:49.0,J. Crawford misses 3-pt jump shot from 25 ft,,20,28
1,0:47.0,,Defensive rebound by D. Schröder,20,28
1,0:35.0,,P. George makes 2-pt jump shot from 18 ft,20,30
1,0:22.0,Turnover by E. Okobo (bad pass; steal by P. George),,20,30
1,0:01.0,,D. Schröder misses 2-pt layup from 4 ft,20,30
1,0:01.0,Defensive rebound by J. Crawford,,20,30
2,11:47.0,J. Crawford makes 2-pt jump shot from 5 ft,,22,30
2,11:36.0,,Á. Abrines misses 3-pt jump shot from 25 ft,22,30
2,11:33.0,Defensive rebound by T. Warren,,22,30
2,11:28.0,Shooting foul by D. Burton (drawn by J. Crawford),,22,30
2,11:28.0,J. Crawford makes free throw 1 of 3,,23,30
2,11:28.0,J. Crawford makes free throw 2 of 3,,24,30
2,11:28.0,,Oklahoma City full timeout,24,30
2,11:28.0,J. Crawford makes free throw 3 of 3,,25,30
2,11:05.0,,D. Burton misses 2-pt jump shot from 11 ft,25,30
2,11:02.0,Defensive rebound by T. Chandler,,25,30
2,10:58.0,Turnover by J. Crawford (bad pass; steal by N. Noel),,25,30
2,10:57.0,,Personal foul by E. Okobo (drawn by Á. Abrines),25,30
2,10:47.0,,P. Patterson misses 2-pt layup from 4 ft (block by T. Warren),25,30
2,10:44.0,Defensive rebound by M. Bridges,,25,30
2,10:42.0,Turnover by M. Bridges (bad pass; steal by N. Noel),,25,30
2,10:40.0,,P. Patterson makes 2-pt dunk from 1 ft (assist by N. Noel),25,32
2,10:28.0,Turnover by M. Bridges (offensive foul),,25,32
2,10:28.0,Offensive foul by M. Bridges (drawn by D. Burton),,25,32
2,10:17.0,,D. Schröder makes 2-pt jump shot from 16 ft (assist by N. Noel),25,34
2,10:15.0,Phoenix full timeout,,25,34
2,10:15.0,T. Ariza enters the game for M. Bridges,,25,34
2,10:15.0,D. Ayton enters the game for T. Chandler,,25,34
2,10:15.0,J. Jackson enters the game for E. Okobo,,25,34
2,9:55.0,Turnover by D. Ayton (lost ball; steal by N. Noel),,25,34
2,9:39.0,,D. Schröder misses 2-pt layup from 4 ft,25,34
2,9:36.0,,Offensive rebound by N. Noel,25,34
2,9:36.0,,N. Noel misses 2-pt layup at rim,25,34
2,9:35.0,Defensive rebound by T. Ariza,,25,34
2,9:30.0,T. Warren misses 3-pt jump shot from 23 ft,,25,34
2,9:27.0,,Defensive rebound by D. Schröder,25,34
2,9:27.0,,J. Grant enters the game for P. Patterson,25,34
2,9:14.0,Violation by Team (kicked ball),,25,34
2,9:06.0,,N. Noel misses 2-pt layup from 1 ft,25,34
2,9:06.0,,Offensive rebound by N. Noel,25,34
2,9:06.0,,Shooting foul by D. Ayton (drawn by N. Noel),25,34
2,9:06.0,,N. Noel makes free throw 1 of 2,25,35
2,9:06.0,,N. Noel misses free throw 2 of 2,25,35
2,9:03.0,Defensive rebound by T. Ariza,,25,35
2,8:55.0,Personal foul by D. Schröder (drawn by J. Crawford),,25,35
2,8:49.0,Turnover by J. Jackson (offensive foul),,25,35
2,8:49.0,Offensive foul by J. Jackson (drawn by Á. Abrines),,25,35
2,8:49.0,,R. Westbrook enters the game for D. Burton,25,35
2,8:36.0,,Turnover by D. Schröder (bad pass),25,35
2,8:16.0,Turnover by D. Ayton (bad pass; steal by Á. Abrines),,25,35
2,8:13.0,,Shooting foul by J. Crawford (drawn by D. Schröder),25,35
2,8:13.0,,D. Schröder makes free throw 1 of 2,25,36
2,8:13.0,R. Anderson enters the game for J. Crawford,,25,36
2,8:13.0,E. Okobo enters the game for T. Warren,,25,36
2,8:13.0,,D. Schröder makes free throw 2 of 2,25,37
2,7:56.0,J. Jackson misses 2-pt layup from 2 ft,,25,37
2,7:53.0,,Defensive rebound by N. Noel,25,37
2,7:48.0,,Á. Abrines misses 3-pt jump shot from 24 ft,25,37
2,7:45.0,Defensive rebound by E. Okobo,,25,37
2,7:37.0,R. Anderson misses 2-pt jump shot from 15 ft,,25,37
2,7:34.0,,Defensive rebound by N. Noel,25,37
2,7:25.0,,D. Schröder makes 2-pt jump shot from 6 ft,25,39
2,7:10.0,Turnover by J. Jackson (bad pass; steal by R. Westbrook),,25,39
2,7:10.0,,Personal take foul by J. Jackson (drawn by R. Westbrook),25,39
2,7:10.0,M. Bridges enters the game for J. Jackson,,25,39
2,7:00.0,,Turnover by N. Noel (offensive foul),25,39
2,7:00.0,,Offensive foul by N. Noel (drawn by M. Bridges),25,39
2,6:48.0,M. Bridges makes 3-pt jump shot from 26 ft (assist by T. Ariza),,28,39
2,6:28.0,,J. Grant makes 2-pt layup from 2 ft (assist by R. Westbrook),28,41
2,6:21.0,Personal foul by R. Westbrook (drawn by M. Bridges),,28,41
2,6:21.0,T. Chandler enters the game for D. Ayton,,28,41
2,6:21.0,,P. George enters the game for N. Noel,28,41
2,6:21.0,,P. Patterson enters the game for D. Schröder,28,41
2,6:14.0,Offensive foul by M. Bridges (drawn by J. Grant),,28,41
2,6:14.0,Turnover by M. Bridges (offensive foul),,28,41
2,6:09.0,,Personal foul by M. Bridges (drawn by J. Grant),28,41
2,6:09.0,,J. Grant misses free throw 1 of 2,28,41
2,6:09.0,,Offensive rebound by Team,28,41
2,6:09.0,,J. Grant misses free throw 2 of 2,28,41
2,6:07.0,Defensive rebound by T. Chandler,,28,41
2,5:51.0,E. Okobo misses 2-pt layup from 4 ft,,28,41
2,5:49.0,Offensive rebound by E. Okobo,,28,41
2,5:41.0,Turnover by E. Okobo (bad pass; steal by Á. Abrines),,28,41
2,5:37.0,,Shooting foul by T. Ariza (drawn by R. Westbrook),28,41
2,5:37.0,,R. Westbrook misses free throw 1 of 2,28,41
2,5:37.0,,Offensive rebound by Team,28,41
2,5:37.0,T. Daniels enters the game for M. Bridges,,28,41
2,5:37.0,,R. Westbrook makes free throw 2 of 2,28,42
2,5:25.0,T. Chandler makes 2-pt dunk from 1 ft (assist by E. Okobo),,30,42
2,5:20.0,,Shooting foul by E. Okobo (drawn by R. Westbrook),30,42
2,5:20.0,,R. Westbrook makes free throw 1 of 2,30,43
2,5:20.0,,T. Ferguson enters the game for Á. Abrines,30,43
2,5:20.0,,R. Westbrook makes free throw 2 of 2,30,44
2,5:07.0,T. Ariza makes 2-pt layup from 1 ft,,32,44
2,4:57.0,,P. George makes 2-pt layup from 1 ft,32,46
2,4:46.0,Shooting foul by P. Patterson (drawn by T. Chandler),,32,46
2,4:46.0,T. Chandler makes free throw 1 of 2,,33,46
2,4:46.0,T. Chandler makes free throw 2 of 2,,34,46
2,4:32.0,,P. George makes 3-pt jump shot from 24 ft (assist by R. Westbrook),34,49
2,4:14.0,T. Daniels makes 2-pt layup from 6 ft (assist by T. Chandler),,36,49
2,4:04.0,,Personal foul by E. Okobo (drawn by J. Grant),36,49
2,4:04.0,,J. Grant makes free throw 1 of 2,36,50
2,4:04.0,D. Ayton enters the game for T. Chandler,,36,50
2,4:04.0,J. Crawford enters the game for E. Okobo,,36,50
2,4:04.0,,J. Grant makes free throw 2 of 2,36,51
2,3:51.0,T. Ariza misses 2-pt layup from 1 ft,,36,51
2,3:49.0,,Defensive rebound by R. Westbrook,36,51
2,3:44.0,,Shooting foul by T. Daniels (drawn by R. Westbrook),36,51
2,3:44.0,,R. Westbrook makes free throw 1 of 2,36,52
2,3:44.0,,R. Westbrook makes free throw 2 of 2,36,53
2,3:31.0,Offensive foul by D. Ayton (drawn by P. Patterson),,36,53
2,3:31.0,Turnover by D. Ayton (offensive foul),,36,53
2,3:21.0,,R. Westbrook makes 2-pt layup at rim,36,55
2,3:20.0,Phoenix full timeout,,36,55
2,3:06.0,Shooting foul by J. Grant (drawn by R. Anderson),,36,55
2,3:06.0,R. Anderson makes free throw 1 of 2,,37,55
2,3:06.0,R. Anderson makes free throw 2 of 2,,38,55
2,2:56.0,,P. George misses 3-pt jump shot from 25 ft,38,55
2,2:52.0,Defensive rebound by T. Ariza,,38,55
2,2:47.0,J. Crawford misses 2-pt jump shot from 7 ft,,38,55
2,2:42.0,,Defensive rebound by T. Ferguson,38,55
2,2:36.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),38,58
2,2:20.0,Turnover by J. Crawford (bad pass; steal by P. George),,38,58
2,2:16.0,,Turnover by P. George (bad pass; steal by T. Daniels),38,58
2,2:11.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Crawford),,41,58
2,1:52.0,,P. Patterson misses 3-pt jump shot from 24 ft,41,58
2,1:49.0,Defensive rebound by D. Ayton,,41,58
2,1:33.0,D. Ayton makes 2-pt hook shot from 7 ft,,43,58
2,1:14.0,,P. George misses 3-pt jump shot from 26 ft,43,58
2,1:11.0,Defensive rebound by T. Ariza,,43,58
2,0:59.0,D. Ayton misses 2-pt jump shot from 9 ft,,43,58
2,0:56.0,,Defensive rebound by R. Westbrook,43,58
2,0:43.0,,Shooting foul by D. Ayton (drawn by P. Patterson),43,58
2,0:43.0,,P. Patterson makes free throw 1 of 2,43,59
2,0:43.0,,P. Patterson makes free throw 2 of 2,43,60
2,0:37.0,T. Ariza misses 2-pt layup from 2 ft (block by P. George),,43,60
2,0:36.0,Offensive rebound by R. Anderson,,43,60
2,0:36.0,R. Anderson makes 2-pt layup from 1 ft,,45,60
2,0:36.0,Shooting foul by J. Grant (drawn by R. Anderson),,45,60
2,0:36.0,T. Chandler enters the game for D. Ayton,,45,60
2,0:36.0,J. Jackson enters the game for J. Crawford,,45,60
2,0:36.0,R. Anderson makes free throw 1 of 1,,46,60
2,0:29.0,,R. Westbrook makes 2-pt layup at rim,46,62
2,0:12.0,J. Jackson makes 2-pt jump shot from 21 ft,,48,62
2,0:03.0,,Turnover by R. Westbrook (offensive foul),48,62
2,0:03.0,,Offensive foul by R. Westbrook (drawn by J. Jackson),48,62
2,0:03.0,J. Crawford enters the game for T. Chandler,,48,62
2,0:03.0,,N. Noel enters the game for P. Patterson,48,62
2,0:00.0,J. Jackson misses 3-pt jump shot from 25 ft,,48,62
2,0:00.0,Offensive rebound by Team,,48,62
3,11:46.0,R. Anderson misses 2-pt jump shot from 11 ft,,48,62
3,11:43.0,Offensive rebound by Team,,48,62
3,11:34.0,Turnover by T. Ariza (bad pass; steal by T. Ferguson),,48,62
3,11:29.0,,T. Ferguson makes 2-pt layup from 2 ft (assist by P. George),48,64
3,11:12.0,J. Jackson makes 2-pt jump shot from 17 ft,,50,64
3,11:00.0,,R. Westbrook makes 2-pt layup from 1 ft,50,66
3,11:00.0,,Violation by Team (delay of game),50,66
3,10:50.0,Personal foul by N. Noel (drawn by D. Ayton),,50,66
3,10:45.0,Shooting foul by P. George (drawn by E. Okobo),,50,66
3,10:45.0,E. Okobo makes free throw 1 of 2,,51,66
3,10:45.0,E. Okobo makes free throw 2 of 2,,52,66
3,10:32.0,,P. George makes 2-pt layup from 1 ft,52,68
3,10:18.0,J. Jackson misses 3-pt jump shot from 24 ft,,52,68
3,10:15.0,Offensive rebound by D. Ayton,,52,68
3,10:15.0,D. Ayton makes 2-pt dunk at rim,,54,68
3,10:04.0,,Shooting foul by R. Anderson (drawn by J. Grant),54,68
3,10:04.0,,J. Grant makes free throw 1 of 2,54,69
3,10:04.0,,J. Grant makes free throw 2 of 2,54,70
3,9:49.0,D. Ayton misses 2-pt layup from 1 ft,,54,70
3,9:47.0,,Defensive rebound by J. Grant,54,70
3,9:43.0,,N. Noel makes 2-pt dunk from 1 ft (assist by R. Westbrook),54,72
3,9:23.0,J. Jackson misses 2-pt jump shot from 9 ft,,54,72
3,9:21.0,,Defensive rebound by R. Westbrook,54,72
3,9:21.0,M. Bridges enters the game for T. Ariza,,54,72
3,9:10.0,,Turnover by T. Ferguson (traveling),54,72
3,8:51.0,E. Okobo misses 3-pt jump shot from 25 ft,,54,72
3,8:47.0,,Defensive rebound by R. Westbrook,54,72
3,8:40.0,,T. Ferguson misses 2-pt jump shot from 8 ft,54,72
3,8:37.0,Defensive rebound by D. Ayton,,54,72
3,8:28.0,Turnover by J. Jackson (lost ball; steal by R. Westbrook),,54,72
3,8:23.0,,Turnover by T. Ferguson (bad pass; steal by J. Jackson),54,72
3,8:19.0,Personal foul by R. Westbrook (drawn by D. Ayton),,54,72
3,8:17.0,Personal foul by P. George (drawn by M. Bridges),,54,72
3,8:17.0,,Technical foul by P. George,54,72
3,8:17.0,R. Anderson makes technical free throw,,55,72
3,8:11.0,R. Anderson misses 3-pt jump shot from 25 ft,,55,72
3,8:08.0,,Defensive rebound by N. Noel,55,72
3,8:03.0,,N. Noel makes 2-pt dunk from 2 ft (assist by R. Westbrook),55,74
3,8:00.0,Phoenix full timeout,,55,74
3,8:00.0,T. Warren enters the game for J. Jackson,,55,74
3,7:39.0,T. Warren makes 2-pt jump shot from 7 ft,,57,74
3,7:14.0,,Turnover by R. Westbrook (lost ball; steal by M. Bridges),57,74
3,7:09.0,Turnover by M. Bridges (lost ball; steal by R. Westbrook),,57,74
3,7:07.0,,R. Westbrook makes 2-pt layup from 2 ft,57,76
3,7:00.0,R. Anderson misses 3-pt jump shot from 25 ft,,57,76
3,7:00.0,Offensive rebound by T. Warren,,57,76
3,6:46.0,M. Bridges misses 3-pt jump shot from 24 ft,,57,76
3,6:41.0,,Defensive rebound by P. George,57,76
3,6:38.0,,T. Ferguson misses 3-pt jump shot from 27 ft,57,76
3,6:35.0,Defensive rebound by D. Ayton,,57,76
3,6:35.0,,Á. Abrines enters the game for T. Ferguson,57,76
3,6:35.0,,P. Patterson enters the game for N. Noel,57,76
3,6:19.0,T. Warren makes 2-pt layup from 1 ft,,59,76
3,6:08.0,,P. George misses 3-pt jump shot from 26 ft,59,76
3,6:05.0,Defensive rebound by R. Anderson,,59,76
3,6:00.0,M. Bridges makes 2-pt layup from 1 ft (assist by E. Okobo),,61,76
3,6:00.0,,Oklahoma City full timeout,61,76
3,5:49.0,,Turnover by R. Westbrook (lost ball; steal by M. Bridges),61,76
3,5:46.0,Shooting foul by J. Grant (drawn by M. Bridges),,61,76
3,5:46.0,M. Bridges makes free throw 1 of 2,,62,76
3,5:46.0,,D. Schröder enters the game for J. Grant,62,76
3,5:46.0,M. Bridges makes free throw 2 of 2,,63,76
3,5:32.0,,P. George misses 2-pt jump shot from 10 ft,63,76
3,5:29.0,Defensive rebound by D. Ayton,,63,76
3,5:12.0,M. Bridges misses 2-pt layup from 1 ft,,63,76
3,5:10.0,,Defensive rebound by P. George,63,76
3,5:08.0,Violation by Team (kicked ball),,63,76
3,4:57.0,,Á. Abrines misses 3-pt jump shot from 26 ft,63,76
3,4:54.0,Defensive rebound by D. Ayton,,63,76
3,4:37.0,R. Anderson makes 2-pt layup from 2 ft (assist by E. Okobo),,65,76
3,4:23.0,,Personal foul by M. Bridges (drawn by R. Westbrook),65,76
3,4:23.0,,J. Grant enters the game for Á. Abrines,65,76
3,4:14.0,,P. Patterson makes 2-pt jump shot from 6 ft (assist by D. Schröder),65,78
3,3:56.0,T. Warren misses 2-pt jump shot from 9 ft,,65,78
3,3:54.0,,Defensive rebound by P. Patterson,65,78
3,3:51.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by D. Schröder),65,80
3,3:31.0,Turnover by R. Anderson (bad pass; steal by P. George),,65,80
3,3:27.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by P. George),65,82
3,3:26.0,Phoenix full timeout,,65,82
3,3:26.0,T. Ariza enters the game for R. Anderson,,65,82
3,3:26.0,J. Crawford enters the game for M. Bridges,,65,82
3,3:26.0,J. Jackson enters the game for E. Okobo,,65,82
3,3:08.0,T. Warren makes 2-pt layup from 1 ft (assist by D. Ayton),,67,82
3,3:08.0,,Violation by Team (def goaltending),67,82
3,2:55.0,,R. Westbrook makes 2-pt layup from 2 ft,67,84
3,2:45.0,D. Ayton misses 2-pt layup from 2 ft,,67,84
3,2:43.0,,Defensive rebound by R. Westbrook,67,84
3,2:41.0,,Shooting foul by J. Jackson (drawn by R. Westbrook),67,84
3,2:41.0,,R. Westbrook misses free throw 1 of 2,67,84
3,2:41.0,,Offensive rebound by Team,67,84
3,2:41.0,,R. Westbrook makes free throw 2 of 2,67,85
3,2:23.0,D. Ayton makes 2-pt hook shot from 4 ft (assist by T. Ariza),,69,85
3,2:20.0,,Personal foul by J. Jackson (drawn by R. Westbrook),69,85
3,2:20.0,T. Daniels enters the game for J. Jackson,,69,85
3,2:20.0,,Á. Abrines enters the game for R. Westbrook,69,85
3,2:14.0,,Personal foul by T. Warren (drawn by P. Patterson),69,85
3,2:14.0,,P. Patterson misses free throw 1 of 2,69,85
3,2:14.0,,Offensive rebound by Team,69,85
3,2:14.0,,N. Noel enters the game for J. Grant,69,85
3,2:14.0,,P. Patterson makes free throw 2 of 2,69,86
3,1:59.0,T. Warren makes 2-pt jump shot from 5 ft,,71,86
3,1:51.0,,D. Schröder makes 2-pt layup from 1 ft,71,88
3,1:40.0,T. Warren makes 3-pt jump shot from 25 ft (assist by D. Ayton),,74,88
3,1:23.0,,N. Noel makes 2-pt dunk from 1 ft (assist by D. Schröder),74,90
3,1:07.0,D. Ayton misses 2-pt jump shot from 18 ft,,74,90
3,1:05.0,,Defensive rebound by D. Schröder,74,90
3,0:58.0,,D. Schröder misses 2-pt jump shot from 5 ft,74,90
3,0:56.0,,Offensive rebound by N. Noel,74,90
3,0:56.0,,N. Noel misses 2-pt layup from 1 ft,74,90
3,0:54.0,Defensive rebound by D. Ayton,,74,90
3,0:46.0,T. Warren misses 3-pt jump shot from 23 ft,,74,90
3,0:43.0,,Defensive rebound by P. Patterson,74,90
3,0:38.0,,P. George makes 3-pt jump shot from 25 ft,74,93
3,0:29.0,Personal foul by D. Schröder (drawn by J. Crawford),,74,93
3,0:29.0,Technical foul by J. Crawford,,74,93
3,0:29.0,,Technical foul by D. Schröder,74,93
3,0:29.0,J. Crawford makes free throw 1 of 2,,75,93
3,0:29.0,T. Chandler enters the game for D. Ayton,,75,93
3,0:29.0,J. Crawford makes free throw 2 of 2,,76,93
3,0:15.0,,N. Noel misses 2-pt hook shot from 6 ft,76,93
3,0:10.0,Defensive rebound by T. Warren,,76,93
3,0:10.0,,J. Grant enters the game for P. Patterson,76,93
3,0:05.0,J. Crawford misses 3-pt jump shot from 25 ft,,76,93
3,0:01.0,,Defensive rebound by P. George,76,93
3,0:00.0,,P. George makes 3-pt jump shot from 48 ft,76,96
4,11:45.0,,N. Noel makes 2-pt jump shot from 7 ft (assist by D. Schröder),76,98
4,11:21.0,T. Daniels misses 3-pt jump shot from 26 ft,,76,98
4,11:16.0,,Defensive rebound by N. Noel,76,98
4,11:08.0,,D. Schröder makes 2-pt jump shot from 16 ft,76,100
4,10:44.0,T. Warren misses 2-pt layup from 2 ft,,76,100
4,10:42.0,,Defensive rebound by N. Noel,76,100
4,10:32.0,,J. Grant misses 3-pt jump shot from 23 ft,76,100
4,10:29.0,Defensive rebound by T. Warren,,76,100
4,10:21.0,T. Daniels misses 3-pt jump shot from 22 ft,,76,100
4,10:18.0,,Defensive rebound by T. Ferguson,76,100
4,10:08.0,,N. Noel makes 2-pt dunk from 1 ft (assist by D. Schröder),76,102
4,9:47.0,T. Daniels makes 2-pt layup from 3 ft (assist by T. Chandler),,78,102
4,9:47.0,Shooting foul by Á. Abrines (drawn by T. Daniels),,78,102
4,9:47.0,T. Daniels makes free throw 1 of 1,,79,102
4,9:42.0,,N. Noel makes 2-pt dunk from 1 ft,79,104
4,9:42.0,,Shooting foul by T. Chandler (drawn by N. Noel),79,104
4,9:42.0,M. Bridges enters the game for J. Crawford,,79,104
4,9:42.0,E. Okobo enters the game for T. Daniels,,79,104
4,9:42.0,,N. Noel makes free throw 1 of 1,79,105
4,9:31.0,Shooting foul by D. Schröder (drawn by E. Okobo),,79,105
4,9:31.0,E. Okobo misses free throw 1 of 2,,79,105
4,9:31.0,Offensive rebound by Team,,79,105
4,9:31.0,E. Okobo makes free throw 2 of 2,,80,105
4,9:20.0,,Turnover by D. Schröder (bad pass; steal by T. Ariza),80,105
4,9:18.0,Personal take foul by Á. Abrines (drawn by T. Ariza),,80,105
4,9:18.0,D. Ayton enters the game for T. Ariza,,80,105
4,9:18.0,J. Jackson enters the game for T. Chandler,,80,105
4,9:05.0,T. Warren misses 2-pt jump shot from 13 ft,,80,105
4,9:00.0,,Defensive rebound by N. Noel,80,105
4,8:57.0,,Oklahoma City full timeout,80,105
4,8:57.0,R. Anderson enters the game for T. Warren,,80,105
