QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA LAKERS_ACTION,PHOENIX_SCORE,LA LAKERS_SCORE
1,4:10.0,,Turnover by L. James (lost ball; steal by T. Ariza),25,10
1,4:05.0,T. Ariza misses 3-pt jump shot from 28 ft,,25,10
1,4:02.0,,Defensive rebound by T. Chandler,25,10
1,3:55.0,,K. Kuzma makes 2-pt jump shot from 12 ft (assist by J. Hart),25,12
1,3:35.0,Turnover by D. Booker (bad pass; steal by L. Ball),,25,12
1,3:30.0,,J. Hart misses 2-pt layup from 1 ft (block by D. Booker),25,12
1,3:30.0,,Offensive rebound by Team,25,12
1,3:15.0,,J. Hart misses 2-pt jump shot from 14 ft,25,12
1,3:13.0,Defensive rebound by J. Jackson,,25,12
1,3:03.0,Turnover by E. Okobo (step out of bounds),,25,12
1,2:47.0,,K. Kuzma misses 3-pt jump shot from 25 ft,25,12
1,2:45.0,Defensive rebound by T. Ariza,,25,12
1,2:30.0,R. Holmes makes 2-pt layup from 1 ft (assist by D. Booker),,27,12
1,2:21.0,,L. James makes 2-pt jump shot from 2 ft,27,14
1,2:21.0,,Shooting foul by T. Ariza (drawn by L. James),27,14
1,2:21.0,J. Crawford enters the game for D. Booker,,27,14
1,2:21.0,,K. Caldwell-Pope enters the game for K. Kuzma,27,14
1,2:21.0,,L. James makes free throw 1 of 1,27,15
1,2:02.0,J. Jackson makes 2-pt layup from 1 ft,,29,15
1,1:52.0,,L. James makes 2-pt jump shot from 9 ft,29,17
1,1:35.0,J. Jackson misses 2-pt jump shot from 6 ft,,29,17
1,1:34.0,,Defensive rebound by T. Chandler,29,17
1,1:25.0,,L. Ball misses 2-pt jump shot from 11 ft,29,17
1,1:23.0,,Offensive rebound by T. Chandler,29,17
1,1:10.0,,L. James makes 2-pt jump shot from 4 ft,29,19
1,0:50.0,R. Holmes makes 2-pt dunk from 2 ft (assist by J. Jackson),,31,19
1,0:41.0,,L. Ball makes 2-pt jump shot from 3 ft,31,21
1,0:24.0,E. Okobo misses 2-pt jump shot from 4 ft,,31,21
1,0:22.0,,Defensive rebound by T. Chandler,31,21
1,0:19.0,,Turnover by L. James (lost ball; steal by R. Holmes),31,21
1,0:04.0,Personal foul by K. Caldwell-Pope (drawn by J. Crawford),,31,21
1,0:04.0,D. Booker enters the game for T. Ariza,,31,21
1,0:04.0,M. Bridges enters the game for E. Okobo,,31,21
1,0:01.0,D. Booker misses 2-pt jump shot from 13 ft,,31,21
1,0:01.0,Offensive rebound by Team,,31,21
2,11:40.0,,M. Beasley makes 2-pt jump shot from 12 ft,31,23
2,11:24.0,M. Bridges misses 2-pt dunk from 2 ft,,31,23
2,11:20.0,,Defensive rebound by J. McGee,31,23
2,11:15.0,,B. Ingram makes 2-pt layup from 1 ft,31,25
2,10:53.0,Turnover by J. Crawford (bad pass; steal by J. Hart),,31,25
2,10:53.0,,Personal take foul by E. Okobo (drawn by K. Caldwell-Pope),31,25
2,10:37.0,,Turnover by B. Ingram (bad pass; steal by R. Holmes),31,25
2,10:32.0,Offensive foul by R. Holmes (drawn by J. Hart),,31,25
2,10:32.0,Turnover by R. Holmes (offensive foul),,31,25
2,10:20.0,,M. Beasley makes 2-pt layup from 3 ft (assist by B. Ingram),31,27
2,10:20.0,,Shooting foul by R. Anderson (drawn by M. Beasley),31,27
2,10:20.0,,M. Beasley makes free throw 1 of 1,31,28
2,9:57.0,E. Okobo misses 2-pt jump shot from 15 ft,,31,28
2,9:53.0,,Defensive rebound by M. Beasley,31,28
2,9:45.0,,B. Ingram makes 3-pt jump shot from 24 ft (assist by M. Beasley),31,31
2,9:44.0,Phoenix full timeout,,31,31
2,9:44.0,D. Booker enters the game for M. Bridges,,31,31
2,9:27.0,R. Holmes makes 2-pt dunk from 2 ft (assist by J. Crawford),,33,31
2,9:12.0,,J. McGee makes 2-pt dunk from 3 ft (assist by B. Ingram),33,33
2,8:54.0,J. Crawford makes 3-pt jump shot from 28 ft,,36,33
2,8:37.0,,J. Hart misses 3-pt jump shot from 26 ft,36,33
2,8:35.0,Defensive rebound by D. Booker,,36,33
2,8:26.0,R. Holmes misses 2-pt layup from 1 ft,,36,33
2,8:24.0,,Defensive rebound by M. Beasley,36,33
2,8:10.0,,M. Beasley misses 2-pt jump shot from 4 ft,36,33
2,8:08.0,Defensive rebound by R. Anderson,,36,33
2,8:00.0,R. Holmes misses 2-pt layup from 2 ft (block by J. McGee),,36,33
2,7:56.0,,Defensive rebound by K. Caldwell-Pope,36,33
2,7:56.0,D. Ayton enters the game for R. Holmes,,36,33
2,7:47.0,,LA Lakers full timeout,36,33
2,7:35.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,36,33
2,7:33.0,,Offensive rebound by J. McGee,36,33
2,7:30.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,36,33
2,7:27.0,,Offensive rebound by J. McGee,36,33
2,7:23.0,,J. McGee makes 2-pt hook shot from 4 ft,36,35
2,7:18.0,Personal foul by K. Caldwell-Pope (drawn by J. Crawford),,36,35
2,7:18.0,,K. Kuzma enters the game for M. Beasley,36,35
2,7:08.0,D. Booker misses 2-pt layup from 2 ft,,36,35
2,7:06.0,Offensive rebound by D. Ayton,,36,35
2,7:06.0,D. Ayton misses 2-pt layup from 3 ft,,36,35
2,7:05.0,Offensive rebound by D. Ayton,,36,35
2,7:04.0,D. Ayton misses 2-pt layup from 2 ft,,36,35
2,7:02.0,,Defensive rebound by K. Kuzma,36,35
2,6:59.0,,Personal foul by D. Booker (drawn by K. Kuzma),36,35
2,6:59.0,T. Ariza enters the game for R. Anderson,,36,35
2,6:59.0,,L. Ball enters the game for K. Caldwell-Pope,36,35
2,6:59.0,,L. James enters the game for J. Hart,36,35
2,6:43.0,,K. Kuzma misses 3-pt jump shot from 24 ft,36,35
2,6:39.0,Defensive rebound by D. Ayton,,36,35
2,6:30.0,D. Ayton makes 2-pt layup from 1 ft (assist by J. Crawford),,38,35
2,6:21.0,,L. Ball misses 3-pt jump shot from 23 ft,38,35
2,6:19.0,,Offensive rebound by K. Kuzma,38,35
2,6:14.0,,K. Kuzma makes 3-pt jump shot from 25 ft,38,38
2,5:47.0,D. Ayton misses 2-pt jump shot from 18 ft,,38,38
2,5:44.0,,Defensive rebound by L. Ball,38,38
2,5:40.0,,J. McGee makes 2-pt dunk from 3 ft (assist by L. James),38,40
2,5:19.0,Shooting foul by L. Ball (drawn by D. Ayton),,38,40
2,5:19.0,D. Ayton makes free throw 1 of 2,,39,40
2,5:19.0,J. Jackson enters the game for E. Okobo,,39,40
2,5:19.0,D. Ayton makes free throw 2 of 2,,40,40
2,5:09.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by L. James),40,42
2,4:51.0,J. Crawford misses 3-pt jump shot from 28 ft,,40,42
2,4:51.0,,Defensive rebound by B. Ingram,40,42
2,4:49.0,,Shooting foul by J. Jackson (drawn by K. Kuzma),40,42
2,4:49.0,,K. Kuzma makes free throw 1 of 2,40,43
2,4:49.0,M. Bridges enters the game for J. Crawford,,40,43
2,4:49.0,,K. Kuzma makes free throw 2 of 2,40,44
2,4:26.0,J. Jackson misses 2-pt jump shot from 8 ft,,40,44
2,4:24.0,,Defensive rebound by L. James,40,44
2,4:24.0,,Shooting foul by T. Ariza (drawn by B. Ingram),40,44
2,4:24.0,,Offensive rebound by Team,40,44
2,4:24.0,,B. Ingram misses free throw 1 of 2,40,44
2,4:24.0,,B. Ingram makes free throw 2 of 2,40,45
2,4:13.0,J. Jackson misses 3-pt jump shot from 24 ft,,40,45
2,4:10.0,,Defensive rebound by L. Ball,40,45
2,3:54.0,,L. James makes 2-pt jump shot from 20 ft,40,47
2,3:54.0,,Shooting foul by D. Ayton (drawn by L. James),40,47
2,3:54.0,,L. James makes free throw 1 of 1,40,48
2,3:42.0,M. Bridges misses 3-pt jump shot from 23 ft,,40,48
2,3:40.0,,Defensive rebound by J. McGee,40,48
2,3:32.0,,Turnover by L. Ball (lost ball; steal by T. Ariza),40,48
2,3:28.0,M. Bridges makes 3-pt jump shot from 22 ft (assist by T. Ariza),,43,48
2,3:11.0,,K. Kuzma misses 3-pt jump shot from 25 ft,43,48
2,3:08.0,Defensive rebound by D. Ayton,,43,48
2,3:08.0,,T. Chandler enters the game for J. McGee,43,48
2,2:48.0,J. Jackson misses 3-pt jump shot from 23 ft,,43,48
2,2:46.0,,Defensive rebound by T. Chandler,43,48
2,2:40.0,,Shooting foul by D. Booker (drawn by B. Ingram),43,48
2,2:40.0,,B. Ingram misses free throw 1 of 2,43,48
2,2:40.0,,Offensive rebound by Team,43,48
2,2:40.0,,B. Ingram makes free throw 2 of 2,43,49
2,2:27.0,D. Booker misses 3-pt jump shot from 27 ft,,43,49
2,2:24.0,,Defensive rebound by L. James,43,49
2,2:24.0,R. Holmes enters the game for D. Ayton,,43,49
2,2:22.0,Phoenix full timeout,,43,49
2,2:22.0,J. Crawford enters the game for D. Booker,,43,49
2,2:11.0,,L. James makes 2-pt jump shot from 20 ft,43,51
2,1:59.0,J. Crawford misses 2-pt jump shot from 18 ft,,43,51
2,1:56.0,,Defensive rebound by L. James,43,51
2,1:50.0,,L. Ball misses 2-pt jump shot from 18 ft,43,51
2,1:48.0,,Offensive rebound by T. Chandler,43,51
2,1:41.0,,T. Chandler makes 2-pt dunk from 2 ft (assist by K. Kuzma),43,53
2,1:26.0,R. Holmes misses 2-pt jump shot from 11 ft,,43,53
2,1:24.0,,Defensive rebound by B. Ingram,43,53
2,1:15.0,,L. James misses 2-pt hook shot from 3 ft (block by R. Holmes),43,53
2,1:11.0,Defensive rebound by T. Ariza,,43,53
2,1:11.0,J. Jackson misses 2-pt layup from 2 ft (block by K. Kuzma),,43,53
2,1:11.0,Offensive rebound by Team,,43,53
2,0:59.0,J. Crawford makes 3-pt jump shot from 26 ft,,46,53
2,0:48.0,,B. Ingram misses 2-pt jump shot from 11 ft,46,53
2,0:47.0,,Offensive rebound by K. Kuzma,46,53
2,0:47.0,,K. Kuzma makes 2-pt layup from 1 ft,46,55
2,0:35.0,T. Ariza misses 2-pt layup from 2 ft,,46,55
2,0:34.0,,Defensive rebound by Team,46,55
2,0:18.0,,L. James misses 2-pt layup from 2 ft (block by R. Holmes),46,55
2,0:18.0,,Offensive rebound by Team,46,55
2,0:15.0,,K. Kuzma makes 3-pt jump shot from 23 ft (assist by L. Ball),46,58
2,0:06.0,Offensive foul by J. Crawford (drawn by L. Ball),,46,58
2,0:06.0,Turnover by J. Crawford (offensive foul),,46,58
2,0:06.0,E. Okobo enters the game for J. Crawford,,46,58
2,0:06.0,,K. Caldwell-Pope enters the game for T. Chandler,46,58
2,0:00.0,,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by L. James),46,61
3,11:41.0,,J. McGee makes 2-pt hook shot from 2 ft (assist by L. Ball),46,63
3,11:28.0,J. Jackson makes 2-pt hook shot from 2 ft (assist by M. Bridges),,48,63
3,11:17.0,,L. Ball misses 2-pt jump shot from 5 ft,48,63
3,11:13.0,,J. McGee makes 2-pt layup at rim,48,65
3,11:13.0,,Offensive rebound by J. McGee,48,65
3,10:57.0,E. Okobo makes 3-pt jump shot from 27 ft (assist by M. Bridges),,51,65
3,10:45.0,,L. James misses 3-pt jump shot from 27 ft,51,65
3,10:44.0,Defensive rebound by T. Ariza,,51,65
3,10:39.0,T. Ariza misses 3-pt jump shot from 26 ft,,51,65
3,10:35.0,,Defensive rebound by K. Kuzma,51,65
3,10:17.0,,L. James makes 2-pt jump shot from 22 ft,51,67
3,10:10.0,Turnover by T. Ariza (lost ball; steal by L. Ball),,51,67
3,10:04.0,,L. Ball misses 2-pt layup from 2 ft,51,67
3,10:00.0,Defensive rebound by E. Okobo,,51,67
3,9:56.0,T. Ariza makes 2-pt layup from 2 ft (assist by E. Okobo),,53,67
3,9:43.0,,K. Kuzma misses 3-pt jump shot from 27 ft,53,67
3,9:40.0,Defensive rebound by T. Ariza,,53,67
3,9:37.0,M. Bridges makes 2-pt dunk from 1 ft (assist by T. Ariza),,55,67
3,9:35.0,,LA Lakers full timeout,55,67
3,9:29.0,,Personal foul by M. Bridges (drawn by L. Ball),55,67
3,9:16.0,,L. Ball misses 2-pt layup from 10 ft (block by D. Ayton),55,67
3,9:11.0,Defensive rebound by D. Ayton,,55,67
3,9:06.0,E. Okobo misses 3-pt jump shot from 27 ft,,55,67
3,9:03.0,,Defensive rebound by J. McGee,55,67
3,8:50.0,,L. James misses 2-pt jump shot from 20 ft,55,67
3,8:48.0,Defensive rebound by Team,,55,67
3,8:37.0,Phoenix full timeout,,55,67
3,8:23.0,Turnover by Team (shot clock),,55,67
3,8:11.0,,K. Kuzma misses 2-pt layup from 2 ft,55,67
3,8:09.0,Defensive rebound by D. Ayton,,55,67
3,8:06.0,M. Bridges makes 3-pt jump shot from 27 ft (assist by E. Okobo),,58,67
3,7:52.0,,L. James misses 3-pt jump shot from 26 ft,58,67
3,7:49.0,Defensive rebound by M. Bridges,,58,67
3,7:42.0,Turnover by J. Jackson (bad pass; steal by J. McGee),,58,67
3,7:42.0,,Clear path foul by M. Bridges,58,67
3,7:42.0,,L. Ball misses clear path free throw 1 of 2,58,67
3,7:42.0,,Offensive rebound by Team,58,67
3,7:42.0,,L. Ball makes clear path free throw 2 of 2,58,68
3,7:27.0,,J. McGee makes 2-pt dunk from 3 ft (assist by L. James),58,70
3,7:09.0,M. Bridges makes 2-pt jump shot from 12 ft,,60,70
3,6:44.0,,B. Ingram misses 2-pt layup from 2 ft,60,70
3,6:41.0,,B. Ingram makes 2-pt layup at rim,60,72
3,6:41.0,,Offensive rebound by B. Ingram,60,72
3,6:36.0,Personal foul by B. Ingram (drawn by M. Bridges),,60,72
3,6:26.0,D. Ayton misses 2-pt jump shot from 14 ft,,60,72
3,6:24.0,,Defensive rebound by K. Kuzma,60,72
3,6:09.0,,J. McGee makes 2-pt jump shot from 3 ft (assist by K. Kuzma),60,74
3,5:50.0,D. Ayton makes 2-pt layup from 3 ft (assist by E. Okobo),,62,74
3,5:34.0,,J. McGee misses 2-pt layup from 2 ft,62,74
3,5:33.0,Defensive rebound by M. Bridges,,62,74
3,5:29.0,M. Bridges misses 3-pt jump shot from 26 ft,,62,74
3,5:26.0,,Defensive rebound by K. Kuzma,62,74
3,5:21.0,,Offensive foul by J. McGee (drawn by J. Jackson),62,74
3,5:21.0,,Turnover by J. McGee (offensive foul),62,74
3,5:21.0,J. Crawford enters the game for D. Ayton,,62,74
3,5:21.0,R. Holmes enters the game for M. Bridges,,62,74
3,5:21.0,,T. Chandler enters the game for L. Ball,62,74
3,5:21.0,,J. Hart enters the game for J. McGee,62,74
3,5:08.0,T. Ariza misses 3-pt jump shot from 26 ft,,62,74
3,5:06.0,,Defensive rebound by K. Kuzma,62,74
3,5:03.0,,L. James misses 2-pt jump shot from 21 ft,62,74
3,5:00.0,,Offensive rebound by T. Chandler,62,74
3,4:56.0,,Shooting foul by R. Holmes (drawn by T. Chandler),62,74
3,4:56.0,,T. Chandler makes free throw 1 of 2,62,75
3,4:56.0,,T. Chandler misses free throw 2 of 2,62,75
3,4:54.0,Defensive rebound by T. Ariza,,62,75
3,4:36.0,Shooting foul by J. Hart (drawn by J. Crawford),,62,75
3,4:36.0,J. Crawford makes free throw 1 of 2,,63,75
3,4:36.0,D. Melton enters the game for E. Okobo,,63,75
3,4:36.0,J. Crawford makes free throw 2 of 2,,64,75
3,4:27.0,,B. Ingram misses 2-pt layup from 1 ft (block by J. Crawford),64,75
3,4:27.0,,Offensive rebound by Team,64,75
3,4:27.0,Loose ball foul by D. Melton (drawn by B. Ingram),,64,75
3,4:21.0,,J. Hart makes 3-pt jump shot from 25 ft (assist by L. James),64,78
3,4:03.0,J. Jackson makes 2-pt layup from 1 ft,,66,78
3,3:58.0,,Personal foul by J. Jackson (drawn by L. James),66,78
3,3:58.0,,L. James makes free throw 1 of 2,66,79
3,3:58.0,,L. James misses free throw 2 of 2,66,79
3,3:56.0,Defensive rebound by T. Ariza,,66,79
3,3:45.0,Turnover by J. Crawford (bad pass; steal by K. Kuzma),,66,79
3,3:43.0,,L. James makes 2-pt dunk from 2 ft (assist by K. Kuzma),66,81
3,3:20.0,J. Jackson misses 2-pt jump shot from 8 ft,,66,81
3,3:18.0,,Defensive rebound by T. Chandler,66,81
3,3:14.0,,J. Hart makes 3-pt jump shot from 25 ft (assist by L. James),66,84
3,3:13.0,Phoenix full timeout,,66,84
3,3:13.0,T. Daniels enters the game for J. Jackson,,66,84
3,3:04.0,Personal foul by B. Ingram (drawn by J. Crawford),,66,84
3,2:55.0,R. Holmes misses 2-pt jump shot from 2 ft,,66,84
3,2:53.0,,Defensive rebound by L. James,66,84
3,2:47.0,,Turnover by L. James (lost ball; steal by J. Crawford),66,84
3,2:41.0,T. Daniels makes 3-pt jump shot from 27 ft (assist by J. Crawford),,69,84
3,2:25.0,,Turnover by K. Kuzma (traveling),69,84
3,2:25.0,,K. Caldwell-Pope enters the game for B. Ingram,69,84
3,2:09.0,R. Holmes misses 2-pt hook shot from 2 ft,,69,84
3,2:08.0,,Defensive rebound by T. Chandler,69,84
3,2:07.0,Violation by Team (kicked ball),,69,84
3,2:02.0,,K. Kuzma makes 3-pt jump shot from 27 ft (assist by L. James),69,87
3,1:47.0,T. Ariza misses 2-pt layup from 2 ft,,69,87
3,1:45.0,,Defensive rebound by L. James,69,87
3,1:42.0,,L. James makes 2-pt layup from 2 ft,69,89
3,1:42.0,Violation by Team (def goaltending),,69,89
3,1:32.0,Personal foul by J. Hart (drawn by D. Melton),,69,89
3,1:28.0,J. Crawford misses 3-pt jump shot from 26 ft,,69,89
3,1:26.0,,Defensive rebound by L. James,69,89
3,1:22.0,,Shooting foul by T. Daniels (drawn by K. Kuzma),69,89
3,1:22.0,Technical foul by J. Jackson,,69,89
3,1:22.0,,K. Caldwell-Pope makes technical free throw,69,90
3,1:22.0,,K. Kuzma makes free throw 1 of 2,69,91
3,1:22.0,,K. Kuzma makes free throw 2 of 2,69,92
3,1:07.0,T. Ariza misses 2-pt layup from 2 ft,,69,92
3,1:07.0,Offensive rebound by Team,,69,92
3,1:02.0,D. Melton makes 3-pt jump shot from 25 ft (assist by T. Ariza),,72,92
3,0:41.0,,T. Chandler misses 2-pt jump shot from 18 ft (block by R. Holmes),72,92
3,0:37.0,Defensive rebound by T. Ariza,,72,92
3,0:31.0,R. Holmes makes 2-pt dunk from 1 ft (assist by J. Crawford),,74,92
3,0:20.0,,L. James makes 3-pt jump shot from 27 ft,74,95
3,0:00.0,J. Crawford misses 2-pt jump shot from 5 ft,,74,95
3,0:00.0,,Defensive rebound by T. Chandler,74,95
4,11:35.0,D. Ayton misses 2-pt jump shot from 15 ft,,74,95
4,11:32.0,,Defensive rebound by K. Caldwell-Pope,74,95
4,11:24.0,,Turnover by T. Chandler (offensive foul),74,95
4,11:24.0,,Offensive foul by T. Chandler (drawn by M. Bridges),74,95
4,11:15.0,D. Ayton misses 2-pt jump shot from 15 ft,,74,95
4,11:12.0,,Defensive rebound by M. Beasley,74,95
4,10:59.0,,M. Beasley makes 2-pt layup from 2 ft,74,97
4,10:31.0,T. Daniels misses 2-pt layup from 2 ft,,74,97
4,10:29.0,,Defensive rebound by M. Beasley,74,97
4,10:18.0,,M. Beasley makes 2-pt jump shot from 3 ft,74,99
4,10:03.0,E. Okobo misses 2-pt layup from 1 ft,,74,99
4,10:00.0,,Defensive rebound by K. Caldwell-Pope,74,99
4,9:55.0,,M. Beasley makes 3-pt jump shot from 26 ft (assist by J. Hart),74,102
4,9:54.0,Phoenix full timeout,,74,102
4,9:54.0,,L. Stephenson enters the game for T. Chandler,74,102
4,9:54.0,,M. Wagner enters the game for J. Hart,74,102
4,9:51.0,,Violation by Team (delay of game),74,102
4,9:36.0,D. Ayton makes 2-pt layup from 1 ft,,76,102
4,9:21.0,,L. Ball makes 2-pt jump shot from 9 ft (assist by M. Wagner),76,104
4,9:04.0,Turnover by R. Anderson (bad pass; steal by L. Stephenson),,76,104
4,9:00.0,,M. Wagner misses 2-pt layup from 2 ft,76,104
4,8:56.0,Defensive rebound by T. Daniels,,76,104
4,8:53.0,Turnover by E. Okobo (bad pass),,76,104
4,8:53.0,J. Jackson enters the game for R. Anderson,,76,104
4,8:36.0,,M. Wagner misses 2-pt layup from 2 ft (block by J. Jackson),76,104
4,8:36.0,,Offensive rebound by Team,76,104
4,8:34.0,,M. Beasley makes 2-pt layup from 2 ft (assist by L. Ball),76,106
4,8:19.0,Shooting foul by L. Ball (drawn by J. Jackson),,76,106
4,8:19.0,J. Jackson misses free throw 1 of 2,,76,106
4,8:19.0,Offensive rebound by Team,,76,106
4,8:19.0,J. Jackson makes free throw 2 of 2,,77,106
4,8:06.0,,Shooting foul by D. Ayton (drawn by M. Wagner),77,106
4,8:06.0,,M. Wagner makes free throw 1 of 2,77,107
4,8:06.0,,M. Wagner makes free throw 2 of 2,77,108
4,7:43.0,Turnover by E. Okobo (bad pass; steal by M. Wagner),,77,108
4,7:39.0,,Turnover by M. Wagner (bad pass; steal by M. Bridges),77,108
4,7:33.0,J. Jackson misses 3-pt jump shot from 22 ft,,77,108
4,7:30.0,,Defensive rebound by L. Stephenson,77,108
4,7:28.0,,L. Ball makes 2-pt dunk from 2 ft (assist by L. Stephenson),77,110
4,7:16.0,T. Daniels makes 3-pt jump shot from 27 ft (assist by E. Okobo),,80,110
4,7:04.0,,LA Lakers full timeout,80,110
4,7:04.0,R. Holmes enters the game for D. Ayton,,80,110
4,7:04.0,,S. Mykhailiuk enters the game for L. Ball,80,110
4,6:53.0,,M. Wagner misses 2-pt layup from 1 ft,80,110
4,6:50.0,Defensive rebound by T. Daniels,,80,110
4,6:35.0,E. Okobo misses 2-pt jump shot from 4 ft,,80,110
4,6:33.0,,Defensive rebound by M. Wagner,80,110
4,6:27.0,,M. Beasley misses 2-pt layup from 2 ft,80,110
4,6:24.0,Defensive rebound by J. Jackson,,80,110
4,6:19.0,T. Daniels makes 3-pt jump shot from 26 ft (assist by J. Jackson),,83,110
4,6:02.0,,M. Wagner misses 3-pt jump shot from 26 ft,83,110
4,5:59.0,Defensive rebound by T. Daniels,,83,110
4,5:47.0,T. Daniels misses 3-pt jump shot from 28 ft,,83,110
4,5:43.0,,Defensive rebound by L. Stephenson,83,110
4,5:39.0,,K. Caldwell-Pope makes 2-pt layup from 3 ft (assist by L. Stephenson),83,112
4,5:18.0,E. Okobo misses 2-pt jump shot from 19 ft,,83,112
4,5:18.0,,Defensive rebound by Team,83,112
4,5:18.0,D. Bender enters the game for J. Jackson,,83,112
