QUARTER,TIME_REMAINING,PHOENIX_ACTION,SAN ANTONIO_ACTION,PHOENIX_SCORE,SAN ANTONIO_SCORE
1,3:02.0,J. Evans misses 2-pt jump shot from 17 ft,,17,19
1,2:59.0,,Defensive rebound by D. Cunningham,17,19
1,2:48.0,,D. Cunningham makes 3-pt jump shot from 23 ft (assist by D. DeRozan),17,22
1,2:33.0,Turnover by J. Jackson (offensive foul),,17,22
1,2:33.0,Offensive foul by J. Jackson (drawn by J. Poeltl),,17,22
1,2:33.0,,B. Forbes enters the game for D. DeRozan,17,22
1,2:12.0,,B. Forbes misses 2-pt layup from 4 ft,17,22
1,2:09.0,,Offensive rebound by J. Poeltl,17,22
1,2:08.0,,Turnover by J. Poeltl (back court),17,22
1,1:54.0,R. Holmes misses 2-pt jump shot from 7 ft,,17,22
1,1:51.0,,Defensive rebound by B. Forbes,17,22
1,1:47.0,,M. Belinelli makes 3-pt jump shot from 27 ft (assist by B. Forbes),17,25
1,1:27.0,J. Jackson misses 2-pt jump shot from 6 ft,,17,25
1,1:24.0,,Defensive rebound by J. Poeltl,17,25
1,1:07.0,,Turnover by P. Mills (out of bounds lost ball),17,25
1,0:46.0,Shooting foul by J. Poeltl (drawn by R. Holmes),,17,25
1,0:46.0,R. Holmes makes free throw 1 of 2,,18,25
1,0:46.0,R. Holmes misses free throw 2 of 2,,18,25
1,0:44.0,,Defensive rebound by J. Poeltl,18,25
1,0:36.0,,M. Belinelli makes 2-pt layup from 4 ft (assist by P. Mills),18,27
1,0:22.0,Turnover by T. Daniels (offensive foul),,18,27
1,0:22.0,Offensive foul by T. Daniels (drawn by B. Forbes),,18,27
1,0:06.0,,J. Poeltl makes 2-pt layup from 6 ft (assist by P. Mills),18,29
1,0:00.0,R. Holmes makes 2-pt layup from 5 ft (assist by J. Evans),,20,29
2,11:38.0,T. Daniels misses 3-pt jump shot from 25 ft,,20,29
2,11:35.0,Offensive rebound by Team,,20,29
2,11:27.0,Turnover by D. Melton (bad pass),,20,29
2,11:06.0,,B. Forbes misses 2-pt jump shot from 8 ft (block by R. Holmes),20,29
2,11:06.0,,Offensive rebound by Team,20,29
2,11:04.0,,M. Belinelli misses 2-pt jump shot from 16 ft,20,29
2,11:00.0,Defensive rebound by R. Holmes,,20,29
2,10:44.0,J. Evans makes 2-pt jump shot from 18 ft (assist by D. Melton),,22,29
2,10:24.0,,D. Cunningham makes 2-pt jump shot from 10 ft,22,31
2,10:12.0,Offensive foul by D. Bender (drawn by M. Belinelli),,22,31
2,10:12.0,Turnover by D. Bender (offensive foul),,22,31
2,10:12.0,,D. White enters the game for P. Mills,22,31
2,10:04.0,,Personal foul by T. Daniels (drawn by M. Belinelli),22,31
2,9:55.0,,D. Cunningham misses 2-pt jump shot from 7 ft,22,31
2,9:49.0,,Offensive rebound by J. Poeltl,22,31
2,9:49.0,,J. Poeltl misses 2-pt layup from 1 ft,22,31
2,9:48.0,,Offensive rebound by J. Poeltl,22,31
2,9:46.0,,M. Belinelli misses 3-pt jump shot from 26 ft,22,31
2,9:43.0,Defensive rebound by D. Melton,,22,31
2,9:42.0,Turnover by D. Melton (out of bounds lost ball),,22,31
2,9:42.0,,R. Gay enters the game for M. Belinelli,22,31
2,9:21.0,,B. Forbes misses 2-pt jump shot from 10 ft,22,31
2,9:17.0,Defensive rebound by J. Evans,,22,31
2,9:03.0,D. Melton misses 2-pt jump shot from 9 ft,,22,31
2,9:01.0,,Defensive rebound by J. Poeltl,22,31
2,8:53.0,,Turnover by R. Gay (lost ball; steal by J. Evans),22,31
2,8:49.0,Turnover by D. Melton (bad pass; steal by D. White),,22,31
2,8:45.0,,Turnover by D. White (bad pass),22,31
2,8:45.0,M. Bridges enters the game for J. Evans,,22,31
2,8:34.0,D. Bender makes 2-pt layup from 2 ft (assist by R. Holmes),,24,31
2,8:33.0,,San Antonio full timeout,24,31
2,8:33.0,,L. Aldridge enters the game for B. Forbes,24,31
2,8:33.0,,D. DeRozan enters the game for J. Poeltl,24,31
2,8:15.0,,Personal foul by T. Daniels (drawn by L. Aldridge),24,31
2,8:10.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. DeRozan),24,33
2,7:55.0,Shooting foul by D. White (drawn by T. Daniels),,24,33
2,7:55.0,T. Daniels makes free throw 1 of 3,,25,33
2,7:55.0,T. Daniels misses free throw 2 of 3,,25,33
2,7:55.0,Offensive rebound by Team,,25,33
2,7:55.0,T. Daniels makes free throw 3 of 3,,26,33
2,7:37.0,,L. Aldridge makes 2-pt jump shot from 12 ft,26,35
2,7:37.0,,Shooting foul by D. Bender (drawn by L. Aldridge),26,35
2,7:37.0,,L. Aldridge misses free throw 1 of 1,26,35
2,7:36.0,Defensive rebound by D. Bender,,26,35
2,7:22.0,M. Bridges misses 3-pt jump shot from 26 ft,,26,35
2,7:17.0,,Defensive rebound by R. Gay,26,35
2,7:08.0,,L. Aldridge makes 2-pt jump shot from 10 ft (assist by D. White),26,37
2,6:54.0,D. Melton makes 3-pt jump shot from 27 ft (assist by R. Holmes),,29,37
2,6:33.0,,D. Cunningham makes 3-pt jump shot from 25 ft (assist by R. Gay),29,40
2,6:21.0,R. Holmes makes 2-pt jump shot from 7 ft (assist by D. Melton),,31,40
2,6:21.0,Shooting foul by L. Aldridge (drawn by R. Holmes),,31,40
2,6:21.0,,M. Belinelli enters the game for D. Cunningham,31,40
2,6:21.0,R. Holmes makes free throw 1 of 1,,32,40
2,6:10.0,,Personal foul by R. Holmes (drawn by L. Aldridge),32,40
2,6:10.0,G. King enters the game for D. Bender,,32,40
2,6:10.0,T. Warren enters the game for T. Daniels,,32,40
2,6:10.0,,P. Mills enters the game for D. White,32,40
2,6:02.0,,L. Aldridge misses 2-pt jump shot from 7 ft,32,40
2,5:56.0,Defensive rebound by G. King,,32,40
2,5:49.0,D. Melton misses 2-pt layup from 3 ft (block by L. Aldridge),,32,40
2,5:45.0,,Defensive rebound by L. Aldridge,32,40
2,5:39.0,,Shooting foul by M. Bridges (drawn by D. DeRozan),32,40
2,5:39.0,,D. DeRozan makes free throw 1 of 2,32,41
2,5:39.0,,D. DeRozan misses free throw 2 of 2,32,41
2,5:34.0,Defensive rebound by T. Warren,,32,41
2,5:15.0,T. Warren misses 3-pt jump shot from 26 ft,,32,41
2,5:15.0,Offensive rebound by M. Bridges,,32,41
2,5:07.0,M. Bridges makes 2-pt layup at rim,,34,41
2,5:04.0,,Personal foul by M. Bridges (drawn by P. Mills),34,41
2,5:04.0,,P. Mills makes free throw 1 of 2,34,42
2,5:04.0,,P. Mills makes free throw 2 of 2,34,43
2,5:00.0,Phoenix full timeout,,34,43
2,5:00.0,D. Ayton enters the game for M. Bridges,,34,43
2,5:00.0,J. Evans enters the game for R. Holmes,,34,43
2,5:00.0,J. Jackson enters the game for D. Melton,,34,43
2,4:53.0,J. Evans makes 2-pt layup from 8 ft,,36,43
2,4:41.0,,D. DeRozan misses 2-pt jump shot from 10 ft,36,43
2,4:40.0,,Offensive rebound by Team,36,43
2,4:29.0,,L. Aldridge misses 2-pt jump shot from 14 ft,36,43
2,4:25.0,Defensive rebound by T. Warren,,36,43
2,4:22.0,Shooting foul by D. DeRozan (drawn by T. Warren),,36,43
2,4:22.0,T. Warren makes free throw 1 of 2,,37,43
2,4:22.0,,B. Forbes enters the game for M. Belinelli,37,43
2,4:22.0,T. Warren makes free throw 2 of 2,,38,43
2,4:11.0,,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. DeRozan),38,46
2,3:57.0,J. Evans misses 2-pt layup from 6 ft,,38,46
2,3:52.0,T. Warren makes 2-pt layup at rim,,40,46
2,3:52.0,Offensive rebound by T. Warren,,40,46
2,3:39.0,,R. Gay makes 3-pt jump shot from 24 ft (assist by D. DeRozan),40,49
2,3:24.0,J. Jackson misses 2-pt layup from 2 ft,,40,49
2,3:20.0,,Defensive rebound by B. Forbes,40,49
2,3:11.0,,D. DeRozan makes 2-pt layup from 1 ft,40,51
2,2:53.0,T. Warren makes 2-pt jump shot from 9 ft,,42,51
2,2:31.0,,L. Aldridge makes 2-pt jump shot from 12 ft,42,53
2,2:13.0,T. Warren misses 3-pt jump shot from 27 ft,,42,53
2,2:11.0,,Defensive rebound by B. Forbes,42,53
2,2:04.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by B. Forbes),42,55
2,1:44.0,J. Jackson makes 2-pt dunk from 5 ft (assist by J. Evans),,44,55
2,1:37.0,,Personal foul by J. Evans (drawn by P. Mills),44,55
2,1:37.0,,P. Mills makes free throw 1 of 2,44,56
2,1:37.0,T. Daniels enters the game for G. King,,44,56
2,1:37.0,,D. Cunningham enters the game for R. Gay,44,56
2,1:37.0,,P. Mills makes free throw 2 of 2,44,57
2,1:22.0,Turnover by J. Evans (bad pass),,44,57
2,1:14.0,,D. DeRozan misses 2-pt jump shot from 11 ft,44,57
2,1:10.0,Defensive rebound by T. Warren,,44,57
2,1:07.0,T. Daniels misses 3-pt jump shot from 26 ft,,44,57
2,1:03.0,,Defensive rebound by D. Cunningham,44,57
2,0:59.0,,L. Aldridge makes 2-pt layup from 6 ft (assist by D. DeRozan),44,59
2,0:59.0,,Shooting foul by D. Ayton (drawn by L. Aldridge),44,59
2,0:59.0,,L. Aldridge misses free throw 1 of 1,44,59
2,0:56.0,Defensive rebound by J. Jackson,,44,59
2,0:46.0,T. Warren makes 2-pt jump shot from 16 ft,,46,59
2,0:31.0,,Turnover by L. Aldridge (lost ball; steal by J. Evans),46,59
2,0:26.0,T. Daniels misses 3-pt jump shot from 27 ft,,46,59
2,0:21.0,,Defensive rebound by B. Forbes,46,59
2,0:03.0,,Turnover by D. DeRozan (lost ball; steal by J. Jackson),46,59
2,0:00.0,T. Warren misses 2-pt jump shot from 16 ft,,46,59
2,0:00.0,Offensive rebound by Team,,46,59
3,11:58.0,Turnover by D. Melton (out of bounds lost ball),,46,59
3,11:35.0,,R. Gay makes 2-pt jump shot from 5 ft,46,61
3,11:14.0,Shooting foul by R. Gay (drawn by T. Warren),,46,61
3,11:14.0,T. Warren makes free throw 1 of 2,,47,61
3,11:14.0,T. Warren makes free throw 2 of 2,,48,61
3,10:54.0,,L. Aldridge misses 2-pt jump shot from 10 ft,48,61
3,10:50.0,Defensive rebound by T. Warren,,48,61
3,10:38.0,J. Jackson misses 3-pt jump shot from 24 ft,,48,61
3,10:35.0,,Defensive rebound by D. White,48,61
3,10:28.0,,D. White misses 2-pt layup from 3 ft (block by D. Ayton),48,61
3,10:23.0,Defensive rebound by J. Jackson,,48,61
3,10:21.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by T. Warren),,51,61
3,10:01.0,,D. DeRozan misses 2-pt jump shot from 19 ft,51,61
3,9:58.0,Defensive rebound by D. Ayton,,51,61
3,9:44.0,Turnover by T. Warren (bad pass; steal by R. Gay),,51,61
3,9:28.0,,B. Forbes makes 2-pt jump shot from 16 ft (assist by D. DeRozan),51,63
3,9:11.0,D. Melton misses 3-pt jump shot from 28 ft,,51,63
3,9:11.0,,Defensive rebound by R. Gay,51,63
3,9:02.0,,Shooting foul by T. Warren (drawn by D. DeRozan),51,63
3,9:02.0,,R. Gay makes free throw 1 of 2,51,64
3,9:02.0,J. Evans enters the game for D. Melton,,51,64
3,9:02.0,,R. Gay makes free throw 2 of 2,51,65
3,8:45.0,Turnover by J. Jackson (bad pass),,51,65
3,8:34.0,,Personal foul by J. Evans (drawn by D. DeRozan),51,65
3,8:27.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. White),51,68
3,8:04.0,J. Jackson misses 3-pt jump shot from 27 ft,,51,68
3,8:00.0,Offensive rebound by Team,,51,68
3,7:51.0,Turnover by J. Evans (bad pass; steal by L. Aldridge),,51,68
3,7:46.0,,Shooting foul by J. Jackson (drawn by L. Aldridge),51,68
3,7:46.0,,L. Aldridge makes free throw 1 of 2,51,69
3,7:46.0,D. Melton enters the game for J. Jackson,,51,69
3,7:46.0,,L. Aldridge makes free throw 2 of 2,51,70
3,7:23.0,M. Bridges misses 3-pt jump shot from 23 ft,,51,70
3,7:18.0,Offensive rebound by D. Melton,,51,70
3,7:15.0,D. Ayton makes 2-pt jump shot from 18 ft (assist by D. Melton),,53,70
3,7:08.0,,Turnover by L. Aldridge (offensive foul),53,70
3,7:08.0,,Offensive foul by L. Aldridge (drawn by D. Melton),53,70
3,6:58.0,T. Warren makes 2-pt jump shot from 18 ft,,55,70
3,6:56.0,,San Antonio full timeout,55,70
3,6:35.0,,L. Aldridge misses 2-pt jump shot from 11 ft,55,70
3,6:30.0,Defensive rebound by J. Evans,,55,70
3,6:22.0,T. Warren misses 3-pt jump shot from 27 ft,,55,70
3,6:19.0,,Defensive rebound by B. Forbes,55,70
3,6:11.0,,L. Aldridge makes 2-pt hook shot from 5 ft (assist by D. White),55,72
3,5:51.0,D. Ayton misses 2-pt jump shot from 14 ft,,55,72
3,5:49.0,,Defensive rebound by B. Forbes,55,72
3,5:43.0,,Turnover by B. Forbes (out of bounds lost ball),55,72
3,5:43.0,T. Daniels enters the game for J. Evans,,55,72
3,5:23.0,D. Melton makes 2-pt layup from 4 ft,,57,72
3,5:12.0,,R. Gay misses 3-pt jump shot from 26 ft,57,72
3,5:08.0,Defensive rebound by D. Ayton,,57,72
3,4:54.0,T. Warren misses 2-pt layup from 3 ft,,57,72
3,4:52.0,Offensive rebound by T. Warren,,57,72
3,4:51.0,T. Warren misses 2-pt layup from 3 ft,,57,72
3,4:51.0,,Defensive rebound by L. Aldridge,57,72
3,4:51.0,,Personal foul by T. Warren (drawn by L. Aldridge),57,72
3,4:51.0,D. Bender enters the game for D. Ayton,,57,72
3,4:51.0,R. Holmes enters the game for T. Warren,,57,72
3,4:51.0,,P. Mills enters the game for L. Aldridge,57,72
3,4:51.0,,J. Poeltl enters the game for D. White,57,72
3,4:45.0,,Turnover by J. Poeltl (offensive foul),57,72
3,4:45.0,,Offensive foul by J. Poeltl (drawn by M. Bridges),57,72
3,4:24.0,D. Melton misses 2-pt jump shot from 16 ft,,57,72
3,4:20.0,,Defensive rebound by B. Forbes,57,72
3,4:17.0,,Shooting foul by R. Holmes (drawn by R. Gay),57,72
3,4:17.0,,R. Gay makes free throw 1 of 2,57,73
3,4:17.0,,M. Belinelli enters the game for D. DeRozan,57,73
3,4:17.0,,R. Gay makes free throw 2 of 2,57,74
3,4:00.0,Turnover by D. Bender (bad pass; steal by R. Gay),,57,74
3,3:52.0,,R. Gay misses 2-pt jump shot from 8 ft,57,74
3,3:41.0,,Offensive rebound by J. Poeltl,57,74
3,3:41.0,,J. Poeltl misses 2-pt layup at rim,57,74
3,3:41.0,,Offensive rebound by J. Poeltl,57,74
3,3:41.0,,J. Poeltl makes 2-pt layup at rim,57,76
3,3:27.0,D. Bender misses 3-pt jump shot from 27 ft,,57,76
3,3:23.0,,Defensive rebound by R. Gay,57,76
3,3:20.0,,P. Mills makes 3-pt jump shot from 27 ft (assist by R. Gay),57,79
3,3:17.0,Phoenix full timeout,,57,79
3,3:17.0,J. Jackson enters the game for M. Bridges,,57,79
3,3:17.0,,D. Cunningham enters the game for R. Gay,57,79
3,3:01.0,D. Melton makes 2-pt jump shot from 9 ft,,59,79
3,2:46.0,,D. Cunningham makes 3-pt jump shot from 24 ft (assist by M. Belinelli),59,82
3,2:30.0,Personal foul by B. Forbes (drawn by D. Melton),,59,82
3,2:19.0,R. Holmes misses 2-pt jump shot from 13 ft,,59,82
3,2:16.0,,Defensive rebound by J. Poeltl,59,82
3,2:00.0,,Turnover by P. Mills (bad pass; steal by D. Melton),59,82
3,1:55.0,T. Daniels makes 3-pt jump shot from 25 ft (assist by D. Melton),,62,82
3,1:42.0,,B. Forbes makes 2-pt jump shot from 15 ft,62,84
3,1:35.0,Phoenix full timeout,,62,84
3,1:35.0,J. Evans enters the game for T. Daniels,,62,84
3,1:35.0,,D. White enters the game for B. Forbes,62,84
3,1:24.0,J. Jackson misses 2-pt layup from 8 ft,,62,84
3,1:23.0,Offensive rebound by R. Holmes,,62,84
3,1:23.0,Shooting foul by J. Poeltl (drawn by R. Holmes),,62,84
3,1:23.0,R. Holmes makes free throw 1 of 2,,63,84
3,1:23.0,R. Holmes makes free throw 2 of 2,,64,84
3,1:07.0,,M. Belinelli makes 2-pt layup from 7 ft,64,86
3,0:47.0,Turnover by J. Jackson (traveling),,64,86
3,0:37.0,,J. Poeltl misses 2-pt layup from 6 ft (block by R. Holmes),64,86
3,0:32.0,Defensive rebound by D. Melton,,64,86
3,0:30.0,Turnover by J. Evans (lost ball; steal by D. White),,64,86
3,0:12.0,,P. Mills misses 2-pt layup from 4 ft,64,86
3,0:09.0,,Offensive rebound by J. Poeltl,64,86
3,0:05.0,,D. Cunningham misses 2-pt layup from 3 ft (block by R. Holmes),64,86
3,0:05.0,,Offensive rebound by M. Belinelli,64,86
3,0:02.0,,M. Belinelli makes 2-pt jump shot from 21 ft,64,88
3,0:00.0,D. Melton misses 3-pt jump shot from 42 ft,,64,88
3,0:00.0,Offensive rebound by Team,,64,88
4,11:39.0,,D. White misses 2-pt jump shot from 10 ft,64,88
4,11:36.0,Defensive rebound by D. Melton,,64,88
4,11:25.0,D. Ayton makes 2-pt hook shot from 7 ft (assist by D. Melton),,66,88
4,10:56.0,,D. Cunningham makes 3-pt jump shot from 26 ft,66,91
4,10:34.0,J. Jackson makes 3-pt jump shot from 27 ft (assist by D. Ayton),,69,91
4,10:23.0,,J. Poeltl makes 2-pt layup from 6 ft (assist by D. White),69,93
4,10:05.0,J. Jackson misses 3-pt jump shot from 24 ft,,69,93
4,10:03.0,,Defensive rebound by M. Belinelli,69,93
4,9:57.0,,M. Belinelli misses 2-pt jump shot from 21 ft,69,93
4,9:54.0,Defensive rebound by J. Evans,,69,93
4,9:52.0,D. Melton makes 2-pt layup from 4 ft (assist by J. Evans),,71,93
4,9:35.0,,D. White misses 3-pt jump shot from 26 ft,71,93
4,9:35.0,Defensive rebound by D. Ayton,,71,93
4,9:20.0,Personal foul by M. Belinelli (drawn by D. Ayton),,71,93
4,9:20.0,,Q. Pondexter enters the game for P. Mills,71,93
4,9:13.0,J. Evans misses 2-pt jump shot from 18 ft,,71,93
4,9:09.0,,Defensive rebound by J. Poeltl,71,93
4,8:55.0,,M. Belinelli misses 2-pt jump shot from 13 ft,71,93
4,8:51.0,Defensive rebound by D. Ayton,,71,93
4,8:41.0,D. Ayton makes 2-pt hook shot from 6 ft,,73,93
4,8:21.0,,J. Poeltl makes 2-pt dunk from 1 ft (assist by D. White),73,95
4,7:55.0,J. Jackson misses 2-pt layup from 2 ft,,73,95
4,7:51.0,,Defensive rebound by M. Belinelli,73,95
4,7:45.0,,D. White misses 3-pt jump shot from 24 ft,73,95
4,7:42.0,Defensive rebound by J. Jackson,,73,95
4,7:29.0,T. Warren makes 2-pt jump shot from 13 ft (assist by D. Ayton),,75,95
4,7:28.0,,San Antonio full timeout,75,95
4,7:28.0,D. Bender enters the game for J. Evans,,75,95
4,7:28.0,M. Bridges enters the game for T. Warren,,75,95
4,7:28.0,,B. Forbes enters the game for J. Poeltl,75,95
4,7:28.0,,C. Metu enters the game for D. White,75,95
4,7:12.0,,M. Belinelli misses 3-pt jump shot from 26 ft,75,95
4,7:08.0,Defensive rebound by M. Bridges,,75,95
4,6:52.0,D. Melton makes 2-pt jump shot from 14 ft,,77,95
4,6:39.0,,Turnover by M. Belinelli (lost ball; steal by D. Melton),77,95
4,6:36.0,Shooting foul by Q. Pondexter (drawn by J. Jackson),,77,95
4,6:36.0,J. Jackson makes free throw 1 of 2,,78,95
4,6:36.0,J. Jackson makes free throw 2 of 2,,79,95
4,6:20.0,,M. Belinelli misses 3-pt jump shot from 26 ft,79,95
4,6:17.0,Defensive rebound by D. Melton,,79,95
4,6:14.0,Turnover by D. Melton (bad pass; steal by B. Forbes),,79,95
4,6:07.0,,C. Metu makes 2-pt dunk from 1 ft (assist by Q. Pondexter),79,97
4,5:55.0,Personal foul by C. Metu (drawn by D. Ayton),,79,97
4,5:48.0,D. Ayton makes 2-pt dunk from 6 ft (assist by J. Jackson),,81,97
4,5:29.0,,B. Forbes misses 2-pt dunk from 2 ft,81,97
4,5:29.0,,Offensive rebound by Team,81,97
4,5:29.0,,Turnover by B. Forbes (off goaltending),81,97
4,5:14.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by D. Bender),,84,97
4,4:59.0,,Turnover by Q. Pondexter (bad pass; steal by J. Jackson),84,97
4,4:50.0,D. Melton misses 3-pt jump shot from 27 ft,,84,97
4,4:46.0,,Defensive rebound by B. Forbes,84,97
4,4:39.0,,B. Forbes misses 2-pt layup from 6 ft (block by D. Ayton),84,97
4,4:39.0,,Offensive rebound by Team,84,97
4,4:39.0,,P. Mills enters the game for M. Belinelli,84,97
4,4:39.0,,J. Poeltl enters the game for C. Metu,84,97
4,4:28.0,,P. Mills misses 2-pt jump shot from 17 ft,84,97
4,4:25.0,Defensive rebound by D. Bender,,84,97
4,4:19.0,D. Ayton misses 2-pt jump shot from 13 ft,,84,97
4,4:15.0,,Defensive rebound by P. Mills,84,97
4,4:10.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by P. Mills),84,100
4,4:10.0,Phoenix full timeout,,84,100
4,4:10.0,,D. White enters the game for D. Cunningham,84,100
4,3:47.0,D. Melton misses 2-pt layup from 8 ft,,84,100
4,3:43.0,Offensive rebound by D. Ayton,,84,100
4,3:43.0,D. Ayton makes 2-pt layup from 1 ft,,86,100
4,3:20.0,,D. White misses 2-pt jump shot from 8 ft,86,100
4,3:18.0,Defensive rebound by M. Bridges,,86,100
4,3:15.0,D. Melton misses 2-pt layup from 4 ft,,86,100
4,3:11.0,,Defensive rebound by B. Forbes,86,100
4,3:01.0,,Q. Pondexter makes 3-pt jump shot from 26 ft (assist by B. Forbes),86,103
4,2:43.0,J. Jackson misses 2-pt jump shot from 5 ft,,86,103
4,2:41.0,,Defensive rebound by Q. Pondexter,86,103
4,2:25.0,,B. Forbes misses 2-pt jump shot from 8 ft,86,103
4,2:23.0,Defensive rebound by D. Ayton,,86,103
4,2:17.0,D. Melton misses 3-pt jump shot from 23 ft,,86,103
4,2:13.0,,Defensive rebound by D. White,86,103
4,2:06.0,,Personal take foul by M. Bridges (drawn by D. White),86,103
4,2:06.0,J. Evans enters the game for D. Ayton,,86,103
4,2:06.0,R. Holmes enters the game for D. Melton,,86,103
4,2:06.0,,M. Belinelli enters the game for B. Forbes,86,103
4,2:06.0,,C. Metu enters the game for P. Mills,86,103
4,1:57.0,,D. White makes 2-pt jump shot from 10 ft (assist by J. Poeltl),86,105
