QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MILWAUKEE_ACTION,CLEVELAND_SCORE,MILWAUKEE_SCORE
1,8:30.0,,Offensive rebound by E. İlyasova,4,7
1,8:30.0,,Turnover by E. İlyasova (out of bounds lost ball),4,7
1,8:17.0,C. Osman misses 2-pt jump shot from 19 ft,,4,7
1,8:14.0,,Defensive rebound by M. Brogdon,4,7
1,8:03.0,,E. İlyasova misses 2-pt jump shot from 6 ft,4,7
1,8:00.0,Defensive rebound by C. Osman,,4,7
1,7:56.0,T. Thompson makes 2-pt hook shot from 6 ft (assist by C. Osman),,6,7
1,7:32.0,,E. İlyasova misses 3-pt jump shot from 24 ft,6,7
1,7:30.0,Defensive rebound by C. Sexton,,6,7
1,7:23.0,C. Sexton misses 2-pt layup from 3 ft (block by B. Lopez),,6,7
1,7:19.0,,Defensive rebound by K. Middleton,6,7
1,7:17.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by K. Middleton),6,9
1,7:00.0,R. Hood misses 3-pt jump shot from 27 ft,,6,9
1,6:57.0,,Defensive rebound by E. Bledsoe,6,9
1,6:55.0,,K. Middleton misses 2-pt layup from 2 ft (block by R. Hood),6,9
1,6:55.0,Defensive rebound by R. Hood,,6,9
1,6:46.0,Turnover by C. Sexton (step out of bounds),,6,9
1,6:46.0,,Milwaukee full timeout,6,9
1,6:46.0,,S. Brown enters the game for M. Brogdon,6,9
1,6:46.0,,T. Snell enters the game for E. İlyasova,6,9
1,6:28.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,6,12
1,6:06.0,A. Burks misses 2-pt layup from 1 ft (block by B. Lopez),,6,12
1,6:02.0,,Defensive rebound by S. Brown,6,12
1,5:57.0,,K. Middleton makes 3-pt jump shot from 27 ft,6,15
1,5:30.0,A. Burks makes 3-pt jump shot from 23 ft (assist by C. Osman),,9,15
1,5:17.0,,K. Middleton misses 2-pt layup from 1 ft,9,15
1,5:15.0,Defensive rebound by R. Hood,,9,15
1,5:11.0,R. Hood misses 2-pt layup from 3 ft,,9,15
1,5:11.0,Offensive rebound by Team,,9,15
1,5:11.0,,Loose ball foul by K. Middleton (drawn by T. Thompson),9,15
1,5:11.0,J. Clarkson enters the game for R. Hood,,9,15
1,5:05.0,C. Sexton misses 2-pt jump shot from 6 ft,,9,15
1,5:02.0,,Defensive rebound by B. Lopez,9,15
1,4:56.0,,E. Bledsoe misses 2-pt layup from 2 ft,9,15
1,4:53.0,Defensive rebound by T. Thompson,,9,15
1,4:50.0,Personal foul by E. Bledsoe (drawn by T. Thompson),,9,15
1,4:50.0,,T. Maker enters the game for B. Lopez,9,15
1,4:42.0,C. Sexton misses 2-pt jump shot from 20 ft,,9,15
1,4:40.0,,Defensive rebound by S. Brown,9,15
1,4:36.0,,Personal foul by A. Burks (drawn by E. Bledsoe),9,15
1,4:36.0,J. Jones enters the game for A. Burks,,9,15
1,4:36.0,L. Nance enters the game for T. Thompson,,9,15
1,4:26.0,,E. Bledsoe makes 2-pt jump shot from 5 ft,9,17
1,4:02.0,L. Nance makes 2-pt layup from 1 ft (assist by C. Osman),,11,17
1,3:57.0,,Personal foul by C. Osman (drawn by K. Middleton),11,17
1,3:57.0,M. Dellavedova enters the game for C. Sexton,,11,17
1,3:57.0,,M. Brogdon enters the game for E. Bledsoe,11,17
1,3:43.0,,Turnover by K. Middleton (out of bounds lost ball),11,17
1,3:25.0,Turnover by J. Jones (traveling),,11,17
1,3:25.0,,G. Hill enters the game for K. Middleton,11,17
1,3:16.0,,S. Brown makes 3-pt jump shot from 26 ft (assist by G. Hill),11,20
1,3:01.0,Turnover by J. Clarkson (lost ball; steal by G. Hill),,11,20
1,2:57.0,,Turnover by T. Maker (bad pass),11,20
1,2:57.0,Cleveland full timeout,,11,20
1,2:44.0,J. Clarkson misses 2-pt jump shot from 20 ft,,11,20
1,2:40.0,,Defensive rebound by S. Brown,11,20
1,2:30.0,,M. Brogdon misses 3-pt jump shot from 26 ft,11,20
1,2:27.0,Defensive rebound by J. Clarkson,,11,20
1,2:22.0,J. Clarkson misses 2-pt jump shot from 10 ft,,11,20
1,2:17.0,,Defensive rebound by G. Hill,11,20
1,2:15.0,,Shooting foul by L. Nance (drawn by T. Maker),11,20
1,2:15.0,,T. Maker makes free throw 1 of 2,11,21
1,2:15.0,J. Blossomgame enters the game for C. Osman,,11,21
1,2:15.0,,T. Maker makes free throw 2 of 2,11,22
1,2:00.0,L. Nance misses 2-pt jump shot from 20 ft,,11,22
1,1:56.0,,Defensive rebound by S. Brown,11,22
1,1:51.0,,Personal foul by L. Nance (drawn by S. Brown),11,22
1,1:40.0,,S. Brown makes 2-pt layup at rim (assist by M. Brogdon),11,24
1,1:30.0,M. Dellavedova makes 3-pt jump shot from 27 ft,,14,24
1,1:18.0,,T. Maker makes 2-pt dunk from 2 ft (assist by M. Brogdon),14,26
1,0:59.0,J. Clarkson makes 2-pt jump shot from 8 ft,,16,26
1,0:50.0,,S. Brown makes 3-pt jump shot from 27 ft (assist by T. Maker),16,29
1,0:40.0,L. Nance misses 2-pt dunk from 3 ft,,16,29
1,0:36.0,,Defensive rebound by T. Snell,16,29
1,0:27.0,,T. Maker misses 3-pt jump shot from 27 ft,16,29
1,0:25.0,Defensive rebound by J. Clarkson,,16,29
1,0:09.0,Personal foul by G. Hill (drawn by J. Clarkson),,16,29
1,0:09.0,,E. İlyasova enters the game for S. Brown,16,29
1,0:04.0,Shooting foul by E. İlyasova (drawn by J. Blossomgame),,16,29
1,0:04.0,J. Blossomgame makes free throw 1 of 2,,17,29
1,0:04.0,T. Thompson enters the game for L. Nance,,17,29
1,0:04.0,J. Blossomgame makes free throw 2 of 2,,18,29
1,0:00.0,,M. Brogdon makes 2-pt layup from 2 ft,18,31
1,0:00.0,Violation by Team (def goaltending),,18,31
2,11:48.0,Personal foul by E. İlyasova (drawn by L. Nance),,18,31
2,11:38.0,Turnover by C. Sexton (bad pass; steal by E. İlyasova),,18,31
2,11:32.0,,M. Brogdon misses 2-pt layup from 2 ft,18,31
2,11:29.0,Defensive rebound by J. Blossomgame,,18,31
2,11:24.0,J. Clarkson makes 2-pt jump shot from 11 ft,,20,31
2,11:15.0,,M. Brogdon misses 2-pt layup from 1 ft (block by J. Blossomgame),20,31
2,11:15.0,Defensive rebound by J. Clarkson,,20,31
2,11:10.0,J. Clarkson makes 2-pt layup from 2 ft,,22,31
2,10:55.0,,T. Snell misses 3-pt jump shot from 26 ft,22,31
2,10:55.0,Defensive rebound by J. Blossomgame,,22,31
2,10:42.0,J. Blossomgame makes 3-pt jump shot from 27 ft (assist by J. Clarkson),,25,31
2,10:42.0,,Milwaukee full timeout,25,31
2,10:42.0,,D. DiVincenzo enters the game for E. İlyasova,25,31
2,10:42.0,,B. Lopez enters the game for T. Snell,25,31
2,10:30.0,,G. Hill makes 2-pt layup from 1 ft,25,33
2,10:30.0,,Shooting foul by L. Nance (drawn by G. Hill),25,33
2,10:30.0,C. Frye enters the game for L. Nance,,25,33
2,10:30.0,,G. Hill misses free throw 1 of 1,25,33
2,10:30.0,Defensive rebound by J. Clarkson,,25,33
2,10:14.0,J. Clarkson misses 3-pt jump shot from 27 ft,,25,33
2,10:11.0,,Defensive rebound by M. Brogdon,25,33
2,9:52.0,,D. Wilson makes 3-pt jump shot from 27 ft (assist by B. Lopez),25,36
2,9:33.0,J. Clarkson misses 2-pt jump shot from 19 ft,,25,36
2,9:31.0,,Defensive rebound by D. DiVincenzo,25,36
2,9:20.0,,Personal foul by J. Jones (drawn by D. DiVincenzo),25,36
2,9:20.0,R. Hood enters the game for J. Jones,,25,36
2,9:20.0,,E. Bledsoe enters the game for M. Brogdon,25,36
2,9:20.0,,S. Brown enters the game for G. Hill,25,36
2,9:08.0,,B. Lopez misses 3-pt jump shot from 24 ft,25,36
2,9:04.0,Defensive rebound by J. Blossomgame,,25,36
2,8:58.0,C. Sexton misses 2-pt jump shot from 10 ft,,25,36
2,8:55.0,,Defensive rebound by E. Bledsoe,25,36
2,8:49.0,,S. Brown misses 2-pt layup from 2 ft,25,36
2,8:45.0,Defensive rebound by J. Blossomgame,,25,36
2,8:40.0,J. Clarkson makes 2-pt jump shot from 12 ft,,27,36
2,8:27.0,,Offensive foul by D. DiVincenzo (drawn by J. Blossomgame),27,36
2,8:27.0,,Turnover by D. DiVincenzo (offensive foul),27,36
2,8:27.0,A. Burks enters the game for J. Clarkson,,27,36
2,8:16.0,C. Sexton misses 2-pt jump shot from 16 ft,,27,36
2,8:13.0,,Defensive rebound by S. Brown,27,36
2,8:11.0,,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by S. Brown),27,39
2,7:52.0,C. Frye misses 2-pt jump shot from 22 ft,,27,39
2,7:49.0,,Defensive rebound by E. Bledsoe,27,39
2,7:40.0,,B. Lopez misses 2-pt jump shot from 6 ft,27,39
2,7:38.0,,Offensive rebound by B. Lopez,27,39
2,7:38.0,,B. Lopez makes 2-pt layup at rim,27,41
2,7:38.0,Cleveland full timeout,,27,41
2,7:38.0,C. Osman enters the game for J. Blossomgame,,27,41
2,7:24.0,C. Frye makes 3-pt jump shot from 27 ft (assist by R. Hood),,30,41
2,7:15.0,,Turnover by B. Lopez (offensive foul),30,41
2,7:15.0,,Offensive foul by B. Lopez (drawn by C. Frye),30,41
2,7:15.0,,K. Middleton enters the game for D. Wilson,30,41
2,6:58.0,C. Osman misses 3-pt jump shot from 27 ft,,30,41
2,6:56.0,,Defensive rebound by Team,30,41
2,6:34.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,30,44
2,6:15.0,A. Burks misses 2-pt jump shot from 10 ft,,30,44
2,6:12.0,,Defensive rebound by D. DiVincenzo,30,44
2,6:08.0,,D. DiVincenzo misses 2-pt layup from 2 ft,30,44
2,6:05.0,Defensive rebound by A. Burks,,30,44
2,5:58.0,C. Osman misses 3-pt jump shot from 23 ft,,30,44
2,5:54.0,,Defensive rebound by S. Brown,30,44
2,5:47.0,,B. Lopez makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),30,47
2,5:35.0,C. Osman misses 3-pt jump shot from 23 ft,,30,47
2,5:30.0,,Defensive rebound by K. Middleton,30,47
2,5:26.0,,S. Brown misses 3-pt jump shot from 26 ft,30,47
2,5:23.0,,Offensive rebound by E. Bledsoe,30,47
2,5:20.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,30,50
2,5:20.0,Cleveland full timeout,,30,50
2,5:20.0,T. Thompson enters the game for C. Frye,,30,50
2,5:20.0,,T. Snell enters the game for D. DiVincenzo,30,50
2,5:06.0,C. Osman makes 2-pt layup from 1 ft,,32,50
2,4:47.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),32,53
2,4:34.0,C. Sexton misses 2-pt jump shot from 17 ft,,32,53
2,4:31.0,Offensive rebound by T. Thompson,,32,53
2,4:24.0,T. Thompson makes 2-pt layup from 3 ft (assist by A. Burks),,34,53
2,4:17.0,,T. Snell misses 3-pt jump shot from 26 ft,34,53
2,4:15.0,Defensive rebound by R. Hood,,34,53
2,4:15.0,M. Dellavedova enters the game for C. Sexton,,34,53
2,3:58.0,M. Dellavedova misses 3-pt jump shot from 27 ft,,34,53
2,3:55.0,,Defensive rebound by S. Brown,34,53
2,3:48.0,,K. Middleton makes 2-pt layup from 3 ft,34,55
2,3:30.0,R. Hood misses 2-pt jump shot from 4 ft,,34,55
2,3:27.0,,Defensive rebound by S. Brown,34,55
2,3:22.0,,S. Brown misses 2-pt hook shot from 4 ft,34,55
2,3:19.0,Defensive rebound by T. Thompson,,34,55
2,3:08.0,M. Dellavedova misses 2-pt jump shot from 12 ft,,34,55
2,3:08.0,Offensive rebound by Team,,34,55
2,3:08.0,,Loose ball foul by T. Snell (drawn by T. Thompson),34,55
2,3:08.0,,M. Brogdon enters the game for E. Bledsoe,34,55
2,3:08.0,,T. Maker enters the game for B. Lopez,34,55
2,2:53.0,T. Thompson makes 2-pt hook shot from 4 ft (assist by M. Dellavedova),,36,55
2,2:47.0,,T. Snell misses 2-pt jump shot from 10 ft,36,55
2,2:47.0,,Offensive rebound by Team,36,55
2,2:47.0,,Turnover by T. Snell (traveling),36,55
2,2:30.0,A. Burks misses 3-pt jump shot from 28 ft,,36,55
2,2:28.0,,Defensive rebound by T. Maker,36,55
2,2:21.0,,K. Middleton misses 3-pt jump shot from 26 ft,36,55
2,2:19.0,Defensive rebound by T. Thompson,,36,55
2,2:12.0,Turnover by M. Dellavedova (bad pass; steal by T. Maker),,36,55
2,2:08.0,,S. Brown makes 2-pt dunk from 1 ft,36,57
2,1:49.0,Personal foul by S. Brown (drawn by A. Burks),,36,57
2,1:40.0,C. Osman misses 3-pt jump shot from 27 ft,,36,57
2,1:35.0,,Defensive rebound by T. Maker,36,57
2,1:28.0,,M. Brogdon misses 3-pt jump shot from 27 ft,36,57
2,1:28.0,Defensive rebound by Team,,36,57
2,1:17.0,R. Hood makes 3-pt jump shot from 25 ft (assist by C. Osman),,39,57
2,1:02.0,,T. Maker makes 2-pt layup from 1 ft (assist by M. Brogdon),39,59
2,0:51.0,M. Dellavedova makes 2-pt jump shot from 12 ft,,41,59
2,0:28.0,,T. Snell misses 2-pt layup from 3 ft,41,59
2,0:25.0,Defensive rebound by C. Osman,,41,59
2,0:23.0,C. Osman misses 2-pt layup from 2 ft,,41,59
2,0:20.0,,Defensive rebound by K. Middleton,41,59
2,0:05.0,,Personal take foul by C. Osman (drawn by K. Middleton),41,59
2,0:00.0,,K. Middleton misses 2-pt jump shot from 15 ft,41,59
2,0:00.0,,Offensive rebound by Team,41,59
3,11:44.0,T. Thompson misses 2-pt jump shot from 7 ft,,41,59
3,11:40.0,,Defensive rebound by E. Bledsoe,41,59
3,11:31.0,,M. Brogdon makes 2-pt layup at rim (assist by E. İlyasova),41,61
3,11:13.0,Personal foul by B. Lopez (drawn by A. Burks),,41,61
3,11:00.0,R. Hood misses 2-pt jump shot from 19 ft,,41,61
3,10:57.0,,Defensive rebound by E. Bledsoe,41,61
3,10:49.0,,B. Lopez misses 3-pt jump shot from 27 ft,41,61
3,10:45.0,Defensive rebound by R. Hood,,41,61
3,10:42.0,Turnover by R. Hood (bad pass),,41,61
3,10:25.0,,Turnover by E. Bledsoe (bad pass; steal by A. Burks),41,61
3,10:20.0,C. Sexton misses 2-pt jump shot from 19 ft,,41,61
3,10:17.0,,Defensive rebound by K. Middleton,41,61
3,10:05.0,,Turnover by K. Middleton (lost ball; steal by T. Thompson),41,61
3,9:45.0,T. Thompson makes 2-pt hook shot from 2 ft,,43,61
3,9:33.0,,M. Brogdon makes 2-pt layup from 1 ft,43,63
3,9:16.0,Personal foul by K. Middleton (drawn by T. Thompson),,43,63
3,9:08.0,C. Osman misses 2-pt jump shot from 13 ft,,43,63
3,9:02.0,Offensive rebound by T. Thompson,,43,63
3,9:02.0,T. Thompson makes 2-pt dunk at rim,,45,63
3,8:57.0,,K. Middleton misses 3-pt jump shot from 27 ft,45,63
3,8:56.0,,Offensive rebound by Team,45,63
3,8:56.0,Loose ball foul by R. Hood (drawn by E. İlyasova),,45,63
3,8:41.0,,M. Brogdon makes 2-pt layup from 1 ft,45,65
3,8:23.0,C. Sexton makes 3-pt jump shot from 27 ft (assist by R. Hood),,48,65
3,8:03.0,,M. Brogdon makes 2-pt layup from 1 ft,48,67
3,7:46.0,A. Burks misses 2-pt layup from 2 ft (block by B. Lopez),,48,67
3,7:46.0,Offensive rebound by Team,,48,67
3,7:46.0,,Loose ball foul by M. Brogdon (drawn by T. Thompson),48,67
3,7:46.0,J. Clarkson enters the game for R. Hood,,48,67
3,7:35.0,C. Osman misses 2-pt jump shot from 6 ft,,48,67
3,7:32.0,,Defensive rebound by B. Lopez,48,67
3,7:28.0,,M. Brogdon makes 2-pt layup from 2 ft,48,69
3,7:28.0,,Shooting foul by C. Sexton (drawn by M. Brogdon),48,69
3,7:28.0,,S. Brown enters the game for E. Bledsoe,48,69
3,7:28.0,,M. Brogdon makes free throw 1 of 1,48,70
3,7:07.0,J. Clarkson misses 3-pt jump shot from 26 ft,,48,70
3,7:04.0,,Defensive rebound by M. Brogdon,48,70
3,7:01.0,,Personal foul by C. Sexton (drawn by M. Brogdon),48,70
3,7:01.0,J. Blossomgame enters the game for A. Burks,,48,70
3,7:01.0,J. Jones enters the game for C. Osman,,48,70
3,7:01.0,L. Nance enters the game for T. Thompson,,48,70
3,7:01.0,,E. Bledsoe enters the game for M. Brogdon,48,70
3,6:48.0,,B. Lopez makes 2-pt jump shot from 9 ft,48,72
3,6:48.0,,Shooting foul by C. Sexton (drawn by B. Lopez),48,72
3,6:48.0,,Milwaukee full timeout,48,72
3,6:48.0,,B. Lopez misses free throw 1 of 1,48,72
3,6:44.0,Defensive rebound by J. Jones,,48,72
3,6:26.0,J. Blossomgame misses 3-pt jump shot from 26 ft,,48,72
3,6:21.0,,Defensive rebound by E. İlyasova,48,72
3,6:18.0,,Shooting foul by J. Jones (drawn by K. Middleton),48,72
3,6:18.0,,K. Middleton makes free throw 1 of 2,48,73
3,6:18.0,,T. Maker enters the game for B. Lopez,48,73
3,6:18.0,,K. Middleton makes free throw 2 of 2,48,74
3,6:06.0,L. Nance misses 2-pt hook shot from 9 ft,,48,74
3,6:05.0,Offensive rebound by Team,,48,74
3,6:05.0,,Loose ball foul by E. İlyasova (drawn by J. Blossomgame),48,74
3,5:57.0,C. Sexton misses 2-pt hook shot from 7 ft,,48,74
3,5:54.0,Offensive rebound by C. Sexton,,48,74
3,5:54.0,C. Sexton misses 2-pt layup at rim,,48,74
3,5:53.0,Offensive rebound by L. Nance,,48,74
3,5:45.0,J. Jones misses 2-pt hook shot from 9 ft,,48,74
3,5:45.0,Offensive rebound by Team,,48,74
3,5:45.0,,Loose ball foul by E. Bledsoe (drawn by C. Sexton),48,74
3,5:45.0,C. Sexton makes free throw 1 of 2,,49,74
3,5:45.0,C. Sexton makes free throw 2 of 2,,50,74
3,5:30.0,,K. Middleton makes 2-pt jump shot from 17 ft (assist by E. Bledsoe),50,76
3,5:17.0,J. Clarkson misses 2-pt layup from 5 ft,,50,76
3,5:17.0,,Defensive rebound by K. Middleton,50,76
3,5:05.0,,E. İlyasova makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),50,79
3,4:50.0,J. Blossomgame makes 3-pt jump shot from 27 ft (assist by J. Clarkson),,53,79
3,4:39.0,,S. Brown misses 3-pt jump shot from 25 ft,53,79
3,4:38.0,,Offensive rebound by E. Bledsoe,53,79
3,4:33.0,,K. Middleton misses 3-pt jump shot from 27 ft,53,79
3,4:33.0,Defensive rebound by Team,,53,79
3,4:33.0,,Loose ball foul by S. Brown (drawn by J. Clarkson),53,79
3,4:33.0,J. Clarkson makes free throw 1 of 2,,54,79
3,4:33.0,M. Dellavedova enters the game for C. Sexton,,54,79
3,4:33.0,,T. Snell enters the game for E. İlyasova,54,79
3,4:33.0,J. Clarkson misses free throw 2 of 2,,54,79
3,4:29.0,,Defensive rebound by K. Middleton,54,79
3,4:17.0,,T. Maker misses 2-pt layup from 3 ft,54,79
3,4:15.0,Defensive rebound by J. Blossomgame,,54,79
3,4:10.0,J. Jones misses 3-pt jump shot from 26 ft,,54,79
3,4:08.0,,Defensive rebound by E. Bledsoe,54,79
3,3:59.0,,E. Bledsoe misses 2-pt jump shot from 13 ft,54,79
3,3:52.0,Defensive rebound by J. Blossomgame,,54,79
3,3:47.0,M. Dellavedova makes 2-pt jump shot from 8 ft (assist by J. Clarkson),,56,79
3,3:33.0,,K. Middleton misses 2-pt jump shot from 18 ft,56,79
3,3:30.0,Defensive rebound by J. Jones,,56,79
3,3:26.0,Shooting foul by T. Snell (drawn by J. Jones),,56,79
3,3:26.0,J. Jones makes free throw 1 of 2,,57,79
3,3:26.0,,M. Brogdon enters the game for E. Bledsoe,57,79
3,3:26.0,,G. Hill enters the game for K. Middleton,57,79
3,3:26.0,J. Jones misses free throw 2 of 2,,57,79
3,3:22.0,,Defensive rebound by T. Maker,57,79
3,3:04.0,,T. Snell misses 2-pt jump shot from 11 ft,57,79
3,3:02.0,Defensive rebound by J. Clarkson,,57,79
3,2:56.0,J. Clarkson misses 2-pt jump shot from 9 ft,,57,79
3,2:52.0,Offensive rebound by L. Nance,,57,79
3,2:49.0,J. Jones misses 3-pt jump shot from 26 ft,,57,79
3,2:46.0,,Defensive rebound by G. Hill,57,79
3,2:37.0,,T. Snell makes 3-pt jump shot from 27 ft (assist by M. Brogdon),57,82
3,2:22.0,Turnover by J. Clarkson (bad pass),,57,82
3,2:22.0,Cleveland full timeout,,57,82
3,2:06.0,,M. Brogdon makes 2-pt layup from 1 ft,57,84
3,1:45.0,L. Nance makes 2-pt dunk from 1 ft (assist by M. Dellavedova),,59,84
3,1:24.0,,G. Hill misses 3-pt jump shot from 27 ft,59,84
3,1:21.0,Defensive rebound by M. Dellavedova,,59,84
3,1:19.0,L. Nance makes 2-pt dunk from 2 ft (assist by M. Dellavedova),,61,84
3,1:05.0,,T. Maker misses 2-pt dunk from 2 ft,61,84
3,0:59.0,Defensive rebound by L. Nance,,61,84
3,0:53.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,61,84
3,0:50.0,Offensive rebound by L. Nance,,61,84
3,0:41.0,J. Blossomgame makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),,64,84
3,0:28.0,,S. Brown misses 2-pt layup from 2 ft,64,84
3,0:27.0,Defensive rebound by M. Dellavedova,,64,84
3,0:27.0,Personal foul by S. Brown (drawn by M. Dellavedova),,64,84
3,0:27.0,M. Dellavedova makes free throw 1 of 2,,65,84
3,0:27.0,,D. Wilson enters the game for S. Brown,65,84
3,0:27.0,M. Dellavedova makes free throw 2 of 2,,66,84
3,0:03.0,,G. Hill misses 2-pt layup from 3 ft,66,84
3,0:00.0,Defensive rebound by J. Jones,,66,84
3,0:00.0,J. Clarkson misses 2-pt layup from 2 ft,,66,84
3,0:00.0,Offensive rebound by Team,,66,84
4,11:41.0,,D. DiVincenzo makes 3-pt jump shot from 23 ft (assist by E. İlyasova),66,87
4,11:26.0,Turnover by M. Dellavedova (bad pass; steal by D. Wilson),,66,87
4,11:19.0,,Turnover by M. Brogdon (bad pass),66,87
4,10:58.0,M. Dellavedova makes 2-pt jump shot from 20 ft (assist by L. Nance),,68,87
4,10:30.0,,M. Brogdon makes 3-pt jump shot from 27 ft (assist by G. Hill),68,90
4,10:07.0,J. Clarkson misses 3-pt jump shot from 27 ft,,68,90
4,10:04.0,,Defensive rebound by M. Brogdon,68,90
4,10:01.0,,D. DiVincenzo misses 3-pt jump shot from 27 ft,68,90
4,9:58.0,Defensive rebound by J. Blossomgame,,68,90
4,9:48.0,J. Jones misses 3-pt jump shot from 27 ft,,68,90
4,9:45.0,,Defensive rebound by E. İlyasova,68,90
4,9:34.0,,E. İlyasova makes 2-pt layup from 2 ft (assist by D. DiVincenzo),68,92
4,9:15.0,L. Nance misses 3-pt jump shot from 28 ft,,68,92
4,9:12.0,,Defensive rebound by M. Brogdon,68,92
4,9:00.0,,Turnover by M. Brogdon (bad pass; steal by L. Nance),68,92
4,8:55.0,L. Nance makes 2-pt layup from 2 ft,,70,92
4,8:55.0,Shooting foul by M. Brogdon (drawn by L. Nance),,70,92
4,8:55.0,C. Osman enters the game for M. Dellavedova,,70,92
4,8:55.0,C. Sexton enters the game for J. Jones,,70,92
4,8:55.0,,S. Brown enters the game for G. Hill,70,92
4,8:55.0,,J. Smith enters the game for E. İlyasova,70,92
4,8:55.0,L. Nance misses free throw 1 of 1,,70,92
4,8:51.0,,Defensive rebound by D. Wilson,70,92
4,8:31.0,,J. Smith misses 3-pt jump shot from 27 ft,70,92
4,8:28.0,Defensive rebound by L. Nance,,70,92
4,8:14.0,C. Osman misses 2-pt layup from 7 ft,,70,92
4,8:14.0,,Defensive rebound by Team,70,92
4,8:14.0,,Personal foul by L. Nance (drawn by M. Brogdon),70,92
4,8:14.0,A. Burks enters the game for J. Clarkson,,70,92
4,8:05.0,,Turnover by M. Brogdon (lost ball; steal by L. Nance),70,92
4,8:01.0,C. Sexton makes 2-pt layup from 1 ft (assist by J. Blossomgame),,72,92
4,7:47.0,,D. DiVincenzo misses 3-pt jump shot from 27 ft,72,92
4,7:47.0,,Offensive rebound by D. DiVincenzo,72,92
4,7:40.0,,D. Wilson misses 3-pt jump shot from 26 ft,72,92
4,7:37.0,,Offensive rebound by J. Smith,72,92
4,7:36.0,,D. Wilson makes 2-pt dunk from 3 ft (assist by S. Brown),72,94
4,7:16.0,C. Sexton makes 2-pt jump shot from 16 ft (assist by A. Burks),,74,94
4,7:06.0,,S. Brown misses 2-pt jump shot from 21 ft,74,94
4,7:03.0,Defensive rebound by J. Blossomgame,,74,94
4,6:53.0,C. Osman makes 3-pt jump shot from 26 ft (assist by A. Burks),,77,94
4,6:53.0,,Milwaukee full timeout,77,94
4,6:53.0,,E. Bledsoe enters the game for M. Brogdon,77,94
4,6:40.0,,Turnover by D. Wilson (offensive foul),77,94
4,6:40.0,,Offensive foul by D. Wilson (drawn by C. Sexton),77,94
4,6:29.0,Shooting foul by D. DiVincenzo (drawn by C. Osman),,77,94
4,6:29.0,C. Osman misses free throw 1 of 2,,77,94
4,6:29.0,Offensive rebound by Team,,77,94
4,6:29.0,C. Osman makes free throw 2 of 2,,78,94
4,6:05.0,,E. Bledsoe misses 2-pt jump shot from 5 ft,78,94
