QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ORLANDO_ACTION,BROOKLYN_SCORE,ORLANDO_SCORE
2,10:16.0,S. Napier misses 3-pt jump shot from 27 ft,,25,28
2,10:13.0,,Defensive rebound by T. Ross,25,28
2,9:59.0,,E. Fournier makes 2-pt jump shot from 20 ft,25,30
2,9:44.0,R. Hollis-Jefferson misses 2-pt layup from 5 ft,,25,30
2,9:38.0,Offensive rebound by E. Davis,,25,30
2,9:38.0,E. Davis makes 2-pt layup at rim,,27,30
2,9:25.0,,T. Ross makes 3-pt jump shot from 26 ft,27,33
2,9:23.0,Brooklyn full timeout,,27,33
2,9:23.0,R. Kurucs enters the game for S. Napier,,27,33
2,9:01.0,Shooting foul by I. Briscoe (drawn by E. Davis),,27,33
2,9:01.0,E. Davis makes free throw 1 of 2,,28,33
2,9:01.0,E. Davis makes free throw 2 of 2,,29,33
2,8:45.0,,T. Ross misses 3-pt jump shot from 26 ft,29,33
2,8:43.0,Defensive rebound by D. Carroll,,29,33
2,8:39.0,Turnover by D. Russell (bad pass; steal by I. Briscoe),,29,33
2,8:28.0,,A. Gordon misses 2-pt jump shot from 17 ft,29,33
2,8:26.0,Defensive rebound by R. Kurucs,,29,33
2,8:17.0,D. Russell misses 2-pt jump shot from 19 ft,,29,33
2,8:15.0,,Defensive rebound by I. Briscoe,29,33
2,8:10.0,,K. Birch makes 2-pt layup from 3 ft (assist by A. Gordon),29,35
2,7:59.0,D. Carroll misses 3-pt jump shot from 26 ft,,29,35
2,7:55.0,,Defensive rebound by I. Briscoe,29,35
2,7:49.0,,T. Ross misses 3-pt jump shot from 25 ft,29,35
2,7:47.0,Defensive rebound by E. Davis,,29,35
2,7:47.0,,J. Isaac enters the game for E. Fournier,29,35
2,7:47.0,,W. Iwundu enters the game for A. Gordon,29,35
2,7:36.0,D. Carroll misses 3-pt jump shot from 25 ft,,29,35
2,7:34.0,,Defensive rebound by K. Birch,29,35
2,7:27.0,,Offensive foul by J. Isaac (drawn by R. Hollis-Jefferson),29,35
2,7:27.0,,Turnover by J. Isaac (offensive foul),29,35
2,7:18.0,D. Russell makes 3-pt jump shot from 26 ft (assist by E. Davis),,32,35
2,6:58.0,,T. Ross misses 2-pt jump shot from 14 ft,32,35
2,6:56.0,Defensive rebound by E. Davis,,32,35
2,6:39.0,D. Russell misses 2-pt jump shot from 13 ft,,32,35
2,6:37.0,,Defensive rebound by W. Iwundu,32,35
2,6:31.0,,W. Iwundu misses 2-pt layup from 3 ft (block by R. Kurucs),32,35
2,6:27.0,Defensive rebound by R. Kurucs,,32,35
2,6:25.0,E. Davis misses 2-pt layup from 1 ft,,32,35
2,6:25.0,Offensive rebound by D. Carroll,,32,35
2,6:25.0,Turnover by D. Carroll (traveling),,32,35
2,6:25.0,,D. Augustin enters the game for K. Birch,32,35
2,6:25.0,,N. Vučević enters the game for I. Briscoe,32,35
2,6:08.0,,N. Vučević misses 2-pt jump shot from 22 ft,32,35
2,6:00.0,,Offensive rebound by J. Isaac,32,35
2,6:00.0,,J. Isaac misses 2-pt layup from 1 ft,32,35
2,5:59.0,Defensive rebound by R. Hollis-Jefferson,,32,35
2,5:46.0,R. Kurucs misses 2-pt layup from 5 ft,,32,35
2,5:40.0,Offensive rebound by R. Kurucs,,32,35
2,5:38.0,R. Kurucs misses 2-pt layup from 3 ft,,32,35
2,5:37.0,Offensive rebound by E. Davis,,32,35
2,5:36.0,E. Davis misses 2-pt layup at rim,,32,35
2,5:35.0,,Defensive rebound by N. Vučević,32,35
2,5:33.0,,J. Isaac misses 3-pt jump shot from 27 ft,32,35
2,5:29.0,Defensive rebound by E. Davis,,32,35
2,5:27.0,Shooting foul by W. Iwundu (drawn by R. Hollis-Jefferson),,32,35
2,5:27.0,R. Hollis-Jefferson misses free throw 1 of 2,,32,35
2,5:27.0,Offensive rebound by Team,,32,35
2,5:27.0,J. Allen enters the game for D. Carroll,,32,35
2,5:27.0,J. Harris enters the game for E. Davis,,32,35
2,5:27.0,R. Hollis-Jefferson makes free throw 2 of 2,,33,35
2,5:09.0,,W. Iwundu misses 2-pt jump shot from 9 ft,33,35
2,5:09.0,Defensive rebound by Team,,33,35
2,4:56.0,D. Russell makes 2-pt layup from 4 ft,,35,35
2,4:49.0,,Orlando full timeout,35,35
2,4:49.0,S. Napier enters the game for D. Russell,,35,35
2,4:49.0,,E. Fournier enters the game for W. Iwundu,35,35
2,4:49.0,,A. Gordon enters the game for T. Ross,35,35
2,4:38.0,,Turnover by E. Fournier (bad pass; steal by S. Napier),35,35
2,4:31.0,J. Harris misses 3-pt jump shot from 25 ft,,35,35
2,4:29.0,,Defensive rebound by E. Fournier,35,35
2,4:19.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by E. Fournier),35,37
2,3:52.0,J. Harris misses 2-pt layup from 5 ft (block by J. Isaac),,35,37
2,3:49.0,,Defensive rebound by N. Vučević,35,37
2,3:40.0,,E. Fournier makes 2-pt layup from 4 ft,35,39
2,3:40.0,,Shooting foul by S. Napier (drawn by E. Fournier),35,39
2,3:40.0,D. Carroll enters the game for R. Hollis-Jefferson,,35,39
2,3:40.0,T. Graham enters the game for R. Kurucs,,35,39
2,3:40.0,,E. Fournier makes free throw 1 of 1,35,40
2,3:25.0,S. Napier misses 3-pt jump shot from 26 ft,,35,40
2,3:22.0,,Defensive rebound by J. Isaac,35,40
2,3:17.0,,Turnover by D. Augustin (bad pass),35,40
2,3:13.0,Turnover by S. Napier (bad pass),,35,40
2,2:59.0,,Turnover by J. Isaac (lost ball; steal by D. Carroll),35,40
2,2:51.0,T. Graham misses 3-pt jump shot from 26 ft,,35,40
2,2:49.0,,Defensive rebound by J. Isaac,35,40
2,2:41.0,,E. Fournier misses 2-pt jump shot from 21 ft,35,40
2,2:39.0,Defensive rebound by J. Allen,,35,40
2,2:25.0,S. Napier makes 3-pt jump shot from 26 ft,,38,40
2,2:09.0,,E. Fournier misses 2-pt jump shot from 19 ft,38,40
2,2:07.0,Defensive rebound by D. Carroll,,38,40
2,2:04.0,J. Harris makes 2-pt layup from 3 ft (assist by D. Carroll),,40,40
2,1:43.0,,A. Gordon misses 3-pt jump shot from 26 ft,40,40
2,1:40.0,Defensive rebound by J. Allen,,40,40
2,1:31.0,D. Carroll misses 2-pt layup from 5 ft,,40,40
2,1:29.0,,Defensive rebound by J. Isaac,40,40
2,1:24.0,,Shooting foul by J. Allen (drawn by J. Isaac),40,40
2,1:24.0,,J. Isaac makes free throw 1 of 2,40,41
2,1:24.0,,J. Isaac makes free throw 2 of 2,40,42
2,1:07.0,J. Allen makes 2-pt dunk from 1 ft (assist by J. Harris),,42,42
2,0:42.0,,N. Vučević misses 2-pt hook shot from 8 ft,42,42
2,0:40.0,Defensive rebound by J. Allen,,42,42
2,0:24.0,Personal foul by E. Fournier (drawn by S. Napier),,42,42
2,0:20.0,S. Napier makes 3-pt jump shot from 27 ft,,45,42
2,0:04.0,,N. Vučević makes 2-pt dunk from 3 ft (assist by D. Augustin),45,44
2,0:00.0,S. Napier makes 3-pt jump shot from 28 ft,,48,44
3,11:47.0,,N. Vučević misses 2-pt hook shot from 11 ft,48,44
3,11:44.0,Defensive rebound by J. Allen,,48,44
3,11:30.0,Turnover by D. Russell (bad pass; steal by J. Isaac),,48,44
3,11:18.0,,N. Vučević misses 2-pt layup from 6 ft,48,44
3,11:16.0,,Offensive rebound by N. Vučević,48,44
3,11:15.0,,N. Vučević makes 2-pt layup from 2 ft,48,46
3,11:01.0,Turnover by R. Kurucs (lost ball; steal by J. Isaac),,48,46
3,10:49.0,,D. Augustin makes 2-pt jump shot from 6 ft,48,48
3,10:30.0,Turnover by D. Russell (bad pass; steal by E. Fournier),,48,48
3,10:17.0,,N. Vučević makes 2-pt layup from 3 ft (assist by A. Gordon),48,50
3,10:03.0,R. Kurucs makes 2-pt layup from 3 ft (assist by T. Graham),,50,50
3,9:51.0,,Turnover by E. Fournier (bad pass),50,50
3,9:33.0,R. Kurucs makes 3-pt jump shot from 27 ft (assist by J. Allen),,53,50
3,9:22.0,,J. Isaac misses 3-pt jump shot from 26 ft,53,50
3,9:21.0,Defensive rebound by Team,,53,50
3,9:10.0,J. Harris makes 2-pt layup from 3 ft (assist by D. Russell),,55,50
3,8:50.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by J. Isaac),55,53
3,8:36.0,R. Kurucs misses 3-pt jump shot from 26 ft,,55,53
3,8:36.0,,Defensive rebound by J. Isaac,55,53
3,8:26.0,,Personal foul by R. Kurucs (drawn by N. Vučević),55,53
3,8:08.0,,E. Fournier misses 2-pt jump shot from 18 ft,55,53
3,8:08.0,,Offensive rebound by J. Isaac,55,53
3,8:08.0,,Shooting foul by J. Harris (drawn by J. Isaac),55,53
3,8:08.0,,J. Isaac makes free throw 1 of 2,55,54
3,8:08.0,,J. Isaac misses free throw 2 of 2,55,54
3,8:05.0,Defensive rebound by R. Kurucs,,55,54
3,7:58.0,D. Russell makes 3-pt jump shot from 26 ft (assist by J. Harris),,58,54
3,7:35.0,,A. Gordon makes 2-pt jump shot from 10 ft,58,56
3,7:18.0,J. Harris misses 3-pt jump shot from 26 ft,,58,56
3,7:16.0,,Defensive rebound by J. Isaac,58,56
3,7:05.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by D. Augustin),58,58
3,6:51.0,R. Kurucs misses 2-pt hook shot from 7 ft,,58,58
3,6:49.0,,Defensive rebound by J. Isaac,58,58
3,6:45.0,,Shooting foul by T. Graham (drawn by D. Augustin),58,58
3,6:45.0,,Orlando full timeout,58,58
3,6:45.0,,D. Augustin makes free throw 1 of 2,58,59
3,6:45.0,,D. Augustin misses free throw 2 of 2,58,59
3,6:43.0,Defensive rebound by J. Harris,,58,59
3,6:31.0,Turnover by D. Russell (bad pass; steal by D. Augustin),,58,59
3,6:26.0,,Turnover by D. Augustin (bad pass; steal by T. Graham),58,59
3,6:26.0,Turnover by J. Allen (bad pass),,58,59
3,6:26.0,D. Carroll enters the game for R. Kurucs,,58,59
3,6:26.0,S. Napier enters the game for D. Russell,,58,59
3,6:16.0,,Offensive foul by A. Gordon (drawn by T. Graham),58,59
3,6:16.0,,Turnover by A. Gordon (offensive foul),58,59
3,6:00.0,J. Harris misses 2-pt layup from 8 ft (block by N. Vučević),,58,59
3,5:57.0,,Defensive rebound by D. Augustin,58,59
3,5:51.0,,D. Augustin makes 2-pt layup from 3 ft,58,61
3,5:36.0,Turnover by J. Harris (traveling),,58,61
3,5:36.0,E. Davis enters the game for J. Allen,,58,61
3,5:36.0,R. Hollis-Jefferson enters the game for T. Graham,,58,61
3,5:36.0,,W. Iwundu enters the game for A. Gordon,58,61
3,5:18.0,,D. Augustin makes 3-pt jump shot from 26 ft (assist by E. Fournier),58,64
3,4:52.0,D. Carroll makes 2-pt jump shot from 8 ft (assist by S. Napier),,60,64
3,4:27.0,,J. Isaac misses 3-pt jump shot from 26 ft,60,64
3,4:25.0,Defensive rebound by D. Carroll,,60,64
3,4:18.0,Turnover by S. Napier (bad pass; steal by D. Augustin),,60,64
3,4:18.0,Clear path foul by D. Augustin,,60,64
3,4:18.0,,D. Augustin makes clear path free throw 2 of 2,60,65
3,4:18.0,,D. Augustin makes clear path free throw 1 of 2,60,66
3,4:18.0,,I. Briscoe enters the game for D. Augustin,60,66
3,3:56.0,,E. Fournier makes 3-pt jump shot from 23 ft (assist by I. Briscoe),60,69
3,3:45.0,S. Napier misses 3-pt jump shot from 28 ft,,60,69
3,3:45.0,,Defensive rebound by E. Fournier,60,69
3,3:33.0,,Turnover by J. Isaac (lost ball; steal by R. Hollis-Jefferson),60,69
3,3:16.0,Shooting foul by J. Isaac (drawn by D. Carroll),,60,69
3,3:16.0,D. Carroll misses free throw 1 of 2,,60,69
3,3:16.0,Offensive rebound by Team,,60,69
3,3:16.0,,A. Gordon enters the game for E. Fournier,60,69
3,3:16.0,,T. Ross enters the game for J. Isaac,60,69
3,3:16.0,D. Carroll makes free throw 2 of 2,,61,69
3,2:51.0,,A. Gordon misses 2-pt jump shot from 17 ft,61,69
3,2:51.0,Defensive rebound by Team,,61,69
3,2:51.0,Brooklyn full timeout,,61,69
3,2:51.0,T. Pinson enters the game for J. Harris,,61,69
3,2:51.0,D. Russell enters the game for S. Napier,,61,69
3,2:51.0,,K. Birch enters the game for N. Vučević,61,69
3,2:31.0,T. Pinson misses 3-pt jump shot from 26 ft,,61,69
3,2:28.0,,Defensive rebound by K. Birch,61,69
3,2:19.0,,K. Birch makes 2-pt layup from 6 ft (assist by I. Briscoe),61,71
3,2:10.0,E. Davis makes 2-pt layup from 2 ft (assist by D. Russell),,63,71
3,2:10.0,,Violation by Team (def goaltending),63,71
3,2:01.0,Violation by Team (kicked ball),,63,71
3,1:57.0,,A. Gordon misses 2-pt jump shot from 14 ft,63,71
3,1:56.0,Defensive rebound by R. Hollis-Jefferson,,63,71
3,1:56.0,Personal foul by A. Gordon (drawn by R. Hollis-Jefferson),,63,71
3,1:44.0,T. Pinson makes 3-pt jump shot from 27 ft (assist by E. Davis),,66,71
3,1:31.0,,Turnover by T. Ross (bad pass; steal by T. Pinson),66,71
3,1:25.0,T. Pinson makes 2-pt layup from 4 ft,,68,71
3,1:10.0,,W. Iwundu makes 3-pt jump shot from 24 ft (assist by A. Gordon),68,74
3,1:04.0,Personal foul by K. Birch (drawn by D. Russell),,68,74
3,1:04.0,D. Russell makes free throw 1 of 2,,69,74
3,1:04.0,D. Russell makes free throw 2 of 2,,70,74
3,0:48.0,,W. Iwundu makes 2-pt jump shot from 13 ft (assist by K. Birch),70,76
3,0:40.0,D. Russell misses 2-pt jump shot from 20 ft,,70,76
3,0:37.0,,Defensive rebound by W. Iwundu,70,76
3,0:33.0,,W. Iwundu makes 2-pt layup from 5 ft,70,78
3,0:27.0,D. Russell misses 3-pt jump shot from 29 ft,,70,78
3,0:27.0,,Defensive rebound by K. Birch,70,78
3,0:01.0,,T. Ross misses 3-pt jump shot from 25 ft,70,78
3,0:01.0,Defensive rebound by E. Davis,,70,78
3,0:00.0,R. Hollis-Jefferson misses 3-pt jump shot from 43 ft,,70,78
3,0:00.0,Offensive rebound by Team,,70,78
4,11:42.0,R. Hollis-Jefferson makes 2-pt layup from 4 ft (assist by D. Carroll),,72,78
4,11:29.0,,T. Ross misses 2-pt jump shot from 19 ft,72,78
4,11:26.0,Defensive rebound by D. Carroll,,72,78
4,11:20.0,D. Carroll misses 3-pt jump shot from 23 ft,,72,78
4,11:17.0,,Defensive rebound by A. Gordon,72,78
4,11:12.0,,I. Briscoe makes 2-pt layup from 1 ft (assist by A. Gordon),72,80
4,11:06.0,Shooting foul by W. Iwundu (drawn by E. Davis),,72,80
4,11:06.0,E. Davis misses free throw 1 of 2,,72,80
4,11:06.0,Offensive rebound by Team,,72,80
4,11:06.0,E. Davis makes free throw 2 of 2,,73,80
4,11:01.0,,Turnover by I. Briscoe (out of bounds lost ball),73,80
4,10:46.0,E. Davis misses 2-pt layup from 5 ft,,73,80
4,10:42.0,,Defensive rebound by A. Gordon,73,80
4,10:38.0,,I. Briscoe misses 2-pt jump shot from 18 ft,73,80
4,10:33.0,Defensive rebound by E. Davis,,73,80
4,10:30.0,Shooting foul by K. Birch (drawn by R. Hollis-Jefferson),,73,80
4,10:30.0,R. Hollis-Jefferson makes free throw 1 of 2,,74,80
4,10:30.0,R. Hollis-Jefferson makes free throw 2 of 2,,75,80
4,10:17.0,,T. Ross misses 3-pt jump shot from 24 ft,75,80
4,10:17.0,,Offensive rebound by W. Iwundu,75,80
4,10:17.0,,W. Iwundu makes 2-pt layup at rim,75,82
4,10:17.0,,Shooting foul by R. Hollis-Jefferson (drawn by W. Iwundu),75,82
4,10:17.0,,W. Iwundu makes free throw 1 of 1,75,83
4,10:02.0,T. Pinson misses 3-pt jump shot from 26 ft,,75,83
4,10:00.0,,Defensive rebound by K. Birch,75,83
4,9:52.0,,A. Gordon misses 2-pt jump shot from 20 ft,75,83
4,9:52.0,Defensive rebound by R. Hollis-Jefferson,,75,83
4,9:46.0,D. Russell misses 3-pt jump shot from 27 ft,,75,83
4,9:44.0,,Defensive rebound by W. Iwundu,75,83
4,9:27.0,,W. Iwundu misses 2-pt jump shot from 12 ft,75,83
4,9:25.0,Defensive rebound by E. Davis,,75,83
4,9:20.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,75,83
4,9:20.0,Offensive rebound by E. Davis,,75,83
4,9:14.0,E. Davis misses 2-pt layup from 1 ft,,75,83
4,9:14.0,,Defensive rebound by W. Iwundu,75,83
4,9:14.0,T. Graham enters the game for D. Carroll,,75,83
4,9:14.0,S. Napier enters the game for D. Russell,,75,83
4,9:05.0,,T. Ross misses 2-pt jump shot from 21 ft,75,83
4,9:05.0,Defensive rebound by Team,,75,83
4,8:48.0,T. Pinson misses 2-pt jump shot from 18 ft,,75,83
4,8:45.0,,Defensive rebound by W. Iwundu,75,83
4,8:26.0,,I. Briscoe misses 2-pt jump shot from 22 ft,75,83
4,8:23.0,,Offensive rebound by K. Birch,75,83
4,8:19.0,,A. Gordon misses 3-pt jump shot from 27 ft,75,83
4,8:16.0,Defensive rebound by T. Pinson,,75,83
4,8:08.0,Turnover by S. Napier (bad pass; steal by W. Iwundu),,75,83
4,7:50.0,,T. Ross misses 2-pt jump shot from 12 ft,75,83
4,7:48.0,Defensive rebound by E. Davis,,75,83
4,7:42.0,S. Napier misses 2-pt layup from 6 ft,,75,83
4,7:37.0,Offensive rebound by E. Davis,,75,83
4,7:37.0,E. Davis makes 2-pt layup from 1 ft,,77,83
4,7:33.0,,Orlando full timeout,77,83
4,7:33.0,J. Allen enters the game for E. Davis,,77,83
4,7:33.0,J. Harris enters the game for R. Hollis-Jefferson,,77,83
4,7:33.0,,D. Augustin enters the game for K. Birch,77,83
4,7:33.0,,E. Fournier enters the game for I. Briscoe,77,83
4,7:33.0,,N. Vučević enters the game for W. Iwundu,77,83
4,7:24.0,,Turnover by A. Gordon (bad pass; steal by J. Allen),77,83
4,7:12.0,T. Pinson misses 3-pt jump shot from 28 ft,,77,83
4,7:10.0,,Defensive rebound by T. Ross,77,83
4,6:58.0,,N. Vučević makes 2-pt hook shot from 7 ft,77,85
4,6:49.0,S. Napier makes 2-pt layup from 5 ft,,79,85
4,6:24.0,,E. Fournier misses 2-pt jump shot from 20 ft,79,85
4,6:21.0,Defensive rebound by S. Napier,,79,85
4,6:13.0,J. Allen misses 2-pt layup from 5 ft,,79,85
4,6:13.0,,Defensive rebound by Team,79,85
4,6:13.0,,J. Isaac enters the game for A. Gordon,79,85
4,6:01.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by D. Augustin),79,87
4,5:47.0,J. Harris misses 3-pt jump shot from 27 ft,,79,87
4,5:43.0,,Defensive rebound by N. Vučević,79,87
4,5:27.0,,N. Vučević misses 2-pt hook shot from 9 ft,79,87
4,5:24.0,Defensive rebound by T. Pinson,,79,87
4,5:24.0,Turnover by T. Pinson (out of bounds lost ball),,79,87
