QUARTER,TIME_REMAINING,BOSTON_ACTION,WASHINGTON_ACTION,BOSTON_SCORE,WASHINGTON_SCORE
1,7:41.0,J. Brown misses 3-pt jump shot from 26 ft,,9,11
1,7:38.0,,Defensive rebound by T. Satoranský,9,11
1,7:26.0,,T. Satoranský makes 3-pt jump shot from 24 ft (assist by B. Beal),9,14
1,7:14.0,J. Brown makes 3-pt jump shot from 26 ft (assist by T. Rozier),,12,14
1,7:05.0,,T. Brown misses 3-pt jump shot from 24 ft,12,14
1,7:03.0,Defensive rebound by G. Yabusele,,12,14
1,6:55.0,J. Brown misses 2-pt layup from 1 ft,,12,14
1,6:52.0,,Defensive rebound by B. Beal,12,14
1,6:50.0,,Personal foul by R. Williams (drawn by T. Bryant),12,14
1,6:50.0,,Washington full timeout,12,14
1,6:38.0,,Shooting foul by G. Yabusele (drawn by B. Beal),12,14
1,6:38.0,,B. Beal makes free throw 1 of 2,12,15
1,6:38.0,,B. Beal makes free throw 2 of 2,12,16
1,6:28.0,,Violation by Team (kicked ball),12,16
1,6:17.0,G. Yabusele misses 2-pt hook shot from 8 ft,,12,16
1,6:15.0,,Defensive rebound by B. Portis,12,16
1,6:07.0,,T. Brown misses 3-pt jump shot from 24 ft,12,16
1,6:04.0,Defensive rebound by R. Williams,,12,16
1,5:59.0,G. Yabusele misses 3-pt jump shot from 26 ft,,12,16
1,5:56.0,,Defensive rebound by B. Portis,12,16
1,5:46.0,,T. Brown makes 3-pt jump shot from 24 ft (assist by B. Beal),12,19
1,5:31.0,J. Brown makes 2-pt jump shot from 15 ft,,14,19
1,5:15.0,,T. Bryant makes 3-pt jump shot from 25 ft (assist by T. Satoranský),14,22
1,4:58.0,S. Ojeleye misses 3-pt jump shot from 24 ft,,14,22
1,4:57.0,Offensive rebound by R. Williams,,14,22
1,4:56.0,R. Williams misses 2-pt layup from 1 ft,,14,22
1,4:55.0,,Defensive rebound by T. Brown,14,22
1,4:50.0,,T. Satoranský makes 2-pt layup from 3 ft (assist by B. Portis),14,24
1,4:50.0,Boston full timeout,,14,24
1,4:50.0,P. Dozier enters the game for J. Brown,,14,24
1,4:50.0,D. Theis enters the game for S. Ojeleye,,14,24
1,4:50.0,B. Wanamaker enters the game for R. Williams,,14,24
1,4:50.0,,I. Mahinmi enters the game for T. Brown,14,24
1,4:50.0,,D. Robinson enters the game for B. Portis,14,24
1,4:37.0,B. Wanamaker misses 3-pt jump shot from 26 ft,,14,24
1,4:34.0,,Defensive rebound by B. Beal,14,24
1,4:20.0,,I. Mahinmi makes 3-pt jump shot from 27 ft (assist by B. Beal),14,27
1,4:08.0,Personal foul by I. Mahinmi (drawn by T. Rozier),,14,27
1,3:59.0,T. Rozier misses 2-pt layup from 3 ft,,14,27
1,3:57.0,,Defensive rebound by T. Bryant,14,27
1,3:45.0,,B. Beal makes 2-pt dunk from 1 ft,14,29
1,3:28.0,Turnover by B. Wanamaker (bad pass),,14,29
1,3:28.0,,C. Randle enters the game for T. Satoranský,14,29
1,3:11.0,,Personal foul by B. Wanamaker (drawn by I. Mahinmi),14,29
1,3:11.0,,S. Dekker enters the game for T. Bryant,14,29
1,3:01.0,,C. Randle misses 3-pt jump shot from 25 ft,14,29
1,2:57.0,Defensive rebound by Team,,14,29
1,2:57.0,R. Hunter enters the game for T. Rozier,,14,29
1,2:57.0,S. Ojeleye enters the game for G. Yabusele,,14,29
1,2:57.0,R. Hunter misses 3-pt jump shot from 28 ft,,14,29
1,2:38.0,,Defensive rebound by I. Mahinmi,14,29
1,2:34.0,,B. Beal makes 3-pt jump shot from 26 ft,14,32
1,2:17.0,P. Dozier misses 3-pt jump shot from 25 ft,,14,32
1,2:14.0,,Defensive rebound by C. Randle,14,32
1,2:07.0,,B. Beal makes 3-pt jump shot from 28 ft (assist by C. Randle),14,35
1,1:57.0,S. Ojeleye makes 2-pt layup at rim (assist by P. Dozier),,16,35
1,1:51.0,,B. Beal misses 3-pt jump shot from 30 ft,16,35
1,1:48.0,Defensive rebound by Team,,16,35
1,1:41.0,P. Dozier misses 2-pt jump shot from 11 ft,,16,35
1,1:37.0,,Defensive rebound by C. Randle,16,35
1,1:29.0,,B. Beal misses 3-pt jump shot from 29 ft,16,35
1,1:22.0,Defensive rebound by P. Dozier,,16,35
1,1:20.0,S. Ojeleye makes 3-pt jump shot from 23 ft (assist by P. Dozier),,19,35
1,1:04.0,,Turnover by D. Robinson (bad pass; steal by P. Dozier),19,35
1,0:57.0,R. Hunter makes 3-pt jump shot from 27 ft (assist by B. Wanamaker),,22,35
1,0:42.0,,S. Dekker misses 3-pt jump shot from 26 ft,22,35
1,0:38.0,,Offensive rebound by D. Robinson,22,35
1,0:37.0,,D. Robinson makes 2-pt layup from 4 ft,22,37
1,0:37.0,Violation by Team (def goaltending),,22,37
1,0:27.0,B. Wanamaker makes 2-pt jump shot from 5 ft,,24,37
1,0:27.0,Shooting foul by I. Mahinmi (drawn by B. Wanamaker),,24,37
1,0:27.0,B. Wanamaker makes free throw 1 of 1,,25,37
1,0:03.0,,D. Robinson makes 2-pt layup from 3 ft (assist by S. Dekker),25,39
2,11:50.0,D. Theis makes 2-pt jump shot from 17 ft (assist by B. Wanamaker),,27,39
2,11:33.0,,I. Mahinmi makes 2-pt dunk from 3 ft (assist by D. Robinson),27,41
2,11:33.0,,Shooting foul by R. Hunter (drawn by I. Mahinmi),27,41
2,11:33.0,,I. Mahinmi makes free throw 1 of 1,27,42
2,11:23.0,P. Dozier makes 2-pt layup from 2 ft,,29,42
2,11:02.0,,I. Mahinmi misses 2-pt hook shot from 8 ft,29,42
2,11:00.0,Defensive rebound by D. Theis,,29,42
2,10:55.0,B. Wanamaker misses 3-pt jump shot from 26 ft,,29,42
2,10:52.0,,Defensive rebound by T. Brown,29,42
2,10:40.0,,S. Dekker makes 2-pt layup from 3 ft,29,44
2,10:27.0,R. Hunter makes 3-pt jump shot from 30 ft (assist by D. Theis),,32,44
2,10:16.0,,Personal foul by B. Wanamaker (drawn by T. Brown),32,44
2,10:09.0,,Personal foul by R. Hunter (drawn by S. Dekker),32,44
2,9:56.0,,S. Dekker misses 2-pt layup from 6 ft,32,44
2,9:54.0,Defensive rebound by B. Wanamaker,,32,44
2,9:51.0,Shooting foul by D. Robinson (drawn by S. Ojeleye),,32,44
2,9:51.0,S. Ojeleye misses free throw 1 of 2,,32,44
2,9:51.0,Offensive rebound by Team,,32,44
2,9:51.0,R. Williams enters the game for D. Theis,,32,44
2,9:51.0,S. Ojeleye makes free throw 2 of 2,,33,44
2,9:35.0,,D. Robinson makes 2-pt jump shot from 22 ft,33,46
2,9:15.0,B. Wanamaker makes 2-pt jump shot from 6 ft (assist by P. Dozier),,35,46
2,9:07.0,,Shooting foul by B. Wanamaker (drawn by C. Randle),35,46
2,9:07.0,,C. Randle misses free throw 1 of 2,35,46
2,9:07.0,,Offensive rebound by Team,35,46
2,9:07.0,,C. Randle makes free throw 2 of 2,35,47
2,8:57.0,Personal foul by D. Robinson (drawn by S. Ojeleye),,35,47
2,8:50.0,P. Dozier misses 3-pt jump shot from 27 ft,,35,47
2,8:46.0,Offensive rebound by R. Williams,,35,47
2,8:44.0,R. Hunter misses 3-pt jump shot from 25 ft,,35,47
2,8:41.0,,Defensive rebound by I. Mahinmi,35,47
2,8:35.0,,Turnover by T. Brown (bad pass; steal by B. Wanamaker),35,47
2,8:31.0,B. Wanamaker makes 2-pt layup from 1 ft,,37,47
2,8:18.0,,I. Mahinmi misses 2-pt layup from 2 ft,37,47
2,8:15.0,Defensive rebound by S. Ojeleye,,37,47
2,8:12.0,P. Dozier misses 2-pt layup from 1 ft,,37,47
2,8:10.0,,Defensive rebound by T. Brown,37,47
2,8:03.0,,C. Randle makes 3-pt jump shot from 29 ft (assist by D. Robinson),37,50
2,7:47.0,S. Ojeleye makes 2-pt layup from 1 ft (assist by P. Dozier),,39,50
2,7:36.0,,T. Brown misses 2-pt jump shot from 21 ft,39,50
2,7:33.0,Defensive rebound by B. Wanamaker,,39,50
2,7:26.0,P. Dozier misses 3-pt jump shot from 23 ft,,39,50
2,7:24.0,,Defensive rebound by S. Dekker,39,50
2,7:17.0,,C. Randle misses 3-pt jump shot from 26 ft,39,50
2,7:13.0,Defensive rebound by P. Dozier,,39,50
2,7:09.0,B. Wanamaker makes 2-pt jump shot from 16 ft,,41,50
2,7:08.0,,Washington full timeout,41,50
2,7:08.0,J. Brown enters the game for P. Dozier,,41,50
2,7:08.0,,B. Beal enters the game for I. Mahinmi,41,50
2,7:08.0,,B. Portis enters the game for C. Randle,41,50
2,7:08.0,,T. Satoranský enters the game for D. Robinson,41,50
2,6:58.0,,B. Portis misses 3-pt jump shot from 27 ft,41,50
2,6:53.0,,Offensive rebound by S. Dekker,41,50
2,6:50.0,,Turnover by T. Brown (lost ball; steal by R. Williams),41,50
2,6:44.0,S. Ojeleye misses 2-pt layup from 2 ft,,41,50
2,6:42.0,,Defensive rebound by B. Beal,41,50
2,6:42.0,T. Rozier enters the game for B. Wanamaker,,41,50
2,6:29.0,,T. Brown misses 2-pt layup from 7 ft,41,50
2,6:27.0,Defensive rebound by R. Williams,,41,50
2,6:11.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by R. Hunter),,44,50
2,6:01.0,,S. Dekker misses 2-pt layup from 4 ft,44,50
2,6:00.0,,Offensive rebound by S. Dekker,44,50
2,5:59.0,,S. Dekker misses 2-pt layup from 4 ft (block by R. Williams),44,50
2,5:59.0,,Offensive rebound by B. Beal,44,50
2,5:49.0,,B. Beal misses 2-pt layup from 3 ft,44,50
2,5:46.0,Defensive rebound by T. Rozier,,44,50
2,5:34.0,R. Williams makes 2-pt jump shot from 12 ft (assist by S. Ojeleye),,46,50
2,5:13.0,,B. Beal makes 2-pt jump shot from 20 ft,46,52
2,5:03.0,Shooting foul by T. Brown (drawn by J. Brown),,46,52
2,5:03.0,J. Brown makes free throw 1 of 2,,47,52
2,5:03.0,J. Brown misses free throw 2 of 2,,47,52
2,5:00.0,,Defensive rebound by T. Satoranský,47,52
2,4:53.0,,B. Beal misses 2-pt layup from 4 ft,47,52
2,4:49.0,Defensive rebound by T. Rozier,,47,52
2,4:42.0,J. Brown misses 2-pt layup from 7 ft,,47,52
2,4:40.0,Offensive rebound by J. Brown,,47,52
2,4:36.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by J. Brown),,50,52
2,4:27.0,,Shooting foul by R. Williams (drawn by T. Satoranský),50,52
2,4:27.0,,T. Satoranský makes free throw 1 of 2,50,53
2,4:27.0,P. Dozier enters the game for R. Hunter,,50,53
2,4:27.0,G. Yabusele enters the game for S. Ojeleye,,50,53
2,4:27.0,,T. Satoranský misses free throw 2 of 2,50,53
2,4:24.0,Defensive rebound by J. Brown,,50,53
2,4:07.0,G. Yabusele makes 2-pt layup from 1 ft,,52,53
2,3:50.0,,T. Brown misses 3-pt jump shot from 26 ft,52,53
2,3:48.0,Defensive rebound by J. Brown,,52,53
2,3:43.0,Turnover by J. Brown (bad pass; steal by B. Portis),,52,53
2,3:39.0,,B. Portis makes 2-pt layup from 1 ft,52,55
2,3:15.0,T. Rozier makes 2-pt jump shot from 21 ft,,54,55
2,3:02.0,,B. Portis makes 2-pt jump shot from 22 ft (assist by T. Satoranský),54,57
2,2:45.0,T. Rozier misses 2-pt jump shot from 13 ft,,54,57
2,2:42.0,,Defensive rebound by B. Portis,54,57
2,2:37.0,,Turnover by T. Brown (bad pass; steal by J. Brown),54,57
2,2:36.0,Turnover by J. Brown (out of bounds lost ball),,54,57
2,2:36.0,Boston full timeout,,54,57
2,2:36.0,,C. Randle enters the game for B. Beal,54,57
2,2:31.0,,T. Brown makes 2-pt dunk from 3 ft (assist by T. Satoranský),54,59
2,2:21.0,Personal foul by C. Randle (drawn by P. Dozier),,54,59
2,2:14.0,P. Dozier makes 2-pt dunk from 1 ft,,56,59
2,1:59.0,,B. Portis makes 3-pt jump shot from 27 ft (assist by T. Satoranský),56,62
2,1:39.0,G. Yabusele misses 2-pt hook shot from 6 ft,,56,62
2,1:37.0,,Defensive rebound by S. Dekker,56,62
2,1:32.0,,Turnover by C. Randle (out of bounds lost ball),56,62
2,1:16.0,G. Yabusele makes 3-pt jump shot from 27 ft (assist by J. Brown),,59,62
2,1:04.0,,Shooting foul by R. Williams (drawn by B. Portis),59,62
2,1:04.0,,B. Portis makes free throw 1 of 2,59,63
2,1:04.0,,B. Portis makes free throw 2 of 2,59,64
2,0:54.0,T. Rozier makes 2-pt jump shot from 2 ft (assist by P. Dozier),,61,64
2,0:41.0,,Turnover by B. Portis (lost ball; steal by J. Brown),61,64
2,0:35.0,J. Brown makes 2-pt layup at rim,,63,64
2,0:30.0,,S. Dekker misses 3-pt jump shot from 24 ft,63,64
2,0:26.0,Defensive rebound by G. Yabusele,,63,64
2,0:06.0,T. Rozier misses 3-pt jump shot from 27 ft,,63,64
2,0:00.0,,Defensive rebound by S. Dekker,63,64
2,0:00.0,,S. Dekker misses 3-pt jump shot from 25 ft,63,64
2,0:00.0,,Offensive rebound by Team,63,64
3,11:45.0,J. Brown misses 3-pt jump shot from 25 ft,,63,64
3,11:41.0,,Defensive rebound by T. Satoranský,63,64
3,11:37.0,,Turnover by T. Satoranský (lost ball; steal by J. Brown),63,64
3,11:33.0,J. Brown makes 2-pt layup from 2 ft,,65,64
3,11:20.0,,T. Bryant makes 2-pt layup from 1 ft (assist by B. Portis),65,66
3,11:20.0,,Shooting foul by R. Williams (drawn by T. Bryant),65,66
3,11:20.0,,T. Bryant makes free throw 1 of 1,65,67
3,11:11.0,Shooting foul by D. Robinson (drawn by T. Rozier),,65,67
3,11:11.0,T. Rozier makes free throw 1 of 2,,66,67
3,11:11.0,P. Dozier enters the game for R. Williams,,66,67
3,11:11.0,T. Rozier misses free throw 2 of 2,,66,67
3,11:08.0,,Defensive rebound by B. Portis,66,67
3,11:08.0,,Turnover by B. Portis (bad pass; steal by T. Rozier),66,67
3,11:08.0,Shooting foul by B. Portis (drawn by G. Yabusele),,66,67
3,11:08.0,G. Yabusele misses free throw 1 of 2,,66,67
3,11:08.0,Offensive rebound by Team,,66,67
3,11:08.0,G. Yabusele misses free throw 2 of 2,,66,67
3,11:04.0,,Defensive rebound by T. Bryant,66,67
3,10:53.0,,J. Green misses 3-pt jump shot from 24 ft,66,67
3,10:51.0,,Offensive rebound by D. Robinson,66,67
3,10:49.0,,Personal foul by P. Dozier (drawn by B. Portis),66,67
3,10:37.0,,D. Robinson makes 2-pt dunk from 2 ft (assist by J. Green),66,69
3,10:27.0,S. Ojeleye misses 3-pt jump shot from 26 ft,,66,69
3,10:23.0,,Defensive rebound by T. Bryant,66,69
3,10:16.0,,B. Portis misses 2-pt jump shot from 20 ft,66,69
3,10:14.0,Defensive rebound by P. Dozier,,66,69
3,10:10.0,P. Dozier misses 2-pt jump shot from 20 ft,,66,69
3,10:07.0,Offensive rebound by G. Yabusele,,66,69
3,10:06.0,G. Yabusele misses 2-pt layup from 4 ft,,66,69
3,10:04.0,,Defensive rebound by J. Green,66,69
3,10:01.0,,Personal foul by S. Ojeleye (drawn by T. Satoranský),66,69
3,9:49.0,,T. Satoranský makes 2-pt layup from 1 ft,66,71
3,9:29.0,P. Dozier misses 3-pt jump shot from 28 ft,,66,71
3,9:25.0,,Defensive rebound by J. Green,66,71
3,9:23.0,,D. Robinson makes 2-pt dunk at rim (assist by B. Portis),66,73
3,9:16.0,Shooting foul by T. Bryant (drawn by J. Brown),,66,73
3,9:16.0,J. Brown makes free throw 1 of 2,,67,73
3,9:16.0,J. Brown misses free throw 2 of 2,,67,73
3,9:13.0,,Defensive rebound by D. Robinson,67,73
3,9:04.0,,T. Satoranský makes 2-pt dunk from 1 ft,67,75
3,8:50.0,Offensive foul by J. Brown (drawn by D. Robinson),,67,75
3,8:50.0,Turnover by J. Brown (offensive foul),,67,75
3,8:38.0,,T. Bryant makes 2-pt layup from 1 ft (assist by J. Green),67,77
3,8:26.0,J. Brown misses 2-pt layup from 2 ft,,67,77
3,8:23.0,,Defensive rebound by T. Bryant,67,77
3,8:17.0,,T. Satoranský makes 3-pt jump shot from 28 ft (assist by B. Portis),67,80
3,8:15.0,Boston full timeout,,67,80
3,8:15.0,D. Theis enters the game for J. Brown,,67,80
3,7:56.0,S. Ojeleye misses 2-pt jump shot from 6 ft,,67,80
3,7:54.0,,Defensive rebound by J. Green,67,80
3,7:42.0,,T. Bryant misses 3-pt jump shot from 24 ft,67,80
3,7:38.0,Defensive rebound by T. Rozier,,67,80
3,7:34.0,T. Rozier makes 3-pt jump shot from 27 ft,,70,80
3,7:18.0,,B. Portis misses 2-pt jump shot from 4 ft,70,80
3,7:18.0,,Offensive rebound by B. Portis,70,80
3,7:16.0,,B. Portis makes 2-pt hook shot from 5 ft,70,82
3,7:06.0,T. Rozier misses 3-pt jump shot from 29 ft,,70,82
3,7:02.0,,Defensive rebound by J. Green,70,82
3,6:58.0,,Turnover by T. Bryant (bad pass; steal by S. Ojeleye),70,82
3,6:52.0,S. Ojeleye misses 2-pt layup from 1 ft,,70,82
3,6:48.0,Offensive rebound by P. Dozier,,70,82
3,6:48.0,P. Dozier makes 2-pt layup at rim,,72,82
3,6:38.0,,Turnover by T. Satoranský (bad pass),72,82
3,6:38.0,B. Wanamaker enters the game for S. Ojeleye,,72,82
3,6:26.0,G. Yabusele makes 2-pt hook shot from 5 ft,,74,82
3,6:13.0,,J. Green makes 3-pt jump shot from 26 ft (assist by T. Bryant),74,85
3,5:53.0,T. Rozier misses 3-pt jump shot from 27 ft,,74,85
3,5:50.0,,Defensive rebound by T. Bryant,74,85
3,5:39.0,,J. Green makes 2-pt jump shot from 15 ft,74,87
3,5:25.0,T. Rozier makes 2-pt layup from 4 ft (assist by B. Wanamaker),,76,87
3,5:10.0,,J. Green misses 3-pt jump shot from 25 ft,76,87
3,5:08.0,Defensive rebound by G. Yabusele,,76,87
3,5:00.0,G. Yabusele makes 3-pt jump shot from 28 ft (assist by T. Rozier),,79,87
3,4:41.0,,Turnover by D. Robinson (lost ball; steal by P. Dozier),79,87
3,4:35.0,B. Wanamaker misses 2-pt layup from 5 ft,,79,87
3,4:31.0,,Defensive rebound by B. Portis,79,87
3,4:27.0,,T. Satoranský makes 3-pt jump shot from 26 ft (assist by T. Bryant),79,90
3,4:10.0,P. Dozier makes 3-pt jump shot from 26 ft (assist by G. Yabusele),,82,90
3,3:45.0,,B. Portis misses 3-pt jump shot from 25 ft,82,90
3,3:43.0,Defensive rebound by D. Theis,,82,90
3,3:39.0,B. Wanamaker misses 3-pt jump shot from 26 ft,,82,90
3,3:36.0,,Defensive rebound by J. Green,82,90
3,3:32.0,,Turnover by J. Green (bad pass),82,90
3,3:32.0,,S. Dekker enters the game for T. Bryant,82,90
3,3:32.0,,I. Mahinmi enters the game for B. Portis,82,90
3,3:32.0,,C. Randle enters the game for D. Robinson,82,90
3,3:19.0,T. Rozier misses 2-pt layup from 2 ft (block by I. Mahinmi),,82,90
3,3:17.0,,Defensive rebound by T. Satoranský,82,90
3,3:11.0,,Shooting foul by D. Theis (drawn by T. Satoranský),82,90
3,3:11.0,,T. Satoranský makes free throw 1 of 2,82,91
3,3:11.0,R. Hunter enters the game for T. Rozier,,82,91
3,3:11.0,S. Ojeleye enters the game for G. Yabusele,,82,91
3,3:11.0,,T. Satoranský makes free throw 2 of 2,82,92
3,2:55.0,S. Ojeleye misses 2-pt layup from 3 ft,,82,92
3,2:52.0,Offensive rebound by D. Theis,,82,92
3,2:49.0,R. Hunter misses 3-pt jump shot from 30 ft,,82,92
3,2:49.0,,Defensive rebound by I. Mahinmi,82,92
3,2:38.0,,I. Mahinmi misses 3-pt jump shot from 26 ft,82,92
3,2:36.0,Defensive rebound by R. Hunter,,82,92
3,2:26.0,R. Hunter misses 3-pt jump shot from 28 ft,,82,92
3,2:22.0,,Defensive rebound by I. Mahinmi,82,92
3,2:15.0,,Turnover by J. Green (bad pass),82,92
3,2:15.0,,Washington full timeout,82,92
3,2:15.0,R. Williams enters the game for D. Theis,,82,92
3,1:54.0,P. Dozier misses 2-pt jump shot from 8 ft,,82,92
3,1:52.0,Offensive rebound by P. Dozier,,82,92
3,1:50.0,B. Wanamaker makes 2-pt jump shot from 17 ft (assist by R. Williams),,84,92
3,1:35.0,,I. Mahinmi makes 3-pt jump shot from 23 ft (assist by J. Green),84,95
3,1:28.0,Personal foul by I. Mahinmi (drawn by B. Wanamaker),,84,95
3,1:23.0,Turnover by R. Williams (lost ball; steal by I. Mahinmi),,84,95
3,1:15.0,,J. Green misses 3-pt jump shot from 26 ft,84,95
3,1:09.0,Defensive rebound by R. Williams,,84,95
3,1:03.0,S. Ojeleye misses 3-pt jump shot from 25 ft,,84,95
3,1:00.0,Offensive rebound by S. Ojeleye,,84,95
3,0:55.0,S. Ojeleye makes 3-pt jump shot from 27 ft (assist by R. Hunter),,87,95
3,0:37.0,,C. Randle misses 3-pt jump shot from 22 ft,87,95
3,0:31.0,,Offensive rebound by I. Mahinmi,87,95
3,0:31.0,,I. Mahinmi misses 2-pt layup from 1 ft,87,95
3,0:30.0,Defensive rebound by B. Wanamaker,,87,95
3,0:29.0,S. Ojeleye misses 3-pt jump shot from 26 ft,,87,95
3,0:27.0,,Defensive rebound by Team,87,95
3,0:08.0,,T. Satoranský misses 2-pt jump shot from 19 ft,87,95
3,0:05.0,Defensive rebound by R. Williams,,87,95
3,0:01.0,Shooting foul by T. Satoranský (drawn by B. Wanamaker),,87,95
3,0:01.0,B. Wanamaker makes free throw 1 of 2,,88,95
3,0:01.0,B. Wanamaker makes free throw 2 of 2,,89,95
4,11:44.0,,I. Mahinmi misses 2-pt jump shot from 4 ft,89,95
4,11:43.0,,Offensive rebound by S. Dekker,89,95
4,11:43.0,,S. Dekker misses 2-pt layup from 1 ft,89,95
4,11:43.0,,Offensive rebound by Team,89,95
4,11:43.0,,C. Randle misses 2-pt jump shot from 16 ft,89,95
4,11:32.0,Defensive rebound by R. Hunter,,89,95
4,11:22.0,S. Ojeleye makes 2-pt jump shot from 16 ft (assist by B. Wanamaker),,91,95
4,11:10.0,,Turnover by C. Randle (lost ball; steal by R. Hunter),91,95
4,11:07.0,R. Hunter makes 2-pt dunk from 2 ft (assist by B. Wanamaker),,93,95
4,10:47.0,,D. Robinson misses 3-pt jump shot from 25 ft,93,95
4,10:45.0,,Offensive rebound by I. Mahinmi,93,95
4,10:42.0,,D. Robinson makes 2-pt layup from 1 ft (assist by I. Mahinmi),93,97
4,10:32.0,Personal foul by S. Dekker (drawn by B. Wanamaker),,93,97
4,10:20.0,B. Wanamaker misses 3-pt jump shot from 29 ft,,93,97
4,10:16.0,,Defensive rebound by I. Mahinmi,93,97
4,9:58.0,,I. Mahinmi misses 2-pt hook shot from 7 ft,93,97
4,9:56.0,Defensive rebound by R. Williams,,93,97
4,9:44.0,P. Dozier misses 3-pt jump shot from 26 ft,,93,97
4,9:40.0,Offensive rebound by R. Hunter,,93,97
4,9:37.0,R. Williams misses 2-pt jump shot from 18 ft,,93,97
4,9:35.0,Offensive rebound by P. Dozier,,93,97
4,9:34.0,P. Dozier makes 2-pt layup from 3 ft,,95,97
4,9:09.0,,I. Mahinmi misses 2-pt layup from 1 ft,95,97
4,9:05.0,,Offensive rebound by I. Mahinmi,95,97
4,9:04.0,,I. Mahinmi misses 2-pt layup from 2 ft (block by R. Williams),95,97
4,9:02.0,Defensive rebound by R. Williams,,95,97
4,9:00.0,B. Wanamaker misses 2-pt layup from 8 ft (block by D. Robinson),,95,97
4,9:00.0,Offensive rebound by P. Dozier,,95,97
4,8:58.0,Shooting foul by C. Randle (drawn by P. Dozier),,95,97
4,8:58.0,P. Dozier misses free throw 1 of 2,,95,97
4,8:58.0,Offensive rebound by Team,,95,97
4,8:58.0,P. Dozier makes free throw 2 of 2,,96,97
4,8:45.0,,Turnover by I. Mahinmi (bad pass),96,97
4,8:29.0,S. Ojeleye misses 3-pt jump shot from 25 ft,,96,97
4,8:26.0,,Defensive rebound by I. Mahinmi,96,97
4,8:19.0,,D. Robinson misses 2-pt hook shot from 10 ft,96,97
4,8:16.0,Defensive rebound by B. Wanamaker,,96,97
4,8:13.0,S. Ojeleye makes 2-pt layup from 1 ft (assist by B. Wanamaker),,98,97
4,8:03.0,,Washington full timeout,98,97
4,7:54.0,,S. Dekker misses 2-pt layup from 2 ft (block by R. Williams),98,97
4,7:54.0,,Offensive rebound by Team,98,97
4,7:45.0,,I. Mahinmi misses 2-pt jump shot from 12 ft,98,97
4,7:42.0,Defensive rebound by R. Williams,,98,97
4,7:33.0,R. Hunter makes 3-pt jump shot from 31 ft (assist by B. Wanamaker),,101,97
4,7:11.0,,C. Randle misses 3-pt jump shot from 25 ft,101,97
4,7:07.0,,Offensive rebound by D. Robinson,101,97
4,7:03.0,,S. Dekker makes 3-pt jump shot from 23 ft (assist by C. Randle),101,100
4,6:44.0,R. Hunter makes 2-pt jump shot from 12 ft,,103,100
4,6:30.0,,J. Green misses 2-pt jump shot from 18 ft,103,100
4,6:29.0,,Offensive rebound by Team,103,100
4,6:17.0,,J. Green misses 2-pt jump shot from 17 ft,103,100
4,6:14.0,Defensive rebound by P. Dozier,,103,100
4,6:09.0,R. Hunter makes 3-pt jump shot from 27 ft,,106,100
4,6:06.0,,Washington full timeout,106,100
4,5:53.0,,J. Green misses 3-pt jump shot from 26 ft,106,100
