QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MIAMI_ACTION,SACRAMENTO_SCORE,MIAMI_SCORE
4,8:22.0,Offensive rebound by N. Bjelica,,102,90
4,8:22.0,Shooting foul by J. Richardson (drawn by N. Bjelica),,102,90
4,8:22.0,N. Bjelica makes free throw 1 of 2,,103,90
4,8:22.0,B. Hield enters the game for F. Mason,,103,90
4,8:22.0,,R. McGruder enters the game for J. Winslow,103,90
4,8:22.0,N. Bjelica misses free throw 2 of 2,,103,90
4,8:19.0,,Defensive rebound by B. Adebayo,103,90
4,8:12.0,,D. Wade misses 2-pt jump shot from 11 ft,103,90
4,8:08.0,Defensive rebound by W. Cauley-Stein,,103,90
4,8:05.0,D. Fox misses 2-pt layup from 2 ft (block by J. Richardson),,103,90
4,8:02.0,,Defensive rebound by T. Johnson,103,90
4,7:50.0,,J. Richardson makes 3-pt jump shot from 26 ft,103,93
4,7:23.0,J. Jackson misses 3-pt jump shot from 26 ft,,103,93
4,7:21.0,,Defensive rebound by B. Adebayo,103,93
4,7:13.0,,Shooting foul by N. Bjelica (drawn by D. Wade),103,93
4,7:13.0,,D. Wade makes free throw 1 of 2,103,94
4,7:13.0,,D. Wade makes free throw 2 of 2,103,95
4,7:05.0,Personal foul by R. McGruder (drawn by B. Hield),,103,95
4,6:52.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Hield),,105,95
4,6:48.0,,Miami full timeout,105,95
4,6:48.0,I. Shumpert enters the game for J. Jackson,,105,95
4,6:38.0,,J. Richardson misses 2-pt jump shot from 23 ft,105,95
4,6:38.0,Defensive rebound by Team,,105,95
4,6:23.0,B. Hield misses 2-pt jump shot from 1 ft,,105,95
4,6:21.0,,Defensive rebound by B. Adebayo,105,95
4,6:04.0,,T. Johnson misses 3-pt jump shot from 25 ft,105,95
4,6:01.0,Defensive rebound by W. Cauley-Stein,,105,95
4,5:57.0,D. Fox makes 2-pt layup from 1 ft,,107,95
4,5:46.0,,Shooting foul by N. Bjelica (drawn by B. Adebayo),107,95
4,5:46.0,,B. Adebayo misses free throw 1 of 2,107,95
4,5:46.0,,Offensive rebound by Team,107,95
4,5:46.0,,G. Dragić enters the game for T. Johnson,107,95
4,5:46.0,,B. Adebayo makes free throw 2 of 2,107,96
4,5:30.0,I. Shumpert makes 3-pt jump shot from 24 ft (assist by D. Fox),,110,96
4,5:13.0,,R. McGruder makes 2-pt layup from 1 ft (assist by G. Dragić),110,98
4,4:55.0,I. Shumpert makes 3-pt jump shot from 24 ft (assist by D. Fox),,113,98
4,4:38.0,,R. McGruder misses 2-pt jump shot from 2 ft,113,98
4,4:35.0,Defensive rebound by D. Fox,,113,98
4,4:29.0,Turnover by D. Fox (bad pass; steal by J. Richardson),,113,98
4,4:15.0,,G. Dragić makes 3-pt jump shot from 23 ft (assist by D. Wade),113,101
4,3:53.0,W. Cauley-Stein makes 2-pt hook shot from 4 ft (assist by D. Fox),,115,101
4,3:51.0,,Miami full timeout,115,101
4,3:51.0,Sacramento full timeout,,115,101
4,3:51.0,J. Jackson enters the game for N. Bjelica,,115,101
4,3:51.0,,H. Whiteside enters the game for B. Adebayo,115,101
4,3:40.0,,Turnover by R. McGruder (bad pass; steal by D. Fox),115,101
4,3:39.0,Personal foul by J. Richardson (drawn by D. Fox),,115,101
4,3:39.0,D. Fox makes free throw 1 of 2,,116,101
4,3:39.0,D. Fox makes free throw 2 of 2,,117,101
4,3:26.0,,D. Wade misses 2-pt jump shot from 12 ft,117,101
4,3:23.0,Defensive rebound by W. Cauley-Stein,,117,101
4,3:15.0,Personal foul by H. Whiteside (drawn by W. Cauley-Stein),,117,101
4,3:15.0,W. Cauley-Stein misses free throw 1 of 2,,117,101
4,3:15.0,Offensive rebound by Team,,117,101
4,3:15.0,W. Cauley-Stein makes free throw 2 of 2,,118,101
4,3:06.0,,Shooting foul by I. Shumpert (drawn by J. Richardson),118,101
4,3:06.0,,J. Richardson makes free throw 1 of 2,118,102
4,3:06.0,N. Bjelica enters the game for J. Jackson,,118,102
4,3:06.0,,T. Johnson enters the game for D. Wade,118,102
4,3:06.0,,J. Richardson makes free throw 2 of 2,118,103
4,3:06.0,Sacramento full timeout,,118,103
4,2:49.0,N. Bjelica misses 3-pt jump shot from 29 ft,,118,103
4,2:47.0,,Defensive rebound by R. McGruder,118,103
4,2:41.0,,J. Richardson misses 3-pt jump shot from 23 ft (block by D. Fox),118,103
4,2:41.0,,Offensive rebound by Team,118,103
4,2:36.0,,H. Whiteside makes 2-pt hook shot from 6 ft (assist by G. Dragić),118,105
4,2:25.0,Shooting foul by H. Whiteside (drawn by W. Cauley-Stein),,118,105
4,2:25.0,W. Cauley-Stein misses free throw 1 of 2,,118,105
4,2:25.0,Offensive rebound by Team,,118,105
4,2:25.0,W. Cauley-Stein misses free throw 2 of 2,,118,105
4,2:23.0,,Defensive rebound by H. Whiteside,118,105
4,2:11.0,,J. Richardson makes 2-pt layup from 2 ft,118,107
4,1:49.0,W. Cauley-Stein misses 2-pt hook shot from 6 ft,,118,107
4,1:46.0,,Defensive rebound by H. Whiteside,118,107
4,1:41.0,,G. Dragić misses 3-pt jump shot from 23 ft,118,107
4,1:41.0,,Offensive rebound by H. Whiteside,118,107
4,1:40.0,,Shooting foul by B. Hield (drawn by H. Whiteside),118,107
4,1:40.0,,H. Whiteside misses free throw 1 of 2,118,107
4,1:40.0,,Offensive rebound by Team,118,107
4,1:40.0,,H. Whiteside makes free throw 2 of 2,118,108
4,1:28.0,Personal foul by T. Johnson (drawn by W. Cauley-Stein),,118,108
4,1:28.0,W. Cauley-Stein makes free throw 1 of 2,,119,108
4,1:28.0,W. Cauley-Stein makes free throw 2 of 2,,120,108
4,1:18.0,,Personal foul by I. Shumpert (drawn by T. Johnson),120,108
4,1:18.0,,T. Johnson misses free throw 1 of 2,120,108
4,1:18.0,,Offensive rebound by Team,120,108
4,1:18.0,,T. Johnson misses free throw 2 of 2,120,108
4,1:14.0,Defensive rebound by W. Cauley-Stein,,120,108
4,1:05.0,Shooting foul by G. Dragić (drawn by N. Bjelica),,120,108
4,1:05.0,N. Bjelica misses free throw 1 of 2,,120,108
4,1:05.0,Offensive rebound by Team,,120,108
4,1:05.0,N. Bjelica makes free throw 2 of 2,,121,108
4,0:53.0,,G. Dragić misses 3-pt jump shot from 26 ft,121,108
4,0:53.0,,Offensive rebound by H. Whiteside,121,108
4,0:51.0,,H. Whiteside makes 2-pt layup from 2 ft,121,110
4,0:32.0,D. Fox makes 2-pt jump shot from 11 ft,,123,110
4,0:24.0,,R. McGruder makes 3-pt jump shot from 24 ft (assist by T. Johnson),123,113
4,0:00.0,Turnover by Team (shot clock),,123,113
