QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MILWAUKEE_ACTION,WASHINGTON_SCORE,MILWAUKEE_SCORE
2,7:12.0,,Defensive rebound by K. Middleton,46,62
2,7:08.0,,Turnover by G. Hill (out of bounds lost ball),46,62
2,6:54.0,S. Dekker makes 2-pt dunk at rim (assist by B. Beal),,48,62
2,6:43.0,,Personal foul by B. Beal (drawn by G. Antetokounmpo),48,62
2,6:43.0,,D. Wilson enters the game for G. Antetokounmpo,48,62
2,6:35.0,,K. Middleton makes 2-pt jump shot from 10 ft (assist by D. Wilson),48,64
2,6:22.0,Turnover by B. Beal (lost ball; steal by E. Bledsoe),,48,64
2,6:18.0,,E. Bledsoe misses 2-pt layup from 2 ft,48,64
2,6:08.0,,Offensive rebound by G. Hill,48,64
2,6:08.0,,G. Hill makes 2-pt dunk at rim,48,66
2,6:06.0,T. Satoranský makes 2-pt layup from 1 ft,,50,66
2,5:53.0,,E. Bledsoe makes 3-pt jump shot from 27 ft (assist by T. Snell),50,69
2,5:32.0,Turnover by S. Dekker (lost ball; steal by K. Middleton),,50,69
2,5:28.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by K. Middleton),50,71
2,5:28.0,Washington full timeout,,50,71
2,5:28.0,T. Ariza enters the game for S. Dekker,,50,71
2,5:28.0,,B. Lopez enters the game for E. Bledsoe,50,71
2,5:18.0,T. Ariza misses 3-pt jump shot from 27 ft,,50,71
2,5:14.0,,Defensive rebound by D. Wilson,50,71
2,5:03.0,,G. Hill misses 2-pt jump shot from 12 ft,50,71
2,5:00.0,Defensive rebound by B. Beal,,50,71
2,4:56.0,B. Beal misses 2-pt layup from 2 ft,,50,71
2,4:53.0,,Defensive rebound by D. Wilson,50,71
2,4:47.0,,B. Lopez misses 3-pt jump shot from 27 ft,50,71
2,4:43.0,Defensive rebound by J. Green,,50,71
2,4:37.0,Turnover by T. Satoranský (bad pass; steal by T. Snell),,50,71
2,4:31.0,,G. Hill misses 2-pt layup from 3 ft,50,71
2,4:29.0,,Offensive rebound by D. Wilson,50,71
2,4:28.0,,D. Wilson misses 2-pt layup from 2 ft,50,71
2,4:28.0,,Offensive rebound by D. Wilson,50,71
2,4:25.0,,D. Wilson misses 2-pt layup from 3 ft,50,71
2,4:23.0,Defensive rebound by T. Satoranský,,50,71
2,4:19.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by B. Beal),,53,71
2,4:05.0,,B. Lopez makes 2-pt layup from 2 ft (assist by K. Middleton),53,73
2,4:05.0,,Shooting foul by J. McRae (drawn by B. Lopez),53,73
2,4:05.0,J. Jenkins enters the game for J. McRae,,53,73
2,4:05.0,,G. Antetokounmpo enters the game for T. Snell,53,73
2,4:05.0,,B. Lopez makes free throw 1 of 1,53,74
2,3:47.0,B. Beal misses 3-pt jump shot from 27 ft,,53,74
2,3:45.0,,Defensive rebound by G. Antetokounmpo,53,74
2,3:42.0,,K. Middleton misses 3-pt jump shot from 27 ft,53,74
2,3:36.0,Defensive rebound by B. Beal,,53,74
2,3:30.0,B. Beal misses 3-pt jump shot from 26 ft,,53,74
2,3:26.0,,Defensive rebound by D. Wilson,53,74
2,3:17.0,,Turnover by G. Antetokounmpo (bad pass; steal by T. Ariza),53,74
2,3:11.0,B. Beal misses 2-pt jump shot from 15 ft,,53,74
2,3:08.0,,Defensive rebound by K. Middleton,53,74
2,3:02.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton),53,76
2,3:02.0,Washington full timeout,,53,76
2,3:02.0,,M. Brogdon enters the game for G. Hill,53,76
2,2:47.0,Shooting foul by B. Lopez (drawn by T. Ariza),,53,76
2,2:47.0,T. Ariza makes free throw 1 of 2,,54,76
2,2:47.0,T. Ariza makes free throw 2 of 2,,55,76
2,2:31.0,,Turnover by D. Wilson (traveling),55,76
2,2:31.0,,Violation by Team (delay of game),55,76
2,2:20.0,T. Ariza misses 3-pt jump shot from 26 ft,,55,76
2,2:14.0,,Defensive rebound by B. Lopez,55,76
2,2:11.0,,D. Wilson makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),55,78
2,1:53.0,J. Green misses 3-pt jump shot from 27 ft,,55,78
2,1:50.0,,Defensive rebound by D. Wilson,55,78
2,1:42.0,,K. Middleton makes 2-pt jump shot from 9 ft,55,80
2,1:42.0,,S. Brown enters the game for D. Wilson,55,80
2,1:25.0,Personal foul by K. Middleton (drawn by T. Satoranský),,55,80
2,1:21.0,Shooting foul by B. Lopez (drawn by T. Satoranský),,55,80
2,1:21.0,T. Satoranský makes free throw 1 of 2,,56,80
2,1:21.0,T. Satoranský makes free throw 2 of 2,,57,80
2,1:07.0,,Shooting foul by B. Beal (drawn by G. Antetokounmpo),57,80
2,1:07.0,,G. Antetokounmpo makes free throw 1 of 2,57,81
2,1:07.0,T. Bryant enters the game for B. Beal,,57,81
2,1:07.0,,G. Antetokounmpo makes free throw 2 of 2,57,82
2,0:59.0,J. Jenkins makes 3-pt jump shot from 26 ft (assist by T. Satoranský),,60,82
2,0:39.0,,K. Middleton misses 2-pt jump shot from 9 ft,60,82
2,0:36.0,Defensive rebound by T. Bryant,,60,82
2,0:29.0,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Green),,62,82
2,0:09.0,,M. Brogdon makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),62,85
2,0:04.0,Flagrant foul type 1 by G. Antetokounmpo (drawn by J. Green),,62,85
2,0:04.0,J. Green makes flagrant free throw 1 of 3,,63,85
2,0:04.0,J. Green makes flagrant free throw 2 of 3,,64,85
2,0:04.0,J. Green makes flagrant free throw 3 of 3,,65,85
2,0:01.0,T. Bryant misses 2-pt jump shot from 3 ft,,65,85
2,0:00.0,Offensive rebound by Team,,65,85
3,11:54.0,,Offensive foul by G. Antetokounmpo (drawn by B. Beal),65,85
3,11:54.0,,Turnover by G. Antetokounmpo (offensive foul),65,85
3,11:39.0,Turnover by T. Ariza (bad pass; steal by M. Brogdon),,65,85
3,11:34.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),65,87
3,11:21.0,B. Beal makes 2-pt jump shot from 20 ft,,67,87
3,11:04.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by M. Brogdon),67,90
3,10:55.0,T. Bryant makes 3-pt jump shot from 26 ft (assist by T. Satoranský),,70,90
3,10:40.0,,Turnover by E. Bledsoe (bad pass),70,90
3,10:23.0,T. Bryant makes 2-pt layup from 1 ft (assist by B. Beal),,72,90
3,10:08.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,72,90
3,10:05.0,,Offensive rebound by G. Antetokounmpo,72,90
3,10:04.0,,G. Antetokounmpo misses 2-pt jump shot from 12 ft,72,90
3,10:01.0,Defensive rebound by B. Beal,,72,90
3,9:51.0,T. Bryant makes 2-pt layup from 1 ft (assist by T. Ariza),,74,90
3,9:29.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,74,92
3,9:13.0,B. Beal makes 2-pt layup from 2 ft (assist by T. Satoranský),,76,92
3,9:00.0,,G. Antetokounmpo makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),76,95
3,8:47.0,J. Green makes 3-pt jump shot from 29 ft,,79,95
3,8:35.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,79,97
3,8:15.0,J. Green makes 3-pt jump shot from 27 ft (assist by T. Ariza),,82,97
3,8:01.0,,M. Brogdon makes 2-pt layup from 1 ft,82,99
3,7:36.0,T. Satoranský misses 2-pt layup from 2 ft,,82,99
3,7:33.0,,Defensive rebound by M. Brogdon,82,99
3,7:22.0,,G. Antetokounmpo makes 3-pt jump shot from 27 ft (assist by M. Brogdon),82,102
3,7:12.0,,Violation by Team (kicked ball),82,102
3,7:12.0,,S. Brown enters the game for M. Brogdon,82,102
3,6:59.0,T. Bryant makes 2-pt jump shot from 9 ft (assist by T. Ariza),,84,102
3,6:58.0,,Turnover by B. Lopez (bad pass; steal by B. Beal),84,102
3,6:57.0,B. Beal makes 2-pt layup from 2 ft,,86,102
3,6:57.0,Shooting foul by B. Lopez (drawn by B. Beal),,86,102
3,6:57.0,,Milwaukee full timeout,86,102
3,6:57.0,B. Beal makes free throw 1 of 1,,87,102
3,6:48.0,,Shooting foul by J. Green (drawn by S. Brown),87,102
3,6:48.0,,S. Brown misses free throw 1 of 2,87,102
3,6:48.0,,Offensive rebound by Team,87,102
3,6:48.0,,S. Brown makes free throw 2 of 2,87,103
3,6:31.0,B. Beal makes 3-pt jump shot from 22 ft (assist by T. Bryant),,90,103
3,6:26.0,,B. Lopez makes 2-pt jump shot from 14 ft (assist by E. Bledsoe),90,105
3,6:26.0,,Shooting foul by T. Bryant (drawn by B. Lopez),90,105
3,6:26.0,,B. Lopez makes free throw 1 of 1,90,106
3,6:15.0,Personal foul by E. Bledsoe (drawn by B. Beal),,90,106
3,6:10.0,B. Beal misses 3-pt jump shot from 27 ft,,90,106
3,6:09.0,Offensive rebound by Team,,90,106
3,6:09.0,Personal foul by B. Lopez (drawn by T. Bryant),,90,106
3,6:03.0,T. Bryant misses 3-pt jump shot from 28 ft,,90,106
3,6:00.0,,Defensive rebound by E. Bledsoe,90,106
3,5:53.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),90,108
3,5:46.0,J. Green misses 3-pt jump shot from 27 ft,,90,108
3,5:43.0,,Defensive rebound by B. Lopez,90,108
3,5:31.0,,K. Middleton misses 3-pt jump shot from 26 ft,90,108
3,5:29.0,Defensive rebound by T. Bryant,,90,108
3,5:24.0,T. Satoranský makes 3-pt jump shot from 25 ft (assist by T. Bryant),,93,108
3,5:05.0,,Turnover by K. Middleton (lost ball; steal by B. Beal),93,108
3,5:00.0,B. Beal misses 3-pt jump shot from 29 ft,,93,108
3,4:58.0,Offensive rebound by T. Bryant,,93,108
3,4:56.0,T. Bryant makes 2-pt layup from 2 ft,,95,108
3,4:44.0,,S. Brown makes 3-pt jump shot from 28 ft (assist by K. Middleton),95,111
3,4:44.0,,G. Hill enters the game for G. Antetokounmpo,95,111
3,4:44.0,,E. İlyasova enters the game for E. Bledsoe,95,111
3,4:44.0,,D. Wilson enters the game for B. Lopez,95,111
3,4:20.0,T. Satoranský makes 3-pt jump shot from 27 ft (assist by J. Green),,98,111
3,4:04.0,,Turnover by K. Middleton (out of bounds lost ball),98,111
3,3:49.0,T. Bryant makes 2-pt dunk from 2 ft (assist by T. Satoranský),,100,111
3,3:49.0,,Milwaukee full timeout,100,111
3,3:39.0,,Turnover by K. Middleton (lost ball; steal by T. Ariza),100,111
3,3:37.0,Shooting foul by S. Brown (drawn by J. Green),,100,111
3,3:37.0,J. Green makes free throw 1 of 2,,101,111
3,3:37.0,J. Green makes free throw 2 of 2,,102,111
3,3:11.0,,G. Hill makes 2-pt jump shot from 7 ft,102,113
3,2:54.0,T. Satoranský misses 3-pt jump shot from 22 ft,,102,113
3,2:50.0,Offensive rebound by B. Beal,,102,113
3,2:38.0,T. Bryant makes 2-pt hook shot from 8 ft,,104,113
3,2:20.0,,G. Hill misses 2-pt layup from 1 ft (block by T. Bryant),104,113
3,2:15.0,Defensive rebound by T. Satoranský,,104,113
3,2:11.0,B. Beal misses 3-pt jump shot from 22 ft,,104,113
3,2:08.0,,Defensive rebound by E. İlyasova,104,113
3,2:03.0,,S. Brown misses 3-pt jump shot from 26 ft,104,113
3,2:03.0,Defensive rebound by T. Satoranský,,104,113
3,1:55.0,J. Green misses 3-pt jump shot from 27 ft,,104,113
3,1:54.0,,Defensive rebound by Team,104,113
3,1:54.0,S. Dekker enters the game for T. Ariza,,104,113
3,1:54.0,C. Randle enters the game for T. Satoranský,,104,113
3,1:54.0,,M. Brogdon enters the game for S. Brown,104,113
3,1:54.0,,T. Snell enters the game for K. Middleton,104,113
3,1:38.0,,Personal foul by S. Dekker (drawn by G. Hill),104,113
3,1:24.0,,M. Brogdon makes 2-pt layup from 1 ft,104,115
3,1:01.0,Offensive foul by C. Randle (drawn by E. İlyasova),,104,115
3,1:01.0,Turnover by C. Randle (offensive foul),,104,115
3,0:52.0,,Offensive foul by D. Wilson (drawn by B. Beal),104,115
3,0:52.0,,Turnover by D. Wilson (offensive foul),104,115
3,0:52.0,J. McRae enters the game for J. Green,,104,115
3,0:38.0,Personal foul by E. İlyasova (drawn by B. Beal),,104,115
3,0:38.0,B. Beal misses free throw 1 of 2,,104,115
3,0:38.0,Offensive rebound by Team,,104,115
3,0:38.0,,G. Antetokounmpo enters the game for E. İlyasova,104,115
3,0:38.0,B. Beal makes free throw 2 of 2,,105,115
3,0:33.0,,M. Brogdon makes 3-pt jump shot from 25 ft,105,118
3,0:22.0,B. Beal makes 2-pt layup from 1 ft (assist by C. Randle),,107,118
3,0:01.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by D. Wilson),107,120
4,11:35.0,Turnover by B. Beal (lost ball; steal by E. İlyasova),,107,120
4,11:25.0,,T. Snell misses 3-pt jump shot from 25 ft,107,120
4,11:22.0,Defensive rebound by B. Beal,,107,120
4,11:16.0,J. McRae makes 2-pt jump shot from 19 ft,,109,120
4,10:59.0,,G. Antetokounmpo misses 2-pt layup from 2 ft (block by B. Beal),109,120
4,10:55.0,Defensive rebound by S. Dekker,,109,120
4,10:53.0,S. Dekker makes 2-pt dunk from 1 ft (assist by C. Randle),,111,120
4,10:37.0,,M. Brogdon misses 2-pt layup from 1 ft,111,120
4,10:34.0,Defensive rebound by B. Beal,,111,120
4,10:30.0,C. Randle misses 3-pt jump shot from 23 ft,,111,120
4,10:29.0,Offensive rebound by Team,,111,120
4,10:22.0,C. Randle makes 2-pt layup from 1 ft,,113,120
4,10:08.0,,Shooting foul by S. Dekker (drawn by G. Antetokounmpo),113,120
4,10:08.0,,G. Antetokounmpo makes free throw 1 of 2,113,121
4,10:08.0,T. Satoranský enters the game for B. Beal,,113,121
4,10:08.0,,E. Bledsoe enters the game for G. Hill,113,121
4,10:08.0,,G. Antetokounmpo misses free throw 2 of 2,113,121
4,10:04.0,Defensive rebound by T. Satoranský,,113,121
4,9:51.0,C. Randle misses 2-pt layup from 3 ft,,113,121
4,9:51.0,Offensive rebound by C. Randle,,113,121
4,9:51.0,C. Randle misses 2-pt layup from 4 ft,,113,121
4,9:51.0,,Defensive rebound by Team,113,121
4,9:51.0,Loose ball foul by C. Randle (drawn by E. İlyasova),,113,121
4,9:35.0,,T. Snell makes 2-pt dunk from 1 ft (assist by E. Bledsoe),113,123
4,9:22.0,Turnover by S. Dekker (step out of bounds),,113,123
4,9:07.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by E. Bledsoe),113,125
4,9:07.0,Washington full timeout,,113,125
4,9:07.0,T. Ariza enters the game for S. Dekker,,113,125
4,9:07.0,B. Beal enters the game for C. Randle,,113,125
4,8:52.0,Turnover by T. Satoranský (bad pass; steal by E. Bledsoe),,113,125
4,8:46.0,,E. Bledsoe makes 2-pt layup from 1 ft,113,127
4,8:39.0,Turnover by T. Satoranský (bad pass),,113,127
4,8:25.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,113,130
4,8:16.0,Turnover by B. Beal (lost ball; steal by G. Antetokounmpo),,113,130
4,8:14.0,,Shooting foul by T. Ariza (drawn by G. Antetokounmpo),113,130
4,8:14.0,,G. Antetokounmpo makes free throw 1 of 2,113,131
4,8:14.0,,G. Antetokounmpo misses free throw 2 of 2,113,131
4,8:11.0,,Offensive rebound by E. Bledsoe,113,131
4,8:11.0,,E. Bledsoe makes 2-pt dunk from 1 ft,113,133
4,7:57.0,B. Beal makes 2-pt layup from 2 ft,,115,133
4,7:57.0,Shooting foul by E. İlyasova (drawn by B. Beal),,115,133
4,7:57.0,B. Beal makes free throw 1 of 1,,116,133
4,7:42.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by E. Bledsoe),116,135
4,7:32.0,Personal foul by E. Bledsoe (drawn by B. Beal),,116,135
4,7:32.0,T. Bryant enters the game for J. McRae,,116,135
4,7:32.0,,G. Hill enters the game for M. Brogdon,116,135
4,7:17.0,J. Green makes 2-pt jump shot from 18 ft,,118,135
4,7:07.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,118,138
4,7:05.0,Washington full timeout,,118,138
4,6:49.0,Offensive foul by B. Beal (drawn by E. İlyasova),,118,138
4,6:49.0,Turnover by B. Beal (offensive foul),,118,138
4,6:39.0,,Shooting foul by T. Ariza (drawn by G. Antetokounmpo),118,138
4,6:39.0,,G. Antetokounmpo makes free throw 1 of 2,118,139
4,6:39.0,,G. Antetokounmpo misses free throw 2 of 2,118,139
4,6:36.0,Defensive rebound by T. Bryant,,118,139
4,6:25.0,Turnover by T. Satoranský (lost ball; steal by G. Antetokounmpo),,118,139
4,6:23.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,118,141
4,6:23.0,,Shooting foul by J. Green (drawn by G. Antetokounmpo),118,141
4,6:23.0,,D. Wilson enters the game for E. İlyasova,118,141
4,6:23.0,,G. Antetokounmpo misses free throw 1 of 1,118,141
4,6:20.0,Defensive rebound by T. Bryant,,118,141
