QUARTER,TIME_REMAINING,PORTLAND_ACTION,MEMPHIS_ACTION,PORTLAND_SCORE,MEMPHIS_SCORE
2,6:31.0,,J. Jackson misses 2-pt layup from 6 ft,28,28
2,6:26.0,,Offensive rebound by W. Selden,28,28
2,6:26.0,,W. Selden misses 2-pt jump shot from 10 ft,28,28
2,6:25.0,,Offensive rebound by J. Jackson,28,28
2,6:25.0,Portland full timeout,,28,28
2,6:25.0,,G. Temple enters the game for M. Brooks,28,28
2,6:19.0,,M. Conley makes 3-pt jump shot from 28 ft (assist by J. Jackson),28,31
2,6:00.0,Personal foul by W. Selden (drawn by D. Lillard),,28,31
2,6:00.0,C. McCollum enters the game for N. Stauskas,,28,31
2,5:52.0,A. Aminu misses 3-pt jump shot from 27 ft,,28,31
2,5:50.0,Offensive rebound by Team,,28,31
2,5:50.0,,Loose ball foul by J. Jackson (drawn by J. Nurkić),28,31
2,5:44.0,J. Nurkić misses 2-pt layup from 1 ft,,28,31
2,5:39.0,,Defensive rebound by J. Green,28,31
2,5:30.0,,Shooting foul by C. McCollum (drawn by J. Green),28,31
2,5:30.0,,J. Green makes free throw 1 of 2,28,32
2,5:30.0,E. Turner enters the game for J. Layman,,28,32
2,5:30.0,,S. Mack enters the game for M. Conley,28,32
2,5:30.0,,J. Green misses free throw 2 of 2,28,32
2,5:28.0,Defensive rebound by D. Lillard,,28,32
2,5:17.0,D. Lillard misses 2-pt jump shot from 18 ft,,28,32
2,5:15.0,,Defensive rebound by J. Green,28,32
2,5:01.0,,J. Jackson misses 2-pt layup from 4 ft (block by E. Turner),28,32
2,4:58.0,Defensive rebound by C. McCollum,,28,32
2,4:58.0,Personal take foul by S. Mack (drawn by C. McCollum),,28,32
2,4:58.0,,M. Gasol enters the game for J. Green,28,32
2,4:45.0,D. Lillard makes 2-pt jump shot from 15 ft,,30,32
2,4:20.0,,M. Gasol misses 2-pt jump shot from 18 ft,30,32
2,4:17.0,Defensive rebound by C. McCollum,,30,32
2,4:13.0,Shooting foul by J. Jackson (drawn by C. McCollum),,30,32
2,4:13.0,C. McCollum makes free throw 1 of 2,,31,32
2,4:13.0,,K. Anderson enters the game for J. Jackson,31,32
2,4:13.0,,J. Green enters the game for W. Selden,31,32
2,4:13.0,C. McCollum makes free throw 2 of 2,,32,32
2,3:58.0,,S. Mack misses 2-pt jump shot from 18 ft,32,32
2,3:53.0,,Offensive rebound by J. Green,32,32
2,3:53.0,,J. Green makes 2-pt layup from 1 ft,32,34
2,3:38.0,D. Lillard misses 2-pt jump shot from 21 ft,,32,34
2,3:35.0,,Defensive rebound by K. Anderson,32,34
2,3:13.0,,M. Gasol misses 2-pt jump shot from 12 ft,32,34
2,3:09.0,Defensive rebound by J. Nurkić,,32,34
2,2:56.0,C. McCollum misses 3-pt jump shot from 23 ft,,32,34
2,2:53.0,,Defensive rebound by M. Gasol,32,34
2,2:43.0,,Personal foul by D. Lillard (drawn by K. Anderson),32,34
2,2:43.0,Technical foul by D. Lillard,,32,34
2,2:43.0,,S. Mack makes technical free throw,32,35
2,2:43.0,,M. Conley enters the game for S. Mack,32,35
2,2:36.0,,G. Temple misses 3-pt jump shot from 25 ft,32,35
2,2:34.0,Defensive rebound by D. Lillard,,32,35
2,2:29.0,D. Lillard misses 2-pt layup from 2 ft (block by M. Gasol),,32,35
2,2:29.0,Offensive rebound by Team,,32,35
2,2:27.0,J. Nurkić makes 2-pt jump shot from 20 ft (assist by E. Turner),,34,35
2,2:01.0,,M. Gasol misses 2-pt jump shot from 5 ft,34,35
2,1:59.0,,Offensive rebound by J. Green,34,35
2,1:59.0,,J. Green makes 2-pt dunk from 1 ft,34,37
2,1:45.0,J. Nurkić misses 3-pt jump shot from 26 ft,,34,37
2,1:45.0,,Defensive rebound by M. Conley,34,37
2,1:32.0,,Turnover by M. Gasol (lost ball; steal by J. Nurkić),34,37
2,1:27.0,C. McCollum makes 3-pt jump shot from 28 ft (assist by A. Aminu),,37,37
2,1:10.0,,M. Gasol misses 2-pt jump shot from 20 ft,37,37
2,1:06.0,Defensive rebound by C. McCollum,,37,37
2,1:02.0,Personal foul by J. Green (drawn by C. McCollum),,37,37
2,1:02.0,C. McCollum misses free throw 1 of 2,,37,37
2,1:02.0,Offensive rebound by Team,,37,37
2,1:02.0,M. Leonard enters the game for J. Nurkić,,37,37
2,1:02.0,,O. Casspi enters the game for J. Green,37,37
2,1:02.0,C. McCollum makes free throw 2 of 2,,38,37
2,0:47.0,,M. Gasol makes 2-pt jump shot from 6 ft (assist by M. Conley),38,39
2,0:32.0,D. Lillard misses 2-pt layup from 3 ft (block by M. Gasol),,38,39
2,0:29.0,,Defensive rebound by K. Anderson,38,39
2,0:25.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by M. Conley),38,42
2,0:00.0,C. McCollum makes 2-pt jump shot from 12 ft (assist by M. Leonard),,40,42
3,11:45.0,,K. Anderson makes 2-pt jump shot from 8 ft,40,44
3,11:30.0,D. Lillard misses 2-pt jump shot from 15 ft,,40,44
3,11:27.0,,Defensive rebound by K. Anderson,40,44
3,11:19.0,,J. Jackson makes 2-pt layup from 4 ft (assist by M. Conley),40,46
3,11:16.0,Technical foul by A. Aminu,,40,46
3,11:16.0,,G. Temple misses technical free throw,40,46
3,11:16.0,Defensive rebound by Team,,40,46
3,11:04.0,Turnover by C. McCollum (bad pass; steal by M. Gasol),,40,46
3,10:59.0,,Shooting foul by C. McCollum (drawn by G. Temple),40,46
3,10:59.0,,G. Temple makes free throw 1 of 2,40,47
3,10:59.0,,G. Temple makes free throw 2 of 2,40,48
3,10:39.0,A. Aminu makes 2-pt jump shot from 18 ft,,42,48
3,10:25.0,,M. Conley makes 2-pt jump shot from 21 ft (assist by M. Gasol),42,50
3,10:10.0,Shooting foul by M. Gasol (drawn by C. McCollum),,42,50
3,10:10.0,C. McCollum makes free throw 1 of 2,,43,50
3,10:10.0,C. McCollum makes free throw 2 of 2,,44,50
3,9:53.0,,M. Gasol misses 3-pt jump shot from 26 ft,44,50
3,9:50.0,Defensive rebound by A. Aminu,,44,50
3,9:41.0,D. Lillard misses 2-pt jump shot from 22 ft,,44,50
3,9:37.0,,Defensive rebound by M. Conley,44,50
3,9:31.0,,M. Conley makes 2-pt layup from 1 ft,44,52
3,9:14.0,J. Nurkić misses 2-pt jump shot from 11 ft,,44,52
3,9:13.0,Offensive rebound by Team,,44,52
3,9:13.0,,Loose ball foul by J. Jackson (drawn by A. Aminu),44,52
3,9:06.0,C. McCollum misses 3-pt jump shot from 27 ft,,44,52
3,9:02.0,,Defensive rebound by K. Anderson,44,52
3,8:55.0,,Personal foul by J. Nurkić (drawn by M. Gasol),44,52
3,8:46.0,,M. Gasol misses 2-pt jump shot from 18 ft,44,52
3,8:44.0,Defensive rebound by J. Nurkić,,44,52
3,8:34.0,D. Lillard misses 2-pt layup from 2 ft,,44,52
3,8:30.0,,Defensive rebound by M. Conley,44,52
3,8:27.0,,M. Conley misses 2-pt layup from 1 ft,44,52
3,8:24.0,,Offensive rebound by K. Anderson,44,52
3,8:15.0,,Shooting foul by A. Aminu (drawn by J. Jackson),44,52
3,8:15.0,,J. Jackson makes free throw 1 of 2,44,53
3,8:15.0,,S. Mack enters the game for M. Conley,44,53
3,8:15.0,,J. Jackson makes free throw 2 of 2,44,54
3,8:02.0,C. McCollum makes 2-pt jump shot from 9 ft,,46,54
3,7:45.0,,G. Temple misses 2-pt layup from 1 ft (block by J. Nurkić),46,54
3,7:45.0,,Offensive rebound by Team,46,54
3,7:33.0,,M. Gasol makes 2-pt jump shot from 11 ft (assist by K. Anderson),46,56
3,7:14.0,C. McCollum misses 2-pt jump shot from 16 ft,,46,56
3,7:12.0,,Defensive rebound by K. Anderson,46,56
3,7:04.0,,Turnover by M. Gasol (lost ball; steal by J. Layman),46,56
3,7:04.0,Personal take foul by M. Gasol (drawn by J. Layman),,46,56
3,6:43.0,C. McCollum misses 2-pt layup from 1 ft (block by J. Jackson),,46,56
3,6:39.0,,Defensive rebound by K. Anderson,46,56
3,6:39.0,,G. Temple makes 2-pt layup from 2 ft (assist by K. Anderson),46,58
3,6:39.0,Violation by Team (def goaltending),,46,58
3,6:28.0,Personal foul by S. Mack (drawn by D. Lillard),,46,58
3,6:28.0,,Memphis full timeout,46,58
3,6:28.0,E. Turner enters the game for J. Layman,,46,58
3,6:17.0,D. Lillard misses 3-pt jump shot from 26 ft,,46,58
3,6:12.0,,Defensive rebound by K. Anderson,46,58
3,6:01.0,,Turnover by K. Anderson (bad pass; steal by C. McCollum),46,58
3,5:58.0,D. Lillard makes 2-pt layup from 1 ft (assist by C. McCollum),,48,58
3,5:58.0,Shooting foul by M. Gasol (drawn by D. Lillard),,48,58
3,5:58.0,D. Lillard makes free throw 1 of 1,,49,58
3,5:34.0,,K. Anderson misses 3-pt jump shot from 28 ft,49,58
3,5:30.0,Defensive rebound by J. Nurkić,,49,58
3,5:24.0,C. McCollum makes 2-pt jump shot from 16 ft,,51,58
3,5:10.0,,K. Anderson misses 2-pt layup from 2 ft,51,58
3,5:08.0,Defensive rebound by J. Nurkić,,51,58
3,4:56.0,J. Nurkić misses 2-pt jump shot from 21 ft,,51,58
3,4:49.0,,Defensive rebound by G. Temple,51,58
3,4:41.0,,Turnover by M. Gasol (lost ball; steal by J. Nurkić),51,58
3,4:34.0,J. Nurkić misses 2-pt jump shot from 11 ft,,51,58
3,4:31.0,,Defensive rebound by M. Gasol,51,58
3,4:28.0,,Memphis full timeout,51,58
3,4:28.0,C. Swanigan enters the game for J. Nurkić,,51,58
3,4:28.0,,M. Brooks enters the game for J. Jackson,51,58
3,4:28.0,,M. Conley enters the game for S. Mack,51,58
3,4:28.0,,J. Green enters the game for G. Temple,51,58
3,4:12.0,,M. Conley makes 2-pt jump shot from 18 ft,51,60
3,3:57.0,C. McCollum makes 2-pt jump shot from 19 ft,,53,60
3,3:38.0,,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),53,62
3,3:25.0,C. Swanigan makes 2-pt hook shot from 4 ft,,55,62
3,2:59.0,,M. Conley misses 3-pt jump shot from 26 ft,55,62
3,2:59.0,,Offensive rebound by Team,55,62
3,2:59.0,,Turnover by Team (shot clock),55,62
3,2:59.0,Z. Collins enters the game for A. Aminu,,55,62
3,2:59.0,N. Stauskas enters the game for C. McCollum,,55,62
3,2:59.0,,J. Noah enters the game for M. Gasol,55,62
3,2:39.0,Def 3 sec tech foul by Team,,55,62
3,2:39.0,D. Lillard makes technical free throw,,56,62
3,2:39.0,,W. Selden enters the game for K. Anderson,56,62
3,2:32.0,D. Lillard makes 3-pt jump shot from 31 ft,,59,62
3,2:18.0,,Turnover by M. Conley (bad pass; steal by E. Turner),59,62
3,2:09.0,Shooting foul by J. Green (drawn by D. Lillard),,59,62
3,2:09.0,D. Lillard misses free throw 1 of 2,,59,62
3,2:09.0,Offensive rebound by Team,,59,62
3,2:09.0,D. Lillard misses free throw 2 of 2,,59,62
3,2:09.0,,Defensive rebound by J. Green,59,62
3,1:44.0,,M. Brooks makes 3-pt jump shot from 27 ft,59,65
3,1:25.0,Turnover by D. Lillard (bad pass; steal by M. Conley),,59,65
3,1:21.0,,M. Brooks misses 3-pt jump shot from 26 ft,59,65
3,1:17.0,Defensive rebound by E. Turner,,59,65
3,1:06.0,Turnover by C. Swanigan (lost ball; steal by M. Brooks),,59,65
3,0:54.0,,J. Noah misses 2-pt dunk from 1 ft (block by Z. Collins),59,65
3,0:50.0,Defensive rebound by C. Swanigan,,59,65
3,0:31.0,Personal foul by J. Noah (drawn by D. Lillard),,59,65
3,0:31.0,D. Lillard makes free throw 1 of 2,,60,65
3,0:31.0,D. Lillard makes free throw 2 of 2,,61,65
3,0:14.0,,M. Conley makes 2-pt jump shot from 12 ft,61,67
3,0:14.0,,Shooting foul by D. Lillard (drawn by M. Conley),61,67
3,0:14.0,C. McCollum enters the game for C. Swanigan,,61,67
3,0:14.0,,G. Temple enters the game for M. Brooks,61,67
3,0:14.0,,M. Conley makes free throw 1 of 1,61,68
3,0:00.0,E. Turner makes 2-pt jump shot from 9 ft (assist by D. Lillard),,63,68
3,0:00.0,,Violation by Team (def goaltending),63,68
4,11:47.0,N. Stauskas makes 3-pt jump shot from 25 ft (assist by E. Turner),,66,68
4,11:25.0,,S. Mack makes 3-pt jump shot from 26 ft,66,71
4,11:04.0,C. Swanigan misses 2-pt layup from 1 ft (block by J. Green),,66,71
4,11:04.0,,Defensive rebound by J. Green,66,71
4,10:59.0,,S. Mack misses 3-pt jump shot from 26 ft,66,71
4,10:55.0,Defensive rebound by Z. Collins,,66,71
4,10:49.0,Personal foul by M. Brooks (drawn by E. Turner),,66,71
4,10:43.0,N. Stauskas misses 2-pt jump shot from 7 ft,,66,71
4,10:43.0,Offensive rebound by Team,,66,71
4,10:43.0,,Loose ball foul by S. Mack (drawn by C. Swanigan),66,71
4,10:35.0,Turnover by C. Swanigan (lost ball; steal by J. Green),,66,71
4,10:17.0,,Shooting foul by E. Turner (drawn by M. Brooks),66,71
4,10:17.0,,M. Brooks makes free throw 1 of 2,66,72
4,10:17.0,,M. Brooks misses free throw 2 of 2,66,72
4,10:15.0,Defensive rebound by E. Turner,,66,72
4,10:02.0,N. Stauskas misses 2-pt jump shot from 16 ft,,66,72
4,9:59.0,,Defensive rebound by M. Brooks,66,72
4,9:45.0,,M. Brooks misses 2-pt jump shot from 19 ft (block by N. Stauskas),66,72
4,9:43.0,Defensive rebound by N. Stauskas,,66,72
4,9:39.0,C. McCollum makes 2-pt jump shot from 11 ft (assist by N. Stauskas),,68,72
4,9:25.0,,Personal foul by C. McCollum (drawn by S. Mack),68,72
4,9:25.0,A. Aminu enters the game for C. Swanigan,,68,72
4,9:25.0,,M. Conley enters the game for M. Brooks,68,72
4,9:25.0,,G. Temple enters the game for S. Mack,68,72
4,9:21.0,,Offensive foul by J. Noah (drawn by E. Turner),68,72
4,9:21.0,,Turnover by J. Noah (offensive foul),68,72
4,9:13.0,Personal foul by W. Selden (drawn by C. McCollum),,68,72
4,9:13.0,,J. Jackson enters the game for J. Green,68,72
4,9:06.0,C. McCollum misses 2-pt jump shot from 21 ft,,68,72
4,9:02.0,,Defensive rebound by G. Temple,68,72
4,8:55.0,,J. Noah makes 2-pt layup from 1 ft (assist by M. Conley),68,74
4,8:44.0,A. Aminu makes 3-pt jump shot from 26 ft (assist by C. McCollum),,71,74
4,8:31.0,,M. Conley makes 2-pt jump shot from 17 ft,71,76
4,8:13.0,Offensive foul by Z. Collins (drawn by M. Conley),,71,76
4,8:13.0,Turnover by Z. Collins (offensive foul),,71,76
4,8:13.0,D. Lillard enters the game for E. Turner,,71,76
4,7:58.0,,W. Selden makes 2-pt jump shot from 10 ft,71,78
4,7:57.0,Portland full timeout,,71,78
4,7:57.0,J. Nurkić enters the game for Z. Collins,,71,78
4,7:41.0,A. Aminu misses 3-pt jump shot from 26 ft,,71,78
4,7:39.0,,Defensive rebound by J. Jackson,71,78
4,7:25.0,,J. Noah misses 2-pt layup from 4 ft (block by J. Nurkić),71,78
4,7:21.0,Defensive rebound by J. Nurkić,,71,78
4,7:11.0,D. Lillard misses 2-pt jump shot from 19 ft,,71,78
4,7:09.0,,Defensive rebound by J. Jackson,71,78
4,6:54.0,,M. Conley misses 2-pt jump shot from 12 ft,71,78
4,6:51.0,Defensive rebound by D. Lillard,,71,78
4,6:42.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by J. Nurkić),,74,78
4,6:42.0,,M. Gasol enters the game for M. Conley,74,78
4,6:42.0,,S. Mack enters the game for J. Noah,74,78
4,6:14.0,,W. Selden misses 2-pt jump shot from 21 ft,74,78
4,6:13.0,,Offensive rebound by W. Selden,74,78
4,6:12.0,,Shooting foul by J. Nurkić (drawn by W. Selden),74,78
4,6:12.0,,W. Selden makes free throw 1 of 2,74,79
4,6:12.0,,W. Selden misses free throw 2 of 2,74,79
4,6:10.0,Defensive rebound by A. Aminu,,74,79
4,5:57.0,C. McCollum makes 2-pt jump shot from 13 ft,,76,79
4,5:37.0,,M. Gasol misses 3-pt jump shot from 26 ft,76,79
4,5:34.0,Defensive rebound by D. Lillard,,76,79
4,5:28.0,D. Lillard makes 2-pt layup from 1 ft,,78,79
4,5:27.0,,Memphis full timeout,78,79
4,5:27.0,E. Turner enters the game for N. Stauskas,,78,79
4,5:27.0,,K. Anderson enters the game for S. Mack,78,79
4,5:27.0,,M. Conley enters the game for W. Selden,78,79
4,5:11.0,,M. Conley misses 2-pt layup from 4 ft (block by J. Nurkić),78,79
4,5:07.0,Defensive rebound by D. Lillard,,78,79
4,5:03.0,C. McCollum misses 2-pt layup from 3 ft (block by M. Gasol),,78,79
4,4:59.0,,Defensive rebound by M. Gasol,78,79
4,4:51.0,,Shooting foul by A. Aminu (drawn by J. Jackson),78,79
4,4:51.0,,J. Jackson makes free throw 1 of 2,78,80
