QUARTER,TIME_REMAINING,NEW YORK_ACTION,WASHINGTON_ACTION,NEW YORK_SCORE,WASHINGTON_SCORE
3,6:35.0,,Defensive rebound by O. Porter,75,62
3,6:33.0,,O. Porter makes 2-pt layup from 1 ft (assist by T. Satoranský),75,64
3,6:33.0,,Shooting foul by K. Knox (drawn by O. Porter),75,64
3,6:33.0,D. Dotson enters the game for T. Hardaway,,75,64
3,6:33.0,,O. Porter misses free throw 1 of 1,75,64
3,6:29.0,Defensive rebound by E. Mudiay,,75,64
3,6:18.0,E. Mudiay makes 2-pt jump shot from 14 ft,,77,64
3,6:10.0,,J. Green misses 2-pt jump shot from 4 ft (block by L. Kornet),77,64
3,6:10.0,,Offensive rebound by Team,77,64
3,6:04.0,,Turnover by T. Ariza (lost ball; steal by L. Kornet),77,64
3,5:49.0,E. Mudiay makes 2-pt jump shot from 17 ft,,79,64
3,5:48.0,,Washington full timeout,79,64
3,5:48.0,,T. Brown enters the game for J. Green,79,64
3,5:34.0,,B. Beal makes 2-pt jump shot from 15 ft,79,66
3,5:15.0,L. Kornet makes 2-pt jump shot from 12 ft,,81,66
3,5:05.0,,Shooting foul by D. Dotson (drawn by B. Beal),81,66
3,5:05.0,,B. Beal makes free throw 1 of 2,81,67
3,5:05.0,M. Hezonja enters the game for N. Vonleh,,81,67
3,5:05.0,,B. Beal misses free throw 2 of 2,81,67
3,5:03.0,Defensive rebound by L. Kornet,,81,67
3,4:43.0,D. Dotson misses 2-pt jump shot from 12 ft,,81,67
3,4:39.0,,Defensive rebound by O. Porter,81,67
3,4:33.0,,Turnover by O. Porter (step out of bounds),81,67
3,4:25.0,E. Mudiay makes 2-pt dunk from 1 ft,,83,67
3,4:22.0,,Turnover by B. Beal (inbound),83,67
3,4:18.0,K. Knox misses 3-pt jump shot from 24 ft,,83,67
3,4:13.0,,Defensive rebound by T. Brown,83,67
3,4:11.0,,T. Ariza misses 3-pt jump shot from 26 ft,83,67
3,4:06.0,Defensive rebound by M. Hezonja,,83,67
3,3:58.0,E. Mudiay misses 3-pt jump shot from 28 ft,,83,67
3,3:55.0,,Defensive rebound by B. Beal,83,67
3,3:51.0,,B. Beal misses 2-pt layup from 2 ft,83,67
3,3:48.0,Defensive rebound by E. Mudiay,,83,67
3,3:41.0,M. Hezonja misses 2-pt jump shot from 13 ft,,83,67
3,3:38.0,,Defensive rebound by O. Porter,83,67
3,3:31.0,,O. Porter makes 2-pt jump shot from 18 ft,83,69
3,3:07.0,Shooting foul by O. Porter (drawn by K. Knox),,83,69
3,3:07.0,K. Knox makes free throw 1 of 2,,84,69
3,3:07.0,F. Ntilikina enters the game for E. Mudiay,,84,69
3,3:07.0,,C. Randle enters the game for T. Satoranský,84,69
3,3:07.0,K. Knox misses free throw 2 of 2,,84,69
3,3:05.0,,Defensive rebound by O. Porter,84,69
3,2:44.0,,Shooting foul by M. Hezonja (drawn by T. Ariza),84,69
3,2:44.0,,T. Ariza makes free throw 1 of 2,84,70
3,2:44.0,,T. Ariza makes free throw 2 of 2,84,71
3,2:33.0,F. Ntilikina misses 2-pt jump shot from 13 ft,,84,71
3,2:30.0,,Defensive rebound by O. Porter,84,71
3,2:22.0,,T. Brown makes 2-pt dunk from 1 ft (assist by B. Beal),84,73
3,1:57.0,K. Knox misses 3-pt jump shot from 26 ft,,84,73
3,1:54.0,,Defensive rebound by T. Brown,84,73
3,1:51.0,,Shooting foul by M. Hezonja (drawn by O. Porter),84,73
3,1:51.0,,O. Porter makes free throw 1 of 2,84,74
3,1:51.0,M. Robinson enters the game for K. Knox,,84,74
3,1:51.0,A. Trier enters the game for L. Kornet,,84,74
3,1:51.0,,S. Dekker enters the game for T. Ariza,84,74
3,1:51.0,,O. Porter makes free throw 2 of 2,84,75
3,1:29.0,Turnover by M. Hezonja (lost ball; steal by B. Beal),,84,75
3,1:20.0,,C. Randle misses 2-pt layup from 11 ft (block by M. Robinson),84,75
3,1:17.0,,Offensive rebound by B. Beal,84,75
3,1:13.0,,B. Beal misses 2-pt jump shot from 6 ft,84,75
3,1:10.0,Defensive rebound by F. Ntilikina,,84,75
3,1:07.0,D. Dotson misses 2-pt jump shot from 20 ft,,84,75
3,1:04.0,Offensive rebound by M. Robinson,,84,75
3,1:03.0,M. Robinson makes 2-pt dunk from 3 ft,,86,75
3,0:49.0,,O. Porter misses 2-pt layup from 2 ft,86,75
3,0:46.0,Defensive rebound by F. Ntilikina,,86,75
3,0:39.0,F. Ntilikina misses 3-pt jump shot from 28 ft,,86,75
3,0:37.0,,Defensive rebound by Team,86,75
3,0:34.0,,Shooting foul by D. Dotson (drawn by B. Beal),86,75
3,0:34.0,,B. Beal makes free throw 1 of 2,86,76
3,0:34.0,,B. Beal makes free throw 2 of 2,86,77
3,0:14.0,A. Trier makes 3-pt jump shot from 27 ft,,89,77
3,0:00.0,,O. Porter misses 2-pt jump shot from 12 ft,89,77
3,0:00.0,,Offensive rebound by Team,89,77
4,11:38.0,F. Ntilikina misses 2-pt layup from 2 ft,,89,77
4,11:35.0,,Defensive rebound by O. Porter,89,77
4,11:23.0,,B. Beal misses 2-pt layup from 4 ft,89,77
4,11:21.0,Defensive rebound by M. Hezonja,,89,77
4,10:59.0,M. Hezonja misses 2-pt jump shot from 21 ft,,89,77
4,10:54.0,,Defensive rebound by C. Randle,89,77
4,10:52.0,,Offensive foul by S. Dekker (drawn by D. Dotson),89,77
4,10:52.0,,Turnover by S. Dekker (offensive foul),89,77
4,10:52.0,,T. Ariza enters the game for B. Beal,89,77
4,10:34.0,Turnover by A. Trier (lost ball; steal by T. Brown),,89,77
4,10:33.0,,Personal take foul by A. Trier (drawn by C. Randle),89,77
4,10:28.0,,Shooting foul by M. Robinson (drawn by T. Ariza),89,77
4,10:28.0,,T. Ariza misses free throw 1 of 2,89,77
4,10:28.0,,Offensive rebound by Team,89,77
4,10:28.0,,T. Ariza misses free throw 2 of 2,89,77
4,10:26.0,Defensive rebound by A. Trier,,89,77
4,10:08.0,M. Hezonja misses 3-pt jump shot from 23 ft,,89,77
4,10:04.0,,Defensive rebound by T. Brown,89,77
4,10:01.0,,Personal foul by F. Ntilikina (drawn by C. Randle),89,77
4,9:52.0,,S. Dekker misses 2-pt layup from 3 ft (block by F. Ntilikina),89,77
4,9:52.0,,Offensive rebound by Team,89,77
4,9:52.0,,Turnover by (5 sec),89,77
4,9:30.0,Turnover by F. Ntilikina (bad pass; steal by O. Porter),,89,77
4,9:21.0,,S. Dekker makes 2-pt dunk from 2 ft (assist by T. Brown),89,79
4,9:21.0,New York full timeout,,89,79
4,9:21.0,L. Kornet enters the game for M. Robinson,,89,79
4,8:57.0,Turnover by Team (shot clock),,89,79
4,8:39.0,,T. Brown misses 3-pt jump shot from 25 ft,89,79
4,8:39.0,Defensive rebound by Team,,89,79
4,8:39.0,E. Mudiay enters the game for F. Ntilikina,,89,79
4,8:23.0,Turnover by L. Kornet (back court),,89,79
4,8:23.0,,B. Beal enters the game for T. Brown,89,79
4,8:08.0,,S. Dekker makes 2-pt layup from 1 ft (assist by T. Ariza),89,81
4,7:46.0,E. Mudiay misses 2-pt jump shot from 20 ft,,89,81
4,7:44.0,,Defensive rebound by T. Ariza,89,81
4,7:37.0,,Turnover by S. Dekker (traveling),89,81
4,7:20.0,Turnover by L. Kornet (lost ball; steal by O. Porter),,89,81
4,7:10.0,,B. Beal makes 3-pt jump shot from 26 ft,89,84
4,6:48.0,E. Mudiay makes 2-pt jump shot from 5 ft,,91,84
4,6:36.0,,O. Porter makes 3-pt jump shot from 26 ft,91,87
4,6:18.0,E. Mudiay misses 2-pt jump shot from 9 ft,,91,87
4,6:14.0,,Defensive rebound by C. Randle,91,87
4,6:11.0,,B. Beal makes 3-pt jump shot from 33 ft (assist by C. Randle),91,90
4,6:10.0,New York full timeout,,91,90
4,6:10.0,T. Hardaway enters the game for D. Dotson,,91,90
4,6:10.0,K. Knox enters the game for M. Hezonja,,91,90
4,5:49.0,Turnover by T. Hardaway (lost ball; steal by B. Beal),,91,90
4,5:43.0,,B. Beal misses 3-pt jump shot from 27 ft,91,90
4,5:40.0,Defensive rebound by A. Trier,,91,90
4,5:18.0,E. Mudiay misses 2-pt jump shot from 16 ft,,91,90
4,5:15.0,,Defensive rebound by S. Dekker,91,90
4,4:56.0,,T. Ariza misses 3-pt jump shot from 26 ft,91,90
4,4:54.0,Defensive rebound by K. Knox,,91,90
4,4:46.0,E. Mudiay misses 2-pt layup from 2 ft,,91,90
4,4:44.0,,Defensive rebound by O. Porter,91,90
4,4:34.0,,O. Porter makes 2-pt jump shot from 21 ft (assist by T. Ariza),91,92
4,4:09.0,Turnover by E. Mudiay (lost ball; steal by S. Dekker),,91,92
4,4:08.0,,Personal take foul by E. Mudiay (drawn by C. Randle),91,92
4,4:08.0,N. Vonleh enters the game for L. Kornet,,91,92
4,3:50.0,,O. Porter misses 2-pt jump shot from 10 ft,91,92
4,3:48.0,,Offensive rebound by T. Ariza,91,92
4,3:45.0,,S. Dekker misses 2-pt layup from 4 ft,91,92
4,3:44.0,,Offensive rebound by T. Ariza,91,92
4,3:35.0,,C. Randle misses 2-pt layup from 4 ft,91,92
4,3:30.0,,Offensive rebound by O. Porter,91,92
4,3:30.0,,O. Porter makes 2-pt layup at rim,91,94
4,3:14.0,Shooting foul by O. Porter (drawn by E. Mudiay),,91,94
4,3:14.0,E. Mudiay makes free throw 1 of 2,,92,94
4,3:14.0,,Washington full timeout,92,94
4,3:14.0,E. Mudiay makes free throw 2 of 2,,93,94
4,2:59.0,,B. Beal misses 2-pt layup from 1 ft,93,94
4,2:56.0,Defensive rebound by E. Mudiay,,93,94
4,2:54.0,Turnover by E. Mudiay (out of bounds lost ball),,93,94
4,2:27.0,,C. Randle misses 3-pt jump shot from 24 ft,93,94
4,2:24.0,Defensive rebound by T. Hardaway,,93,94
4,2:03.0,A. Trier misses 2-pt jump shot from 16 ft,,93,94
4,1:59.0,,Defensive rebound by B. Beal,93,94
4,1:56.0,,B. Beal makes 2-pt jump shot from 19 ft,93,96
4,1:56.0,,Shooting foul by A. Trier (drawn by B. Beal),93,96
4,1:56.0,,B. Beal makes free throw 1 of 1,93,97
4,1:41.0,N. Vonleh makes 2-pt hook shot from 6 ft (assist by E. Mudiay),,95,97
4,1:25.0,,Turnover by B. Beal (dbl dribble),95,97
4,1:05.0,E. Mudiay makes 3-pt jump shot from 26 ft (assist by N. Vonleh),,98,97
