QUARTER,TIME_REMAINING,BOSTON_ACTION,LA CLIPPERS_ACTION,BOSTON_SCORE,LA CLIPPERS_SCORE
2,10:43.0,Personal foul by T. Wallace (drawn by T. Rozier),,22,29
2,10:39.0,Offensive foul by M. Smart (drawn by T. Wallace),,22,29
2,10:39.0,Turnover by M. Smart (offensive foul),,22,29
2,10:18.0,,Shooting foul by M. Smart (drawn by M. Harrell),22,29
2,10:18.0,,M. Harrell makes free throw 1 of 2,22,30
2,10:18.0,,M. Harrell makes free throw 2 of 2,22,31
2,10:03.0,Turnover by S. Ojeleye (out of bounds lost ball),,22,31
2,9:55.0,,L. Williams makes 3-pt jump shot from 27 ft,22,34
2,9:40.0,G. Hayward makes 2-pt jump shot from 21 ft (assist by A. Baynes),,24,34
2,9:23.0,,L. Williams makes 2-pt jump shot from 12 ft,24,36
2,9:08.0,T. Rozier makes 2-pt jump shot from 13 ft,,26,36
2,9:01.0,,Offensive foul by M. Harrell (drawn by M. Smart),26,36
2,9:01.0,,Turnover by M. Harrell (offensive foul),26,36
2,9:01.0,D. Theis enters the game for A. Baynes,,26,36
2,8:49.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by G. Hayward),,29,36
2,8:43.0,,Offensive foul by J. Green (drawn by T. Rozier),29,36
2,8:43.0,,Turnover by J. Green (offensive foul),29,36
2,8:20.0,Turnover by T. Rozier (out of bounds lost ball),,29,36
2,8:20.0,,L. Shamet enters the game for T. Wallace,29,36
2,8:19.0,,Personal foul by T. Rozier (drawn by G. Temple),29,36
2,8:19.0,J. Brown enters the game for G. Hayward,,29,36
2,8:11.0,,M. Harrell misses 2-pt jump shot from 4 ft,29,36
2,8:09.0,Defensive rebound by D. Theis,,29,36
2,8:00.0,J. Brown misses 3-pt jump shot from 26 ft,,29,36
2,8:00.0,Offensive rebound by S. Ojeleye,,29,36
2,8:00.0,Shooting foul by J. Green (drawn by S. Ojeleye),,29,36
2,8:00.0,S. Ojeleye misses free throw 1 of 2,,29,36
2,8:00.0,Offensive rebound by Team,,29,36
2,8:00.0,,D. Gallinari enters the game for J. Green,29,36
2,8:00.0,S. Ojeleye makes free throw 2 of 2,,30,36
2,8:00.0,,P. Beverley enters the game for G. Temple,30,36
2,7:44.0,,Personal foul by S. Ojeleye (drawn by D. Gallinari),30,36
2,7:30.0,,P. Beverley misses 2-pt jump shot from 3 ft (block by D. Theis),30,36
2,7:30.0,,Offensive rebound by Team,30,36
2,7:30.0,,Turnover by Team (shot clock),30,36
2,7:16.0,T. Rozier misses 3-pt jump shot from 25 ft,,30,36
2,7:11.0,,Defensive rebound by L. Williams,30,36
2,7:07.0,,L. Williams misses 2-pt jump shot from 14 ft,30,36
2,7:04.0,,Offensive rebound by M. Harrell,30,36
2,7:04.0,K. Irving enters the game for S. Ojeleye,,30,36
2,7:04.0,M. Morris enters the game for M. Smart,,30,36
2,7:04.0,,I. Zubac enters the game for M. Harrell,30,36
2,6:54.0,,I. Zubac makes 2-pt layup from 2 ft (assist by P. Beverley),30,38
2,6:42.0,J. Brown makes 2-pt jump shot from 8 ft (assist by T. Rozier),,32,38
2,6:34.0,,Shooting foul by M. Morris (drawn by I. Zubac),32,38
2,6:34.0,,LA Clippers full timeout,32,38
2,6:34.0,,S. Gilgeous-Alexander enters the game for L. Williams,32,38
2,6:34.0,,I. Zubac makes free throw 1 of 2,32,39
2,6:34.0,,I. Zubac makes free throw 2 of 2,32,40
2,6:13.0,K. Irving makes 2-pt layup from 2 ft,,34,40
2,5:58.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by P. Beverley),34,43
2,5:49.0,Turnover by D. Theis (traveling),,34,43
2,5:42.0,,Offensive foul by I. Zubac (drawn by T. Rozier),34,43
2,5:42.0,,Turnover by I. Zubac (offensive foul),34,43
2,5:42.0,A. Horford enters the game for D. Theis,,34,43
2,5:36.0,Offensive foul by A. Horford (drawn by S. Gilgeous-Alexander),,34,43
2,5:36.0,Turnover by A. Horford (offensive foul),,34,43
2,5:27.0,,Offensive foul by L. Shamet (drawn by M. Morris),34,43
2,5:27.0,,Turnover by L. Shamet (offensive foul),34,43
2,5:23.0,K. Irving makes 3-pt jump shot from 27 ft,,37,43
2,5:04.0,,D. Gallinari makes 3-pt jump shot from 28 ft (assist by S. Gilgeous-Alexander),37,46
2,4:52.0,K. Irving makes 2-pt layup from 2 ft,,39,46
2,4:40.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by A. Horford),39,46
2,4:35.0,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Irving),,42,46
2,4:23.0,,Offensive foul by S. Gilgeous-Alexander (drawn by K. Irving),42,46
2,4:23.0,,Turnover by S. Gilgeous-Alexander (offensive foul),42,46
2,4:23.0,G. Hayward enters the game for T. Rozier,,42,46
2,4:23.0,,L. Williams enters the game for S. Gilgeous-Alexander,42,46
2,4:12.0,Turnover by K. Irving (lost ball; steal by L. Shamet),,42,46
2,4:07.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by L. Shamet),42,48
2,3:54.0,Personal foul by L. Williams (drawn by J. Brown),,42,48
2,3:48.0,M. Morris misses 2-pt jump shot from 17 ft,,42,48
2,3:44.0,,Defensive rebound by L. Williams,42,48
2,3:39.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by D. Gallinari),42,51
2,3:38.0,Boston full timeout,,42,51
2,3:38.0,,G. Temple enters the game for L. Shamet,42,51
2,3:14.0,A. Horford misses 2-pt jump shot from 17 ft,,42,51
2,3:11.0,,Defensive rebound by D. Gallinari,42,51
2,2:56.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by L. Williams),42,53
2,2:35.0,M. Morris misses 3-pt jump shot from 28 ft,,42,53
2,2:33.0,,Defensive rebound by D. Gallinari,42,53
2,2:23.0,,L. Williams makes 2-pt layup from 2 ft (assist by D. Gallinari),42,55
2,2:06.0,Shooting foul by P. Beverley (drawn by M. Morris),,42,55
2,2:06.0,M. Morris makes free throw 1 of 2,,43,55
2,2:06.0,M. Morris makes free throw 2 of 2,,44,55
2,1:56.0,,Personal foul by M. Morris (drawn by D. Gallinari),44,55
2,1:56.0,,D. Gallinari makes free throw 1 of 2,44,56
2,1:56.0,,D. Gallinari makes free throw 2 of 2,44,57
2,1:42.0,G. Hayward misses 2-pt jump shot from 21 ft,,44,57
2,1:40.0,,Defensive rebound by L. Williams,44,57
2,1:34.0,,L. Williams misses 2-pt layup from 3 ft,44,57
2,1:31.0,Defensive rebound by J. Brown,,44,57
2,1:25.0,J. Brown misses 2-pt jump shot from 3 ft,,44,57
2,1:23.0,Offensive rebound by J. Brown,,44,57
2,1:21.0,J. Brown makes 2-pt layup from 4 ft,,46,57
2,1:08.0,,G. Temple misses 2-pt jump shot from 13 ft,46,57
2,1:06.0,Defensive rebound by A. Horford,,46,57
2,1:01.0,M. Morris misses 2-pt layup from 2 ft,,46,57
2,0:58.0,Offensive rebound by Team,,46,57
2,0:58.0,T. Rozier enters the game for M. Morris,,46,57
2,0:58.0,,S. Gilgeous-Alexander enters the game for P. Beverley,46,57
2,0:58.0,,M. Harrell enters the game for I. Zubac,46,57
2,0:41.0,G. Hayward misses 2-pt jump shot from 6 ft,,46,57
2,0:41.0,,Defensive rebound by M. Harrell,46,57
2,0:41.0,,L. Williams makes 2-pt jump shot from 18 ft,46,59
2,0:36.0,K. Irving makes 3-pt jump shot from 28 ft,,49,59
2,0:23.0,,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),49,61
2,0:23.0,,Shooting foul by K. Irving (drawn by M. Harrell),49,61
2,0:23.0,,S. Thornwell enters the game for L. Williams,49,61
2,0:23.0,,M. Harrell makes free throw 1 of 1,49,62
2,0:00.0,T. Rozier misses 3-pt jump shot from 27 ft,,49,62
2,0:00.0,Offensive rebound by Team,,49,62
3,11:46.0,K. Irving misses 3-pt jump shot from 26 ft,,49,62
3,11:44.0,,Defensive rebound by I. Zubac,49,62
3,11:20.0,,I. Zubac makes 2-pt jump shot from 5 ft (assist by L. Shamet),49,64
3,10:59.0,A. Horford misses 2-pt hook shot from 9 ft,,49,64
3,10:59.0,,Defensive rebound by P. Beverley,49,64
3,10:59.0,,Personal foul by J. Brown (drawn by P. Beverley),49,64
3,10:41.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 6 ft,49,64
3,10:37.0,Defensive rebound by J. Brown,,49,64
3,10:31.0,M. Smart makes 3-pt jump shot from 23 ft (assist by K. Irving),,52,64
3,10:20.0,,Turnover by I. Zubac (bad pass; steal by M. Smart),52,64
3,10:15.0,J. Brown makes 2-pt layup from 1 ft,,54,64
3,9:53.0,,P. Beverley makes 2-pt layup from 2 ft,54,66
3,9:53.0,,Shooting foul by K. Irving (drawn by P. Beverley),54,66
3,9:53.0,,P. Beverley makes free throw 1 of 1,54,67
3,9:43.0,M. Morris makes 2-pt layup from 3 ft (assist by K. Irving),,56,67
3,9:32.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by I. Zubac),56,69
3,9:32.0,,Shooting foul by M. Morris (drawn by S. Gilgeous-Alexander),56,69
3,9:32.0,,S. Gilgeous-Alexander makes free throw 1 of 1,56,70
3,9:25.0,K. Irving misses 3-pt jump shot from 27 ft,,56,70
3,9:22.0,,Defensive rebound by I. Zubac,56,70
3,9:10.0,,P. Beverley misses 2-pt hook shot from 8 ft,56,70
3,9:08.0,Defensive rebound by J. Brown,,56,70
3,9:04.0,A. Horford misses 3-pt jump shot from 26 ft,,56,70
3,8:59.0,,Defensive rebound by L. Shamet,56,70
3,8:49.0,,P. Beverley misses 3-pt jump shot from 23 ft,56,70
3,8:47.0,,Offensive rebound by S. Gilgeous-Alexander,56,70
3,8:46.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 15 ft,56,72
3,8:46.0,Boston full timeout,,56,72
3,8:34.0,K. Irving makes 2-pt layup from 1 ft,,58,72
3,8:19.0,,L. Shamet misses 3-pt jump shot from 27 ft,58,72
3,8:16.0,,Offensive rebound by P. Beverley,58,72
3,8:12.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by M. Smart),58,72
3,7:55.0,J. Brown makes 3-pt jump shot from 25 ft (assist by A. Horford),,61,72
3,7:35.0,,D. Gallinari makes 2-pt jump shot from 16 ft (assist by L. Shamet),61,74
3,7:22.0,A. Horford misses 2-pt jump shot from 19 ft,,61,74
3,7:20.0,,Defensive rebound by I. Zubac,61,74
3,7:15.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 24 ft (assist by P. Beverley),61,77
3,7:02.0,J. Brown makes 3-pt jump shot from 24 ft (assist by A. Horford),,64,77
3,6:44.0,,D. Gallinari makes 2-pt jump shot from 14 ft,64,79
3,6:32.0,J. Brown makes 3-pt jump shot from 30 ft (assist by K. Irving),,67,79
3,6:11.0,,I. Zubac makes 2-pt hook shot from 4 ft,67,81
3,6:00.0,A. Horford misses 3-pt jump shot from 26 ft,,67,81
3,5:58.0,,Defensive rebound by S. Gilgeous-Alexander,67,81
3,5:52.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 17 ft,67,81
3,5:50.0,Defensive rebound by J. Brown,,67,81
3,5:49.0,Personal take foul by D. Gallinari (drawn by J. Brown),,67,81
3,5:49.0,G. Hayward enters the game for M. Morris,,67,81
3,5:31.0,K. Irving makes 2-pt jump shot from 12 ft,,69,81
3,5:28.0,,LA Clippers full timeout,69,81
3,5:28.0,,L. Williams enters the game for S. Gilgeous-Alexander,69,81
3,5:13.0,,D. Gallinari misses 2-pt jump shot from 8 ft,69,81
3,5:12.0,Defensive rebound by J. Brown,,69,81
3,5:04.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by K. Irving),,72,81
3,4:50.0,,D. Gallinari makes 3-pt jump shot from 27 ft,72,84
3,4:36.0,J. Brown misses 3-pt jump shot from 27 ft,,72,84
3,4:32.0,,Defensive rebound by D. Gallinari,72,84
3,4:18.0,,P. Beverley makes 2-pt jump shot from 3 ft (assist by L. Williams),72,86
3,4:06.0,A. Horford makes 2-pt hook shot from 5 ft (assist by K. Irving),,74,86
3,3:54.0,,L. Shamet makes 3-pt jump shot from 23 ft (assist by I. Zubac),74,89
3,3:43.0,Personal foul by I. Zubac (drawn by K. Irving),,74,89
3,3:43.0,T. Rozier enters the game for M. Smart,,74,89
3,3:43.0,,M. Harrell enters the game for I. Zubac,74,89
3,3:29.0,J. Brown makes 2-pt layup from 2 ft,,76,89
3,3:07.0,,L. Shamet makes 3-pt jump shot from 24 ft (assist by M. Harrell),76,92
3,2:45.0,A. Horford makes 2-pt hook shot from 8 ft,,78,92
3,2:36.0,,Turnover by L. Williams (bad pass; steal by T. Rozier),78,92
3,2:32.0,G. Hayward makes 2-pt dunk from 3 ft (assist by T. Rozier),,80,92
3,2:15.0,,Shooting foul by K. Irving (drawn by L. Williams),80,92
3,2:15.0,,L. Williams makes free throw 1 of 2,80,93
3,2:15.0,S. Ojeleye enters the game for J. Brown,,80,93
3,2:15.0,,J. Green enters the game for D. Gallinari,80,93
3,2:15.0,,L. Williams makes free throw 2 of 2,80,94
3,1:57.0,A. Horford misses 2-pt jump shot from 12 ft,,80,94
3,1:54.0,,Defensive rebound by J. Green,80,94
3,1:46.0,,Turnover by M. Harrell (bad pass),80,94
3,1:36.0,K. Irving misses 2-pt layup from 4 ft (block by P. Beverley),,80,94
3,1:36.0,,Defensive rebound by Team,80,94
3,1:36.0,D. Theis enters the game for A. Horford,,80,94
3,1:18.0,,L. Williams misses 3-pt jump shot from 25 ft,80,94
3,1:18.0,,Offensive rebound by J. Green,80,94
3,1:14.0,,J. Green makes 2-pt layup from 1 ft,80,96
3,1:04.0,K. Irving misses 3-pt jump shot from 28 ft,,80,96
3,1:02.0,,Defensive rebound by L. Shamet,80,96
3,0:56.0,,P. Beverley makes 3-pt jump shot from 27 ft (assist by L. Shamet),80,99
3,0:49.0,T. Rozier misses 3-pt jump shot from 27 ft,,80,99
3,0:47.0,,Defensive rebound by Team,80,99
3,0:47.0,,G. Temple enters the game for L. Shamet,80,99
3,0:42.0,,L. Williams misses 3-pt jump shot from 27 ft,80,99
3,0:40.0,Defensive rebound by D. Theis,,80,99
3,0:27.0,,Violation by Team (kicked ball),80,99
3,0:27.0,M. Smart enters the game for S. Ojeleye,,80,99
3,0:25.0,Personal foul by L. Williams (drawn by M. Smart),,80,99
3,0:24.0,D. Theis makes 2-pt dunk from 1 ft (assist by K. Irving),,82,99
3,0:06.0,,L. Williams makes 2-pt jump shot from 3 ft,82,101
3,0:00.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by G. Hayward),,85,101
4,11:46.0,,J. Green misses 3-pt jump shot from 26 ft,85,101
4,11:41.0,,Offensive rebound by M. Harrell,85,101
4,11:40.0,,M. Harrell makes 2-pt layup from 3 ft,85,103
4,11:19.0,Personal foul by G. Temple (drawn by D. Theis),,85,103
4,11:11.0,D. Theis misses 2-pt jump shot from 20 ft,,85,103
4,11:07.0,,Defensive rebound by W. Chandler,85,103
4,10:57.0,,L. Williams makes 3-pt jump shot from 25 ft (assist by G. Temple),85,106
4,10:44.0,M. Smart misses 3-pt jump shot from 29 ft,,85,106
4,10:41.0,Offensive rebound by S. Ojeleye,,85,106
4,10:37.0,S. Ojeleye misses 2-pt layup from 1 ft,,85,106
4,10:34.0,Offensive rebound by S. Ojeleye,,85,106
4,10:34.0,S. Ojeleye makes 2-pt layup at rim,,87,106
4,10:29.0,,L. Williams makes 2-pt jump shot from 11 ft,87,108
4,10:06.0,T. Rozier makes 3-pt jump shot from 27 ft (assist by G. Hayward),,90,108
4,9:53.0,,L. Williams makes 2-pt layup from 2 ft,90,110
4,9:47.0,Shooting foul by M. Harrell (drawn by S. Ojeleye),,90,110
4,9:47.0,S. Ojeleye misses free throw 1 of 2,,90,110
4,9:47.0,Offensive rebound by Team,,90,110
4,9:47.0,M. Morris enters the game for G. Hayward,,90,110
4,9:47.0,S. Ojeleye makes free throw 2 of 2,,91,110
4,9:35.0,,Turnover by L. Williams (bad pass; steal by M. Smart),91,110
4,9:32.0,Offensive foul by S. Ojeleye (drawn by M. Harrell),,91,110
4,9:32.0,Turnover by S. Ojeleye (offensive foul),,91,110
4,9:21.0,,Shooting foul by M. Morris (drawn by G. Temple),91,110
4,9:21.0,,G. Temple misses free throw 1 of 2,91,110
4,9:21.0,,Offensive rebound by Team,91,110
4,9:21.0,,G. Temple makes free throw 2 of 2,91,111
4,9:01.0,T. Rozier makes 2-pt layup from 2 ft,,93,111
4,8:55.0,,L. Williams makes 2-pt layup from 2 ft,93,113
4,8:55.0,,Shooting foul by D. Theis (drawn by L. Williams),93,113
4,8:55.0,,L. Williams makes free throw 1 of 1,93,114
4,8:43.0,M. Smart makes 2-pt jump shot from 3 ft,,95,114
4,8:43.0,Shooting foul by M. Harrell (drawn by M. Smart),,95,114
4,8:43.0,M. Smart makes free throw 1 of 1,,96,114
4,8:30.0,,J. Green misses 3-pt jump shot from 26 ft,96,114
4,8:27.0,,Offensive rebound by M. Harrell,96,114
4,8:26.0,,M. Harrell makes 2-pt layup from 2 ft,96,116
4,8:07.0,Turnover by T. Rozier (bad pass; steal by M. Harrell),,96,116
4,7:59.0,,L. Williams makes 2-pt layup from 1 ft,96,118
4,7:59.0,,Shooting foul by D. Theis (drawn by L. Williams),96,118
4,7:59.0,A. Baynes enters the game for S. Ojeleye,,96,118
4,7:59.0,J. Brown enters the game for T. Rozier,,96,118
4,7:59.0,K. Irving enters the game for D. Theis,,96,118
4,7:59.0,,L. Williams makes free throw 1 of 1,96,119
4,7:48.0,Turnover by A. Baynes (bad pass; steal by G. Temple),,96,119
4,7:44.0,,Turnover by G. Temple (bad pass; steal by A. Baynes),96,119
4,7:32.0,A. Baynes misses 2-pt hook shot from 4 ft,,96,119
4,7:29.0,,Defensive rebound by J. Green,96,119
4,7:22.0,,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),96,121
4,7:12.0,K. Irving misses 2-pt layup from 2 ft,,96,121
4,7:12.0,,Defensive rebound by M. Harrell,96,121
4,7:06.0,,M. Harrell misses 2-pt layup from 2 ft,96,121
4,7:06.0,Defensive rebound by Team,,96,121
4,7:06.0,,P. Beverley enters the game for W. Chandler,96,121
4,7:06.0,,S. Gilgeous-Alexander enters the game for L. Williams,96,121
4,6:52.0,Shooting foul by J. Green (drawn by M. Morris),,96,121
4,6:52.0,,LA Clippers full timeout,96,121
4,6:52.0,M. Morris makes free throw 1 of 2,,97,121
4,6:52.0,M. Morris makes free throw 2 of 2,,98,121
4,6:32.0,,J. Green misses 2-pt layup from 2 ft,98,121
4,6:31.0,,Offensive rebound by M. Harrell,98,121
4,6:31.0,,M. Harrell makes 2-pt layup from 3 ft,98,123
4,6:31.0,,Shooting foul by A. Baynes (drawn by M. Harrell),98,123
4,6:31.0,,M. Harrell makes free throw 1 of 1,98,124
4,6:16.0,K. Irving misses 3-pt jump shot from 23 ft,,98,124
4,6:13.0,,Defensive rebound by P. Beverley,98,124
4,6:10.0,,M. Harrell misses 2-pt layup from 1 ft (block by M. Smart),98,124
4,6:05.0,,Offensive rebound by S. Gilgeous-Alexander,98,124
4,5:58.0,,M. Harrell misses 2-pt jump shot from 10 ft,98,124
4,5:54.0,,Offensive rebound by J. Green,98,124
4,5:52.0,,J. Green makes 2-pt layup from 2 ft,98,126
4,5:36.0,A. Baynes makes 2-pt layup from 3 ft (assist by M. Smart),,100,126
4,5:19.0,,M. Harrell makes 2-pt jump shot from 3 ft (assist by S. Gilgeous-Alexander),100,128
4,5:19.0,,Shooting foul by A. Baynes (drawn by M. Harrell),100,128
4,5:19.0,T. Rozier enters the game for K. Irving,,100,128
4,5:19.0,B. Wanamaker enters the game for M. Morris,,100,128
4,5:19.0,G. Yabusele enters the game for M. Smart,,100,128
4,5:19.0,,M. Harrell misses free throw 1 of 1,100,128
4,5:17.0,Defensive rebound by T. Rozier,,100,128
4,5:08.0,B. Wanamaker misses 2-pt jump shot from 13 ft,,100,128
4,5:06.0,,Defensive rebound by P. Beverley,100,128
4,4:57.0,,J. Green misses 3-pt jump shot from 26 ft,100,128
4,4:53.0,Defensive rebound by G. Yabusele,,100,128
4,4:46.0,J. Brown makes 2-pt jump shot from 9 ft,,102,128
4,4:26.0,,P. Beverley misses 2-pt layup from 2 ft (block by A. Baynes),102,128
4,4:24.0,Defensive rebound by J. Brown,,102,128
4,4:23.0,Personal foul by G. Temple (drawn by J. Brown),,102,128
