QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MIAMI_ACTION,MINNESOTA_SCORE,MIAMI_SCORE
1,7:18.0,,Defensive rebound by R. McGruder,8,1
1,7:10.0,,J. Richardson makes 3-pt jump shot from 24 ft (assist by J. Winslow),8,4
1,6:54.0,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),,10,4
1,6:37.0,,B. Adebayo misses 2-pt layup from 4 ft (block by K. Towns),10,4
1,6:34.0,,Offensive rebound by D. Jones,10,4
1,6:33.0,,D. Jones makes 2-pt layup from 2 ft,10,6
1,6:07.0,R. Covington misses 3-pt jump shot from 25 ft,,10,6
1,6:07.0,,Defensive rebound by Team,10,6
1,6:06.0,Loose ball foul by K. Towns (drawn by D. Jones),,10,6
1,5:55.0,,J. Winslow makes 2-pt hook shot from 11 ft,10,8
1,5:36.0,T. Gibson makes 2-pt jump shot from 18 ft (assist by T. Jones),,12,8
1,5:20.0,,J. Winslow makes 2-pt layup from 3 ft,12,10
1,5:10.0,T. Jones misses 2-pt jump shot from 10 ft,,12,10
1,5:07.0,,Defensive rebound by R. McGruder,12,10
1,4:58.0,,Turnover by B. Adebayo (bad pass; steal by K. Towns),12,10
1,4:40.0,A. Wiggins misses 2-pt layup from 4 ft,,12,10
1,4:38.0,,Defensive rebound by D. Jones,12,10
1,4:33.0,,Turnover by R. McGruder (bad pass; steal by T. Jones),12,10
1,4:24.0,T. Gibson misses 2-pt jump shot from 11 ft,,12,10
1,4:19.0,,Defensive rebound by R. McGruder,12,10
1,4:08.0,,R. McGruder misses 2-pt jump shot from 5 ft,12,10
1,4:05.0,Defensive rebound by K. Towns,,12,10
1,3:56.0,T. Jones makes 2-pt jump shot from 13 ft,,14,10
1,3:29.0,,J. Richardson misses 3-pt jump shot from 25 ft,14,10
1,3:28.0,,Offensive rebound by D. Jones,14,10
1,3:25.0,,D. Jones misses 2-pt layup from 1 ft,14,10
1,3:23.0,,Offensive rebound by D. Jones,14,10
1,3:19.0,,D. Jones makes 2-pt layup at rim,14,12
1,3:19.0,Minnesota full timeout,,14,12
1,3:19.0,J. Okogie enters the game for R. Covington,,14,12
1,3:19.0,,T. Johnson enters the game for R. McGruder,14,12
1,3:19.0,,D. Wade enters the game for J. Winslow,14,12
1,3:09.0,K. Towns makes 2-pt dunk from 1 ft (assist by A. Wiggins),,16,12
1,2:53.0,,Personal foul by J. Okogie (drawn by B. Adebayo),16,12
1,2:53.0,J. Bayless enters the game for T. Gibson,,16,12
1,2:53.0,D. Šarić enters the game for T. Jones,,16,12
1,2:53.0,,K. Olynyk enters the game for D. Jones,16,12
1,2:44.0,,J. Richardson misses 3-pt jump shot from 23 ft,16,12
1,2:44.0,,Offensive rebound by Team,16,12
1,2:44.0,Loose ball foul by J. Okogie (drawn by B. Adebayo),,16,12
1,2:33.0,,T. Johnson misses 2-pt jump shot from 13 ft,16,12
1,2:30.0,Defensive rebound by D. Šarić,,16,12
1,2:22.0,Personal foul by B. Adebayo (drawn by K. Towns),,16,12
1,2:08.0,K. Towns misses 2-pt jump shot from 3 ft,,16,12
1,2:08.0,Offensive rebound by K. Towns,,16,12
1,2:08.0,K. Towns makes 2-pt jump shot from 6 ft,,18,12
1,2:08.0,Shooting foul by B. Adebayo (drawn by K. Towns),,18,12
1,2:08.0,,H. Whiteside enters the game for B. Adebayo,18,12
1,2:08.0,K. Towns makes free throw 1 of 1,,19,12
1,2:00.0,,Turnover by K. Olynyk (lost ball; steal by D. Šarić),19,12
1,1:57.0,Shooting foul by K. Olynyk (drawn by J. Okogie),,19,12
1,1:57.0,J. Okogie makes free throw 1 of 2,,20,12
1,1:57.0,J. Okogie misses free throw 2 of 2,,20,12
1,1:55.0,,Defensive rebound by H. Whiteside,20,12
1,1:44.0,,T. Johnson makes 2-pt hook shot from 11 ft (assist by J. Richardson),20,14
1,1:44.0,Violation by Team (def goaltending),,20,14
1,1:32.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Bayless),,22,14
1,1:18.0,,H. Whiteside misses 2-pt hook shot from 9 ft (block by K. Towns),22,14
1,1:15.0,Defensive rebound by J. Bayless,,22,14
1,1:09.0,D. Šarić misses 2-pt layup from 2 ft,,22,14
1,1:07.0,Offensive rebound by K. Towns,,22,14
1,1:06.0,K. Towns misses 2-pt layup from 1 ft,,22,14
1,1:06.0,Offensive rebound by K. Towns,,22,14
1,1:04.0,K. Towns misses 2-pt layup from 1 ft (block by H. Whiteside),,22,14
1,1:03.0,Offensive rebound by K. Towns,,22,14
1,0:58.0,K. Towns makes 2-pt hook shot from 5 ft,,24,14
1,0:56.0,,Shooting foul by K. Towns (drawn by D. Wade),24,14
1,0:56.0,,D. Wade makes free throw 1 of 2,24,15
1,0:56.0,G. Dieng enters the game for K. Towns,,24,15
1,0:56.0,,D. Wade makes free throw 2 of 2,24,16
1,0:38.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by J. Bayless),,27,16
1,0:27.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by D. Wade),27,19
1,0:06.0,Turnover by J. Bayless (bad pass; steal by K. Olynyk),,27,19
1,0:03.0,,Turnover by K. Olynyk (bad pass; steal by A. Wiggins),27,19
1,0:00.0,G. Dieng makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,30,19
2,11:41.0,J. Bayless misses 3-pt jump shot from 25 ft,,30,19
2,11:39.0,,Defensive rebound by J. Winslow,30,19
2,11:32.0,,D. Wade misses 2-pt layup from 2 ft,30,19
2,11:32.0,Defensive rebound by D. Šarić,,30,19
2,11:15.0,J. Bayless misses 3-pt jump shot from 24 ft,,30,19
2,11:11.0,,Defensive rebound by H. Whiteside,30,19
2,10:54.0,,H. Whiteside makes 2-pt dunk from 2 ft,30,21
2,10:54.0,,Shooting foul by G. Dieng (drawn by H. Whiteside),30,21
2,10:54.0,,H. Whiteside makes free throw 1 of 1,30,22
2,10:37.0,D. Šarić misses 2-pt jump shot from 16 ft,,30,22
2,10:34.0,,Defensive rebound by D. Wade,30,22
2,10:26.0,,D. Wade misses 2-pt jump shot from 8 ft,30,22
2,10:23.0,Defensive rebound by G. Dieng,,30,22
2,10:11.0,Turnover by G. Dieng (lost ball; steal by K. Olynyk),,30,22
2,10:06.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by T. Johnson),30,25
2,9:56.0,Minnesota full timeout,,30,25
2,9:47.0,,Violation by Team (kicked ball),30,25
2,9:39.0,J. Bayless misses 2-pt jump shot from 15 ft,,30,25
2,9:36.0,,Defensive rebound by D. Wade,30,25
2,9:17.0,,J. Winslow makes 2-pt jump shot from 11 ft,30,27
2,9:09.0,Personal foul by T. Johnson (drawn by J. Bayless),,30,27
2,8:55.0,R. Covington makes 2-pt dunk from 1 ft (assist by J. Bayless),,32,27
2,8:41.0,,Shooting foul by R. Covington (drawn by D. Wade),32,27
2,8:41.0,,D. Wade misses free throw 1 of 2,32,27
2,8:41.0,,Offensive rebound by Team,32,27
2,8:41.0,,D. Wade makes free throw 2 of 2,32,28
2,8:31.0,Turnover by G. Dieng (lost ball; steal by J. Winslow),,32,28
2,8:25.0,,J. Winslow makes 3-pt jump shot from 23 ft,32,31
2,8:11.0,D. Šarić makes 3-pt jump shot from 26 ft,,35,31
2,7:57.0,,D. Wade makes 2-pt layup from 2 ft (assist by T. Johnson),35,33
2,7:43.0,Shooting foul by D. Wade (drawn by D. Šarić),,35,33
2,7:43.0,D. Šarić makes free throw 1 of 2,,36,33
2,7:43.0,T. Jones enters the game for J. Bayless,,36,33
2,7:43.0,D. Šarić makes free throw 2 of 2,,37,33
2,7:32.0,,D. Wade misses 2-pt jump shot from 8 ft,37,33
2,7:29.0,,Offensive rebound by D. Wade,37,33
2,7:27.0,,D. Wade makes 2-pt layup from 2 ft,37,35
2,7:12.0,J. Okogie misses 3-pt jump shot from 25 ft,,37,35
2,7:09.0,Offensive rebound by R. Covington,,37,35
2,7:07.0,R. Covington misses 3-pt jump shot from 25 ft,,37,35
2,7:05.0,,Defensive rebound by H. Whiteside,37,35
2,6:55.0,,Shooting foul by G. Dieng (drawn by J. Winslow),37,35
2,6:55.0,,J. Winslow makes free throw 1 of 2,37,36
2,6:55.0,K. Towns enters the game for G. Dieng,,37,36
2,6:55.0,,J. Winslow misses free throw 2 of 2,37,36
2,6:52.0,Defensive rebound by D. Šarić,,37,36
2,6:39.0,J. Okogie misses 2-pt jump shot from 8 ft (block by D. Wade),,37,36
2,6:36.0,,Defensive rebound by T. Johnson,37,36
2,6:35.0,,Shooting foul by R. Covington (drawn by T. Johnson),37,36
2,6:35.0,,T. Johnson makes free throw 1 of 2,37,37
2,6:35.0,,T. Johnson misses free throw 2 of 2,37,37
2,6:34.0,Defensive rebound by K. Towns,,37,37
2,6:16.0,Turnover by D. Šarić (lost ball; steal by J. Winslow),,37,37
2,6:11.0,,Turnover by J. Winslow (offensive foul),37,37
2,6:11.0,,Offensive foul by J. Winslow (drawn by T. Jones),37,37
2,6:11.0,A. Wiggins enters the game for J. Okogie,,37,37
2,6:11.0,,R. McGruder enters the game for T. Johnson,37,37
2,6:11.0,,J. Richardson enters the game for J. Winslow,37,37
2,5:55.0,R. Covington makes 3-pt jump shot from 25 ft (assist by K. Towns),,40,37
2,5:43.0,,D. Wade makes 2-pt layup from 2 ft,40,39
2,5:29.0,Shooting foul by D. Wade (drawn by R. Covington),,40,39
2,5:29.0,R. Covington makes free throw 1 of 2,,41,39
2,5:29.0,R. Covington makes free throw 2 of 2,,42,39
2,5:17.0,,Turnover by D. Wade (lost ball),42,39
2,5:16.0,,Loose ball foul by D. Wade (drawn by D. Šarić),42,39
2,5:16.0,,J. Winslow enters the game for D. Wade,42,39
2,5:03.0,A. Wiggins misses 2-pt layup from 2 ft,,42,39
2,5:03.0,Offensive rebound by Team,,42,39
2,4:58.0,K. Towns misses 3-pt jump shot from 25 ft,,42,39
2,4:56.0,Offensive rebound by D. Šarić,,42,39
2,4:55.0,D. Šarić misses 2-pt hook shot from 3 ft (block by K. Olynyk),,42,39
2,4:55.0,,Defensive rebound by K. Olynyk,42,39
2,4:47.0,,R. McGruder makes 3-pt jump shot from 23 ft (assist by J. Winslow),42,42
2,4:37.0,Turnover by K. Towns (step out of bounds),,42,42
2,4:37.0,T. Gibson enters the game for D. Šarić,,42,42
2,4:36.0,,Technical foul by D. Wade,42,42
2,4:36.0,K. Towns misses technical free throw,,42,42
2,4:36.0,,Defensive rebound by Team,42,42
2,4:23.0,,R. McGruder misses 3-pt jump shot from 26 ft,42,42
2,4:21.0,,Offensive rebound by K. Olynyk,42,42
2,4:20.0,,Shooting foul by R. Covington (drawn by J. Richardson),42,42
2,4:20.0,,J. Richardson makes free throw 1 of 2,42,43
2,4:20.0,J. Okogie enters the game for R. Covington,,42,43
2,4:20.0,,J. Richardson makes free throw 2 of 2,42,44
2,4:05.0,T. Jones misses 2-pt layup from 1 ft,,42,44
2,3:55.0,Offensive rebound by K. Towns,,42,44
2,3:55.0,K. Towns makes 2-pt dunk from 1 ft,,44,44
2,3:50.0,,J. Winslow misses 2-pt layup from 2 ft,44,44
2,3:48.0,Defensive rebound by T. Gibson,,44,44
2,3:42.0,K. Towns makes 2-pt jump shot from 22 ft (assist by J. Okogie),,46,44
2,3:26.0,,J. Richardson makes 2-pt layup from 1 ft (assist by K. Olynyk),46,46
2,3:13.0,T. Jones misses 2-pt jump shot from 9 ft,,46,46
2,3:12.0,Offensive rebound by K. Towns,,46,46
2,3:11.0,K. Towns misses 2-pt layup from 4 ft,,46,46
2,3:10.0,Offensive rebound by Team,,46,46
2,3:07.0,Shooting foul by H. Whiteside (drawn by K. Towns),,46,46
2,3:07.0,K. Towns makes free throw 1 of 3,,47,46
2,3:07.0,K. Towns makes free throw 2 of 3,,48,46
2,3:07.0,K. Towns misses free throw 3 of 3,,48,46
2,3:04.0,,Defensive rebound by J. Winslow,48,46
2,3:00.0,,Miami full timeout,48,46
2,3:00.0,,B. Adebayo enters the game for H. Whiteside,48,46
2,2:52.0,,R. McGruder misses 3-pt jump shot from 25 ft,48,46
2,2:49.0,Defensive rebound by K. Towns,,48,46
2,2:49.0,,Loose ball foul by B. Adebayo (drawn by J. Okogie),48,46
2,2:49.0,J. Okogie misses free throw 1 of 2,,48,46
2,2:49.0,Offensive rebound by Team,,48,46
2,2:49.0,,H. Whiteside enters the game for B. Adebayo,48,46
2,2:49.0,J. Okogie misses free throw 2 of 2,,48,46
2,2:45.0,,Defensive rebound by K. Olynyk,48,46
2,2:39.0,,Personal foul by T. Gibson (drawn by K. Olynyk),48,46
2,2:39.0,,K. Olynyk makes free throw 1 of 2,48,47
2,2:39.0,,K. Olynyk makes free throw 2 of 2,48,48
2,2:28.0,A. Wiggins misses 2-pt hook shot from 7 ft,,48,48
2,2:27.0,Offensive rebound by Team,,48,48
2,2:20.0,T. Jones misses 2-pt jump shot from 10 ft (block by J. Richardson),,48,48
2,2:16.0,Offensive rebound by T. Jones,,48,48
2,2:15.0,Personal foul by J. Winslow (drawn by A. Wiggins),,48,48
2,2:15.0,A. Wiggins makes free throw 1 of 2,,49,48
2,2:15.0,,T. Johnson enters the game for J. Winslow,49,48
2,2:15.0,A. Wiggins makes free throw 2 of 2,,50,48
2,2:05.0,,Offensive foul by H. Whiteside (drawn by J. Okogie),50,48
2,2:05.0,,Turnover by H. Whiteside (offensive foul),50,48
2,2:05.0,,D. Jones enters the game for H. Whiteside,50,48
2,1:45.0,A. Wiggins misses 2-pt jump shot from 16 ft,,50,48
2,1:43.0,Offensive rebound by T. Gibson,,50,48
2,1:31.0,T. Jones misses 2-pt jump shot from 5 ft,,50,48
2,1:28.0,Offensive rebound by J. Okogie,,50,48
2,1:24.0,T. Jones misses 3-pt jump shot from 22 ft,,50,48
2,1:19.0,Offensive rebound by K. Towns,,50,48
2,1:18.0,K. Towns misses 2-pt layup from 1 ft,,50,48
2,1:17.0,,Defensive rebound by D. Jones,50,48
2,1:16.0,,K. Olynyk misses 2-pt jump shot from 5 ft,50,48
2,1:14.0,,Offensive rebound by D. Jones,50,48
2,1:12.0,,D. Jones misses 2-pt layup at rim,50,48
2,1:11.0,,Offensive rebound by K. Olynyk,50,48
2,1:04.0,,J. Richardson misses 3-pt jump shot from 25 ft,50,48
2,1:03.0,,Offensive rebound by Team,50,48
2,1:03.0,Loose ball foul by J. Okogie (drawn by D. Jones),,50,48
2,1:03.0,,D. Jones makes free throw 1 of 2,50,49
2,1:03.0,,D. Jones makes free throw 2 of 2,50,50
2,0:54.0,Shooting foul by J. Richardson (drawn by T. Jones),,50,50
2,0:54.0,T. Jones makes free throw 1 of 2,,51,50
2,0:54.0,T. Jones makes free throw 2 of 2,,52,50
2,0:36.0,,Shooting foul by J. Okogie (drawn by J. Richardson),52,50
2,0:36.0,,J. Richardson makes free throw 1 of 2,52,51
2,0:36.0,J. Bayless enters the game for J. Okogie,,52,51
2,0:36.0,,J. Richardson makes free throw 2 of 2,52,52
2,0:24.0,A. Wiggins makes 3-pt jump shot from 24 ft (assist by K. Towns),,55,52
2,0:02.0,,R. McGruder makes 2-pt layup from 2 ft (assist by K. Olynyk),55,54
2,0:00.0,A. Wiggins misses 3-pt jump shot from 39 ft,,55,54
2,0:00.0,Offensive rebound by Team,,55,54
3,11:47.0,K. Towns makes 3-pt jump shot from 23 ft (assist by T. Jones),,58,54
3,11:31.0,,D. Jones makes 2-pt layup from 3 ft (assist by R. McGruder),58,56
3,11:17.0,A. Wiggins misses 2-pt hook shot from 6 ft,,58,56
3,11:14.0,,Defensive rebound by J. Winslow,58,56
3,11:12.0,,Turnover by D. Jones (palming),58,56
3,10:57.0,Personal foul by J. Richardson (drawn by K. Towns),,58,56
3,10:43.0,A. Wiggins misses 3-pt jump shot from 24 ft,,58,56
3,10:39.0,,Defensive rebound by H. Whiteside,58,56
3,10:33.0,,Turnover by R. McGruder (out of bounds lost ball),58,56
3,10:25.0,T. Gibson makes 2-pt layup from 2 ft (assist by T. Jones),,60,56
3,10:20.0,,J. Richardson misses 3-pt jump shot from 26 ft,60,56
3,9:58.0,Defensive rebound by K. Towns,,60,56
3,9:47.0,T. Gibson misses 2-pt jump shot from 19 ft,,60,56
3,9:46.0,,Defensive rebound by H. Whiteside,60,56
3,9:37.0,,Def 3 sec tech foul by Team,60,56
3,9:37.0,,J. Richardson makes technical free throw,60,57
3,9:25.0,,R. McGruder misses 2-pt layup from 2 ft (block by R. Covington),60,57
3,9:23.0,,Offensive rebound by J. Richardson,60,57
3,9:23.0,,J. Richardson misses 2-pt jump shot from 7 ft,60,57
3,9:22.0,,Offensive rebound by Team,60,57
3,9:21.0,,Turnover by Team (shot clock),60,57
3,9:06.0,Shooting foul by J. Winslow (drawn by R. Covington),,60,57
3,9:06.0,,Technical foul by J. Winslow,60,57
3,9:06.0,R. Covington makes technical free throw,,61,57
3,9:06.0,R. Covington makes free throw 1 of 2,,62,57
3,9:06.0,R. Covington makes free throw 2 of 2,,63,57
3,8:50.0,,H. Whiteside misses 2-pt hook shot from 8 ft,63,57
3,8:46.0,,Offensive rebound by D. Jones,63,57
3,8:46.0,,D. Jones misses 2-pt layup from 1 ft,63,57
3,8:46.0,Defensive rebound by T. Gibson,,63,57
3,8:43.0,Turnover by K. Towns (step out of bounds),,63,57
3,8:28.0,,R. McGruder misses 3-pt jump shot from 23 ft,63,57
3,8:24.0,,Offensive rebound by D. Jones,63,57
3,8:23.0,,D. Jones makes 2-pt dunk from 2 ft,63,59
3,8:17.0,Personal foul by D. Jones (drawn by K. Towns),,63,59
3,8:08.0,R. Covington misses 2-pt layup from 7 ft (block by D. Jones),,63,59
3,8:05.0,Offensive rebound by K. Towns,,63,59
3,8:05.0,K. Towns misses 2-pt layup from 4 ft,,63,59
3,8:05.0,Offensive rebound by K. Towns,,63,59
3,8:05.0,K. Towns misses 2-pt layup from 4 ft,,63,59
3,8:02.0,,Defensive rebound by J. Winslow,63,59
3,7:56.0,,J. Winslow misses 2-pt jump shot from 16 ft,63,59
3,7:51.0,Defensive rebound by T. Gibson,,63,59
3,7:50.0,Personal foul by J. Winslow (drawn by T. Gibson),,63,59
3,7:50.0,,D. Wade enters the game for J. Winslow,63,59
3,7:38.0,T. Gibson misses 2-pt layup from 2 ft,,63,59
3,7:33.0,,Defensive rebound by H. Whiteside,63,59
3,7:31.0,,Turnover by H. Whiteside (lost ball; steal by T. Jones),63,59
3,7:27.0,T. Jones makes 2-pt layup from 1 ft,,65,59
3,7:13.0,,D. Jones makes 2-pt layup from 4 ft (assist by R. McGruder),65,61
3,7:01.0,A. Wiggins misses 2-pt jump shot from 10 ft,,65,61
3,6:58.0,,Defensive rebound by H. Whiteside,65,61
3,6:51.0,,Shooting foul by A. Wiggins (drawn by D. Wade),65,61
3,6:51.0,,Miami full timeout,65,61
3,6:51.0,,D. Wade makes free throw 1 of 2,65,62
3,6:51.0,,D. Wade misses free throw 2 of 2,65,62
3,6:48.0,,Offensive rebound by Team,65,62
3,6:39.0,,D. Jones misses 3-pt jump shot from 25 ft,65,62
3,6:37.0,,Offensive rebound by H. Whiteside,65,62
3,6:34.0,,H. Whiteside makes 2-pt layup from 2 ft,65,64
3,6:11.0,R. Covington makes 2-pt jump shot from 10 ft,,67,64
3,5:51.0,,H. Whiteside misses 2-pt hook shot from 8 ft,67,64
3,5:48.0,Defensive rebound by T. Gibson,,67,64
3,5:40.0,K. Towns makes 2-pt jump shot from 14 ft,,69,64
3,5:40.0,Shooting foul by D. Jones (drawn by K. Towns),,69,64
3,5:40.0,K. Towns makes free throw 1 of 1,,70,64
3,5:29.0,,D. Wade misses 2-pt jump shot from 11 ft,70,64
3,5:24.0,,Offensive rebound by D. Jones,70,64
3,5:24.0,,D. Jones makes 2-pt layup from 1 ft,70,66
3,5:00.0,T. Gibson misses 2-pt layup from 2 ft,,70,66
3,4:51.0,Offensive rebound by K. Towns,,70,66
3,4:51.0,Turnover by Team (shot clock),,70,66
3,4:38.0,,Turnover by D. Wade (bad pass; steal by K. Towns),70,66
3,4:32.0,R. Covington misses 3-pt jump shot from 23 ft,,70,66
3,4:28.0,,Defensive rebound by H. Whiteside,70,66
3,4:23.0,,H. Whiteside makes 2-pt layup from 1 ft,70,68
3,4:07.0,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),,72,68
3,3:55.0,,R. McGruder makes 2-pt layup at rim (assist by D. Wade),72,70
3,3:40.0,T. Gibson makes 2-pt dunk from 2 ft (assist by A. Wiggins),,74,70
3,3:24.0,,R. McGruder misses 3-pt jump shot from 25 ft,74,70
3,3:22.0,,Offensive rebound by J. Richardson,74,70
3,3:17.0,Loose ball foul by K. Towns (drawn by D. Jones),,74,70
3,3:17.0,J. Okogie enters the game for R. Covington,,74,70
3,3:17.0,,B. Adebayo enters the game for D. Jones,74,70
3,3:17.0,,T. Johnson enters the game for R. McGruder,74,70
3,3:17.0,,K. Olynyk enters the game for H. Whiteside,74,70
3,3:08.0,,D. Wade makes 2-pt layup at rim,74,72
3,2:40.0,K. Towns makes 3-pt jump shot from 23 ft (assist by J. Okogie),,77,72
3,2:21.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by K. Olynyk),77,75
3,2:02.0,K. Towns makes 2-pt dunk from 1 ft (assist by T. Gibson),,79,75
3,1:35.0,,D. Wade misses 2-pt jump shot from 15 ft,79,75
3,1:32.0,Defensive rebound by K. Towns,,79,75
3,1:20.0,Shooting foul by K. Olynyk (drawn by T. Gibson),,79,75
3,1:20.0,Minnesota full timeout,,79,75
3,1:20.0,G. Dieng enters the game for K. Towns,,79,75
3,1:20.0,T. Gibson makes free throw 1 of 2,,80,75
3,1:20.0,T. Gibson makes free throw 2 of 2,,81,75
3,1:09.0,,Turnover by D. Wade (lost ball; steal by T. Jones),81,75
3,1:04.0,T. Jones makes 2-pt jump shot from 5 ft,,83,75
3,0:43.0,,J. Richardson misses 2-pt jump shot from 17 ft,83,75
3,0:41.0,,Offensive rebound by Team,83,75
3,0:41.0,D. Šarić enters the game for T. Gibson,,83,75
3,0:39.0,,T. Johnson misses 2-pt jump shot from 12 ft,83,75
3,0:37.0,Defensive rebound by J. Okogie,,83,75
3,0:35.0,Shooting foul by J. Richardson (drawn by J. Okogie),,83,75
3,0:35.0,J. Okogie makes free throw 1 of 2,,84,75
3,0:35.0,J. Okogie makes free throw 2 of 2,,85,75
3,0:27.0,,D. Wade makes 2-pt layup from 1 ft,85,77
3,0:06.0,G. Dieng misses 2-pt jump shot from 18 ft,,85,77
3,0:03.0,Offensive rebound by A. Wiggins,,85,77
3,0:01.0,A. Wiggins misses 2-pt jump shot from 5 ft,,85,77
3,0:01.0,Offensive rebound by G. Dieng,,85,77
3,0:01.0,Shooting foul by K. Olynyk (drawn by G. Dieng),,85,77
3,0:01.0,G. Dieng makes free throw 1 of 2,,86,77
3,0:01.0,G. Dieng misses free throw 2 of 2,,86,77
3,0:01.0,,Defensive rebound by B. Adebayo,86,77
4,11:50.0,,T. Johnson makes 2-pt dunk from 1 ft (assist by D. Wade),86,79
4,11:27.0,J. Okogie misses 2-pt jump shot from 8 ft,,86,79
4,11:27.0,,Defensive rebound by Team,86,79
4,11:15.0,,K. Olynyk misses 3-pt jump shot from 23 ft,86,79
4,11:12.0,Defensive rebound by J. Okogie,,86,79
4,10:52.0,D. Šarić misses 2-pt jump shot from 18 ft,,86,79
4,10:49.0,,Defensive rebound by K. Olynyk,86,79
4,10:49.0,,Turnover by K. Olynyk (out of bounds lost ball),86,79
4,10:49.0,R. Covington enters the game for A. Wiggins,,86,79
4,10:44.0,D. Šarić makes 2-pt layup from 1 ft (assist by J. Okogie),,88,79
4,10:32.0,,J. Winslow misses 2-pt layup from 8 ft,88,79
4,10:30.0,Defensive rebound by J. Okogie,,88,79
4,10:25.0,J. Okogie misses 2-pt layup from 2 ft,,88,79
4,10:23.0,,Defensive rebound by K. Olynyk,88,79
4,10:20.0,,J. Winslow misses 3-pt jump shot from 23 ft,88,79
4,10:15.0,Defensive rebound by J. Okogie,,88,79
4,10:12.0,Shooting foul by T. Johnson (drawn by J. Okogie),,88,79
4,10:12.0,J. Okogie makes free throw 1 of 2,,89,79
4,10:12.0,J. Okogie makes free throw 2 of 2,,90,79
4,10:02.0,,D. Wade makes 2-pt layup from 2 ft,90,81
4,10:02.0,,Shooting foul by G. Dieng (drawn by D. Wade),90,81
4,10:02.0,,D. Wade makes free throw 1 of 1,90,82
4,9:47.0,D. Šarić misses 3-pt jump shot from 26 ft,,90,82
4,9:43.0,,Defensive rebound by D. Wade,90,82
4,9:34.0,,D. Wade misses 2-pt jump shot from 12 ft,90,82
4,9:30.0,Defensive rebound by J. Bayless,,90,82
4,9:19.0,J. Okogie misses 3-pt jump shot from 26 ft,,90,82
4,9:17.0,,Defensive rebound by J. Winslow,90,82
4,9:08.0,,K. Olynyk makes 3-pt jump shot from 27 ft (assist by T. Johnson),90,85
4,8:59.0,Minnesota full timeout,,90,85
4,8:59.0,K. Towns enters the game for G. Dieng,,90,85
4,8:51.0,K. Towns misses 3-pt jump shot from 24 ft,,90,85
4,8:50.0,Offensive rebound by Team,,90,85
4,8:39.0,D. Šarić misses 2-pt hook shot from 7 ft,,90,85
