QUARTER,TIME_REMAINING,UTAH_ACTION,NEW YORK_ACTION,UTAH_SCORE,NEW YORK_SCORE
1,0:05.0,,M. Hezonja makes 2-pt layup from 6 ft,39,25
1,0:00.0,K. Korver misses 3-pt jump shot from 25 ft,,39,25
1,0:00.0,Offensive rebound by Team,,39,25
2,12:00.0,,Turnover by L. Thomas (bad pass),39,25
2,11:50.0,K. Korver misses 3-pt jump shot from 26 ft,,39,25
2,11:48.0,,Defensive rebound by K. Knox,39,25
2,11:48.0,,Turnover by M. Hezonja (out of bounds lost ball),39,25
2,11:28.0,J. Ingles misses 3-pt jump shot from 25 ft (block by M. Robinson),,39,25
2,11:26.0,,Defensive rebound by K. Knox,39,25
2,11:09.0,,M. Hezonja misses 2-pt layup from 1 ft,39,25
2,11:07.0,Defensive rebound by J. Ingles,,39,25
2,10:58.0,R. Neto makes 3-pt jump shot from 23 ft (assist by J. Ingles),,42,25
2,10:43.0,,J. Jenkins misses 3-pt jump shot from 26 ft,42,25
2,10:38.0,Defensive rebound by D. Favors,,42,25
2,10:34.0,Personal foul by M. Robinson (drawn by D. Favors),,42,25
2,10:34.0,,E. Mudiay enters the game for J. Jenkins,42,25
2,10:31.0,Turnover by J. Ingles (traveling),,42,25
2,10:18.0,,K. Knox makes 2-pt layup from 8 ft (assist by E. Mudiay),42,27
2,10:09.0,Personal foul by E. Mudiay (drawn by D. Favors),,42,27
2,10:09.0,T. Sefolosha enters the game for J. Crowder,,42,27
2,9:54.0,R. Neto makes 2-pt jump shot from 15 ft,,44,27
2,9:42.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by M. Hezonja),44,29
2,9:20.0,K. Korver makes 3-pt jump shot from 26 ft (assist by J. Ingles),,47,29
2,8:59.0,,M. Hezonja misses 2-pt jump shot from 21 ft,47,29
2,8:57.0,Defensive rebound by D. Favors,,47,29
2,8:48.0,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Neto),,50,29
2,8:48.0,,New York full timeout,50,29
2,8:48.0,,D. Dotson enters the game for M. Hezonja,50,29
2,8:38.0,,Shooting foul by K. Korver (drawn by K. Knox),50,29
2,8:38.0,,K. Knox misses free throw 1 of 2,50,29
2,8:38.0,,Offensive rebound by Team,50,29
2,8:38.0,,K. Knox makes free throw 2 of 2,50,30
2,8:18.0,K. Korver makes 3-pt jump shot from 25 ft (assist by R. Neto),,53,30
2,7:57.0,,L. Thomas misses 3-pt jump shot from 23 ft,53,30
2,7:55.0,Defensive rebound by D. Favors,,53,30
2,7:39.0,R. Neto makes 2-pt jump shot from 8 ft,,55,30
2,7:20.0,,K. Knox misses 2-pt layup from 2 ft (block by D. Favors),55,30
2,7:18.0,,Offensive rebound by M. Robinson,55,30
2,7:17.0,,M. Robinson makes 2-pt layup at rim,55,32
2,6:59.0,D. Favors makes 2-pt layup from 1 ft (assist by R. Neto),,57,32
2,6:59.0,Shooting foul by D. Dotson (drawn by D. Favors),,57,32
2,6:59.0,D. Mitchell enters the game for J. Ingles,,57,32
2,6:59.0,R. O'Neale enters the game for R. Neto,,57,32
2,6:59.0,,H. Ellenson enters the game for L. Thomas,57,32
2,6:59.0,D. Favors misses free throw 1 of 1,,57,32
2,6:57.0,,Defensive rebound by H. Ellenson,57,32
2,6:46.0,,E. Mudiay misses 2-pt layup from 1 ft,57,32
2,6:44.0,Defensive rebound by D. Mitchell,,57,32
2,6:36.0,Turnover by D. Mitchell (bad pass; steal by D. Dotson),,57,32
2,6:33.0,,E. Mudiay makes 2-pt dunk from 1 ft (assist by D. Dotson),57,34
2,6:14.0,T. Sefolosha misses 3-pt jump shot from 22 ft,,57,34
2,6:12.0,,Defensive rebound by D. Dotson,57,34
2,6:03.0,,K. Knox makes 2-pt jump shot from 9 ft,57,36
2,6:02.0,Utah full timeout,,57,36
2,6:02.0,R. Gobert enters the game for D. Favors,,57,36
2,6:02.0,R. Rubio enters the game for K. Korver,,57,36
2,5:51.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. O'Neale),,59,36
2,5:35.0,,E. Mudiay misses 3-pt jump shot from 26 ft,59,36
2,5:33.0,Defensive rebound by R. O'Neale,,59,36
2,5:27.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. O'Neale),,62,36
2,5:11.0,,D. Dotson misses 3-pt jump shot from 25 ft,62,36
2,5:09.0,Defensive rebound by R. O'Neale,,62,36
2,4:48.0,T. Sefolosha misses 3-pt jump shot from 25 ft,,62,36
2,4:46.0,,Defensive rebound by K. Knox,62,36
2,4:21.0,,K. Knox misses 3-pt jump shot from 26 ft,62,36
2,4:19.0,Defensive rebound by R. Rubio,,62,36
2,4:15.0,Shooting foul by M. Robinson (drawn by D. Mitchell),,62,36
2,4:15.0,,D. Jordan enters the game for M. Robinson,62,36
2,4:15.0,D. Mitchell makes free throw 1 of 2,,63,36
2,4:15.0,D. Mitchell misses free throw 2 of 2,,63,36
2,4:13.0,,Defensive rebound by E. Mudiay,63,36
2,4:07.0,,E. Mudiay makes 2-pt layup from 1 ft,63,38
2,3:58.0,D. Mitchell makes 3-pt jump shot from 22 ft (assist by T. Sefolosha),,66,38
2,3:30.0,,E. Mudiay misses 2-pt jump shot from 17 ft,66,38
2,3:28.0,Defensive rebound by R. O'Neale,,66,38
2,3:23.0,D. Mitchell misses 3-pt jump shot from 27 ft,,66,38
2,3:21.0,,Defensive rebound by H. Ellenson,66,38
2,3:11.0,,D. Dotson makes 2-pt jump shot from 20 ft,66,40
2,3:10.0,Utah full timeout,,66,40
2,3:10.0,J. Crowder enters the game for T. Sefolosha,,66,40
2,3:10.0,,M. Hezonja enters the game for H. Ellenson,66,40
2,2:47.0,R. O'Neale misses 2-pt jump shot from 20 ft,,66,40
2,2:45.0,Offensive rebound by R. Gobert,,66,40
2,2:45.0,R. Gobert makes 2-pt dunk from 1 ft,,68,40
2,2:28.0,,D. Dotson makes 3-pt jump shot from 24 ft (assist by K. Knox),68,43
2,2:12.0,D. Mitchell misses 2-pt layup from 6 ft,,68,43
2,2:10.0,Offensive rebound by R. Gobert,,68,43
2,2:10.0,R. Gobert makes 2-pt dunk from 1 ft,,70,43
2,1:57.0,,D. Dotson misses 3-pt jump shot from 26 ft,70,43
2,1:55.0,Defensive rebound by R. Rubio,,70,43
2,1:50.0,Shooting foul by M. Hezonja (drawn by R. Rubio),,70,43
2,1:50.0,J. Ingles enters the game for R. O'Neale,,70,43
2,1:50.0,R. Rubio makes free throw 1 of 2,,71,43
2,1:50.0,R. Rubio makes free throw 2 of 2,,72,43
2,1:33.0,,E. Mudiay misses 2-pt jump shot from 10 ft,72,43
2,1:31.0,,Offensive rebound by D. Jordan,72,43
2,1:29.0,,D. Jordan makes 2-pt hook shot from 7 ft,72,45
2,1:04.0,J. Crowder makes 2-pt jump shot from 21 ft (assist by J. Ingles),,74,45
2,0:43.0,,Turnover by D. Jordan (bad pass; steal by R. Rubio),74,45
2,0:40.0,Offensive foul by R. Gobert (drawn by M. Hezonja),,74,45
2,0:40.0,Turnover by R. Gobert (offensive foul),,74,45
2,0:23.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by E. Mudiay),74,47
2,0:03.0,D. Mitchell misses 3-pt jump shot from 26 ft,,74,47
2,0:00.0,,Defensive rebound by M. Hezonja,74,47
3,11:41.0,,Shooting foul by D. Mitchell (drawn by D. Dotson),74,47
3,11:41.0,,D. Dotson misses free throw 1 of 3,74,47
3,11:41.0,,Offensive rebound by Team,74,47
3,11:41.0,,D. Dotson makes free throw 2 of 3,74,48
3,11:41.0,,D. Dotson misses free throw 3 of 3,74,48
3,11:39.0,Defensive rebound by R. Gobert,,74,48
3,11:24.0,Personal foul by M. Hezonja (drawn by D. Favors),,74,48
3,11:16.0,J. Ingles makes 3-pt jump shot from 26 ft (assist by R. Rubio),,77,48
3,10:53.0,,K. Knox makes 2-pt hook shot from 8 ft,77,50
3,10:42.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,79,50
3,10:32.0,,E. Mudiay misses 3-pt jump shot from 23 ft,79,50
3,10:30.0,Defensive rebound by J. Ingles,,79,50
3,10:16.0,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Favors),,81,50
3,10:04.0,,New York full timeout,81,50
3,9:59.0,,Turnover by D. Dotson (back court),81,50
3,9:55.0,Turnover by D. Mitchell (bad pass),,81,50
3,9:40.0,,M. Hezonja makes 2-pt layup from 1 ft,81,52
3,9:40.0,,Shooting foul by D. Favors (drawn by M. Hezonja),81,52
3,9:40.0,,M. Hezonja makes free throw 1 of 1,81,53
3,9:25.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Rubio),,84,53
3,9:11.0,,M. Hezonja makes 2-pt layup from 1 ft (assist by D. Jordan),84,55
3,8:57.0,Shooting foul by D. Jordan (drawn by R. Gobert),,84,55
3,8:57.0,R. Gobert makes free throw 1 of 2,,85,55
3,8:57.0,R. Gobert makes free throw 2 of 2,,86,55
3,8:41.0,,E. Mudiay makes 2-pt jump shot from 11 ft,86,57
3,8:25.0,Shooting foul by K. Knox (drawn by R. Rubio),,86,57
3,8:25.0,R. Rubio makes free throw 1 of 2,,87,57
3,8:25.0,R. Rubio makes free throw 2 of 2,,88,57
3,8:10.0,,Shooting foul by D. Favors (drawn by M. Hezonja),88,57
3,8:10.0,,M. Hezonja makes free throw 1 of 2,88,58
3,8:10.0,,M. Hezonja makes free throw 2 of 2,88,59
3,7:55.0,D. Mitchell makes 3-pt jump shot from 24 ft (assist by R. Gobert),,91,59
3,7:41.0,,K. Knox misses 2-pt layup from 2 ft,91,59
3,7:39.0,Defensive rebound by J. Ingles,,91,59
3,7:33.0,D. Favors makes 2-pt dunk from 1 ft (assist by R. Rubio),,93,59
3,7:17.0,,Turnover by D. Jordan (bad pass; steal by R. Gobert),93,59
3,7:15.0,Personal foul by D. Dotson (drawn by J. Ingles),,93,59
3,7:15.0,J. Crowder enters the game for D. Favors,,93,59
3,7:15.0,R. O'Neale enters the game for J. Ingles,,93,59
3,7:09.0,Shooting foul by D. Jordan (drawn by R. Rubio),,93,59
3,7:09.0,R. Rubio makes free throw 1 of 2,,94,59
3,7:09.0,R. Rubio makes free throw 2 of 2,,95,59
3,6:57.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by D. Jordan),95,62
3,6:35.0,Shooting foul by D. Dotson (drawn by R. Rubio),,95,62
3,6:35.0,R. Rubio makes free throw 1 of 2,,96,62
3,6:35.0,,L. Kornet enters the game for D. Dotson,96,62
3,6:35.0,,M. Robinson enters the game for D. Jordan,96,62
3,6:35.0,R. Rubio makes free throw 2 of 2,,97,62
3,6:24.0,,E. Mudiay misses 2-pt jump shot from 18 ft,97,62
3,6:22.0,Defensive rebound by R. Gobert,,97,62
3,6:12.0,Turnover by R. Gobert (palming),,97,62
3,5:58.0,,M. Hezonja misses 3-pt jump shot from 23 ft,97,62
3,5:56.0,,Offensive rebound by M. Robinson,97,62
3,5:55.0,,Shooting foul by R. Gobert (drawn by M. Robinson),97,62
3,5:55.0,,M. Robinson makes free throw 1 of 2,97,63
3,5:55.0,,M. Robinson misses free throw 2 of 2,97,63
3,5:53.0,Defensive rebound by J. Crowder,,97,63
3,5:42.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. Rubio),,100,63
3,5:21.0,,E. Mudiay makes 2-pt jump shot from 9 ft,100,65
3,5:13.0,Shooting foul by M. Hezonja (drawn by R. Rubio),,100,65
3,5:13.0,R. Rubio makes free throw 1 of 2,,101,65
3,5:13.0,R. Rubio makes free throw 2 of 2,,102,65
3,4:58.0,,K. Knox makes 2-pt layup from 3 ft,102,67
3,4:46.0,D. Mitchell misses 2-pt layup from 1 ft,,102,67
3,4:45.0,Offensive rebound by R. Gobert,,102,67
3,4:45.0,Shooting foul by M. Robinson (drawn by R. Gobert),,102,67
3,4:45.0,K. Korver enters the game for R. Rubio,,102,67
3,4:45.0,R. Gobert makes free throw 1 of 2,,103,67
3,4:45.0,R. Gobert makes free throw 2 of 2,,104,67
3,4:28.0,,E. Mudiay makes 2-pt layup from 1 ft,104,69
3,4:05.0,D. Mitchell misses 2-pt layup at rim,,104,69
3,4:03.0,,Defensive rebound by K. Knox,104,69
3,3:50.0,,K. Knox makes 2-pt jump shot from 12 ft,104,71
3,3:38.0,Utah full timeout,,104,71
3,3:27.0,J. Crowder misses 3-pt jump shot from 25 ft,,104,71
3,3:25.0,,Defensive rebound by K. Knox,104,71
3,3:19.0,,M. Hezonja makes 3-pt jump shot from 26 ft,104,74
3,3:04.0,D. Mitchell makes 2-pt layup from 1 ft,,106,74
3,3:04.0,,Violation by Team (def goaltending),106,74
3,2:52.0,,Offensive foul by M. Hezonja (drawn by J. Crowder),106,74
3,2:52.0,,Turnover by M. Hezonja (offensive foul),106,74
3,2:41.0,J. Crowder makes 2-pt layup from 1 ft (assist by D. Mitchell),,108,74
3,2:28.0,,Turnover by M. Hezonja (out of bounds lost ball),108,74
3,2:28.0,,H. Ellenson enters the game for M. Hezonja,108,74
3,2:16.0,Turnover by D. Mitchell (bad pass; steal by M. Robinson),,108,74
3,2:16.0,D. Favors enters the game for R. Gobert,,108,74
3,2:02.0,,Personal foul by R. O'Neale (drawn by K. Knox),108,74
3,2:02.0,,K. Knox makes free throw 1 of 2,108,75
3,2:02.0,,K. Knox makes free throw 2 of 2,108,76
3,1:51.0,J. Crowder misses 3-pt jump shot from 25 ft,,108,76
3,1:49.0,,Defensive rebound by L. Kornet,108,76
3,1:46.0,,E. Mudiay makes 2-pt layup at rim,108,78
3,1:46.0,,Shooting foul by D. Mitchell (drawn by E. Mudiay),108,78
3,1:46.0,,E. Mudiay makes free throw 1 of 1,108,79
3,1:25.0,D. Mitchell makes 3-pt jump shot from 26 ft,,111,79
3,1:09.0,,K. Knox misses 3-pt jump shot from 27 ft,111,79
3,1:08.0,,Offensive rebound by Team,111,79
3,1:08.0,Loose ball foul by D. Mitchell (drawn by M. Robinson),,111,79
3,1:08.0,,M. Robinson misses free throw 1 of 2,111,79
3,1:08.0,,Offensive rebound by Team,111,79
3,1:08.0,,M. Robinson misses free throw 2 of 2,111,79
3,1:06.0,Defensive rebound by D. Mitchell,,111,79
3,0:53.0,K. Korver misses 3-pt jump shot from 24 ft (block by M. Robinson),,111,79
3,0:51.0,,Defensive rebound by M. Robinson,111,79
3,0:50.0,,M. Robinson misses 2-pt dunk from 2 ft,111,79
3,0:49.0,,Offensive rebound by H. Ellenson,111,79
3,0:46.0,,H. Ellenson misses 2-pt layup from 1 ft,111,79
3,0:43.0,Defensive rebound by R. O'Neale,,111,79
3,0:24.0,D. Mitchell misses 3-pt jump shot from 23 ft,,111,79
3,0:22.0,,Defensive rebound by L. Kornet,111,79
3,0:03.0,,E. Mudiay misses 2-pt jump shot from 14 ft,111,79
3,0:01.0,Defensive rebound by Team,,111,79
4,11:43.0,J. Crowder misses 3-pt jump shot from 24 ft,,111,79
4,11:41.0,,Defensive rebound by H. Ellenson,111,79
4,11:32.0,,L. Kornet misses 3-pt jump shot from 25 ft,111,79
4,11:30.0,Defensive rebound by Team,,111,79
4,11:14.0,K. Korver misses 2-pt hook shot from 10 ft,,111,79
4,11:13.0,,Defensive rebound by L. Kornet,111,79
4,11:01.0,,M. Robinson makes 2-pt layup from 1 ft (assist by K. Knox),111,81
4,10:45.0,Turnover by J. Ingles (bad pass; steal by L. Kornet),,111,81
4,10:41.0,,H. Ellenson makes 2-pt layup at rim,111,83
4,10:41.0,,Shooting foul by K. Korver (drawn by H. Ellenson),111,83
4,10:41.0,,H. Ellenson misses free throw 1 of 1,111,83
4,10:39.0,,Offensive rebound by L. Kornet,111,83
4,10:31.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by H. Ellenson),111,86
4,10:08.0,R. Neto misses 2-pt layup from 5 ft,,111,86
4,10:07.0,,Defensive rebound by H. Ellenson,111,86
4,9:50.0,,Shooting foul by D. Favors (drawn by K. Knox),111,86
4,9:50.0,Utah full timeout,,111,86
4,9:50.0,,K. Knox misses free throw 1 of 2,111,86
4,9:50.0,,Offensive rebound by Team,111,86
4,9:50.0,,K. Knox makes free throw 2 of 2,111,87
4,9:33.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by J. Ingles),,114,87
4,9:18.0,,H. Ellenson misses 3-pt jump shot from 24 ft,114,87
4,9:16.0,Defensive rebound by J. Crowder,,114,87
4,9:07.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by K. Korver),,117,87
4,8:50.0,,M. Robinson misses 2-pt dunk from 1 ft,117,87
4,8:48.0,Defensive rebound by J. Ingles,,117,87
4,8:44.0,J. Ingles misses 3-pt jump shot from 25 ft,,117,87
4,8:42.0,,Defensive rebound by H. Ellenson,117,87
4,8:26.0,,Turnover by D. Dotson (lost ball; steal by J. Crowder),117,87
4,8:23.0,J. Crowder misses 2-pt layup from 1 ft (block by K. Knox),,117,87
4,8:21.0,,Defensive rebound by H. Ellenson,117,87
4,8:16.0,,M. Robinson makes 2-pt dunk at rim (assist by H. Ellenson),117,89
4,7:59.0,D. Favors makes 2-pt dunk from 2 ft (assist by J. Ingles),,119,89
4,7:48.0,,Personal foul by R. Neto (drawn by D. Dotson),119,89
4,7:48.0,G. Allen enters the game for J. Crowder,,119,89
4,7:48.0,R. O'Neale enters the game for J. Ingles,,119,89
4,7:48.0,R. Rubio enters the game for K. Korver,,119,89
4,7:48.0,T. Sefolosha enters the game for R. Neto,,119,89
4,7:39.0,,L. Kornet misses 2-pt layup from 2 ft (block by D. Favors),119,89
4,7:37.0,Defensive rebound by R. O'Neale,,119,89
4,7:23.0,R. Rubio misses 2-pt jump shot from 20 ft,,119,89
4,7:22.0,,Defensive rebound by K. Knox,119,89
4,7:19.0,,Personal foul by G. Allen (drawn by H. Ellenson),119,89
4,7:19.0,G. Niang enters the game for D. Favors,,119,89
4,7:19.0,E. Udoh enters the game for R. Rubio,,119,89
4,7:19.0,,E. Mudiay enters the game for L. Kornet,119,89
4,7:13.0,,K. Knox misses 2-pt jump shot from 4 ft,119,89
4,7:11.0,Defensive rebound by T. Sefolosha,,119,89
4,6:57.0,G. Niang misses 2-pt layup from 2 ft (block by M. Robinson),,119,89
4,6:55.0,,Defensive rebound by M. Robinson,119,89
4,6:47.0,,H. Ellenson misses 2-pt layup from 1 ft (block by T. Sefolosha),119,89
4,6:45.0,Defensive rebound by E. Udoh,,119,89
4,6:36.0,Turnover by G. Allen (bad pass; steal by E. Mudiay),,119,89
4,6:32.0,,K. Knox misses 2-pt dunk at rim,119,89
4,6:30.0,Defensive rebound by E. Udoh,,119,89
4,6:22.0,R. O'Neale makes 3-pt jump shot from 26 ft (assist by T. Sefolosha),,122,89
4,6:13.0,,New York full timeout,122,89
4,6:04.0,,K. Knox makes 2-pt dunk from 1 ft,122,91
4,5:45.0,E. Udoh misses 2-pt hook shot from 3 ft,,122,91
4,5:43.0,,Defensive rebound by M. Robinson,122,91
4,5:39.0,,Personal foul by G. Allen (drawn by D. Dotson),122,91
4,5:39.0,,D. Dotson makes free throw 1 of 2,122,92
4,5:39.0,,J. Jenkins enters the game for E. Mudiay,122,92
4,5:39.0,,D. Dotson makes free throw 2 of 2,122,93
4,5:27.0,G. Niang misses 2-pt hook shot from 8 ft,,122,93
4,5:25.0,,Defensive rebound by M. Robinson,122,93
4,5:14.0,,M. Robinson makes 2-pt dunk at rim (assist by D. Dotson),122,95
4,4:50.0,Shooting foul by H. Ellenson (drawn by G. Allen),,122,95
4,4:50.0,Offensive rebound by Team,,122,95
4,4:50.0,G. Allen misses free throw 1 of 2,,122,95
4,4:50.0,R. Neto enters the game for R. O'Neale,,122,95
4,4:50.0,G. Allen makes free throw 2 of 2,,123,95
4,4:36.0,,D. Dotson misses 3-pt jump shot from 28 ft,123,95
4,4:34.0,,Offensive rebound by M. Robinson,123,95
4,4:27.0,,H. Ellenson makes 2-pt layup from 5 ft (assist by M. Robinson),123,97
4,4:14.0,G. Niang misses 2-pt layup from 1 ft (block by D. Dotson),,123,97
4,4:12.0,,Defensive rebound by H. Ellenson,123,97
4,4:07.0,,K. Knox makes 3-pt jump shot from 27 ft (assist by H. Ellenson),123,100
4,3:52.0,G. Allen makes 2-pt jump shot from 19 ft (assist by R. Neto),,125,100
4,3:30.0,,H. Ellenson makes 3-pt jump shot from 25 ft (assist by D. Dotson),125,103
4,3:14.0,E. Udoh makes 2-pt hook shot from 3 ft (assist by G. Niang),,127,103
4,3:14.0,Shooting foul by M. Robinson (drawn by E. Udoh),,127,103
4,3:14.0,E. Udoh makes free throw 1 of 1,,128,103
4,3:01.0,,D. Dotson misses 3-pt jump shot from 28 ft,128,103
4,2:59.0,Defensive rebound by E. Udoh,,128,103
4,2:54.0,G. Niang misses 3-pt jump shot from 27 ft,,128,103
4,2:52.0,Offensive rebound by G. Niang,,128,103
4,2:48.0,G. Allen makes 3-pt jump shot from 25 ft (assist by T. Sefolosha),,131,103
4,2:28.0,,D. Dotson makes 2-pt jump shot from 22 ft (assist by K. Knox),131,105
4,2:15.0,G. Allen misses 2-pt jump shot from 21 ft,,131,105
