QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ATLANTA_ACTION,OKLAHOMA CITY_SCORE,ATLANTA_SCORE
3,7:12.0,Defensive rebound by T. Ferguson,,76,80
3,7:08.0,P. George misses 3-pt jump shot from 26 ft,,76,80
3,7:05.0,,Defensive rebound by T. Young,76,80
3,6:50.0,,J. Collins makes 2-pt jump shot from 3 ft (assist by K. Huerter),76,82
3,6:24.0,Turnover by S. Adams (lost ball; steal by A. Len),,76,82
3,6:18.0,,T. Young misses 3-pt jump shot from 26 ft,76,82
3,6:15.0,Defensive rebound by R. Westbrook,,76,82
3,6:12.0,T. Ferguson makes 2-pt dunk at rim (assist by R. Westbrook),,78,82
3,6:02.0,,Personal foul by T. Ferguson (drawn by T. Young),78,82
3,6:02.0,,V. Carter enters the game for D. Bembry,78,82
3,6:02.0,,D. Hamilton enters the game for J. Collins,78,82
3,5:57.0,,Turnover by T. Young (bad pass; steal by J. Grant),78,82
3,5:54.0,Personal foul by K. Huerter (drawn by R. Westbrook),,78,82
3,5:54.0,D. Schröder enters the game for T. Ferguson,,78,82
3,5:44.0,R. Westbrook misses 2-pt jump shot from 13 ft,,78,82
3,5:41.0,,Defensive rebound by A. Len,78,82
3,5:29.0,,K. Huerter makes 3-pt jump shot from 26 ft (assist by T. Young),78,85
3,5:09.0,P. George misses 3-pt jump shot from 26 ft,,78,85
3,5:09.0,,Defensive rebound by Team,78,85
3,4:59.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),78,87
3,4:36.0,D. Schröder makes 3-pt jump shot from 25 ft,,81,87
3,4:23.0,,Turnover by T. Young (bad pass; steal by R. Westbrook),81,87
3,4:21.0,Shooting foul by V. Carter (drawn by P. George),,81,87
3,4:21.0,P. George makes free throw 1 of 2,,82,87
3,4:21.0,,J. Adams enters the game for K. Huerter,82,87
3,4:21.0,,T. Prince enters the game for T. Young,82,87
3,4:21.0,P. George makes free throw 2 of 2,,83,87
3,4:05.0,,V. Carter misses 3-pt jump shot from 25 ft (block by J. Grant),83,87
3,4:03.0,Defensive rebound by R. Westbrook,,83,87
3,4:00.0,Shooting foul by J. Adams (drawn by R. Westbrook),,83,87
3,4:00.0,R. Westbrook makes free throw 1 of 2,,84,87
3,4:00.0,R. Westbrook makes free throw 2 of 2,,85,87
3,3:46.0,,J. Adams misses 2-pt jump shot from 23 ft,85,87
3,3:43.0,Defensive rebound by J. Grant,,85,87
3,3:39.0,R. Westbrook makes 2-pt jump shot from 17 ft,,87,87
3,3:37.0,,Atlanta full timeout,87,87
3,3:37.0,,D. Bembry enters the game for D. Hamilton,87,87
3,3:25.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by A. Len),87,90
3,3:08.0,R. Westbrook makes 2-pt layup from 1 ft,,89,90
3,2:43.0,,A. Len misses 3-pt jump shot from 25 ft,89,90
3,2:41.0,Defensive rebound by D. Schröder,,89,90
3,2:36.0,D. Schröder makes 2-pt jump shot from 19 ft,,91,90
3,2:14.0,,Turnover by V. Carter (bad pass; steal by P. George),91,90
3,2:10.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by P. George),,94,90
3,2:09.0,,Atlanta full timeout,94,90
3,2:09.0,A. Nader enters the game for R. Westbrook,,94,90
3,1:49.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by D. Bembry),94,93
3,1:25.0,J. Grant misses 3-pt jump shot from 24 ft,,94,93
3,1:21.0,,Defensive rebound by D. Bembry,94,93
3,1:14.0,,D. Bembry makes 2-pt layup from 1 ft,94,95
3,0:56.0,Shooting foul by J. Adams (drawn by D. Schröder),,94,95
3,0:56.0,D. Schröder makes free throw 1 of 2,,95,95
3,0:56.0,D. Schröder makes free throw 2 of 2,,96,95
3,0:33.0,,D. Bembry misses 3-pt jump shot from 25 ft,96,95
3,0:30.0,Defensive rebound by P. George,,96,95
3,0:27.0,Personal foul by V. Carter (drawn by P. George),,96,95
3,0:27.0,D. Schröder makes free throw 1 of 2,,97,95
3,0:27.0,D. Schröder makes free throw 2 of 2,,98,95
3,0:13.0,,V. Carter makes 2-pt layup from 1 ft,98,97
3,0:05.0,Shooting foul by J. Adams (drawn by D. Schröder),,98,97
3,0:05.0,D. Schröder makes free throw 1 of 2,,99,97
3,0:05.0,,T. Young enters the game for A. Len,99,97
3,0:05.0,D. Schröder makes free throw 2 of 2,,100,97
3,0:00.0,,V. Carter misses 3-pt jump shot from 26 ft,100,97
3,0:00.0,,Offensive rebound by Team,100,97
4,11:49.0,D. Schröder misses 3-pt jump shot from 25 ft,,100,97
4,11:45.0,,Defensive rebound by D. Bembry,100,97
4,11:34.0,,T. Young makes 3-pt jump shot from 26 ft,100,100
4,11:13.0,D. Schröder misses 2-pt jump shot from 17 ft,,100,100
4,11:10.0,Offensive rebound by P. Patterson,,100,100
4,11:08.0,A. Nader misses 3-pt jump shot from 25 ft,,100,100
4,11:03.0,Offensive rebound by P. Patterson,,100,100
4,10:59.0,D. Schröder makes 2-pt layup from 1 ft (assist by P. Patterson),,102,100
4,10:38.0,,D. Bembry makes 2-pt layup from 1 ft (assist by K. Huerter),102,102
4,10:26.0,P. Patterson makes 2-pt hook shot from 11 ft (assist by D. Schröder),,104,102
4,10:14.0,,T. Young makes 2-pt jump shot from 9 ft,104,104
4,10:14.0,,Shooting foul by D. Schröder (drawn by T. Young),104,104
4,10:14.0,,T. Young makes free throw 1 of 1,104,105
4,10:00.0,D. Schröder misses 2-pt layup from 7 ft,,104,105
4,9:58.0,Offensive rebound by P. Patterson,,104,105
4,9:57.0,P. Patterson misses 2-pt layup from 2 ft (block by O. Spellman),,104,105
4,9:57.0,,Defensive rebound by D. Bembry,104,105
4,9:51.0,,J. Collins makes 2-pt layup from 1 ft (assist by D. Bembry),104,107
4,9:51.0,,Shooting foul by A. Nader (drawn by J. Collins),104,107
4,9:51.0,Oklahoma City full timeout,,104,107
4,9:51.0,R. Westbrook enters the game for D. Schröder,,104,107
4,9:51.0,,J. Collins makes free throw 1 of 1,104,108
4,9:39.0,H. Diallo misses 2-pt jump shot from 15 ft,,104,108
4,9:36.0,Offensive rebound by P. Patterson,,104,108
4,9:28.0,T. Ferguson misses 3-pt jump shot from 25 ft,,104,108
4,9:25.0,,Defensive rebound by J. Collins,104,108
4,9:18.0,,T. Young misses 3-pt jump shot from 28 ft,104,108
4,9:15.0,Defensive rebound by A. Nader,,104,108
4,9:10.0,R. Westbrook makes 2-pt jump shot from 20 ft,,106,108
4,8:59.0,,O. Spellman makes 3-pt jump shot from 25 ft (assist by T. Young),106,111
4,8:43.0,H. Diallo misses 2-pt hook shot from 13 ft,,106,111
4,8:42.0,Offensive rebound by R. Westbrook,,106,111
4,8:37.0,Shooting foul by J. Collins (drawn by H. Diallo),,106,111
4,8:37.0,H. Diallo misses free throw 1 of 2,,106,111
4,8:37.0,Offensive rebound by Team,,106,111
4,8:37.0,S. Adams enters the game for P. Patterson,,106,111
4,8:37.0,,D. Hamilton enters the game for K. Huerter,106,111
4,8:37.0,H. Diallo makes free throw 2 of 2,,107,111
4,8:27.0,,T. Young makes 2-pt layup from 2 ft,107,113
4,8:16.0,A. Nader misses 3-pt jump shot from 25 ft,,107,113
4,8:12.0,,Defensive rebound by T. Young,107,113
4,7:56.0,,Personal foul by H. Diallo (drawn by D. Hamilton),107,113
4,7:56.0,J. Grant enters the game for A. Nader,,107,113
4,7:45.0,,J. Collins misses 2-pt layup from 6 ft,107,113
4,7:45.0,,Offensive rebound by J. Collins,107,113
4,7:45.0,,J. Collins misses 2-pt layup at rim,107,113
4,7:43.0,,Offensive rebound by J. Collins,107,113
4,7:43.0,,J. Collins makes 2-pt layup at rim,107,115
4,7:29.0,R. Westbrook misses 3-pt jump shot from 26 ft,,107,115
4,7:29.0,,Defensive rebound by Team,107,115
4,7:29.0,Loose ball foul by S. Adams (drawn by J. Collins),,107,115
4,7:29.0,P. George enters the game for H. Diallo,,107,115
4,7:21.0,,Turnover by D. Hamilton (bad pass),107,115
4,7:14.0,Personal foul by T. Young (drawn by P. George),,107,115
4,7:14.0,,A. Len enters the game for J. Collins,107,115
4,7:08.0,R. Westbrook misses 2-pt layup from 7 ft,,107,115
4,7:05.0,,Defensive rebound by D. Hamilton,107,115
4,7:01.0,,O. Spellman makes 2-pt dunk at rim (assist by D. Bembry),107,117
4,6:43.0,P. George misses 2-pt layup from 7 ft,,107,117
4,6:39.0,,Defensive rebound by T. Young,107,117
4,6:30.0,,A. Len misses 2-pt layup from 2 ft,107,117
4,6:26.0,Defensive rebound by S. Adams,,107,117
4,6:21.0,Shooting foul by D. Hamilton (drawn by R. Westbrook),,107,117
4,6:21.0,R. Westbrook makes free throw 1 of 2,,108,117
4,6:21.0,,J. Adams enters the game for D. Bembry,108,117
4,6:21.0,,K. Huerter enters the game for T. Young,108,117
4,6:21.0,R. Westbrook makes free throw 2 of 2,,109,117
4,6:07.0,,J. Adams makes 2-pt jump shot from 22 ft (assist by O. Spellman),109,119
4,5:45.0,J. Grant misses 3-pt jump shot from 26 ft,,109,119
4,5:41.0,Offensive rebound by P. George,,109,119
4,5:40.0,T. Ferguson misses 3-pt jump shot from 26 ft,,109,119
4,5:37.0,,Defensive rebound by D. Hamilton,109,119
4,5:29.0,,O. Spellman makes 2-pt dunk from 1 ft (assist by D. Hamilton),109,121
4,5:29.0,Oklahoma City full timeout,,109,121
