QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
2,11:46.0,J. Murray misses 2-pt layup from 2 ft,,31,28
2,11:43.0,,Defensive rebound by M. Bamba,31,28
2,11:37.0,,J. Isaac misses 2-pt jump shot from 16 ft,31,28
2,11:33.0,Defensive rebound by J. Murray,,31,28
2,11:26.0,Turnover by M. Morris (bad pass; steal by T. Ross),,31,28
2,11:19.0,,J. Isaac makes 2-pt layup from 1 ft (assist by T. Ross),31,30
2,11:05.0,Turnover by M. Beasley (lost ball; steal by J. Isaac),,31,30
2,10:52.0,,J. Isaac misses 3-pt jump shot from 22 ft,31,30
2,10:49.0,Defensive rebound by M. Morris,,31,30
2,10:29.0,M. Morris makes 2-pt layup from 5 ft,,33,30
2,10:16.0,,T. Ross makes 3-pt jump shot from 27 ft (assist by M. Bamba),33,33
2,9:55.0,M. Beasley misses 3-pt jump shot from 26 ft,,33,33
2,9:51.0,,Defensive rebound by M. Bamba,33,33
2,9:46.0,,T. Ross misses 3-pt jump shot from 30 ft,33,33
2,9:41.0,Defensive rebound by M. Plumlee,,33,33
2,9:31.0,T. Lyles makes 2-pt dunk from 2 ft (assist by M. Plumlee),,35,33
2,9:16.0,,Turnover by E. Fournier (bad pass),35,33
2,9:00.0,T. Lyles misses 2-pt jump shot from 22 ft,,35,33
2,8:57.0,,Defensive rebound by E. Fournier,35,33
2,8:42.0,,J. Isaac makes 2-pt jump shot from 10 ft,35,35
2,8:25.0,T. Lyles misses 3-pt jump shot from 25 ft,,35,35
2,8:22.0,,Defensive rebound by M. Bamba,35,35
2,8:09.0,,M. Bamba makes 3-pt jump shot from 23 ft (assist by E. Fournier),35,38
2,7:51.0,M. Morris makes 2-pt layup from 3 ft (assist by M. Plumlee),,37,38
2,7:34.0,,J. Grant misses 3-pt jump shot from 27 ft,37,38
2,7:31.0,Defensive rebound by M. Plumlee,,37,38
2,7:12.0,M. Plumlee makes 2-pt jump shot from 11 ft,,39,38
2,6:56.0,,M. Bamba makes 3-pt jump shot from 28 ft,39,41
2,6:45.0,Personal foul by E. Fournier (drawn by J. Murray),,39,41
2,6:45.0,,Orlando full timeout,39,41
2,6:45.0,,Technical foul by E. Fournier,39,41
2,6:45.0,N. Jokić enters the game for M. Plumlee,,39,41
2,6:45.0,,A. Gordon enters the game for J. Isaac,39,41
2,6:45.0,J. Murray makes technical free throw,,40,41
2,6:39.0,Personal foul by M. Bamba (drawn by J. Murray),,40,41
2,6:29.0,N. Jokić makes 2-pt layup from 1 ft,,42,41
2,6:14.0,,Turnover by M. Bamba (bad pass; steal by N. Jokić),42,41
2,6:09.0,T. Lyles makes 2-pt layup from 1 ft (assist by N. Jokić),,44,41
2,5:44.0,,M. Bamba makes 2-pt layup from 1 ft (assist by A. Gordon),44,43
2,5:31.0,J. Murray makes 2-pt layup from 9 ft (assist by N. Jokić),,46,43
2,5:12.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by J. Grant),46,45
2,5:01.0,Shooting foul by E. Fournier (drawn by J. Murray),,46,45
2,5:01.0,T. Craig enters the game for M. Beasley,,46,45
2,5:01.0,J. Hernangómez enters the game for T. Lyles,,46,45
2,5:01.0,P. Millsap enters the game for M. Morris,,46,45
2,5:01.0,,J. Simmons enters the game for M. Bamba,46,45
2,5:01.0,,N. Vučević enters the game for E. Fournier,46,45
2,5:01.0,J. Murray makes free throw 1 of 2,,47,45
2,5:01.0,J. Murray makes free throw 2 of 2,,48,45
