QUARTER,TIME_REMAINING,TORONTO_ACTION,LA LAKERS_ACTION,TORONTO_SCORE,LA LAKERS_SCORE
3,3:28.0,,Defensive rebound by L. Ball,94,75
3,3:18.0,,B. Ingram makes 2-pt jump shot from 16 ft (assist by L. James),94,77
3,3:17.0,Toronto full timeout,,94,77
3,3:17.0,P. Siakam enters the game for O. Anunoby,,94,77
3,3:17.0,,K. Caldwell-Pope enters the game for L. Ball,94,77
3,3:17.0,,R. Rondo enters the game for K. Kuzma,94,77
3,3:02.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by F. VanVleet),,96,77
3,2:49.0,,B. Ingram makes 2-pt layup from 1 ft (assist by R. Rondo),96,79
3,2:28.0,K. Lowry makes 3-pt jump shot from 27 ft,,99,79
3,2:10.0,,L. James misses 2-pt jump shot from 22 ft,99,79
3,2:08.0,Defensive rebound by P. Siakam,,99,79
3,2:00.0,K. Lowry misses 2-pt layup from 3 ft,,99,79
3,1:56.0,Offensive rebound by P. Siakam,,99,79
3,1:56.0,P. Siakam misses 2-pt layup from 1 ft,,99,79
3,1:55.0,Offensive rebound by P. Siakam,,99,79
3,1:54.0,P. Siakam makes 2-pt layup from 3 ft,,101,79
3,1:43.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,101,79
3,1:43.0,Defensive rebound by P. Siakam,,101,79
3,1:21.0,Personal foul by L. James (drawn by K. Lowry),,101,79
3,1:21.0,,L. Stephenson enters the game for B. Ingram,101,79
3,1:10.0,Turnover by F. VanVleet (bad pass; steal by J. Hart),,101,79
3,1:08.0,,Personal foul by F. VanVleet (drawn by L. James),101,79
3,1:08.0,,L. James misses free throw 1 of 2,101,79
3,1:08.0,,Offensive rebound by Team,101,79
3,1:08.0,J. Valančiūnas enters the game for S. Ibaka,,101,79
3,1:08.0,,L. James makes free throw 2 of 2,101,80
3,0:48.0,Turnover by F. VanVleet (traveling),,101,80
3,0:48.0,N. Powell enters the game for K. Lowry,,101,80
3,0:48.0,,I. Zubac enters the game for L. James,101,80
3,0:32.0,,R. Rondo misses 2-pt jump shot from 4 ft,101,80
3,0:29.0,,Offensive rebound by I. Zubac,101,80
3,0:29.0,,I. Zubac misses 2-pt layup at rim,101,80
3,0:29.0,Defensive rebound by N. Powell,,101,80
3,0:26.0,Turnover by P. Siakam (traveling),,101,80
3,0:02.0,,J. Hart misses 3-pt jump shot from 26 ft,101,80
3,0:02.0,Defensive rebound by P. Siakam,,101,80
3,0:00.0,F. VanVleet misses 3-pt jump shot from 30 ft,,101,80
3,0:00.0,Offensive rebound by Team,,101,80
4,11:49.0,,R. Rondo misses 2-pt layup from 2 ft (block by J. Valančiūnas),101,80
4,11:49.0,,Offensive rebound by Team,101,80
4,11:34.0,,L. Stephenson misses 2-pt jump shot from 18 ft,101,80
4,11:30.0,Defensive rebound by J. Valančiūnas,,101,80
4,11:14.0,F. VanVleet misses 3-pt jump shot from 27 ft,,101,80
4,11:09.0,Offensive rebound by D. Wright,,101,80
4,11:09.0,D. Wright misses 2-pt layup from 1 ft,,101,80
4,11:08.0,,Defensive rebound by J. Hart,101,80
4,10:58.0,,L. Stephenson misses 2-pt layup from 1 ft,101,80
4,10:54.0,Defensive rebound by J. Valančiūnas,,101,80
4,10:45.0,J. Valančiūnas misses 3-pt jump shot from 26 ft,,101,80
4,10:43.0,,Defensive rebound by K. Caldwell-Pope,101,80
4,10:32.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,101,80
4,10:28.0,Defensive rebound by J. Valančiūnas,,101,80
4,10:10.0,J. Valančiūnas misses 2-pt jump shot from 10 ft,,101,80
4,10:05.0,,Defensive rebound by J. Hart,101,80
4,10:00.0,,L. Stephenson misses 3-pt jump shot from 26 ft,101,80
4,9:56.0,Defensive rebound by J. Valančiūnas,,101,80
4,9:49.0,J. Valančiūnas makes 2-pt jump shot from 6 ft (assist by N. Powell),,103,80
4,9:32.0,,Shooting foul by J. Valančiūnas (drawn by I. Zubac),103,80
4,9:32.0,,I. Zubac makes free throw 1 of 2,103,81
4,9:32.0,,S. Mykhailiuk enters the game for J. Hart,103,81
4,9:32.0,,I. Zubac makes free throw 2 of 2,103,82
4,9:15.0,D. Wright makes 2-pt layup from 2 ft (assist by J. Valančiūnas),,105,82
4,9:15.0,Shooting foul by I. Zubac (drawn by D. Wright),,105,82
4,9:15.0,D. Wright makes free throw 1 of 1,,106,82
4,9:01.0,,Turnover by K. Caldwell-Pope (bad pass; steal by J. Valančiūnas),106,82
4,8:55.0,C. Miles misses 3-pt jump shot from 28 ft,,106,82
4,8:53.0,,Defensive rebound by I. Zubac,106,82
4,8:41.0,,I. Zubac makes 2-pt hook shot from 6 ft (assist by S. Mykhailiuk),106,84
4,8:41.0,,Shooting foul by J. Valančiūnas (drawn by I. Zubac),106,84
4,8:41.0,,I. Zubac makes free throw 1 of 1,106,85
4,8:25.0,J. Valančiūnas makes 2-pt hook shot from 3 ft,,108,85
4,8:14.0,,Personal foul by N. Powell (drawn by I. Zubac),108,85
4,8:14.0,,B. Ingram enters the game for L. Stephenson,108,85
4,8:03.0,,R. Rondo makes 3-pt jump shot from 28 ft,108,88
4,7:50.0,N. Powell misses 3-pt jump shot from 26 ft,,108,88
4,7:45.0,,Defensive rebound by I. Zubac,108,88
4,7:27.0,,S. Mykhailiuk misses 3-pt jump shot from 26 ft,108,88
4,7:25.0,Defensive rebound by C. Miles,,108,88
4,7:23.0,Turnover by F. VanVleet (bad pass),,108,88
4,7:13.0,,R. Rondo makes 2-pt layup from 3 ft,108,90
4,7:02.0,Shooting foul by I. Zubac (drawn by J. Valančiūnas),,108,90
4,7:02.0,J. Valančiūnas makes free throw 1 of 2,,109,90
4,7:02.0,,LA Lakers full timeout,109,90
4,7:02.0,,K. Kuzma enters the game for I. Zubac,109,90
4,7:02.0,J. Valančiūnas makes free throw 2 of 2,,110,90
4,6:53.0,,K. Kuzma makes 2-pt jump shot from 11 ft,110,92
4,6:36.0,D. Wright makes 2-pt jump shot from 12 ft,,112,92
4,6:28.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,112,92
4,6:23.0,Defensive rebound by J. Valančiūnas,,112,92
4,6:06.0,Shooting foul by R. Rondo (drawn by J. Valančiūnas),,112,92
4,6:06.0,J. Valančiūnas makes free throw 1 of 2,,113,92
4,6:06.0,,L. Ball enters the game for R. Rondo,113,92
4,6:06.0,J. Valančiūnas makes free throw 2 of 2,,114,92
4,5:55.0,,K. Kuzma makes 2-pt layup from 3 ft (assist by B. Ingram),114,94
