QUARTER,TIME_REMAINING,DETROIT_ACTION,ORLANDO_ACTION,DETROIT_SCORE,ORLANDO_SCORE
1,3:46.0,,A. Gordon makes free throw 2 of 2,13,22
1,3:21.0,Turnover by Team (shot clock),,13,22
1,3:21.0,Z. Pachulia enters the game for A. Drummond,,13,22
1,3:12.0,,J. Simmons misses 2-pt jump shot from 21 ft,13,22
1,3:09.0,Defensive rebound by B. Griffin,,13,22
1,2:58.0,J. Calderón makes 2-pt jump shot from 18 ft,,15,22
1,2:42.0,,A. Gordon makes 2-pt layup from 2 ft (assist by N. Vučević),15,24
1,2:33.0,R. Bullock misses 2-pt jump shot from 11 ft,,15,24
1,2:30.0,,Defensive rebound by N. Vučević,15,24
1,2:19.0,,J. Simmons misses 2-pt jump shot from 16 ft,15,24
1,2:12.0,,Offensive rebound by N. Vučević,15,24
1,2:12.0,,N. Vučević makes 2-pt layup at rim,15,26
1,2:02.0,B. Griffin misses 2-pt layup from 1 ft,,15,26
1,1:55.0,Offensive rebound by Z. Pachulia,,15,26
1,1:55.0,Z. Pachulia makes 2-pt layup from 1 ft,,17,26
1,1:55.0,L. Galloway enters the game for B. Brown,,17,26
1,1:55.0,L. Kennard enters the game for R. Bullock,,17,26
1,1:55.0,,M. Bamba enters the game for N. Vučević,17,26
1,1:47.0,,Turnover by M. Bamba (offensive foul),17,26
1,1:47.0,,Offensive foul by M. Bamba (drawn by L. Galloway),17,26
1,1:32.0,Personal foul by W. Iwundu (drawn by L. Kennard),,17,26
1,1:32.0,S. Johnson enters the game for B. Griffin,,17,26
1,1:32.0,,J. Isaac enters the game for A. Gordon,17,26
1,1:21.0,L. Galloway misses 3-pt jump shot from 23 ft,,17,26
1,1:19.0,,Defensive rebound by W. Iwundu,17,26
1,1:11.0,,W. Iwundu misses 2-pt jump shot from 7 ft,17,26
1,1:09.0,,Offensive rebound by M. Bamba,17,26
1,0:58.0,,J. Simmons makes 2-pt layup from 2 ft,17,28
1,0:58.0,,Shooting foul by L. Kennard (drawn by J. Simmons),17,28
1,0:58.0,,J. Simmons makes free throw 1 of 1,17,29
1,0:47.0,L. Galloway misses 2-pt jump shot from 19 ft (block by T. Ross),,17,29
1,0:46.0,,Defensive rebound by T. Ross,17,29
1,0:45.0,,Turnover by T. Ross (bad pass; steal by L. Galloway),17,29
1,0:40.0,L. Galloway misses 3-pt jump shot from 27 ft,,17,29
1,0:38.0,Offensive rebound by L. Galloway,,17,29
1,0:35.0,Shooting foul by J. Simmons (drawn by L. Galloway),,17,29
1,0:35.0,L. Galloway makes free throw 1 of 2,,18,29
1,0:35.0,L. Galloway makes free throw 2 of 2,,19,29
1,0:26.0,,Turnover by J. Simmons (lost ball; steal by Z. Pachulia),19,29
1,0:23.0,L. Kennard makes 2-pt layup from 2 ft,,21,29
1,0:00.0,,J. Simmons makes 2-pt jump shot from 17 ft,21,31
2,11:49.0,,M. Bamba misses 2-pt layup from 2 ft (block by Z. Pachulia),21,31
2,11:45.0,Defensive rebound by Z. Pachulia,,21,31
2,11:29.0,Turnover by S. Johnson (lost ball; steal by J. Isaac),,21,31
2,11:20.0,,M. Bamba misses 3-pt jump shot from 23 ft,21,31
2,11:16.0,Defensive rebound by L. Kennard,,21,31
2,11:06.0,Z. Pachulia misses 2-pt jump shot from 7 ft,,21,31
2,11:04.0,,Defensive rebound by M. Bamba,21,31
2,10:54.0,,J. Simmons makes 2-pt jump shot from 9 ft (assist by D. Augustin),21,33
2,10:38.0,L. Kennard makes 2-pt layup from 3 ft (assist by Z. Pachulia),,23,33
2,10:22.0,,M. Bamba makes 2-pt dunk from 1 ft (assist by J. Isaac),23,35
2,10:02.0,L. Kennard misses 3-pt jump shot from 26 ft,,23,35
2,9:57.0,Offensive rebound by Z. Pachulia,,23,35
2,9:57.0,Z. Pachulia misses 2-pt layup from 1 ft,,23,35
2,9:57.0,,Defensive rebound by M. Bamba,23,35
2,9:51.0,,Shooting foul by S. Johnson (drawn by J. Isaac),23,35
2,9:51.0,,J. Isaac makes free throw 1 of 2,23,36
2,9:51.0,,J. Isaac makes free throw 2 of 2,23,37
2,9:42.0,Shooting foul by J. Simmons (drawn by Z. Pachulia),,23,37
2,9:42.0,Z. Pachulia makes free throw 1 of 2,,24,37
2,9:42.0,Z. Pachulia makes free throw 2 of 2,,25,37
2,9:27.0,,M. Bamba misses 2-pt layup from 12 ft (block by Z. Pachulia),25,37
2,9:24.0,Defensive rebound by L. Kennard,,25,37
2,9:22.0,J. Calderón misses 3-pt jump shot from 24 ft,,25,37
2,9:18.0,,Defensive rebound by M. Bamba,25,37
2,9:04.0,,J. Simmons misses 2-pt jump shot from 20 ft,25,37
2,9:01.0,Defensive rebound by Z. Pachulia,,25,37
2,8:52.0,Shooting foul by M. Bamba (drawn by Z. Pachulia),,25,37
2,8:52.0,Z. Pachulia makes free throw 1 of 2,,26,37
2,8:52.0,Z. Pachulia makes free throw 2 of 2,,27,37
2,8:37.0,,J. Simmons misses 2-pt layup from 2 ft,27,37
2,8:34.0,Defensive rebound by L. Galloway,,27,37
2,8:25.0,L. Kennard makes 3-pt jump shot from 28 ft (assist by Z. Pachulia),,30,37
2,8:09.0,,M. Bamba misses 3-pt jump shot from 26 ft,30,37
2,8:03.0,Defensive rebound by L. Kennard,,30,37
2,7:59.0,S. Johnson makes 3-pt jump shot from 26 ft (assist by L. Kennard),,33,37
2,7:59.0,,Orlando full timeout,33,37
2,7:59.0,,E. Fournier enters the game for D. Augustin,33,37
2,7:59.0,,N. Vučević enters the game for M. Bamba,33,37
2,7:43.0,,T. Ross makes 2-pt jump shot from 8 ft,33,39
2,7:21.0,Z. Pachulia misses 2-pt jump shot from 17 ft,,33,39
2,7:16.0,,Defensive rebound by T. Ross,33,39
2,7:09.0,,J. Isaac misses 2-pt hook shot from 8 ft,33,39
2,7:05.0,,Offensive rebound by T. Ross,33,39
2,7:05.0,,T. Ross misses 2-pt layup at rim,33,39
2,7:04.0,Defensive rebound by L. Galloway,,33,39
2,7:03.0,Personal foul by E. Fournier (drawn by J. Calderón),,33,39
2,7:03.0,,D. Augustin enters the game for J. Simmons,33,39
2,6:51.0,L. Galloway makes 2-pt hook shot from 7 ft,,35,39
2,6:40.0,,T. Ross makes 2-pt hook shot from 3 ft (assist by D. Augustin),35,41
2,6:21.0,L. Kennard makes 2-pt jump shot from 9 ft,,37,41
2,6:05.0,,E. Fournier misses 2-pt jump shot from 11 ft,37,41
2,6:02.0,Defensive rebound by Z. Pachulia,,37,41
2,5:52.0,S. Johnson makes 2-pt layup from 2 ft (assist by J. Calderón),,39,41
2,5:52.0,Shooting foul by D. Augustin (drawn by S. Johnson),,39,41
2,5:52.0,A. Drummond enters the game for J. Calderón,,39,41
2,5:52.0,R. Jackson enters the game for Z. Pachulia,,39,41
2,5:52.0,S. Johnson misses free throw 1 of 1,,39,41
2,5:51.0,Offensive rebound by L. Galloway,,39,41
2,5:39.0,A. Drummond makes 2-pt layup from 1 ft (assist by L. Kennard),,41,41
2,5:27.0,,N. Vučević misses 3-pt jump shot from 26 ft,41,41
2,5:23.0,Defensive rebound by S. Johnson,,41,41
2,5:18.0,S. Johnson misses 3-pt jump shot from 25 ft,,41,41
2,5:14.0,,Defensive rebound by N. Vučević,41,41
2,5:08.0,,Shooting foul by S. Johnson (drawn by N. Vučević),41,41
2,5:08.0,,N. Vučević makes free throw 1 of 2,41,42
2,5:08.0,R. Bullock enters the game for L. Galloway,,41,42
2,5:08.0,B. Griffin enters the game for S. Johnson,,41,42
2,5:08.0,,A. Gordon enters the game for T. Ross,41,42
2,5:08.0,,N. Vučević makes free throw 2 of 2,41,43
2,4:58.0,L. Kennard makes 2-pt jump shot from 14 ft,,43,43
2,4:38.0,,D. Augustin makes 2-pt jump shot from 2 ft,43,45
2,4:28.0,R. Jackson makes 2-pt layup from 1 ft,,45,45
2,4:14.0,,N. Vučević makes 2-pt jump shot from 12 ft (assist by D. Augustin),45,47
2,4:05.0,Personal foul by A. Gordon (drawn by B. Griffin),,45,47
2,4:05.0,B. Griffin makes free throw 1 of 2,,46,47
2,4:05.0,B. Griffin makes free throw 2 of 2,,47,47
2,3:56.0,,A. Gordon makes 2-pt jump shot from 3 ft (assist by D. Augustin),47,49
2,3:56.0,,Shooting foul by A. Drummond (drawn by A. Gordon),47,49
2,3:56.0,,A. Gordon misses free throw 1 of 1,47,49
2,3:53.0,Defensive rebound by A. Drummond,,47,49
2,3:44.0,R. Bullock misses 2-pt jump shot from 14 ft,,47,49
2,3:42.0,Offensive rebound by R. Bullock,,47,49
2,3:42.0,Z. Pachulia enters the game for A. Drummond,,47,49
2,3:34.0,B. Griffin misses 2-pt hook shot from 8 ft,,47,49
2,3:31.0,,Defensive rebound by N. Vučević,47,49
2,3:18.0,,A. Gordon makes 2-pt jump shot from 11 ft,47,51
2,2:59.0,Z. Pachulia makes 2-pt hook shot from 11 ft (assist by L. Kennard),,49,51
2,2:43.0,,N. Vučević misses 3-pt jump shot from 26 ft,49,51
2,2:39.0,Defensive rebound by L. Kennard,,49,51
2,2:35.0,L. Kennard makes 2-pt jump shot from 21 ft,,51,51
2,2:13.0,,Turnover by N. Vučević (bad pass; steal by B. Griffin),51,51
2,2:09.0,B. Griffin misses 2-pt layup from 2 ft,,51,51
2,2:08.0,,Defensive rebound by N. Vučević,51,51
2,2:07.0,,Personal foul by Z. Pachulia (drawn by N. Vučević),51,51
2,2:07.0,Detroit full timeout,,51,51
2,2:07.0,,T. Ross enters the game for E. Fournier,51,51
2,1:55.0,,Turnover by J. Isaac (bad pass; steal by Z. Pachulia),51,51
2,1:53.0,Personal foul by D. Augustin (drawn by B. Griffin),,51,51
2,1:53.0,B. Griffin makes free throw 1 of 2,,52,51
2,1:53.0,B. Griffin makes free throw 2 of 2,,53,51
2,1:45.0,,Shooting foul by R. Jackson (drawn by D. Augustin),53,51
2,1:45.0,,D. Augustin makes free throw 1 of 2,53,52
2,1:45.0,,D. Augustin makes free throw 2 of 2,53,53
2,1:25.0,R. Bullock misses 2-pt layup from 1 ft,,53,53
2,1:22.0,,Defensive rebound by A. Gordon,53,53
2,1:17.0,,N. Vučević makes 2-pt layup from 2 ft (assist by A. Gordon),53,55
2,1:01.0,R. Bullock misses 3-pt jump shot from 25 ft,,53,55
2,0:59.0,,Defensive rebound by A. Gordon,53,55
2,0:56.0,,Personal foul by B. Griffin (drawn by D. Augustin),53,55
2,0:56.0,,D. Augustin makes free throw 1 of 2,53,56
2,0:56.0,,D. Augustin makes free throw 2 of 2,53,57
2,0:44.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),,56,57
2,0:35.0,,D. Augustin makes 3-pt jump shot from 29 ft,56,60
2,0:24.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by R. Jackson),,59,60
2,0:04.0,,Personal foul by R. Jackson (drawn by D. Augustin),59,60
2,0:04.0,,D. Augustin makes free throw 1 of 2,59,61
2,0:04.0,,D. Augustin makes free throw 2 of 2,59,62
2,0:00.0,R. Jackson misses 3-pt jump shot from 33 ft,,59,62
2,0:00.0,Offensive rebound by Team,,59,62
3,11:42.0,,Turnover by D. Augustin (out of bounds lost ball),59,62
3,11:22.0,B. Griffin makes 2-pt layup from 2 ft,,61,62
3,11:22.0,Shooting foul by A. Gordon (drawn by B. Griffin),,61,62
3,11:22.0,B. Griffin makes free throw 1 of 1,,62,62
3,11:09.0,,Shooting foul by A. Drummond (drawn by A. Gordon),62,62
3,11:09.0,,A. Gordon misses free throw 1 of 3,62,62
3,11:09.0,,Offensive rebound by Team,62,62
3,11:09.0,,A. Gordon makes free throw 2 of 3,62,63
3,11:09.0,,A. Gordon makes free throw 3 of 3,62,64
3,10:54.0,R. Jackson misses 2-pt layup from 1 ft,,62,64
3,10:50.0,,Defensive rebound by E. Fournier,62,64
3,10:44.0,,Turnover by E. Fournier (traveling),62,64
3,10:33.0,R. Jackson makes 2-pt jump shot from 8 ft,,64,64
3,10:14.0,,E. Fournier makes 2-pt jump shot from 13 ft,64,66
3,9:51.0,A. Drummond makes 2-pt hook shot from 7 ft (assist by B. Griffin),,66,66
3,9:39.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by N. Vučević),66,68
3,9:24.0,R. Jackson makes 2-pt layup from 2 ft,,68,68
3,9:24.0,,Orlando full timeout,68,68
3,9:05.0,,N. Vučević misses 2-pt jump shot from 13 ft,68,68
3,9:01.0,Defensive rebound by A. Drummond,,68,68
3,8:50.0,A. Drummond misses 2-pt layup from 3 ft,,68,68
3,8:48.0,Offensive rebound by A. Drummond,,68,68
3,8:47.0,A. Drummond misses 2-pt layup from 1 ft,,68,68
3,8:47.0,,Defensive rebound by A. Gordon,68,68
3,8:41.0,,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon),68,70
3,8:24.0,A. Drummond misses 2-pt layup from 2 ft,,68,70
3,8:20.0,Offensive rebound by A. Drummond,,68,70
3,8:20.0,A. Drummond misses 2-pt layup at rim,,68,70
3,8:18.0,Offensive rebound by A. Drummond,,68,70
3,8:18.0,A. Drummond makes 2-pt layup at rim,,70,70
3,7:58.0,,A. Gordon misses 3-pt jump shot from 26 ft,70,70
3,7:54.0,Defensive rebound by A. Drummond,,70,70
3,7:45.0,R. Jackson misses 3-pt jump shot from 29 ft,,70,70
3,7:43.0,,Defensive rebound by N. Vučević,70,70
3,7:29.0,,N. Vučević makes 2-pt hook shot from 7 ft,70,72
3,7:13.0,B. Griffin misses 2-pt layup from 15 ft,,70,72
3,7:08.0,Offensive rebound by B. Brown,,70,72
3,7:08.0,B. Brown misses 2-pt layup at rim (block by N. Vučević),,70,72
3,7:02.0,Offensive rebound by B. Brown,,70,72
3,7:01.0,B. Brown misses 2-pt layup from 5 ft (block by N. Vučević),,70,72
3,6:56.0,,Defensive rebound by A. Gordon,70,72
3,6:53.0,,D. Augustin makes 3-pt jump shot from 27 ft (assist by N. Vučević),70,75
3,6:34.0,A. Drummond makes 2-pt jump shot from 15 ft,,72,75
3,6:05.0,,A. Gordon misses 3-pt jump shot from 27 ft,72,75
3,6:05.0,Defensive rebound by R. Bullock,,72,75
3,5:51.0,A. Drummond makes 2-pt layup from 2 ft (assist by R. Bullock),,74,75
3,5:26.0,,Shooting foul by B. Brown (drawn by D. Augustin),74,75
3,5:26.0,,D. Augustin makes free throw 1 of 3,74,76
3,5:26.0,,D. Augustin makes free throw 2 of 3,74,77
3,5:26.0,Z. Pachulia enters the game for A. Drummond,,74,77
3,5:26.0,,W. Iwundu enters the game for J. Isaac,74,77
3,5:26.0,,D. Augustin makes free throw 3 of 3,74,78
3,5:13.0,R. Bullock misses 3-pt jump shot from 23 ft,,74,78
3,5:10.0,,Defensive rebound by E. Fournier,74,78
3,5:05.0,,E. Fournier makes 2-pt jump shot from 8 ft,74,80
3,4:54.0,B. Griffin misses 3-pt jump shot from 23 ft,,74,80
3,4:47.0,,Defensive rebound by N. Vučević,74,80
3,4:40.0,,D. Augustin misses 2-pt hook shot from 5 ft,74,80
3,4:37.0,,Offensive rebound by N. Vučević,74,80
3,4:37.0,,N. Vučević misses 2-pt layup from 1 ft,74,80
3,4:36.0,Defensive rebound by Z. Pachulia,,74,80
3,4:29.0,Personal foul by E. Fournier (drawn by B. Griffin),,74,80
3,4:29.0,J. Calderón enters the game for R. Jackson,,74,80
3,4:29.0,,J. Grant enters the game for D. Augustin,74,80
3,4:13.0,Turnover by Team (shot clock),,74,80
3,3:54.0,,Turnover by N. Vučević (bad pass),74,80
3,3:54.0,,T. Ross enters the game for E. Fournier,74,80
3,3:35.0,R. Bullock misses 2-pt jump shot from 17 ft,,74,80
3,3:32.0,,Defensive rebound by T. Ross,74,80
3,3:20.0,,W. Iwundu misses 3-pt jump shot from 23 ft,74,80
3,3:18.0,Defensive rebound by J. Calderón,,74,80
3,3:11.0,Shooting foul by N. Vučević (drawn by B. Brown),,74,80
3,3:11.0,B. Brown makes free throw 1 of 2,,75,80
3,3:11.0,L. Kennard enters the game for R. Bullock,,75,80
3,3:11.0,B. Brown makes free throw 2 of 2,,76,80
3,2:59.0,,Shooting foul by Z. Pachulia (drawn by W. Iwundu),76,80
3,2:59.0,Detroit full timeout,,76,80
3,2:59.0,,M. Bamba enters the game for N. Vučević,76,80
3,2:59.0,,W. Iwundu makes free throw 1 of 2,76,81
3,2:59.0,,W. Iwundu makes free throw 2 of 2,76,82
3,2:49.0,B. Griffin makes 2-pt dunk from 1 ft (assist by J. Calderón),,78,82
3,2:32.0,,T. Ross misses 2-pt jump shot from 21 ft,78,82
3,2:29.0,Defensive rebound by J. Calderón,,78,82
3,2:14.0,L. Kennard misses 2-pt jump shot from 18 ft,,78,82
3,2:11.0,,Defensive rebound by A. Gordon,78,82
3,1:55.0,,T. Ross makes 3-pt jump shot from 26 ft,78,85
3,1:31.0,B. Brown makes 2-pt dunk from 1 ft (assist by J. Calderón),,80,85
3,1:15.0,,T. Ross misses 3-pt jump shot from 27 ft,80,85
3,1:11.0,Defensive rebound by J. Calderón,,80,85
3,1:06.0,Turnover by B. Brown (lost ball; steal by M. Bamba),,80,85
3,0:58.0,,A. Gordon misses 2-pt layup from 2 ft,80,85
3,0:56.0,,Offensive rebound by A. Gordon,80,85
3,0:55.0,,A. Gordon misses 2-pt layup from 1 ft,80,85
3,0:53.0,,Offensive rebound by A. Gordon,80,85
3,0:50.0,,Turnover by A. Gordon (lost ball; steal by B. Brown),80,85
3,0:50.0,L. Kennard makes 3-pt jump shot from 26 ft (assist by B. Brown),,83,85
3,0:35.0,,A. Gordon misses 2-pt jump shot from 17 ft,83,85
3,0:31.0,Defensive rebound by J. Calderón,,83,85
3,0:09.0,Turnover by B. Brown (bad pass; steal by M. Bamba),,83,85
3,0:05.0,,Personal foul by B. Brown (drawn by A. Gordon),83,85
3,0:05.0,S. Johnson enters the game for B. Griffin,,83,85
3,0:00.0,,T. Ross misses 3-pt jump shot from 27 ft,83,85
3,0:00.0,,Offensive rebound by Team,83,85
4,11:48.0,L. Kennard misses 3-pt jump shot from 26 ft,,83,85
4,11:43.0,,Defensive rebound by J. Isaac,83,85
4,11:25.0,,T. Ross misses 2-pt jump shot from 19 ft,83,85
4,11:16.0,,Offensive rebound by M. Bamba,83,85
4,11:16.0,,M. Bamba makes 2-pt dunk from 1 ft,83,87
4,10:56.0,L. Kennard misses 3-pt jump shot from 33 ft,,83,87
4,10:51.0,,Defensive rebound by T. Ross,83,87
4,10:46.0,,M. Bamba misses 3-pt jump shot from 26 ft,83,87
4,10:43.0,Defensive rebound by S. Johnson,,83,87
4,10:37.0,S. Johnson misses 2-pt jump shot from 17 ft,,83,87
4,10:33.0,,Defensive rebound by T. Ross,83,87
4,10:27.0,,D. Augustin misses 3-pt jump shot from 27 ft,83,87
4,10:26.0,Defensive rebound by Team,,83,87
4,10:12.0,Personal foul by W. Iwundu (drawn by L. Kennard),,83,87
4,10:06.0,Turnover by L. Kennard (traveling),,83,87
4,9:47.0,,T. Ross misses 3-pt jump shot from 27 ft,83,87
4,9:43.0,Defensive rebound by L. Kennard,,83,87
4,9:37.0,J. Calderón makes 2-pt layup from 2 ft (assist by Z. Pachulia),,85,87
4,9:14.0,,T. Ross misses 2-pt jump shot from 15 ft,85,87
4,9:11.0,Defensive rebound by L. Kennard,,85,87
4,9:02.0,S. Johnson misses 3-pt jump shot from 27 ft,,85,87
4,8:58.0,,Defensive rebound by M. Bamba,85,87
4,8:39.0,,W. Iwundu misses 2-pt jump shot from 6 ft,85,87
4,8:37.0,Defensive rebound by J. Calderón,,85,87
4,8:26.0,Personal foul by W. Iwundu (drawn by Z. Pachulia),,85,87
4,8:20.0,L. Galloway makes 2-pt layup from 2 ft (assist by Z. Pachulia),,87,87
4,8:03.0,,D. Augustin makes 3-pt jump shot from 26 ft,87,90
4,7:51.0,L. Galloway misses 2-pt jump shot from 10 ft,,87,90
4,7:48.0,Offensive rebound by L. Galloway,,87,90
4,7:46.0,L. Galloway misses 3-pt jump shot from 24 ft,,87,90
4,7:42.0,,Defensive rebound by T. Ross,87,90
4,7:36.0,,Personal foul by L. Galloway (drawn by D. Augustin),87,90
4,7:36.0,B. Brown enters the game for L. Galloway,,87,90
4,7:36.0,A. Drummond enters the game for Z. Pachulia,,87,90
4,7:36.0,,E. Fournier enters the game for W. Iwundu,87,90
4,7:26.0,,D. Augustin makes 3-pt jump shot from 22 ft,87,93
4,7:12.0,Turnover by J. Calderón (bad pass; steal by D. Augustin),,87,93
4,7:07.0,,J. Isaac makes 2-pt layup from 1 ft,87,95
4,7:07.0,Detroit full timeout,,87,95
4,7:07.0,,N. Vučević enters the game for M. Bamba,87,95
4,6:53.0,Shooting foul by J. Isaac (drawn by S. Johnson),,87,95
4,6:53.0,R. Jackson enters the game for J. Calderón,,87,95
4,6:53.0,,A. Gordon enters the game for J. Isaac,87,95
4,6:53.0,S. Johnson makes free throw 1 of 2,,88,95
4,6:53.0,S. Johnson makes free throw 2 of 2,,89,95
4,6:38.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by D. Augustin),89,97
4,6:16.0,Shooting foul by E. Fournier (drawn by S. Johnson),,89,97
4,6:16.0,S. Johnson makes free throw 1 of 2,,90,97
4,6:16.0,B. Griffin enters the game for L. Kennard,,90,97
4,6:16.0,S. Johnson misses free throw 2 of 2,,90,97
4,6:13.0,,Defensive rebound by D. Augustin,90,97
4,6:05.0,,Personal foul by S. Johnson (drawn by E. Fournier),90,97
4,5:58.0,,E. Fournier misses 2-pt hook shot from 5 ft,90,97
4,5:56.0,Defensive rebound by A. Drummond,,90,97
4,5:53.0,S. Johnson misses 3-pt jump shot from 25 ft,,90,97
4,5:50.0,Offensive rebound by R. Jackson,,90,97
4,5:48.0,B. Griffin misses 2-pt hook shot from 8 ft (block by A. Gordon),,90,97
4,5:44.0,,Defensive rebound by E. Fournier,90,97
4,5:42.0,,T. Ross misses 3-pt jump shot from 25 ft,90,97
4,5:37.0,Defensive rebound by R. Jackson,,90,97
4,5:18.0,B. Griffin makes 2-pt layup from 2 ft,,92,97
4,5:18.0,Shooting foul by A. Gordon (drawn by B. Griffin),,92,97
4,5:18.0,B. Griffin makes free throw 1 of 1,,93,97
4,5:07.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by N. Vučević),93,100
4,4:49.0,R. Jackson misses 3-pt jump shot from 29 ft,,93,100
4,4:46.0,,Defensive rebound by T. Ross,93,100
4,4:37.0,,D. Augustin makes 2-pt layup from 3 ft,93,102
4,4:27.0,Turnover by R. Jackson (lost ball; steal by E. Fournier),,93,102
4,4:22.0,,Turnover by E. Fournier (bad pass; steal by S. Johnson),93,102
4,4:06.0,R. Jackson misses 2-pt layup from 1 ft,,93,102
4,4:01.0,Offensive rebound by A. Drummond,,93,102
4,4:01.0,A. Drummond makes 2-pt dunk at rim,,95,102
4,3:46.0,,D. Augustin misses 2-pt hook shot from 6 ft,95,102
4,3:46.0,,Offensive rebound by D. Augustin,95,102
4,3:34.0,,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),95,104
4,3:34.0,Detroit full timeout,,95,104
4,3:34.0,R. Bullock enters the game for S. Johnson,,95,104
