QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ATLANTA_ACTION,MILWAUKEE_SCORE,ATLANTA_SCORE
1,4:35.0,,T. Prince misses 2-pt jump shot from 18 ft,22,21
1,4:31.0,,Offensive rebound by A. Len,22,21
1,4:31.0,,A. Len misses 2-pt layup from 1 ft,22,21
1,4:28.0,,Offensive rebound by A. Len,22,21
1,4:27.0,,A. Len misses 2-pt hook shot from 1 ft,22,21
1,4:27.0,,Offensive rebound by A. Len,22,21
1,4:27.0,,A. Len misses 2-pt layup at rim,22,21
1,4:27.0,Defensive rebound by Team,,22,21
1,4:27.0,,Loose ball foul by A. Len (drawn by B. Lopez),22,21
1,4:16.0,Turnover by K. Middleton (bad pass),,22,21
1,4:03.0,,J. Lin misses 2-pt layup from 1 ft,22,21
1,3:59.0,,Offensive rebound by T. Prince,22,21
1,3:58.0,,T. Prince misses 2-pt layup from 8 ft,22,21
1,3:56.0,Defensive rebound by B. Lopez,,22,21
1,3:52.0,K. Middleton makes 2-pt layup from 7 ft,,24,21
1,3:43.0,,Turnover by J. Lin (back court),24,21
1,3:43.0,E. İlyasova enters the game for B. Lopez,,24,21
1,3:34.0,K. Middleton makes 2-pt layup from 1 ft (assist by D. Wilson),,26,21
1,3:34.0,,Atlanta full timeout,26,21
1,3:34.0,M. Brogdon enters the game for K. Middleton,,26,21
1,3:26.0,,K. Huerter misses 2-pt layup from 2 ft,26,21
1,3:22.0,,Offensive rebound by A. Len,26,21
1,3:22.0,,A. Len makes 2-pt dunk at rim,26,23
1,3:14.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by M. Brogdon),,29,23
1,3:00.0,,K. Huerter makes 3-pt jump shot from 27 ft,29,26
1,2:46.0,S. Brown misses 2-pt layup from 1 ft,,29,26
1,2:41.0,,Defensive rebound by K. Huerter,29,26
1,2:33.0,,A. Len makes 2-pt hook shot from 6 ft (assist by K. Huerter),29,28
1,2:13.0,M. Brogdon makes 2-pt jump shot from 22 ft (assist by G. Hill),,31,28
1,1:55.0,,Turnover by K. Huerter (lost ball; steal by E. İlyasova),31,28
1,1:53.0,Shooting foul by V. Carter (drawn by M. Brogdon),,31,28
1,1:53.0,M. Brogdon makes free throw 1 of 2,,32,28
1,1:53.0,G. Antetokounmpo enters the game for S. Brown,,32,28
1,1:53.0,T. Snell enters the game for D. Wilson,,32,28
1,1:53.0,,J. Collins enters the game for V. Carter,32,28
1,1:53.0,M. Brogdon misses free throw 2 of 2,,32,28
1,1:50.0,,Defensive rebound by J. Collins,32,28
1,1:38.0,,J. Lin misses 3-pt jump shot from 25 ft,32,28
1,1:34.0,,Offensive rebound by T. Prince,32,28
1,1:25.0,,K. Huerter misses 2-pt layup from 5 ft,32,28
1,1:20.0,,Offensive rebound by A. Len,32,28
1,1:20.0,,A. Len makes 2-pt dunk at rim,32,30
1,1:13.0,Turnover by G. Antetokounmpo (lost ball; steal by K. Huerter),,32,30
1,1:09.0,,T. Prince misses 2-pt jump shot from 7 ft,32,30
1,1:07.0,Defensive rebound by Team,,32,30
1,1:02.0,Offensive foul by G. Antetokounmpo (drawn by J. Lin),,32,30
1,1:02.0,Turnover by G. Antetokounmpo (offensive foul),,32,30
1,0:46.0,,Shooting foul by G. Antetokounmpo (drawn by K. Huerter),32,30
1,0:46.0,,K. Huerter makes free throw 1 of 2,32,31
1,0:46.0,,K. Huerter makes free throw 2 of 2,32,32
1,0:32.0,Turnover by G. Hill (bad pass),,32,32
1,0:19.0,,J. Lin misses 3-pt jump shot from 25 ft,32,32
1,0:15.0,Defensive rebound by Team,,32,32
1,0:04.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,35,32
1,0:00.0,,J. Lin misses 3-pt jump shot from 26 ft,35,32
1,0:00.0,,Offensive rebound by Team,35,32
2,11:48.0,,Shooting foul by G. Hill (drawn by T. Young),35,32
2,11:48.0,,T. Young makes free throw 1 of 2,35,33
2,11:48.0,,T. Young makes free throw 2 of 2,35,34
2,11:31.0,E. İlyasova misses 2-pt jump shot from 21 ft,,35,34
2,11:29.0,Offensive rebound by M. Brogdon,,35,34
2,11:27.0,M. Brogdon makes 2-pt layup from 1 ft,,37,34
2,11:16.0,,O. Spellman misses 3-pt jump shot from 26 ft,37,34
2,11:12.0,Defensive rebound by M. Brogdon,,37,34
2,11:02.0,M. Brogdon misses 3-pt jump shot from 24 ft,,37,34
2,11:00.0,,Defensive rebound by T. Young,37,34
2,10:57.0,,Offensive foul by T. Young (drawn by G. Hill),37,34
2,10:57.0,,Turnover by T. Young (offensive foul),37,34
2,10:57.0,B. Lopez enters the game for G. Antetokounmpo,,37,34
2,10:45.0,G. Hill makes 2-pt jump shot from 13 ft,,39,34
2,10:31.0,,J. Collins makes 2-pt dunk from 2 ft (assist by O. Spellman),39,36
2,10:22.0,B. Lopez misses 3-pt jump shot from 26 ft,,39,36
2,10:19.0,,Defensive rebound by T. Young,39,36
2,10:10.0,,Turnover by O. Spellman (bad pass; steal by M. Brogdon),39,36
2,10:06.0,M. Brogdon misses 2-pt layup from 1 ft,,39,36
2,10:00.0,Offensive rebound by T. Snell,,39,36
2,10:00.0,T. Snell makes 2-pt dunk from 1 ft,,41,36
2,9:58.0,,J. Collins misses 2-pt layup from 3 ft,41,36
2,9:52.0,,Offensive rebound by J. Collins,41,36
2,9:52.0,,J. Collins makes 2-pt dunk at rim,41,38
2,9:41.0,Personal foul by T. Young (drawn by B. Lopez),,41,38
2,9:41.0,E. Bledsoe enters the game for G. Hill,,41,38
2,9:31.0,B. Lopez makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,43,38
2,9:18.0,,O. Spellman makes 3-pt jump shot from 25 ft (assist by T. Young),43,41
2,8:57.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,43,41
2,8:54.0,,Defensive rebound by D. Bembry,43,41
2,8:49.0,,K. Huerter misses 3-pt jump shot from 26 ft,43,41
2,8:45.0,Defensive rebound by T. Snell,,43,41
2,8:39.0,E. Bledsoe makes 2-pt jump shot from 13 ft (assist by M. Brogdon),,45,41
2,8:25.0,,K. Huerter misses 2-pt layup from 3 ft,45,41
2,8:25.0,Defensive rebound by Team,,45,41
2,8:25.0,,Loose ball foul by J. Collins (drawn by E. İlyasova),45,41
2,8:25.0,K. Middleton enters the game for M. Brogdon,,45,41
2,8:12.0,B. Lopez makes 2-pt hook shot from 11 ft,,47,41
2,7:57.0,,Shooting foul by B. Lopez (drawn by O. Spellman),47,41
2,7:57.0,,O. Spellman makes free throw 1 of 2,47,42
2,7:57.0,,O. Spellman misses free throw 2 of 2,47,42
2,7:54.0,,Offensive rebound by Team,47,42
2,7:54.0,,T. Prince enters the game for D. Bembry,47,42
2,7:49.0,,T. Young makes 2-pt layup from 4 ft,47,44
2,7:35.0,T. Snell misses 2-pt jump shot from 16 ft,,47,44
2,7:32.0,,Defensive rebound by T. Young,47,44
2,7:24.0,,Turnover by T. Young (bad pass; steal by E. İlyasova),47,44
2,7:24.0,K. Middleton makes 2-pt layup from 2 ft (assist by E. Bledsoe),,49,44
2,7:08.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by K. Huerter),49,47
2,7:00.0,Milwaukee full timeout,,49,47
2,7:00.0,G. Antetokounmpo enters the game for E. İlyasova,,49,47
2,7:00.0,,A. Len enters the game for K. Huerter,49,47
2,7:00.0,,J. Lin enters the game for O. Spellman,49,47
2,6:47.0,G. Antetokounmpo misses 2-pt jump shot from 15 ft,,49,47
2,6:46.0,,Defensive rebound by Team,49,47
2,6:35.0,,Turnover by J. Lin (out of bounds lost ball),49,47
2,6:23.0,G. Antetokounmpo misses 2-pt jump shot from 21 ft,,49,47
2,6:18.0,Offensive rebound by B. Lopez,,49,47
2,6:12.0,Personal foul by T. Prince (drawn by K. Middleton),,49,47
2,6:04.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,49,47
2,6:01.0,,Defensive rebound by T. Prince,49,47
2,5:49.0,,Turnover by J. Collins (bad pass),49,47
2,5:49.0,G. Hill enters the game for T. Snell,,49,47
2,5:31.0,E. Bledsoe makes 2-pt jump shot from 17 ft,,51,47
2,5:20.0,,T. Young misses 2-pt jump shot from 13 ft,51,47
2,5:17.0,Defensive rebound by K. Middleton,,51,47
2,5:13.0,G. Hill misses 3-pt jump shot from 24 ft,,51,47
2,5:10.0,,Defensive rebound by T. Prince,51,47
2,5:06.0,,T. Prince makes 2-pt layup from 1 ft,51,49
2,4:55.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,51,49
2,4:52.0,,Defensive rebound by A. Len,51,49
2,4:51.0,,Turnover by A. Len (lost ball; steal by E. Bledsoe),51,49
2,4:43.0,K. Middleton misses 2-pt jump shot from 12 ft,,51,49
2,4:41.0,Offensive rebound by G. Antetokounmpo,,51,49
2,4:41.0,Shooting foul by J. Collins (drawn by G. Antetokounmpo),,51,49
2,4:41.0,G. Antetokounmpo makes free throw 1 of 2,,52,49
2,4:41.0,,O. Spellman enters the game for J. Collins,52,49
2,4:41.0,G. Antetokounmpo misses free throw 2 of 2,,52,49
2,4:39.0,,Defensive rebound by O. Spellman,52,49
2,4:26.0,,T. Young misses 3-pt jump shot from 30 ft,52,49
2,4:23.0,,Offensive rebound by O. Spellman,52,49
2,4:19.0,,Personal foul by K. Middleton (drawn by J. Lin),52,49
2,4:19.0,,D. Bembry enters the game for T. Prince,52,49
2,4:19.0,,K. Huerter enters the game for T. Young,52,49
2,4:07.0,,Turnover by A. Len (bad pass; steal by E. Bledsoe),52,49
2,4:06.0,Shooting foul by J. Lin (drawn by E. Bledsoe),,52,49
2,4:06.0,E. Bledsoe makes free throw 1 of 2,,53,49
2,4:06.0,E. Bledsoe makes free throw 2 of 2,,54,49
2,3:50.0,,D. Bembry makes 2-pt layup from 3 ft,54,51
2,3:40.0,Shooting foul by A. Len (drawn by G. Antetokounmpo),,54,51
2,3:40.0,G. Antetokounmpo makes free throw 1 of 2,,55,51
2,3:40.0,M. Brogdon enters the game for E. Bledsoe,,55,51
2,3:40.0,G. Antetokounmpo makes free throw 2 of 2,,56,51
2,3:28.0,,K. Huerter misses 3-pt jump shot from 24 ft,56,51
2,3:25.0,Defensive rebound by K. Middleton,,56,51
2,3:20.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),,58,51
2,3:20.0,Shooting foul by O. Spellman (drawn by G. Antetokounmpo),,58,51
2,3:20.0,E. İlyasova enters the game for B. Lopez,,58,51
2,3:20.0,,J. Collins enters the game for O. Spellman,58,51
2,3:20.0,G. Antetokounmpo misses free throw 1 of 1,,58,51
2,3:18.0,,Defensive rebound by D. Bembry,58,51
2,3:13.0,,D. Bembry misses 2-pt layup from 2 ft,58,51
2,3:10.0,Defensive rebound by G. Antetokounmpo,,58,51
2,3:05.0,K. Middleton misses 3-pt jump shot from 22 ft,,58,51
2,3:02.0,,Defensive rebound by A. Len,58,51
2,2:55.0,,A. Len makes 2-pt dunk from 1 ft (assist by J. Lin),58,53
2,2:42.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,58,53
2,2:40.0,,Defensive rebound by J. Collins,58,53
2,2:32.0,,J. Lin misses 2-pt jump shot from 10 ft,58,53
2,2:29.0,Defensive rebound by K. Middleton,,58,53
2,2:22.0,Shooting foul by A. Len (drawn by G. Antetokounmpo),,58,53
2,2:22.0,,Atlanta full timeout,58,53
2,2:22.0,S. Brown enters the game for K. Middleton,,58,53
2,2:22.0,,V. Carter enters the game for A. Len,58,53
2,2:22.0,,T. Young enters the game for J. Lin,58,53
2,2:22.0,G. Antetokounmpo makes free throw 1 of 2,,59,53
2,2:22.0,G. Antetokounmpo makes free throw 2 of 2,,60,53
2,2:09.0,,V. Carter misses 3-pt jump shot from 23 ft,60,53
2,2:08.0,,Offensive rebound by V. Carter,60,53
2,1:54.0,,T. Young makes 2-pt jump shot from 23 ft (assist by K. Huerter),60,55
2,1:43.0,E. İlyasova misses 2-pt layup from 2 ft,,60,55
2,1:39.0,Offensive rebound by E. İlyasova,,60,55
2,1:39.0,E. İlyasova makes 2-pt layup from 1 ft,,62,55
2,1:19.0,,Offensive foul by V. Carter (drawn by E. İlyasova),62,55
2,1:19.0,,Turnover by V. Carter (offensive foul),62,55
2,1:02.0,Shooting foul by J. Collins (drawn by G. Antetokounmpo),,62,55
2,1:02.0,G. Antetokounmpo makes free throw 1 of 2,,63,55
2,1:02.0,,O. Spellman enters the game for J. Collins,63,55
2,1:02.0,G. Antetokounmpo makes free throw 2 of 2,,64,55
2,0:53.0,,Turnover by V. Carter (traveling),64,55
2,0:53.0,T. Snell enters the game for G. Antetokounmpo,,64,55
2,0:39.0,M. Brogdon misses 2-pt hook shot from 2 ft,,64,55
2,0:37.0,,Defensive rebound by V. Carter,64,55
2,0:27.0,,D. Bembry misses 3-pt jump shot from 25 ft,64,55
2,0:24.0,Defensive rebound by M. Brogdon,,64,55
2,0:07.0,M. Brogdon misses 2-pt hook shot from 5 ft,,64,55
2,0:03.0,,Defensive rebound by T. Young,64,55
2,0:00.0,,D. Bembry misses 3-pt jump shot from 25 ft,64,55
2,0:00.0,,Offensive rebound by Team,64,55
3,11:37.0,,J. Collins misses 2-pt layup from 3 ft,64,55
3,11:34.0,,Offensive rebound by T. Young,64,55
3,11:32.0,,O. Spellman misses 3-pt jump shot from 26 ft,64,55
3,11:32.0,Defensive rebound by G. Antetokounmpo,,64,55
3,11:25.0,M. Brogdon misses 3-pt jump shot from 25 ft,,64,55
3,11:21.0,,Defensive rebound by O. Spellman,64,55
3,11:17.0,,T. Young makes 3-pt jump shot from 26 ft,64,58
3,10:59.0,E. Bledsoe makes 2-pt jump shot from 14 ft,,66,58
3,10:39.0,,Turnover by D. Bembry (bad pass),66,58
3,10:29.0,K. Middleton misses 2-pt jump shot from 12 ft,,66,58
3,10:26.0,,Defensive rebound by J. Collins,66,58
3,10:17.0,,D. Bembry makes 2-pt layup from 9 ft (assist by J. Collins),66,60
3,10:07.0,Personal foul by D. Bembry (drawn by K. Middleton),,66,60
3,9:59.0,M. Brogdon misses 2-pt layup from 2 ft,,66,60
3,9:55.0,,Defensive rebound by J. Collins,66,60
3,9:50.0,,T. Young misses 2-pt jump shot from 13 ft,66,60
3,9:48.0,,Offensive rebound by T. Young,66,60
3,9:46.0,,T. Young makes 2-pt layup from 6 ft,66,62
3,9:38.0,Personal foul by O. Spellman (drawn by G. Antetokounmpo),,66,62
3,9:35.0,G. Antetokounmpo makes 2-pt jump shot from 19 ft,,68,62
3,9:21.0,,T. Young misses 2-pt jump shot from 7 ft,68,62
3,9:19.0,,Offensive rebound by T. Young,68,62
3,9:14.0,,D. Bembry misses 2-pt layup at rim,68,62
3,9:14.0,,Offensive rebound by J. Collins,68,62
3,9:13.0,,J. Collins makes 2-pt layup from 1 ft,68,64
3,9:10.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by O. Spellman),,68,64
3,9:07.0,Milwaukee full timeout,,68,64
3,9:07.0,Offensive rebound by Team,,68,64
3,8:51.0,K. Middleton misses 2-pt jump shot from 1 ft,,68,64
3,8:50.0,Offensive rebound by K. Middleton,,68,64
3,8:50.0,K. Middleton misses 2-pt layup at rim,,68,64
3,8:50.0,Offensive rebound by Team,,68,64
3,8:40.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,68,64
3,8:38.0,,Defensive rebound by J. Collins,68,64
3,8:33.0,,O. Spellman misses 3-pt jump shot from 23 ft,68,64
3,8:30.0,Defensive rebound by K. Middleton,,68,64
3,8:21.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by K. Middleton),,71,64
3,8:01.0,,D. Bembry misses 2-pt layup from 8 ft,71,64
3,7:57.0,Defensive rebound by K. Middleton,,71,64
3,7:54.0,K. Middleton misses 3-pt jump shot from 26 ft,,71,64
3,7:51.0,,Defensive rebound by J. Collins,71,64
3,7:44.0,,J. Collins misses 3-pt jump shot from 25 ft,71,64
3,7:40.0,,Offensive rebound by O. Spellman,71,64
3,7:38.0,,J. Collins misses 2-pt layup from 2 ft (block by G. Antetokounmpo),71,64
3,7:36.0,Defensive rebound by E. Bledsoe,,71,64
3,7:32.0,M. Brogdon makes 2-pt jump shot from 11 ft (assist by E. Bledsoe),,73,64
3,7:30.0,,Atlanta full timeout,73,64
3,7:30.0,S. Brown enters the game for M. Brogdon,,73,64
3,7:30.0,,A. Len enters the game for D. Bembry,73,64
3,7:30.0,,J. Lin enters the game for O. Spellman,73,64
3,7:30.0,,T. Prince enters the game for T. Young,73,64
3,7:16.0,,K. Huerter makes 3-pt jump shot from 25 ft,73,67
3,7:06.0,Shooting foul by A. Len (drawn by G. Antetokounmpo),,73,67
3,7:06.0,G. Antetokounmpo makes free throw 1 of 2,,74,67
3,7:06.0,G. Antetokounmpo makes free throw 2 of 2,,75,67
3,6:53.0,,K. Huerter misses 3-pt jump shot from 27 ft,75,67
3,6:50.0,Defensive rebound by K. Middleton,,75,67
3,6:44.0,K. Middleton makes 2-pt layup from 8 ft,,77,67
3,6:34.0,,J. Lin makes 2-pt layup from 2 ft,77,69
3,6:23.0,Shooting foul by A. Len (drawn by G. Antetokounmpo),,77,69
3,6:23.0,Offensive rebound by Team,,77,69
3,6:23.0,G. Antetokounmpo misses free throw 1 of 2,,77,69
3,6:23.0,,O. Spellman enters the game for A. Len,77,69
3,6:23.0,G. Antetokounmpo misses free throw 2 of 2,,77,69
3,6:21.0,,Defensive rebound by J. Lin,77,69
3,6:08.0,,T. Prince makes 2-pt jump shot from 10 ft (assist by J. Collins),77,71
3,5:54.0,B. Lopez makes 2-pt jump shot from 22 ft (assist by E. Bledsoe),,79,71
3,5:44.0,,J. Collins misses 2-pt jump shot from 4 ft (block by E. Bledsoe),79,71
3,5:43.0,Defensive rebound by E. Bledsoe,,79,71
3,5:38.0,K. Middleton misses 2-pt layup from 3 ft (block by O. Spellman),,79,71
3,5:38.0,Offensive rebound by Team,,79,71
3,5:38.0,D. Wilson enters the game for G. Antetokounmpo,,79,71
3,5:34.0,K. Middleton misses 2-pt hook shot from 5 ft,,79,71
3,5:31.0,,Defensive rebound by T. Prince,79,71
3,5:30.0,,Turnover by T. Prince (traveling),79,71
3,5:17.0,S. Brown makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,82,71
3,5:01.0,,J. Collins misses 2-pt jump shot from 17 ft,82,71
3,4:57.0,Defensive rebound by K. Middleton,,82,71
3,4:54.0,Offensive foul by D. Wilson (drawn by O. Spellman),,82,71
3,4:54.0,Turnover by D. Wilson (offensive foul),,82,71
3,4:54.0,G. Hill enters the game for E. Bledsoe,,82,71
3,4:54.0,,D. Bembry enters the game for J. Lin,82,71
3,4:54.0,,T. Young enters the game for T. Prince,82,71
3,4:37.0,,Shooting foul by K. Middleton (drawn by D. Bembry),82,71
3,4:37.0,,D. Bembry makes free throw 1 of 2,82,72
3,4:37.0,,D. Bembry makes free throw 2 of 2,82,73
3,4:25.0,K. Middleton misses 2-pt layup from 2 ft,,82,73
3,4:22.0,Offensive rebound by D. Wilson,,82,73
3,4:18.0,D. Wilson makes 3-pt jump shot from 23 ft (assist by B. Lopez),,85,73
3,4:01.0,,Shooting foul by B. Lopez (drawn by T. Young),85,73
3,4:01.0,,Offensive rebound by Team,85,73
3,4:01.0,,T. Young misses free throw 1 of 2,85,73
3,4:01.0,E. İlyasova enters the game for B. Lopez,,85,73
3,4:01.0,,T. Young makes free throw 2 of 2,85,74
3,3:47.0,Shooting foul by D. Bembry (drawn by K. Middleton),,85,74
3,3:47.0,K. Middleton makes free throw 1 of 2,,86,74
3,3:47.0,,V. Carter enters the game for J. Collins,86,74
3,3:47.0,K. Middleton misses free throw 2 of 2,,86,74
3,3:45.0,,Defensive rebound by O. Spellman,86,74
3,3:30.0,,D. Bembry makes 3-pt jump shot from 25 ft (assist by V. Carter),86,77
3,3:09.0,D. Wilson makes 2-pt layup from 1 ft (assist by G. Hill),,88,77
3,2:55.0,,O. Spellman misses 2-pt layup at rim (block by D. Wilson),88,77
3,2:53.0,Defensive rebound by K. Middleton,,88,77
3,2:53.0,Turnover by K. Middleton (lost ball; steal by D. Bembry),,88,77
3,2:53.0,,Personal foul by E. İlyasova (drawn by D. Bembry),88,77
3,2:53.0,M. Brogdon enters the game for K. Middleton,,88,77
3,2:41.0,,D. Bembry makes 2-pt layup from 3 ft (assist by V. Carter),88,79
3,2:30.0,G. Hill misses 3-pt jump shot from 25 ft,,88,79
3,2:27.0,,Defensive rebound by D. Bembry,88,79
3,2:21.0,,D. Bembry misses 2-pt layup from 1 ft,88,79
3,2:18.0,Defensive rebound by M. Brogdon,,88,79
3,2:10.0,S. Brown misses 3-pt jump shot from 25 ft (block by O. Spellman),,88,79
3,2:06.0,,Defensive rebound by T. Young,88,79
3,2:06.0,,Shooting foul by G. Hill (drawn by T. Young),88,79
3,2:06.0,,T. Young makes free throw 1 of 2,88,80
3,2:06.0,G. Antetokounmpo enters the game for S. Brown,,88,80
3,2:06.0,T. Snell enters the game for D. Wilson,,88,80
3,2:06.0,,J. Collins enters the game for O. Spellman,88,80
3,2:06.0,,T. Young makes free throw 2 of 2,88,81
3,1:55.0,M. Brogdon misses 3-pt jump shot from 25 ft,,88,81
3,1:52.0,,Defensive rebound by K. Huerter,88,81
3,1:43.0,,Turnover by K. Huerter (bad pass; steal by E. İlyasova),88,81
3,1:39.0,M. Brogdon misses 3-pt jump shot from 26 ft,,88,81
3,1:36.0,Offensive rebound by G. Antetokounmpo,,88,81
3,1:36.0,Shooting foul by D. Bembry (drawn by G. Antetokounmpo),,88,81
3,1:36.0,G. Antetokounmpo makes free throw 1 of 2,,89,81
3,1:36.0,G. Antetokounmpo makes free throw 2 of 2,,90,81
3,1:24.0,,Turnover by D. Bembry (bad pass; steal by G. Antetokounmpo),90,81
3,1:20.0,M. Brogdon makes 2-pt layup from 2 ft,,92,81
3,1:03.0,,Offensive foul by D. Bembry (drawn by E. İlyasova),92,81
3,1:03.0,,Turnover by D. Bembry (offensive foul),92,81
3,1:03.0,,O. Spellman enters the game for J. Collins,92,81
3,0:52.0,G. Hill makes 2-pt layup from 2 ft (assist by M. Brogdon),,94,81
3,0:43.0,,V. Carter misses 3-pt jump shot from 25 ft,94,81
3,0:41.0,Defensive rebound by E. İlyasova,,94,81
3,0:36.0,Personal foul by V. Carter (drawn by G. Antetokounmpo),,94,81
3,0:36.0,G. Antetokounmpo misses free throw 1 of 2,,94,81
3,0:36.0,Offensive rebound by Team,,94,81
3,0:36.0,G. Antetokounmpo makes free throw 2 of 2,,95,81
3,0:24.0,,Personal foul by M. Brogdon (drawn by K. Huerter),95,81
3,0:24.0,,K. Huerter makes free throw 1 of 2,95,82
3,0:24.0,,K. Huerter misses free throw 2 of 2,95,82
3,0:21.0,,Offensive rebound by V. Carter,95,82
3,0:09.0,,T. Young makes 2-pt jump shot from 10 ft,95,84
3,0:02.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,95,84
3,0:01.0,,Defensive rebound by D. Bembry,95,84
4,11:48.0,E. İlyasova misses 3-pt jump shot from 23 ft,,95,84
4,11:43.0,,Defensive rebound by T. Young,95,84
