QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHILADELPHIA_ACTION,LA LAKERS_SCORE,PHILADELPHIA_SCORE
1,8:06.0,,T. Harris makes 2-pt jump shot from 4 ft (assist by B. Simmons),15,13
1,8:06.0,,Shooting foul by L. James (drawn by T. Harris),15,13
1,8:06.0,,T. Harris makes free throw 1 of 1,15,14
1,7:49.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by B. Ingram),,18,14
1,7:39.0,,B. Simmons misses 2-pt jump shot from 5 ft,18,14
1,7:35.0,Defensive rebound by J. McGee,,18,14
1,7:24.0,Turnover by L. James (bad pass; steal by J. Embiid),,18,14
1,7:20.0,,J. Embiid makes 2-pt dunk from 1 ft,18,16
1,6:57.0,J. McGee makes 2-pt dunk from 1 ft (assist by R. Bullock),,20,16
1,6:38.0,,J. Embiid makes 2-pt dunk from 1 ft,20,18
1,6:23.0,Shooting foul by B. Simmons (drawn by K. Kuzma),,20,18
1,6:23.0,,Philadelphia full timeout,20,18
1,6:23.0,,J. Ennis enters the game for J. Butler,20,18
1,6:23.0,,F. Korkmaz enters the game for J. Embiid,20,18
1,6:23.0,,B. Marjanović enters the game for J. Redick,20,18
1,6:23.0,K. Kuzma makes free throw 1 of 2,,21,18
1,6:23.0,K. Kuzma makes free throw 2 of 2,,22,18
1,6:11.0,,T. Harris makes 2-pt dunk from 1 ft (assist by B. Marjanović),22,20
1,6:06.0,K. Kuzma misses 3-pt jump shot from 25 ft,,22,20
1,6:06.0,,Defensive rebound by J. Ennis,22,20
1,5:52.0,,B. Marjanović misses 2-pt jump shot from 4 ft,22,20
1,5:50.0,Defensive rebound by K. Kuzma,,22,20
1,5:29.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),,24,20
1,5:12.0,,B. Marjanović makes 2-pt dunk from 1 ft (assist by F. Korkmaz),24,22
1,4:51.0,K. Kuzma makes 3-pt jump shot from 24 ft (assist by L. James),,27,22
1,4:37.0,,T. Harris makes 2-pt jump shot from 6 ft (assist by F. Korkmaz),27,24
1,4:21.0,J. McGee misses 2-pt jump shot from 10 ft,,27,24
1,4:18.0,,Defensive rebound by T. Harris,27,24
1,4:12.0,,T. Harris makes 2-pt layup from 2 ft,27,26
1,4:11.0,LA Lakers full timeout,,27,26
1,4:11.0,K. Caldwell-Pope enters the game for R. Bullock,,27,26
1,4:11.0,T. Chandler enters the game for B. Ingram,,27,26
1,4:11.0,R. Rondo enters the game for J. McGee,,27,26
1,3:59.0,L. James makes 3-pt jump shot from 26 ft (assist by R. Rondo),,30,26
1,3:38.0,,J. Ennis misses 2-pt layup from 1 ft,30,26
1,3:36.0,Defensive rebound by T. Chandler,,30,26
1,3:34.0,Turnover by L. James (bad pass; steal by B. Simmons),,30,26
1,3:29.0,,T. Harris misses 3-pt jump shot from 28 ft,30,26
1,3:26.0,,Offensive rebound by F. Korkmaz,30,26
1,3:25.0,,F. Korkmaz makes 2-pt jump shot from 12 ft,30,28
1,3:11.0,K. Kuzma makes 3-pt jump shot from 27 ft (assist by R. Rondo),,33,28
1,3:11.0,Shooting foul by J. Ennis (drawn by K. Kuzma),,33,28
1,3:11.0,,J. Butler enters the game for J. Ennis,33,28
1,3:11.0,,J. Embiid enters the game for T. Harris,33,28
1,3:11.0,,T. McConnell enters the game for F. Korkmaz,33,28
1,3:11.0,,J. Redick enters the game for B. Marjanović,33,28
1,3:11.0,,M. Scott enters the game for B. Simmons,33,28
1,3:11.0,K. Kuzma misses free throw 1 of 1,,33,28
1,3:07.0,,Defensive rebound by T. McConnell,33,28
1,3:02.0,,Personal foul by T. Chandler (drawn by J. Embiid),33,28
1,3:02.0,L. Stephenson enters the game for L. James,,33,28
1,2:48.0,,J. Embiid makes 2-pt jump shot from 8 ft,33,30
1,2:36.0,K. Kuzma misses 2-pt jump shot from 17 ft,,33,30
1,2:34.0,,Defensive rebound by J. Embiid,33,30
1,2:22.0,,J. Embiid misses 2-pt jump shot from 13 ft,33,30
1,2:19.0,Defensive rebound by R. Rondo,,33,30
1,2:17.0,L. Stephenson makes 2-pt layup from 2 ft (assist by R. Rondo),,35,30
1,2:05.0,,J. Redick misses 2-pt jump shot from 14 ft,35,30
1,2:02.0,Defensive rebound by R. Rondo,,35,30
1,1:59.0,L. Stephenson misses 3-pt jump shot from 24 ft,,35,30
1,1:58.0,,Defensive rebound by Team,35,30
1,1:41.0,,J. Butler makes 2-pt layup from 2 ft (assist by J. Embiid),35,32
1,1:30.0,K. Kuzma makes 2-pt layup from 2 ft,,37,32
1,1:14.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),37,35
1,0:55.0,R. Rondo misses 2-pt layup from 3 ft,,37,35
1,0:52.0,,Defensive rebound by J. Embiid,37,35
1,0:50.0,,J. Butler misses 3-pt jump shot from 26 ft,37,35
1,0:46.0,,Offensive rebound by M. Scott,37,35
1,0:46.0,,M. Scott misses 2-pt layup from 1 ft,37,35
1,0:43.0,Defensive rebound by T. Chandler,,37,35
1,0:41.0,L. Stephenson misses 2-pt layup from 3 ft,,37,35
1,0:41.0,Offensive rebound by K. Kuzma,,37,35
1,0:40.0,K. Kuzma makes 2-pt layup at rim,,39,35
1,0:40.0,Shooting foul by M. Scott (drawn by K. Kuzma),,39,35
1,0:40.0,K. Kuzma makes free throw 1 of 1,,40,35
1,0:29.0,,Personal foul by R. Rondo (drawn by J. Redick),40,35
1,0:29.0,M. Muscala enters the game for K. Kuzma,,40,35
1,0:25.0,,J. Redick misses 3-pt jump shot from 26 ft,40,35
1,0:21.0,,Offensive rebound by J. Butler,40,35
1,0:21.0,,J. Butler makes 2-pt dunk from 1 ft,40,37
1,0:16.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,40,37
1,0:13.0,,Defensive rebound by J. Embiid,40,37
1,0:05.0,,T. McConnell makes 2-pt layup from 2 ft,40,39
1,0:00.0,R. Rondo misses 2-pt jump shot from 6 ft,,40,39
1,0:00.0,Offensive rebound by Team,,40,39
2,11:41.0,,J. Ennis misses 3-pt jump shot from 23 ft,40,39
2,11:38.0,Defensive rebound by M. Muscala,,40,39
2,11:27.0,L. Stephenson misses 2-pt layup from 5 ft,,40,39
2,11:24.0,,Defensive rebound by J. Butler,40,39
2,11:14.0,,Shooting foul by J. McGee (drawn by J. Embiid),40,39
2,11:14.0,,J. Embiid makes free throw 1 of 2,40,40
2,11:14.0,,J. Embiid makes free throw 2 of 2,40,41
2,11:01.0,K. Caldwell-Pope makes 2-pt jump shot from 16 ft (assist by R. Rondo),,42,41
2,10:35.0,,J. Embiid makes 2-pt jump shot from 14 ft,42,43
2,10:27.0,Turnover by L. Stephenson (bad pass; steal by T. McConnell),,42,43
2,10:21.0,,J. Butler makes 2-pt jump shot from 3 ft (assist by T. McConnell),42,45
2,10:05.0,R. Rondo misses 2-pt layup from 4 ft,,42,45
2,10:03.0,,Defensive rebound by J. Embiid,42,45
2,9:56.0,,T. McConnell makes 2-pt jump shot from 16 ft,42,47
2,9:55.0,LA Lakers full timeout,,42,47
2,9:55.0,B. Ingram enters the game for L. Stephenson,,42,47
2,9:37.0,M. Muscala makes 2-pt jump shot from 22 ft (assist by R. Rondo),,44,47
2,9:21.0,,J. Butler misses 2-pt layup from 5 ft,44,47
2,9:20.0,Defensive rebound by R. Rondo,,44,47
2,9:14.0,M. Muscala misses 2-pt layup from 1 ft,,44,47
2,9:12.0,,Defensive rebound by M. Scott,44,47
2,9:08.0,,J. Ennis misses 2-pt layup from 2 ft (block by J. McGee),44,47
2,9:05.0,Defensive rebound by B. Ingram,,44,47
2,9:01.0,Turnover by R. Rondo (bad pass; steal by M. Scott),,44,47
2,8:48.0,,Shooting foul by B. Ingram (drawn by J. Butler),44,47
2,8:48.0,,J. Butler makes free throw 1 of 2,44,48
2,8:48.0,,T. Harris enters the game for J. Ennis,44,48
2,8:48.0,,J. Redick enters the game for M. Scott,44,48
2,8:48.0,,J. Butler makes free throw 2 of 2,44,49
2,8:33.0,J. McGee makes 2-pt hook shot from 3 ft (assist by B. Ingram),,46,49
2,8:16.0,,T. McConnell makes 2-pt jump shot from 8 ft (assist by J. Redick),46,51
2,8:04.0,M. Muscala makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),,49,51
2,7:42.0,,J. Embiid makes 2-pt layup from 2 ft (assist by T. McConnell),49,53
2,7:30.0,B. Ingram misses 2-pt layup from 3 ft,,49,53
2,7:27.0,,Defensive rebound by J. Embiid,49,53
2,7:26.0,,Offensive foul by J. Embiid (drawn by R. Rondo),49,53
2,7:26.0,,Turnover by J. Embiid (offensive foul),49,53
2,7:26.0,R. Bullock enters the game for K. Caldwell-Pope,,49,53
2,7:26.0,L. James enters the game for M. Muscala,,49,53
2,7:26.0,K. Kuzma enters the game for R. Rondo,,49,53
2,7:26.0,,J. Ennis enters the game for J. Butler,49,53
2,7:26.0,,B. Marjanović enters the game for J. Embiid,49,53
2,7:26.0,,B. Simmons enters the game for T. McConnell,49,53
2,7:10.0,Shooting foul by T. Harris (drawn by B. Ingram),,49,53
2,7:10.0,B. Ingram makes free throw 1 of 2,,50,53
2,7:10.0,B. Ingram makes free throw 2 of 2,,51,53
2,6:53.0,,J. Redick makes 2-pt jump shot from 14 ft,51,55
2,6:38.0,Turnover by B. Ingram (bad pass; steal by J. Redick),,51,55
2,6:35.0,,Turnover by B. Simmons (bad pass; steal by J. McGee),51,55
2,6:31.0,B. Ingram makes 2-pt layup from 1 ft (assist by J. McGee),,53,55
2,6:31.0,,Philadelphia full timeout,53,55
2,6:21.0,,Turnover by T. Harris (bad pass),53,55
2,6:05.0,R. Bullock misses 2-pt jump shot from 22 ft,,53,55
2,6:05.0,Offensive rebound by B. Ingram,,53,55
2,6:05.0,Shooting foul by J. Ennis (drawn by B. Ingram),,53,55
2,6:05.0,B. Ingram makes free throw 1 of 2,,54,55
2,6:05.0,B. Ingram makes free throw 2 of 2,,55,55
2,5:57.0,,Offensive foul by B. Simmons (drawn by R. Bullock),55,55
2,5:57.0,,Turnover by B. Simmons (offensive foul),55,55
2,5:48.0,L. James misses 2-pt layup from 1 ft,,55,55
2,5:42.0,Offensive rebound by J. McGee,,55,55
2,5:42.0,J. McGee makes 2-pt layup at rim,,57,55
2,5:33.0,,J. Redick makes 2-pt layup from 3 ft (assist by B. Simmons),57,57
2,5:24.0,K. Kuzma makes 2-pt layup from 1 ft (assist by L. James),,59,57
2,5:15.0,,J. Redick misses 2-pt jump shot from 13 ft,59,57
2,5:13.0,Defensive rebound by L. James,,59,57
2,5:09.0,B. Ingram makes 2-pt layup from 1 ft (assist by L. James),,61,57
2,4:56.0,,B. Simmons makes 2-pt jump shot from 11 ft,61,59
2,4:45.0,Turnover by J. McGee (traveling),,61,59
2,4:45.0,T. Chandler enters the game for J. McGee,,61,59
2,4:45.0,,J. Butler enters the game for J. Ennis,61,59
2,4:45.0,,J. Embiid enters the game for B. Marjanović,61,59
2,4:32.0,,B. Simmons misses 2-pt jump shot from 12 ft,61,59
2,4:28.0,Defensive rebound by L. James,,61,59
2,4:24.0,Offensive foul by T. Chandler (drawn by J. Redick),,61,59
2,4:24.0,Turnover by T. Chandler (offensive foul),,61,59
2,4:11.0,,J. Embiid makes 2-pt layup from 2 ft (assist by J. Butler),61,61
2,3:47.0,L. James misses 3-pt jump shot from 25 ft,,61,61
2,3:44.0,,Defensive rebound by J. Redick,61,61
2,3:36.0,,J. Embiid makes 2-pt dunk from 1 ft,61,63
2,3:20.0,R. Bullock misses 3-pt jump shot from 23 ft,,61,63
2,3:18.0,,Defensive rebound by T. Harris,61,63
2,3:09.0,,J. Embiid misses 2-pt jump shot from 16 ft,61,63
2,3:05.0,Defensive rebound by L. James,,61,63
2,2:59.0,L. James makes 2-pt layup from 1 ft,,63,63
2,2:51.0,,Shooting foul by L. James (drawn by J. Embiid),63,63
2,2:51.0,,J. Embiid makes free throw 1 of 2,63,64
2,2:51.0,,J. Embiid makes free throw 2 of 2,63,65
2,2:38.0,K. Kuzma misses 3-pt jump shot from 26 ft,,63,65
2,2:35.0,,Defensive rebound by B. Simmons,63,65
2,2:32.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Simmons),63,68
2,2:32.0,,Shooting foul by R. Bullock (drawn by J. Redick),63,68
2,2:32.0,,J. Redick makes free throw 1 of 1,63,69
2,2:18.0,Personal foul by J. Embiid (drawn by R. Bullock),,63,69
2,2:16.0,Personal foul by J. Redick (drawn by R. Bullock),,63,69
2,2:09.0,K. Kuzma misses 2-pt jump shot from 12 ft,,63,69
2,2:06.0,,Defensive rebound by T. Harris,63,69
2,1:59.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by T. Harris),63,72
2,1:47.0,L. James misses 2-pt jump shot from 4 ft,,63,72
2,1:47.0,Offensive rebound by Team,,63,72
2,1:47.0,,Loose ball foul by T. Harris (drawn by T. Chandler),63,72
2,1:47.0,T. Chandler misses free throw 1 of 2,,63,72
2,1:47.0,Offensive rebound by Team,,63,72
2,1:47.0,,M. Scott enters the game for T. Harris,63,72
2,1:47.0,T. Chandler misses free throw 2 of 2,,63,72
2,1:45.0,,Defensive rebound by J. Embiid,63,72
2,1:32.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by B. Simmons),63,74
2,1:20.0,Offensive foul by B. Ingram (drawn by J. Redick),,63,74
2,1:20.0,Turnover by B. Ingram (offensive foul),,63,74
2,1:05.0,,J. Butler misses 2-pt jump shot from 14 ft,63,74
2,1:03.0,Defensive rebound by L. James,,63,74
2,0:59.0,L. James misses 3-pt jump shot from 26 ft,,63,74
2,0:59.0,Offensive rebound by Team,,63,74
2,0:59.0,,Loose ball foul by M. Scott (drawn by K. Kuzma),63,74
2,0:59.0,K. Kuzma makes free throw 1 of 2,,64,74
2,0:59.0,K. Kuzma makes free throw 2 of 2,,65,74
2,0:50.0,,Personal foul by T. Chandler (drawn by J. Embiid),65,74
2,0:50.0,,J. Embiid makes free throw 1 of 2,65,75
2,0:50.0,J. McGee enters the game for T. Chandler,,65,75
2,0:50.0,,J. Embiid makes free throw 2 of 2,65,76
2,0:33.0,J. McGee misses 2-pt layup from 5 ft,,65,76
2,0:31.0,Offensive rebound by J. McGee,,65,76
2,0:31.0,J. McGee misses 2-pt layup at rim,,65,76
2,0:31.0,Offensive rebound by J. McGee,,65,76
2,0:30.0,J. McGee makes 2-pt layup at rim,,67,76
2,0:17.0,,B. Simmons misses 2-pt jump shot from 5 ft,67,76
2,0:14.0,Defensive rebound by J. McGee,,67,76
2,0:00.0,Shooting foul by M. Scott (drawn by J. McGee),,67,76
2,0:00.0,J. McGee misses free throw 1 of 2,,67,76
2,0:00.0,Offensive rebound by Team,,67,76
2,0:00.0,,B. Marjanović enters the game for M. Scott,67,76
2,0:00.0,J. McGee misses free throw 2 of 2,,67,76
2,0:00.0,,Defensive rebound by J. Embiid,67,76
3,11:43.0,,J. Embiid makes 2-pt hook shot from 8 ft,67,78
3,11:13.0,Offensive foul by K. Kuzma (drawn by T. Harris),,67,78
3,11:13.0,Turnover by K. Kuzma (offensive foul),,67,78
3,11:04.0,,B. Simmons misses 3-pt jump shot from 27 ft,67,78
3,11:01.0,Defensive rebound by J. McGee,,67,78
3,10:49.0,B. Ingram makes 2-pt jump shot from 21 ft,,69,78
3,10:42.0,,B. Simmons misses 2-pt jump shot from 1 ft,69,78
3,10:42.0,Defensive rebound by B. Ingram,,69,78
3,10:33.0,J. McGee misses 2-pt layup from 2 ft,,69,78
3,10:30.0,,Defensive rebound by B. Simmons,69,78
3,10:24.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by B. Simmons),69,81
3,10:10.0,L. James misses 3-pt jump shot from 27 ft,,69,81
3,10:06.0,Offensive rebound by J. McGee,,69,81
3,10:03.0,J. McGee makes 2-pt dunk from 1 ft (assist by B. Ingram),,71,81
3,9:43.0,,J. Embiid misses 2-pt jump shot from 6 ft,71,81
3,9:41.0,Defensive rebound by L. James,,71,81
3,9:38.0,L. James makes 2-pt layup from 2 ft,,73,81
3,9:25.0,,J. Redick misses 3-pt jump shot from 26 ft,73,81
3,9:25.0,Defensive rebound by L. James,,73,81
3,9:21.0,J. McGee makes 2-pt dunk at rim (assist by L. James),,75,81
3,9:21.0,,Philadelphia full timeout,75,81
3,9:08.0,,J. Butler misses 2-pt jump shot from 17 ft,75,81
3,9:05.0,Defensive rebound by K. Kuzma,,75,81
3,8:54.0,K. Kuzma misses 3-pt jump shot from 25 ft,,75,81
3,8:51.0,,Defensive rebound by J. Embiid,75,81
3,8:36.0,,T. Harris misses 2-pt jump shot from 4 ft,75,81
3,8:34.0,Defensive rebound by L. James,,75,81
3,8:23.0,L. James makes 2-pt layup from 1 ft (assist by B. Ingram),,77,81
3,8:11.0,,Shooting foul by J. McGee (drawn by J. Embiid),77,81
3,8:11.0,,J. Embiid makes free throw 1 of 2,77,82
3,8:11.0,,J. Embiid misses free throw 2 of 2,77,82
3,8:08.0,Defensive rebound by J. McGee,,77,82
3,7:53.0,J. McGee makes 2-pt layup from 1 ft (assist by K. Kuzma),,79,82
3,7:36.0,,Turnover by J. Embiid (out of bounds lost ball),79,82
3,7:19.0,L. James misses 2-pt layup from 5 ft,,79,82
3,7:17.0,,Defensive rebound by J. Embiid,79,82
3,7:09.0,,Shooting foul by J. McGee (drawn by J. Embiid),79,82
3,7:09.0,,J. Embiid makes free throw 1 of 2,79,83
3,7:09.0,T. Chandler enters the game for J. McGee,,79,83
3,7:09.0,,J. Ennis enters the game for J. Butler,79,83
3,7:09.0,,F. Korkmaz enters the game for J. Redick,79,83
3,7:09.0,,J. Embiid makes free throw 2 of 2,79,84
3,6:51.0,B. Ingram misses 2-pt jump shot from 17 ft,,79,84
3,6:48.0,,Defensive rebound by T. Harris,79,84
3,6:42.0,,J. Embiid makes 3-pt jump shot from 25 ft (assist by T. Harris),79,87
3,6:28.0,B. Ingram makes 2-pt jump shot from 4 ft,,81,87
3,6:28.0,Shooting foul by J. Ennis (drawn by B. Ingram),,81,87
3,6:28.0,K. Caldwell-Pope enters the game for R. Bullock,,81,87
3,6:28.0,,B. Marjanović enters the game for J. Embiid,81,87
3,6:28.0,B. Ingram makes free throw 1 of 1,,82,87
3,6:08.0,,T. Harris makes 2-pt hook shot from 1 ft,82,89
3,5:53.0,B. Ingram misses 2-pt layup from 3 ft (block by B. Marjanović),,82,89
3,5:49.0,Offensive rebound by T. Chandler,,82,89
3,5:44.0,K. Kuzma makes 2-pt jump shot from 4 ft,,84,89
3,5:20.0,,T. Harris misses 2-pt hook shot from 4 ft,84,89
3,5:15.0,Defensive rebound by L. James,,84,89
3,5:03.0,B. Ingram misses 2-pt jump shot from 11 ft,,84,89
3,5:00.0,,Defensive rebound by F. Korkmaz,84,89
3,4:56.0,,B. Simmons misses 2-pt dunk from 1 ft,84,89
3,4:52.0,,Offensive rebound by T. Harris,84,89
3,4:49.0,,B. Marjanović makes 2-pt hook shot from 3 ft (assist by T. Harris),84,91
3,4:47.0,Technical foul by T. Chandler,,84,91
3,4:47.0,,T. Harris misses technical free throw,84,91
3,4:47.0,Defensive rebound by Team,,84,91
3,4:47.0,M. Muscala enters the game for T. Chandler,,84,91
3,4:47.0,R. Rondo enters the game for B. Ingram,,84,91
3,4:34.0,M. Muscala misses 3-pt jump shot from 25 ft,,84,91
3,4:31.0,,Defensive rebound by T. Harris,84,91
3,4:27.0,,J. Ennis misses 3-pt jump shot from 24 ft,84,91
3,4:24.0,Defensive rebound by K. Caldwell-Pope,,84,91
3,4:17.0,K. Kuzma makes 2-pt hook shot from 4 ft (assist by R. Rondo),,86,91
3,4:01.0,,T. Harris makes 3-pt jump shot from 27 ft,86,94
3,3:48.0,K. Kuzma makes 2-pt jump shot from 7 ft (assist by M. Muscala),,88,94
3,3:48.0,Shooting foul by J. Ennis (drawn by K. Kuzma),,88,94
3,3:48.0,K. Kuzma makes free throw 1 of 1,,89,94
3,3:25.0,,T. Harris misses 2-pt jump shot from 13 ft,89,94
3,3:19.0,,Offensive rebound by B. Marjanović,89,94
3,3:19.0,,B. Marjanović makes 2-pt layup from 2 ft,89,96
3,3:04.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by M. Muscala),,92,96
3,2:59.0,,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by B. Simmons),92,99
3,2:44.0,M. Muscala misses 3-pt jump shot from 26 ft,,92,99
3,2:41.0,,Defensive rebound by J. Ennis,92,99
3,2:28.0,,F. Korkmaz misses 2-pt jump shot from 3 ft,92,99
3,2:28.0,,Offensive rebound by Team,92,99
3,2:28.0,Loose ball foul by M. Muscala (drawn by J. Ennis),,92,99
3,2:28.0,LA Lakers full timeout,,92,99
3,2:28.0,T. Chandler enters the game for L. James,,92,99
3,2:28.0,L. Stephenson enters the game for K. Kuzma,,92,99
3,2:28.0,,J. Butler enters the game for J. Ennis,92,99
3,2:28.0,,J. Embiid enters the game for T. Harris,92,99
3,2:28.0,,T. McConnell enters the game for F. Korkmaz,92,99
3,2:28.0,,J. Redick enters the game for B. Marjanović,92,99
3,2:28.0,,M. Scott enters the game for B. Simmons,92,99
3,2:26.0,,J. Redick makes 2-pt layup from 1 ft (assist by J. Butler),92,101
3,2:05.0,M. Muscala misses 3-pt jump shot from 26 ft,,92,101
3,2:02.0,,Defensive rebound by J. Butler,92,101
3,1:49.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by J. Redick),92,104
3,1:32.0,L. Stephenson misses 3-pt jump shot from 26 ft,,92,104
3,1:29.0,Offensive rebound by L. Stephenson,,92,104
3,1:26.0,L. Stephenson makes 2-pt jump shot from 16 ft,,94,104
3,1:00.0,,J. Embiid makes 2-pt jump shot from 9 ft,94,106
3,0:46.0,L. Stephenson misses 2-pt jump shot from 17 ft,,94,106
3,0:43.0,,Defensive rebound by J. Embiid,94,106
3,0:30.0,,J. Redick misses 3-pt jump shot from 26 ft,94,106
3,0:28.0,Defensive rebound by T. Chandler,,94,106
3,0:07.0,Turnover by L. Stephenson (bad pass; steal by T. McConnell),,94,106
3,0:00.0,,T. McConnell makes 3-pt jump shot from 26 ft (assist by M. Scott),94,109
4,11:50.0,Personal foul by T. McConnell (drawn by R. Rondo),,94,109
4,11:44.0,B. Ingram makes 2-pt layup from 1 ft (assist by R. Rondo),,96,109
4,11:27.0,,J. Butler makes 3-pt jump shot from 25 ft (assist by T. McConnell),96,112
4,11:15.0,L. Stephenson misses 3-pt jump shot from 25 ft,,96,112
4,11:06.0,Offensive rebound by J. McGee,,96,112
4,11:06.0,J. McGee misses 2-pt layup from 1 ft,,96,112
4,11:06.0,,Defensive rebound by J. Embiid,96,112
4,11:05.0,,Personal foul by L. Stephenson (drawn by M. Scott),96,112
4,10:56.0,,Personal foul by B. Ingram (drawn by J. Embiid),96,112
4,10:47.0,,M. Scott makes 2-pt jump shot from 17 ft,96,114
4,10:34.0,Turnover by R. Rondo (bad pass; steal by M. Scott),,96,114
4,10:32.0,,M. Scott makes 2-pt layup from 1 ft,96,116
4,10:32.0,,Shooting foul by L. Stephenson (drawn by M. Scott),96,116
4,10:32.0,L. James enters the game for L. Stephenson,,96,116
4,10:32.0,,M. Scott misses free throw 1 of 1,96,116
4,10:29.0,Defensive rebound by J. McGee,,96,116
4,10:20.0,B. Ingram makes 2-pt jump shot from 13 ft,,98,116
4,10:05.0,,F. Korkmaz misses 2-pt layup from 5 ft (block by K. Caldwell-Pope),98,116
4,10:03.0,Defensive rebound by Team,,98,116
4,9:51.0,K. Caldwell-Pope makes 2-pt jump shot from 17 ft,,100,116
4,9:49.0,,Philadelphia full timeout,100,116
4,9:49.0,R. Bullock enters the game for R. Rondo,,100,116
4,9:26.0,,T. McConnell makes 2-pt layup from 2 ft,100,118
4,9:10.0,J. McGee makes 2-pt dunk from 1 ft (assist by R. Bullock),,102,118
4,8:43.0,,Turnover by J. Embiid (bad pass; steal by K. Caldwell-Pope),102,118
4,8:25.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,102,118
4,8:20.0,,Defensive rebound by J. Embiid,102,118
4,8:11.0,,M. Scott misses 3-pt jump shot from 26 ft,102,118
4,8:08.0,Defensive rebound by L. James,,102,118
4,8:06.0,R. Bullock makes 2-pt layup from 1 ft (assist by L. James),,104,118
4,7:43.0,,J. Butler makes 2-pt dunk from 1 ft (assist by J. Embiid),104,120
4,7:25.0,L. James makes 2-pt layup from 2 ft,,106,120
4,7:11.0,,M. Scott misses 3-pt jump shot from 24 ft,106,120
4,7:07.0,Defensive rebound by K. Caldwell-Pope,,106,120
4,7:01.0,L. James makes 2-pt jump shot from 21 ft,,108,120
4,6:44.0,,Shooting foul by J. McGee (drawn by J. Embiid),108,120
4,6:44.0,,J. Embiid makes free throw 1 of 2,108,121
4,6:44.0,K. Kuzma enters the game for J. McGee,,108,121
4,6:44.0,,T. Harris enters the game for J. Butler,108,121
4,6:44.0,,J. Redick enters the game for T. McConnell,108,121
4,6:44.0,,B. Simmons enters the game for M. Scott,108,121
4,6:44.0,,J. Embiid makes free throw 2 of 2,108,122
4,6:33.0,Turnover by L. James (bad pass),,108,122
4,6:33.0,,B. Marjanović enters the game for J. Embiid,108,122
4,6:21.0,,Def 3 sec tech foul by Team,108,122
4,6:21.0,,J. Redick makes technical free throw,108,123
