QUARTER,TIME_REMAINING,CHICAGO_ACTION,BOSTON_ACTION,CHICAGO_SCORE,BOSTON_SCORE
3,7:30.0,Defensive rebound by J. Holiday,,41,62
3,7:18.0,J. Holiday misses 3-pt jump shot from 26 ft,,41,62
3,7:16.0,,Defensive rebound by A. Horford,41,62
3,7:08.0,,J. Brown makes 2-pt layup from 1 ft (assist by K. Irving),41,64
3,6:46.0,R. Arcidiacono makes 3-pt jump shot from 26 ft (assist by J. Holiday),,44,64
3,6:25.0,,G. Hayward makes 2-pt jump shot from 14 ft (assist by K. Irving),44,66
3,6:12.0,Turnover by W. Carter (bad pass),,44,66
3,6:12.0,,M. Smart enters the game for G. Hayward,44,66
3,6:12.0,,D. Theis enters the game for A. Horford,44,66
3,6:00.0,,Turnover by D. Theis (bad pass),44,66
3,5:49.0,R. Arcidiacono makes 3-pt jump shot from 26 ft (assist by J. Parker),,47,66
3,5:48.0,,Boston full timeout,47,66
3,5:34.0,,M. Smart misses 2-pt jump shot from 11 ft,47,66
3,5:28.0,Defensive rebound by R. Arcidiacono,,47,66
3,5:15.0,Turnover by J. Parker (bad pass),,47,66
3,5:07.0,,J. Brown makes 2-pt layup from 1 ft (assist by M. Smart),47,68
3,4:52.0,W. Carter misses 3-pt jump shot from 23 ft,,47,68
3,4:50.0,,Defensive rebound by J. Tatum,47,68
3,4:35.0,,J. Tatum makes 3-pt jump shot from 24 ft (assist by J. Brown),47,71
3,4:33.0,Chicago full timeout,,47,71
3,4:33.0,C. Hutchison enters the game for J. Parker,,47,71
3,4:33.0,,T. Rozier enters the game for K. Irving,47,71
3,4:14.0,Shooting foul by M. Smart (drawn by Z. LaVine),,47,71
3,4:14.0,Z. LaVine makes free throw 1 of 2,,48,71
3,4:14.0,Z. LaVine makes free throw 2 of 2,,49,71
3,4:01.0,,Personal foul by R. Arcidiacono (drawn by J. Tatum),49,71
3,4:01.0,S. Harrison enters the game for R. Arcidiacono,,49,71
3,3:54.0,,J. Tatum misses 3-pt jump shot from 24 ft,49,71
3,3:52.0,Defensive rebound by Z. LaVine,,49,71
3,3:38.0,Personal foul by J. Brown (drawn by W. Carter),,49,71
3,3:25.0,W. Carter makes 2-pt dunk from 1 ft (assist by J. Holiday),,51,71
3,3:04.0,,Turnover by J. Tatum (bad pass; steal by Z. LaVine),51,71
3,2:59.0,Turnover by Z. LaVine (bad pass; steal by D. Theis),,51,71
3,2:43.0,,Personal foul by J. Holiday (drawn by J. Brown),51,71
3,2:43.0,A. Blakeney enters the game for W. Carter,,51,71
3,2:43.0,R. Lopez enters the game for J. Holiday,,51,71
3,2:37.0,,T. Rozier misses 3-pt jump shot from 26 ft,51,71
3,2:35.0,Defensive rebound by Z. LaVine,,51,71
3,2:28.0,Shooting foul by D. Theis (drawn by Z. LaVine),,51,71
3,2:28.0,Z. LaVine makes free throw 1 of 2,,52,71
3,2:28.0,,A. Baynes enters the game for J. Brown,52,71
3,2:28.0,,G. Hayward enters the game for J. Tatum,52,71
3,2:28.0,,S. Ojeleye enters the game for D. Theis,52,71
3,2:28.0,Z. LaVine makes free throw 2 of 2,,53,71
3,2:04.0,,M. Smart misses 3-pt jump shot from 23 ft,53,71
3,2:02.0,Defensive rebound by Z. LaVine,,53,71
3,1:53.0,Shooting foul by M. Smart (drawn by S. Harrison),,53,71
3,1:53.0,S. Harrison makes free throw 1 of 2,,54,71
3,1:53.0,S. Harrison makes free throw 2 of 2,,55,71
3,1:30.0,,M. Smart makes 3-pt jump shot from 26 ft (assist by T. Rozier),55,74
3,1:10.0,R. Lopez makes 2-pt hook shot from 5 ft (assist by Z. LaVine),,57,74
3,1:02.0,,Turnover by M. Smart (lost ball; steal by S. Harrison),57,74
3,1:00.0,S. Harrison makes 2-pt layup at rim,,59,74
3,0:50.0,,Personal foul by R. Lopez (drawn by M. Smart),59,74
3,0:45.0,,G. Hayward makes 3-pt jump shot from 26 ft,59,77
3,0:30.0,A. Blakeney misses 3-pt jump shot from 27 ft,,59,77
3,0:28.0,,Defensive rebound by T. Rozier,59,77
3,0:10.0,,Turnover by M. Smart (out of bounds lost ball),59,77
3,0:03.0,Z. LaVine misses 2-pt layup from 2 ft,,59,77
3,0:02.0,,Defensive rebound by A. Baynes,59,77
4,11:41.0,A. Blakeney misses 2-pt jump shot from 6 ft,,59,77
4,11:41.0,Offensive rebound by R. Lopez,,59,77
4,11:40.0,R. Lopez misses 2-pt layup at rim,,59,77
4,11:38.0,Offensive rebound by R. Lopez,,59,77
4,11:29.0,A. Blakeney makes 3-pt jump shot from 24 ft (assist by S. Harrison),,62,77
4,11:06.0,,A. Baynes makes 3-pt jump shot from 24 ft (assist by K. Irving),62,80
4,10:54.0,S. Harrison makes 2-pt layup from 1 ft,,64,80
4,10:44.0,,Shooting foul by A. Blakeney (drawn by K. Irving),64,80
4,10:44.0,,K. Irving makes free throw 1 of 2,64,81
4,10:44.0,,K. Irving makes free throw 2 of 2,64,82
4,10:35.0,Turnover by C. Hutchison (bad pass; steal by K. Irving),,64,82
4,10:31.0,,K. Irving makes 2-pt layup from 2 ft,64,84
4,10:19.0,Turnover by A. Blakeney (out of bounds lost ball),,64,84
4,10:06.0,,K. Irving makes 2-pt jump shot from 2 ft (assist by G. Hayward),64,86
4,9:55.0,J. Holiday misses 3-pt jump shot from 23 ft,,64,86
4,9:52.0,,Defensive rebound by G. Hayward,64,86
4,9:46.0,,A. Baynes makes 2-pt layup from 1 ft (assist by G. Hayward),64,88
4,9:46.0,,Shooting foul by J. Holiday (drawn by A. Baynes),64,88
4,9:46.0,,A. Baynes makes free throw 1 of 1,64,89
4,9:35.0,Turnover by R. Lopez (lost ball; steal by G. Hayward),,64,89
4,9:32.0,,G. Hayward makes 2-pt layup from 2 ft,64,91
4,9:32.0,,Shooting foul by S. Harrison (drawn by G. Hayward),64,91
4,9:32.0,,G. Hayward makes free throw 1 of 1,64,92
4,9:29.0,Chicago full timeout,,64,92
4,9:29.0,C. Felício enters the game for R. Lopez,,64,92
4,9:23.0,A. Blakeney makes 2-pt jump shot from 9 ft,,66,92
4,9:12.0,,T. Rozier makes 2-pt layup from 3 ft,66,94
4,9:12.0,Violation by Team (def goaltending),,66,94
4,9:02.0,A. Blakeney misses 3-pt jump shot from 28 ft,,66,94
4,9:00.0,Offensive rebound by C. Felício,,66,94
4,8:59.0,C. Felício makes 2-pt layup from 1 ft,,68,94
4,8:59.0,,B. Wanamaker enters the game for K. Irving,68,94
4,8:44.0,,G. Hayward makes 2-pt jump shot from 8 ft (assist by A. Baynes),68,96
4,8:29.0,Turnover by A. Blakeney (lost ball; steal by G. Hayward),,68,96
4,8:27.0,Loose ball foul by A. Blakeney (drawn by G. Hayward),,68,96
4,8:27.0,C. Payne enters the game for J. Holiday,,68,96
4,8:16.0,,G. Hayward misses 2-pt jump shot from 5 ft,68,96
4,8:14.0,,Offensive rebound by G. Hayward,68,96
4,8:11.0,,A. Baynes misses 3-pt jump shot from 27 ft,68,96
4,8:09.0,Defensive rebound by S. Harrison,,68,96
4,8:01.0,C. Felício misses 2-pt layup from 5 ft,,68,96
4,7:59.0,,Defensive rebound by A. Baynes,68,96
4,7:55.0,,T. Rozier misses 2-pt layup from 2 ft (block by A. Blakeney),68,96
4,7:54.0,Defensive rebound by S. Harrison,,68,96
4,7:48.0,S. Harrison makes 2-pt layup from 1 ft,,70,96
4,7:33.0,,T. Rozier misses 2-pt layup from 4 ft,70,96
4,7:32.0,Defensive rebound by C. Felício,,70,96
4,7:20.0,A. Blakeney misses 3-pt jump shot from 27 ft,,70,96
4,7:18.0,,Defensive rebound by A. Baynes,70,96
4,7:00.0,,T. Rozier misses 2-pt jump shot from 19 ft,70,96
4,6:58.0,Defensive rebound by S. Harrison,,70,96
4,6:48.0,S. Harrison misses 2-pt layup from 3 ft,,70,96
4,6:46.0,,Defensive rebound by A. Baynes,70,96
4,6:40.0,,B. Wanamaker misses 2-pt layup from 2 ft,70,96
4,6:38.0,Defensive rebound by C. Payne,,70,96
4,6:28.0,Turnover by A. Blakeney (traveling),,70,96
4,6:08.0,,T. Rozier misses 2-pt jump shot from 20 ft,70,96
4,6:06.0,Defensive rebound by S. Harrison,,70,96
4,6:01.0,Turnover by A. Blakeney (lost ball; steal by G. Hayward),,70,96
4,5:57.0,,S. Ojeleye makes 2-pt dunk from 1 ft (assist by G. Hayward),70,98
4,5:48.0,A. Blakeney misses 2-pt layup from 5 ft (block by A. Baynes),,70,98
4,5:45.0,,Defensive rebound by S. Ojeleye,70,98
4,5:40.0,,Turnover by S. Ojeleye (bad pass; steal by S. Harrison),70,98
4,5:38.0,Personal foul by A. Baynes (drawn by C. Felício),,70,98
4,5:38.0,R. Arcidiacono enters the game for A. Blakeney,,70,98
4,5:38.0,,D. Theis enters the game for A. Baynes,70,98
4,5:38.0,,G. Yabusele enters the game for G. Hayward,70,98
4,5:19.0,C. Hutchison misses 3-pt jump shot from 26 ft,,70,98
4,5:17.0,,Defensive rebound by T. Rozier,70,98
4,5:09.0,,B. Wanamaker makes 3-pt jump shot from 26 ft (assist by T. Rozier),70,101
4,4:55.0,S. Harrison makes 2-pt layup from 1 ft,,72,101
4,4:47.0,,Personal foul by C. Hutchison (drawn by G. Yabusele),72,101
4,4:47.0,Technical foul by C. Hutchison,,72,101
4,4:47.0,,T. Rozier makes technical free throw,72,102
4,4:47.0,,G. Yabusele misses free throw 1 of 2,72,102
4,4:47.0,,Offensive rebound by Team,72,102
4,4:47.0,,G. Yabusele makes free throw 2 of 2,72,103
4,4:29.0,C. Payne misses 2-pt jump shot from 7 ft,,72,103
4,4:26.0,,Defensive rebound by T. Rozier,72,103
4,4:23.0,,Turnover by S. Ojeleye (traveling),72,103
4,4:15.0,S. Harrison misses 2-pt layup from 6 ft,,72,103
4,4:14.0,,Defensive rebound by G. Yabusele,72,103
4,4:11.0,,T. Rozier makes 2-pt dunk from 3 ft (assist by G. Yabusele),72,105
4,4:00.0,Personal foul by T. Rozier (drawn by S. Harrison),,72,105
4,3:48.0,Shooting foul by D. Theis (drawn by C. Felício),,72,105
4,3:48.0,C. Felício makes free throw 1 of 2,,73,105
4,3:48.0,C. Felício makes free throw 2 of 2,,74,105
4,3:39.0,,Personal foul by S. Harrison (drawn by G. Yabusele),74,105
4,3:39.0,,G. Yabusele makes free throw 1 of 2,74,106
4,3:39.0,,G. Yabusele makes free throw 2 of 2,74,107
4,3:22.0,C. Hutchison misses 2-pt hook shot from 7 ft,,74,107
4,3:20.0,Offensive rebound by C. Felício,,74,107
4,3:18.0,C. Felício makes 2-pt layup from 3 ft,,76,107
4,3:00.0,,D. Theis makes 2-pt layup from 3 ft (assist by B. Wanamaker),76,109
4,2:46.0,R. Arcidiacono misses 3-pt jump shot from 22 ft,,76,109
4,2:43.0,,Defensive rebound by B. Wanamaker,76,109
4,2:35.0,,Turnover by B. Wanamaker (lost ball; steal by C. Hutchison),76,109
4,2:32.0,S. Harrison makes 2-pt layup from 1 ft (assist by C. Hutchison),,78,109
4,2:32.0,,Boston full timeout,78,109
4,2:20.0,,T. Rozier misses 3-pt jump shot from 26 ft,78,109
4,2:18.0,Defensive rebound by R. Arcidiacono,,78,109
4,1:57.0,C. Payne makes 2-pt jump shot from 10 ft,,80,109
4,1:32.0,,Turnover by Team (shot clock),80,109
4,1:13.0,Turnover by C. Payne (step out of bounds),,80,109
4,0:55.0,,T. Rozier misses 3-pt jump shot from 26 ft,80,109
4,0:50.0,Defensive rebound by S. Harrison,,80,109
4,0:43.0,S. Harrison makes 2-pt layup from 2 ft,,82,109
4,0:31.0,,G. Yabusele misses 2-pt hook shot from 3 ft,82,109
4,0:30.0,Defensive rebound by C. Hutchison,,82,109
4,0:23.0,S. Harrison misses 2-pt layup from 3 ft (block by D. Theis),,82,109
4,0:22.0,,Defensive rebound by D. Theis,82,109
4,0:18.0,,T. Rozier makes 2-pt layup from 2 ft (assist by B. Wanamaker),82,111
