QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA CLIPPERS_ACTION,PORTLAND_SCORE,LA CLIPPERS_SCORE
2,2:53.0,D. Lillard makes 2-pt jump shot from 13 ft,,43,45
2,2:34.0,,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,43,45
2,2:29.0,,Offensive rebound by I. Zubac,43,45
2,2:29.0,,I. Zubac misses 2-pt layup at rim,43,45
2,2:28.0,,I. Zubac makes 2-pt layup at rim,43,47
2,2:28.0,,Offensive rebound by I. Zubac,43,47
2,2:20.0,Shooting foul by J. Green (drawn by J. Nurkić),,43,47
2,2:20.0,J. Nurkić makes free throw 1 of 2,,44,47
2,2:20.0,J. Nurkić makes free throw 2 of 2,,45,47
2,1:59.0,,P. Beverley misses 2-pt layup from 3 ft,45,47
2,1:57.0,Defensive rebound by D. Lillard,,45,47
2,1:53.0,Turnover by D. Lillard (bad pass),,45,47
2,1:53.0,,L. Williams enters the game for S. Gilgeous-Alexander,45,47
2,1:33.0,,Shooting foul by J. Nurkić (drawn by I. Zubac),45,47
2,1:33.0,,I. Zubac makes free throw 1 of 2,45,48
2,1:33.0,,I. Zubac makes free throw 2 of 2,45,49
2,1:19.0,D. Lillard misses 2-pt layup from 1 ft,,45,49
2,1:10.0,Offensive rebound by J. Nurkić,,45,49
2,1:10.0,J. Nurkić misses 2-pt layup from 1 ft,,45,49
2,1:08.0,,Defensive rebound by J. Green,45,49
2,1:07.0,,P. Beverley misses 2-pt layup from 2 ft (block by M. Harkless),45,49
2,1:04.0,Defensive rebound by A. Aminu,,45,49
2,1:02.0,C. McCollum misses 2-pt jump shot from 19 ft,,45,49
2,0:59.0,,Defensive rebound by J. Green,45,49
2,0:52.0,,L. Williams makes 2-pt layup from 2 ft,45,51
2,0:32.0,A. Aminu makes 2-pt hook shot from 7 ft,,47,51
2,0:16.0,,Personal foul by M. Harkless (drawn by L. Williams),47,51
2,0:16.0,,Offensive rebound by Team,47,51
2,0:16.0,,L. Williams misses free throw 1 of 2,47,51
2,0:16.0,S. Curry enters the game for A. Aminu,,47,51
2,0:16.0,,L. Williams makes free throw 2 of 2,47,52
2,0:02.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by M. Harkless),,50,52
2,0:00.0,,I. Zubac misses 2-pt layup from 2 ft,50,52
2,0:00.0,,Offensive rebound by I. Zubac,50,52
3,11:46.0,,L. Shamet makes 3-pt jump shot from 24 ft (assist by S. Gilgeous-Alexander),50,55
3,11:29.0,C. McCollum makes 2-pt jump shot from 7 ft (assist by D. Lillard),,52,55
3,11:08.0,,J. Green misses 2-pt jump shot from 16 ft,52,55
3,11:05.0,Defensive rebound by D. Lillard,,52,55
3,10:57.0,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard),,54,55
3,10:38.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by I. Zubac),54,58
3,10:17.0,D. Lillard makes 2-pt layup from 2 ft,,56,58
3,10:00.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 19 ft,56,58
3,9:56.0,Defensive rebound by C. McCollum,,56,58
3,9:49.0,Turnover by J. Nurkić (bad pass; steal by S. Gilgeous-Alexander),,56,58
3,9:36.0,,I. Zubac makes 2-pt hook shot from 4 ft (assist by P. Beverley),56,60
3,9:23.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by J. Nurkić),,59,60
3,9:08.0,,I. Zubac makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),59,62
3,8:57.0,A. Aminu makes 2-pt dunk from 1 ft (assist by J. Nurkić),,61,62
3,8:48.0,,Shooting foul by A. Aminu (drawn by S. Gilgeous-Alexander),61,62
3,8:48.0,,S. Gilgeous-Alexander makes free throw 1 of 2,61,63
3,8:48.0,,S. Gilgeous-Alexander misses free throw 2 of 2,61,63
3,8:46.0,Defensive rebound by A. Aminu,,61,63
3,8:37.0,D. Lillard misses 2-pt layup from 1 ft,,61,63
3,8:35.0,,Defensive rebound by J. Green,61,63
3,8:26.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 6 ft,61,65
3,8:16.0,Turnover by J. Nurkić (bad pass),,61,65
3,8:07.0,,L. Shamet misses 3-pt jump shot from 26 ft,61,65
3,8:05.0,Defensive rebound by J. Nurkić,,61,65
3,7:56.0,M. Harkless misses 3-pt jump shot from 24 ft,,61,65
3,7:53.0,Offensive rebound by J. Nurkić,,61,65
3,7:53.0,J. Nurkić makes 2-pt layup at rim,,63,65
3,7:53.0,Shooting foul by I. Zubac (drawn by J. Nurkić),,63,65
3,7:53.0,J. Nurkić makes free throw 1 of 1,,64,65
3,7:45.0,,Personal foul by C. McCollum (drawn by L. Shamet),64,65
3,7:34.0,,I. Zubac misses 2-pt hook shot from 3 ft,64,65
3,7:30.0,Defensive rebound by A. Aminu,,64,65
3,7:22.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),,66,65
3,6:55.0,,I. Zubac misses 2-pt jump shot from 18 ft,66,65
3,6:52.0,Defensive rebound by A. Aminu,,66,65
3,6:45.0,C. McCollum makes 2-pt jump shot from 8 ft (assist by M. Harkless),,68,65
3,6:39.0,,LA Clippers full timeout,68,65
3,6:39.0,,M. Harrell enters the game for I. Zubac,68,65
3,6:22.0,,P. Beverley misses 2-pt jump shot from 8 ft,68,65
3,6:20.0,,Offensive rebound by M. Harrell,68,65
3,6:16.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by M. Harrell),68,67
3,5:59.0,Def 3 sec tech foul by Team,,68,67
3,5:59.0,,L. Williams enters the game for L. Shamet,68,67
3,5:59.0,D. Lillard makes technical free throw,,69,67
3,5:52.0,C. McCollum misses 3-pt jump shot from 26 ft,,69,67
3,5:48.0,Offensive rebound by J. Nurkić,,69,67
3,5:48.0,J. Nurkić misses 2-pt layup from 2 ft,,69,67
3,5:48.0,Offensive rebound by M. Harkless,,69,67
3,5:44.0,M. Harkless misses 2-pt layup at rim,,69,67
3,5:43.0,,Defensive rebound by S. Gilgeous-Alexander,69,67
3,5:34.0,,Shooting foul by A. Aminu (drawn by M. Harrell),69,67
3,5:34.0,,Offensive rebound by Team,69,67
3,5:34.0,,M. Harrell misses free throw 1 of 2,69,67
3,5:34.0,,M. Harrell makes free throw 2 of 2,69,68
3,5:13.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Harkless),,72,68
3,4:59.0,,Turnover by L. Williams (bad pass; steal by A. Aminu),72,68
3,4:55.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),,75,68
3,4:53.0,,LA Clippers full timeout,75,68
3,4:36.0,,L. Williams misses 2-pt jump shot from 5 ft,75,68
3,4:32.0,,Offensive rebound by M. Harrell,75,68
3,4:32.0,,M. Harrell makes 2-pt layup from 1 ft,75,70
3,4:15.0,A. Aminu misses 2-pt layup from 2 ft (block by M. Harrell),,75,70
3,4:14.0,Offensive rebound by J. Nurkić,,75,70
3,4:14.0,J. Nurkić misses 2-pt layup from 2 ft,,75,70
3,4:14.0,Offensive rebound by J. Nurkić,,75,70
3,4:14.0,Shooting foul by S. Gilgeous-Alexander (drawn by J. Nurkić),,75,70
3,4:14.0,J. Nurkić makes free throw 1 of 2,,76,70
3,4:14.0,,G. Temple enters the game for S. Gilgeous-Alexander,76,70
3,4:14.0,J. Nurkić makes free throw 2 of 2,,77,70
3,4:06.0,,G. Temple misses 2-pt jump shot from 7 ft,77,70
3,4:04.0,,Offensive rebound by M. Harrell,77,70
3,4:02.0,,M. Harrell misses 2-pt layup from 1 ft (block by M. Harkless),77,70
3,4:02.0,,Offensive rebound by M. Harrell,77,70
3,3:55.0,,M. Harrell makes 2-pt dunk from 1 ft,77,72
3,3:40.0,J. Nurkić makes 2-pt layup from 2 ft (assist by C. McCollum),,79,72
3,3:39.0,Violation by Team (delay of game),,79,72
3,3:32.0,,Shooting foul by J. Nurkić (drawn by M. Harrell),79,72
3,3:32.0,,Offensive rebound by Team,79,72
3,3:32.0,,M. Harrell misses free throw 1 of 2,79,72
3,3:32.0,S. Curry enters the game for M. Harkless,,79,72
3,3:32.0,E. Freedom enters the game for C. McCollum,,79,72
3,3:32.0,J. Layman enters the game for J. Nurkić,,79,72
3,3:32.0,,W. Chandler enters the game for J. Green,79,72
3,3:32.0,,M. Harrell makes free throw 2 of 2,79,73
3,3:17.0,Turnover by J. Layman (bad pass; steal by P. Beverley),,79,73
3,3:12.0,,G. Temple makes 2-pt layup from 1 ft,79,75
3,2:51.0,J. Layman misses 2-pt layup from 1 ft (block by M. Harrell),,79,75
3,2:51.0,Offensive rebound by Team,,79,75
3,2:46.0,D. Lillard misses 3-pt jump shot from 25 ft,,79,75
3,2:44.0,Offensive rebound by Team,,79,75
3,2:31.0,D. Lillard makes 2-pt layup from 2 ft (assist by E. Freedom),,81,75
3,2:22.0,,Offensive foul by M. Harrell (drawn by D. Lillard),81,75
3,2:22.0,,Turnover by M. Harrell (offensive foul),81,75
3,2:22.0,,T. Wallace enters the game for P. Beverley,81,75
3,2:14.0,Personal foul by M. Harrell (drawn by S. Curry),,81,75
3,2:14.0,Z. Collins enters the game for A. Aminu,,81,75
3,2:04.0,Turnover by E. Freedom (bad pass; steal by G. Temple),,81,75
3,2:04.0,,Personal foul by Z. Collins (drawn by L. Williams),81,75
3,2:04.0,,L. Williams makes free throw 1 of 2,81,76
3,2:04.0,,L. Williams makes free throw 2 of 2,81,77
3,1:46.0,Turnover by J. Layman (lost ball; steal by L. Williams),,81,77
3,1:35.0,,M. Harrell misses 2-pt jump shot from 7 ft,81,77
3,1:34.0,,Offensive rebound by M. Harrell,81,77
3,1:34.0,,M. Harrell misses 2-pt layup from 1 ft,81,77
3,1:34.0,,Offensive rebound by M. Harrell,81,77
3,1:34.0,,M. Harrell makes 2-pt layup from 1 ft,81,79
3,1:34.0,Portland full timeout,,81,79
3,1:13.0,E. Freedom misses 2-pt layup from 1 ft (block by M. Harrell),,81,79
3,1:12.0,,Defensive rebound by Team,81,79
3,1:04.0,,Personal foul by S. Curry (drawn by L. Williams),81,79
3,1:04.0,,L. Williams makes free throw 1 of 2,81,80
3,1:04.0,,L. Williams misses free throw 2 of 2,81,80
3,1:00.0,Defensive rebound by J. Layman,,81,80
3,0:55.0,J. Layman makes 2-pt layup from 2 ft (assist by E. Freedom),,83,80
3,0:42.0,,L. Williams makes 2-pt jump shot from 15 ft (assist by M. Harrell),83,82
3,0:28.0,J. Layman makes 2-pt layup from 2 ft (assist by E. Freedom),,85,82
3,0:18.0,,T. Wallace misses 2-pt jump shot from 8 ft,85,82
3,0:17.0,,Offensive rebound by M. Harrell,85,82
3,0:17.0,,Shooting foul by E. Freedom (drawn by M. Harrell),85,82
3,0:17.0,,M. Harrell makes free throw 1 of 2,85,83
3,0:17.0,C. McCollum enters the game for Z. Collins,,85,83
3,0:17.0,,S. Thornwell enters the game for L. Williams,85,83
3,0:17.0,,M. Harrell makes free throw 2 of 2,85,84
3,0:04.0,Personal foul by G. Temple (drawn by D. Lillard),,85,84
3,0:02.0,Turnover by D. Lillard (bad pass; steal by W. Chandler),,85,84
4,11:51.0,Personal foul by G. Temple (drawn by C. McCollum),,85,84
4,11:37.0,E. Turner misses 2-pt jump shot from 13 ft,,85,84
4,11:33.0,,Defensive rebound by G. Temple,85,84
4,11:19.0,,Turnover by L. Williams (bad pass; steal by S. Curry),85,84
4,11:07.0,S. Curry makes 2-pt jump shot from 19 ft,,87,84
4,10:49.0,,M. Harrell makes 2-pt layup from 5 ft,87,86
4,10:28.0,S. Curry misses 2-pt jump shot from 7 ft,,87,86
4,10:27.0,Offensive rebound by E. Freedom,,87,86
4,10:27.0,E. Freedom misses 2-pt layup from 2 ft,,87,86
4,10:26.0,Offensive rebound by E. Freedom,,87,86
4,10:26.0,E. Freedom makes 2-pt layup from 1 ft,,89,86
4,10:26.0,Shooting foul by G. Temple (drawn by E. Freedom),,89,86
4,10:26.0,E. Freedom makes free throw 1 of 1,,90,86
4,10:15.0,,L. Williams misses 2-pt jump shot from 19 ft,90,86
4,10:11.0,,Offensive rebound by W. Chandler,90,86
4,10:04.0,,Shooting foul by E. Freedom (drawn by L. Williams),90,86
4,10:04.0,,L. Williams makes free throw 1 of 2,90,87
4,10:04.0,,S. Gilgeous-Alexander enters the game for T. Wallace,90,87
4,10:04.0,,L. Williams makes free throw 2 of 2,90,88
4,9:50.0,C. McCollum makes 2-pt jump shot from 8 ft,,92,88
4,9:33.0,,L. Williams makes 2-pt layup from 2 ft,92,90
4,9:23.0,C. McCollum makes 3-pt jump shot from 26 ft,,95,90
4,9:13.0,,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),95,92
4,8:56.0,J. Layman misses 3-pt jump shot from 25 ft,,95,92
4,8:53.0,,Defensive rebound by G. Temple,95,92
4,8:50.0,,G. Temple makes 2-pt jump shot from 9 ft,95,94
4,8:50.0,,Shooting foul by C. McCollum (drawn by G. Temple),95,94
4,8:50.0,,G. Temple misses free throw 1 of 1,95,94
4,8:47.0,Defensive rebound by J. Layman,,95,94
4,8:37.0,Shooting foul by W. Chandler (drawn by E. Freedom),,95,94
4,8:37.0,E. Freedom makes free throw 1 of 2,,96,94
4,8:37.0,,L. Shamet enters the game for G. Temple,96,94
4,8:37.0,E. Freedom makes free throw 2 of 2,,97,94
4,8:27.0,,Personal foul by C. McCollum (drawn by L. Williams),97,94
4,8:21.0,,L. Williams misses 2-pt jump shot from 18 ft,97,94
4,8:19.0,Defensive rebound by S. Curry,,97,94
4,8:19.0,Turnover by S. Curry (out of bounds lost ball),,97,94
4,8:06.0,,W. Chandler misses 2-pt hook shot from 7 ft,97,94
4,8:04.0,Defensive rebound by E. Freedom,,97,94
4,7:58.0,C. McCollum makes 2-pt jump shot from 8 ft,,99,94
