QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MEMPHIS_ACTION,MINNESOTA_SCORE,MEMPHIS_SCORE
1,6:13.0,,J. Holiday misses 2-pt layup from 1 ft,10,11
1,6:10.0,Defensive rebound by A. Wiggins,,10,11
1,6:06.0,T. Jones makes 3-pt jump shot from 24 ft (assist by J. Okogie),,13,11
1,5:49.0,,J. Holiday misses 2-pt layup from 1 ft (block by A. Wiggins),13,11
1,5:47.0,,Offensive rebound by J. Holiday,13,11
1,5:46.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by D. Wright),13,14
1,5:46.0,K. Bates-Diop enters the game for A. Wiggins,,13,14
1,5:46.0,,C. Parsons enters the game for B. Caboclo,13,14
1,5:28.0,Turnover by K. Towns (bad pass; steal by M. Conley),,13,14
1,5:24.0,,J. Noah misses 2-pt dunk from 1 ft,13,14
1,5:21.0,Defensive rebound by K. Bates-Diop,,13,14
1,5:17.0,D. Šarić misses 3-pt jump shot from 26 ft,,13,14
1,5:17.0,Offensive rebound by K. Towns,,13,14
1,5:11.0,K. Towns makes 2-pt layup from 1 ft,,15,14
1,4:58.0,,M. Conley makes 2-pt layup from 1 ft (assist by J. Noah),15,16
1,4:53.0,Personal foul by J. Noah (drawn by K. Towns),,15,16
1,4:53.0,A. Tolliver enters the game for D. Šarić,,15,16
1,4:41.0,K. Towns misses 2-pt layup from 2 ft,,15,16
1,4:39.0,,Defensive rebound by J. Noah,15,16
1,4:32.0,,C. Parsons makes 2-pt jump shot from 13 ft (assist by J. Noah),15,18
1,4:17.0,K. Bates-Diop misses 2-pt jump shot from 17 ft,,15,18
1,4:14.0,,Defensive rebound by C. Parsons,15,18
1,4:06.0,,Turnover by J. Holiday (bad pass; steal by K. Bates-Diop),15,18
1,4:00.0,T. Jones misses 2-pt jump shot from 11 ft,,15,18
1,3:57.0,,Defensive rebound by J. Noah,15,18
1,3:52.0,,M. Conley misses 3-pt jump shot from 25 ft,15,18
1,3:48.0,,Offensive rebound by J. Noah,15,18
1,3:48.0,,Shooting foul by K. Towns (drawn by J. Noah),15,18
1,3:48.0,,J. Noah makes free throw 1 of 2,15,19
1,3:48.0,G. Dieng enters the game for K. Towns,,15,19
1,3:48.0,,J. Carter enters the game for M. Conley,15,19
1,3:48.0,,J. Washburn enters the game for J. Holiday,15,19
1,3:48.0,,J. Noah makes free throw 2 of 2,15,20
1,3:34.0,T. Jones misses 2-pt jump shot from 10 ft,,15,20
1,3:33.0,,Defensive rebound by J. Noah,15,20
1,3:27.0,,J. Carter misses 3-pt jump shot from 25 ft,15,20
1,3:23.0,,Offensive rebound by J. Washburn,15,20
1,3:12.0,,Personal foul by A. Tolliver (drawn by J. Washburn),15,20
1,3:12.0,J. Bayless enters the game for J. Okogie,,15,20
1,3:01.0,,C. Parsons makes 3-pt jump shot from 25 ft,15,23
1,2:48.0,K. Bates-Diop makes 2-pt layup from 2 ft (assist by A. Tolliver),,17,23
1,2:27.0,,D. Wright misses 2-pt jump shot from 4 ft,17,23
1,2:25.0,,Offensive rebound by D. Wright,17,23
1,2:25.0,,D. Wright makes 2-pt jump shot from 8 ft,17,25
1,2:06.0,G. Dieng makes 2-pt jump shot from 15 ft (assist by A. Tolliver),,19,25
1,1:57.0,Violation by Team (kicked ball),,19,25
1,1:57.0,Minnesota full timeout,,19,25
1,1:57.0,,I. Rabb enters the game for J. Noah,19,25
1,1:45.0,,Turnover by C. Parsons (bad pass),19,25
1,1:27.0,A. Tolliver makes 3-pt jump shot from 25 ft (assist by T. Jones),,22,25
1,1:00.0,,J. Carter misses 2-pt jump shot from 15 ft,22,25
1,1:00.0,Defensive rebound by Team,,22,25
1,1:00.0,,Loose ball foul by I. Rabb (drawn by G. Dieng),22,25
1,1:00.0,A. Wiggins enters the game for T. Jones,,22,25
1,0:52.0,Shooting foul by I. Rabb (drawn by G. Dieng),,22,25
1,0:52.0,G. Dieng makes free throw 1 of 2,,23,25
1,0:52.0,,T. Dorsey enters the game for J. Washburn,23,25
1,0:52.0,G. Dieng misses free throw 2 of 2,,23,25
1,0:51.0,,Defensive rebound by T. Dorsey,23,25
1,0:30.0,,C. Parsons misses 3-pt jump shot from 26 ft,23,25
1,0:27.0,,Offensive rebound by D. Wright,23,25
1,0:18.0,,Turnover by D. Wright (traveling),23,25
1,0:01.0,A. Wiggins makes 2-pt jump shot from 20 ft,,25,25
1,0:01.0,,Turnover by C. Parsons (bad pass),25,25
1,0:01.0,K. Towns enters the game for G. Dieng,,25,25
1,0:01.0,,J. Noah enters the game for I. Rabb,25,25
1,0:00.0,K. Towns misses 2-pt jump shot from 21 ft,,25,25
1,0:00.0,Offensive rebound by Team,,25,25
2,11:45.0,,T. Dorsey misses 3-pt jump shot from 23 ft,25,25
2,11:40.0,Defensive rebound by A. Tolliver,,25,25
2,11:26.0,A. Wiggins makes 2-pt layup from 1 ft,,27,25
2,11:00.0,,D. Wright makes 3-pt jump shot from 25 ft (assist by J. Holiday),27,28
2,10:36.0,K. Bates-Diop misses 2-pt jump shot from 22 ft,,27,28
2,10:33.0,,Defensive rebound by J. Valančiūnas,27,28
2,10:26.0,,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by D. Wright),27,31
2,10:08.0,Personal foul by T. Dorsey (drawn by A. Wiggins),,27,31
2,9:58.0,J. Bayless misses 2-pt jump shot from 18 ft,,27,31
2,9:53.0,Offensive rebound by G. Dieng,,27,31
2,9:53.0,G. Dieng misses 2-pt jump shot from 14 ft,,27,31
2,9:49.0,Offensive rebound by J. Bayless,,27,31
2,9:45.0,A. Wiggins misses 2-pt layup from 1 ft (block by J. Valančiūnas),,27,31
2,9:40.0,Offensive rebound by A. Wiggins,,27,31
2,9:40.0,A. Wiggins makes 2-pt layup from 1 ft,,29,31
2,9:33.0,,Offensive foul by J. Valančiūnas (drawn by G. Dieng),29,31
2,9:33.0,,Turnover by J. Valančiūnas (offensive foul),29,31
2,9:18.0,Offensive foul by A. Wiggins (drawn by D. Wright),,29,31
2,9:18.0,Turnover by A. Wiggins (offensive foul),,29,31
2,9:01.0,,J. Valančiūnas misses 2-pt layup from 2 ft (block by K. Bates-Diop),29,31
2,8:53.0,,Offensive rebound by J. Valančiūnas,29,31
2,8:53.0,,J. Valančiūnas misses 2-pt layup at rim (block by A. Tolliver),29,31
2,8:53.0,,Offensive rebound by J. Valančiūnas,29,31
2,8:52.0,,J. Valančiūnas misses 2-pt layup at rim,29,31
2,8:52.0,,Offensive rebound by I. Rabb,29,31
2,8:52.0,,I. Rabb misses 2-pt dunk from 1 ft,29,31
2,8:52.0,,Offensive rebound by J. Valančiūnas,29,31
2,8:49.0,,J. Valančiūnas makes 2-pt layup at rim,29,33
2,8:29.0,A. Wiggins misses 2-pt jump shot at rim,,29,33
2,8:27.0,Offensive rebound by G. Dieng,,29,33
2,8:26.0,G. Dieng misses 2-pt layup from 1 ft (block by I. Rabb),,29,33
2,8:26.0,Offensive rebound by A. Wiggins,,29,33
2,8:19.0,G. Dieng misses 2-pt jump shot from 20 ft,,29,33
2,8:16.0,,Defensive rebound by T. Dorsey,29,33
2,8:11.0,,Turnover by T. Dorsey (bad pass; steal by J. Bayless),29,33
2,8:11.0,Personal take foul by T. Dorsey (drawn by J. Bayless),,29,33
2,8:11.0,C. Reynolds enters the game for A. Wiggins,,29,33
2,8:11.0,,B. Caboclo enters the game for I. Rabb,29,33
2,8:11.0,,J. Noah enters the game for J. Valančiūnas,29,33
2,7:57.0,A. Tolliver makes 3-pt jump shot from 26 ft (assist by J. Bayless),,32,33
2,7:36.0,,B. Caboclo misses 2-pt layup from 1 ft (block by A. Tolliver),32,33
2,7:34.0,,Offensive rebound by J. Holiday,32,33
2,7:32.0,,Shooting foul by G. Dieng (drawn by J. Noah),32,33
2,7:32.0,,J. Noah makes free throw 1 of 2,32,34
2,7:32.0,J. Okogie enters the game for K. Bates-Diop,,32,34
2,7:32.0,K. Towns enters the game for G. Dieng,,32,34
2,7:32.0,,M. Conley enters the game for T. Dorsey,32,34
2,7:32.0,,C. Parsons enters the game for D. Wright,32,34
2,7:32.0,,J. Noah misses free throw 2 of 2,32,34
2,7:28.0,Defensive rebound by K. Towns,,32,34
2,7:17.0,Turnover by J. Bayless (lost ball; steal by M. Conley),,32,34
2,7:14.0,,M. Conley misses 2-pt layup from 1 ft (block by J. Bayless),32,34
2,7:14.0,,Offensive rebound by Team,32,34
2,7:11.0,,M. Conley makes 2-pt jump shot from 19 ft (assist by C. Parsons),32,36
2,7:03.0,Personal foul by J. Noah (drawn by K. Towns),,32,36
2,7:03.0,T. Jones enters the game for J. Bayless,,32,36
2,7:03.0,,J. Valančiūnas enters the game for J. Noah,32,36
2,6:58.0,K. Towns misses 2-pt jump shot from 20 ft,,32,36
2,6:56.0,,Defensive rebound by J. Valančiūnas,32,36
2,6:47.0,,J. Valančiūnas misses 2-pt jump shot from 5 ft,32,36
2,6:44.0,Defensive rebound by K. Towns,,32,36
2,6:40.0,J. Okogie misses 2-pt layup from 5 ft,,32,36
2,6:38.0,Offensive rebound by J. Okogie,,32,36
2,6:38.0,Shooting foul by J. Valančiūnas (drawn by J. Okogie),,32,36
2,6:38.0,,Memphis full timeout,32,36
2,6:38.0,,J. Noah enters the game for J. Valančiūnas,32,36
2,6:38.0,J. Okogie makes free throw 1 of 2,,33,36
2,6:38.0,J. Okogie makes free throw 2 of 2,,34,36
2,6:28.0,,C. Parsons misses 3-pt jump shot from 28 ft,34,36
2,6:25.0,Defensive rebound by J. Okogie,,34,36
2,6:14.0,C. Reynolds misses 2-pt jump shot from 7 ft,,34,36
2,6:09.0,,Defensive rebound by B. Caboclo,34,36
2,6:03.0,,Shooting foul by J. Okogie (drawn by M. Conley),34,36
2,6:03.0,,M. Conley makes free throw 1 of 2,34,37
2,6:03.0,,M. Conley makes free throw 2 of 2,34,38
2,5:49.0,A. Tolliver misses 3-pt jump shot from 23 ft,,34,38
2,5:45.0,,Defensive rebound by J. Holiday,34,38
2,5:39.0,,J. Holiday makes 2-pt layup at rim (assist by J. Noah),34,40
2,5:22.0,T. Jones makes 2-pt jump shot from 13 ft,,36,40
2,5:11.0,,J. Noah makes 2-pt layup from 5 ft (assist by M. Conley),36,42
2,4:48.0,T. Jones misses 2-pt jump shot from 10 ft,,36,42
2,4:48.0,Offensive rebound by Team,,36,42
2,4:48.0,D. Šarić enters the game for A. Tolliver,,36,42
2,4:45.0,K. Towns makes 2-pt layup from 1 ft (assist by J. Okogie),,38,42
2,4:45.0,Shooting foul by J. Noah (drawn by K. Towns),,38,42
2,4:45.0,A. Wiggins enters the game for C. Reynolds,,38,42
2,4:45.0,,I. Rabb enters the game for J. Noah,38,42
2,4:45.0,K. Towns makes free throw 1 of 1,,39,42
2,4:32.0,,Shooting foul by D. Šarić (drawn by M. Conley),39,42
2,4:32.0,,M. Conley makes free throw 1 of 2,39,43
2,4:32.0,,M. Conley makes free throw 2 of 2,39,44
2,4:18.0,K. Towns misses 3-pt jump shot from 25 ft,,39,44
2,4:16.0,,Defensive rebound by I. Rabb,39,44
2,4:06.0,,I. Rabb makes 2-pt layup at rim (assist by M. Conley),39,46
2,3:49.0,D. Šarić misses 2-pt layup from 1 ft,,39,46
2,3:45.0,Offensive rebound by K. Towns,,39,46
2,3:45.0,K. Towns makes 2-pt layup from 1 ft,,41,46
2,3:32.0,,B. Caboclo misses 2-pt layup from 1 ft,41,46
2,3:28.0,Defensive rebound by D. Šarić,,41,46
2,3:20.0,D. Šarić misses 2-pt jump shot from 14 ft,,41,46
2,3:18.0,,Defensive rebound by M. Conley,41,46
2,3:09.0,,I. Rabb misses 2-pt jump shot from 10 ft,41,46
2,3:05.0,Defensive rebound by K. Towns,,41,46
2,2:55.0,Shooting foul by C. Parsons (drawn by J. Okogie),,41,46
2,2:55.0,Minnesota full timeout,,41,46
2,2:55.0,J. Okogie makes free throw 1 of 2,,42,46
2,2:55.0,J. Okogie makes free throw 2 of 2,,43,46
2,2:42.0,,Shooting foul by D. Šarić (drawn by I. Rabb),43,46
2,2:42.0,,I. Rabb misses free throw 1 of 2,43,46
2,2:42.0,,Offensive rebound by Team,43,46
2,2:42.0,A. Tolliver enters the game for D. Šarić,,43,46
2,2:42.0,,J. Washburn enters the game for J. Holiday,43,46
2,2:42.0,,D. Wright enters the game for C. Parsons,43,46
2,2:42.0,,I. Rabb makes free throw 2 of 2,43,47
2,2:27.0,Personal foul by I. Rabb (drawn by A. Wiggins),,43,47
2,2:27.0,A. Wiggins makes free throw 1 of 2,,44,47
2,2:27.0,A. Wiggins makes free throw 2 of 2,,45,47
2,2:15.0,,B. Caboclo misses 3-pt jump shot from 23 ft,45,47
2,2:11.0,Defensive rebound by J. Okogie,,45,47
2,2:03.0,T. Jones misses 2-pt layup from 1 ft,,45,47
2,1:57.0,Offensive rebound by T. Jones,,45,47
2,1:57.0,T. Jones makes 2-pt layup from 1 ft,,47,47
2,1:41.0,,Turnover by J. Washburn (bad pass; steal by K. Towns),47,47
2,1:38.0,Turnover by J. Okogie (out of bounds lost ball),,47,47
2,1:24.0,,Turnover by M. Conley (bad pass; steal by T. Jones),47,47
2,1:18.0,Turnover by J. Okogie (bad pass; steal by D. Wright),,47,47
2,1:14.0,,J. Washburn makes 3-pt jump shot from 26 ft (assist by D. Wright),47,50
2,0:56.0,J. Okogie misses 2-pt layup from 1 ft,,47,50
2,0:53.0,Offensive rebound by T. Jones,,47,50
2,0:49.0,J. Okogie makes 2-pt layup from 2 ft (assist by T. Jones),,49,50
2,0:33.0,,M. Conley misses 2-pt jump shot from 11 ft,49,50
2,0:31.0,Defensive rebound by A. Tolliver,,49,50
2,0:28.0,J. Okogie misses 2-pt layup from 1 ft,,49,50
2,0:24.0,,Defensive rebound by B. Caboclo,49,50
2,0:04.0,,D. Wright misses 3-pt jump shot from 28 ft,49,50
2,0:04.0,Defensive rebound by A. Wiggins,,49,50
3,11:43.0,,M. Conley misses 3-pt jump shot from 27 ft,49,50
3,11:40.0,Defensive rebound by K. Towns,,49,50
3,11:28.0,K. Towns misses 3-pt jump shot from 25 ft,,49,50
3,11:25.0,,Defensive rebound by B. Caboclo,49,50
3,11:15.0,,Personal foul by A. Wiggins (drawn by J. Holiday),49,50
3,11:02.0,,J. Holiday misses 3-pt jump shot from 23 ft,49,50
3,10:58.0,Defensive rebound by K. Towns,,49,50
3,10:49.0,A. Wiggins makes 2-pt jump shot from 5 ft (assist by K. Towns),,51,50
3,10:33.0,,M. Conley makes 2-pt jump shot from 13 ft (assist by J. Valančiūnas),51,52
3,10:18.0,Turnover by K. Towns (bad pass; steal by T. Dorsey),,51,52
3,10:10.0,,T. Dorsey misses 2-pt jump shot from 12 ft,51,52
3,10:10.0,,Offensive rebound by Team,51,52
3,10:10.0,Loose ball foul by K. Towns (drawn by J. Valančiūnas),,51,52
3,10:03.0,,J. Holiday misses 2-pt jump shot from 16 ft,51,52
3,9:59.0,Defensive rebound by K. Towns,,51,52
3,9:57.0,Shooting foul by B. Caboclo (drawn by T. Jones),,51,52
3,9:57.0,T. Jones makes free throw 1 of 2,,52,52
3,9:57.0,T. Jones makes free throw 2 of 2,,53,52
3,9:39.0,,J. Valančiūnas makes 2-pt hook shot from 5 ft,53,54
3,9:23.0,K. Towns makes 2-pt jump shot from 3 ft (assist by J. Okogie),,55,54
3,9:04.0,,J. Valančiūnas misses 2-pt layup from 2 ft,55,54
3,9:02.0,Defensive rebound by J. Okogie,,55,54
3,8:55.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by A. Wiggins),,58,54
3,8:54.0,,Memphis full timeout,58,54
3,8:44.0,,Turnover by M. Conley (bad pass; steal by J. Okogie),58,54
3,8:33.0,K. Towns makes 2-pt layup at rim (assist by D. Šarić),,60,54
3,8:12.0,,M. Conley misses 2-pt layup from 2 ft (block by D. Šarić),60,54
3,8:12.0,Defensive rebound by Team,,60,54
3,8:12.0,,Memphis full timeout,60,54
3,7:56.0,J. Okogie makes 3-pt jump shot from 26 ft,,63,54
3,7:39.0,,Def 3 sec tech foul by Team,63,54
3,7:39.0,,M. Conley misses technical free throw,63,54
3,7:39.0,,Offensive rebound by Team,63,54
3,7:31.0,,M. Conley misses 2-pt jump shot from 10 ft,63,54
3,7:26.0,Defensive rebound by K. Towns,,63,54
3,7:17.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by T. Jones),,66,54
3,7:03.0,,T. Dorsey misses 3-pt jump shot from 27 ft,66,54
3,7:00.0,,Offensive rebound by J. Valančiūnas,66,54
3,6:58.0,,J. Valančiūnas misses 2-pt layup from 1 ft,66,54
3,6:55.0,Defensive rebound by K. Towns,,66,54
3,6:49.0,Personal foul by B. Caboclo (drawn by D. Šarić),,66,54
3,6:49.0,,C. Parsons enters the game for T. Dorsey,66,54
3,6:42.0,Shooting foul by J. Valančiūnas (drawn by K. Towns),,66,54
3,6:42.0,K. Towns makes free throw 1 of 2,,67,54
3,6:42.0,K. Towns makes free throw 2 of 2,,68,54
3,6:27.0,,C. Parsons makes 2-pt layup from 1 ft (assist by J. Valančiūnas),68,56
3,6:05.0,K. Towns misses 3-pt jump shot from 26 ft,,68,56
3,6:03.0,Offensive rebound by Team,,68,56
3,6:00.0,D. Šarić misses 3-pt jump shot from 26 ft,,68,56
3,5:56.0,,Defensive rebound by M. Conley,68,56
3,5:47.0,,B. Caboclo misses 3-pt jump shot from 23 ft,68,56
3,5:44.0,Defensive rebound by K. Towns,,68,56
3,5:37.0,K. Towns misses 2-pt jump shot from 11 ft,,68,56
3,5:35.0,Offensive rebound by K. Towns,,68,56
3,5:34.0,K. Towns makes 2-pt layup from 1 ft,,70,56
3,5:23.0,,J. Holiday misses 3-pt jump shot from 26 ft,70,56
3,5:20.0,Defensive rebound by K. Towns,,70,56
3,5:12.0,Offensive foul by K. Towns (drawn by J. Holiday),,70,56
3,5:12.0,Turnover by K. Towns (offensive foul),,70,56
3,5:12.0,K. Bates-Diop enters the game for J. Okogie,,70,56
3,5:12.0,G. Dieng enters the game for K. Towns,,70,56
3,5:12.0,,D. Wright enters the game for M. Conley,70,56
3,5:04.0,,Personal foul by G. Dieng (drawn by J. Valančiūnas),70,56
3,4:57.0,,C. Parsons misses 3-pt jump shot from 26 ft,70,56
3,4:53.0,Defensive rebound by K. Bates-Diop,,70,56
3,4:47.0,A. Wiggins makes 3-pt jump shot from 27 ft (assist by T. Jones),,73,56
3,4:40.0,,Memphis full timeout,73,56
3,4:40.0,,J. Carter enters the game for B. Caboclo,73,56
3,4:40.0,,I. Rabb enters the game for J. Valančiūnas,73,56
3,4:25.0,,C. Parsons makes 2-pt layup from 1 ft,73,58
3,4:12.0,Turnover by K. Bates-Diop (bad pass),,73,58
3,3:53.0,,Turnover by I. Rabb (off goaltending),73,58
3,3:34.0,T. Jones makes 2-pt jump shot from 9 ft (assist by G. Dieng),,75,58
3,3:19.0,,D. Wright misses 2-pt layup at rim,75,58
3,3:18.0,Defensive rebound by Team,,75,58
3,3:18.0,,M. Conley enters the game for J. Holiday,75,58
3,3:07.0,K. Bates-Diop makes 2-pt layup from 1 ft (assist by D. Šarić),,77,58
3,2:47.0,,I. Rabb makes 2-pt layup from 4 ft,77,60
3,2:35.0,Turnover by A. Wiggins (lost ball; steal by D. Wright),,77,60
3,2:31.0,,D. Wright makes 2-pt layup at rim (assist by J. Carter),77,62
3,2:19.0,Minnesota full timeout,,77,62
3,2:19.0,J. Bayless enters the game for T. Jones,,77,62
3,2:19.0,A. Tolliver enters the game for D. Šarić,,77,62
3,2:07.0,A. Wiggins makes 2-pt layup from 1 ft,,79,62
3,1:44.0,,C. Parsons misses 2-pt jump shot from 10 ft,79,62
3,1:41.0,Defensive rebound by J. Bayless,,79,62
3,1:31.0,Personal foul by I. Rabb (drawn by G. Dieng),,79,62
3,1:31.0,,T. Dorsey enters the game for I. Rabb,79,62
3,1:17.0,A. Tolliver misses 3-pt jump shot from 24 ft,,79,62
3,1:14.0,,Defensive rebound by T. Dorsey,79,62
3,1:08.0,,J. Carter misses 3-pt jump shot from 30 ft,79,62
3,1:04.0,Defensive rebound by J. Bayless,,79,62
3,0:54.0,A. Wiggins makes 2-pt layup from 2 ft,,81,62
3,0:41.0,,T. Dorsey makes 2-pt layup from 1 ft,81,64
3,0:41.0,,Shooting foul by K. Bates-Diop (drawn by T. Dorsey),81,64
3,0:41.0,,J. Valančiūnas enters the game for J. Carter,81,64
3,0:41.0,,T. Dorsey makes free throw 1 of 1,81,65
3,0:32.0,A. Tolliver misses 3-pt jump shot from 27 ft,,81,65
3,0:28.0,,Defensive rebound by J. Valančiūnas,81,65
3,0:21.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by D. Wright),81,68
3,0:01.0,A. Wiggins makes 2-pt jump shot from 18 ft,,83,68
3,0:01.0,Shooting foul by D. Wright (drawn by A. Wiggins),,83,68
3,0:01.0,A. Wiggins makes free throw 1 of 1,,84,68
3,0:00.0,,D. Wright misses 3-pt jump shot from 46 ft,84,68
3,0:00.0,,Offensive rebound by Team,84,68
4,11:44.0,G. Dieng misses 2-pt jump shot from 12 ft,,84,68
4,11:41.0,,Defensive rebound by J. Valančiūnas,84,68
4,11:24.0,,J. Valančiūnas makes 2-pt layup from 4 ft (assist by C. Parsons),84,70
4,11:04.0,G. Dieng misses 2-pt jump shot from 15 ft,,84,70
4,11:01.0,,Defensive rebound by D. Wright,84,70
4,10:51.0,,D. Wright misses 2-pt layup from 2 ft (block by G. Dieng),84,70
4,10:51.0,,Offensive rebound by Team,84,70
4,10:43.0,,Shooting foul by G. Dieng (drawn by M. Conley),84,70
4,10:43.0,,M. Conley makes free throw 1 of 2,84,71
4,10:43.0,J. Okogie enters the game for G. Dieng,,84,71
4,10:43.0,K. Towns enters the game for A. Wiggins,,84,71
4,10:43.0,,M. Conley makes free throw 2 of 2,84,72
4,10:24.0,J. Okogie makes 2-pt layup from 1 ft (assist by K. Towns),,86,72
4,10:09.0,,J. Valančiūnas makes 2-pt layup from 1 ft,86,74
4,9:48.0,J. Okogie misses 3-pt jump shot from 28 ft,,86,74
4,9:46.0,,Defensive rebound by C. Parsons,86,74
4,9:41.0,,Offensive foul by D. Wright (drawn by A. Tolliver),86,74
4,9:41.0,,Turnover by D. Wright (offensive foul),86,74
4,9:41.0,,J. Holiday enters the game for C. Parsons,86,74
4,9:28.0,K. Bates-Diop makes 2-pt layup from 1 ft (assist by A. Tolliver),,88,74
4,9:18.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by D. Wright),88,77
4,8:57.0,Shooting foul by Y. Watanabe (drawn by J. Okogie),,88,77
4,8:57.0,J. Okogie makes free throw 1 of 2,,89,77
4,8:57.0,,T. Dorsey enters the game for D. Wright,89,77
4,8:57.0,J. Okogie makes free throw 2 of 2,,90,77
4,8:49.0,,Turnover by M. Conley (bad pass; steal by K. Bates-Diop),90,77
4,8:45.0,K. Bates-Diop makes 2-pt layup from 1 ft,,92,77
4,8:34.0,,Shooting foul by K. Bates-Diop (drawn by J. Valančiūnas),92,77
4,8:34.0,,J. Valančiūnas makes free throw 1 of 2,92,78
4,8:34.0,,J. Valančiūnas misses free throw 2 of 2,92,78
4,8:32.0,Defensive rebound by K. Towns,,92,78
4,8:10.0,K. Towns misses 2-pt hook shot from 9 ft,,92,78
4,8:07.0,,Defensive rebound by J. Valančiūnas,92,78
4,8:00.0,,T. Dorsey misses 3-pt jump shot from 23 ft,92,78
4,7:58.0,,Offensive rebound by J. Valančiūnas,92,78
4,7:57.0,,J. Valančiūnas misses 2-pt layup from 1 ft (block by A. Tolliver),92,78
4,7:57.0,Defensive rebound by K. Towns,,92,78
4,7:38.0,A. Tolliver misses 3-pt jump shot from 26 ft,,92,78
4,7:34.0,,Defensive rebound by J. Valančiūnas,92,78
4,7:22.0,,Y. Watanabe misses 2-pt jump shot from 12 ft,92,78
4,7:19.0,Defensive rebound by K. Towns,,92,78
4,7:14.0,Minnesota full timeout,,92,78
4,7:14.0,T. Jones enters the game for J. Bayless,,92,78
4,7:14.0,D. Šarić enters the game for A. Tolliver,,92,78
4,7:14.0,,J. Carter enters the game for M. Conley,92,78
4,7:14.0,,I. Rabb enters the game for J. Valančiūnas,92,78
