QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,LA LAKERS_ACTION,OKLAHOMA CITY_SCORE,LA LAKERS_SCORE
1,8:22.0,Defensive rebound by R. Westbrook,,8,7
1,8:16.0,S. Adams makes 2-pt jump shot from 10 ft (assist by R. Westbrook),,10,7
1,7:53.0,,J. Hart misses 2-pt jump shot from 11 ft,10,7
1,7:51.0,Defensive rebound by R. Westbrook,,10,7
1,7:49.0,P. George misses 3-pt jump shot from 25 ft,,10,7
1,7:49.0,,Defensive rebound by J. McGee,10,7
1,7:43.0,,Offensive foul by K. Kuzma (drawn by J. Grant),10,7
1,7:43.0,,Turnover by K. Kuzma (offensive foul),10,7
1,7:43.0,,T. Chandler enters the game for J. McGee,10,7
1,7:32.0,T. Ferguson misses 3-pt jump shot from 23 ft,,10,7
1,7:28.0,,Defensive rebound by L. Ball,10,7
1,7:16.0,,B. Ingram misses 2-pt jump shot from 12 ft,10,7
1,7:12.0,Defensive rebound by R. Westbrook,,10,7
1,7:05.0,R. Westbrook misses 3-pt jump shot from 24 ft,,10,7
1,7:03.0,,Defensive rebound by B. Ingram,10,7
1,6:56.0,,J. Hart misses 3-pt jump shot from 26 ft,10,7
1,6:53.0,Defensive rebound by J. Grant,,10,7
1,6:46.0,P. George misses 2-pt layup from 3 ft,,10,7
1,6:43.0,,Defensive rebound by J. Hart,10,7
1,6:36.0,,B. Ingram makes 2-pt layup from 2 ft (assist by K. Kuzma),10,9
1,6:23.0,J. Grant makes 2-pt jump shot from 13 ft (assist by R. Westbrook),,12,9
1,6:01.0,,K. Kuzma misses 3-pt jump shot from 23 ft,12,9
1,5:57.0,,Offensive rebound by L. Ball,12,9
1,5:56.0,,B. Ingram misses 3-pt jump shot from 25 ft,12,9
1,5:53.0,Defensive rebound by R. Westbrook,,12,9
1,5:49.0,P. George makes 2-pt jump shot from 2 ft (assist by R. Westbrook),,14,9
1,5:36.0,,Turnover by J. Hart (bad pass; steal by R. Westbrook),14,9
1,5:36.0,Personal foul by B. Ingram (drawn by R. Westbrook),,14,9
1,5:26.0,T. Ferguson misses 2-pt jump shot from 11 ft,,14,9
1,5:24.0,,Defensive rebound by J. Hart,14,9
1,5:20.0,Violation by Team (kicked ball),,14,9
1,5:09.0,,Personal foul by P. George (drawn by B. Ingram),14,9
1,5:09.0,D. Schröder enters the game for T. Ferguson,,14,9
1,4:59.0,,T. Chandler makes 2-pt dunk at rim (assist by B. Ingram),14,11
1,4:50.0,R. Westbrook misses 2-pt jump shot from 20 ft,,14,11
1,4:46.0,Offensive rebound by S. Adams,,14,11
1,4:44.0,R. Westbrook misses 2-pt layup from 3 ft,,14,11
1,4:42.0,,Defensive rebound by T. Chandler,14,11
1,4:39.0,,Shooting foul by P. George (drawn by J. Hart),14,11
1,4:39.0,,J. Hart makes free throw 1 of 2,14,12
1,4:39.0,,K. Caldwell-Pope enters the game for L. Ball,14,12
1,4:39.0,,J. Hart misses free throw 2 of 2,14,12
1,4:37.0,Defensive rebound by R. Westbrook,,14,12
1,4:31.0,P. George misses 3-pt jump shot from 25 ft,,14,12
1,4:28.0,,Defensive rebound by Team,14,12
1,4:12.0,,J. Hart misses 3-pt jump shot from 27 ft,14,12
1,4:09.0,Defensive rebound by J. Grant,,14,12
1,4:05.0,Shooting foul by T. Chandler (drawn by S. Adams),,14,12
1,4:05.0,S. Adams makes free throw 1 of 2,,15,12
1,4:05.0,S. Adams misses free throw 2 of 2,,15,12
1,4:03.0,,Defensive rebound by T. Chandler,15,12
1,3:47.0,,B. Ingram makes 2-pt jump shot from 8 ft (assist by K. Caldwell-Pope),15,14
1,3:38.0,Shooting foul by J. Hart (drawn by R. Westbrook),,15,14
1,3:38.0,R. Westbrook misses free throw 1 of 2,,15,14
1,3:38.0,Offensive rebound by Team,,15,14
1,3:38.0,R. Westbrook makes free throw 2 of 2,,16,14
1,3:25.0,,Turnover by K. Kuzma (out of bounds lost ball),16,14
1,3:16.0,R. Westbrook misses 2-pt layup from 2 ft,,16,14
1,3:14.0,,Defensive rebound by B. Ingram,16,14
1,3:12.0,,Shooting foul by P. George (drawn by K. Caldwell-Pope),16,14
1,3:12.0,,K. Caldwell-Pope makes free throw 1 of 2,16,15
1,3:12.0,A. Nader enters the game for P. George,,16,15
1,3:12.0,,K. Caldwell-Pope makes free throw 2 of 2,16,16
1,3:04.0,J. Grant makes 2-pt dunk from 1 ft (assist by D. Schröder),,18,16
1,3:04.0,,LA Lakers full timeout,18,16
1,3:04.0,T. Ferguson enters the game for R. Westbrook,,18,16
1,3:04.0,,L. Stephenson enters the game for K. Kuzma,18,16
1,2:53.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,18,16
1,2:48.0,Defensive rebound by D. Schröder,,18,16
1,2:35.0,D. Schröder makes 2-pt layup from 2 ft (assist by S. Adams),,20,16
1,2:20.0,,Personal foul by T. Ferguson (drawn by T. Chandler),20,16
1,2:20.0,,T. Chandler makes free throw 1 of 2,20,17
1,2:20.0,,T. Chandler makes free throw 2 of 2,20,18
1,2:02.0,S. Adams makes 2-pt layup from 2 ft,,22,18
1,1:50.0,,K. Caldwell-Pope makes 3-pt jump shot from 22 ft (assist by L. Stephenson),22,21
1,1:35.0,T. Ferguson misses 2-pt jump shot from 15 ft,,22,21
1,1:29.0,,Defensive rebound by J. Hart,22,21
1,1:07.0,,J. Hart misses 2-pt jump shot from 21 ft,22,21
1,1:04.0,Defensive rebound by S. Adams,,22,21
1,1:03.0,Turnover by S. Adams (bad pass),,22,21
1,0:48.0,,Shooting foul by A. Nader (drawn by K. Caldwell-Pope),22,21
1,0:48.0,,K. Caldwell-Pope makes free throw 1 of 2,22,22
1,0:48.0,,K. Caldwell-Pope makes free throw 2 of 2,22,23
1,0:32.0,D. Schröder misses 3-pt jump shot from 26 ft,,22,23
1,0:28.0,,Defensive rebound by B. Ingram,22,23
1,0:24.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,22,23
1,0:20.0,,Offensive rebound by J. Hart,22,23
1,0:10.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,22,23
1,0:06.0,Defensive rebound by S. Adams,,22,23
1,0:02.0,J. Grant makes 3-pt jump shot from 26 ft (assist by D. Schröder),,25,23
1,0:00.0,,Personal foul by D. Schröder (drawn by K. Caldwell-Pope),25,23
1,0:00.0,,K. Caldwell-Pope makes free throw 1 of 2,25,24
1,0:00.0,,K. Caldwell-Pope makes free throw 2 of 2,25,25
1,0:00.0,A. Nader misses 3-pt jump shot from 54 ft,,25,25
1,0:00.0,Offensive rebound by Team,,25,25
2,11:42.0,,Offensive foul by K. Kuzma (drawn by D. Schröder),25,25
2,11:42.0,,Turnover by K. Kuzma (offensive foul),25,25
2,11:27.0,A. Nader misses 2-pt layup from 3 ft,,25,25
2,11:27.0,Offensive rebound by Team,,25,25
2,11:27.0,,Loose ball foul by L. Stephenson (drawn by N. Noel),25,25
2,11:19.0,A. Nader makes 3-pt jump shot from 25 ft (assist by D. Schröder),,28,25
2,11:01.0,,J. McGee makes 2-pt jump shot from 4 ft (assist by L. Ball),28,27
2,10:48.0,A. Nader makes 2-pt layup from 2 ft (assist by D. Schröder),,30,27
2,10:32.0,,J. McGee misses 2-pt hook shot from 10 ft,30,27
2,10:30.0,Defensive rebound by A. Nader,,30,27
2,10:11.0,D. Schröder misses 2-pt jump shot from 18 ft,,30,27
2,10:08.0,,Defensive rebound by L. Stephenson,30,27
2,10:03.0,,Shooting foul by H. Diallo (drawn by J. McGee),30,27
2,10:03.0,,J. McGee misses free throw 1 of 2,30,27
2,10:03.0,,Offensive rebound by Team,30,27
2,10:03.0,,J. McGee misses free throw 2 of 2,30,27
2,10:00.0,Defensive rebound by P. Patterson,,30,27
2,9:40.0,Turnover by D. Schröder (bad pass; steal by K. Kuzma),,30,27
2,9:35.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by L. Ball),30,29
2,9:23.0,D. Schröder misses 2-pt jump shot from 9 ft,,30,29
2,9:21.0,,Defensive rebound by J. McGee,30,29
2,9:13.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. Ball),30,31
2,9:13.0,,Shooting foul by A. Nader (drawn by J. McGee),30,31
2,9:13.0,R. Westbrook enters the game for D. Schröder,,30,31
2,9:13.0,,J. McGee makes free throw 1 of 1,30,32
2,8:55.0,P. Patterson makes 2-pt jump shot from 12 ft (assist by R. Westbrook),,32,32
2,8:36.0,,Turnover by L. Stephenson (bad pass; steal by P. Patterson),32,32
2,8:33.0,H. Diallo misses 2-pt layup from 2 ft (block by L. Ball),,32,32
2,8:29.0,,Defensive rebound by L. Stephenson,32,32
2,8:28.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by L. Stephenson),32,35
2,8:20.0,Personal foul by K. Caldwell-Pope (drawn by A. Nader),,32,35
2,8:20.0,P. George enters the game for A. Nader,,32,35
2,8:20.0,R. Westbrook misses 2-pt layup from 2 ft (block by L. Ball),,32,35
2,8:20.0,Offensive rebound by Team,,32,35
2,8:11.0,Turnover by R. Westbrook (bad pass; steal by K. Caldwell-Pope),,32,35
2,8:09.0,,K. Caldwell-Pope makes 2-pt dunk from 1 ft,32,37
2,7:56.0,P. George makes 2-pt jump shot from 10 ft,,34,37
2,7:56.0,,LA Lakers full timeout,34,37
2,7:41.0,,L. Ball misses 2-pt layup from 1 ft,34,37
2,7:35.0,,Offensive rebound by J. McGee,34,37
2,7:35.0,,J. McGee makes 2-pt layup from 1 ft,34,39
2,7:27.0,R. Westbrook makes 2-pt layup from 1 ft,,36,39
2,7:15.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by L. Ball),36,42
2,7:15.0,S. Adams enters the game for N. Noel,,36,42
2,7:15.0,,B. Ingram enters the game for L. Stephenson,36,42
2,6:59.0,P. George misses 2-pt layup from 1 ft,,36,42
2,6:57.0,Offensive rebound by S. Adams,,36,42
2,6:55.0,S. Adams makes 2-pt layup from 1 ft,,38,42
2,6:45.0,,Turnover by K. Caldwell-Pope (bad pass; steal by P. George),38,42
2,6:45.0,Personal take foul by J. McGee (drawn by P. George),,38,42
2,6:45.0,J. Grant enters the game for P. Patterson,,38,42
2,6:37.0,R. Westbrook misses 2-pt dunk from 2 ft,,38,42
2,6:37.0,Offensive rebound by S. Adams,,38,42
2,6:33.0,Oklahoma City full timeout,,38,42
2,6:33.0,,Technical foul by B. Donovan,38,42
2,6:33.0,,K. Caldwell-Pope misses technical free throw,38,42
2,6:33.0,Defensive rebound by Team,,38,42
2,6:27.0,R. Westbrook makes 3-pt jump shot from 26 ft (assist by S. Adams),,41,42
2,6:10.0,,Turnover by J. McGee (3 sec),41,42
2,6:10.0,D. Schröder enters the game for H. Diallo,,41,42
2,5:52.0,P. George misses 3-pt jump shot from 25 ft,,41,42
2,5:50.0,Offensive rebound by S. Adams,,41,42
2,5:44.0,S. Adams misses 2-pt hook shot from 3 ft,,41,42
2,5:41.0,,Defensive rebound by J. McGee,41,42
2,5:36.0,,K. Kuzma misses 3-pt jump shot from 25 ft,41,42
2,5:32.0,Defensive rebound by R. Westbrook,,41,42
2,5:20.0,R. Westbrook misses 3-pt jump shot from 25 ft,,41,42
2,5:17.0,,Defensive rebound by K. Caldwell-Pope,41,42
2,5:07.0,,J. McGee misses 2-pt layup from 3 ft,41,42
2,5:02.0,,Offensive rebound by J. McGee,41,42
2,5:02.0,,J. McGee makes 2-pt layup from 1 ft,41,44
2,4:54.0,P. George makes 2-pt layup from 2 ft,,43,44
2,4:54.0,,LA Lakers full timeout,43,44
2,4:54.0,,T. Chandler enters the game for K. Kuzma,43,44
2,4:54.0,,J. Hart enters the game for J. McGee,43,44
2,4:36.0,,B. Ingram misses 2-pt jump shot from 17 ft,43,44
2,4:32.0,Defensive rebound by R. Westbrook,,43,44
2,4:29.0,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),,45,44
2,4:12.0,,J. Hart misses 3-pt jump shot from 25 ft,45,44
2,4:12.0,Defensive rebound by S. Adams,,45,44
2,4:04.0,P. George misses 3-pt jump shot from 26 ft,,45,44
2,4:02.0,,Defensive rebound by B. Ingram,45,44
2,3:57.0,,Turnover by B. Ingram (bad pass; steal by R. Westbrook),45,44
2,3:55.0,P. George makes 2-pt dunk from 2 ft (assist by R. Westbrook),,47,44
2,3:52.0,Technical foul by P. George,,47,44
2,3:52.0,,K. Caldwell-Pope makes technical free throw,47,45
2,3:52.0,,L. Stephenson enters the game for K. Caldwell-Pope,47,45
2,3:31.0,,L. Stephenson misses 3-pt jump shot from 23 ft,47,45
2,3:26.0,Defensive rebound by R. Westbrook,,47,45
2,3:25.0,P. George makes 2-pt layup from 2 ft (assist by R. Westbrook),,49,45
2,3:07.0,,L. Stephenson makes 3-pt jump shot from 26 ft,49,48
2,2:53.0,P. George makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,52,48
2,2:40.0,,B. Ingram makes 2-pt dunk from 1 ft (assist by L. Ball),52,50
2,2:24.0,S. Adams misses 2-pt hook shot from 5 ft,,52,50
2,2:24.0,,Defensive rebound by B. Ingram,52,50
2,2:07.0,,T. Chandler makes 2-pt dunk from 1 ft (assist by L. Stephenson),52,52
2,1:57.0,J. Grant misses 3-pt jump shot from 23 ft,,52,52
2,1:52.0,,Defensive rebound by L. Stephenson,52,52
2,1:51.0,,J. Hart makes 2-pt layup from 2 ft (assist by L. Ball),52,54
2,1:41.0,R. Westbrook misses 3-pt jump shot from 26 ft,,52,54
2,1:41.0,,Defensive rebound by T. Chandler,52,54
2,1:32.0,,B. Ingram makes 2-pt layup from 1 ft,52,56
2,1:15.0,D. Schröder makes 2-pt jump shot from 22 ft (assist by R. Westbrook),,54,56
2,1:08.0,,Shooting foul by S. Adams (drawn by T. Chandler),54,56
2,1:08.0,,T. Chandler misses free throw 1 of 2,54,56
2,1:08.0,,Offensive rebound by Team,54,56
2,1:08.0,,K. Caldwell-Pope enters the game for L. Ball,54,56
2,1:08.0,,T. Chandler makes free throw 2 of 2,54,57
2,0:52.0,D. Schröder makes 3-pt jump shot from 26 ft,,57,57
2,0:37.0,,Turnover by L. Stephenson (lost ball; steal by P. George),57,57
2,0:29.0,P. George makes 2-pt jump shot from 19 ft,,59,57
2,0:29.0,Shooting foul by L. Stephenson (drawn by P. George),,59,57
2,0:29.0,,J. McGee enters the game for T. Chandler,59,57
2,0:29.0,P. George misses free throw 1 of 1,,59,57
2,0:27.0,Offensive rebound by S. Adams,,59,57
2,0:26.0,S. Adams misses 2-pt layup from 2 ft (block by J. McGee),,59,57
2,0:23.0,,Defensive rebound by L. Stephenson,59,57
2,0:02.0,,L. Stephenson misses 2-pt jump shot from 22 ft,59,57
2,0:00.0,,Offensive rebound by K. Caldwell-Pope,59,57
3,11:42.0,,J. Hart makes 2-pt layup from 2 ft (assist by J. McGee),59,59
3,11:30.0,J. Grant misses 3-pt jump shot from 22 ft,,59,59
3,11:27.0,,Defensive rebound by L. Ball,59,59
3,11:16.0,,J. McGee makes 2-pt layup from 2 ft (assist by B. Ingram),59,61
3,11:04.0,R. Westbrook misses 2-pt jump shot from 16 ft,,59,61
3,11:01.0,,Defensive rebound by B. Ingram,59,61
3,10:52.0,,J. McGee misses 2-pt layup from 4 ft,59,61
3,10:50.0,Defensive rebound by S. Adams,,59,61
3,10:45.0,P. George misses 3-pt jump shot from 26 ft,,59,61
3,10:42.0,,Defensive rebound by J. Hart,59,61
3,10:29.0,,B. Ingram misses 3-pt jump shot from 25 ft,59,61
3,10:26.0,Defensive rebound by R. Westbrook,,59,61
3,10:21.0,P. George misses 2-pt layup from 2 ft (block by J. McGee),,59,61
3,10:18.0,,Defensive rebound by J. Hart,59,61
3,10:10.0,,B. Ingram misses 2-pt layup from 2 ft,59,61
3,10:07.0,,Offensive rebound by B. Ingram,59,61
3,10:05.0,,K. Caldwell-Pope misses 2-pt jump shot from 12 ft,59,61
3,10:04.0,,Offensive rebound by Team,59,61
3,10:04.0,Loose ball foul by S. Adams (drawn by K. Caldwell-Pope),,59,61
3,9:58.0,,Offensive foul by J. McGee (drawn by P. George),59,61
3,9:58.0,,Turnover by J. McGee (offensive foul),59,61
3,9:43.0,R. Westbrook misses 3-pt jump shot from 24 ft,,59,61
3,9:39.0,,Defensive rebound by J. Hart,59,61
3,9:27.0,,L. Ball misses 2-pt layup from 2 ft,59,61
3,9:22.0,,Offensive rebound by J. McGee,59,61
3,9:22.0,,J. McGee misses 2-pt layup at rim,59,61
3,9:21.0,Defensive rebound by R. Westbrook,,59,61
3,9:21.0,Shooting foul by L. Ball (drawn by R. Westbrook),,59,61
3,9:21.0,R. Westbrook misses free throw 1 of 2,,59,61
3,9:21.0,Offensive rebound by Team,,59,61
3,9:21.0,R. Westbrook makes free throw 2 of 2,,60,61
3,9:08.0,,B. Ingram makes 2-pt jump shot from 17 ft,60,63
3,8:52.0,P. George makes 2-pt jump shot from 14 ft,,62,63
3,8:23.0,,J. McGee makes 2-pt layup from 2 ft,62,65
3,8:18.0,P. George makes 3-pt jump shot from 28 ft,,65,65
3,7:54.0,,Personal foul by J. Grant (drawn by B. Ingram),65,65
3,7:40.0,,J. McGee misses 2-pt jump shot from 5 ft,65,65
3,7:38.0,Defensive rebound by R. Westbrook,,65,65
3,7:28.0,Turnover by R. Westbrook (bad pass; steal by K. Caldwell-Pope),,65,65
3,7:23.0,,J. Hart misses 3-pt jump shot from 25 ft,65,65
3,7:19.0,Defensive rebound by J. Grant,,65,65
3,7:12.0,P. George misses 3-pt jump shot from 25 ft,,65,65
3,7:10.0,Offensive rebound by Team,,65,65
3,7:10.0,,I. Zubac enters the game for J. McGee,65,65
3,7:10.0,Oklahoma City full timeout,,65,65
3,7:09.0,Personal foul by I. Zubac (drawn by S. Adams),,65,65
3,7:00.0,T. Ferguson misses 2-pt layup from 2 ft,,65,65
3,6:58.0,,Defensive rebound by B. Ingram,65,65
3,6:55.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by B. Ingram),65,67
3,6:40.0,P. George misses 2-pt layup from 2 ft (block by I. Zubac),,65,67
3,6:35.0,Offensive rebound by P. George,,65,67
3,6:35.0,P. George makes 2-pt layup from 1 ft,,67,67
3,6:23.0,,B. Ingram makes 2-pt jump shot from 6 ft (assist by J. Hart),67,69
3,6:14.0,Shooting foul by J. Hart (drawn by P. George),,67,69
3,6:14.0,P. George makes free throw 1 of 2,,68,69
3,6:14.0,D. Schröder enters the game for T. Ferguson,,68,69
3,6:14.0,P. George makes free throw 2 of 2,,69,69
3,6:01.0,,B. Ingram makes 2-pt jump shot from 14 ft,69,71
3,5:51.0,R. Westbrook misses 2-pt jump shot from 17 ft,,69,71
3,5:45.0,,Defensive rebound by B. Ingram,69,71
3,5:40.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by J. Hart),69,74
3,5:26.0,P. George makes 2-pt layup from 2 ft,,71,74
3,5:02.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,71,74
3,4:59.0,Defensive rebound by P. George,,71,74
3,4:48.0,R. Westbrook misses 3-pt jump shot from 22 ft,,71,74
3,4:46.0,Offensive rebound by S. Adams,,71,74
3,4:46.0,Personal foul by B. Ingram (drawn by S. Adams),,71,74
3,4:43.0,Turnover by S. Adams (bad pass; steal by L. Ball),,71,74
3,4:43.0,,Personal foul by R. Westbrook (drawn by K. Caldwell-Pope),71,74
3,4:32.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),71,76
3,4:09.0,J. Grant makes 2-pt layup from 1 ft (assist by D. Schröder),,73,76
3,3:52.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,73,76
3,3:51.0,Defensive rebound by D. Schröder,,73,76
3,3:47.0,Shooting foul by L. Ball (drawn by D. Schröder),,73,76
3,3:47.0,D. Schröder misses free throw 1 of 2,,73,76
3,3:47.0,Offensive rebound by Team,,73,76
3,3:47.0,,S. Mykhailiuk enters the game for K. Caldwell-Pope,73,76
3,3:47.0,D. Schröder misses free throw 2 of 2,,73,76
3,3:42.0,Offensive rebound by D. Schröder,,73,76
3,3:36.0,R. Westbrook misses 2-pt jump shot from 17 ft,,73,76
3,3:33.0,,Defensive rebound by J. Hart,73,76
3,3:26.0,,Turnover by L. Ball (lost ball; steal by P. George),73,76
3,3:22.0,R. Westbrook misses 2-pt layup from 1 ft (block by J. Hart),,73,76
3,3:19.0,,Defensive rebound by S. Mykhailiuk,73,76
3,3:15.0,,B. Ingram misses 2-pt jump shot from 15 ft,73,76
3,3:10.0,Defensive rebound by D. Schröder,,73,76
3,2:58.0,D. Schröder misses 2-pt layup from 1 ft,,73,76
3,2:54.0,Offensive rebound by P. George,,73,76
3,2:44.0,P. George misses 2-pt jump shot from 10 ft,,73,76
3,2:42.0,,Defensive rebound by L. Ball,73,76
3,2:25.0,,J. Hart misses 2-pt layup from 2 ft (block by S. Adams),73,76
3,2:24.0,Defensive rebound by S. Adams,,73,76
3,2:24.0,Personal foul by I. Zubac (drawn by S. Adams),,73,76
3,2:24.0,,LA Lakers full timeout,73,76
3,2:24.0,,L. Stephenson enters the game for B. Ingram,73,76
3,2:24.0,S. Adams makes free throw 1 of 2,,74,76
3,2:24.0,S. Adams misses free throw 2 of 2,,74,76
3,2:23.0,,Defensive rebound by I. Zubac,74,76
3,2:23.0,,Turnover by I. Zubac (lost ball; steal by P. George),74,76
3,2:21.0,Shooting foul by J. Hart (drawn by J. Grant),,74,76
3,2:21.0,J. Grant makes free throw 1 of 2,,75,76
3,2:21.0,J. Grant makes free throw 2 of 2,,76,76
3,2:09.0,,S. Mykhailiuk makes 2-pt jump shot from 18 ft (assist by I. Zubac),76,78
3,1:57.0,J. Grant misses 3-pt jump shot from 24 ft,,76,78
3,1:55.0,Offensive rebound by S. Adams,,76,78
3,1:53.0,S. Adams misses 2-pt hook shot from 3 ft,,76,78
3,1:53.0,,Defensive rebound by J. Hart,76,78
3,1:37.0,,S. Mykhailiuk makes 2-pt layup from 2 ft (assist by L. Stephenson),76,80
3,1:33.0,Shooting foul by L. Stephenson (drawn by R. Westbrook),,76,80
3,1:33.0,R. Westbrook makes free throw 1 of 2,,77,80
3,1:33.0,R. Westbrook makes free throw 2 of 2,,78,80
3,1:14.0,,I. Zubac makes 2-pt layup from 1 ft (assist by L. Ball),78,82
3,0:58.0,S. Adams misses 2-pt jump shot from 7 ft,,78,82
3,0:57.0,,Defensive rebound by J. Hart,78,82
3,0:41.0,,Personal foul by J. Grant (drawn by I. Zubac),78,82
3,0:41.0,A. Nader enters the game for R. Westbrook,,78,82
3,0:34.0,,S. Mykhailiuk misses 2-pt jump shot from 13 ft,78,82
3,0:31.0,Defensive rebound by D. Schröder,,78,82
3,0:28.0,P. George misses 3-pt jump shot from 28 ft,,78,82
3,0:24.0,,Defensive rebound by J. Hart,78,82
3,0:05.0,,Turnover by L. Ball (bad pass),78,82
3,0:00.0,Turnover by D. Schröder (lost ball; steal by J. Hart),,78,82
4,11:49.0,N. Noel makes 2-pt layup from 2 ft (assist by A. Nader),,80,82
4,11:33.0,,L. Stephenson misses 2-pt layup from 3 ft,80,82
4,11:29.0,,Offensive rebound by I. Zubac,80,82
4,11:29.0,,I. Zubac makes 2-pt layup at rim,80,84
4,11:22.0,D. Schröder misses 2-pt jump shot from 14 ft (block by B. Ingram),,80,84
4,11:19.0,,Defensive rebound by L. Stephenson,80,84
4,11:19.0,,Shooting foul by A. Nader (drawn by S. Mykhailiuk),80,84
4,11:19.0,,S. Mykhailiuk makes free throw 1 of 2,80,85
4,11:19.0,,S. Mykhailiuk misses free throw 2 of 2,80,85
4,11:16.0,Defensive rebound by N. Noel,,80,85
4,11:04.0,Shooting foul by B. Ingram (drawn by N. Noel),,80,85
4,11:04.0,N. Noel misses free throw 1 of 2,,80,85
4,11:04.0,Offensive rebound by Team,,80,85
4,11:04.0,N. Noel makes free throw 2 of 2,,81,85
4,10:49.0,,Turnover by B. Ingram (out of bounds lost ball),81,85
4,10:39.0,D. Schröder misses 2-pt layup from 1 ft,,81,85
4,10:35.0,Offensive rebound by N. Noel,,81,85
4,10:35.0,N. Noel misses 2-pt layup from 1 ft,,81,85
4,10:34.0,,Defensive rebound by B. Ingram,81,85
4,10:32.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,81,85
4,10:30.0,Defensive rebound by A. Nader,,81,85
4,10:25.0,A. Nader makes 2-pt layup from 1 ft,,83,85
4,10:12.0,,L. Stephenson misses 3-pt jump shot from 25 ft,83,85
4,10:08.0,Defensive rebound by A. Nader,,83,85
4,10:02.0,Offensive foul by H. Diallo (drawn by B. Ingram),,83,85
4,10:02.0,Turnover by H. Diallo (offensive foul),,83,85
4,9:44.0,,Turnover by S. Mykhailiuk (traveling),83,85
