QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DALLAS_ACTION,CHARLOTTE_SCORE,DALLAS_SCORE
1,3:03.0,,D. Harris enters the game for D. Finney-Smith,17,15
1,2:53.0,,T. Hardaway misses 2-pt jump shot from 21 ft,17,15
1,2:51.0,,Offensive rebound by D. Powell,17,15
1,2:49.0,,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by D. Powell),17,17
1,2:34.0,K. Walker makes 3-pt jump shot from 25 ft,,20,17
1,2:20.0,,L. Dončić makes 2-pt layup from 1 ft,20,19
1,2:06.0,K. Walker misses 3-pt jump shot from 26 ft (block by D. Harris),,20,19
1,2:04.0,,Defensive rebound by L. Dončić,20,19
1,2:02.0,,T. Hardaway makes 2-pt dunk from 1 ft (assist by L. Dončić),20,21
1,2:02.0,Charlotte full timeout,,20,21
1,2:02.0,D. Graham enters the game for K. Walker,,20,21
1,1:47.0,M. Bridges misses 3-pt jump shot from 25 ft,,20,21
1,1:44.0,,Defensive rebound by D. Harris,20,21
1,1:30.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,20,21
1,1:25.0,Defensive rebound by C. Zeller,,20,21
1,1:20.0,M. Kidd-Gilchrist misses 2-pt layup from 7 ft,,20,21
1,1:18.0,,Defensive rebound by L. Dončić,20,21
1,1:11.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by L. Dončić),20,24
1,0:53.0,Turnover by M. Kidd-Gilchrist (traveling),,20,24
1,0:34.0,,L. Dončić makes 3-pt jump shot from 27 ft,20,27
1,0:19.0,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft,,20,27
1,0:16.0,,Defensive rebound by D. Powell,20,27
1,0:00.0,,L. Dončić misses 2-pt layup from 6 ft (block by M. Monk),20,27
1,0:00.0,Defensive rebound by M. Kidd-Gilchrist,,20,27
2,11:45.0,,D. Powell makes 2-pt layup from 2 ft (assist by T. Hardaway),20,29
2,11:27.0,M. Bridges misses 2-pt jump shot from 2 ft (block by D. Nowitzki),,20,29
2,11:27.0,Offensive rebound by Team,,20,29
2,11:19.0,D. Graham makes 3-pt jump shot from 23 ft (assist by M. Monk),,23,29
2,11:01.0,,T. Hardaway misses 3-pt jump shot from 24 ft,23,29
2,10:57.0,,Offensive rebound by D. Powell,23,29
2,10:55.0,,L. Dončić misses 2-pt layup from 2 ft,23,29
2,10:53.0,Defensive rebound by M. Monk,,23,29
2,10:45.0,Shooting foul by D. Harris (drawn by B. Biyombo),,23,29
2,10:45.0,B. Biyombo misses free throw 1 of 2,,23,29
2,10:45.0,Offensive rebound by Team,,23,29
2,10:45.0,B. Biyombo makes free throw 2 of 2,,24,29
2,10:36.0,,D. Powell makes 2-pt layup at rim (assist by L. Dončić),24,31
2,10:36.0,,Shooting foul by M. Williams (drawn by D. Powell),24,31
2,10:36.0,,D. Powell makes free throw 1 of 1,24,32
2,10:22.0,B. Biyombo misses 2-pt jump shot from 6 ft,,24,32
2,10:20.0,,Defensive rebound by L. Dončić,24,32
2,10:16.0,,L. Dončić misses 2-pt layup at rim,24,32
2,10:15.0,,Offensive rebound by D. Powell,24,32
2,10:15.0,,D. Powell makes 2-pt layup from 1 ft,24,34
2,10:15.0,Charlotte full timeout,,24,34
2,10:02.0,Personal foul by T. Hardaway (drawn by M. Monk),,24,34
2,9:51.0,D. Graham misses 2-pt jump shot from 13 ft,,24,34
2,9:51.0,Offensive rebound by D. Graham,,24,34
2,9:48.0,D. Graham makes 2-pt layup from 1 ft,,26,34
2,9:28.0,,L. Dončić misses 3-pt jump shot from 26 ft,26,34
2,9:25.0,Defensive rebound by M. Williams,,26,34
2,9:10.0,M. Monk makes 2-pt jump shot from 11 ft,,28,34
2,8:44.0,,L. Dončić misses 2-pt jump shot from 8 ft,28,34
2,8:43.0,,Offensive rebound by L. Dončić,28,34
2,8:34.0,,T. Hardaway misses 3-pt jump shot from 23 ft,28,34
