QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MINNESOTA_ACTION,LA CLIPPERS_SCORE,MINNESOTA_SCORE
1,5:30.0,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,,13,13
1,5:27.0,,Defensive rebound by J. Teague,13,13
1,5:27.0,L. Shamet enters the game for S. Gilgeous-Alexander,,13,13
1,5:27.0,,G. Dieng enters the game for K. Towns,13,13
1,5:07.0,,J. Teague makes 2-pt layup from 1 ft,13,15
1,4:57.0,Turnover by G. Temple (step out of bounds),,13,15
1,4:44.0,,G. Dieng makes 2-pt dunk from 1 ft (assist by L. Deng),13,17
1,4:33.0,Turnover by L. Williams (lost ball; steal by D. Rose),,13,17
1,4:27.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),13,19
1,4:20.0,LA Clippers full timeout,,13,19
1,4:20.0,J. Green enters the game for I. Zubac,,13,19
1,4:15.0,L. Williams misses 2-pt layup from 2 ft,,13,19
1,4:13.0,Offensive rebound by M. Harrell,,13,19
1,4:13.0,M. Harrell misses 2-pt layup from 2 ft,,13,19
1,4:13.0,Offensive rebound by M. Harrell,,13,19
1,4:13.0,M. Harrell makes 2-pt layup from 1 ft,,15,19
1,3:55.0,,D. Rose misses 2-pt jump shot from 15 ft,15,19
1,3:52.0,Defensive rebound by L. Williams,,15,19
1,3:48.0,G. Temple misses 3-pt jump shot from 25 ft,,15,19
1,3:45.0,,Defensive rebound by L. Deng,15,19
1,3:38.0,,J. Teague misses 2-pt jump shot from 8 ft,15,19
1,3:35.0,Defensive rebound by M. Harrell,,15,19
1,3:27.0,Turnover by L. Williams (bad pass; steal by G. Dieng),,15,19
1,3:10.0,,G. Dieng makes 2-pt jump shot from 20 ft (assist by D. Rose),15,21
1,2:48.0,G. Temple misses 3-pt jump shot from 22 ft,,15,21
1,2:45.0,,Defensive rebound by L. Deng,15,21
1,2:36.0,,D. Rose misses 2-pt jump shot from 19 ft,15,21
1,2:35.0,Defensive rebound by G. Temple,,15,21
1,2:30.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by G. Temple),,18,21
1,2:12.0,,J. Teague misses 2-pt layup from 4 ft,18,21
1,2:10.0,Defensive rebound by M. Harrell,,18,21
1,2:00.0,Turnover by L. Williams (bad pass; steal by G. Dieng),,18,21
1,1:56.0,,Shooting foul by M. Harrell (drawn by T. Gibson),18,21
1,1:56.0,,T. Gibson makes free throw 1 of 2,18,22
1,1:56.0,J. Robinson enters the game for G. Temple,,18,22
1,1:56.0,,J. Bayless enters the game for L. Deng,18,22
1,1:56.0,,J. Okogie enters the game for G. Dieng,18,22
1,1:56.0,,K. Towns enters the game for J. Teague,18,22
1,1:56.0,,T. Gibson makes free throw 2 of 2,18,23
1,1:44.0,Shooting foul by K. Towns (drawn by M. Harrell),,18,23
1,1:44.0,M. Harrell misses free throw 1 of 2,,18,23
1,1:44.0,Offensive rebound by Team,,18,23
1,1:44.0,,G. Dieng enters the game for K. Towns,18,23
1,1:44.0,M. Harrell misses free throw 2 of 2,,18,23
1,1:41.0,,Defensive rebound by T. Gibson,18,23
1,1:20.0,,Turnover by D. Rose (lost ball; steal by J. Green),18,23
1,1:15.0,M. Harrell misses 2-pt layup from 2 ft,,18,23
1,1:14.0,Offensive rebound by J. Green,,18,23
1,1:13.0,J. Green makes 2-pt layup from 3 ft,,20,23
1,0:56.0,,T. Gibson makes 2-pt hook shot from 3 ft (assist by D. Rose),20,25
1,0:47.0,Shooting foul by J. Okogie (drawn by L. Williams),,20,25
1,0:47.0,L. Williams makes free throw 1 of 2,,21,25
1,0:47.0,L. Williams makes free throw 2 of 2,,22,25
1,0:42.0,,D. Rose makes 2-pt layup from 2 ft,22,27
1,0:42.0,,Shooting foul by J. Green (drawn by D. Rose),22,27
1,0:42.0,,D. Rose misses free throw 1 of 1,22,27
1,0:40.0,Defensive rebound by J. Green,,22,27
1,0:28.0,M. Harrell makes 2-pt layup from 3 ft,,24,27
1,0:28.0,,Violation by Team (def goaltending),24,27
1,0:09.0,,D. Rose makes 2-pt layup from 2 ft,24,29
1,0:01.0,Shooting foul by J. Bayless (drawn by L. Williams),,24,29
1,0:01.0,L. Williams makes free throw 1 of 2,,25,29
1,0:01.0,L. Williams makes free throw 2 of 2,,26,29
1,0:00.0,,G. Dieng misses 3-pt jump shot from 42 ft,26,29
1,0:00.0,,Offensive rebound by Team,26,29
2,11:44.0,,Turnover by J. Teague (bad pass),26,29
2,11:30.0,Turnover by L. Williams (lost ball; steal by G. Dieng),,26,29
2,11:20.0,,J. Bayless misses 3-pt jump shot from 25 ft,26,29
2,11:18.0,,Offensive rebound by G. Dieng,26,29
2,11:09.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by J. Bayless),26,32
2,11:00.0,Shooting foul by J. Bayless (drawn by L. Williams),,26,32
2,11:00.0,L. Williams makes free throw 1 of 2,,27,32
2,11:00.0,L. Williams makes free throw 2 of 2,,28,32
2,10:37.0,,D. Šarić misses 2-pt layup from 1 ft,28,32
2,10:35.0,Defensive rebound by M. Harrell,,28,32
2,10:30.0,J. Green makes 3-pt jump shot from 23 ft (assist by J. Robinson),,31,32
2,10:16.0,,Turnover by G. Dieng (lost ball; steal by L. Williams),31,32
2,10:04.0,,Violation by Team (kicked ball),31,32
2,9:55.0,Turnover by M. Harrell (dbl dribble),,31,32
2,9:47.0,,D. Šarić misses 3-pt jump shot from 24 ft,31,32
2,9:44.0,,Offensive rebound by J. Okogie,31,32
2,9:40.0,,G. Dieng misses 3-pt jump shot from 23 ft,31,32
2,9:37.0,,Offensive rebound by D. Šarić,31,32
2,9:32.0,,G. Dieng makes 2-pt layup from 1 ft (assist by J. Teague),31,34
2,9:13.0,L. Williams misses 3-pt jump shot from 26 ft,,31,34
2,9:11.0,,Defensive rebound by G. Dieng,31,34
2,9:05.0,,Personal foul by J. Robinson (drawn by J. Teague),31,34
2,9:05.0,S. Gilgeous-Alexander enters the game for J. Robinson,,31,34
2,9:00.0,,J. Teague makes 2-pt jump shot from 6 ft,31,36
2,8:43.0,L. Shamet misses 3-pt jump shot from 25 ft,,31,36
2,8:40.0,,Defensive rebound by D. Šarić,31,36
2,8:30.0,,J. Teague misses 2-pt jump shot from 16 ft,31,36
2,8:26.0,Defensive rebound by L. Shamet,,31,36
2,8:17.0,Shooting foul by J. Teague (drawn by L. Williams),,31,36
2,8:17.0,L. Williams makes free throw 1 of 3,,32,36
2,8:17.0,L. Williams makes free throw 2 of 3,,33,36
2,8:17.0,D. Gallinari enters the game for J. Green,,33,36
2,8:17.0,,D. Rose enters the game for J. Teague,33,36
2,8:17.0,L. Williams makes free throw 3 of 3,,34,36
2,8:00.0,,J. Okogie misses 3-pt jump shot from 24 ft,34,36
2,7:58.0,Defensive rebound by L. Shamet,,34,36
2,7:48.0,M. Harrell makes 2-pt layup from 2 ft,,36,36
2,7:37.0,,D. Rose misses 2-pt jump shot from 20 ft,36,36
2,7:34.0,Defensive rebound by S. Gilgeous-Alexander,,36,36
2,7:27.0,Turnover by S. Gilgeous-Alexander (lost ball; steal by J. Okogie),,36,36
2,7:23.0,,J. Bayless makes 2-pt layup from 1 ft (assist by G. Dieng),36,38
2,7:08.0,L. Shamet makes 3-pt jump shot from 23 ft (assist by L. Williams),,39,38
2,6:57.0,,D. Rose misses 2-pt layup from 2 ft,39,38
2,6:55.0,Defensive rebound by M. Harrell,,39,38
2,6:45.0,S. Gilgeous-Alexander makes 3-pt jump shot from 23 ft (assist by M. Harrell),,42,38
2,6:44.0,,Minnesota full timeout,42,38
2,6:44.0,,Technical foul by D. Rose,42,38
2,6:44.0,P. Beverley enters the game for L. Williams,,42,38
2,6:44.0,,L. Deng enters the game for G. Dieng,42,38
2,6:44.0,,K. Towns enters the game for J. Okogie,42,38
2,6:44.0,D. Gallinari makes technical free throw,,43,38
2,6:32.0,,K. Towns makes 2-pt layup from 3 ft (assist by D. Rose),43,40
2,6:12.0,Shooting foul by J. Bayless (drawn by M. Harrell),,43,40
2,6:12.0,M. Harrell makes free throw 1 of 2,,44,40
2,6:12.0,M. Harrell makes free throw 2 of 2,,45,40
2,5:59.0,,D. Rose makes 2-pt layup from 2 ft (assist by D. Šarić),45,42
2,5:36.0,L. Shamet makes 2-pt layup from 2 ft (assist by M. Harrell),,47,42
2,5:18.0,,D. Šarić makes 3-pt jump shot from 24 ft (assist by J. Bayless),47,45
2,5:10.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,,49,45
2,4:53.0,,L. Deng misses 3-pt jump shot from 25 ft,49,45
2,4:50.0,,Offensive rebound by K. Towns,49,45
2,4:48.0,,Turnover by K. Towns (bad pass; steal by L. Shamet),49,45
2,4:39.0,D. Gallinari misses 2-pt jump shot from 21 ft,,49,45
2,4:37.0,,Defensive rebound by L. Deng,49,45
2,4:16.0,,J. Bayless misses 3-pt jump shot from 24 ft,49,45
2,4:13.0,Defensive rebound by P. Beverley,,49,45
2,4:00.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,,51,45
2,3:54.0,,Technical foul by J. Bayless,51,45
2,3:54.0,D. Gallinari makes technical free throw,,52,45
2,3:54.0,G. Temple enters the game for M. Harrell,,52,45
2,3:54.0,I. Zubac enters the game for L. Shamet,,52,45
2,3:54.0,,J. Teague enters the game for J. Bayless,52,45
2,3:45.0,,D. Rose makes 2-pt layup from 1 ft,52,47
2,3:25.0,Offensive foul by I. Zubac (drawn by K. Towns),,52,47
2,3:25.0,Turnover by I. Zubac (offensive foul),,52,47
2,3:05.0,,J. Teague makes 2-pt layup from 2 ft,52,49
2,2:47.0,Turnover by I. Zubac (lost ball; steal by D. Šarić),,52,49
2,2:36.0,,D. Rose misses 3-pt jump shot from 24 ft,52,49
2,2:32.0,,Offensive rebound by K. Towns,52,49
2,2:29.0,,K. Towns misses 2-pt layup from 3 ft,52,49
2,2:29.0,,Offensive rebound by K. Towns,52,49
2,2:29.0,,Personal foul by D. Gallinari (drawn by K. Towns),52,49
2,2:29.0,LA Clippers full timeout,,52,49
2,2:29.0,J. Green enters the game for D. Gallinari,,52,49
2,2:22.0,,Shooting foul by S. Gilgeous-Alexander (drawn by K. Towns),52,49
2,2:22.0,,K. Towns makes free throw 1 of 2,52,50
2,2:22.0,,K. Towns makes free throw 2 of 2,52,51
2,2:09.0,Shooting foul by J. Teague (drawn by I. Zubac),,52,51
2,2:09.0,,Violation by Team (delay of game),52,51
2,2:09.0,I. Zubac makes free throw 1 of 2,,53,51
2,2:09.0,L. Williams enters the game for P. Beverley,,53,51
2,2:09.0,,J. Okogie enters the game for J. Teague,53,51
2,2:09.0,I. Zubac misses free throw 2 of 2,,53,51
2,2:07.0,,Defensive rebound by D. Šarić,53,51
2,1:58.0,,D. Rose makes 2-pt layup from 1 ft,53,53
2,1:48.0,L. Williams misses 2-pt jump shot from 21 ft,,53,53
2,1:46.0,,Defensive rebound by D. Rose,53,53
2,1:44.0,,Personal foul by J. Green (drawn by K. Towns),53,53
2,1:38.0,,D. Rose misses 2-pt jump shot from 18 ft,53,53
2,1:37.0,,Offensive rebound by K. Towns,53,53
2,1:36.0,,K. Towns makes 2-pt layup from 2 ft,53,55
2,1:14.0,I. Zubac misses 2-pt hook shot from 6 ft,,53,55
2,1:12.0,,Defensive rebound by K. Towns,53,55
2,1:07.0,,D. Šarić makes 2-pt jump shot from 2 ft (assist by D. Rose),53,57
2,0:51.0,Turnover by L. Williams (bad pass; steal by L. Deng),,53,57
2,0:46.0,,L. Deng makes 2-pt layup from 1 ft,53,59
2,0:38.0,L. Williams misses 2-pt jump shot from 2 ft,,53,59
2,0:36.0,,Defensive rebound by J. Okogie,53,59
2,0:36.0,,Turnover by J. Okogie (discontinued dribble),53,59
2,0:36.0,,T. Gibson enters the game for K. Towns,53,59
2,0:31.0,Turnover by I. Zubac (lost ball; steal by L. Deng),,53,59
2,0:26.0,,L. Deng makes 2-pt layup from 1 ft,53,61
2,0:04.0,L. Williams makes 2-pt jump shot from 8 ft,,55,61
2,0:00.0,,D. Rose makes 2-pt layup from 1 ft,55,63
3,11:44.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by K. Towns),55,66
3,11:30.0,Turnover by I. Zubac (lost ball; steal by J. Teague),,55,66
3,11:28.0,,J. Teague makes 2-pt layup from 1 ft,55,68
3,11:14.0,Turnover by D. Gallinari (bad pass),,55,68
3,11:13.0,Loose ball foul by G. Temple (drawn by L. Deng),,55,68
3,10:56.0,,Shooting foul by I. Zubac (drawn by K. Towns),55,68
3,10:56.0,,K. Towns makes free throw 1 of 2,55,69
3,10:56.0,,K. Towns makes free throw 2 of 2,55,70
3,10:44.0,S. Gilgeous-Alexander misses 2-pt jump shot from 9 ft,,55,70
3,10:41.0,,Defensive rebound by K. Towns,55,70
3,10:29.0,,J. Okogie makes 3-pt jump shot from 23 ft (assist by J. Teague),55,73
3,10:08.0,I. Zubac makes 2-pt hook shot from 9 ft (assist by G. Temple),,57,73
3,10:01.0,,J. Okogie makes 2-pt layup from 2 ft (assist by J. Teague),57,75
3,10:01.0,,Shooting foul by P. Beverley (drawn by J. Okogie),57,75
3,10:01.0,,J. Okogie makes free throw 1 of 1,57,76
3,9:46.0,D. Gallinari misses 3-pt jump shot from 24 ft,,57,76
3,9:44.0,,Defensive rebound by J. Okogie,57,76
3,9:36.0,,K. Towns makes 2-pt hook shot from 6 ft (assist by J. Teague),57,78
3,9:22.0,Shooting foul by K. Towns (drawn by G. Temple),,57,78
3,9:22.0,G. Temple makes free throw 1 of 2,,58,78
3,9:22.0,G. Temple makes free throw 2 of 2,,59,78
3,9:00.0,,J. Teague misses 2-pt jump shot from 21 ft,59,78
3,8:58.0,,Offensive rebound by D. Šarić,59,78
3,8:58.0,,D. Šarić makes 2-pt layup from 1 ft,59,80
3,8:58.0,,Shooting foul by I. Zubac (drawn by D. Šarić),59,80
3,8:58.0,,D. Šarić makes free throw 1 of 1,59,81
3,8:47.0,Turnover by S. Gilgeous-Alexander (bad pass),,59,81
3,8:47.0,M. Harrell enters the game for P. Beverley,,59,81
3,8:47.0,L. Williams enters the game for I. Zubac,,59,81
3,8:36.0,,L. Deng misses 3-pt jump shot from 25 ft,59,81
3,8:34.0,Defensive rebound by D. Gallinari,,59,81
3,8:20.0,M. Harrell misses 2-pt jump shot from 8 ft,,59,81
3,8:17.0,,Defensive rebound by D. Šarić,59,81
3,8:08.0,,J. Teague misses 2-pt jump shot from 8 ft,59,81
3,8:05.0,Defensive rebound by D. Gallinari,,59,81
3,7:59.0,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,,59,81
3,7:55.0,Offensive rebound by G. Temple,,59,81
3,7:52.0,Shooting foul by L. Deng (drawn by D. Gallinari),,59,81
3,7:52.0,D. Gallinari makes free throw 1 of 2,,60,81
3,7:52.0,P. Beverley enters the game for S. Gilgeous-Alexander,,60,81
3,7:52.0,L. Shamet enters the game for G. Temple,,60,81
3,7:52.0,D. Gallinari makes free throw 2 of 2,,61,81
3,7:40.0,,Shooting foul by M. Harrell (drawn by K. Towns),61,81
3,7:40.0,,K. Towns makes free throw 1 of 2,61,82
3,7:40.0,,K. Towns makes free throw 2 of 2,61,83
3,7:20.0,L. Shamet makes 3-pt jump shot from 24 ft (assist by M. Harrell),,64,83
3,7:04.0,,Shooting foul by M. Harrell (drawn by K. Towns),64,83
3,7:04.0,,K. Towns makes free throw 1 of 2,64,84
3,7:04.0,,K. Towns makes free throw 2 of 2,64,85
3,6:50.0,Turnover by L. Shamet (out of bounds lost ball),,64,85
3,6:50.0,,Minnesota full timeout,64,85
3,6:50.0,,T. Gibson enters the game for D. Šarić,64,85
3,6:29.0,,J. Okogie misses 2-pt layup from 1 ft,64,85
3,6:27.0,Defensive rebound by D. Gallinari,,64,85
3,6:14.0,L. Williams misses 2-pt jump shot from 6 ft,,64,85
3,6:11.0,,Defensive rebound by J. Okogie,64,85
3,5:53.0,,Shooting foul by D. Gallinari (drawn by T. Gibson),64,85
3,5:53.0,,T. Gibson makes free throw 1 of 2,64,86
3,5:53.0,J. Green enters the game for D. Gallinari,,64,86
3,5:53.0,,T. Gibson makes free throw 2 of 2,64,87
3,5:39.0,Def 3 sec tech foul by Team,,64,87
3,5:39.0,L. Williams makes technical free throw,,65,87
3,5:39.0,,J. Bayless enters the game for L. Deng,65,87
3,5:33.0,L. Williams makes 2-pt jump shot from 19 ft (assist by L. Shamet),,67,87
3,5:11.0,,J. Okogie misses 2-pt layup from 3 ft,67,87
3,5:07.0,Defensive rebound by J. Green,,67,87
3,4:59.0,P. Beverley makes 2-pt jump shot from 8 ft (assist by L. Williams),,69,87
3,4:41.0,,J. Teague misses 2-pt jump shot from 20 ft (block by M. Harrell),69,87
3,4:40.0,,Offensive rebound by K. Towns,69,87
3,4:37.0,,Shooting foul by J. Green (drawn by K. Towns),69,87
3,4:37.0,,K. Towns makes free throw 1 of 2,69,88
3,4:37.0,,D. Rose enters the game for J. Teague,69,88
3,4:37.0,,K. Towns misses free throw 2 of 2,69,88
3,4:35.0,Defensive rebound by J. Green,,69,88
3,4:26.0,L. Williams makes 2-pt layup from 1 ft,,71,88
3,4:14.0,,K. Towns misses 3-pt jump shot from 26 ft,71,88
3,4:12.0,Defensive rebound by J. Green,,71,88
3,4:10.0,Turnover by J. Green (bad pass; steal by T. Gibson),,71,88
3,4:04.0,,Shooting foul by L. Williams (drawn by K. Towns),71,88
3,4:04.0,,K. Towns makes free throw 1 of 2,71,89
3,4:04.0,,K. Towns misses free throw 2 of 2,71,89
3,4:02.0,Defensive rebound by J. Green,,71,89
3,3:49.0,L. Williams makes 2-pt jump shot from 18 ft (assist by M. Harrell),,73,89
3,3:35.0,,K. Towns misses 2-pt jump shot from 6 ft,73,89
3,3:33.0,Defensive rebound by P. Beverley,,73,89
3,3:19.0,J. Green makes 3-pt jump shot from 22 ft (assist by M. Harrell),,76,89
3,3:01.0,,D. Rose makes 2-pt layup from 3 ft,76,91
3,3:01.0,,Shooting foul by L. Williams (drawn by D. Rose),76,91
3,3:01.0,,D. Rose makes free throw 1 of 1,76,92
3,2:52.0,L. Williams misses 2-pt jump shot from 20 ft,,76,92
3,2:50.0,Offensive rebound by J. Green,,76,92
3,2:41.0,Shooting foul by K. Towns (drawn by L. Williams),,76,92
3,2:41.0,LA Clippers full timeout,,76,92
3,2:41.0,,L. Deng enters the game for J. Okogie,76,92
3,2:41.0,,D. Šarić enters the game for K. Towns,76,92
3,2:41.0,L. Williams makes free throw 1 of 2,,77,92
3,2:41.0,L. Williams makes free throw 2 of 2,,78,92
3,2:17.0,,Turnover by Team (shot clock),78,92
3,2:09.0,L. Shamet misses 3-pt jump shot from 25 ft,,78,92
3,2:07.0,Offensive rebound by P. Beverley,,78,92
3,2:00.0,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),,80,92
3,1:48.0,,D. Rose misses 2-pt jump shot from 20 ft (block by P. Beverley),80,92
3,1:47.0,Defensive rebound by M. Harrell,,80,92
3,1:44.0,M. Harrell makes 2-pt dunk from 1 ft (assist by P. Beverley),,82,92
3,1:44.0,Shooting foul by D. Šarić (drawn by M. Harrell),,82,92
3,1:44.0,M. Harrell makes free throw 1 of 1,,83,92
3,1:32.0,,D. Šarić makes 2-pt layup from 3 ft (assist by D. Rose),83,94
3,1:25.0,Shooting foul by J. Bayless (drawn by L. Williams),,83,94
3,1:25.0,L. Williams makes free throw 1 of 2,,84,94
3,1:25.0,L. Williams makes free throw 2 of 2,,85,94
3,1:15.0,,Turnover by D. Šarić (bad pass; steal by M. Harrell),85,94
3,1:10.0,M. Harrell makes 2-pt layup from 1 ft (assist by P. Beverley),,87,94
3,1:01.0,,Shooting foul by M. Harrell (drawn by D. Rose),87,94
3,1:01.0,,D. Rose makes free throw 1 of 2,87,95
3,1:01.0,,J. Okogie enters the game for J. Bayless,87,95
3,1:01.0,,D. Rose makes free throw 2 of 2,87,96
3,0:52.0,Personal foul by L. Deng (drawn by L. Shamet),,87,96
3,0:52.0,L. Shamet makes free throw 1 of 2,,88,96
3,0:52.0,L. Shamet makes free throw 2 of 2,,89,96
3,0:41.0,,Shooting foul by J. Green (drawn by L. Deng),89,96
3,0:41.0,,L. Deng misses free throw 1 of 2,89,96
3,0:41.0,,Offensive rebound by Team,89,96
3,0:41.0,,L. Deng makes free throw 2 of 2,89,97
3,0:38.0,L. Williams misses 3-pt jump shot from 25 ft,,89,97
3,0:34.0,,Defensive rebound by L. Deng,89,97
3,0:24.0,,J. Okogie makes 2-pt layup from 1 ft (assist by D. Rose),89,99
3,0:04.0,Shooting foul by J. Okogie (drawn by L. Williams),,89,99
3,0:04.0,L. Williams makes free throw 1 of 2,,90,99
3,0:04.0,S. Thornwell enters the game for P. Beverley,,90,99
3,0:04.0,I. Zubac enters the game for M. Harrell,,90,99
3,0:04.0,L. Williams makes free throw 2 of 2,,91,99
4,11:47.0,L. Williams misses 3-pt jump shot from 25 ft,,91,99
4,11:44.0,,Defensive rebound by G. Dieng,91,99
4,11:30.0,,J. Teague misses 2-pt jump shot from 6 ft,91,99
4,11:29.0,,Offensive rebound by J. Teague,91,99
4,11:27.0,,J. Teague makes 2-pt layup from 2 ft,91,101
4,11:12.0,L. Williams makes 2-pt layup from 1 ft (assist by M. Harrell),,93,101
4,11:12.0,,Minnesota full timeout,93,101
4,11:12.0,,I. Canaan enters the game for J. Okogie,93,101
4,11:02.0,,Shooting foul by S. Gilgeous-Alexander (drawn by J. Teague),93,101
4,11:02.0,,J. Teague makes free throw 1 of 2,93,102
4,11:02.0,,J. Teague makes free throw 2 of 2,93,103
4,10:48.0,Shooting foul by I. Canaan (drawn by L. Shamet),,93,103
4,10:48.0,L. Shamet makes free throw 1 of 2,,94,103
4,10:48.0,L. Shamet makes free throw 2 of 2,,95,103
4,10:39.0,,J. Teague misses 2-pt jump shot from 9 ft,95,103
4,10:37.0,,Offensive rebound by L. Deng,95,103
4,10:36.0,,G. Dieng misses 2-pt layup from 2 ft,95,103
4,10:35.0,,Offensive rebound by G. Dieng,95,103
4,10:35.0,,G. Dieng misses 2-pt layup from 1 ft,95,103
4,10:34.0,,Offensive rebound by G. Dieng,95,103
4,10:33.0,,G. Dieng misses 2-pt layup from 3 ft,95,103
4,10:32.0,Defensive rebound by M. Harrell,,95,103
4,10:21.0,L. Williams makes 3-pt jump shot from 25 ft,,98,103
4,10:00.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by I. Canaan),98,106
4,9:52.0,,Violation by Team (kicked ball),98,106
4,9:52.0,P. Beverley enters the game for S. Gilgeous-Alexander,,98,106
4,9:46.0,L. Williams makes 2-pt jump shot from 13 ft,,100,106
4,9:26.0,,Personal foul by L. Shamet (drawn by L. Deng),100,106
4,9:16.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by G. Dieng),100,109
4,9:03.0,L. Williams misses 3-pt jump shot from 25 ft,,100,109
4,9:01.0,,Defensive rebound by L. Deng,100,109
4,8:51.0,,G. Dieng misses 2-pt jump shot from 6 ft,100,109
4,8:49.0,Defensive rebound by M. Harrell,,100,109
4,8:43.0,J. Green makes 3-pt jump shot from 25 ft (assist by P. Beverley),,103,109
4,8:29.0,,G. Dieng makes 2-pt jump shot from 10 ft (assist by J. Teague),103,111
4,8:12.0,L. Williams makes 2-pt layup from 2 ft,,105,111
4,7:57.0,,Shooting foul by P. Beverley (drawn by J. Teague),105,111
4,7:57.0,,J. Teague makes free throw 1 of 2,105,112
4,7:57.0,D. Gallinari enters the game for J. Green,,105,112
4,7:57.0,,K. Towns enters the game for G. Dieng,105,112
4,7:57.0,,J. Teague makes free throw 2 of 2,105,113
