QUARTER,TIME_REMAINING,TORONTO_ACTION,OKLAHOMA CITY_ACTION,TORONTO_SCORE,OKLAHOMA CITY_SCORE
4,11:37.0,,M. Morris misses 3-pt jump shot from 23 ft,92,78
4,11:33.0,,Offensive rebound by N. Noel,92,78
4,11:33.0,,Shooting foul by S. Ibaka (drawn by N. Noel),92,78
4,11:33.0,,N. Noel makes free throw 1 of 2,92,79
4,11:33.0,,N. Noel misses free throw 2 of 2,92,79
4,11:31.0,Defensive rebound by K. Leonard,,92,79
4,11:14.0,Shooting foul by A. Nader (drawn by O. Anunoby),,92,79
4,11:14.0,O. Anunoby misses free throw 1 of 2,,92,79
4,11:14.0,Offensive rebound by Team,,92,79
4,11:14.0,O. Anunoby makes free throw 2 of 2,,93,79
4,10:56.0,,N. Noel makes 2-pt layup from 2 ft (assist by D. Schröder),93,81
4,10:35.0,O. Anunoby misses 3-pt jump shot from 25 ft,,93,81
4,10:32.0,,Defensive rebound by D. Schröder,93,81
4,10:27.0,,M. Morris misses 3-pt jump shot from 23 ft,93,81
4,10:24.0,Defensive rebound by J. Lin,,93,81
4,10:17.0,J. Lin makes 2-pt layup from 1 ft,,95,81
4,10:04.0,,Def 3 sec tech foul by Team,95,81
4,10:04.0,,Offensive rebound by Team,95,81
4,10:04.0,,P. George misses technical free throw,95,81
4,9:58.0,,A. Nader misses 3-pt jump shot from 23 ft,95,81
4,9:55.0,Defensive rebound by S. Ibaka,,95,81
4,9:46.0,Turnover by O. Anunoby (bad pass; steal by M. Morris),,95,81
4,9:39.0,,A. Nader makes 3-pt jump shot from 26 ft (assist by P. George),95,84
4,9:18.0,Turnover by K. Leonard (traveling),,95,84
4,9:12.0,,N. Noel misses 2-pt jump shot from 5 ft,95,84
4,9:08.0,Defensive rebound by S. Ibaka,,95,84
4,8:50.0,K. Leonard misses 3-pt jump shot from 25 ft,,95,84
4,8:48.0,,Defensive rebound by D. Schröder,95,84
4,8:44.0,,P. George misses 3-pt jump shot from 25 ft,95,84
4,8:40.0,Defensive rebound by S. Ibaka,,95,84
4,8:25.0,,Violation by Team (kicked ball),95,84
4,8:25.0,F. VanVleet enters the game for O. Anunoby,,95,84
4,8:25.0,,R. Westbrook enters the game for A. Nader,95,84
4,8:14.0,N. Powell misses 2-pt layup from 3 ft,,95,84
4,8:14.0,,Defensive rebound by Team,95,84
4,8:02.0,,D. Schröder misses 2-pt jump shot from 14 ft,95,84
4,7:59.0,Defensive rebound by N. Powell,,95,84
4,7:55.0,J. Lin misses 3-pt jump shot from 26 ft,,95,84
4,7:53.0,Offensive rebound by S. Ibaka,,95,84
4,7:53.0,Shooting foul by P. George (drawn by S. Ibaka),,95,84
4,7:53.0,S. Ibaka makes free throw 1 of 2,,96,84
4,7:53.0,D. Green enters the game for N. Powell,,96,84
4,7:53.0,S. Ibaka makes free throw 2 of 2,,97,84
4,7:43.0,,M. Morris makes 2-pt layup from 1 ft,97,86
4,7:21.0,J. Lin misses 3-pt jump shot from 25 ft,,97,86
4,7:14.0,Offensive rebound by K. Leonard,,97,86
4,7:11.0,F. VanVleet makes 3-pt jump shot from 23 ft (assist by K. Leonard),,100,86
4,6:59.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by R. Westbrook),100,89
4,6:47.0,Offensive foul by K. Leonard (drawn by P. George),,100,89
4,6:47.0,Turnover by K. Leonard (offensive foul),,100,89
4,6:47.0,,Oklahoma City full timeout,100,89
4,6:47.0,P. Siakam enters the game for K. Leonard,,100,89
4,6:47.0,,S. Adams enters the game for N. Noel,100,89
4,6:35.0,,D. Schröder misses 3-pt jump shot from 23 ft,100,89
4,6:33.0,Defensive rebound by P. Siakam,,100,89
4,6:17.0,Personal foul by M. Morris (drawn by F. VanVleet),,100,89
4,6:17.0,,J. Grant enters the game for M. Morris,100,89
4,6:05.0,F. VanVleet misses 3-pt jump shot from 25 ft,,100,89
4,6:01.0,,Defensive rebound by D. Schröder,100,89
4,5:57.0,,R. Westbrook makes 3-pt jump shot from 24 ft (assist by D. Schröder),100,92
4,5:36.0,P. Siakam makes 2-pt layup from 3 ft (assist by F. VanVleet),,102,92
4,5:19.0,,Turnover by R. Westbrook (bad pass; steal by J. Lin),102,92
4,5:16.0,P. Siakam makes 2-pt dunk from 1 ft (assist by D. Green),,104,92
4,5:14.0,Violation by Team (delay of game),,104,92
4,5:01.0,,S. Adams misses 2-pt hook shot from 6 ft,104,92
4,4:58.0,Defensive rebound by D. Green,,104,92
4,4:58.0,Turnover by D. Green (bad pass),,104,92
4,4:58.0,,Oklahoma City full timeout,104,92
4,4:58.0,M. Gasol enters the game for S. Ibaka,,104,92
4,4:58.0,K. Leonard enters the game for J. Lin,,104,92
4,4:51.0,,R. Westbrook misses 2-pt layup from 2 ft,104,92
4,4:50.0,Defensive rebound by M. Gasol,,104,92
4,4:37.0,K. Leonard misses 2-pt jump shot from 2 ft,,104,92
4,4:35.0,Offensive rebound by P. Siakam,,104,92
4,4:33.0,K. Leonard misses 3-pt jump shot from 25 ft,,104,92
4,4:31.0,,Defensive rebound by R. Westbrook,104,92
4,4:26.0,,D. Schröder makes 2-pt jump shot from 8 ft (assist by R. Westbrook),104,94
4,4:07.0,P. Siakam makes 2-pt layup from 1 ft (assist by M. Gasol),,106,94
4,3:56.0,,R. Westbrook makes 3-pt jump shot from 26 ft (assist by D. Schröder),106,97
