QUARTER,TIME_REMAINING,UTAH_ACTION,DALLAS_ACTION,UTAH_SCORE,DALLAS_SCORE
4,4:20.0,,S. Mejri makes 2-pt layup from 1 ft (assist by J. Brunson),65,107
4,4:12.0,Personal foul by R. Broekhoff (drawn by G. Allen),,65,107
4,4:06.0,G. Allen misses 2-pt jump shot from 9 ft,,65,107
4,4:04.0,,Defensive rebound by R. Broekhoff,65,107
4,3:47.0,,J. Brunson makes 2-pt jump shot from 13 ft,65,109
4,3:32.0,R. O'Neale misses 3-pt jump shot from 28 ft,,65,109
4,3:28.0,,Defensive rebound by M. Kleber,65,109
4,3:22.0,,Turnover by J. Brunson (bad pass; steal by R. O'Neale),65,109
4,3:19.0,Personal foul by D. Powell (drawn by D. Exum),,65,109
4,3:09.0,E. Udoh misses 2-pt jump shot from 17 ft,,65,109
4,3:06.0,,Defensive rebound by S. Mejri,65,109
4,3:00.0,,Shooting foul by E. Udoh (drawn by S. Mejri),65,109
4,3:00.0,,Dallas full timeout,65,109
4,3:00.0,,S. Mejri makes free throw 1 of 2,65,110
4,3:00.0,,S. Mejri makes free throw 2 of 2,65,111
4,2:50.0,Shooting foul by J. Brunson (drawn by D. Exum),,65,111
4,2:50.0,D. Exum misses free throw 1 of 2,,65,111
4,2:50.0,Offensive rebound by Team,,65,111
4,2:50.0,D. Exum makes free throw 2 of 2,,66,111
4,2:39.0,,R. Broekhoff makes 2-pt jump shot from 12 ft (assist by D. Powell),66,113
4,2:18.0,G. Allen misses 3-pt jump shot from 23 ft,,66,113
4,2:15.0,,Defensive rebound by J. Brunson,66,113
4,1:58.0,,Turnover by M. Kleber (bad pass; steal by D. Exum),66,113
4,1:48.0,D. Exum misses 3-pt jump shot from 23 ft,,66,113
4,1:43.0,,Defensive rebound by D. Powell,66,113
4,1:26.0,,J. Brunson makes 2-pt layup from 2 ft,66,115
4,1:26.0,,Shooting foul by R. O'Neale (drawn by J. Brunson),66,115
4,1:26.0,,J. Brunson makes free throw 1 of 1,66,116
4,1:18.0,G. Allen makes 2-pt jump shot from 11 ft,,68,116
4,0:58.0,,S. Mejri makes 2-pt layup from 2 ft (assist by J. Brunson),68,118
4,0:48.0,D. Exum misses 2-pt jump shot from 13 ft,,68,118
4,0:45.0,,Defensive rebound by D. Powell,68,118
4,0:22.0,,Turnover by Team (shot clock),68,118
