QUARTER,TIME_REMAINING,DENVER_ACTION,DALLAS_ACTION,DENVER_SCORE,DALLAS_SCORE
1,2:04.0,,Personal foul by I. Thomas (drawn by D. Powell),23,23
1,2:04.0,,D. Powell makes free throw 1 of 2,23,24
1,2:04.0,,D. Powell makes free throw 2 of 2,23,25
1,1:52.0,I. Thomas misses 2-pt jump shot from 12 ft,,23,25
1,1:51.0,Offensive rebound by I. Thomas,,23,25
1,1:49.0,I. Thomas misses 2-pt jump shot from 2 ft,,23,25
1,1:49.0,,Defensive rebound by D. Nowitzki,23,25
1,1:40.0,,Shooting foul by I. Thomas (drawn by D. Harris),23,25
1,1:40.0,,D. Harris makes free throw 1 of 3,23,26
1,1:40.0,,D. Harris makes free throw 2 of 3,23,27
1,1:40.0,,D. Harris makes free throw 3 of 3,23,28
1,1:27.0,M. Plumlee misses 2-pt hook shot from 4 ft,,23,28
1,1:22.0,Offensive rebound by I. Thomas,,23,28
1,1:20.0,Shooting foul by D. Harris (drawn by I. Thomas),,23,28
1,1:20.0,I. Thomas makes free throw 1 of 2,,24,28
1,1:20.0,I. Thomas makes free throw 2 of 2,,25,28
1,0:58.0,,J. Jackson misses 2-pt jump shot from 13 ft,25,28
1,0:57.0,,Offensive rebound by Team,25,28
1,0:51.0,,T. Burke misses 3-pt jump shot from 25 ft,25,28
1,0:47.0,Defensive rebound by P. Millsap,,25,28
1,0:40.0,P. Millsap misses 3-pt jump shot from 25 ft,,25,28
1,0:37.0,,Defensive rebound by J. Jackson,25,28
1,0:26.0,,T. Burke makes 2-pt jump shot from 3 ft,25,30
1,0:01.0,M. Morris misses 3-pt jump shot from 25 ft,,25,30
1,0:00.0,,Defensive rebound by T. Burke,25,30
2,11:46.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,25,30
2,11:43.0,Defensive rebound by I. Thomas,,25,30
2,11:31.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by I. Thomas),,27,30
2,11:08.0,,D. Nowitzki misses 2-pt layup from 3 ft,27,30
2,11:06.0,Defensive rebound by M. Plumlee,,27,30
2,11:03.0,J. Hernangómez misses 3-pt jump shot from 25 ft,,27,30
2,11:00.0,,Defensive rebound by D. Harris,27,30
2,10:55.0,,D. Harris makes 2-pt layup at rim,27,32
2,10:45.0,G. Harris misses 3-pt jump shot from 26 ft,,27,32
2,10:42.0,,Defensive rebound by J. Jackson,27,32
2,10:33.0,,D. Nowitzki makes 2-pt jump shot from 12 ft (assist by D. Harris),27,34
2,10:12.0,M. Plumlee makes 2-pt jump shot from 13 ft,,29,34
2,9:55.0,,J. Jackson misses 2-pt jump shot from 8 ft,29,34
2,9:52.0,Defensive rebound by M. Plumlee,,29,34
2,9:47.0,I. Thomas makes 3-pt jump shot from 25 ft,,32,34
2,9:39.0,,Personal foul by G. Harris (drawn by D. Nowitzki),32,34
2,9:36.0,,Personal foul by I. Thomas (drawn by D. Harris),32,34
2,9:36.0,Technical foul by I. Thomas,,32,34
2,9:36.0,,D. Nowitzki makes technical free throw,32,35
2,9:36.0,J. Murray enters the game for I. Thomas,,32,35
2,9:31.0,,D. Powell makes 2-pt dunk at rim (assist by D. Nowitzki),32,37
2,9:16.0,M. Morris makes 2-pt jump shot from 11 ft (assist by J. Murray),,34,37
2,9:16.0,Shooting foul by J. Jackson (drawn by M. Morris),,34,37
2,9:16.0,M. Morris makes free throw 1 of 1,,35,37
2,8:57.0,,J. Jackson misses 3-pt jump shot from 26 ft,35,37
2,8:55.0,Defensive rebound by M. Morris,,35,37
2,8:48.0,Turnover by M. Plumlee (bad pass; steal by D. Harris),,35,37
2,8:40.0,,D. Powell misses 3-pt jump shot from 26 ft,35,37
2,8:37.0,Defensive rebound by G. Harris,,35,37
2,8:33.0,M. Morris misses 3-pt jump shot from 25 ft,,35,37
2,8:30.0,,Defensive rebound by J. Jackson,35,37
2,8:19.0,,Loose ball foul by D. Harris (drawn by J. Murray),35,37
2,8:19.0,,Turnover by D. Harris (turnover),35,37
2,8:19.0,N. Jokić enters the game for M. Plumlee,,35,37
2,8:19.0,,M. Kleber enters the game for J. Jackson,35,37
2,8:19.0,,C. Lee enters the game for D. Nowitzki,35,37
2,8:19.0,,S. Mejri enters the game for D. Powell,35,37
2,8:06.0,G. Harris makes 2-pt layup from 1 ft (assist by N. Jokić),,37,37
2,8:05.0,,Dallas full timeout,37,37
2,8:05.0,,T. Hardaway enters the game for D. Harris,37,37
2,7:41.0,,T. Hardaway misses 2-pt jump shot from 15 ft,37,37
2,7:38.0,Defensive rebound by N. Jokić,,37,37
2,7:32.0,G. Harris misses 2-pt layup from 2 ft,,37,37
2,7:30.0,,Defensive rebound by Team,37,37
2,7:30.0,Loose ball foul by N. Jokić (drawn by S. Mejri),,37,37
2,7:13.0,,Shooting foul by M. Morris (drawn by T. Burke),37,37
2,7:13.0,,T. Burke makes free throw 1 of 2,37,38
2,7:13.0,M. Beasley enters the game for M. Morris,,37,38
2,7:13.0,,T. Burke makes free throw 2 of 2,37,39
2,7:00.0,Shooting foul by S. Mejri (drawn by G. Harris),,37,39
2,7:00.0,G. Harris misses free throw 1 of 2,,37,39
2,7:00.0,Offensive rebound by Team,,37,39
2,7:00.0,,J. Brunson enters the game for T. Burke,37,39
2,7:00.0,,D. Finney-Smith enters the game for C. Lee,37,39
2,7:00.0,G. Harris makes free throw 2 of 2,,38,39
2,6:43.0,,D. Finney-Smith misses 3-pt jump shot from 24 ft,38,39
2,6:41.0,,Offensive rebound by Team,38,39
2,6:41.0,W. Barton enters the game for G. Harris,,38,39
2,6:31.0,,Turnover by M. Kleber (bad pass; steal by N. Jokić),38,39
2,6:25.0,M. Beasley misses 3-pt jump shot from 23 ft,,38,39
2,6:21.0,,Defensive rebound by D. Finney-Smith,38,39
2,6:17.0,,Shooting foul by M. Beasley (drawn by D. Finney-Smith),38,39
2,6:17.0,,D. Finney-Smith makes free throw 1 of 2,38,40
2,6:17.0,P. Millsap enters the game for J. Hernangómez,,38,40
2,6:17.0,,D. Finney-Smith makes free throw 2 of 2,38,41
2,6:07.0,N. Jokić misses 2-pt hook shot from 5 ft,,38,41
2,6:05.0,,Defensive rebound by D. Finney-Smith,38,41
2,5:59.0,,M. Kleber misses 3-pt jump shot from 23 ft,38,41
2,5:55.0,Defensive rebound by P. Millsap,,38,41
2,5:53.0,J. Murray misses 3-pt jump shot from 25 ft,,38,41
2,5:50.0,Offensive rebound by P. Millsap,,38,41
2,5:48.0,P. Millsap misses 2-pt layup from 1 ft,,38,41
2,5:47.0,Offensive rebound by P. Millsap,,38,41
2,5:46.0,P. Millsap misses 2-pt layup from 3 ft,,38,41
2,5:44.0,,Defensive rebound by M. Kleber,38,41
2,5:31.0,,J. Brunson makes 2-pt jump shot from 8 ft,38,43
2,5:15.0,Turnover by M. Beasley (out of bounds lost ball),,38,43
2,4:59.0,,M. Kleber misses 3-pt jump shot from 25 ft,38,43
2,4:56.0,Defensive rebound by J. Murray,,38,43
2,4:51.0,P. Millsap makes 2-pt jump shot from 1 ft (assist by J. Murray),,40,43
2,4:35.0,,Turnover by T. Hardaway (bad pass; steal by J. Murray),40,43
2,4:28.0,P. Millsap makes 2-pt layup from 1 ft (assist by W. Barton),,42,43
2,4:28.0,Shooting foul by D. Finney-Smith (drawn by P. Millsap),,42,43
2,4:28.0,P. Millsap misses free throw 1 of 1,,42,43
2,4:26.0,,Defensive rebound by S. Mejri,42,43
2,4:14.0,,T. Hardaway misses 3-pt jump shot from 25 ft,42,43
2,4:12.0,Defensive rebound by N. Jokić,,42,43
2,4:09.0,Offensive foul by N. Jokić (drawn by S. Mejri),,42,43
2,4:09.0,Turnover by N. Jokić (offensive foul),,42,43
2,4:09.0,M. Plumlee enters the game for N. Jokić,,42,43
2,3:52.0,,Away from play foul by M. Beasley (drawn by T. Hardaway),42,43
2,3:52.0,,T. Hardaway misses free throw 1 of 1,42,43
2,3:52.0,,Offensive rebound by Team,42,43
2,3:44.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,42,43
2,3:40.0,Defensive rebound by M. Plumlee,,42,43
2,3:33.0,Shooting foul by M. Kleber (drawn by P. Millsap),,42,43
2,3:33.0,P. Millsap makes free throw 1 of 2,,43,43
2,3:33.0,,D. Harris enters the game for T. Hardaway,43,43
2,3:33.0,,D. Nowitzki enters the game for M. Kleber,43,43
2,3:33.0,,D. Powell enters the game for S. Mejri,43,43
2,3:33.0,P. Millsap makes free throw 2 of 2,,44,43
2,3:22.0,,D. Harris makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith),44,46
2,3:06.0,W. Barton makes 2-pt layup from 4 ft (assist by M. Plumlee),,46,46
2,2:50.0,,Turnover by J. Brunson (bad pass; steal by W. Barton),46,46
2,2:47.0,Denver full timeout,,46,46
2,2:41.0,M. Plumlee makes 2-pt dunk at rim (assist by M. Beasley),,48,46
2,2:19.0,,D. Nowitzki misses 2-pt jump shot from 21 ft,48,46
2,2:16.0,Defensive rebound by M. Plumlee,,48,46
2,2:07.0,P. Millsap makes 2-pt layup from 2 ft,,50,46
2,1:51.0,,J. Brunson makes 2-pt jump shot from 14 ft (assist by D. Nowitzki),50,48
2,1:37.0,J. Murray makes 2-pt jump shot from 16 ft,,52,48
2,1:17.0,,D. Powell misses 2-pt layup from 3 ft,52,48
2,1:16.0,,Offensive rebound by D. Powell,52,48
2,1:16.0,,Shooting foul by M. Plumlee (drawn by D. Powell),52,48
2,1:16.0,,D. Powell makes free throw 1 of 2,52,49
2,1:16.0,,M. Kleber enters the game for D. Nowitzki,52,49
2,1:16.0,,D. Powell makes free throw 2 of 2,52,50
2,0:53.0,W. Barton misses 2-pt jump shot from 11 ft,,52,50
2,0:51.0,Offensive rebound by P. Millsap,,52,50
2,0:49.0,P. Millsap misses 2-pt layup from 4 ft,,52,50
2,0:47.0,,Defensive rebound by J. Brunson,52,50
2,0:43.0,,Turnover by J. Brunson (lost ball; steal by M. Beasley),52,50
2,0:40.0,Turnover by M. Beasley (bad pass),,52,50
2,0:40.0,M. Morris enters the game for M. Beasley,,52,50
2,0:40.0,,T. Hardaway enters the game for D. Finney-Smith,52,50
2,0:27.0,,Personal foul by P. Millsap (drawn by T. Hardaway),52,50
2,0:27.0,,T. Hardaway misses free throw 1 of 2,52,50
2,0:27.0,,Offensive rebound by Team,52,50
2,0:27.0,,T. Hardaway makes free throw 2 of 2,52,51
2,0:05.0,M. Morris misses 3-pt jump shot from 24 ft,,52,51
2,0:02.0,,Defensive rebound by D. Powell,52,51
2,0:01.0,,Turnover by D. Powell (bad pass; steal by J. Murray),52,51
2,0:00.0,J. Murray misses 3-pt jump shot from 44 ft,,52,51
2,0:00.0,Offensive rebound by Team,,52,51
3,11:46.0,,Turnover by M. Kleber (lost ball; steal by P. Millsap),52,51
3,11:40.0,Turnover by N. Jokić (bad pass; steal by T. Hardaway),,52,51
3,11:34.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft (block by J. Murray),52,51
3,11:32.0,,Offensive rebound by Team,52,51
3,11:29.0,,T. Hardaway misses 2-pt jump shot from 8 ft,52,51
3,11:27.0,Defensive rebound by W. Barton,,52,51
3,11:18.0,M. Beasley makes 2-pt layup from 5 ft (assist by N. Jokić),,54,51
3,10:56.0,,M. Kleber misses 2-pt jump shot from 12 ft,54,51
3,10:54.0,Defensive rebound by P. Millsap,,54,51
3,10:50.0,W. Barton makes 3-pt jump shot from 25 ft (assist by J. Murray),,57,51
3,10:49.0,,Dallas full timeout,57,51
3,10:29.0,,J. Brunson misses 3-pt jump shot from 24 ft,57,51
3,10:27.0,Defensive rebound by N. Jokić,,57,51
3,10:24.0,Turnover by M. Beasley (out of bounds lost ball),,57,51
3,10:06.0,,Turnover by M. Kleber (lost ball; steal by W. Barton),57,51
3,9:46.0,N. Jokić misses 2-pt jump shot from 17 ft,,57,51
3,9:43.0,Offensive rebound by N. Jokić,,57,51
3,9:40.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by P. Millsap),,60,51
3,9:26.0,,Turnover by J. Brunson (turnover),60,51
3,9:26.0,,Loose ball foul by J. Brunson (drawn by J. Murray),60,51
3,9:16.0,N. Jokić misses 2-pt layup from 5 ft,,60,51
3,9:14.0,,Defensive rebound by M. Kleber,60,51
3,9:09.0,,M. Kleber misses 3-pt jump shot from 26 ft,60,51
3,9:05.0,Defensive rebound by M. Beasley,,60,51
3,8:59.0,M. Beasley misses 3-pt jump shot from 26 ft,,60,51
3,8:55.0,,Defensive rebound by S. Mejri,60,51
3,8:50.0,,T. Hardaway makes 2-pt layup from 1 ft,60,53
3,8:50.0,,Shooting foul by J. Murray (drawn by T. Hardaway),60,53
3,8:50.0,,D. Nowitzki enters the game for M. Kleber,60,53
3,8:50.0,,D. Powell enters the game for S. Mejri,60,53
3,8:50.0,,T. Hardaway misses free throw 1 of 1,60,53
3,8:47.0,Defensive rebound by N. Jokić,,60,53
3,8:35.0,J. Murray misses 3-pt jump shot from 25 ft,,60,53
3,8:33.0,Offensive rebound by Team,,60,53
3,8:31.0,N. Jokić makes 2-pt hook shot from 4 ft (assist by J. Murray),,62,53
3,8:17.0,,J. Brunson makes 2-pt layup from 1 ft (assist by D. Powell),62,55
3,8:03.0,W. Barton makes 2-pt jump shot from 21 ft,,64,55
3,7:47.0,,Turnover by J. Brunson (bad pass; steal by P. Millsap),64,55
3,7:47.0,Personal foul by D. Nowitzki (drawn by P. Millsap),,64,55
3,7:28.0,N. Jokić makes 2-pt layup from 2 ft (assist by M. Beasley),,66,55
3,7:19.0,,Shooting foul by J. Murray (drawn by J. Brunson),66,55
3,7:19.0,,J. Brunson makes free throw 1 of 2,66,56
3,7:19.0,,J. Brunson makes free throw 2 of 2,66,57
3,7:08.0,P. Millsap makes 2-pt layup from 2 ft (assist by W. Barton),,68,57
3,6:59.0,,T. Hardaway makes 2-pt jump shot from 20 ft (assist by J. Brunson),68,59
3,6:47.0,M. Beasley misses 2-pt jump shot from 14 ft,,68,59
3,6:44.0,,Defensive rebound by D. Nowitzki,68,59
3,6:29.0,,Turnover by J. Brunson (bad pass; steal by J. Murray),68,59
3,6:23.0,Turnover by J. Murray (bad pass; steal by D. Finney-Smith),,68,59
3,6:15.0,,Turnover by D. Finney-Smith (lost ball; steal by P. Millsap),68,59
3,6:12.0,Shooting foul by D. Nowitzki (drawn by M. Beasley),,68,59
3,6:12.0,M. Beasley makes free throw 1 of 2,,69,59
3,6:12.0,,D. Harris enters the game for D. Finney-Smith,69,59
3,6:12.0,M. Beasley makes free throw 2 of 2,,70,59
3,5:54.0,,D. Harris misses 3-pt jump shot from 25 ft,70,59
3,5:51.0,Defensive rebound by P. Millsap,,70,59
3,5:46.0,J. Murray makes 2-pt jump shot from 12 ft (assist by P. Millsap),,72,59
3,5:43.0,,Dallas full timeout,72,59
3,5:43.0,M. Plumlee enters the game for P. Millsap,,72,59
3,5:43.0,,T. Burke enters the game for J. Brunson,72,59
3,5:25.0,,D. Powell makes 3-pt jump shot from 25 ft (assist by D. Harris),72,62
3,4:58.0,J. Murray makes 3-pt jump shot from 23 ft (assist by M. Beasley),,75,62
3,4:45.0,,T. Hardaway misses 3-pt jump shot from 24 ft,75,62
3,4:42.0,Defensive rebound by W. Barton,,75,62
3,4:34.0,Shooting foul by D. Powell (drawn by N. Jokić),,75,62
3,4:34.0,N. Jokić makes free throw 1 of 2,,76,62
3,4:34.0,G. Harris enters the game for W. Barton,,76,62
3,4:34.0,,R. Broekhoff enters the game for T. Hardaway,76,62
3,4:34.0,N. Jokić makes free throw 2 of 2,,77,62
3,4:23.0,,D. Harris makes 2-pt layup at rim,77,64
3,4:09.0,M. Plumlee misses 2-pt layup from 3 ft,,77,64
3,4:06.0,,Defensive rebound by D. Nowitzki,77,64
3,3:59.0,,T. Burke makes 2-pt layup at rim,77,66
3,3:58.0,Denver full timeout,,77,66
3,3:58.0,M. Morris enters the game for M. Beasley,,77,66
3,3:43.0,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),,80,66
3,3:26.0,,T. Burke misses 2-pt jump shot from 6 ft,80,66
3,3:24.0,,Offensive rebound by T. Burke,80,66
3,3:23.0,,T. Burke makes 2-pt hook shot from 5 ft,80,68
3,3:07.0,G. Harris makes 3-pt jump shot from 23 ft (assist by N. Jokić),,83,68
3,2:57.0,,Personal foul by G. Harris (drawn by T. Burke),83,68
3,2:57.0,P. Millsap enters the game for N. Jokić,,83,68
3,2:49.0,,R. Broekhoff misses 3-pt jump shot from 25 ft,83,68
3,2:46.0,Defensive rebound by J. Murray,,83,68
3,2:39.0,J. Murray misses 2-pt hook shot from 3 ft,,83,68
3,2:37.0,,Defensive rebound by D. Nowitzki,83,68
3,2:31.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,83,68
3,2:28.0,Defensive rebound by M. Morris,,83,68
3,2:28.0,M. Plumlee makes 2-pt layup from 1 ft (assist by M. Morris),,85,68
3,2:28.0,Shooting foul by D. Harris (drawn by M. Plumlee),,85,68
3,2:28.0,I. Thomas enters the game for J. Murray,,85,68
3,2:28.0,M. Plumlee misses free throw 1 of 1,,85,68
3,2:25.0,,Defensive rebound by D. Nowitzki,85,68
3,2:10.0,,D. Powell misses 2-pt layup from 2 ft (block by P. Millsap),85,68
3,2:07.0,Defensive rebound by M. Morris,,85,68
3,2:05.0,I. Thomas misses 3-pt jump shot from 25 ft,,85,68
3,2:01.0,Offensive rebound by M. Plumlee,,85,68
3,2:00.0,I. Thomas makes 3-pt jump shot from 27 ft (assist by M. Plumlee),,88,68
3,1:57.0,,Dallas full timeout,88,68
3,1:57.0,,D. Finney-Smith enters the game for D. Nowitzki,88,68
3,1:48.0,,Shooting foul by M. Plumlee (drawn by D. Powell),88,68
3,1:48.0,,D. Powell makes free throw 1 of 2,88,69
3,1:48.0,,D. Powell misses free throw 2 of 2,88,69
3,1:45.0,Defensive rebound by P. Millsap,,88,69
3,1:28.0,P. Millsap misses 2-pt jump shot from 6 ft,,88,69
3,1:24.0,Offensive rebound by M. Plumlee,,88,69
3,1:23.0,M. Plumlee misses 2-pt layup from 1 ft,,88,69
3,1:22.0,,Defensive rebound by D. Finney-Smith,88,69
3,1:14.0,,D. Powell misses 2-pt layup from 4 ft,88,69
3,1:13.0,Defensive rebound by P. Millsap,,88,69
3,1:08.0,I. Thomas misses 3-pt jump shot from 23 ft,,88,69
3,1:04.0,Offensive rebound by P. Millsap,,88,69
3,1:02.0,G. Harris misses 3-pt jump shot from 25 ft,,88,69
3,1:00.0,Offensive rebound by M. Plumlee,,88,69
3,1:00.0,Shooting foul by D. Harris (drawn by M. Plumlee),,88,69
3,1:00.0,M. Plumlee misses free throw 1 of 2,,88,69
3,1:00.0,Offensive rebound by Team,,88,69
3,1:00.0,,S. Mejri enters the game for D. Harris,88,69
3,1:00.0,M. Plumlee makes free throw 2 of 2,,89,69
3,0:52.0,,Shooting foul by P. Millsap (drawn by D. Powell),89,69
3,0:52.0,,D. Powell makes free throw 1 of 2,89,70
3,0:52.0,,D. Powell makes free throw 2 of 2,89,71
3,0:38.0,Offensive foul by M. Plumlee (drawn by S. Mejri),,89,71
3,0:38.0,Turnover by M. Plumlee (offensive foul),,89,71
3,0:26.0,,T. Burke makes 3-pt jump shot from 24 ft (assist by S. Mejri),89,74
3,0:05.0,M. Morris makes 2-pt jump shot from 13 ft,,91,74
3,0:00.0,,T. Burke misses 3-pt jump shot from 27 ft,91,74
3,0:00.0,,Offensive rebound by Team,91,74
4,11:47.0,G. Harris misses 2-pt jump shot from 18 ft,,91,74
4,11:45.0,,Defensive rebound by Team,91,74
4,11:33.0,,M. Kleber misses 3-pt jump shot from 23 ft,91,74
4,11:29.0,Defensive rebound by M. Plumlee,,91,74
4,11:26.0,I. Thomas makes 3-pt jump shot from 27 ft,,94,74
4,11:09.0,,Shooting foul by M. Plumlee (drawn by S. Mejri),94,74
4,11:09.0,,S. Mejri misses free throw 1 of 2,94,74
4,11:09.0,,Offensive rebound by Team,94,74
4,11:09.0,,S. Mejri makes free throw 2 of 2,94,75
4,10:57.0,G. Harris makes 2-pt layup from 1 ft,,96,75
4,10:42.0,,Shooting foul by P. Millsap (drawn by D. Finney-Smith),96,75
4,10:42.0,,D. Finney-Smith makes free throw 1 of 2,96,76
4,10:42.0,,D. Finney-Smith makes free throw 2 of 2,96,77
4,10:28.0,P. Millsap misses 3-pt jump shot from 25 ft,,96,77
4,10:26.0,,Defensive rebound by S. Mejri,96,77
4,10:25.0,,Turnover by S. Mejri (lost ball; steal by G. Harris),96,77
4,10:23.0,Shooting foul by D. Finney-Smith (drawn by M. Plumlee),,96,77
4,10:23.0,M. Plumlee misses free throw 1 of 2,,96,77
4,10:23.0,Offensive rebound by Team,,96,77
4,10:23.0,,J. Jackson enters the game for R. Broekhoff,96,77
