QUARTER,TIME_REMAINING,MINNESOTA_ACTION,WASHINGTON_ACTION,MINNESOTA_SCORE,WASHINGTON_SCORE
1,4:08.0,T. Gibson makes 2-pt hook shot from 6 ft (assist by J. Teague),,24,26
1,3:55.0,,T. Ariza makes 3-pt jump shot from 22 ft (assist by B. Beal),24,29
1,3:44.0,J. Teague misses 2-pt layup from 3 ft,,24,29
1,3:40.0,Offensive rebound by K. Towns,,24,29
1,3:40.0,K. Towns makes 2-pt layup from 1 ft,,26,29
1,3:35.0,,B. Beal makes 2-pt layup from 2 ft (assist by J. Green),26,31
1,3:25.0,K. Towns makes 2-pt hook shot from 5 ft (assist by J. Teague),,28,31
1,3:14.0,,B. Beal misses 2-pt layup from 2 ft,28,31
1,3:11.0,Defensive rebound by A. Wiggins,,28,31
1,3:03.0,Personal foul by B. Beal (drawn by K. Towns),,28,31
1,3:03.0,T. Jones enters the game for J. Teague,,28,31
1,3:03.0,,T. Bryant enters the game for J. Green,28,31
1,3:03.0,,J. Parker enters the game for B. Portis,28,31
1,2:54.0,T. Gibson makes 2-pt layup from 3 ft (assist by K. Towns),,30,31
1,2:39.0,,C. Randle misses 3-pt jump shot from 27 ft,30,31
1,2:36.0,Defensive rebound by T. Gibson,,30,31
1,2:27.0,D. Rose makes 2-pt jump shot from 9 ft,,32,31
1,2:15.0,,B. Beal misses 2-pt jump shot from 8 ft,32,31
1,2:13.0,,Offensive rebound by B. Beal,32,31
1,2:13.0,,B. Beal makes 2-pt layup from 4 ft,32,33
1,1:58.0,Turnover by T. Gibson (3 sec),,32,33
1,1:58.0,Minnesota full timeout,,32,33
1,1:58.0,,T. Brown enters the game for T. Ariza,32,33
1,1:45.0,,T. Brown misses 2-pt layup from 3 ft (block by K. Towns),32,33
1,1:43.0,,Offensive rebound by J. Parker,32,33
1,1:42.0,,T. Bryant makes 2-pt layup from 1 ft (assist by T. Brown),32,35
1,1:42.0,,Shooting foul by K. Towns (drawn by T. Bryant),32,35
1,1:42.0,,T. Bryant makes free throw 1 of 1,32,36
1,1:29.0,D. Rose makes 2-pt layup from 2 ft,,34,36
1,1:16.0,,T. Brown misses 2-pt jump shot from 8 ft,34,36
1,1:14.0,Defensive rebound by T. Gibson,,34,36
1,1:14.0,Turnover by T. Gibson (bad pass),,34,36
1,1:14.0,A. Tolliver enters the game for K. Towns,,34,36
1,0:58.0,,T. Bryant misses 3-pt jump shot from 25 ft,34,36
1,0:57.0,,Offensive rebound by T. Brown,34,36
1,0:56.0,,T. Brown makes 2-pt layup from 1 ft,34,38
1,0:45.0,A. Tolliver misses 3-pt jump shot from 26 ft,,34,38
1,0:43.0,,Defensive rebound by T. Bryant,34,38
1,0:32.0,,B. Beal misses 3-pt jump shot from 26 ft,34,38
1,0:31.0,,Offensive rebound by T. Brown,34,38
1,0:30.0,,B. Beal misses 3-pt jump shot from 26 ft,34,38
1,0:30.0,,Offensive rebound by B. Beal,34,38
1,0:29.0,,Personal foul by A. Tolliver (drawn by B. Beal),34,38
1,0:29.0,,B. Beal makes free throw 1 of 2,34,39
1,0:29.0,,B. Beal makes free throw 2 of 2,34,40
1,0:09.0,A. Tolliver misses 3-pt jump shot from 26 ft,,34,40
1,0:06.0,Offensive rebound by T. Gibson,,34,40
1,0:05.0,T. Gibson makes 2-pt layup from 5 ft,,36,40
2,11:41.0,K. Bates-Diop makes 2-pt layup from 2 ft (assist by T. Gibson),,38,40
2,11:28.0,,J. Parker misses 2-pt jump shot from 14 ft,38,40
2,11:24.0,Defensive rebound by T. Gibson,,38,40
2,11:17.0,D. Rose misses 2-pt jump shot from 13 ft,,38,40
2,11:15.0,,Defensive rebound by C. Randle,38,40
2,11:05.0,,T. Bryant misses 2-pt hook shot from 6 ft,38,40
2,11:02.0,Defensive rebound by A. Tolliver,,38,40
2,10:53.0,A. Tolliver misses 3-pt jump shot from 27 ft,,38,40
2,10:49.0,,Defensive rebound by J. Parker,38,40
2,10:41.0,,W. Johnson misses 2-pt jump shot from 21 ft,38,40
2,10:38.0,,Offensive rebound by J. Parker,38,40
2,10:34.0,,Turnover by T. Bryant (out of bounds lost ball),38,40
2,10:16.0,D. Rose misses 2-pt jump shot from 19 ft,,38,40
2,10:11.0,,Defensive rebound by T. Brown,38,40
2,10:04.0,,J. Parker makes 2-pt jump shot from 2 ft,38,42
2,9:45.0,T. Jones misses 2-pt layup from 3 ft (block by J. Parker),,38,42
2,9:43.0,,Defensive rebound by T. Bryant,38,42
2,9:37.0,,W. Johnson misses 3-pt jump shot from 24 ft,38,42
2,9:34.0,Defensive rebound by Team,,38,42
2,9:21.0,A. Tolliver misses 3-pt jump shot from 27 ft,,38,42
2,9:18.0,Offensive rebound by D. Rose,,38,42
2,9:17.0,D. Rose misses 2-pt layup from 3 ft (block by J. Parker),,38,42
2,9:17.0,,Defensive rebound by J. Parker,38,42
2,9:12.0,,Personal foul by K. Bates-Diop (drawn by W. Johnson),38,42
2,9:07.0,,C. Randle misses 3-pt jump shot from 25 ft,38,42
2,9:04.0,Defensive rebound by K. Bates-Diop,,38,42
2,8:52.0,D. Rose misses 2-pt layup from 2 ft (block by T. Bryant),,38,42
2,8:50.0,Offensive rebound by T. Jones,,38,42
2,8:50.0,Personal foul by C. Randle (drawn by T. Jones),,38,42
2,8:45.0,D. Rose makes 2-pt jump shot from 10 ft (assist by T. Gibson),,40,42
2,8:23.0,,W. Johnson misses 3-pt jump shot from 24 ft,40,42
2,8:20.0,Defensive rebound by T. Gibson,,40,42
2,8:07.0,T. Gibson misses 2-pt hook shot from 5 ft,,40,42
2,8:05.0,,Defensive rebound by T. Bryant,40,42
2,7:59.0,,C. Randle misses 3-pt jump shot from 27 ft,40,42
2,7:55.0,Defensive rebound by T. Gibson,,40,42
2,7:45.0,A. Tolliver misses 2-pt layup from 2 ft,,40,42
2,7:45.0,,Defensive rebound by Team,40,42
2,7:26.0,,J. Parker makes 2-pt jump shot from 8 ft,40,44
2,7:20.0,D. Rose makes 2-pt layup from 2 ft,,42,44
2,7:07.0,,J. Parker misses 3-pt jump shot from 27 ft,42,44
2,7:05.0,Defensive rebound by T. Jones,,42,44
2,6:58.0,T. Jones makes 2-pt jump shot from 3 ft,,44,44
2,6:58.0,,Washington full timeout,44,44
2,6:58.0,J. Okogie enters the game for T. Gibson,,44,44
2,6:58.0,K. Towns enters the game for D. Rose,,44,44
2,6:58.0,,T. Ariza enters the game for T. Brown,44,44
2,6:58.0,,B. Beal enters the game for W. Johnson,44,44
2,6:58.0,,T. Satoranský enters the game for C. Randle,44,44
2,6:42.0,,Turnover by B. Beal (bad pass; steal by K. Towns),44,44
2,6:34.0,Turnover by K. Towns (bad pass; steal by B. Beal),,44,44
2,6:29.0,,T. Ariza makes 2-pt layup from 2 ft (assist by B. Beal),44,46
2,6:07.0,K. Towns makes 2-pt jump shot from 21 ft (assist by J. Okogie),,46,46
2,5:46.0,,T. Bryant misses 2-pt jump shot from 21 ft,46,46
2,5:42.0,Defensive rebound by K. Towns,,46,46
2,5:32.0,K. Towns makes 2-pt layup from 3 ft,,48,46
2,5:32.0,D. Šarić enters the game for K. Bates-Diop,,48,46
2,5:32.0,J. Teague enters the game for T. Jones,,48,46
2,5:32.0,A. Wiggins enters the game for A. Tolliver,,48,46
2,5:32.0,,J. Green enters the game for T. Bryant,48,46
2,5:32.0,,B. Portis enters the game for J. Parker,48,46
2,5:08.0,,Personal foul by J. Okogie (drawn by B. Beal),48,46
2,5:08.0,K. Bates-Diop enters the game for J. Okogie,,48,46
2,4:58.0,,J. Green makes 2-pt layup from 2 ft (assist by T. Satoranský),48,48
2,4:58.0,,Shooting foul by J. Teague (drawn by J. Green),48,48
2,4:58.0,,J. Green misses free throw 1 of 1,48,48
2,4:55.0,Defensive rebound by K. Towns,,48,48
2,4:45.0,K. Towns makes 3-pt jump shot from 26 ft,,51,48
2,4:33.0,,T. Satoranský makes 2-pt layup from 1 ft,51,50
2,4:20.0,K. Bates-Diop makes 2-pt layup from 1 ft (assist by D. Šarić),,53,50
2,4:08.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by T. Ariza),53,53
2,3:48.0,A. Wiggins misses 2-pt jump shot from 18 ft,,53,53
2,3:44.0,,Defensive rebound by B. Beal,53,53
2,3:37.0,,T. Ariza misses 2-pt layup from 3 ft,53,53
2,3:33.0,Defensive rebound by K. Bates-Diop,,53,53
2,3:31.0,Personal foul by T. Satoranský (drawn by D. Šarić),,53,53
2,3:20.0,K. Towns makes 2-pt hook shot from 6 ft,,55,53
2,3:13.0,,T. Ariza misses 3-pt jump shot from 25 ft,55,53
2,3:09.0,Defensive rebound by K. Towns,,55,53
2,3:00.0,K. Bates-Diop makes 2-pt layup from 1 ft (assist by J. Teague),,57,53
2,3:00.0,Shooting foul by T. Satoranský (drawn by K. Bates-Diop),,57,53
2,3:00.0,K. Bates-Diop misses free throw 1 of 1,,57,53
2,2:58.0,,Defensive rebound by T. Ariza,57,53
2,2:52.0,,Personal foul by D. Šarić (drawn by B. Portis),57,53
2,2:52.0,Minnesota full timeout,,57,53
2,2:44.0,,B. Beal misses 2-pt jump shot from 9 ft (block by A. Wiggins),57,53
2,2:41.0,,Offensive rebound by B. Beal,57,53
2,2:40.0,,Shooting foul by K. Bates-Diop (drawn by T. Ariza),57,53
2,2:40.0,,T. Ariza misses free throw 1 of 2,57,53
2,2:40.0,,Offensive rebound by Team,57,53
2,2:40.0,,T. Ariza makes free throw 2 of 2,57,54
2,2:25.0,K. Towns misses 2-pt hook shot from 13 ft,,57,54
2,2:22.0,,Defensive rebound by J. Green,57,54
2,2:19.0,,T. Satoranský makes 2-pt layup from 1 ft (assist by J. Green),57,56
2,1:58.0,K. Towns makes 2-pt dunk from 1 ft (assist by J. Teague),,59,56
2,1:43.0,,J. Green misses 2-pt layup from 1 ft,59,56
2,1:42.0,,Offensive rebound by B. Portis,59,56
2,1:41.0,,B. Portis misses 2-pt layup from 3 ft,59,56
2,1:41.0,,Offensive rebound by B. Portis,59,56
2,1:40.0,,B. Portis misses 2-pt layup from 3 ft,59,56
2,1:40.0,Defensive rebound by K. Bates-Diop,,59,56
2,1:36.0,J. Teague makes 2-pt jump shot from 4 ft,,61,56
2,1:36.0,Shooting foul by T. Satoranský (drawn by J. Teague),,61,56
2,1:36.0,J. Teague makes free throw 1 of 1,,62,56
2,1:19.0,,B. Beal misses 2-pt jump shot from 20 ft,62,56
2,1:16.0,,Offensive rebound by T. Satoranský,62,56
2,1:15.0,,T. Satoranský makes 2-pt layup from 1 ft,62,58
2,1:06.0,J. Teague makes 2-pt layup from 2 ft,,64,58
2,0:52.0,,J. Green makes 2-pt layup from 2 ft (assist by B. Beal),64,60
2,0:40.0,Shooting foul by T. Ariza (drawn by D. Šarić),,64,60
2,0:40.0,D. Šarić misses free throw 1 of 2,,64,60
2,0:40.0,Offensive rebound by Team,,64,60
2,0:40.0,,C. Randle enters the game for T. Satoranský,64,60
2,0:40.0,D. Šarić misses free throw 2 of 2,,64,60
2,0:38.0,,Defensive rebound by T. Ariza,64,60
2,0:32.0,,B. Portis misses 3-pt jump shot from 26 ft,64,60
2,0:28.0,Defensive rebound by D. Šarić,,64,60
2,0:26.0,Turnover by D. Šarić (bad pass),,64,60
2,0:05.0,,B. Beal makes 2-pt layup from 2 ft,64,62
2,0:00.0,A. Wiggins misses 3-pt jump shot from 25 ft,,64,62
2,0:00.0,Offensive rebound by Team,,64,62
3,11:50.0,A. Wiggins makes 2-pt dunk from 2 ft (assist by K. Towns),,66,62
3,11:37.0,,B. Beal misses 3-pt jump shot from 25 ft,66,62
3,11:33.0,Defensive rebound by D. Šarić,,66,62
3,11:22.0,Turnover by K. Towns (bad pass; steal by B. Beal),,66,62
3,11:18.0,,Offensive foul by B. Portis (drawn by J. Teague),66,62
3,11:18.0,,Turnover by B. Portis (offensive foul),66,62
3,10:58.0,D. Šarić misses 3-pt jump shot from 25 ft,,66,62
3,10:55.0,,Defensive rebound by B. Portis,66,62
3,10:42.0,,B. Beal misses 3-pt jump shot from 23 ft,66,62
3,10:39.0,,Offensive rebound by T. Satoranský,66,62
3,10:35.0,,T. Ariza misses 3-pt jump shot from 25 ft,66,62
3,10:31.0,Defensive rebound by K. Towns,,66,62
3,10:30.0,Offensive foul by J. Okogie (drawn by J. Green),,66,62
3,10:30.0,Turnover by J. Okogie (offensive foul),,66,62
3,10:30.0,K. Bates-Diop enters the game for J. Okogie,,66,62
3,10:15.0,,B. Portis makes 2-pt jump shot from 7 ft (assist by T. Satoranský),66,64
3,9:53.0,K. Bates-Diop misses 3-pt jump shot from 23 ft,,66,64
3,9:51.0,,Defensive rebound by T. Ariza,66,64
3,9:41.0,,B. Portis makes 2-pt hook shot from 4 ft,66,66
3,9:26.0,Turnover by J. Teague (bad pass; steal by B. Beal),,66,66
3,9:21.0,,J. Green makes 2-pt dunk from 1 ft (assist by T. Satoranský),66,68
3,9:21.0,Minnesota full timeout,,66,68
3,9:06.0,K. Towns makes 2-pt hook shot from 8 ft (assist by D. Šarić),,68,68
3,8:50.0,,B. Beal misses 2-pt jump shot from 19 ft,68,68
3,8:49.0,Defensive rebound by A. Wiggins,,68,68
3,8:30.0,K. Bates-Diop misses 3-pt jump shot from 23 ft,,68,68
3,8:27.0,,Defensive rebound by J. Green,68,68
3,8:19.0,,B. Portis misses 2-pt hook shot from 10 ft,68,68
3,8:17.0,,Offensive rebound by T. Satoranský,68,68
3,8:15.0,,B. Portis makes 2-pt jump shot from 6 ft (assist by T. Satoranský),68,70
3,8:05.0,K. Towns makes 3-pt jump shot from 28 ft (assist by J. Teague),,71,70
3,7:49.0,,J. Green makes 2-pt layup from 2 ft (assist by T. Satoranský),71,72
3,7:32.0,A. Wiggins misses 2-pt jump shot from 19 ft,,71,72
3,7:30.0,Offensive rebound by D. Šarić,,71,72
3,7:30.0,D. Šarić misses 2-pt layup from 1 ft,,71,72
3,7:30.0,,Defensive rebound by B. Portis,71,72
3,7:21.0,,B. Portis makes 2-pt layup from 3 ft (assist by J. Green),71,74
3,7:08.0,Personal foul by T. Ariza (drawn by A. Wiggins),,71,74
3,7:02.0,Turnover by K. Towns (out of bounds lost ball),,71,74
3,6:47.0,,T. Ariza misses 3-pt jump shot from 25 ft,71,74
3,6:44.0,Defensive rebound by K. Towns,,71,74
3,6:36.0,J. Teague misses 3-pt jump shot from 27 ft,,71,74
3,6:32.0,,Defensive rebound by B. Portis,71,74
3,6:22.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by T. Ariza),71,77
3,6:07.0,A. Wiggins makes 2-pt jump shot from 18 ft,,73,77
3,5:44.0,,T. Satoranský misses 3-pt jump shot from 24 ft,73,77
3,5:41.0,Defensive rebound by K. Bates-Diop,,73,77
3,5:26.0,Shooting foul by B. Beal (drawn by D. Šarić),,73,77
3,5:26.0,D. Šarić makes free throw 1 of 2,,74,77
3,5:26.0,D. Rose enters the game for J. Teague,,74,77
3,5:26.0,D. Šarić misses free throw 2 of 2,,74,77
3,5:24.0,,Defensive rebound by B. Portis,74,77
3,5:12.0,,Turnover by J. Green (step out of bounds),74,77
3,5:12.0,T. Gibson enters the game for D. Šarić,,74,77
3,4:59.0,D. Rose misses 2-pt layup from 5 ft (block by B. Beal),,74,77
3,4:59.0,Offensive rebound by Team,,74,77
3,4:56.0,Shooting foul by B. Portis (drawn by A. Wiggins),,74,77
3,4:56.0,A. Wiggins makes free throw 1 of 2,,75,77
3,4:56.0,A. Wiggins makes free throw 2 of 2,,76,77
3,4:46.0,,Shooting foul by K. Bates-Diop (drawn by J. Green),76,77
3,4:46.0,,J. Green makes free throw 1 of 2,76,78
3,4:46.0,,T. Brown enters the game for T. Satoranský,76,78
3,4:46.0,,J. Green makes free throw 2 of 2,76,79
3,4:31.0,D. Rose misses 2-pt layup from 6 ft,,76,79
3,4:28.0,Offensive rebound by K. Towns,,76,79
3,4:27.0,K. Towns makes 2-pt layup from 10 ft,,78,79
3,4:08.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by T. Brown),78,82
3,3:55.0,A. Wiggins makes 2-pt jump shot from 18 ft (assist by K. Towns),,80,82
3,3:43.0,,B. Beal misses 2-pt layup from 2 ft (block by K. Bates-Diop),80,82
3,3:43.0,,Offensive rebound by Team,80,82
3,3:43.0,,J. Parker enters the game for J. Green,80,82
3,3:34.0,,T. Ariza makes 2-pt dunk from 1 ft (assist by B. Beal),80,84
3,3:17.0,Turnover by K. Towns (bad pass; steal by J. Parker),,80,84
3,3:08.0,,J. Parker makes 2-pt layup from 2 ft,80,86
3,2:53.0,K. Bates-Diop makes 2-pt jump shot from 11 ft (assist by D. Rose),,82,86
3,2:40.0,,Shooting foul by A. Wiggins (drawn by J. Parker),82,86
3,2:40.0,,Washington full timeout,82,86
3,2:40.0,A. Tolliver enters the game for K. Towns,,82,86
3,2:40.0,,S. Dekker enters the game for T. Ariza,82,86
3,2:40.0,,J. Parker makes free throw 1 of 2,82,87
3,2:40.0,,J. Parker makes free throw 2 of 2,82,88
3,2:33.0,Shooting foul by S. Dekker (drawn by A. Wiggins),,82,88
3,2:33.0,A. Wiggins misses free throw 1 of 2,,82,88
3,2:33.0,Offensive rebound by Team,,82,88
3,2:33.0,A. Wiggins misses free throw 2 of 2,,82,88
3,2:30.0,,Defensive rebound by J. Parker,82,88
3,2:20.0,,B. Beal misses 3-pt jump shot from 27 ft,82,88
3,2:16.0,Defensive rebound by A. Tolliver,,82,88
3,2:11.0,D. Rose misses 2-pt layup from 1 ft,,82,88
3,2:11.0,Offensive rebound by Team,,82,88
3,2:11.0,T. Jones enters the game for A. Wiggins,,82,88
3,2:11.0,,T. Bryant enters the game for B. Portis,82,88
3,2:08.0,Turnover by A. Tolliver (bad pass; steal by T. Brown),,82,88
3,2:04.0,,J. Parker makes 2-pt dunk from 1 ft (assist by T. Brown),82,90
3,1:39.0,T. Jones misses 3-pt jump shot from 26 ft,,82,90
3,1:36.0,,Defensive rebound by B. Beal,82,90
3,1:24.0,,J. Parker makes 3-pt jump shot from 24 ft (assist by S. Dekker),82,93
3,1:07.0,T. Gibson makes 2-pt layup from 5 ft (assist by D. Rose),,84,93
3,1:02.0,,S. Dekker makes 2-pt layup from 2 ft (assist by B. Beal),84,95
3,0:48.0,D. Rose makes 2-pt layup from 1 ft,,86,95
3,0:48.0,Shooting foul by J. Parker (drawn by D. Rose),,86,95
3,0:48.0,D. Rose makes free throw 1 of 1,,87,95
3,0:32.0,,Personal foul by T. Gibson (drawn by T. Bryant),87,95
3,0:26.0,,J. Parker misses 3-pt jump shot from 27 ft,87,95
3,0:23.0,Defensive rebound by T. Gibson,,87,95
3,0:07.0,Turnover by D. Rose (lost ball; steal by S. Dekker),,87,95
3,0:03.0,,J. Parker makes 2-pt layup from 2 ft (assist by S. Dekker),87,97
3,0:00.0,T. Gibson misses 3-pt jump shot from 26 ft,,87,97
3,0:00.0,Offensive rebound by Team,,87,97
4,11:46.0,,T. Brown misses 2-pt hook shot from 6 ft,87,97
4,11:44.0,Defensive rebound by D. Rose,,87,97
4,11:25.0,J. Okogie misses 2-pt layup from 7 ft,,87,97
4,11:20.0,Offensive rebound by T. Jones,,87,97
4,11:20.0,T. Jones makes 2-pt jump shot from 14 ft,,89,97
4,11:03.0,,T. Brown misses 2-pt jump shot from 14 ft,89,97
4,11:02.0,,Offensive rebound by Team,89,97
4,11:02.0,K. Towns enters the game for A. Tolliver,,89,97
4,10:58.0,,T. Bryant makes 3-pt jump shot from 26 ft (assist by T. Brown),89,100
4,10:50.0,Personal foul by T. Bryant (drawn by K. Towns),,89,100
4,10:37.0,T. Gibson makes 2-pt dunk from 2 ft (assist by K. Towns),,91,100
4,10:17.0,,T. Bryant misses 3-pt jump shot from 26 ft,91,100
4,10:14.0,Defensive rebound by J. Okogie,,91,100
4,10:00.0,D. Rose misses 2-pt layup from 2 ft,,91,100
4,9:57.0,Offensive rebound by T. Gibson,,91,100
4,9:57.0,T. Gibson makes 2-pt layup at rim,,93,100
4,9:46.0,,Turnover by J. Parker (bad pass; steal by J. Okogie),93,100
4,9:39.0,Shooting foul by T. Bryant (drawn by T. Gibson),,93,100
4,9:39.0,T. Gibson makes free throw 1 of 2,,94,100
4,9:39.0,T. Gibson makes free throw 2 of 2,,95,100
4,9:22.0,,T. Satoranský makes 2-pt jump shot from 12 ft,95,102
4,9:10.0,D. Rose makes 2-pt layup from 2 ft,,97,102
4,9:10.0,Shooting foul by T. Bryant (drawn by D. Rose),,97,102
4,9:10.0,,B. Beal enters the game for T. Brown,97,102
4,9:10.0,D. Rose makes free throw 1 of 1,,98,102
4,8:56.0,,J. Parker makes 2-pt dunk from 2 ft (assist by B. Beal),98,104
4,8:43.0,D. Rose makes 2-pt layup from 2 ft (assist by T. Jones),,100,104
4,8:35.0,,Turnover by T. Satoranský (bad pass; steal by T. Jones),100,104
4,8:29.0,J. Okogie misses 3-pt jump shot from 23 ft,,100,104
4,8:27.0,,Defensive rebound by J. Parker,100,104
4,8:24.0,,T. Bryant makes 2-pt layup at rim (assist by J. Parker),100,106
4,8:24.0,,Shooting foul by K. Towns (drawn by T. Bryant),100,106
4,8:24.0,,T. Bryant makes free throw 1 of 1,100,107
4,8:21.0,Minnesota full timeout,,100,107
4,8:21.0,D. Šarić enters the game for T. Gibson,,100,107
4,8:04.0,T. Jones misses 3-pt jump shot from 27 ft,,100,107
4,8:00.0,,Defensive rebound by B. Beal,100,107
4,7:39.0,,J. Parker makes 2-pt jump shot from 12 ft,100,109
4,7:39.0,,Shooting foul by J. Okogie (drawn by J. Parker),100,109
4,7:39.0,K. Bates-Diop enters the game for T. Jones,,100,109
4,7:39.0,J. Teague enters the game for J. Okogie,,100,109
4,7:39.0,A. Wiggins enters the game for D. Rose,,100,109
4,7:39.0,,J. Parker makes free throw 1 of 1,100,110
4,7:24.0,D. Šarić makes 3-pt jump shot from 27 ft (assist by J. Teague),,103,110
4,7:09.0,,B. Beal misses 2-pt jump shot from 20 ft,103,110
4,7:05.0,Defensive rebound by J. Teague,,103,110
4,6:56.0,K. Towns makes 2-pt dunk from 3 ft,,105,110
4,6:38.0,,S. Dekker misses 2-pt layup from 2 ft,105,110
4,6:34.0,Defensive rebound by K. Towns,,105,110
4,6:32.0,D. Šarić misses 3-pt jump shot from 28 ft,,105,110
4,6:29.0,,Defensive rebound by S. Dekker,105,110
4,6:26.0,,Shooting foul by D. Šarić (drawn by S. Dekker),105,110
4,6:26.0,,S. Dekker makes free throw 1 of 2,105,111
4,6:26.0,,B. Portis enters the game for T. Bryant,105,111
4,6:26.0,,S. Dekker makes free throw 2 of 2,105,112
4,6:13.0,K. Towns misses 2-pt hook shot from 10 ft,,105,112
