QUARTER,TIME_REMAINING,CHICAGO_ACTION,ORLANDO_ACTION,CHICAGO_SCORE,ORLANDO_SCORE
1,8:08.0,,N. Vučević misses 2-pt jump shot from 14 ft,8,8
1,8:04.0,Defensive rebound by L. Markkanen,,8,8
1,7:57.0,L. Markkanen misses 3-pt jump shot from 27 ft,,8,8
1,7:54.0,,Defensive rebound by A. Gordon,8,8
1,7:43.0,,D. Augustin misses 2-pt layup from 3 ft (block by R. Lopez),8,8
1,7:38.0,,Offensive rebound by D. Augustin,8,8
1,7:37.0,,Turnover by D. Augustin (bad pass; steal by K. Dunn),8,8
1,7:23.0,O. Porter misses 2-pt jump shot from 14 ft,,8,8
1,7:19.0,Offensive rebound by R. Lopez,,8,8
1,7:12.0,O. Porter misses 2-pt jump shot from 6 ft,,8,8
1,7:08.0,,Defensive rebound by J. Isaac,8,8
1,6:53.0,,E. Fournier makes 2-pt jump shot from 18 ft,8,10
1,6:39.0,R. Lopez makes 2-pt hook shot from 5 ft (assist by O. Porter),,10,10
1,6:28.0,,A. Gordon misses 3-pt jump shot from 25 ft,10,10
1,6:24.0,Defensive rebound by L. Markkanen,,10,10
1,6:19.0,L. Markkanen makes 2-pt jump shot from 6 ft,,12,10
1,5:59.0,,D. Augustin makes 3-pt jump shot from 25 ft (assist by N. Vučević),12,13
1,5:37.0,Turnover by Z. LaVine (bad pass; steal by N. Vučević),,12,13
1,5:32.0,,A. Gordon misses 3-pt jump shot from 23 ft,12,13
1,5:26.0,Defensive rebound by R. Lopez,,12,13
1,5:24.0,L. Markkanen misses 2-pt layup from 4 ft (block by A. Gordon),,12,13
1,5:24.0,Offensive rebound by Team,,12,13
1,5:24.0,,Orlando full timeout,12,13
1,5:24.0,T. Luwawu-Cabarrot enters the game for O. Porter,,12,13
1,5:24.0,,I. Briscoe enters the game for D. Augustin,12,13
1,5:24.0,,W. Iwundu enters the game for E. Fournier,12,13
1,5:24.0,,T. Ross enters the game for A. Gordon,12,13
1,5:18.0,R. Lopez makes 2-pt hook shot from 8 ft (assist by Z. LaVine),,14,13
1,4:58.0,,N. Vučević misses 2-pt hook shot from 13 ft,14,13
1,4:54.0,Defensive rebound by L. Markkanen,,14,13
1,4:46.0,K. Dunn makes 2-pt jump shot from 17 ft (assist by Z. LaVine),,16,13
1,4:30.0,,J. Isaac makes 3-pt jump shot from 23 ft (assist by N. Vučević),16,16
1,4:14.0,Z. LaVine misses 2-pt jump shot from 12 ft,,16,16
1,4:14.0,,Defensive rebound by J. Isaac,16,16
1,4:05.0,,Shooting foul by R. Lopez (drawn by N. Vučević),16,16
1,4:05.0,,N. Vučević misses free throw 1 of 2,16,16
1,4:05.0,,Offensive rebound by Team,16,16
1,4:05.0,R. Arcidiacono enters the game for K. Dunn,,16,16
1,4:05.0,W. Selden enters the game for L. Markkanen,,16,16
1,4:05.0,,N. Vučević misses free throw 2 of 2,16,16
1,4:02.0,Defensive rebound by R. Lopez,,16,16
1,3:45.0,R. Arcidiacono makes 2-pt jump shot from 15 ft,,18,16
1,3:30.0,,T. Ross makes 3-pt jump shot from 24 ft (assist by I. Briscoe),18,19
1,3:18.0,Shooting foul by W. Iwundu (drawn by Z. LaVine),,18,19
1,3:18.0,Z. LaVine makes free throw 1 of 2,,19,19
1,3:18.0,O. Porter enters the game for W. Selden,,19,19
1,3:18.0,,K. Birch enters the game for J. Isaac,19,19
1,3:18.0,,A. Gordon enters the game for N. Vučević,19,19
1,3:18.0,Z. LaVine makes free throw 2 of 2,,20,19
1,2:59.0,,A. Gordon misses 3-pt jump shot from 26 ft,20,19
1,2:54.0,Defensive rebound by O. Porter,,20,19
1,2:47.0,R. Lopez misses 2-pt layup from 3 ft,,20,19
1,2:45.0,,Defensive rebound by I. Briscoe,20,19
1,2:43.0,,Shooting foul by Z. LaVine (drawn by I. Briscoe),20,19
1,2:43.0,Chicago full timeout,,20,19
1,2:43.0,C. Felício enters the game for Z. LaVine,,20,19
1,2:43.0,W. Selden enters the game for R. Lopez,,20,19
1,2:43.0,,I. Briscoe makes free throw 1 of 2,20,20
1,2:43.0,,I. Briscoe makes free throw 2 of 2,20,21
1,2:33.0,O. Porter misses 2-pt jump shot from 19 ft,,20,21
1,2:28.0,,Defensive rebound by T. Ross,20,21
1,2:16.0,,Turnover by I. Briscoe (bad pass; steal by O. Porter),20,21
1,2:09.0,W. Selden makes 2-pt dunk from 1 ft,,22,21
1,1:49.0,,T. Ross makes 2-pt jump shot from 18 ft (assist by I. Briscoe),22,23
1,1:49.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by T. Ross),22,23
1,1:49.0,,T. Ross makes free throw 1 of 1,22,24
1,1:28.0,W. Selden misses 3-pt jump shot from 26 ft,,22,24
1,1:24.0,,Defensive rebound by W. Iwundu,22,24
1,1:20.0,,W. Iwundu makes 2-pt jump shot from 10 ft,22,26
1,1:01.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,,22,26
1,0:58.0,,Defensive rebound by W. Iwundu,22,26
1,0:56.0,,Offensive foul by W. Iwundu (drawn by R. Arcidiacono),22,26
1,0:56.0,,Turnover by W. Iwundu (offensive foul),22,26
1,0:36.0,O. Porter misses 2-pt layup from 3 ft,,22,26
1,0:32.0,,Defensive rebound by A. Gordon,22,26
1,0:25.0,,Turnover by A. Gordon (step out of bounds),22,26
1,0:06.0,O. Porter makes 2-pt jump shot from 15 ft,,24,26
1,0:00.0,,T. Ross misses 3-pt jump shot from 27 ft,24,26
1,0:00.0,,Offensive rebound by Team,24,26
2,11:48.0,Offensive foul by O. Porter (drawn by I. Briscoe),,24,26
2,11:48.0,Turnover by O. Porter (offensive foul),,24,26
2,11:38.0,,E. Fournier misses 3-pt jump shot from 26 ft,24,26
2,11:33.0,Defensive rebound by S. Harrison,,24,26
2,11:26.0,Offensive foul by C. Felício (drawn by I. Briscoe),,24,26
2,11:26.0,Turnover by C. Felício (offensive foul),,24,26
2,11:11.0,,T. Ross misses 3-pt jump shot from 26 ft,24,26
2,11:08.0,Defensive rebound by O. Porter,,24,26
2,10:59.0,Shooting foul by K. Birch (drawn by W. Selden),,24,26
2,10:59.0,W. Selden makes free throw 1 of 2,,25,26
2,10:59.0,W. Selden makes free throw 2 of 2,,26,26
2,10:35.0,,A. Gordon misses 3-pt jump shot from 26 ft,26,26
2,10:31.0,Defensive rebound by S. Harrison,,26,26
2,10:31.0,L. Markkanen enters the game for C. Felício,,26,26
2,10:15.0,Shooting foul by K. Birch (drawn by S. Harrison),,26,26
2,10:15.0,S. Harrison makes free throw 1 of 2,,27,26
2,10:15.0,S. Harrison makes free throw 2 of 2,,28,26
2,10:00.0,,Turnover by A. Gordon (bad pass; steal by S. Harrison),28,26
2,9:39.0,L. Markkanen makes 2-pt jump shot from 9 ft,,30,26
2,9:22.0,,I. Briscoe misses 3-pt jump shot from 26 ft,30,26
2,9:19.0,Defensive rebound by O. Porter,,30,26
2,9:05.0,W. Selden misses 2-pt layup from 3 ft,,30,26
2,9:02.0,,Defensive rebound by E. Fournier,30,26
2,8:58.0,,A. Gordon makes 2-pt jump shot from 11 ft (assist by E. Fournier),30,28
2,8:36.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by O. Porter),,33,28
2,8:35.0,,Orlando full timeout,33,28
2,8:35.0,,W. Iwundu enters the game for T. Ross,33,28
2,8:29.0,,Personal foul by R. Arcidiacono (drawn by I. Briscoe),33,28
2,8:20.0,,Offensive foul by A. Gordon (drawn by R. Arcidiacono),33,28
2,8:20.0,,Turnover by A. Gordon (offensive foul),33,28
2,8:06.0,L. Markkanen makes 2-pt jump shot from 12 ft,,35,28
2,7:52.0,,E. Fournier misses 2-pt jump shot from 14 ft,35,28
2,7:49.0,,Offensive rebound by K. Birch,35,28
2,7:47.0,,K. Birch makes 2-pt dunk at rim,35,30
2,7:33.0,L. Markkanen misses 2-pt layup from 4 ft (block by A. Gordon),,35,30
2,7:33.0,Offensive rebound by Team,,35,30
2,7:33.0,R. Lopez enters the game for O. Porter,,35,30
2,7:33.0,,J. Isaac enters the game for A. Gordon,35,30
2,7:29.0,R. Arcidiacono misses 3-pt jump shot from 25 ft,,35,30
2,7:25.0,Offensive rebound by S. Harrison,,35,30
2,7:18.0,W. Selden makes 2-pt layup from 3 ft,,37,30
2,6:59.0,,I. Briscoe makes 2-pt jump shot from 15 ft,37,32
2,6:35.0,R. Lopez makes 2-pt hook shot from 8 ft,,39,32
2,6:23.0,,Def 3 sec tech foul by Team,39,32
2,6:23.0,K. Dunn enters the game for R. Arcidiacono,,39,32
2,6:23.0,,E. Fournier makes technical free throw,39,33
2,6:23.0,,D. Augustin enters the game for K. Birch,39,33
2,6:23.0,,N. Vučević enters the game for I. Briscoe,39,33
2,6:23.0,,Turnover by E. Fournier (bad pass; steal by S. Harrison),39,33
2,6:21.0,Turnover by S. Harrison (bad pass; steal by J. Isaac),,39,33
2,6:16.0,,E. Fournier makes 3-pt jump shot from 24 ft,39,36
2,6:01.0,L. Markkanen misses 2-pt jump shot from 12 ft,,39,36
2,6:00.0,,Defensive rebound by N. Vučević,39,36
2,5:50.0,,N. Vučević misses 2-pt jump shot from 19 ft,39,36
2,5:46.0,Defensive rebound by S. Harrison,,39,36
2,5:40.0,S. Harrison misses 2-pt layup from 8 ft,,39,36
2,5:36.0,,Defensive rebound by N. Vučević,39,36
2,5:31.0,,N. Vučević makes 2-pt dunk from 1 ft (assist by E. Fournier),39,38
2,5:31.0,Chicago full timeout,,39,38
2,5:31.0,Z. LaVine enters the game for S. Harrison,,39,38
2,5:31.0,,T. Ross enters the game for E. Fournier,39,38
2,5:11.0,R. Lopez misses 2-pt hook shot from 5 ft,,39,38
2,5:08.0,,Defensive rebound by T. Ross,39,38
2,4:59.0,,N. Vučević makes 2-pt jump shot from 16 ft (assist by D. Augustin),39,40
2,4:45.0,Turnover by K. Dunn (bad pass; steal by J. Isaac),,39,40
2,4:39.0,,J. Isaac misses 2-pt jump shot from 18 ft,39,40
2,4:36.0,Defensive rebound by L. Markkanen,,39,40
2,4:21.0,Z. LaVine misses 3-pt jump shot from 23 ft,,39,40
2,4:18.0,,Defensive rebound by D. Augustin,39,40
2,4:03.0,,N. Vučević makes 2-pt jump shot from 8 ft,39,42
2,3:45.0,R. Lopez misses 2-pt hook shot from 5 ft,,39,42
2,3:42.0,,Defensive rebound by N. Vučević,39,42
2,3:35.0,,D. Augustin makes 3-pt jump shot from 26 ft,39,45
2,3:33.0,Chicago full timeout,,39,45
2,3:33.0,O. Porter enters the game for W. Selden,,39,45
2,3:33.0,,E. Fournier enters the game for W. Iwundu,39,45
2,3:23.0,Personal foul by E. Fournier (drawn by L. Markkanen),,39,45
2,3:18.0,R. Lopez makes 2-pt hook shot from 8 ft (assist by Z. LaVine),,41,45
2,2:58.0,,D. Augustin makes 2-pt jump shot from 19 ft (assist by N. Vučević),41,47
2,2:47.0,K. Dunn misses 2-pt jump shot from 16 ft,,41,47
2,2:45.0,,Defensive rebound by N. Vučević,41,47
2,2:42.0,,Turnover by N. Vučević (lost ball; steal by Z. LaVine),41,47
2,2:38.0,Def 3 sec tech foul by Team,,41,47
2,2:38.0,Z. LaVine makes technical free throw,,42,47
2,2:38.0,W. Selden enters the game for R. Lopez,,42,47
2,2:30.0,K. Dunn misses 2-pt jump shot from 11 ft,,42,47
2,2:26.0,,Defensive rebound by T. Ross,42,47
2,2:20.0,,Turnover by D. Augustin (bad pass; steal by Z. LaVine),42,47
2,2:11.0,O. Porter misses 3-pt jump shot from 23 ft,,42,47
2,2:06.0,,Defensive rebound by N. Vučević,42,47
2,1:58.0,,Personal foul by L. Markkanen (drawn by N. Vučević),42,47
2,1:58.0,R. Arcidiacono enters the game for L. Markkanen,,42,47
2,1:53.0,,J. Isaac misses 2-pt layup from 5 ft (block by O. Porter),42,47
2,1:49.0,,Offensive rebound by D. Augustin,42,47
2,1:44.0,,Turnover by J. Isaac (step out of bounds),42,47
2,1:44.0,,A. Gordon enters the game for N. Vučević,42,47
2,1:31.0,W. Selden misses 3-pt jump shot from 25 ft,,42,47
2,1:26.0,,Defensive rebound by A. Gordon,42,47
2,1:17.0,,T. Ross makes 3-pt jump shot from 24 ft (assist by E. Fournier),42,50
2,0:57.0,Z. LaVine makes 3-pt jump shot from 23 ft,,45,50
2,0:40.0,,E. Fournier misses 3-pt jump shot from 26 ft,45,50
2,0:36.0,Defensive rebound by Z. LaVine,,45,50
2,0:30.0,Z. LaVine makes 3-pt jump shot from 26 ft,,48,50
2,0:07.0,,A. Gordon makes 3-pt jump shot from 24 ft (assist by D. Augustin),48,53
2,0:01.0,Z. LaVine makes 3-pt jump shot from 27 ft,,51,53
3,11:51.0,Shooting foul by E. Fournier (drawn by Z. LaVine),,51,53
3,11:51.0,Z. LaVine makes free throw 1 of 2,,52,53
3,11:51.0,Z. LaVine makes free throw 2 of 2,,53,53
3,11:39.0,,N. Vučević makes 2-pt jump shot from 16 ft,53,55
3,11:18.0,R. Lopez makes 2-pt hook shot from 7 ft,,55,55
3,11:04.0,,A. Gordon makes 2-pt jump shot from 19 ft,55,57
3,10:45.0,K. Dunn misses 2-pt jump shot from 22 ft,,55,57
3,10:42.0,,Defensive rebound by A. Gordon,55,57
3,10:35.0,,A. Gordon makes 2-pt layup from 2 ft,55,59
3,10:21.0,O. Porter makes 3-pt jump shot from 23 ft (assist by L. Markkanen),,58,59
3,10:04.0,,N. Vučević misses 3-pt jump shot from 26 ft,58,59
3,10:01.0,Defensive rebound by L. Markkanen,,58,59
3,9:53.0,O. Porter misses 3-pt jump shot from 26 ft,,58,59
3,9:49.0,,Defensive rebound by N. Vučević,58,59
3,9:35.0,,D. Augustin makes 3-pt jump shot from 26 ft (assist by E. Fournier),58,62
3,9:25.0,K. Dunn makes 2-pt jump shot from 17 ft,,60,62
3,9:11.0,,E. Fournier misses 3-pt jump shot from 25 ft,60,62
3,9:07.0,Defensive rebound by K. Dunn,,60,62
3,8:52.0,R. Lopez makes 2-pt layup from 2 ft (assist by Z. LaVine),,62,62
3,8:30.0,,N. Vučević misses 2-pt hook shot from 4 ft (block by R. Lopez),62,62
3,8:25.0,Defensive rebound by L. Markkanen,,62,62
3,8:22.0,L. Markkanen makes 2-pt jump shot from 21 ft,,64,62
3,8:08.0,,A. Gordon misses 2-pt jump shot from 19 ft,64,62
3,8:05.0,Defensive rebound by L. Markkanen,,64,62
3,7:59.0,L. Markkanen misses 2-pt layup from 6 ft (block by N. Vučević),,64,62
3,7:55.0,,Defensive rebound by N. Vučević,64,62
3,7:41.0,,E. Fournier makes 2-pt jump shot from 7 ft (assist by D. Augustin),64,64
3,7:20.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by Z. LaVine),,67,64
3,7:20.0,Shooting foul by J. Isaac (drawn by L. Markkanen),,67,64
3,7:20.0,L. Markkanen makes free throw 1 of 1,,68,64
3,7:03.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by N. Vučević),68,66
3,6:44.0,Turnover by Z. LaVine (lost ball; steal by N. Vučević),,68,66
3,6:41.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by E. Fournier),68,68
3,6:41.0,Chicago full timeout,,68,68
3,6:28.0,Shooting foul by N. Vučević (drawn by O. Porter),,68,68
3,6:28.0,O. Porter makes free throw 1 of 2,,69,68
3,6:28.0,O. Porter makes free throw 2 of 2,,70,68
3,6:15.0,,Shooting foul by O. Porter (drawn by N. Vučević),70,68
3,6:15.0,,N. Vučević misses free throw 1 of 2,70,68
3,6:15.0,,Offensive rebound by Team,70,68
3,6:15.0,,N. Vučević makes free throw 2 of 2,70,69
3,5:59.0,Personal foul by N. Vučević (drawn by R. Lopez),,70,69
3,5:52.0,Z. LaVine makes 2-pt jump shot from 23 ft (assist by O. Porter),,72,69
3,5:41.0,,E. Fournier misses 2-pt layup from 2 ft,72,69
3,5:38.0,Defensive rebound by Z. LaVine,,72,69
3,5:34.0,Z. LaVine makes 3-pt jump shot from 25 ft,,75,69
3,5:30.0,,Orlando full timeout,75,69
3,5:30.0,W. Selden enters the game for O. Porter,,75,69
3,5:30.0,,W. Iwundu enters the game for A. Gordon,75,69
3,5:13.0,,N. Vučević makes 2-pt hook shot from 6 ft,75,71
3,4:53.0,Z. LaVine misses 2-pt jump shot from 19 ft,,75,71
3,4:49.0,,Defensive rebound by W. Iwundu,75,71
3,4:42.0,,D. Augustin misses 3-pt jump shot from 25 ft,75,71
3,4:39.0,Defensive rebound by W. Selden,,75,71
3,4:34.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by W. Selden),,78,71
3,4:12.0,,E. Fournier makes 2-pt layup from 2 ft (assist by N. Vučević),78,73
3,4:01.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by K. Dunn),,81,73
3,3:45.0,,E. Fournier misses 3-pt jump shot from 26 ft,81,73
3,3:42.0,Defensive rebound by W. Selden,,81,73
3,3:35.0,K. Dunn misses 3-pt jump shot from 27 ft,,81,73
3,3:32.0,,Defensive rebound by D. Augustin,81,73
3,3:20.0,,J. Isaac misses 3-pt jump shot from 24 ft,81,73
3,3:16.0,Defensive rebound by Z. LaVine,,81,73
3,3:09.0,R. Lopez makes 2-pt hook shot from 6 ft (assist by Z. LaVine),,83,73
3,3:03.0,,Orlando full timeout,83,73
3,3:03.0,R. Arcidiacono enters the game for K. Dunn,,83,73
3,3:03.0,,K. Birch enters the game for D. Augustin,83,73
3,3:03.0,,I. Briscoe enters the game for E. Fournier,83,73
3,3:03.0,,A. Gordon enters the game for J. Isaac,83,73
3,3:03.0,,T. Ross enters the game for N. Vučević,83,73
3,2:50.0,,K. Birch makes 2-pt layup from 2 ft (assist by T. Ross),83,75
3,2:25.0,L. Markkanen misses 3-pt jump shot from 27 ft,,83,75
3,2:21.0,,Defensive rebound by K. Birch,83,75
3,2:16.0,,Shooting foul by R. Arcidiacono (drawn by I. Briscoe),83,75
3,2:16.0,,I. Briscoe misses free throw 1 of 2,83,75
3,2:16.0,,Offensive rebound by Team,83,75
3,2:16.0,C. Felício enters the game for R. Lopez,,83,75
3,2:16.0,,I. Briscoe makes free throw 2 of 2,83,76
3,2:04.0,Z. LaVine misses 2-pt layup from 3 ft,,83,76
3,2:03.0,Offensive rebound by C. Felício,,83,76
3,2:03.0,C. Felício misses 2-pt dunk from 1 ft,,83,76
3,2:01.0,Offensive rebound by Z. LaVine,,83,76
3,2:00.0,Z. LaVine misses 2-pt layup from 4 ft,,83,76
3,1:58.0,,Defensive rebound by K. Birch,83,76
3,1:52.0,,Shooting foul by L. Markkanen (drawn by A. Gordon),83,76
3,1:52.0,,A. Gordon misses free throw 1 of 2,83,76
3,1:52.0,,Offensive rebound by Team,83,76
3,1:52.0,S. Harrison enters the game for Z. LaVine,,83,76
3,1:52.0,,A. Gordon misses free throw 2 of 2,83,76
3,1:48.0,Defensive rebound by L. Markkanen,,83,76
3,1:34.0,W. Selden misses 2-pt jump shot from 19 ft,,83,76
3,1:30.0,,Defensive rebound by T. Ross,83,76
3,1:23.0,,Shooting foul by C. Felício (drawn by I. Briscoe),83,76
3,1:23.0,,I. Briscoe misses free throw 1 of 2,83,76
3,1:23.0,,Offensive rebound by Team,83,76
3,1:23.0,O. Porter enters the game for L. Markkanen,,83,76
3,1:23.0,,I. Briscoe makes free throw 2 of 2,83,77
3,1:05.0,C. Felício makes 2-pt dunk from 1 ft (assist by O. Porter),,85,77
3,0:56.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by I. Briscoe),85,80
3,0:44.0,S. Harrison makes 2-pt layup from 2 ft (assist by R. Arcidiacono),,87,80
3,0:38.0,,T. Ross misses 3-pt jump shot from 26 ft,87,80
3,0:37.0,Defensive rebound by Team,,87,80
3,0:24.0,S. Harrison makes 2-pt jump shot from 12 ft,,89,80
3,0:03.0,,I. Briscoe misses 2-pt layup from 2 ft,89,80
3,0:01.0,,Offensive rebound by K. Birch,89,80
3,0:01.0,,Shooting foul by C. Felício (drawn by K. Birch),89,80
3,0:01.0,,K. Birch makes free throw 1 of 2,89,81
3,0:01.0,,K. Birch makes free throw 2 of 2,89,82
4,11:46.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by A. Gordon),89,85
4,11:27.0,O. Porter misses 2-pt jump shot from 21 ft,,89,85
4,11:23.0,,Defensive rebound by K. Birch,89,85
4,11:18.0,,Personal foul by R. Arcidiacono (drawn by I. Briscoe),89,85
4,11:09.0,,I. Briscoe makes 2-pt jump shot from 17 ft,89,87
4,10:53.0,C. Felício misses 2-pt layup from 3 ft (block by K. Birch),,89,87
4,10:49.0,,Defensive rebound by T. Ross,89,87
4,10:49.0,L. Markkanen enters the game for C. Felício,,89,87
4,10:39.0,,E. Fournier misses 3-pt jump shot from 24 ft,89,87
4,10:35.0,Defensive rebound by O. Porter,,89,87
4,10:27.0,L. Markkanen misses 2-pt hook shot from 3 ft,,89,87
4,10:24.0,,Defensive rebound by I. Briscoe,89,87
4,10:22.0,,Personal foul by R. Arcidiacono (drawn by I. Briscoe),89,87
4,10:16.0,,I. Briscoe makes 2-pt dunk from 1 ft (assist by A. Gordon),89,89
4,9:57.0,R. Arcidiacono makes 2-pt layup from 3 ft,,91,89
4,9:45.0,,T. Ross misses 3-pt jump shot from 27 ft,91,89
4,9:41.0,Defensive rebound by W. Selden,,91,89
4,9:33.0,W. Selden misses 3-pt jump shot from 26 ft,,91,89
4,9:28.0,,Defensive rebound by T. Ross,91,89
4,9:22.0,,T. Ross misses 2-pt layup from 4 ft,91,89
4,9:20.0,Defensive rebound by W. Selden,,91,89
4,9:16.0,O. Porter makes 2-pt jump shot from 10 ft (assist by W. Selden),,93,89
4,9:01.0,,Shooting foul by O. Porter (drawn by A. Gordon),93,89
4,9:01.0,,A. Gordon makes free throw 1 of 2,93,90
4,9:01.0,,A. Gordon misses free throw 2 of 2,93,90
4,8:57.0,Defensive rebound by L. Markkanen,,93,90
4,8:43.0,Personal foul by K. Birch (drawn by L. Markkanen),,93,90
4,8:34.0,Shooting foul by K. Birch (drawn by L. Markkanen),,93,90
4,8:34.0,L. Markkanen makes free throw 1 of 2,,94,90
4,8:34.0,L. Markkanen makes free throw 2 of 2,,95,90
4,8:18.0,,Shooting foul by L. Markkanen (drawn by E. Fournier),95,90
4,8:18.0,,E. Fournier makes free throw 1 of 2,95,91
4,8:18.0,Z. LaVine enters the game for W. Selden,,95,91
4,8:18.0,,E. Fournier makes free throw 2 of 2,95,92
4,7:54.0,L. Markkanen misses 2-pt jump shot from 16 ft,,95,92
4,7:51.0,,Defensive rebound by T. Ross,95,92
4,7:43.0,,Turnover by T. Ross (bad pass; steal by S. Harrison),95,92
4,7:38.0,S. Harrison makes 2-pt dunk from 2 ft,,97,92
4,7:25.0,,E. Fournier misses 3-pt jump shot from 25 ft,97,92
4,7:21.0,Defensive rebound by R. Arcidiacono,,97,92
4,7:12.0,L. Markkanen misses 3-pt jump shot from 26 ft,,97,92
4,7:09.0,,Defensive rebound by Team,97,92
4,7:09.0,R. Lopez enters the game for R. Arcidiacono,,97,92
4,7:09.0,,W. Iwundu enters the game for K. Birch,97,92
4,7:09.0,,N. Vučević enters the game for T. Ross,97,92
4,6:57.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by N. Vučević),97,95
4,6:30.0,R. Lopez misses 2-pt hook shot from 7 ft (block by N. Vučević),,97,95
4,6:30.0,,Defensive rebound by N. Vučević,97,95
4,6:30.0,,Orlando full timeout,97,95
4,6:30.0,K. Dunn enters the game for S. Harrison,,97,95
4,6:30.0,,J. Isaac enters the game for A. Gordon,97,95
4,6:19.0,,Shooting foul by R. Lopez (drawn by J. Isaac),97,95
4,6:19.0,,J. Isaac misses free throw 1 of 2,97,95
4,6:19.0,,Offensive rebound by Team,97,95
4,6:19.0,,J. Isaac makes free throw 2 of 2,97,96
4,5:59.0,K. Dunn misses 3-pt jump shot from 23 ft,,97,96
4,5:58.0,,Defensive rebound by Team,97,96
4,5:36.0,,Turnover by N. Vučević (traveling),97,96
4,5:36.0,,D. Augustin enters the game for I. Briscoe,97,96
4,5:26.0,O. Porter misses 2-pt jump shot from 15 ft,,97,96
4,5:21.0,,Defensive rebound by J. Isaac,97,96
4,5:14.0,,N. Vučević makes 2-pt hook shot from 10 ft (assist by D. Augustin),97,98
4,4:59.0,R. Lopez misses 2-pt hook shot from 5 ft,,97,98
4,4:55.0,,Defensive rebound by E. Fournier,97,98
4,4:40.0,,D. Augustin misses 2-pt jump shot from 11 ft,97,98
4,4:34.0,,Offensive rebound by N. Vučević,97,98
4,4:34.0,,N. Vučević misses 2-pt layup at rim,97,98
4,4:33.0,Defensive rebound by L. Markkanen,,97,98
4,4:17.0,Shooting foul by N. Vučević (drawn by R. Lopez),,97,98
4,4:17.0,R. Lopez makes free throw 1 of 2,,98,98
4,4:17.0,,T. Ross enters the game for W. Iwundu,98,98
4,4:17.0,R. Lopez makes free throw 2 of 2,,99,98
4,4:03.0,,N. Vučević makes 2-pt jump shot from 22 ft (assist by D. Augustin),99,100
4,3:44.0,O. Porter makes 2-pt jump shot from 21 ft (assist by K. Dunn),,101,100
4,3:29.0,,N. Vučević misses 2-pt layup from 3 ft (block by R. Lopez),101,100
4,3:24.0,,Offensive rebound by N. Vučević,101,100
4,3:23.0,,N. Vučević makes 2-pt layup from 2 ft,101,102
4,3:13.0,K. Dunn makes 2-pt jump shot from 11 ft,,103,102
4,2:59.0,,E. Fournier makes 2-pt jump shot from 15 ft,103,104
4,2:33.0,Z. LaVine misses 2-pt jump shot from 22 ft,,103,104
4,2:29.0,,Defensive rebound by D. Augustin,103,104
