QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CLEVELAND_ACTION,SAN ANTONIO_SCORE,CLEVELAND_SCORE
2,6:00.0,,C. Osman misses 3-pt jump shot from 23 ft,39,32
2,5:58.0,Defensive rebound by D. White,,39,32
2,5:48.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),,41,32
2,5:48.0,,Cleveland full timeout,41,32
2,5:48.0,R. Gay enters the game for D. Bertāns,,41,32
2,5:28.0,,B. Knight makes 3-pt jump shot from 26 ft,41,35
2,5:11.0,B. Forbes misses 2-pt jump shot from 11 ft (block by B. Knight),,41,35
2,5:06.0,Offensive rebound by L. Aldridge,,41,35
2,5:06.0,Shooting foul by M. Chriss (drawn by L. Aldridge),,41,35
2,5:06.0,L. Aldridge makes free throw 1 of 2,,42,35
2,5:06.0,L. Aldridge makes free throw 2 of 2,,43,35
2,4:50.0,,M. Chriss misses 2-pt layup from 3 ft,43,35
2,4:48.0,Defensive rebound by L. Aldridge,,43,35
2,4:37.0,Shooting foul by M. Chriss (drawn by D. White),,43,35
2,4:37.0,D. White makes free throw 1 of 2,,44,35
2,4:37.0,,J. Clarkson enters the game for M. Chriss,44,35
2,4:37.0,,K. Love enters the game for B. Knight,44,35
2,4:37.0,D. White makes free throw 2 of 2,,45,35
2,4:22.0,,C. Sexton misses 2-pt jump shot from 14 ft (block by D. White),45,35
2,4:22.0,,Offensive rebound by L. Nance,45,35
2,4:22.0,,Shooting foul by D. DeRozan (drawn by L. Nance),45,35
2,4:22.0,,L. Nance makes free throw 1 of 2,45,36
2,4:22.0,P. Mills enters the game for D. White,,45,36
2,4:22.0,,L. Nance makes free throw 2 of 2,45,37
2,4:12.0,D. DeRozan makes 2-pt jump shot from 20 ft,,47,37
2,3:59.0,,L. Nance makes 3-pt jump shot from 25 ft (assist by C. Sexton),47,40
2,3:41.0,Shooting foul by L. Nance (drawn by D. DeRozan),,47,40
2,3:41.0,D. DeRozan makes free throw 1 of 2,,48,40
2,3:41.0,D. DeRozan makes free throw 2 of 2,,49,40
2,3:24.0,,C. Sexton misses 3-pt jump shot from 26 ft,49,40
2,3:22.0,,Offensive rebound by C. Osman,49,40
2,3:21.0,,C. Osman makes 2-pt layup from 1 ft,49,42
2,3:06.0,L. Aldridge makes 2-pt hook shot from 1 ft (assist by B. Forbes),,51,42
2,2:56.0,,Personal foul by P. Mills (drawn by L. Nance),51,42
2,2:56.0,,A. Žižić enters the game for L. Nance,51,42
2,2:42.0,,C. Osman makes 3-pt jump shot from 26 ft,51,45
2,2:27.0,D. DeRozan makes 2-pt dunk from 1 ft (assist by R. Gay),,53,45
2,2:08.0,,C. Sexton misses 3-pt jump shot from 26 ft,53,45
2,2:07.0,,Offensive rebound by C. Osman,53,45
2,2:05.0,,Shooting foul by R. Gay (drawn by C. Osman),53,45
2,2:05.0,,C. Osman misses free throw 1 of 2,53,45
2,2:05.0,,Offensive rebound by Team,53,45
2,2:05.0,,C. Osman makes free throw 2 of 2,53,46
2,1:50.0,D. DeRozan makes 2-pt jump shot from 15 ft (assist by L. Aldridge),,55,46
2,1:35.0,,J. Clarkson misses 2-pt jump shot from 10 ft,55,46
2,1:33.0,Defensive rebound by L. Aldridge,,55,46
2,1:28.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,58,46
2,1:08.0,,Turnover by C. Sexton (bad pass; steal by R. Gay),58,46
2,1:02.0,P. Mills misses 2-pt jump shot from 23 ft,,58,46
2,1:00.0,Offensive rebound by R. Gay,,58,46
2,1:00.0,R. Gay makes 2-pt dunk from 1 ft,,60,46
2,0:48.0,,K. Love misses 3-pt jump shot from 25 ft,60,46
2,0:46.0,Defensive rebound by L. Aldridge,,60,46
2,0:33.0,R. Gay makes 2-pt jump shot from 16 ft (assist by D. DeRozan),,62,46
2,0:13.0,,C. Sexton misses 2-pt jump shot from 18 ft,62,46
2,0:11.0,Defensive rebound by L. Aldridge,,62,46
2,0:00.0,D. DeRozan misses 2-pt jump shot from 16 ft,,62,46
2,0:00.0,Offensive rebound by Team,,62,46
3,11:49.0,D. DeRozan misses 2-pt jump shot from 19 ft,,62,46
3,11:45.0,Offensive rebound by J. Poeltl,,62,46
3,11:40.0,L. Aldridge misses 2-pt jump shot from 18 ft,,62,46
3,11:37.0,,Defensive rebound by L. Nance,62,46
3,11:21.0,,Turnover by C. Frye (bad pass; steal by L. Aldridge),62,46
3,11:14.0,B. Forbes misses 3-pt jump shot from 25 ft,,62,46
3,11:09.0,Offensive rebound by B. Forbes,,62,46
3,11:08.0,Turnover by B. Forbes (bad pass; steal by B. Knight),,62,46
3,11:03.0,,C. Sexton makes 3-pt jump shot from 26 ft (assist by C. Frye),62,49
3,10:38.0,D. White misses 2-pt jump shot from 10 ft,,62,49
3,10:38.0,Offensive rebound by Team,,62,49
3,10:38.0,,Loose ball foul by C. Frye (drawn by J. Poeltl),62,49
3,10:26.0,D. White misses 3-pt jump shot from 27 ft,,62,49
3,10:23.0,,Defensive rebound by L. Nance,62,49
3,10:03.0,,B. Knight misses 2-pt hook shot from 8 ft,62,49
3,9:59.0,Defensive rebound by J. Poeltl,,62,49
3,9:47.0,J. Poeltl makes 2-pt jump shot from 13 ft (assist by D. White),,64,49
3,9:25.0,,C. Osman makes 2-pt layup from 1 ft (assist by L. Nance),64,51
3,9:02.0,D. White makes 2-pt jump shot from 17 ft (assist by B. Forbes),,66,51
3,8:40.0,,C. Sexton makes 2-pt layup from 1 ft (assist by L. Nance),66,53
3,8:27.0,Turnover by D. DeRozan (bad pass; steal by B. Knight),,66,53
3,8:15.0,,B. Knight misses 3-pt jump shot from 25 ft,66,53
3,8:10.0,Defensive rebound by D. DeRozan,,66,53
3,8:03.0,D. White misses 2-pt jump shot from 18 ft,,66,53
3,8:02.0,Offensive rebound by J. Poeltl,,66,53
3,7:52.0,L. Aldridge misses 2-pt layup from 2 ft,,66,53
3,7:51.0,Offensive rebound by L. Aldridge,,66,53
3,7:50.0,L. Aldridge misses 2-pt layup at rim,,66,53
3,7:50.0,,Defensive rebound by Team,66,53
3,7:36.0,,Personal foul by B. Forbes (drawn by C. Sexton),66,53
3,7:36.0,,A. Žižić enters the game for C. Frye,66,53
3,7:26.0,,L. Nance makes 2-pt jump shot from 19 ft (assist by A. Žižić),66,55
3,7:25.0,San Antonio full timeout,,66,55
3,7:25.0,R. Gay enters the game for J. Poeltl,,66,55
3,7:07.0,D. DeRozan misses 2-pt jump shot from 12 ft,,66,55
3,7:04.0,,Defensive rebound by L. Nance,66,55
3,6:58.0,,C. Osman makes 2-pt jump shot from 19 ft (assist by L. Nance),66,57
3,6:45.0,D. White makes 2-pt jump shot from 16 ft,,68,57
3,6:30.0,,L. Nance misses 2-pt jump shot from 12 ft,68,57
3,6:28.0,,Offensive rebound by A. Žižić,68,57
3,6:25.0,,A. Žižić makes 2-pt hook shot from 11 ft,68,59
3,6:16.0,D. White makes 2-pt jump shot from 21 ft,,70,59
3,5:58.0,,C. Osman misses 2-pt jump shot from 20 ft,70,59
3,5:56.0,Defensive rebound by R. Gay,,70,59
3,5:51.0,Turnover by R. Gay (bad pass; steal by L. Nance),,70,59
3,5:46.0,,B. Knight misses 2-pt layup from 3 ft (block by D. White),70,59
3,5:41.0,Defensive rebound by B. Forbes,,70,59
3,5:32.0,Turnover by R. Gay (traveling),,70,59
3,5:32.0,,J. Clarkson enters the game for B. Knight,70,59
3,5:09.0,,Turnover by A. Žižić (bad pass),70,59
3,5:09.0,M. Belinelli enters the game for B. Forbes,,70,59
3,5:09.0,P. Mills enters the game for D. White,,70,59
3,4:49.0,Turnover by R. Gay (lost ball; steal by L. Nance),,70,59
3,4:34.0,,A. Žižić misses 2-pt jump shot from 11 ft,70,59
3,4:32.0,Defensive rebound by R. Gay,,70,59
3,4:20.0,M. Belinelli misses 2-pt jump shot from 21 ft,,70,59
3,4:17.0,,Defensive rebound by L. Nance,70,59
3,4:03.0,,Shooting foul by R. Gay (drawn by A. Žižić),70,59
3,4:03.0,Technical foul by R. Gay,,70,59
3,4:03.0,,J. Clarkson misses technical free throw,70,59
3,4:03.0,,Offensive rebound by Team,70,59
3,4:03.0,,A. Žižić makes free throw 1 of 2,70,60
3,4:03.0,,A. Žižić makes free throw 2 of 2,70,61
3,3:49.0,L. Aldridge makes 2-pt jump shot from 16 ft (assist by P. Mills),,72,61
3,3:35.0,,C. Sexton misses 3-pt jump shot from 25 ft,72,61
3,3:28.0,,Offensive rebound by L. Nance,72,61
3,3:28.0,,L. Nance misses 2-pt layup at rim,72,61
3,3:27.0,Defensive rebound by L. Aldridge,,72,61
3,3:27.0,Offensive foul by R. Gay (drawn by C. Sexton),,72,61
3,3:27.0,Turnover by R. Gay (offensive foul),,72,61
3,3:27.0,D. Bertāns enters the game for L. Aldridge,,72,61
3,3:27.0,J. Poeltl enters the game for D. DeRozan,,72,61
3,3:27.0,,D. Nwaba enters the game for L. Nance,72,61
3,3:12.0,,Turnover by J. Clarkson (traveling),72,61
3,2:54.0,Turnover by R. Gay (bad pass; steal by C. Osman),,72,61
3,2:45.0,,C. Osman misses 2-pt layup from 1 ft,72,61
3,2:43.0,Defensive rebound by R. Gay,,72,61
3,2:39.0,D. Bertāns makes 2-pt dunk from 1 ft (assist by P. Mills),,74,61
3,2:32.0,,Cleveland full timeout,74,61
3,2:32.0,B. Forbes enters the game for R. Gay,,74,61
3,2:17.0,,J. Clarkson misses 3-pt jump shot from 27 ft,74,61
3,2:13.0,,Offensive rebound by A. Žižić,74,61
3,2:09.0,,Turnover by A. Žižić (3 sec),74,61
3,1:52.0,Turnover by P. Mills (bad pass; steal by C. Sexton),,74,61
3,1:34.0,,A. Žižić makes 2-pt hook shot from 11 ft (assist by C. Sexton),74,63
3,1:25.0,B. Forbes makes 2-pt jump shot from 18 ft,,76,63
3,1:04.0,,D. Nwaba misses 3-pt jump shot from 25 ft,76,63
3,1:02.0,Defensive rebound by J. Poeltl,,76,63
3,0:53.0,B. Forbes misses 2-pt jump shot from 21 ft,,76,63
3,0:51.0,,Defensive rebound by C. Osman,76,63
3,0:51.0,,Turnover by C. Osman (lost ball; steal by P. Mills),76,63
3,0:50.0,P. Mills makes 3-pt jump shot from 26 ft,,79,63
3,0:32.0,,D. Nwaba misses 2-pt jump shot from 15 ft (block by J. Poeltl),79,63
3,0:30.0,Defensive rebound by P. Mills,,79,63
3,0:20.0,Turnover by D. Bertāns (bad pass; steal by D. Nwaba),,79,63
3,0:15.0,,Turnover by A. Žižić (bad pass),79,63
3,0:13.0,Personal take foul by C. Sexton (drawn by P. Mills),,79,63
3,0:03.0,B. Forbes misses 2-pt jump shot from 13 ft,,79,63
3,0:00.0,,Defensive rebound by A. Žižić,79,63
3,0:00.0,,C. Osman misses 3-pt jump shot from 40 ft,79,63
3,0:00.0,,Offensive rebound by Team,79,63
4,11:43.0,,M. Chriss misses 2-pt layup from 1 ft,79,63
4,11:41.0,Defensive rebound by J. Poeltl,,79,63
4,11:38.0,,Loose ball foul by M. Chriss (drawn by D. Bertāns),79,63
4,11:28.0,P. Mills makes 3-pt jump shot from 22 ft (assist by D. DeRozan),,82,63
4,11:02.0,,L. Nance misses 3-pt jump shot from 24 ft,82,63
4,11:00.0,Defensive rebound by B. Forbes,,82,63
4,10:47.0,D. DeRozan makes 2-pt jump shot from 17 ft,,84,63
4,10:47.0,,Cleveland full timeout,84,63
4,10:31.0,,Turnover by C. Sexton (bad pass; steal by J. Poeltl),84,63
4,10:18.0,P. Mills makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,87,63
4,9:48.0,,D. Nwaba makes 2-pt layup from 2 ft,87,65
4,9:28.0,P. Mills makes 3-pt jump shot from 26 ft (assist by B. Forbes),,90,65
4,9:12.0,,J. Clarkson makes 2-pt layup from 1 ft,90,67
4,8:51.0,P. Mills misses 3-pt jump shot from 30 ft,,90,67
4,8:49.0,,Defensive rebound by Team,90,67
4,8:49.0,M. Belinelli enters the game for B. Forbes,,90,67
4,8:49.0,,B. Knight enters the game for C. Sexton,90,67
4,8:36.0,,Shooting foul by J. Poeltl (drawn by M. Chriss),90,67
4,8:36.0,,M. Chriss makes free throw 1 of 2,90,68
4,8:36.0,D. White enters the game for P. Mills,,90,68
4,8:36.0,,M. Chriss misses free throw 2 of 2,90,68
4,8:32.0,Defensive rebound by D. DeRozan,,90,68
4,8:25.0,D. DeRozan misses 2-pt jump shot from 17 ft,,90,68
4,8:20.0,,Defensive rebound by L. Nance,90,68
4,8:09.0,,Shooting foul by D. DeRozan (drawn by M. Chriss),90,68
4,8:09.0,,M. Chriss makes free throw 1 of 2,90,69
4,8:09.0,,M. Chriss misses free throw 2 of 2,90,69
4,8:05.0,Defensive rebound by J. Poeltl,,90,69
4,7:54.0,Shooting foul by M. Chriss (drawn by D. DeRozan),,90,69
4,7:54.0,,Technical foul by M. Chriss,90,69
4,7:54.0,D. DeRozan misses technical free throw,,90,69
4,7:54.0,Offensive rebound by Team,,90,69
4,7:54.0,D. DeRozan makes free throw 1 of 2,,91,69
4,7:54.0,D. DeRozan makes free throw 2 of 2,,92,69
4,7:33.0,,B. Knight makes 2-pt jump shot from 16 ft,92,71
4,7:15.0,Turnover by D. DeRozan (lost ball; steal by M. Chriss),,92,71
4,7:08.0,,B. Knight makes 2-pt jump shot from 12 ft,92,73
4,7:08.0,San Antonio full timeout,,92,73
4,6:52.0,D. Bertāns makes 2-pt jump shot from 19 ft (assist by M. Belinelli),,94,73
4,6:28.0,,Turnover by J. Clarkson (bad pass; steal by D. DeRozan),94,73
4,6:22.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,97,73
4,6:06.0,,B. Knight misses 2-pt jump shot from 22 ft,97,73
4,6:03.0,Defensive rebound by D. Bertāns,,97,73
4,5:50.0,Shooting foul by M. Chriss (drawn by D. DeRozan),,97,73
4,5:50.0,D. DeRozan makes free throw 1 of 2,,98,73
4,5:50.0,R. Gay enters the game for D. Bertāns,,98,73
4,5:50.0,D. Motiejūnas enters the game for J. Poeltl,,98,73
4,5:50.0,,C. Osman enters the game for J. Clarkson,98,73
4,5:50.0,,C. Sexton enters the game for D. Nwaba,98,73
4,5:50.0,D. DeRozan makes free throw 2 of 2,,99,73
4,5:44.0,,Shooting foul by M. Belinelli (drawn by B. Knight),99,73
4,5:44.0,,B. Knight misses free throw 1 of 2,99,73
4,5:44.0,,Offensive rebound by Team,99,73
4,5:44.0,L. Walker enters the game for D. DeRozan,,99,73
4,5:44.0,,C. Frye enters the game for M. Chriss,99,73
4,5:44.0,,B. Knight makes free throw 2 of 2,99,74
4,5:32.0,L. Walker makes 2-pt jump shot from 14 ft,,101,74
4,5:16.0,,Personal foul by D. White (drawn by C. Sexton),101,74
4,5:16.0,D. Cunningham enters the game for R. Gay,,101,74
4,5:16.0,Q. Pondexter enters the game for D. White,,101,74
4,5:02.0,,C. Sexton misses 3-pt jump shot from 28 ft,101,74
4,4:59.0,Defensive rebound by D. Cunningham,,101,74
4,4:58.0,Personal foul by B. Knight (drawn by L. Walker),,101,74
4,4:45.0,M. Belinelli misses 2-pt jump shot from 19 ft,,101,74
4,4:42.0,,Defensive rebound by C. Osman,101,74
4,4:39.0,,C. Osman misses 2-pt layup from 5 ft (block by L. Walker),101,74
4,4:37.0,,Offensive rebound by L. Nance,101,74
4,4:34.0,,L. Nance makes 2-pt layup from 2 ft,101,76
4,4:20.0,L. Walker makes 2-pt layup at rim,,103,76
4,4:01.0,,C. Frye makes 2-pt jump shot from 15 ft (assist by C. Sexton),103,78
4,3:48.0,D. Motiejūnas makes 2-pt jump shot from 12 ft (assist by L. Walker),,105,78
4,3:39.0,,B. Knight makes 2-pt layup from 2 ft,105,80
4,3:39.0,,Shooting foul by D. Motiejūnas (drawn by B. Knight),105,80
4,3:39.0,,B. Knight makes free throw 1 of 1,105,81
4,3:32.0,Personal take foul by C. Sexton (drawn by L. Walker),,105,81
4,3:32.0,L. Walker misses free throw 1 of 2,,105,81
4,3:32.0,Offensive rebound by Team,,105,81
4,3:32.0,,D. Adel enters the game for B. Knight,105,81
4,3:32.0,L. Walker makes free throw 2 of 2,,106,81
4,3:19.0,,Shooting foul by D. Motiejūnas (drawn by C. Osman),106,81
4,3:19.0,,C. Osman makes free throw 1 of 2,106,82
4,3:19.0,,C. Osman makes free throw 2 of 2,106,83
4,3:08.0,D. Cunningham misses 3-pt jump shot from 25 ft,,106,83
4,3:04.0,,Defensive rebound by D. Adel,106,83
4,3:00.0,,C. Frye misses 3-pt jump shot from 28 ft,106,83
4,2:58.0,Defensive rebound by Q. Pondexter,,106,83
4,2:52.0,Personal foul by L. Nance (drawn by D. Motiejūnas),,106,83
4,2:52.0,D. Motiejūnas misses free throw 1 of 2,,106,83
4,2:52.0,Offensive rebound by Team,,106,83
4,2:52.0,D. Motiejūnas misses free throw 2 of 2,,106,83
4,2:48.0,,Defensive rebound by L. Nance,106,83
