QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHICAGO_ACTION,PHILADELPHIA_SCORE,CHICAGO_SCORE
1,6:29.0,,Shooting foul by A. Johnson (drawn by R. Lopez),17,10
1,6:29.0,,R. Lopez makes free throw 1 of 2,17,11
1,6:29.0,J. Bolden enters the game for J. Butler,,17,11
1,6:29.0,J. Ennis enters the game for A. Johnson,,17,11
1,6:29.0,M. Scott enters the game for J. Redick,,17,11
1,6:29.0,,R. Lopez makes free throw 2 of 2,17,12
1,6:19.0,T. Harris misses 2-pt jump shot from 15 ft,,17,12
1,6:15.0,,Defensive rebound by O. Porter,17,12
1,6:08.0,,O. Porter makes 2-pt jump shot from 15 ft,17,14
1,6:07.0,Philadelphia full timeout,,17,14
1,5:45.0,M. Scott misses 2-pt jump shot from 15 ft (block by K. Dunn),,17,14
1,5:45.0,Offensive rebound by Team,,17,14
1,5:43.0,J. Bolden makes 3-pt jump shot from 26 ft (assist by B. Simmons),,20,14
1,5:25.0,,R. Lopez makes 2-pt hook shot from 3 ft (assist by O. Porter),20,16
1,5:10.0,J. Bolden misses 2-pt layup from 1 ft,,20,16
1,5:06.0,Offensive rebound by T. Harris,,20,16
1,5:06.0,T. Harris misses 2-pt layup from 1 ft,,20,16
1,5:06.0,,Defensive rebound by R. Lopez,20,16
1,4:56.0,,Z. LaVine misses 2-pt layup from 3 ft,20,16
1,4:54.0,Defensive rebound by B. Simmons,,20,16
1,4:45.0,Turnover by J. Bolden (bad pass; steal by Z. LaVine),,20,16
1,4:44.0,,Shooting foul by T. Harris (drawn by Z. LaVine),20,16
1,4:44.0,,Z. LaVine misses free throw 1 of 2,20,16
1,4:44.0,,Offensive rebound by Team,20,16
1,4:44.0,,Z. LaVine makes free throw 2 of 2,20,17
1,4:27.0,Turnover by T. Harris (bad pass; steal by K. Dunn),,20,17
1,4:21.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by K. Dunn),20,19
1,3:54.0,T. Harris misses 2-pt jump shot from 18 ft,,20,19
1,3:51.0,,Defensive rebound by O. Porter,20,19
1,3:46.0,,Shooting foul by J. Bolden (drawn by Z. LaVine),20,19
1,3:46.0,,Z. LaVine makes free throw 1 of 2,20,20
1,3:46.0,,T. Luwawu-Cabarrot enters the game for O. Porter,20,20
1,3:46.0,,Z. LaVine makes free throw 2 of 2,20,21
1,3:41.0,Turnover by B. Simmons (discontinued dribble),,20,21
1,3:41.0,,R. Arcidiacono enters the game for K. Dunn,20,21
1,3:18.0,,R. Lopez makes 2-pt hook shot from 5 ft (assist by W. Selden),20,23
1,3:07.0,M. Scott misses 3-pt jump shot from 26 ft,,20,23
1,3:05.0,Offensive rebound by J. Ennis,,20,23
1,3:05.0,Shooting foul by T. Luwawu-Cabarrot (drawn by B. Simmons),,20,23
1,3:05.0,B. Simmons makes free throw 1 of 2,,21,23
1,3:05.0,J. Butler enters the game for J. Ennis,,21,23
1,3:05.0,J. Redick enters the game for T. Harris,,21,23
1,3:05.0,Turnover by M. Scott (lane violation),,21,23
1,3:05.0,T. McConnell enters the game for B. Simmons,,21,23
1,2:51.0,,Z. LaVine misses 2-pt jump shot from 17 ft,21,23
1,2:48.0,Defensive rebound by J. Bolden,,21,23
1,2:30.0,J. Bolden misses 3-pt jump shot from 25 ft,,21,23
1,2:27.0,,Defensive rebound by Z. LaVine,21,23
1,2:21.0,,Shooting foul by M. Scott (drawn by R. Lopez),21,23
1,2:21.0,,R. Lopez makes free throw 1 of 2,21,24
1,2:21.0,,S. Harrison enters the game for Z. LaVine,21,24
1,2:21.0,,R. Lopez misses free throw 2 of 2,21,24
1,2:17.0,Defensive rebound by T. McConnell,,21,24
1,2:09.0,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Butler),,24,24
1,1:57.0,,S. Harrison makes 2-pt layup from 3 ft,24,26
1,1:46.0,J. Bolden makes 2-pt dunk at rim (assist by J. Butler),,26,26
1,1:30.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by R. Arcidiacono),26,28
1,1:10.0,J. Butler misses 2-pt layup from 1 ft,,26,28
1,1:08.0,,Defensive rebound by T. Luwawu-Cabarrot,26,28
1,1:01.0,,W. Selden misses 2-pt jump shot from 16 ft,26,28
1,0:59.0,Defensive rebound by T. McConnell,,26,28
1,0:46.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Redick),,26,28
1,0:46.0,J. Redick makes free throw 1 of 2,,27,28
1,0:46.0,J. Redick misses free throw 2 of 2,,27,28
1,0:45.0,,Defensive rebound by T. Luwawu-Cabarrot,27,28
1,0:31.0,,R. Lopez makes 2-pt layup from 2 ft,27,30
1,0:19.0,T. McConnell misses 2-pt layup from 1 ft (block by W. Selden),,27,30
1,0:16.0,Offensive rebound by M. Scott,,27,30
1,0:16.0,J. Redick makes 3-pt jump shot from 26 ft (assist by M. Scott),,30,30
1,0:02.0,,R. Lopez misses 3-pt jump shot from 25 ft,30,30
1,0:02.0,Defensive rebound by M. Scott,,30,30
2,11:39.0,,O. Porter makes 2-pt jump shot from 22 ft,30,32
2,11:13.0,J. Butler makes 2-pt jump shot from 13 ft,,32,32
2,11:02.0,,R. Arcidiacono makes 2-pt layup from 2 ft (assist by S. Harrison),32,34
2,10:48.0,T. McConnell misses 3-pt jump shot from 24 ft,,32,34
2,10:44.0,,Defensive rebound by T. Luwawu-Cabarrot,32,34
2,10:38.0,,O. Porter misses 2-pt jump shot from 8 ft (block by J. Bolden),32,34
2,10:35.0,Defensive rebound by J. Ennis,,32,34
2,10:20.0,J. Ennis makes 2-pt dunk from 1 ft (assist by T. McConnell),,34,34
2,10:06.0,,Turnover by R. Arcidiacono (bad pass; steal by J. Bolden),34,34
2,9:59.0,T. McConnell makes 2-pt layup from 2 ft,,36,34
2,9:47.0,,C. Felício misses 2-pt layup from 2 ft (block by J. Bolden),36,34
2,9:44.0,Defensive rebound by J. Bolden,,36,34
2,9:39.0,T. McConnell misses 2-pt jump shot from 16 ft,,36,34
2,9:35.0,,Defensive rebound by S. Harrison,36,34
2,9:25.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 25 ft (assist by S. Harrison),36,37
2,9:06.0,J. Butler makes 2-pt jump shot from 19 ft,,38,37
2,8:45.0,,O. Porter makes 3-pt jump shot from 24 ft,38,40
2,8:30.0,Personal foul by R. Arcidiacono (drawn by J. Butler),,38,40
2,8:30.0,A. Johnson enters the game for J. Bolden,,38,40
2,8:30.0,B. Simmons enters the game for T. McConnell,,38,40
2,8:30.0,,L. Markkanen enters the game for S. Harrison,38,40
2,8:16.0,B. Simmons misses 2-pt hook shot from 5 ft,,38,40
2,8:14.0,,Defensive rebound by O. Porter,38,40
2,8:00.0,,O. Porter misses 2-pt jump shot from 20 ft,38,40
2,7:57.0,Defensive rebound by J. Ennis,,38,40
2,7:47.0,J. Ennis makes 2-pt layup from 2 ft (assist by B. Simmons),,40,40
2,7:34.0,,L. Markkanen misses 3-pt jump shot from 26 ft,40,40
2,7:31.0,,Offensive rebound by C. Felício,40,40
2,7:29.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,40,40
2,7:27.0,Defensive rebound by J. Ennis,,40,40
2,7:14.0,T. Harris misses 3-pt jump shot from 25 ft,,40,40
2,7:10.0,Offensive rebound by J. Butler,,40,40
2,7:08.0,J. Butler misses 2-pt jump shot from 14 ft,,40,40
2,7:04.0,,Defensive rebound by L. Markkanen,40,40
2,7:04.0,M. Scott enters the game for J. Butler,,40,40
2,6:58.0,,Personal foul by T. Harris (drawn by O. Porter),40,40
2,6:58.0,,Chicago full timeout,40,40
2,6:58.0,J. Redick enters the game for J. Ennis,,40,40
2,6:58.0,,Z. LaVine enters the game for C. Felício,40,40
2,6:58.0,,R. Lopez enters the game for T. Luwawu-Cabarrot,40,40
2,6:49.0,,R. Arcidiacono misses 2-pt jump shot from 23 ft,40,40
2,6:46.0,Defensive rebound by B. Simmons,,40,40
2,6:36.0,B. Simmons misses 2-pt hook shot from 5 ft,,40,40
2,6:34.0,,Defensive rebound by L. Markkanen,40,40
2,6:28.0,,Z. LaVine misses 3-pt jump shot from 25 ft,40,40
2,6:28.0,Defensive rebound by Team,,40,40
2,6:13.0,J. Redick makes 2-pt jump shot from 22 ft (assist by A. Johnson),,42,40
2,5:49.0,,Z. LaVine makes 2-pt dunk at rim (assist by O. Porter),42,42
2,5:36.0,M. Scott misses 3-pt jump shot from 26 ft,,42,42
2,5:33.0,,Defensive rebound by R. Lopez,42,42
2,5:20.0,,Turnover by L. Markkanen (bad pass; steal by B. Simmons),42,42
2,5:14.0,B. Simmons makes 2-pt layup from 1 ft,,44,42
2,4:54.0,,Z. LaVine misses 2-pt jump shot from 12 ft,44,42
2,4:48.0,,Offensive rebound by Z. LaVine,44,42
2,4:48.0,,Z. LaVine makes 2-pt layup at rim,44,44
2,4:33.0,T. Harris makes 2-pt layup from 3 ft,,46,44
2,4:12.0,,O. Porter makes 2-pt jump shot from 9 ft,46,46
2,4:12.0,,Shooting foul by J. Redick (drawn by O. Porter),46,46
2,4:12.0,J. Butler enters the game for T. Harris,,46,46
2,4:12.0,T. McConnell enters the game for A. Johnson,,46,46
2,4:12.0,,K. Dunn enters the game for R. Arcidiacono,46,46
2,4:12.0,,O. Porter makes free throw 1 of 1,46,47
2,4:00.0,J. Redick misses 3-pt jump shot from 27 ft,,46,47
2,3:57.0,,Defensive rebound by O. Porter,46,47
2,3:47.0,,L. Markkanen misses 3-pt jump shot from 25 ft,46,47
2,3:44.0,Defensive rebound by B. Simmons,,46,47
2,3:37.0,B. Simmons makes 2-pt dunk from 1 ft,,48,47
2,3:22.0,,Def 3 sec tech foul by Team,48,47
2,3:22.0,,L. Markkanen makes technical free throw,48,48
2,3:22.0,,W. Selden enters the game for O. Porter,48,48
2,3:15.0,,Z. LaVine makes 2-pt layup from 1 ft,48,50
2,3:07.0,B. Simmons makes 2-pt layup from 1 ft (assist by T. McConnell),,50,50
2,2:45.0,,Turnover by R. Lopez (bad pass),50,50
2,2:45.0,Philadelphia full timeout,,50,50
2,2:36.0,M. Scott makes 3-pt jump shot from 25 ft (assist by J. Butler),,53,50
2,2:19.0,,Shooting foul by M. Scott (drawn by L. Markkanen),53,50
2,2:19.0,,L. Markkanen makes free throw 1 of 2,53,51
2,2:19.0,,L. Markkanen makes free throw 2 of 2,53,52
2,2:07.0,J. Butler makes 2-pt jump shot from 17 ft,,55,52
2,1:48.0,,K. Dunn misses 3-pt jump shot from 25 ft,55,52
2,1:44.0,,Offensive rebound by Z. LaVine,55,52
2,1:35.0,,W. Selden makes 3-pt jump shot from 26 ft,55,55
2,1:17.0,J. Butler misses 2-pt jump shot from 15 ft,,55,55
2,1:14.0,,Defensive rebound by L. Markkanen,55,55
2,0:58.0,,Turnover by R. Lopez (lost ball; steal by M. Scott),55,55
2,0:53.0,J. Redick misses 3-pt jump shot from 26 ft,,55,55
2,0:49.0,,Defensive rebound by L. Markkanen,55,55
2,0:32.0,,L. Markkanen makes 2-pt jump shot from 7 ft (assist by Z. LaVine),55,57
2,0:16.0,J. Redick makes 2-pt jump shot from 20 ft (assist by M. Scott),,57,57
2,0:00.0,,Z. LaVine misses 2-pt jump shot from 14 ft,57,57
2,0:00.0,,Offensive rebound by Team,57,57
3,11:43.0,,Z. LaVine misses 3-pt jump shot from 25 ft,57,57
3,11:41.0,Defensive rebound by J. Redick,,57,57
3,11:36.0,B. Simmons misses 2-pt layup from 2 ft,,57,57
3,11:36.0,Offensive rebound by Team,,57,57
3,11:27.0,J. Butler misses 2-pt jump shot from 12 ft,,57,57
3,11:24.0,Offensive rebound by A. Johnson,,57,57
3,11:23.0,T. Harris makes 3-pt jump shot from 25 ft (assist by A. Johnson),,60,57
3,11:02.0,,R. Lopez misses 2-pt layup from 4 ft,60,57
3,10:59.0,Defensive rebound by A. Johnson,,60,57
3,10:55.0,T. Harris misses 2-pt layup from 3 ft,,60,57
3,10:54.0,,Defensive rebound by Team,60,57
3,10:43.0,,O. Porter misses 2-pt jump shot from 16 ft,60,57
3,10:39.0,,Offensive rebound by O. Porter,60,57
3,10:37.0,,O. Porter misses 3-pt jump shot from 26 ft,60,57
3,10:32.0,,Offensive rebound by L. Markkanen,60,57
3,10:32.0,,L. Markkanen makes 2-pt layup from 1 ft,60,59
3,10:23.0,J. Redick makes 2-pt layup from 2 ft (assist by B. Simmons),,62,59
3,10:06.0,,K. Dunn misses 3-pt jump shot from 25 ft,62,59
3,10:03.0,Defensive rebound by B. Simmons,,62,59
3,9:58.0,T. Harris makes 2-pt dunk from 1 ft (assist by B. Simmons),,64,59
3,9:58.0,,Chicago full timeout,64,59
3,9:38.0,,Turnover by O. Porter (traveling),64,59
3,9:29.0,T. Harris misses 2-pt jump shot from 16 ft,,64,59
3,9:24.0,,Defensive rebound by K. Dunn,64,59
3,9:20.0,,Turnover by L. Markkanen (bad pass; steal by J. Butler),64,59
3,9:13.0,J. Butler misses 2-pt jump shot from 7 ft,,64,59
3,9:11.0,Offensive rebound by B. Simmons,,64,59
3,9:11.0,B. Simmons misses 2-pt dunk at rim,,64,59
3,9:07.0,,Defensive rebound by L. Markkanen,64,59
3,9:04.0,,L. Markkanen makes 2-pt jump shot from 7 ft,64,61
3,8:46.0,Turnover by A. Johnson (bad pass; steal by O. Porter),,64,61
3,8:39.0,,L. Markkanen makes 2-pt jump shot from 14 ft (assist by Z. LaVine),64,63
3,8:37.0,Philadelphia full timeout,,64,63
3,8:26.0,Shooting foul by R. Lopez (drawn by A. Johnson),,64,63
3,8:26.0,A. Johnson misses free throw 1 of 2,,64,63
3,8:26.0,Offensive rebound by Team,,64,63
3,8:26.0,A. Johnson makes free throw 2 of 2,,65,63
3,8:17.0,,Turnover by Z. LaVine (bad pass; steal by B. Simmons),65,63
3,8:12.0,J. Butler makes 2-pt dunk from 1 ft (assist by B. Simmons),,67,63
3,7:45.0,,R. Lopez makes 2-pt layup from 1 ft (assist by Z. LaVine),67,65
3,7:25.0,T. Harris makes 2-pt jump shot from 14 ft,,69,65
3,7:14.0,,K. Dunn misses 2-pt jump shot from 13 ft,69,65
3,7:12.0,Defensive rebound by A. Johnson,,69,65
3,7:04.0,B. Simmons makes 2-pt jump shot from 4 ft,,71,65
3,6:46.0,,R. Lopez misses 2-pt jump shot from 21 ft,71,65
3,6:42.0,,Offensive rebound by O. Porter,71,65
3,6:42.0,,Shooting foul by B. Simmons (drawn by Z. LaVine),71,65
3,6:42.0,,Z. LaVine makes free throw 1 of 2,71,66
3,6:42.0,J. Bolden enters the game for J. Butler,,71,66
3,6:42.0,J. Ennis enters the game for A. Johnson,,71,66
3,6:42.0,M. Scott enters the game for J. Redick,,71,66
3,6:42.0,,Z. LaVine makes free throw 2 of 2,71,67
3,6:21.0,J. Ennis makes 2-pt jump shot from 14 ft (assist by T. Harris),,73,67
3,6:04.0,,Z. LaVine makes 2-pt layup from 6 ft,73,69
3,6:04.0,,Shooting foul by J. Bolden (drawn by Z. LaVine),73,69
3,6:04.0,,R. Arcidiacono enters the game for K. Dunn,73,69
3,6:04.0,,Z. LaVine misses free throw 1 of 1,73,69
3,6:01.0,Defensive rebound by J. Bolden,,73,69
3,5:51.0,Offensive foul by B. Simmons (drawn by Z. LaVine),,73,69
3,5:51.0,Turnover by B. Simmons (offensive foul),,73,69
3,5:51.0,Violation by Team (delay of game),,73,69
3,5:38.0,,Shooting foul by J. Bolden (drawn by Z. LaVine),73,69
3,5:38.0,,Z. LaVine makes free throw 1 of 2,73,70
3,5:38.0,,Z. LaVine makes free throw 2 of 2,73,71
3,5:23.0,T. Harris makes 2-pt jump shot from 18 ft (assist by J. Bolden),,75,71
3,5:07.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by R. Lopez),75,74
3,4:52.0,J. Bolden misses 2-pt layup from 9 ft (block by R. Arcidiacono),,75,74
3,4:52.0,Offensive rebound by J. Ennis,,75,74
3,4:52.0,J. Ennis makes 2-pt jump shot from 10 ft,,77,74
3,4:31.0,,R. Arcidiacono misses 2-pt layup from 4 ft,77,74
3,4:27.0,,Offensive rebound by R. Arcidiacono,77,74
3,4:26.0,,R. Arcidiacono misses 2-pt jump shot from 15 ft,77,74
3,4:24.0,Defensive rebound by M. Scott,,77,74
3,4:07.0,M. Scott misses 2-pt jump shot from 8 ft,,77,74
3,4:01.0,,Defensive rebound by R. Arcidiacono,77,74
3,3:59.0,,Z. LaVine makes 2-pt dunk at rim (assist by O. Porter),77,76
3,3:46.0,T. Harris misses 2-pt jump shot from 21 ft,,77,76
3,3:42.0,,Defensive rebound by L. Markkanen,77,76
3,3:35.0,,Turnover by L. Markkanen (lost ball; steal by J. Bolden),77,76
3,3:31.0,Turnover by B. Simmons (bad pass),,77,76
3,3:18.0,,Turnover by R. Lopez (traveling),77,76
3,3:18.0,J. Butler enters the game for J. Ennis,,77,76
3,3:18.0,T. McConnell enters the game for T. Harris,,77,76
3,3:18.0,J. Redick enters the game for B. Simmons,,77,76
3,3:18.0,,W. Selden enters the game for L. Markkanen,77,76
3,3:05.0,J. Redick misses 3-pt jump shot from 24 ft,,77,76
3,3:01.0,,Defensive rebound by Z. LaVine,77,76
3,2:56.0,,Shooting foul by J. Bolden (drawn by Z. LaVine),77,76
3,2:56.0,,Z. LaVine makes free throw 1 of 2,77,77
3,2:56.0,,T. Luwawu-Cabarrot enters the game for O. Porter,77,77
3,2:56.0,,Z. LaVine makes free throw 2 of 2,77,78
3,2:42.0,J. Butler makes 2-pt jump shot from 10 ft,,79,78
3,2:38.0,,Personal foul by T. McConnell (drawn by R. Arcidiacono),79,78
3,2:38.0,,R. Arcidiacono makes free throw 1 of 2,79,79
3,2:38.0,,R. Arcidiacono makes free throw 2 of 2,79,80
3,2:26.0,J. Bolden misses 3-pt jump shot from 26 ft,,79,80
3,2:23.0,,Defensive rebound by W. Selden,79,80
3,2:11.0,,T. Luwawu-Cabarrot misses 2-pt layup from 2 ft,79,80
3,2:06.0,,Offensive rebound by Z. LaVine,79,80
3,2:05.0,,R. Lopez makes 2-pt layup from 2 ft (assist by Z. LaVine),79,82
3,1:57.0,Personal foul by R. Arcidiacono (drawn by T. McConnell),,79,82
3,1:47.0,J. Butler misses 2-pt jump shot from 21 ft,,79,82
3,1:44.0,,Defensive rebound by W. Selden,79,82
3,1:36.0,,Z. LaVine misses 3-pt jump shot from 25 ft,79,82
3,1:33.0,Defensive rebound by J. Bolden,,79,82
3,1:23.0,J. Butler misses 2-pt jump shot from 2 ft,,79,82
3,1:17.0,Offensive rebound by M. Scott,,79,82
3,1:17.0,M. Scott makes 2-pt layup from 4 ft,,81,82
3,0:55.0,,Z. LaVine misses 2-pt jump shot from 22 ft,81,82
3,0:53.0,Defensive rebound by J. Redick,,81,82
3,0:52.0,T. McConnell makes 2-pt layup from 1 ft,,83,82
3,0:28.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,83,82
3,0:24.0,Defensive rebound by Team,,83,82
3,0:03.0,M. Scott makes 3-pt jump shot from 26 ft (assist by J. Bolden),,86,82
3,0:00.0,,W. Selden misses 3-pt jump shot from 30 ft,86,82
3,0:00.0,,Offensive rebound by Team,86,82
4,11:46.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Butler),,86,82
4,11:46.0,J. Butler makes free throw 1 of 2,,87,82
4,11:46.0,J. Butler makes free throw 2 of 2,,88,82
4,11:24.0,,W. Selden misses 3-pt jump shot from 27 ft,88,82
4,11:23.0,Defensive rebound by Team,,88,82
4,11:13.0,T. McConnell misses 2-pt jump shot from 7 ft,,88,82
4,11:09.0,,Defensive rebound by T. Luwawu-Cabarrot,88,82
4,11:04.0,,Personal foul by J. Bolden (drawn by W. Selden),88,82
4,11:04.0,A. Johnson enters the game for J. Bolden,,88,82
4,10:51.0,,S. Harrison makes 2-pt layup from 1 ft (assist by L. Markkanen),88,84
4,10:31.0,Shooting foul by R. Arcidiacono (drawn by T. McConnell),,88,84
4,10:31.0,T. McConnell makes free throw 1 of 2,,89,84
4,10:31.0,T. McConnell makes free throw 2 of 2,,90,84
4,10:08.0,,W. Selden misses 2-pt layup from 3 ft,90,84
4,10:06.0,,Offensive rebound by W. Selden,90,84
4,10:05.0,,W. Selden misses 2-pt layup from 1 ft (block by J. Ennis),90,84
4,10:03.0,Defensive rebound by J. Butler,,90,84
4,10:00.0,Turnover by J. Butler (lost ball; steal by T. Luwawu-Cabarrot),,90,84
4,9:55.0,,Turnover by W. Selden (bad pass; steal by J. Butler),90,84
4,9:41.0,J. Ennis misses 3-pt jump shot from 26 ft,,90,84
4,9:40.0,,Defensive rebound by Team,90,84
4,9:40.0,,O. Porter enters the game for T. Luwawu-Cabarrot,90,84
4,9:25.0,,W. Selden makes 2-pt jump shot from 13 ft (assist by R. Arcidiacono),90,86
4,9:00.0,J. Butler misses 2-pt jump shot from 20 ft,,90,86
4,8:57.0,Offensive rebound by A. Johnson,,90,86
4,8:57.0,Shooting foul by W. Selden (drawn by A. Johnson),,90,86
4,8:57.0,A. Johnson makes free throw 1 of 2,,91,86
4,8:57.0,B. Simmons enters the game for J. Butler,,91,86
4,8:57.0,A. Johnson misses free throw 2 of 2,,91,86
4,8:54.0,,Defensive rebound by O. Porter,91,86
4,8:47.0,,R. Arcidiacono misses 3-pt jump shot from 27 ft,91,86
4,8:45.0,Defensive rebound by J. Ennis,,91,86
4,8:37.0,J. Ennis makes 3-pt jump shot from 23 ft (assist by B. Simmons),,94,86
4,8:36.0,,Chicago full timeout,94,86
4,8:20.0,,O. Porter misses 2-pt jump shot from 8 ft,94,86
4,8:17.0,Defensive rebound by J. Ennis,,94,86
4,7:59.0,J. Ennis misses 2-pt jump shot from 15 ft,,94,86
4,7:56.0,Offensive rebound by T. Harris,,94,86
4,7:55.0,Turnover by T. Harris (out of bounds lost ball),,94,86
4,7:38.0,,S. Harrison makes 2-pt layup from 4 ft (assist by R. Arcidiacono),94,88
4,7:23.0,Personal foul by W. Selden (drawn by A. Johnson),,94,88
4,7:23.0,,K. Dunn enters the game for R. Arcidiacono,94,88
4,7:23.0,,Z. LaVine enters the game for S. Harrison,94,88
4,7:10.0,A. Johnson makes 2-pt dunk from 1 ft,,96,88
4,6:53.0,,L. Markkanen misses 3-pt jump shot from 25 ft,96,88
4,6:50.0,Defensive rebound by B. Simmons,,96,88
4,6:41.0,Turnover by A. Johnson (lost ball; steal by K. Dunn),,96,88
4,6:36.0,,O. Porter misses 2-pt layup from 3 ft (block by J. Ennis),96,88
4,6:34.0,Defensive rebound by Team,,96,88
4,6:34.0,J. Butler enters the game for J. Ennis,,96,88
4,6:34.0,J. Redick enters the game for T. Harris,,96,88
4,6:34.0,,R. Lopez enters the game for W. Selden,96,88
4,6:14.0,A. Johnson misses 3-pt jump shot from 25 ft,,96,88
4,6:10.0,Offensive rebound by B. Simmons,,96,88
4,6:10.0,Philadelphia full timeout,,96,88
4,6:10.0,M. Scott enters the game for A. Johnson,,96,88
4,6:10.0,,W. Selden enters the game for L. Markkanen,96,88
4,6:01.0,Shooting foul by K. Dunn (drawn by B. Simmons),,96,88
4,6:01.0,B. Simmons makes free throw 1 of 2,,97,88
4,6:01.0,B. Simmons makes free throw 2 of 2,,98,88
4,5:49.0,,O. Porter makes 2-pt jump shot from 7 ft (assist by K. Dunn),98,90
4,5:49.0,,Shooting foul by J. Redick (drawn by Z. LaVine),98,90
4,5:49.0,,Z. LaVine misses free throw 1 of 1,98,90
4,5:44.0,Defensive rebound by B. Simmons,,98,90
4,5:38.0,B. Simmons misses 2-pt layup from 2 ft,,98,90
4,5:35.0,,Defensive rebound by R. Lopez,98,90
4,5:30.0,,Z. LaVine makes 2-pt layup from 4 ft,98,92
4,5:30.0,Philadelphia full timeout,,98,92
4,5:30.0,T. Harris enters the game for T. McConnell,,98,92
4,5:30.0,,L. Markkanen enters the game for W. Selden,98,92
4,5:30.0,,Violation by Team (delay of game),98,92
4,5:10.0,J. Butler misses 2-pt jump shot from 9 ft,,98,92
4,5:08.0,,Defensive rebound by Team,98,92
4,4:48.0,,Z. LaVine makes 3-pt jump shot from 23 ft (assist by R. Lopez),98,95
