QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DENVER_ACTION,MEMPHIS_SCORE,DENVER_SCORE
1,4:22.0,,M. Morris misses 2-pt jump shot from 19 ft,12,14
1,4:18.0,Defensive rebound by J. Noah,,12,14
1,4:02.0,K. Anderson misses 2-pt hook shot from 5 ft,,12,14
1,4:01.0,Offensive rebound by S. Mack,,12,14
1,4:01.0,O. Casspi enters the game for K. Anderson,,12,14
1,4:01.0,,M. Beasley enters the game for T. Craig,12,14
1,3:54.0,J. Green misses 3-pt jump shot from 24 ft,,12,14
1,3:50.0,,Defensive rebound by M. Morris,12,14
1,3:42.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by N. Jokić),12,17
1,3:18.0,O. Casspi misses 2-pt layup from 4 ft (block by J. Hernangómez),,12,17
1,3:15.0,,Defensive rebound by M. Morris,12,17
1,3:13.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by M. Morris),12,20
1,3:12.0,Memphis full timeout,,12,20
1,2:57.0,,Violation by Team (kicked ball),12,20
1,2:48.0,M. Brooks makes 2-pt jump shot from 11 ft,,14,20
1,2:23.0,,N. Jokić makes 2-pt jump shot from 20 ft,14,22
1,2:02.0,M. Brooks makes 2-pt jump shot from 16 ft,,16,22
1,1:47.0,,M. Morris makes 2-pt jump shot from 8 ft,16,24
1,1:28.0,M. Brooks makes 2-pt jump shot from 10 ft,,18,24
1,1:08.0,,N. Jokić makes 2-pt jump shot from 5 ft (assist by M. Beasley),18,26
1,0:47.0,O. Casspi makes 2-pt jump shot from 6 ft,,20,26
1,0:36.0,,T. Lyles misses 3-pt jump shot from 25 ft,20,26
1,0:33.0,Defensive rebound by J. Green,,20,26
1,0:15.0,M. Brooks makes 2-pt layup from 3 ft,,22,26
1,0:05.0,,Personal take foul by S. Mack (drawn by M. Morris),22,26
1,0:05.0,J. Jackson enters the game for J. Noah,,22,26
1,0:05.0,,T. Lydon enters the game for J. Hernangómez,22,26
1,0:05.0,,M. Plumlee enters the game for N. Jokić,22,26
1,0:01.0,,M. Beasley misses 3-pt jump shot from 25 ft,22,26
1,0:00.0,Defensive rebound by J. Green,,22,26
2,11:50.0,Personal foul by T. Lydon (drawn by O. Casspi),,22,26
2,11:38.0,O. Casspi makes 2-pt layup from 2 ft (assist by S. Mack),,24,26
2,11:22.0,,M. Morris misses 2-pt jump shot from 8 ft,24,26
2,11:21.0,,Offensive rebound by M. Plumlee,24,26
2,11:11.0,,M. Beasley misses 2-pt layup from 3 ft,24,26
2,11:09.0,Defensive rebound by O. Casspi,,24,26
2,10:47.0,J. Jackson makes 2-pt layup from 3 ft,,26,26
2,10:33.0,,T. Lyles misses 3-pt jump shot from 25 ft,26,26
2,10:30.0,Defensive rebound by O. Casspi,,26,26
2,10:28.0,Turnover by O. Casspi (bad pass; steal by T. Lyles),,26,26
2,10:22.0,,M. Beasley makes 2-pt dunk from 1 ft,26,28
2,10:12.0,Personal foul by M. Beasley (drawn by M. Brooks),,26,28
2,10:12.0,M. Conley enters the game for M. Brooks,,26,28
2,9:56.0,S. Mack makes 2-pt layup from 2 ft,,28,28
2,9:55.0,,Denver full timeout,28,28
2,9:55.0,,T. Craig enters the game for M. Beasley,28,28
2,9:55.0,,J. Murray enters the game for T. Lydon,28,28
2,9:36.0,,T. Lyles misses 2-pt jump shot from 5 ft,28,28
2,9:35.0,,Offensive rebound by T. Lyles,28,28
2,9:34.0,,T. Lyles makes 2-pt layup from 1 ft,28,30
2,9:17.0,O. Casspi makes 2-pt layup from 3 ft (assist by J. Jackson),,30,30
2,9:04.0,,T. Lyles makes 2-pt jump shot from 5 ft (assist by M. Morris),30,32
2,8:42.0,S. Mack makes 2-pt jump shot from 11 ft (assist by M. Gasol),,32,32
2,8:26.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),32,34
2,8:03.0,S. Mack makes 3-pt jump shot from 26 ft,,35,34
2,7:46.0,,T. Lyles makes 2-pt jump shot from 7 ft,35,36
2,7:46.0,,Shooting foul by M. Conley (drawn by T. Lyles),35,36
2,7:46.0,J. Green enters the game for J. Jackson,,35,36
2,7:46.0,G. Temple enters the game for S. Mack,,35,36
2,7:46.0,,T. Lyles makes free throw 1 of 1,35,37
2,7:33.0,Turnover by M. Conley (bad pass; steal by J. Murray),,35,37
2,7:29.0,,T. Craig makes 2-pt dunk from 2 ft (assist by J. Murray),35,39
2,7:29.0,Memphis full timeout,,35,39
2,7:29.0,,N. Jokić enters the game for T. Lyles,35,39
2,7:15.0,Shooting foul by N. Jokić (drawn by M. Conley),,35,39
2,7:15.0,M. Conley makes free throw 1 of 2,,36,39
2,7:15.0,M. Conley makes free throw 2 of 2,,37,39
2,7:03.0,,J. Murray makes 2-pt layup from 5 ft (assist by M. Plumlee),37,41
2,6:50.0,Shooting foul by M. Plumlee (drawn by J. Green),,37,41
2,6:50.0,J. Green makes free throw 1 of 2,,38,41
2,6:50.0,K. Anderson enters the game for O. Casspi,,38,41
2,6:50.0,J. Green makes free throw 2 of 2,,39,41
2,6:37.0,,Turnover by M. Plumlee (offensive foul),39,41
2,6:37.0,,Offensive foul by M. Plumlee (drawn by M. Conley),39,41
2,6:37.0,,J. Hernangómez enters the game for M. Morris,39,41
2,6:19.0,M. Conley misses 3-pt jump shot from 25 ft,,39,41
2,6:16.0,,Defensive rebound by M. Plumlee,39,41
2,6:01.0,,N. Jokić makes 2-pt jump shot from 4 ft,39,43
2,5:37.0,M. Conley makes 3-pt jump shot from 24 ft,,42,43
2,5:20.0,,Personal foul by M. Conley (drawn by T. Craig),42,43
2,5:20.0,S. Mack enters the game for M. Conley,,42,43
2,5:20.0,J. Noah enters the game for J. Green,,42,43
2,5:15.0,,J. Murray misses 2-pt jump shot from 12 ft,42,43
2,5:10.0,,Offensive rebound by M. Plumlee,42,43
2,5:10.0,,M. Plumlee makes 2-pt dunk from 1 ft,42,45
2,4:47.0,S. Mack makes 3-pt jump shot from 27 ft (assist by M. Gasol),,45,45
2,4:28.0,,T. Craig misses 3-pt jump shot from 24 ft,45,45
2,4:25.0,,Offensive rebound by M. Plumlee,45,45
2,4:23.0,,N. Jokić misses 2-pt jump shot from 23 ft,45,45
2,4:23.0,Defensive rebound by J. Noah,,45,45
2,4:08.0,Turnover by J. Noah (bad pass; steal by N. Jokić),,45,45
2,4:01.0,,N. Jokić makes 2-pt layup from 2 ft,45,47
2,3:47.0,S. Mack misses 2-pt layup from 4 ft (block by J. Murray),,45,47
2,3:44.0,,Defensive rebound by M. Plumlee,45,47
2,3:32.0,,T. Craig misses 2-pt jump shot from 23 ft,45,47
2,3:28.0,Defensive rebound by M. Gasol,,45,47
2,3:21.0,K. Anderson misses 2-pt jump shot from 16 ft,,45,47
2,3:19.0,,Defensive rebound by J. Hernangómez,45,47
2,3:14.0,,J. Murray misses 3-pt jump shot from 25 ft,45,47
2,3:11.0,,Offensive rebound by N. Jokić,45,47
2,3:00.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Murray),45,49
2,2:50.0,Memphis full timeout,,45,49
2,2:50.0,J. Green enters the game for M. Gasol,,45,49
2,2:50.0,,T. Lyles enters the game for M. Plumlee,45,49
2,2:43.0,G. Temple misses 3-pt jump shot from 25 ft,,45,49
2,2:40.0,,Defensive rebound by T. Lyles,45,49
2,2:37.0,,Turnover by N. Jokić (offensive foul),45,49
2,2:37.0,,Offensive foul by N. Jokić (drawn by J. Green),45,49
2,2:37.0,M. Conley enters the game for S. Mack,,45,49
2,2:18.0,J. Green misses 3-pt jump shot from 22 ft,,45,49
2,2:16.0,,Defensive rebound by T. Lyles,45,49
2,2:08.0,,Shooting foul by J. Noah (drawn by N. Jokić),45,49
2,2:08.0,,N. Jokić makes free throw 1 of 2,45,50
2,2:08.0,,N. Jokić makes free throw 2 of 2,45,51
2,1:50.0,K. Anderson misses 2-pt layup from 2 ft,,45,51
2,1:50.0,Offensive rebound by Team,,45,51
2,1:40.0,K. Anderson misses 3-pt jump shot from 25 ft,,45,51
2,1:36.0,,Defensive rebound by N. Jokić,45,51
2,1:21.0,,Shooting foul by G. Temple (drawn by N. Jokić),45,51
2,1:21.0,,N. Jokić makes free throw 1 of 2,45,52
2,1:21.0,,N. Jokić makes free throw 2 of 2,45,53
2,1:01.0,M. Conley misses 3-pt jump shot from 24 ft,,45,53
2,0:58.0,,Defensive rebound by J. Hernangómez,45,53
2,0:49.0,,Turnover by T. Lyles (lost ball; steal by M. Conley),45,53
2,0:44.0,J. Green makes 2-pt layup from 2 ft (assist by M. Conley),,47,53
2,0:33.0,,J. Murray makes 2-pt jump shot from 21 ft,47,55
2,0:15.0,K. Anderson makes 3-pt jump shot from 23 ft (assist by M. Conley),,50,55
2,0:03.0,,N. Jokić misses 2-pt jump shot from 7 ft (block by K. Anderson),50,55
2,0:03.0,,Offensive rebound by N. Jokić,50,55
2,0:02.0,,Turnover by N. Jokić (bad pass),50,55
2,0:02.0,,M. Morris enters the game for N. Jokić,50,55
2,0:02.0,,T. Welsh enters the game for J. Murray,50,55
2,0:00.0,M. Conley misses 3-pt jump shot from 34 ft,,50,55
2,0:00.0,Offensive rebound by Team,,50,55
3,11:45.0,K. Anderson misses 2-pt layup from 3 ft (block by J. Hernangómez),,50,55
3,11:41.0,,Defensive rebound by N. Jokić,50,55
3,11:38.0,,T. Craig makes 2-pt layup from 1 ft (assist by N. Jokić),50,57
3,11:24.0,G. Temple makes 2-pt layup from 2 ft (assist by K. Anderson),,52,57
3,11:05.0,,Shooting foul by K. Anderson (drawn by J. Hernangómez),52,57
3,11:05.0,,J. Hernangómez makes free throw 1 of 3,52,58
3,11:05.0,,J. Hernangómez makes free throw 2 of 3,52,59
3,11:05.0,,J. Hernangómez misses free throw 3 of 3,52,59
3,11:03.0,Defensive rebound by G. Temple,,52,59
3,10:40.0,J. Jackson misses 2-pt hook shot from 3 ft,,52,59
3,10:38.0,,Defensive rebound by J. Hernangómez,52,59
3,10:25.0,,Turnover by J. Hernangómez (lost ball; steal by K. Anderson),52,59
3,10:21.0,K. Anderson makes 2-pt layup from 2 ft,,54,59
3,10:06.0,,T. Craig misses 3-pt jump shot from 23 ft,54,59
3,10:04.0,Defensive rebound by G. Temple,,54,59
3,9:47.0,Shooting foul by T. Craig (drawn by M. Conley),,54,59
3,9:47.0,M. Conley makes free throw 1 of 2,,55,59
3,9:47.0,M. Conley makes free throw 2 of 2,,56,59
3,9:25.0,,N. Jokić makes 2-pt hook shot from 5 ft,56,61
3,9:01.0,J. Jackson makes 2-pt dunk from 1 ft,,58,61
3,8:45.0,,M. Plumlee misses 2-pt dunk from 2 ft,58,61
3,8:42.0,Defensive rebound by J. Jackson,,58,61
3,8:27.0,M. Gasol makes 2-pt jump shot from 15 ft (assist by G. Temple),,60,61
3,8:25.0,,Denver full timeout,60,61
3,8:08.0,,Turnover by J. Hernangómez (bad pass; steal by K. Anderson),60,61
3,8:01.0,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),,63,61
3,7:34.0,,M. Plumlee makes 2-pt hook shot from 7 ft,63,63
3,7:15.0,Personal foul by J. Hernangómez (drawn by M. Gasol),,63,63
3,7:06.0,G. Temple makes 3-pt jump shot from 25 ft (assist by M. Gasol),,66,63
3,6:48.0,,T. Craig misses 3-pt jump shot from 25 ft,66,63
3,6:45.0,Defensive rebound by K. Anderson,,66,63
3,6:43.0,M. Conley makes 2-pt layup from 2 ft (assist by K. Anderson),,68,63
3,6:43.0,Shooting foul by J. Murray (drawn by K. Anderson),,68,63
3,6:43.0,,T. Lyles enters the game for J. Hernangómez,68,63
3,6:43.0,,M. Morris enters the game for M. Plumlee,68,63
3,6:43.0,M. Conley makes free throw 1 of 1,,69,63
3,6:31.0,,J. Murray makes 2-pt jump shot from 9 ft,69,65
3,6:19.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),,72,65
3,6:17.0,,Denver full timeout,72,65
3,6:17.0,S. Mack enters the game for M. Conley,,72,65
3,5:57.0,,N. Jokić makes 2-pt hook shot from 3 ft,72,67
3,5:57.0,,Shooting foul by M. Gasol (drawn by N. Jokić),72,67
3,5:57.0,,N. Jokić misses free throw 1 of 1,72,67
3,5:57.0,Defensive rebound by K. Anderson,,72,67
3,5:46.0,Personal foul by T. Craig (drawn by K. Anderson),,72,67
3,5:46.0,,M. Beasley enters the game for T. Craig,72,67
3,5:39.0,Turnover by M. Gasol (bad pass; steal by M. Morris),,72,67
3,5:35.0,,M. Morris makes 2-pt layup from 1 ft,72,69
3,5:13.0,M. Gasol misses 2-pt layup from 4 ft,,72,69
3,5:11.0,,Defensive rebound by N. Jokić,72,69
3,4:58.0,,N. Jokić makes 2-pt jump shot from 13 ft (assist by M. Beasley),72,71
3,4:35.0,K. Anderson makes 2-pt layup from 2 ft (assist by M. Gasol),,74,71
3,4:22.0,,M. Morris makes 2-pt jump shot from 11 ft (assist by N. Jokić),74,73
3,4:06.0,J. Jackson misses 3-pt jump shot from 23 ft,,74,73
3,4:02.0,,Defensive rebound by T. Lyles,74,73
3,3:57.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by M. Beasley),74,76
3,3:57.0,Memphis full timeout,,74,76
3,3:57.0,O. Casspi enters the game for K. Anderson,,74,76
3,3:57.0,J. Green enters the game for J. Jackson,,74,76
3,3:41.0,Turnover by J. Green (bad pass; steal by T. Lyles),,74,76
3,3:21.0,,M. Beasley makes 2-pt layup from 3 ft (assist by M. Morris),74,78
3,3:02.0,Turnover by M. Gasol (bad pass; steal by N. Jokić),,74,78
3,2:57.0,,M. Beasley misses 2-pt layup from 3 ft,74,78
3,2:54.0,,Offensive rebound by T. Lyles,74,78
3,2:54.0,,T. Lyles misses 2-pt layup at rim,74,78
3,2:53.0,Defensive rebound by G. Temple,,74,78
3,2:51.0,Personal foul by M. Morris (drawn by O. Casspi),,74,78
3,2:51.0,O. Casspi makes free throw 1 of 2,,75,78
3,2:51.0,J. Noah enters the game for M. Gasol,,75,78
3,2:51.0,O. Casspi misses free throw 2 of 2,,75,78
3,2:48.0,,Defensive rebound by T. Lyles,75,78
3,2:33.0,,M. Beasley misses 3-pt jump shot from 25 ft,75,78
3,2:30.0,Defensive rebound by J. Noah,,75,78
3,2:22.0,J. Noah makes 2-pt dunk from 1 ft (assist by S. Mack),,77,78
3,2:05.0,,T. Lyles misses 3-pt jump shot from 25 ft,77,78
3,2:01.0,Defensive rebound by O. Casspi,,77,78
3,1:58.0,G. Temple makes 2-pt layup from 2 ft (assist by O. Casspi),,79,78
3,1:43.0,,M. Morris makes 2-pt jump shot from 6 ft (assist by N. Jokić),79,80
3,1:25.0,Shooting foul by N. Jokić (drawn by J. Green),,79,80
3,1:25.0,M. Conley enters the game for G. Temple,,79,80
3,1:25.0,,J. Hernangómez enters the game for N. Jokić,79,80
3,1:25.0,,M. Plumlee enters the game for J. Murray,79,80
3,1:25.0,J. Green makes free throw 1 of 2,,80,80
3,1:25.0,J. Green makes free throw 2 of 2,,81,80
3,1:10.0,,T. Lyles makes 2-pt layup from 2 ft,81,82
3,0:51.0,S. Mack misses 3-pt jump shot from 23 ft,,81,82
3,0:49.0,Offensive rebound by J. Green,,81,82
3,0:45.0,J. Green makes 2-pt jump shot from 16 ft (assist by O. Casspi),,83,82
3,0:36.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by M. Morris),83,84
3,0:27.0,J. Green misses 2-pt dunk from 2 ft (block by M. Plumlee),,83,84
3,0:24.0,,Defensive rebound by M. Morris,83,84
3,0:07.0,,Personal take foul by S. Mack (drawn by M. Morris),83,84
3,0:07.0,G. Temple enters the game for M. Conley,,83,84
3,0:02.0,,Turnover by M. Morris (bad pass),83,84
4,11:41.0,,M. Plumlee misses 2-pt layup from 4 ft,83,84
4,11:38.0,Defensive rebound by J. Noah,,83,84
4,11:20.0,O. Casspi makes 2-pt dunk from 1 ft (assist by M. Conley),,85,84
4,11:03.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by J. Hernangómez),85,87
4,10:50.0,J. Green misses 3-pt jump shot from 23 ft,,85,87
4,10:47.0,,Defensive rebound by T. Lyles,85,87
4,10:39.0,,J. Hernangómez misses 3-pt jump shot from 27 ft,85,87
4,10:36.0,Defensive rebound by J. Green,,85,87
4,10:20.0,Offensive foul by O. Casspi (drawn by M. Plumlee),,85,87
4,10:20.0,Turnover by O. Casspi (offensive foul),,85,87
4,10:11.0,,T. Lyles misses 3-pt jump shot from 24 ft,85,87
4,10:07.0,Defensive rebound by S. Mack,,85,87
4,9:52.0,S. Mack misses 2-pt layup from 1 ft,,85,87
4,9:52.0,,Defensive rebound by Team,85,87
4,9:32.0,,Turnover by T. Lyles (bad pass; steal by J. Noah),85,87
4,9:21.0,M. Conley misses 3-pt jump shot from 26 ft,,85,87
4,9:17.0,,Defensive rebound by M. Morris,85,87
4,9:00.0,,T. Lyles misses 2-pt layup from 4 ft (block by J. Noah),85,87
4,8:56.0,Defensive rebound by M. Conley,,85,87
4,8:49.0,O. Casspi makes 3-pt jump shot from 23 ft (assist by M. Conley),,88,87
4,8:29.0,,M. Morris misses 3-pt jump shot from 25 ft,88,87
4,8:27.0,Defensive rebound by J. Green,,88,87
4,8:27.0,Memphis full timeout,,88,87
4,8:27.0,M. Gasol enters the game for M. Conley,,88,87
4,8:27.0,J. Jackson enters the game for J. Green,,88,87
4,8:27.0,G. Temple enters the game for J. Noah,,88,87
4,8:27.0,,N. Jokić enters the game for M. Beasley,88,87
4,8:27.0,,J. Murray enters the game for T. Lyles,88,87
4,8:06.0,Shooting foul by M. Plumlee (drawn by S. Mack),,88,87
4,8:06.0,S. Mack makes free throw 1 of 2,,89,87
4,8:06.0,S. Mack makes free throw 2 of 2,,90,87
4,7:50.0,,Shooting foul by J. Jackson (drawn by M. Plumlee),90,87
4,7:50.0,,M. Plumlee makes free throw 1 of 2,90,88
4,7:50.0,,M. Plumlee misses free throw 2 of 2,90,88
4,7:47.0,Defensive rebound by O. Casspi,,90,88
4,7:28.0,J. Jackson misses 3-pt jump shot from 25 ft,,90,88
4,7:25.0,,Defensive rebound by N. Jokić,90,88
4,7:18.0,,J. Murray misses 3-pt jump shot from 25 ft,90,88
4,7:14.0,Defensive rebound by O. Casspi,,90,88
4,7:02.0,S. Mack makes 2-pt jump shot from 9 ft,,92,88
4,7:00.0,Violation by Team (delay of game),,92,88
4,6:46.0,,Turnover by J. Murray (bad pass; steal by J. Jackson),92,88
4,6:33.0,Turnover by J. Jackson (lost ball; steal by J. Murray),,92,88
4,6:22.0,,Turnover by J. Hernangómez (lost ball; steal by J. Jackson),92,88
4,6:07.0,O. Casspi misses 3-pt jump shot from 26 ft (block by J. Murray),,92,88
4,6:02.0,Offensive rebound by O. Casspi,,92,88
4,6:01.0,Turnover by O. Casspi (lost ball; steal by J. Murray),,92,88
4,6:01.0,,Shooting foul by M. Gasol (drawn by J. Murray),92,88
4,6:01.0,,J. Murray makes free throw 1 of 2,92,89
4,6:01.0,K. Anderson enters the game for O. Casspi,,92,89
4,6:01.0,M. Conley enters the game for S. Mack,,92,89
4,6:01.0,,J. Murray makes free throw 2 of 2,92,90
4,5:39.0,M. Conley misses 2-pt jump shot from 10 ft,,92,90
4,5:35.0,,Defensive rebound by M. Plumlee,92,90
4,5:22.0,,M. Morris makes 3-pt jump shot from 22 ft (assist by N. Jokić),92,93
4,4:56.0,K. Anderson misses 2-pt jump shot from 7 ft,,92,93
4,4:54.0,,Defensive rebound by M. Morris,92,93
4,4:39.0,,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by J. Murray),92,96
4,4:38.0,Memphis full timeout,,92,96
4,4:38.0,J. Green enters the game for J. Jackson,,92,96
4,4:21.0,Shooting foul by J. Hernangómez (drawn by M. Gasol),,92,96
4,4:21.0,M. Gasol makes free throw 1 of 2,,93,96
4,4:21.0,M. Gasol makes free throw 2 of 2,,94,96
4,3:57.0,,J. Murray makes 2-pt layup from 1 ft,94,98
4,3:44.0,M. Conley makes 2-pt jump shot from 10 ft (assist by M. Gasol),,96,98
4,3:44.0,Shooting foul by J. Murray (drawn by M. Conley),,96,98
4,3:44.0,M. Conley makes free throw 1 of 1,,97,98
4,3:20.0,,M. Morris misses 2-pt jump shot from 7 ft,97,98
4,3:17.0,Defensive rebound by M. Gasol,,97,98
4,3:04.0,G. Temple misses 3-pt jump shot from 25 ft,,97,98
4,2:59.0,Offensive rebound by J. Green,,97,98
4,2:59.0,J. Green misses 2-pt layup from 1 ft,,97,98
4,2:58.0,,Defensive rebound by N. Jokić,97,98
4,2:47.0,,Personal foul by K. Anderson (drawn by J. Hernangómez),97,98
4,2:34.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,97,98
4,2:33.0,,Offensive rebound by Team,97,98
4,2:32.0,,Turnover by Team (shot clock),97,98
4,2:15.0,M. Gasol misses 3-pt jump shot from 25 ft,,97,98
4,2:12.0,,Defensive rebound by N. Jokić,97,98
4,1:54.0,,N. Jokić misses 2-pt layup from 2 ft,97,98
4,1:54.0,,Offensive rebound by N. Jokić,97,98
4,1:54.0,,N. Jokić makes 2-pt layup from 5 ft,97,100
4,1:33.0,M. Conley misses 2-pt jump shot from 10 ft,,97,100
4,1:30.0,,Defensive rebound by J. Hernangómez,97,100
4,1:14.0,,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),97,102
4,1:14.0,Memphis full timeout,,97,102
4,1:07.0,J. Green misses 2-pt layup from 2 ft (block by M. Plumlee),,97,102
4,1:04.0,,Defensive rebound by M. Morris,97,102
4,0:52.0,,N. Jokić misses 2-pt jump shot from 7 ft,97,102
4,0:50.0,Defensive rebound by J. Green,,97,102
4,0:45.0,Turnover by G. Temple (bad pass; steal by M. Plumlee),,97,102
4,0:43.0,,Personal take foul by G. Temple (drawn by J. Murray),97,102
4,0:42.0,,Personal foul by G. Temple (drawn by J. Murray),97,102
4,0:42.0,,J. Murray misses free throw 1 of 2,97,102
4,0:42.0,,Offensive rebound by Team,97,102
4,0:42.0,,T. Craig enters the game for M. Morris,97,102
4,0:42.0,,J. Murray makes free throw 2 of 2,97,103
4,0:34.0,G. Temple misses 3-pt jump shot from 25 ft,,97,103
4,0:32.0,Offensive rebound by J. Green,,97,103
4,0:32.0,J. Green makes 2-pt layup from 2 ft,,99,103
4,0:32.0,,Denver full timeout,99,103
4,0:32.0,,M. Morris enters the game for T. Craig,99,103
4,0:23.0,,Personal foul by G. Temple (drawn by J. Hernangómez),99,103
4,0:23.0,,J. Hernangómez makes free throw 1 of 2,99,104
4,0:23.0,,T. Craig enters the game for M. Morris,99,104
4,0:23.0,,J. Hernangómez makes free throw 2 of 2,99,105
4,0:17.0,M. Conley misses 3-pt jump shot from 28 ft,,99,105
4,0:14.0,,Defensive rebound by M. Plumlee,99,105
