QUARTER,TIME_REMAINING,ATLANTA_ACTION,GOLDEN STATE_ACTION,ATLANTA_SCORE,GOLDEN STATE_SCORE
1,8:13.0,T. Prince makes 2-pt jump shot from 19 ft,,4,4
1,7:52.0,,Q. Cook misses 3-pt jump shot from 27 ft,4,4
1,7:50.0,,Offensive rebound by J. Jerebko,4,4
1,7:47.0,,J. Jerebko misses 3-pt jump shot from 23 ft,4,4
1,7:45.0,Defensive rebound by T. Prince,,4,4
1,7:38.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Prince),,6,4
1,7:26.0,,J. Jerebko makes 3-pt jump shot from 22 ft (assist by K. Thompson),6,7
1,7:15.0,T. Young misses 3-pt jump shot from 28 ft,,6,7
1,7:14.0,,Defensive rebound by Q. Cook,6,7
1,6:51.0,,K. Durant makes 2-pt layup from 1 ft (assist by Q. Cook),6,9
1,6:37.0,Turnover by T. Young (bad pass; steal by D. Jones),,6,9
1,6:36.0,,Golden State full timeout,6,9
1,6:36.0,V. Carter enters the game for K. Bazemore,,6,9
1,6:36.0,K. Huerter enters the game for A. Len,,6,9
1,6:36.0,M. Plumlee enters the game for O. Spellman,,6,9
1,6:20.0,,K. Durant makes 2-pt jump shot from 10 ft,6,11
1,6:05.0,V. Carter makes 3-pt jump shot from 26 ft (assist by T. Young),,9,11
1,5:51.0,,J. Jerebko misses 3-pt jump shot from 26 ft,9,11
1,5:49.0,Defensive rebound by T. Prince,,9,11
1,5:45.0,V. Carter makes 3-pt jump shot from 23 ft (assist by T. Prince),,12,11
1,5:35.0,,Def 3 sec tech foul by Team,12,11
1,5:35.0,,K. Durant makes technical free throw,12,12
1,5:35.0,,K. Looney enters the game for J. Jerebko,12,12
1,5:35.0,,A. McKinnie enters the game for D. Jones,12,12
1,5:16.0,,K. Thompson misses 2-pt jump shot from 19 ft,12,12
1,5:15.0,Defensive rebound by T. Prince,,12,12
1,5:06.0,Shooting foul by A. McKinnie (drawn by M. Plumlee),,12,12
1,5:06.0,M. Plumlee makes free throw 1 of 2,,13,12
1,5:06.0,M. Plumlee misses free throw 2 of 2,,13,12
1,5:05.0,,Defensive rebound by K. Durant,13,12
1,4:55.0,,Turnover by Q. Cook (lost ball; steal by T. Young),13,12
1,4:44.0,T. Young misses 3-pt jump shot from 31 ft,,13,12
1,4:42.0,,Defensive rebound by K. Thompson,13,12
1,4:34.0,,K. Thompson misses 2-pt jump shot from 13 ft,13,12
1,4:33.0,Defensive rebound by T. Young,,13,12
1,4:27.0,Turnover by T. Young (lost ball; steal by K. Thompson),,13,12
1,4:22.0,,Q. Cook misses 3-pt jump shot from 26 ft,13,12
1,4:21.0,Defensive rebound by T. Young,,13,12
1,4:02.0,K. Huerter misses 2-pt jump shot from 18 ft,,13,12
1,4:01.0,,Defensive rebound by K. Looney,13,12
1,3:52.0,,Shooting foul by T. Young (drawn by K. Durant),13,12
1,3:52.0,,K. Durant makes free throw 1 of 2,13,13
1,3:52.0,D. Bembry enters the game for T. Prince,,13,13
1,3:52.0,J. Lin enters the game for T. Young,,13,13
1,3:52.0,,A. Iguodala enters the game for K. Thompson,13,13
1,3:52.0,,K. Durant makes free throw 2 of 2,13,14
1,3:30.0,D. Bembry misses 3-pt jump shot from 24 ft (block by K. Durant),,13,14
1,3:28.0,,Defensive rebound by A. Iguodala,13,14
1,3:14.0,,Q. Cook makes 3-pt jump shot from 27 ft (assist by A. Iguodala),13,17
1,2:55.0,Turnover by J. Lin (bad pass; steal by A. McKinnie),,13,17
1,2:39.0,,K. Durant misses 2-pt jump shot from 12 ft,13,17
1,2:38.0,Defensive rebound by V. Carter,,13,17
1,2:33.0,Turnover by K. Huerter (bad pass),,13,17
1,2:33.0,Atlanta full timeout,,13,17
1,2:33.0,K. Bazemore enters the game for V. Carter,,13,17
1,2:33.0,A. Poythress enters the game for K. Huerter,,13,17
1,2:33.0,O. Spellman enters the game for M. Plumlee,,13,17
1,2:33.0,,S. Livingston enters the game for Q. Cook,13,17
1,2:16.0,,Shooting foul by J. Lin (drawn by K. Looney),13,17
1,2:16.0,,K. Looney misses free throw 1 of 2,13,17
1,2:16.0,,Offensive rebound by Team,13,17
1,2:16.0,,K. Looney makes free throw 2 of 2,13,18
1,2:07.0,Personal foul by S. Livingston (drawn by J. Lin),,13,18
1,2:02.0,J. Lin misses 2-pt layup from 3 ft (block by K. Looney),,13,18
1,2:01.0,,Defensive rebound by K. Durant,13,18
1,1:53.0,,K. Durant makes 2-pt jump shot from 11 ft,13,20
1,1:35.0,K. Bazemore makes 2-pt jump shot from 5 ft (assist by J. Lin),,15,20
1,1:19.0,,Turnover by K. Durant (bad pass; steal by J. Lin),15,20
1,1:16.0,Personal foul by K. Durant (drawn by D. Bembry),,15,20
1,1:16.0,D. Bembry makes free throw 1 of 2,,16,20
1,1:16.0,D. Bembry makes free throw 2 of 2,,17,20
1,0:58.0,,S. Livingston misses 2-pt jump shot from 14 ft,17,20
1,0:56.0,Defensive rebound by A. Poythress,,17,20
1,0:45.0,D. Bembry makes 3-pt jump shot from 26 ft (assist by K. Bazemore),,20,20
1,0:30.0,,A. Iguodala misses 2-pt jump shot from 21 ft,20,20
1,0:29.0,Defensive rebound by K. Bazemore,,20,20
1,0:11.0,K. Bazemore makes 3-pt jump shot from 27 ft,,23,20
1,0:03.0,,K. Durant misses 3-pt jump shot from 28 ft,23,20
1,0:00.0,,Offensive rebound by K. Looney,23,20
2,11:39.0,,S. Livingston misses 2-pt jump shot from 12 ft,23,20
2,11:38.0,,Offensive rebound by J. Jerebko,23,20
2,11:38.0,,J. Jerebko misses 2-pt layup from 3 ft,23,20
2,11:37.0,Defensive rebound by A. Len,,23,20
2,11:26.0,D. Bembry misses 2-pt jump shot from 12 ft,,23,20
2,11:25.0,,Defensive rebound by A. Iguodala,23,20
2,11:17.0,,Turnover by A. Iguodala (bad pass; steal by D. Bembry),23,20
2,11:14.0,K. Bazemore misses 2-pt layup from 2 ft,,23,20
2,11:13.0,Offensive rebound by J. Lin,,23,20
2,11:06.0,Personal foul by J. Jerebko (drawn by J. Lin),,23,20
2,10:54.0,D. Bembry makes 2-pt layup from 3 ft (assist by J. Lin),,25,20
2,10:54.0,Shooting foul by J. Bell (drawn by D. Bembry),,25,20
2,10:54.0,D. Bembry makes free throw 1 of 1,,26,20
2,10:43.0,,K. Thompson misses 2-pt jump shot from 18 ft,26,20
2,10:42.0,,Offensive rebound by J. Bell,26,20
2,10:36.0,,J. Bell makes 2-pt layup from 1 ft,26,22
2,10:30.0,K. Bazemore misses 2-pt layup from 4 ft,,26,22
2,10:29.0,,Defensive rebound by J. Jerebko,26,22
2,10:23.0,,J. Jerebko makes 3-pt jump shot from 27 ft (assist by S. Livingston),26,25
2,10:07.0,J. Lin misses 3-pt jump shot from 27 ft,,26,25
2,10:04.0,,Defensive rebound by Team,26,25
2,10:04.0,Loose ball foul by A. Poythress (drawn by J. Bell),,26,25
2,9:52.0,,Shooting foul by A. Len (drawn by J. Bell),26,25
2,9:52.0,,J. Bell makes free throw 1 of 2,26,26
2,9:52.0,V. Carter enters the game for A. Poythress,,26,26
2,9:52.0,,J. Bell makes free throw 2 of 2,26,27
2,9:35.0,K. Bazemore misses 2-pt layup from 4 ft (block by J. Bell),,26,27
2,9:34.0,Offensive rebound by Team,,26,27
2,9:34.0,T. Prince enters the game for D. Bembry,,26,27
2,9:34.0,Turnover by (5 sec),,26,27
2,9:22.0,,Personal foul by K. Bazemore (drawn by K. Thompson),26,27
2,9:14.0,,J. Jerebko makes 2-pt jump shot from 13 ft (assist by K. Thompson),26,29
2,8:51.0,A. Len makes free throw 1 of 2,,27,29
2,8:51.0,Shooting foul by A. Iguodala (drawn by A. Len),,27,29
2,8:51.0,T. Young enters the game for J. Lin,,27,29
2,8:51.0,A. Len makes free throw 2 of 2,,28,29
2,8:34.0,,J. Bell makes 2-pt dunk from 1 ft (assist by A. Iguodala),28,31
2,8:12.0,A. Len misses 2-pt jump shot from 11 ft,,28,31
2,8:11.0,,Defensive rebound by J. Jerebko,28,31
2,7:58.0,,K. Thompson misses 3-pt jump shot from 26 ft,28,31
2,7:56.0,Defensive rebound by V. Carter,,28,31
2,7:45.0,T. Young misses 3-pt jump shot from 27 ft,,28,31
2,7:43.0,,Defensive rebound by K. Thompson,28,31
2,7:35.0,,S. Livingston misses 2-pt jump shot from 10 ft,28,31
2,7:34.0,Defensive rebound by T. Young,,28,31
2,7:26.0,K. Bazemore misses 3-pt jump shot from 23 ft,,28,31
2,7:24.0,,Defensive rebound by J. Bell,28,31
2,7:19.0,,Personal foul by K. Bazemore (drawn by S. Livingston),28,31
2,7:19.0,,Golden State full timeout,28,31
2,7:19.0,K. Huerter enters the game for K. Bazemore,,28,31
2,7:19.0,,Q. Cook enters the game for A. Iguodala,28,31
2,7:19.0,,A. McKinnie enters the game for J. Jerebko,28,31
2,7:13.0,,K. Thompson makes 2-pt jump shot from 10 ft (assist by S. Livingston),28,33
2,7:00.0,Personal foul by Q. Cook (drawn by A. Len),,28,33
2,6:55.0,V. Carter misses 3-pt jump shot from 26 ft,,28,33
2,6:53.0,,Defensive rebound by K. Thompson,28,33
2,6:39.0,,K. Thompson misses 2-pt jump shot from 18 ft,28,33
2,6:38.0,Defensive rebound by V. Carter,,28,33
2,6:24.0,T. Prince makes 3-pt jump shot from 26 ft,,31,33
2,6:05.0,,J. Bell misses 2-pt jump shot from 17 ft,31,33
2,6:04.0,Defensive rebound by V. Carter,,31,33
2,5:56.0,T. Young misses 2-pt jump shot from 7 ft (block by J. Bell),,31,33
2,5:54.0,,Defensive rebound by K. Thompson,31,33
2,5:49.0,,K. Thompson makes 3-pt jump shot from 28 ft,31,36
2,5:46.0,Atlanta full timeout,,31,36
2,5:46.0,,K. Durant enters the game for J. Bell,31,36
2,5:46.0,,K. Looney enters the game for S. Livingston,31,36
2,5:30.0,V. Carter makes 2-pt hook shot from 8 ft,,33,36
2,5:13.0,,Q. Cook makes 2-pt jump shot from 19 ft (assist by K. Durant),33,38
2,5:00.0,T. Young makes 2-pt layup from 5 ft,,35,38
2,4:49.0,,K. Thompson misses 2-pt jump shot from 12 ft,35,38
2,4:48.0,Defensive rebound by V. Carter,,35,38
2,4:40.0,K. Huerter makes 2-pt layup from 2 ft (assist by V. Carter),,37,38
2,4:22.0,,Turnover by Q. Cook (bad pass; steal by T. Young),37,38
2,4:17.0,T. Prince makes 3-pt jump shot from 23 ft (assist by T. Young),,40,38
2,3:54.0,,A. McKinnie makes 3-pt jump shot from 25 ft (assist by Q. Cook),40,41
2,3:36.0,A. Len makes 2-pt layup from 3 ft (assist by V. Carter),,42,41
2,3:25.0,,K. Durant misses 2-pt jump shot from 18 ft,42,41
2,3:23.0,Defensive rebound by Team,,42,41
2,3:23.0,,A. Iguodala enters the game for K. Thompson,42,41
2,3:07.0,A. Len makes 2-pt layup from 3 ft (assist by T. Prince),,44,41
2,3:07.0,Shooting foul by K. Looney (drawn by A. Len),,44,41
2,3:07.0,A. Len misses free throw 1 of 1,,44,41
2,3:06.0,,Defensive rebound by A. McKinnie,44,41
2,2:56.0,,Personal foul by T. Young (drawn by K. Durant),44,41
2,2:56.0,,K. Durant makes free throw 1 of 2,44,42
2,2:56.0,,K. Durant makes free throw 2 of 2,44,43
2,2:43.0,T. Young misses 2-pt jump shot from 6 ft,,44,43
2,2:42.0,,Defensive rebound by Q. Cook,44,43
2,2:37.0,,Q. Cook misses 2-pt jump shot from 11 ft,44,43
2,2:36.0,Defensive rebound by K. Huerter,,44,43
2,2:31.0,T. Young misses 2-pt layup from 2 ft (block by K. Looney),,44,43
2,2:29.0,,Defensive rebound by A. McKinnie,44,43
2,2:22.0,,K. Durant misses 2-pt jump shot from 9 ft,44,43
2,2:21.0,,Offensive rebound by A. McKinnie,44,43
2,2:21.0,,A. McKinnie misses 2-pt layup from 1 ft,44,43
2,2:20.0,,Offensive rebound by Q. Cook,44,43
2,2:12.0,,Q. Cook makes 2-pt layup from 4 ft,44,45
2,1:59.0,V. Carter misses 3-pt jump shot from 22 ft,,44,45
2,1:57.0,Offensive rebound by V. Carter,,44,45
2,1:52.0,T. Prince makes 3-pt jump shot from 25 ft (assist by T. Young),,47,45
2,1:35.0,,Turnover by K. Durant (bad pass; steal by K. Huerter),47,45
2,1:30.0,Turnover by K. Huerter (bad pass; steal by K. Looney),,47,45
2,1:26.0,,K. Durant makes 2-pt layup from 2 ft (assist by A. Iguodala),47,47
2,1:26.0,Atlanta full timeout,,47,47
2,1:26.0,,J. Bell enters the game for K. Looney,47,47
2,1:26.0,,K. Thompson enters the game for A. McKinnie,47,47
2,1:21.0,Turnover by V. Carter (bad pass),,47,47
2,1:01.0,,A. Iguodala misses 2-pt hook shot from 6 ft,47,47
2,1:00.0,Defensive rebound by K. Huerter,,47,47
2,0:54.0,T. Young makes 2-pt layup from 2 ft (assist by V. Carter),,49,47
2,0:36.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by A. Iguodala),49,49
2,0:29.0,V. Carter makes 3-pt jump shot from 24 ft (assist by T. Young),,52,49
2,0:10.0,,Turnover by J. Bell (step out of bounds),52,49
2,0:10.0,,A. McKinnie enters the game for Q. Cook,52,49
2,0:04.0,T. Young misses 3-pt jump shot from 28 ft,,52,49
2,0:01.0,,Defensive rebound by A. Iguodala,52,49
3,11:43.0,,Q. Cook misses 2-pt jump shot from 18 ft,52,49
3,11:42.0,,Offensive rebound by D. Jones,52,49
3,11:38.0,,Golden State full timeout,52,49
3,11:36.0,,K. Durant misses 3-pt jump shot from 26 ft,52,49
3,11:34.0,Defensive rebound by O. Spellman,,52,49
3,11:25.0,Violation by Team (kicked ball),,52,49
3,11:19.0,,K. Durant misses 2-pt layup from 3 ft,52,49
3,11:18.0,Defensive rebound by K. Bazemore,,52,49
3,11:12.0,A. Len makes 2-pt layup from 3 ft (assist by T. Young),,54,49
3,10:53.0,,Q. Cook makes 2-pt jump shot from 21 ft (assist by D. Jones),54,51
3,10:25.0,Turnover by Team (shot clock),,54,51
3,10:13.0,,K. Thompson misses 2-pt jump shot from 21 ft,54,51
3,10:12.0,Defensive rebound by A. Len,,54,51
3,10:02.0,K. Bazemore makes 2-pt jump shot from 9 ft,,56,51
3,9:46.0,,K. Durant makes 2-pt jump shot from 15 ft (assist by J. Jerebko),56,53
3,9:35.0,A. Len makes 2-pt dunk from 2 ft (assist by T. Young),,58,53
3,9:14.0,,Q. Cook makes 2-pt layup from 4 ft (assist by J. Jerebko),58,55
3,9:04.0,Turnover by T. Young (bad pass; steal by K. Thompson),,58,55
3,9:02.0,,Flagrant foul type 1 by A. Len (drawn by K. Thompson),58,55
3,9:02.0,,K. Thompson makes flagrant free throw 1 of 2,58,56
3,9:02.0,,K. Thompson makes flagrant free throw 2 of 2,58,57
3,8:53.0,,K. Durant makes 2-pt jump shot from 8 ft,58,59
3,8:37.0,K. Bazemore misses 2-pt layup from 4 ft,,58,59
3,8:36.0,Offensive rebound by Team,,58,59
3,8:31.0,K. Bazemore makes 2-pt dunk from 2 ft,,60,59
3,8:17.0,,K. Durant misses 2-pt jump shot from 20 ft,60,59
3,8:13.0,Defensive rebound by O. Spellman,,60,59
3,8:06.0,T. Young misses 3-pt jump shot from 27 ft,,60,59
3,8:05.0,,Defensive rebound by J. Jerebko,60,59
3,7:56.0,,Q. Cook misses 2-pt jump shot from 17 ft,60,59
3,7:51.0,,Offensive rebound by D. Jones,60,59
3,7:49.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by Q. Cook),60,62
3,7:34.0,T. Prince misses 3-pt jump shot from 26 ft,,60,62
3,7:31.0,,Defensive rebound by D. Jones,60,62
3,7:23.0,,Q. Cook makes 3-pt jump shot from 23 ft (assist by K. Thompson),60,65
3,7:23.0,Atlanta full timeout,,60,65
3,7:23.0,V. Carter enters the game for A. Len,,60,65
3,7:23.0,K. Huerter enters the game for T. Prince,,60,65
3,7:23.0,J. Lin enters the game for T. Young,,60,65
3,7:09.0,Personal foul by K. Durant (drawn by J. Lin),,60,65
3,7:01.0,V. Carter misses 2-pt jump shot from 18 ft,,60,65
3,7:00.0,,Defensive rebound by K. Durant,60,65
3,6:49.0,,Personal foul by J. Lin (drawn by D. Jones),60,65
3,6:46.0,,Offensive foul by D. Jones (drawn by K. Bazemore),60,65
3,6:46.0,,Turnover by D. Jones (offensive foul),60,65
3,6:23.0,K. Huerter misses 2-pt jump shot from 7 ft (block by D. Jones),,60,65
3,6:22.0,Offensive rebound by O. Spellman,,60,65
3,6:22.0,Turnover by Team (shot clock),,60,65
3,6:10.0,,J. Jerebko makes 3-pt jump shot from 26 ft (assist by K. Thompson),60,68
3,5:56.0,O. Spellman misses 3-pt jump shot from 26 ft,,60,68
3,5:54.0,,Defensive rebound by J. Jerebko,60,68
3,5:46.0,,D. Jones makes 2-pt dunk from 1 ft (assist by K. Durant),60,70
3,5:43.0,Atlanta full timeout,,60,70
3,5:43.0,D. Bembry enters the game for K. Bazemore,,60,70
3,5:43.0,M. Plumlee enters the game for O. Spellman,,60,70
3,5:34.0,K. Huerter misses 2-pt jump shot from 7 ft,,60,70
3,5:30.0,,Defensive rebound by J. Jerebko,60,70
3,5:10.0,,K. Thompson misses 2-pt jump shot from 20 ft,60,70
3,5:05.0,,Offensive rebound by Q. Cook,60,70
3,5:04.0,,K. Durant misses 3-pt jump shot from 26 ft,60,70
3,5:02.0,Defensive rebound by Team,,60,70
3,5:02.0,T. Prince enters the game for K. Huerter,,60,70
3,4:51.0,T. Prince makes 3-pt jump shot from 23 ft (assist by M. Plumlee),,63,70
3,4:33.0,,J. Jerebko makes 3-pt jump shot from 26 ft (assist by K. Durant),63,73
3,4:15.0,M. Plumlee makes 2-pt hook shot from 8 ft,,65,73
3,4:02.0,,K. Durant misses 2-pt jump shot from 8 ft,65,73
3,3:59.0,,Offensive rebound by J. Jerebko,65,73
3,3:57.0,,Q. Cook misses 3-pt jump shot from 26 ft,65,73
3,3:55.0,Defensive rebound by Team,,65,73
3,3:55.0,A. Poythress enters the game for V. Carter,,65,73
3,3:55.0,,A. Iguodala enters the game for J. Jerebko,65,73
3,3:55.0,,K. Looney enters the game for D. Jones,65,73
3,3:55.0,,A. McKinnie enters the game for K. Thompson,65,73
3,3:40.0,T. Prince makes 2-pt jump shot from 21 ft,,67,73
3,3:14.0,,A. Iguodala makes 3-pt jump shot from 24 ft (assist by Q. Cook),67,76
3,3:05.0,J. Lin makes 2-pt layup from 2 ft,,69,76
3,2:47.0,,K. Durant misses 2-pt jump shot from 9 ft,69,76
3,2:46.0,Defensive rebound by J. Lin,,69,76
3,2:41.0,J. Lin misses 3-pt jump shot from 28 ft,,69,76
3,2:39.0,Offensive rebound by A. Poythress,,69,76
3,2:34.0,A. Poythress misses 2-pt layup from 5 ft,,69,76
3,2:33.0,Offensive rebound by D. Bembry,,69,76
3,2:29.0,A. Poythress misses 3-pt jump shot from 24 ft,,69,76
3,2:27.0,,Defensive rebound by A. McKinnie,69,76
3,2:11.0,,Q. Cook makes 2-pt jump shot from 12 ft,69,78
3,1:51.0,T. Prince misses 2-pt jump shot from 9 ft,,69,78
3,1:49.0,,Defensive rebound by Team,69,78
3,1:49.0,T. Young enters the game for J. Lin,,69,78
3,1:49.0,,S. Livingston enters the game for Q. Cook,69,78
3,1:37.0,,Turnover by A. McKinnie (bad pass; steal by D. Bembry),69,78
3,1:33.0,D. Bembry makes 2-pt dunk from 1 ft,,71,78
3,1:16.0,,Shooting foul by A. Poythress (drawn by K. Durant),71,78
3,1:16.0,,K. Durant makes free throw 1 of 2,71,79
3,1:16.0,,K. Durant makes free throw 2 of 2,71,80
3,1:05.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by T. Young),,73,80
3,0:45.0,,A. McKinnie misses 2-pt layup from 3 ft (block by M. Plumlee),73,80
3,0:44.0,Defensive rebound by T. Young,,73,80
3,0:37.0,T. Prince misses 3-pt jump shot from 23 ft,,73,80
3,0:35.0,M. Plumlee misses 2-pt dunk from 1 ft,,73,80
3,0:35.0,Offensive rebound by M. Plumlee,,73,80
3,0:34.0,,Defensive rebound by K. Durant,73,80
3,0:25.0,,K. Durant makes 2-pt layup from 2 ft (assist by K. Looney),73,82
3,0:05.0,Personal foul by K. Looney (drawn by M. Plumlee),,73,82
3,0:03.0,D. Bembry makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,76,82
4,11:37.0,Offensive foul by T. Prince (drawn by K. Looney),,76,82
4,11:37.0,Turnover by T. Prince (offensive foul),,76,82
4,11:29.0,,K. Thompson makes 2-pt jump shot from 21 ft (assist by K. Looney),76,84
4,11:03.0,D. Bembry misses 2-pt hook shot from 9 ft,,76,84
4,11:01.0,,Defensive rebound by Team,76,84
4,10:53.0,,Offensive foul by K. Looney (drawn by D. Bembry),76,84
4,10:53.0,,Turnover by K. Looney (offensive foul),76,84
4,10:41.0,M. Plumlee misses 2-pt dunk from 3 ft,,76,84
4,10:40.0,,Defensive rebound by S. Livingston,76,84
4,10:36.0,,S. Livingston misses 2-pt layup from 2 ft,76,84
4,10:35.0,,Offensive rebound by A. Iguodala,76,84
4,10:29.0,,A. Iguodala makes 2-pt dunk at rim,76,86
4,10:25.0,Personal foul by J. Jerebko (drawn by A. Poythress),,76,86
4,10:25.0,A. Len enters the game for M. Plumlee,,76,86
4,10:14.0,A. Poythress makes 2-pt dunk from 3 ft (assist by D. Bembry),,78,86
4,9:51.0,,K. Looney misses 2-pt jump shot from 6 ft (block by D. Bembry),78,86
4,9:50.0,,Offensive rebound by K. Looney,78,86
4,9:49.0,,K. Looney makes 2-pt dunk from 1 ft,78,88
4,9:49.0,,Shooting foul by A. Len (drawn by K. Looney),78,88
4,9:49.0,,K. Looney makes free throw 1 of 1,78,89
4,9:40.0,T. Young misses 2-pt jump shot from 8 ft,,78,89
4,9:39.0,Offensive rebound by A. Poythress,,78,89
4,9:34.0,A. Poythress makes 2-pt layup from 1 ft,,80,89
4,9:30.0,,S. Livingston misses 2-pt jump shot from 11 ft,80,89
4,9:26.0,Defensive rebound by A. Poythress,,80,89
4,9:21.0,T. Prince misses 2-pt layup from 4 ft,,80,89
4,9:20.0,,Defensive rebound by A. Iguodala,80,89
4,9:18.0,,Turnover by A. Iguodala (lost ball; steal by D. Bembry),80,89
4,9:15.0,T. Prince misses 3-pt jump shot from 26 ft,,80,89
4,9:13.0,,Defensive rebound by J. Jerebko,80,89
4,9:03.0,,S. Livingston makes 2-pt layup from 1 ft (assist by A. Iguodala),80,91
4,8:38.0,T. Prince makes 2-pt layup from 4 ft (assist by T. Young),,82,91
4,8:25.0,,A. Iguodala makes 3-pt jump shot from 26 ft (assist by K. Looney),82,94
4,8:08.0,Turnover by D. Bembry (bad pass),,82,94
4,8:08.0,,J. Bell enters the game for K. Looney,82,94
4,7:55.0,,Shooting foul by D. Bembry (drawn by K. Thompson),82,94
4,7:55.0,,K. Thompson makes free throw 1 of 3,82,95
4,7:55.0,,K. Thompson makes free throw 2 of 3,82,96
4,7:55.0,K. Bazemore enters the game for D. Bembry,,82,96
4,7:55.0,J. Lin enters the game for T. Young,,82,96
4,7:55.0,,K. Thompson makes free throw 3 of 3,82,97
4,7:45.0,J. Lin makes 3-pt jump shot from 26 ft (assist by A. Len),,85,97
4,7:28.0,,J. Jerebko misses 3-pt jump shot from 24 ft,85,97
4,7:26.0,Defensive rebound by A. Poythress,,85,97
4,7:12.0,J. Lin misses 3-pt jump shot from 26 ft,,85,97
4,7:10.0,,Defensive rebound by J. Jerebko,85,97
4,6:56.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by J. Bell),85,99
4,6:45.0,Shooting foul by J. Bell (drawn by T. Prince),,85,99
4,6:45.0,,Golden State full timeout,85,99
4,6:45.0,,Q. Cook enters the game for A. Iguodala,85,99
4,6:45.0,,K. Durant enters the game for J. Jerebko,85,99
4,6:45.0,,A. McKinnie enters the game for S. Livingston,85,99
4,6:45.0,T. Prince makes free throw 1 of 2,,86,99
4,6:45.0,T. Prince makes free throw 2 of 2,,87,99
4,6:31.0,,J. Bell misses 2-pt layup from 2 ft,87,99
4,6:29.0,Defensive rebound by A. Poythress,,87,99
4,6:23.0,Turnover by T. Prince (lost ball; steal by K. Durant),,87,99
4,6:00.0,,Q. Cook makes 2-pt jump shot from 16 ft,87,101
4,5:37.0,J. Lin makes 2-pt jump shot from 20 ft (assist by T. Prince),,89,101
4,5:11.0,,Q. Cook misses 2-pt jump shot from 19 ft,89,101
4,5:08.0,Defensive rebound by A. Poythress,,89,101
4,5:06.0,J. Lin makes 3-pt jump shot from 26 ft,,92,101
4,4:50.0,,K. Durant misses 2-pt jump shot from 8 ft,92,101
4,4:49.0,,Offensive rebound by Team,92,101
4,4:47.0,,K. Thompson makes 3-pt jump shot from 28 ft (assist by Q. Cook),92,104
4,4:37.0,K. Bazemore makes 2-pt layup from 2 ft,,94,104
4,4:37.0,Shooting foul by J. Bell (drawn by K. Bazemore),,94,104
4,4:37.0,,A. Iguodala enters the game for J. Bell,94,104
4,4:37.0,,D. Jones enters the game for A. McKinnie,94,104
4,4:37.0,K. Bazemore makes free throw 1 of 1,,95,104
