QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SACRAMENTO_ACTION,LA CLIPPERS_SCORE,SACRAMENTO_SCORE
3,8:53.0,,B. Bogdanović misses 2-pt jump shot from 11 ft,59,61
3,8:51.0,Defensive rebound by D. Gallinari,,59,61
3,8:41.0,Personal foul by B. Hield (drawn by S. Gilgeous-Alexander),,59,61
3,8:35.0,D. Gallinari makes 3-pt jump shot from 25 ft,,62,61
3,8:23.0,,B. Bogdanović misses 2-pt jump shot from 9 ft,62,61
3,8:20.0,Defensive rebound by I. Zubac,,62,61
3,8:11.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,,62,61
3,8:08.0,,Defensive rebound by W. Cauley-Stein,62,61
3,8:08.0,,Personal take foul by P. Beverley (drawn by B. Hield),62,61
3,8:08.0,,Sacramento full timeout,62,61
3,7:58.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),62,64
3,7:30.0,S. Gilgeous-Alexander makes 3-pt jump shot from 23 ft (assist by D. Gallinari),,65,64
3,7:12.0,,W. Cauley-Stein misses 2-pt layup from 4 ft (block by I. Zubac),65,64
3,7:09.0,Defensive rebound by P. Beverley,,65,64
3,7:05.0,P. Beverley misses 3-pt jump shot from 25 ft,,65,64
3,7:01.0,,Defensive rebound by D. Fox,65,64
3,6:56.0,,Turnover by B. Bogdanović (bad pass; steal by S. Gilgeous-Alexander),65,64
3,6:51.0,L. Shamet makes 3-pt jump shot from 24 ft (assist by S. Gilgeous-Alexander),,68,64
3,6:51.0,Shooting foul by H. Barnes (drawn by L. Shamet),,68,64
3,6:51.0,L. Shamet makes free throw 1 of 1,,69,64
3,6:43.0,,B. Hield misses 3-pt jump shot from 25 ft,69,64
3,6:39.0,Defensive rebound by L. Shamet,,69,64
3,6:33.0,I. Zubac makes 2-pt layup from 2 ft (assist by L. Shamet),,71,64
3,6:23.0,,Personal foul by P. Beverley (drawn by B. Hield),71,64
3,6:23.0,,C. Brewer enters the game for B. Bogdanović,71,64
3,6:16.0,,H. Barnes makes 2-pt jump shot from 18 ft (assist by W. Cauley-Stein),71,66
3,5:51.0,P. Beverley misses 2-pt jump shot from 7 ft,,71,66
3,5:49.0,Offensive rebound by I. Zubac,,71,66
3,5:48.0,I. Zubac makes 2-pt layup from 1 ft,,73,66
3,5:40.0,,W. Cauley-Stein makes 2-pt layup from 5 ft,73,68
3,5:25.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by P. Beverley),,76,68
3,5:24.0,,Sacramento full timeout,76,68
3,5:24.0,,H. Giles enters the game for W. Cauley-Stein,76,68
3,5:04.0,,H. Giles makes 2-pt layup from 1 ft (assist by H. Barnes),76,70
3,4:45.0,L. Shamet misses 3-pt jump shot from 23 ft,,76,70
3,4:43.0,,Defensive rebound by B. Hield,76,70
3,4:36.0,,H. Giles makes 2-pt layup from 2 ft,76,72
3,4:17.0,Shooting foul by D. Fox (drawn by L. Shamet),,76,72
3,4:17.0,L. Shamet makes free throw 1 of 2,,77,72
3,4:17.0,M. Harrell enters the game for I. Zubac,,77,72
3,4:17.0,L. Shamet makes free throw 2 of 2,,78,72
3,4:02.0,,H. Giles misses 2-pt jump shot from 8 ft (block by M. Harrell),78,72
3,3:59.0,Defensive rebound by D. Gallinari,,78,72
3,3:46.0,D. Gallinari misses 2-pt jump shot from 19 ft,,78,72
3,3:46.0,Offensive rebound by M. Harrell,,78,72
3,3:41.0,M. Harrell misses 2-pt jump shot from 3 ft,,78,72
3,3:39.0,Offensive rebound by P. Beverley,,78,72
3,3:29.0,M. Harrell misses 2-pt hook shot from 5 ft,,78,72
3,3:26.0,,Defensive rebound by D. Fox,78,72
3,3:24.0,,Shooting foul by P. Beverley (drawn by B. Hield),78,72
3,3:24.0,,B. Hield makes free throw 1 of 3,78,73
3,3:24.0,,B. Hield makes free throw 2 of 3,78,74
3,3:24.0,L. Williams enters the game for P. Beverley,,78,74
3,3:24.0,,N. Bjelica enters the game for H. Barnes,78,74
3,3:24.0,,Y. Ferrell enters the game for D. Fox,78,74
3,3:24.0,,B. Hield makes free throw 3 of 3,78,75
3,3:07.0,D. Gallinari makes 2-pt layup from 4 ft,,80,75
3,2:58.0,,B. Hield makes 2-pt jump shot from 22 ft,80,77
3,2:57.0,LA Clippers full timeout,,80,77
3,2:57.0,J. Green enters the game for D. Gallinari,,80,77
3,2:49.0,Turnover by M. Harrell (offensive foul),,80,77
3,2:49.0,Offensive foul by M. Harrell (drawn by C. Brewer),,80,77
3,2:49.0,G. Temple enters the game for L. Shamet,,80,77
3,2:33.0,,H. Giles misses 2-pt jump shot from 6 ft,80,77
3,2:28.0,Defensive rebound by J. Green,,80,77
3,2:25.0,L. Williams misses 2-pt layup from 9 ft,,80,77
3,2:21.0,,Defensive rebound by H. Giles,80,77
3,2:14.0,,B. Hield misses 3-pt jump shot from 25 ft,80,77
3,2:12.0,Defensive rebound by L. Williams,,80,77
3,2:11.0,Shooting foul by N. Bjelica (drawn by M. Harrell),,80,77
3,2:11.0,M. Harrell makes free throw 1 of 2,,81,77
3,2:11.0,M. Harrell misses free throw 2 of 2,,81,77
3,2:07.0,Offensive rebound by S. Gilgeous-Alexander,,81,77
3,2:04.0,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft (assist by G. Temple),,83,77
3,1:52.0,,Y. Ferrell misses 2-pt jump shot from 17 ft,83,77
3,1:49.0,Defensive rebound by L. Williams,,83,77
3,1:42.0,J. Green misses 2-pt layup from 2 ft (block by N. Bjelica),,83,77
3,1:38.0,,Defensive rebound by H. Giles,83,77
3,1:31.0,,B. Hield misses 2-pt layup from 2 ft,83,77
3,1:30.0,,Offensive rebound by H. Giles,83,77
3,1:30.0,,H. Giles misses 2-pt layup from 1 ft,83,77
3,1:30.0,,Offensive rebound by Team,83,77
3,1:30.0,Loose ball foul by S. Gilgeous-Alexander (drawn by Y. Ferrell),,83,77
3,1:29.0,,Personal foul by S. Gilgeous-Alexander (drawn by H. Giles),83,77
3,1:29.0,,Y. Ferrell makes free throw 1 of 2,83,78
3,1:29.0,,Y. Ferrell makes free throw 2 of 2,83,79
3,1:29.0,L. Shamet enters the game for S. Gilgeous-Alexander,,83,79
3,1:15.0,L. Williams misses 2-pt jump shot from 2 ft (block by N. Bjelica),,83,79
3,1:15.0,Offensive rebound by Team,,83,79
3,1:06.0,M. Harrell misses 2-pt layup from 2 ft,,83,79
3,1:04.0,,Turnover by Y. Ferrell (bad pass; steal by J. Green),83,79
3,1:05.0,,Defensive rebound by Y. Ferrell,83,79
3,1:01.0,J. Green misses 2-pt layup from 4 ft,,83,79
3,1:01.0,Offensive rebound by J. Green,,83,79
3,1:01.0,Shooting foul by B. Hield (drawn by J. Green),,83,79
3,1:01.0,J. Green misses free throw 1 of 2,,83,79
3,1:01.0,Offensive rebound by Team,,83,79
3,1:01.0,J. Green makes free throw 2 of 2,,84,79
3,0:40.0,,Personal foul by J. Green (drawn by H. Giles),84,79
3,0:40.0,,H. Giles misses free throw 1 of 2,84,79
3,0:40.0,,Offensive rebound by Team,84,79
3,0:40.0,,H. Giles makes free throw 2 of 2,84,80
3,0:33.0,L. Williams makes 2-pt jump shot from 10 ft,,86,80
3,0:33.0,Shooting foul by N. Bjelica (drawn by L. Williams),,86,80
3,0:33.0,L. Williams makes free throw 1 of 1,,87,80
3,0:17.0,,Personal foul by G. Temple (drawn by B. Hield),87,80
3,0:17.0,,B. Hield makes free throw 1 of 2,87,81
3,0:17.0,,H. Barnes enters the game for N. Bjelica,87,81
3,0:17.0,,B. Hield makes free throw 2 of 2,87,82
3,0:02.0,L. Williams misses 3-pt jump shot from 25 ft,,87,82
3,0:02.0,,Defensive rebound by Y. Ferrell,87,82
4,11:35.0,,A. Burks misses 3-pt jump shot from 24 ft,87,82
4,11:31.0,Defensive rebound by L. Shamet,,87,82
4,11:20.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by L. Williams),,90,82
4,11:14.0,,Personal foul by L. Shamet (drawn by B. Bogdanović),90,82
4,11:12.0,,Personal foul by G. Temple (drawn by B. Bogdanović),90,82
4,11:04.0,,B. Bogdanović misses 2-pt layup from 6 ft,90,82
4,11:01.0,Defensive rebound by J. Green,,90,82
4,10:56.0,L. Williams makes 2-pt layup from 2 ft,,92,82
4,10:37.0,,H. Giles misses 2-pt layup from 4 ft,92,82
4,10:34.0,,Offensive rebound by C. Brewer,92,82
4,10:33.0,,C. Brewer makes 2-pt layup from 2 ft,92,84
4,10:24.0,G. Temple misses 3-pt jump shot from 25 ft,,92,84
4,10:22.0,,Defensive rebound by H. Giles,92,84
4,10:14.0,,C. Brewer makes 2-pt layup from 2 ft (assist by H. Giles),92,86
4,9:58.0,J. Green makes 3-pt jump shot from 25 ft (assist by L. Williams),,95,86
4,9:39.0,,C. Brewer misses 3-pt jump shot from 24 ft,95,86
4,9:36.0,Defensive rebound by J. Green,,95,86
4,9:25.0,L. Shamet makes 2-pt jump shot from 8 ft,,97,86
4,9:21.0,,Sacramento full timeout,97,86
4,9:21.0,,W. Cauley-Stein enters the game for A. Burks,97,86
4,9:21.0,,D. Fox enters the game for H. Giles,97,86
4,9:03.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by H. Barnes),97,89
4,8:36.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by L. Williams),,100,89
4,8:22.0,,D. Fox makes 2-pt layup from 2 ft,100,91
