QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,LA CLIPPERS_ACTION,OKLAHOMA CITY_SCORE,LA CLIPPERS_SCORE
1,6:48.0,,Loose ball foul by I. Zubac (drawn by T. Ferguson),13,20
1,6:45.0,R. Westbrook makes 2-pt layup from 2 ft,,15,20
1,6:45.0,Shooting foul by S. Gilgeous-Alexander (drawn by R. Westbrook),,15,20
1,6:45.0,R. Westbrook makes free throw 1 of 1,,16,20
1,6:32.0,,L. Shamet misses 3-pt jump shot from 26 ft,16,20
1,6:30.0,,Offensive rebound by P. Beverley,16,20
1,6:17.0,,Shooting foul by P. George (drawn by D. Gallinari),16,20
1,6:17.0,,D. Gallinari makes free throw 1 of 2,16,21
1,6:17.0,J. Grant enters the game for P. George,,16,21
1,6:17.0,Technical foul by P. George,,16,21
1,6:17.0,,D. Gallinari makes technical free throw,16,22
1,6:17.0,,D. Gallinari makes free throw 2 of 2,16,23
1,6:08.0,J. Grant makes 2-pt dunk from 2 ft (assist by R. Westbrook),,18,23
1,5:56.0,,D. Gallinari makes 2-pt jump shot from 8 ft,18,25
1,5:56.0,,Shooting foul by J. Grant (drawn by D. Gallinari),18,25
1,5:56.0,,L. Williams enters the game for P. Beverley,18,25
1,5:56.0,,D. Gallinari makes free throw 1 of 1,18,26
1,5:44.0,R. Westbrook misses 3-pt jump shot from 27 ft,,18,26
1,5:42.0,,Defensive rebound by I. Zubac,18,26
1,5:38.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by L. Williams),18,28
1,5:26.0,R. Westbrook misses 3-pt jump shot from 26 ft,,18,28
1,5:26.0,Offensive rebound by S. Adams,,18,28
1,5:19.0,R. Westbrook makes 2-pt layup from 1 ft (assist by S. Adams),,20,28
1,5:08.0,,L. Williams makes 2-pt jump shot from 17 ft,20,30
1,4:58.0,D. Schröder misses 2-pt jump shot from 4 ft,,20,30
1,4:57.0,,Defensive rebound by I. Zubac,20,30
1,4:51.0,,L. Shamet misses 3-pt jump shot from 25 ft,20,30
1,4:48.0,Defensive rebound by S. Adams,,20,30
1,4:45.0,R. Westbrook makes 2-pt layup from 2 ft,,22,30
1,4:45.0,Shooting foul by S. Gilgeous-Alexander (drawn by R. Westbrook),,22,30
1,4:45.0,,LA Clippers full timeout,22,30
1,4:45.0,A. Nader enters the game for T. Ferguson,,22,30
1,4:45.0,,G. Temple enters the game for S. Gilgeous-Alexander,22,30
1,4:45.0,R. Westbrook makes free throw 1 of 1,,23,30
1,4:26.0,,L. Shamet misses 2-pt jump shot from 23 ft,23,30
1,4:23.0,Defensive rebound by A. Nader,,23,30
1,4:17.0,Shooting foul by L. Shamet (drawn by R. Westbrook),,23,30
1,4:17.0,R. Westbrook misses free throw 1 of 2,,23,30
1,4:17.0,Offensive rebound by Team,,23,30
1,4:17.0,,M. Harrell enters the game for L. Shamet,23,30
1,4:17.0,,T. Wallace enters the game for I. Zubac,23,30
1,4:17.0,R. Westbrook misses free throw 2 of 2,,23,30
1,4:16.0,Offensive rebound by Team,,23,30
1,4:10.0,R. Westbrook misses 3-pt jump shot from 27 ft,,23,30
1,4:09.0,Offensive rebound by Team,,23,30
1,4:09.0,N. Noel enters the game for S. Adams,,23,30
1,3:58.0,Personal foul by G. Temple (drawn by R. Westbrook),,23,30
1,3:58.0,R. Westbrook makes free throw 1 of 2,,24,30
1,3:58.0,R. Westbrook makes free throw 2 of 2,,25,30
1,3:46.0,,L. Williams misses 2-pt layup from 2 ft,25,30
1,3:44.0,Defensive rebound by A. Nader,,25,30
1,3:41.0,A. Nader misses 2-pt layup from 1 ft,,25,30
1,3:37.0,,Defensive rebound by T. Wallace,25,30
1,3:34.0,,G. Temple misses 2-pt jump shot from 16 ft,25,30
1,3:31.0,,Offensive rebound by G. Temple,25,30
1,3:26.0,,Turnover by L. Williams (bad pass),25,30
1,3:19.0,J. Grant misses 3-pt jump shot from 27 ft,,25,30
1,3:14.0,,Defensive rebound by T. Wallace,25,30
1,3:03.0,,T. Wallace misses 2-pt jump shot from 6 ft,25,30
1,3:02.0,Defensive rebound by N. Noel,,25,30
1,2:55.0,D. Schröder misses 3-pt jump shot from 26 ft,,25,30
1,2:52.0,,Defensive rebound by G. Temple,25,30
1,2:37.0,,M. Harrell makes 2-pt layup from 2 ft,25,32
1,2:28.0,R. Westbrook makes 3-pt jump shot from 27 ft (assist by N. Noel),,28,32
1,2:11.0,,L. Williams misses 2-pt jump shot from 3 ft,28,32
1,2:09.0,Defensive rebound by A. Nader,,28,32
1,1:49.0,D. Schröder misses 3-pt jump shot from 26 ft,,28,32
1,1:45.0,Offensive rebound by J. Grant,,28,32
1,1:44.0,Personal foul by M. Harrell (drawn by D. Schröder),,28,32
1,1:44.0,,Technical foul by M. Harrell,28,32
1,1:44.0,Technical foul by R. Westbrook,,28,32
1,1:44.0,M. Morris enters the game for J. Grant,,28,32
1,1:44.0,,J. Green enters the game for D. Gallinari,28,32
1,1:44.0,D. Schröder makes free throw 1 of 2,,29,32
1,1:44.0,P. George enters the game for R. Westbrook,,29,32
1,1:44.0,D. Schröder misses free throw 2 of 2,,29,32
1,1:41.0,,Defensive rebound by J. Green,29,32
1,1:26.0,,L. Williams misses 2-pt layup from 1 ft,29,32
1,1:23.0,Defensive rebound by D. Schröder,,29,32
1,1:21.0,D. Schröder makes 2-pt jump shot from 18 ft,,31,32
1,1:05.0,,M. Harrell makes 2-pt layup from 1 ft,31,34
1,0:53.0,D. Schröder misses 2-pt jump shot from 13 ft,,31,34
1,0:49.0,Offensive rebound by A. Nader,,31,34
1,0:46.0,Personal foul by J. Green (drawn by M. Morris),,31,34
1,0:46.0,M. Morris makes free throw 1 of 2,,32,34
1,0:46.0,,P. Beverley enters the game for T. Wallace,32,34
1,0:46.0,M. Morris misses free throw 2 of 2,,32,34
1,0:44.0,,Defensive rebound by L. Williams,32,34
1,0:40.0,,G. Temple misses 2-pt layup from 2 ft (block by A. Nader),32,34
1,0:36.0,Defensive rebound by N. Noel,,32,34
1,0:33.0,Personal foul by P. Beverley (drawn by P. George),,32,34
1,0:33.0,P. George misses free throw 1 of 2,,32,34
1,0:33.0,Offensive rebound by Team,,32,34
1,0:33.0,P. George misses free throw 2 of 2,,32,34
1,0:32.0,,Defensive rebound by J. Green,32,34
1,0:23.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by G. Temple),32,36
1,0:01.0,P. George misses 3-pt jump shot from 27 ft,,32,36
1,0:00.0,Offensive rebound by Team,,32,36
2,11:46.0,,Personal foul by N. Noel (drawn by M. Harrell),32,36
2,11:33.0,,M. Harrell misses 2-pt hook shot from 5 ft,32,36
2,11:32.0,Defensive rebound by M. Morris,,32,36
2,11:13.0,M. Morris misses 3-pt jump shot from 28 ft,,32,36
2,11:09.0,,Defensive rebound by M. Harrell,32,36
2,10:55.0,,J. Green misses 3-pt jump shot from 23 ft,32,36
2,10:52.0,Defensive rebound by N. Noel,,32,36
2,10:38.0,M. Morris misses 2-pt jump shot from 14 ft,,32,36
2,10:35.0,,Defensive rebound by M. Harrell,32,36
2,10:30.0,,Turnover by M. Harrell (lost ball; steal by A. Nader),32,36
2,10:24.0,D. Schröder misses 2-pt layup from 2 ft,,32,36
2,10:21.0,Offensive rebound by M. Morris,,32,36
2,10:21.0,M. Morris makes 2-pt layup at rim,,34,36
2,10:18.0,,Personal foul by N. Noel (drawn by M. Harrell),34,36
2,10:18.0,,S. Thornwell enters the game for P. Beverley,34,36
2,10:10.0,,G. Temple misses 3-pt jump shot from 26 ft,34,36
2,10:08.0,Defensive rebound by P. George,,34,36
2,10:01.0,Shooting foul by L. Williams (drawn by N. Noel),,34,36
2,10:01.0,N. Noel makes free throw 1 of 2,,35,36
2,10:01.0,N. Noel makes free throw 2 of 2,,36,36
2,9:49.0,Violation by Team (kicked ball),,36,36
2,9:43.0,,L. Williams makes 2-pt jump shot from 9 ft,36,38
2,9:43.0,,Shooting foul by A. Nader (drawn by L. Williams),36,38
2,9:43.0,,S. Gilgeous-Alexander enters the game for G. Temple,36,38
2,9:43.0,,L. Williams makes free throw 1 of 1,36,39
2,9:36.0,P. George misses 3-pt jump shot from 27 ft,,36,39
2,9:33.0,,Defensive rebound by M. Harrell,36,39
2,9:22.0,,L. Williams makes 2-pt layup from 1 ft (assist by M. Harrell),36,41
2,9:08.0,Shooting foul by M. Harrell (drawn by P. George),,36,41
2,9:08.0,P. George makes free throw 1 of 2,,37,41
2,9:08.0,P. George makes free throw 2 of 2,,38,41
2,8:59.0,,Shooting foul by N. Noel (drawn by L. Williams),38,41
2,8:59.0,,L. Williams makes free throw 1 of 2,38,42
2,8:59.0,,L. Williams misses free throw 2 of 2,38,42
2,8:57.0,Defensive rebound by M. Morris,,38,42
2,8:47.0,Personal foul by S. Thornwell (drawn by M. Morris),,38,42
2,8:47.0,R. Westbrook enters the game for P. George,,38,42
2,8:38.0,Personal foul by M. Harrell (drawn by M. Morris),,38,42
2,8:38.0,S. Adams enters the game for N. Noel,,38,42
2,8:38.0,,I. Zubac enters the game for M. Harrell,38,42
2,8:29.0,Turnover by D. Schröder (bad pass; steal by L. Williams),,38,42
2,8:22.0,,S. Gilgeous-Alexander misses 2-pt layup from 3 ft (block by A. Nader),38,42
2,8:20.0,Defensive rebound by A. Nader,,38,42
2,8:16.0,D. Schröder misses 3-pt jump shot from 24 ft,,38,42
2,8:12.0,,Defensive rebound by J. Green,38,42
2,8:08.0,,S. Thornwell misses 3-pt jump shot from 23 ft,38,42
2,8:06.0,Defensive rebound by M. Morris,,38,42
2,7:50.0,Turnover by S. Adams (bad pass; steal by L. Williams),,38,42
2,7:46.0,,L. Williams makes 2-pt layup from 3 ft,38,44
2,7:31.0,R. Westbrook makes 2-pt jump shot from 14 ft,,40,44
2,7:21.0,,L. Williams makes 2-pt layup from 1 ft,40,46
2,7:01.0,Shooting foul by S. Gilgeous-Alexander (drawn by D. Schröder),,40,46
2,7:01.0,T. Ferguson enters the game for A. Nader,,40,46
2,7:01.0,,D. Gallinari enters the game for S. Gilgeous-Alexander,40,46
2,7:01.0,,T. Wallace enters the game for J. Green,40,46
2,7:01.0,D. Schröder makes free throw 1 of 2,,41,46
2,7:01.0,D. Schröder makes free throw 2 of 2,,42,46
2,6:55.0,Violation by Team (kicked ball),,42,46
2,6:55.0,,LA Clippers full timeout,42,46
2,6:55.0,,L. Shamet enters the game for S. Thornwell,42,46
2,6:40.0,,D. Gallinari makes 2-pt jump shot from 14 ft,42,48
2,6:28.0,M. Morris makes 2-pt layup from 1 ft (assist by R. Westbrook),,44,48
2,6:11.0,,D. Gallinari misses 3-pt jump shot from 26 ft,44,48
2,6:10.0,Defensive rebound by R. Westbrook,,44,48
2,6:08.0,Personal foul by I. Zubac (drawn by S. Adams),,44,48
2,6:08.0,S. Adams misses free throw 1 of 2,,44,48
2,6:08.0,Offensive rebound by Team,,44,48
2,6:08.0,P. George enters the game for M. Morris,,44,48
2,6:08.0,J. Grant enters the game for D. Schröder,,44,48
2,6:08.0,S. Adams misses free throw 2 of 2,,44,48
2,6:05.0,,Defensive rebound by I. Zubac,44,48
2,5:41.0,,L. Williams makes 2-pt jump shot from 5 ft,44,50
2,5:36.0,P. George misses 2-pt jump shot from 5 ft,,44,50
2,5:36.0,,Defensive rebound by Team,44,50
2,5:20.0,,Turnover by T. Wallace (bad pass),44,50
2,5:20.0,,P. Beverley enters the game for T. Wallace,44,50
2,5:12.0,R. Westbrook makes 2-pt layup from 4 ft,,46,50
2,5:04.0,,L. Williams makes 2-pt layup from 2 ft,46,52
2,4:50.0,T. Ferguson misses 2-pt layup from 2 ft (block by I. Zubac),,46,52
2,4:47.0,,Defensive rebound by L. Shamet,46,52
2,4:45.0,,D. Gallinari makes 2-pt dunk from 2 ft (assist by L. Shamet),46,54
2,4:45.0,Oklahoma City full timeout,,46,54
2,4:34.0,P. George misses 3-pt jump shot from 27 ft,,46,54
2,4:29.0,,Defensive rebound by L. Shamet,46,54
2,4:10.0,,D. Gallinari makes 2-pt jump shot from 4 ft (assist by L. Williams),46,56
2,3:51.0,J. Grant misses 3-pt jump shot from 24 ft,,46,56
2,3:49.0,Offensive rebound by P. George,,46,56
2,3:49.0,P. George makes 2-pt layup from 1 ft,,48,56
2,3:35.0,,I. Zubac makes 2-pt hook shot from 1 ft (assist by L. Williams),48,58
2,3:19.0,T. Ferguson misses 3-pt jump shot from 27 ft,,48,58
2,3:16.0,,Defensive rebound by D. Gallinari,48,58
2,3:01.0,,P. Beverley misses 3-pt jump shot from 26 ft,48,58
2,3:00.0,,Offensive rebound by D. Gallinari,48,58
2,2:55.0,,D. Gallinari misses 2-pt layup from 2 ft,48,58
2,2:53.0,,Offensive rebound by P. Beverley,48,58
2,2:52.0,,L. Shamet makes 3-pt jump shot from 27 ft (assist by P. Beverley),48,61
2,2:40.0,R. Westbrook misses 3-pt jump shot from 26 ft,,48,61
2,2:39.0,,Defensive rebound by P. Beverley,48,61
2,2:35.0,,Personal foul by R. Westbrook (drawn by L. Shamet),48,61
2,2:35.0,,L. Shamet makes free throw 1 of 2,48,62
2,2:35.0,D. Schröder enters the game for T. Ferguson,,48,62
2,2:35.0,,L. Shamet misses free throw 2 of 2,48,62
2,2:32.0,Defensive rebound by R. Westbrook,,48,62
2,2:24.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,51,62
2,2:07.0,,L. Williams misses 2-pt jump shot from 7 ft,51,62
2,2:06.0,Defensive rebound by P. George,,51,62
2,1:58.0,P. George misses 3-pt jump shot from 28 ft (block by P. Beverley),,51,62
2,1:54.0,,Defensive rebound by L. Shamet,51,62
2,1:51.0,,P. Beverley misses 3-pt jump shot from 23 ft,51,62
2,1:48.0,,Offensive rebound by D. Gallinari,51,62
2,1:48.0,,D. Gallinari misses 2-pt layup from 2 ft (block by R. Westbrook),51,62
2,1:48.0,,Offensive rebound by Team,51,62
2,1:36.0,,D. Gallinari misses 3-pt jump shot from 27 ft,51,62
2,1:36.0,Defensive rebound by R. Westbrook,,51,62
2,1:36.0,Personal foul by D. Gallinari (drawn by J. Grant),,51,62
2,1:36.0,J. Grant misses free throw 1 of 2,,51,62
2,1:36.0,Offensive rebound by Team,,51,62
2,1:36.0,J. Grant makes free throw 2 of 2,,52,62
2,1:20.0,,Personal foul by P. George (drawn by D. Gallinari),52,62
2,1:20.0,,D. Gallinari misses free throw 1 of 2,52,62
2,1:20.0,,Offensive rebound by Team,52,62
2,1:20.0,,G. Temple enters the game for P. Beverley,52,62
2,1:20.0,,D. Gallinari makes free throw 2 of 2,52,63
2,1:11.0,S. Adams makes 2-pt dunk from 2 ft (assist by R. Westbrook),,54,63
2,1:07.0,,Turnover by I. Zubac (bad pass),54,63
2,1:01.0,D. Schröder misses 3-pt jump shot from 26 ft,,54,63
2,0:58.0,Offensive rebound by D. Schröder,,54,63
2,0:57.0,D. Schröder makes 2-pt jump shot from 14 ft,,56,63
2,0:50.0,,Personal foul by S. Adams (drawn by L. Williams),56,63
2,0:50.0,,L. Williams makes free throw 1 of 2,56,64
2,0:50.0,,L. Williams makes free throw 2 of 2,56,65
2,0:36.0,J. Grant misses 2-pt layup from 2 ft,,56,65
2,0:33.0,Offensive rebound by S. Adams,,56,65
2,0:33.0,S. Adams misses 2-pt layup at rim,,56,65
2,0:32.0,,Defensive rebound by L. Williams,56,65
2,0:30.0,,L. Williams makes 3-pt jump shot from 27 ft,56,68
2,0:22.0,P. George misses 2-pt layup from 1 ft,,56,68
2,0:20.0,,Defensive rebound by I. Zubac,56,68
2,0:06.0,,L. Williams misses 3-pt jump shot from 25 ft,56,68
2,0:04.0,Defensive rebound by P. George,,56,68
2,0:01.0,P. George misses 3-pt jump shot from 40 ft,,56,68
2,0:00.0,Offensive rebound by Team,,56,68
3,11:40.0,,P. Beverley misses 3-pt jump shot from 27 ft,56,68
3,11:39.0,Defensive rebound by Team,,56,68
3,11:26.0,R. Westbrook misses 3-pt jump shot from 24 ft,,56,68
3,11:22.0,Offensive rebound by S. Adams,,56,68
3,11:18.0,T. Ferguson misses 3-pt jump shot from 27 ft,,56,68
3,11:18.0,,Defensive rebound by P. Beverley,56,68
3,11:04.0,,L. Shamet misses 3-pt jump shot from 28 ft,56,68
3,11:03.0,,Offensive rebound by Team,56,68
3,11:03.0,Loose ball foul by R. Westbrook (drawn by P. Beverley),,56,68
3,10:58.0,,Offensive foul by I. Zubac (drawn by J. Grant),56,68
3,10:58.0,,Turnover by I. Zubac (offensive foul),56,68
3,10:36.0,J. Grant makes 2-pt dunk from 2 ft (assist by P. George),,58,68
3,10:29.0,,Personal foul by P. George (drawn by P. Beverley),58,68
3,10:14.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by D. Gallinari),58,70
3,9:54.0,J. Grant makes 2-pt layup from 2 ft (assist by T. Ferguson),,60,70
3,9:37.0,,Personal foul by J. Grant (drawn by D. Gallinari),60,70
3,9:20.0,,D. Gallinari misses 2-pt jump shot from 18 ft,60,70
3,9:18.0,Defensive rebound by P. George,,60,70
3,9:13.0,Turnover by P. George (lost ball; steal by P. Beverley),,60,70
3,9:11.0,,Shooting foul by R. Westbrook (drawn by I. Zubac),60,70
3,9:11.0,,I. Zubac misses free throw 1 of 2,60,70
3,9:11.0,,Offensive rebound by Team,60,70
3,9:11.0,,I. Zubac misses free throw 2 of 2,60,70
3,9:08.0,Defensive rebound by T. Ferguson,,60,70
3,9:01.0,Personal foul by I. Zubac (drawn by S. Adams),,60,70
3,8:58.0,R. Westbrook makes 2-pt jump shot from 12 ft,,62,70
3,8:58.0,Shooting foul by S. Gilgeous-Alexander (drawn by R. Westbrook),,62,70
3,8:58.0,R. Westbrook makes free throw 1 of 1,,63,70
3,8:43.0,,Shooting foul by S. Adams (drawn by D. Gallinari),63,70
3,8:43.0,,D. Gallinari misses free throw 1 of 2,63,70
3,8:43.0,,Offensive rebound by Team,63,70
3,8:43.0,,D. Gallinari makes free throw 2 of 2,63,71
3,8:28.0,T. Ferguson misses 3-pt jump shot from 23 ft,,63,71
3,8:23.0,Offensive rebound by S. Adams,,63,71
3,8:15.0,P. George makes 3-pt jump shot from 26 ft,,66,71
3,7:59.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by S. Gilgeous-Alexander),66,73
3,7:47.0,R. Westbrook makes 2-pt jump shot from 13 ft,,68,73
3,7:37.0,,Personal foul by R. Westbrook (drawn by S. Gilgeous-Alexander),68,73
3,7:37.0,,S. Gilgeous-Alexander makes free throw 1 of 2,68,74
3,7:37.0,Oklahoma City full timeout,,68,74
3,7:37.0,D. Schröder enters the game for R. Westbrook,,68,74
3,7:37.0,,S. Gilgeous-Alexander makes free throw 2 of 2,68,75
3,7:25.0,Turnover by P. George (lost ball; steal by S. Gilgeous-Alexander),,68,75
3,7:20.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,68,77
3,7:02.0,J. Grant misses 3-pt jump shot from 26 ft,,68,77
3,6:59.0,Offensive rebound by S. Adams,,68,77
3,6:57.0,T. Ferguson misses 3-pt jump shot from 26 ft,,68,77
3,6:57.0,,Defensive rebound by P. Beverley,68,77
3,6:39.0,,D. Gallinari misses 2-pt jump shot from 16 ft,68,77
3,6:37.0,Defensive rebound by J. Grant,,68,77
3,6:27.0,P. George misses 3-pt jump shot from 25 ft,,68,77
3,6:24.0,,Defensive rebound by I. Zubac,68,77
3,6:15.0,,L. Shamet makes 2-pt layup from 2 ft (assist by I. Zubac),68,79
3,6:02.0,D. Schröder misses 2-pt jump shot from 16 ft,,68,79
3,6:00.0,,Defensive rebound by L. Shamet,68,79
3,5:52.0,,L. Shamet misses 2-pt layup from 2 ft,68,79
3,5:50.0,Defensive rebound by J. Grant,,68,79
3,5:40.0,Turnover by T. Ferguson (step out of bounds),,68,79
3,5:26.0,,Turnover by S. Gilgeous-Alexander (bad pass),68,79
3,5:26.0,A. Nader enters the game for T. Ferguson,,68,79
3,5:26.0,,L. Williams enters the game for S. Gilgeous-Alexander,68,79
3,5:12.0,Turnover by P. George (lost ball; steal by I. Zubac),,68,79
3,5:04.0,,L. Williams misses 3-pt jump shot from 25 ft,68,79
3,5:01.0,Defensive rebound by Team,,68,79
3,5:01.0,,M. Harrell enters the game for I. Zubac,68,79
3,4:48.0,S. Adams makes 2-pt jump shot from 9 ft,,70,79
3,4:36.0,,D. Gallinari makes 2-pt layup from 2 ft,70,81
3,4:36.0,Oklahoma City full timeout,,70,81
3,4:27.0,P. George makes 2-pt dunk from 2 ft (assist by S. Adams),,72,81
3,4:11.0,,L. Shamet makes 3-pt jump shot from 28 ft (assist by L. Williams),72,84
3,3:51.0,D. Schröder misses 3-pt jump shot from 24 ft,,72,84
3,3:49.0,,Defensive rebound by L. Williams,72,84
3,3:49.0,,Personal foul by P. George (drawn by L. Williams),72,84
3,3:49.0,,L. Williams makes free throw 1 of 2,72,85
3,3:49.0,T. Ferguson enters the game for S. Adams,,72,85
3,3:49.0,N. Noel enters the game for P. George,,72,85
3,3:49.0,,G. Temple enters the game for P. Beverley,72,85
3,3:49.0,,L. Williams makes free throw 2 of 2,72,86
3,3:35.0,A. Nader misses 2-pt jump shot from 20 ft,,72,86
3,3:33.0,,Defensive rebound by L. Shamet,72,86
3,3:18.0,,Turnover by L. Shamet (bad pass; steal by N. Noel),72,86
3,3:16.0,J. Grant makes 2-pt layup from 2 ft (assist by N. Noel),,74,86
3,3:08.0,,M. Harrell misses 2-pt jump shot from 7 ft (block by A. Nader),74,86
3,3:05.0,Defensive rebound by J. Grant,,74,86
3,2:57.0,N. Noel misses 2-pt dunk from 2 ft,,74,86
3,2:53.0,Offensive rebound by D. Schröder,,74,86
3,2:52.0,D. Schröder makes 2-pt jump shot from 14 ft (assist by J. Grant),,76,86
3,2:52.0,,LA Clippers full timeout,76,86
3,2:52.0,M. Morris enters the game for J. Grant,,76,86
3,2:52.0,,J. Green enters the game for D. Gallinari,76,86
3,2:29.0,,L. Shamet misses 2-pt layup from 1 ft (block by N. Noel),76,86
3,2:26.0,Defensive rebound by A. Nader,,76,86
3,2:13.0,M. Morris misses 2-pt jump shot from 7 ft,,76,86
3,2:13.0,Offensive rebound by Team,,76,86
3,2:13.0,,Loose ball foul by L. Shamet (drawn by N. Noel),76,86
3,2:13.0,,S. Gilgeous-Alexander enters the game for L. Shamet,76,86
3,2:01.0,D. Schröder makes 3-pt jump shot from 29 ft,,79,86
3,1:40.0,,L. Williams misses 2-pt jump shot from 4 ft,79,86
3,1:38.0,Defensive rebound by M. Morris,,79,86
3,1:35.0,D. Schröder misses 3-pt jump shot from 26 ft,,79,86
3,1:30.0,,Defensive rebound by J. Green,79,86
3,1:11.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 15 ft,79,86
3,1:09.0,Defensive rebound by N. Noel,,79,86
3,1:06.0,Personal foul by J. Green (drawn by A. Nader),,79,86
3,0:50.0,M. Morris misses 2-pt jump shot from 11 ft,,79,86
3,0:49.0,,Defensive rebound by J. Green,79,86
3,0:47.0,,Personal foul by M. Morris (drawn by M. Harrell),79,86
3,0:47.0,,M. Harrell makes free throw 1 of 2,79,87
3,0:47.0,,M. Harrell makes free throw 2 of 2,79,88
3,0:31.0,N. Noel makes 2-pt dunk from 2 ft (assist by D. Schröder),,81,88
3,0:10.0,,J. Green misses 2-pt jump shot from 21 ft,81,88
3,0:07.0,Defensive rebound by D. Schröder,,81,88
3,0:01.0,A. Nader makes 3-pt jump shot from 26 ft (assist by D. Schröder),,84,88
4,11:42.0,A. Nader makes 2-pt dunk from 1 ft (assist by M. Morris),,86,88
4,11:42.0,Shooting foul by M. Harrell (drawn by A. Nader),,86,88
4,11:42.0,A. Nader makes free throw 1 of 1,,87,88
4,11:28.0,,S. Gilgeous-Alexander misses 2-pt layup from 5 ft (block by N. Noel),87,88
4,11:24.0,Defensive rebound by M. Morris,,87,88
4,11:22.0,N. Noel misses 2-pt layup at rim,,87,88
4,11:20.0,,Defensive rebound by G. Temple,87,88
4,11:15.0,,L. Williams makes 3-pt jump shot from 26 ft (assist by G. Temple),87,91
4,10:52.0,D. Schröder misses 3-pt jump shot from 27 ft,,87,91
4,10:51.0,,Defensive rebound by J. Green,87,91
4,10:45.0,,Shooting foul by T. Ferguson (drawn by L. Williams),87,91
4,10:45.0,,L. Williams makes free throw 1 of 2,87,92
4,10:45.0,,L. Williams misses free throw 2 of 2,87,92
4,10:41.0,,Offensive rebound by J. Green,87,92
4,10:40.0,,L. Williams misses 2-pt jump shot from 18 ft (block by T. Ferguson),87,92
4,10:36.0,,Offensive rebound by L. Williams,87,92
4,10:34.0,,J. Green misses 3-pt jump shot from 26 ft,87,92
