QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,WASHINGTON_ACTION,OKLAHOMA CITY_SCORE,WASHINGTON_SCORE
4,2:18.0,Turnover by T. Ferguson (traveling),,134,108
4,2:18.0,,Washington full timeout,134,108
4,2:18.0,T. Luwawu-Cabarrot enters the game for Á. Abrines,,134,108
4,2:18.0,A. Nader enters the game for D. Schröder,,134,108
4,2:04.0,,K. Oubre misses 2-pt layup from 6 ft (block by N. Noel),134,108
4,2:00.0,Defensive rebound by T. Ferguson,,134,108
4,1:41.0,T. Ferguson misses 3-pt jump shot from 26 ft,,134,108
4,1:38.0,,Defensive rebound by T. Brown,134,108
4,1:31.0,,J. Smith misses 3-pt jump shot from 23 ft,134,108
4,1:29.0,Defensive rebound by Team,,134,108
4,1:18.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,,134,108
4,1:15.0,,Defensive rebound by T. Brown,134,108
4,1:07.0,,J. Smith misses 2-pt hook shot from 5 ft,134,108
4,1:05.0,Defensive rebound by H. Diallo,,134,108
4,1:03.0,H. Diallo misses 2-pt layup from 4 ft (block by A. Rivers),,134,108
4,1:03.0,Offensive rebound by Team,,134,108
4,0:57.0,Turnover by A. Nader (traveling),,134,108
4,0:49.0,,T. Brown makes 3-pt jump shot from 27 ft (assist by T. Satoranský),134,111
4,0:34.0,H. Diallo misses 3-pt jump shot from 24 ft,,134,111
4,0:31.0,,Defensive rebound by T. Satoranský,134,111
4,0:24.0,,T. Satoranský misses 3-pt jump shot from 27 ft,134,111
4,0:20.0,Defensive rebound by N. Noel,,134,111
