QUARTER,TIME_REMAINING,PHOENIX_ACTION,WASHINGTON_ACTION,PHOENIX_SCORE,WASHINGTON_SCORE
1,6:32.0,Phoenix full timeout,,12,18
1,6:15.0,D. Melton makes 2-pt layup from 3 ft (assist by M. Bridges),,14,18
1,5:57.0,,T. Ariza misses 2-pt layup from 2 ft,14,18
1,5:54.0,Defensive rebound by D. Booker,,14,18
1,5:48.0,D. Ayton makes 2-pt layup from 2 ft (assist by D. Booker),,16,18
1,5:39.0,,Turnover by B. Beal (lost ball; steal by M. Bridges),16,18
1,5:35.0,T. Warren misses 2-pt jump shot from 4 ft,,16,18
1,5:31.0,,Defensive rebound by J. Green,16,18
1,5:28.0,,J. Green makes 2-pt dunk from 2 ft,16,20
1,5:16.0,T. Warren makes 3-pt jump shot from 26 ft (assist by D. Booker),,19,20
1,5:02.0,,Personal foul by D. Melton (drawn by B. Beal),19,20
1,5:02.0,J. Jackson enters the game for M. Bridges,,19,20
1,5:02.0,K. Oubre enters the game for D. Melton,,19,20
1,5:02.0,,M. Morris enters the game for T. Bryant,19,20
1,4:56.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by B. Beal),19,23
1,4:36.0,D. Booker misses 2-pt layup from 4 ft (block by M. Morris),,19,23
1,4:36.0,Offensive rebound by Team,,19,23
1,4:36.0,,C. Randle enters the game for T. Satoranský,19,23
1,4:27.0,D. Ayton makes 2-pt dunk from 2 ft,,21,23
1,4:14.0,,C. Randle misses 2-pt layup from 2 ft,21,23
1,4:11.0,Defensive rebound by D. Ayton,,21,23
1,4:08.0,D. Booker misses 3-pt jump shot from 26 ft,,21,23
1,4:04.0,,Defensive rebound by J. Green,21,23
1,4:01.0,,C. Randle misses 3-pt jump shot from 26 ft,21,23
1,3:57.0,Defensive rebound by K. Oubre,,21,23
1,3:50.0,K. Oubre misses 3-pt jump shot from 27 ft,,21,23
1,3:46.0,,Defensive rebound by B. Beal,21,23
1,3:41.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by B. Beal),21,26
1,3:18.0,J. Jackson misses 2-pt jump shot from 17 ft,,21,26
1,3:14.0,Offensive rebound by D. Ayton,,21,26
1,3:11.0,T. Warren misses 3-pt jump shot from 27 ft,,21,26
1,3:08.0,,Defensive rebound by B. Beal,21,26
1,3:01.0,,T. Ariza misses 3-pt jump shot from 25 ft,21,26
1,2:59.0,Defensive rebound by D. Ayton,,21,26
1,2:46.0,T. Warren misses 3-pt jump shot from 28 ft,,21,26
1,2:40.0,Offensive rebound by J. Jackson,,21,26
1,2:37.0,J. Jackson misses 2-pt layup from 3 ft,,21,26
1,2:37.0,Offensive rebound by D. Ayton,,21,26
1,2:37.0,D. Ayton makes 2-pt dunk from 1 ft,,23,26
1,2:37.0,,Washington full timeout,23,26
1,2:37.0,R. Holmes enters the game for D. Ayton,,23,26
1,2:37.0,,R. Baker enters the game for T. Ariza,23,26
1,2:37.0,,S. Dekker enters the game for J. Green,23,26
1,2:25.0,,B. Beal misses 2-pt layup from 4 ft,23,26
1,2:20.0,,Offensive rebound by M. Morris,23,26
1,2:20.0,,M. Morris misses 2-pt layup at rim,23,26
1,2:20.0,Defensive rebound by K. Oubre,,23,26
1,2:18.0,K. Oubre misses 2-pt layup from 2 ft (block by S. Dekker),,23,26
1,2:18.0,,Defensive rebound by Team,23,26
1,2:05.0,,B. Beal makes 2-pt jump shot from 18 ft (assist by M. Morris),23,28
1,1:47.0,K. Oubre makes 2-pt jump shot from 14 ft (assist by D. Booker),,25,28
1,1:38.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by B. Beal),25,31
1,1:18.0,D. Booker makes 2-pt jump shot from 17 ft,,27,31
1,1:07.0,,B. Beal makes 2-pt layup from 2 ft (assist by C. Randle),27,33
1,0:47.0,D. Booker misses 3-pt jump shot from 28 ft,,27,33
1,0:43.0,Offensive rebound by T. Warren,,27,33
1,0:37.0,K. Oubre misses 3-pt jump shot from 27 ft,,27,33
1,0:34.0,,Defensive rebound by C. Randle,27,33
1,0:20.0,,S. Dekker misses 2-pt layup from 2 ft,27,33
1,0:17.0,Defensive rebound by R. Holmes,,27,33
1,0:15.0,Shooting foul by R. Baker (drawn by T. Warren),,27,33
1,0:15.0,T. Warren makes free throw 1 of 2,,28,33
1,0:15.0,M. Bridges enters the game for D. Booker,,28,33
1,0:15.0,T. Warren makes free throw 2 of 2,,29,33
1,0:07.0,,Personal foul by K. Oubre (drawn by B. Beal),29,33
1,0:00.0,,M. Morris misses 3-pt jump shot from 26 ft (block by R. Holmes),29,33
1,0:00.0,Defensive rebound by J. Jackson,,29,33
2,11:49.0,,Personal foul by K. Oubre (drawn by T. Satoranský),29,33
2,11:43.0,,M. Morris makes 2-pt layup from 1 ft (assist by C. Randle),29,35
2,11:27.0,Turnover by J. Crawford (bad pass),,29,35
2,11:16.0,,T. Satoranský makes 2-pt layup from 3 ft (assist by M. Morris),29,37
2,10:58.0,J. Jackson misses 3-pt jump shot from 27 ft,,29,37
2,10:54.0,,Defensive rebound by S. Dekker,29,37
2,10:47.0,,C. Randle misses 2-pt layup from 3 ft (block by J. Crawford),29,37
2,10:47.0,,Offensive rebound by Team,29,37
2,10:43.0,,Turnover by M. Morris (lost ball; steal by R. Holmes),29,37
2,10:37.0,R. Holmes makes 2-pt layup from 2 ft (assist by J. Crawford),,31,37
2,10:21.0,,Turnover by T. Satoranský (bad pass; steal by J. Jackson),31,37
2,10:17.0,K. Oubre misses 2-pt layup from 2 ft (block by R. Baker),,31,37
2,10:14.0,,Defensive rebound by T. Satoranský,31,37
2,10:14.0,,Turnover by T. Satoranský (lost ball; steal by J. Jackson),31,37
2,10:08.0,M. Bridges makes 2-pt layup from 4 ft (assist by J. Crawford),,33,37
2,9:49.0,,S. Dekker makes 2-pt layup from 2 ft (assist by M. Morris),33,39
2,9:32.0,J. Jackson misses 2-pt jump shot from 20 ft,,33,39
2,9:30.0,,Defensive rebound by S. Dekker,33,39
2,9:07.0,,M. Morris misses 3-pt jump shot from 26 ft,33,39
2,9:03.0,Defensive rebound by J. Jackson,,33,39
2,8:58.0,J. Crawford makes 2-pt jump shot from 19 ft,,35,39
2,8:41.0,,Turnover by M. Morris (bad pass),35,39
2,8:29.0,J. Crawford makes 2-pt jump shot from 18 ft,,37,39
2,8:07.0,,M. Morris misses 2-pt jump shot from 15 ft,37,39
2,8:04.0,Defensive rebound by K. Oubre,,37,39
2,8:01.0,Turnover by J. Crawford (bad pass; steal by S. Dekker),,37,39
2,7:57.0,,Personal take foul by J. Crawford (drawn by T. Satoranský),37,39
2,7:57.0,D. Ayton enters the game for R. Holmes,,37,39
2,7:57.0,D. Booker enters the game for K. Oubre,,37,39
2,7:57.0,,T. Ariza enters the game for C. Randle,37,39
2,7:36.0,,M. Morris misses 2-pt jump shot from 12 ft,37,39
2,7:34.0,Defensive rebound by J. Crawford,,37,39
2,7:31.0,Shooting foul by M. Morris (drawn by D. Ayton),,37,39
2,7:31.0,D. Ayton makes free throw 1 of 2,,38,39
2,7:31.0,D. Ayton makes free throw 2 of 2,,39,39
2,7:18.0,,T. Satoranský makes 2-pt layup from 3 ft (assist by T. Ariza),39,41
2,7:06.0,Shooting foul by T. Satoranský (drawn by D. Booker),,39,41
2,7:06.0,D. Booker makes free throw 1 of 2,,40,41
2,7:06.0,,B. Beal enters the game for R. Baker,40,41
2,7:06.0,D. Booker makes free throw 2 of 2,,41,41
2,6:54.0,,T. Ariza misses 2-pt jump shot from 16 ft,41,41
2,6:52.0,Defensive rebound by D. Ayton,,41,41
2,6:44.0,Turnover by J. Crawford (bad pass; steal by T. Satoranský),,41,41
2,6:40.0,,Shooting foul by J. Crawford (drawn by T. Ariza),41,41
2,6:40.0,,Washington full timeout,41,41
2,6:40.0,T. Warren enters the game for J. Jackson,,41,41
2,6:40.0,,J. Green enters the game for S. Dekker,41,41
2,6:40.0,,T. Ariza misses free throw 1 of 2,41,41
2,6:40.0,,Offensive rebound by Team,41,41
2,6:40.0,,T. Ariza makes free throw 2 of 2,41,42
2,6:27.0,D. Booker makes 2-pt jump shot from 15 ft,,43,42
2,6:13.0,,B. Beal misses 2-pt layup from 2 ft,43,42
2,6:11.0,,Offensive rebound by J. Green,43,42
2,6:09.0,,T. Ariza misses 3-pt jump shot from 27 ft,43,42
2,6:05.0,Defensive rebound by D. Ayton,,43,42
2,5:48.0,D. Ayton misses 2-pt jump shot from 16 ft,,43,42
2,5:39.0,,Defensive rebound by T. Ariza,43,42
2,5:33.0,,M. Morris misses 2-pt layup from 5 ft,43,42
2,5:32.0,,Offensive rebound by T. Satoranský,43,42
2,5:32.0,,T. Satoranský misses 2-pt layup from 5 ft (block by M. Bridges),43,42
2,5:32.0,Defensive rebound by T. Warren,,43,42
2,5:27.0,J. Crawford misses 3-pt jump shot from 24 ft,,43,42
2,5:24.0,,Defensive rebound by T. Satoranský,43,42
2,5:09.0,,B. Beal misses 3-pt jump shot from 26 ft,43,42
2,5:05.0,Defensive rebound by T. Warren,,43,42
2,4:52.0,J. Crawford misses 3-pt jump shot from 28 ft,,43,42
2,4:48.0,,Defensive rebound by J. Green,43,42
2,4:43.0,,Turnover by T. Ariza (3 sec),43,42
2,4:43.0,,T. Bryant enters the game for M. Morris,43,42
2,4:34.0,T. Warren misses 2-pt jump shot from 6 ft,,43,42
2,4:32.0,,Defensive rebound by J. Green,43,42
2,4:26.0,,T. Ariza makes 2-pt layup from 2 ft (assist by T. Satoranský),43,44
2,4:07.0,J. Crawford misses 2-pt jump shot from 18 ft,,43,44
2,4:00.0,,Defensive rebound by B. Beal,43,44
2,3:50.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Satoranský),43,46
2,3:48.0,Phoenix full timeout,,43,46
2,3:48.0,D. Melton enters the game for M. Bridges,,43,46
2,3:48.0,K. Oubre enters the game for J. Crawford,,43,46
2,3:37.0,D. Ayton misses 2-pt hook shot from 5 ft,,43,46
2,3:32.0,,Defensive rebound by J. Green,43,46
2,3:15.0,,B. Beal makes 2-pt layup from 2 ft,43,48
2,2:55.0,D. Booker misses 2-pt jump shot from 4 ft,,43,48
2,2:54.0,Offensive rebound by K. Oubre,,43,48
2,2:53.0,K. Oubre misses 2-pt jump shot from 15 ft,,43,48
2,2:53.0,Offensive rebound by D. Booker,,43,48
2,2:49.0,D. Booker makes 2-pt layup from 3 ft,,45,48
2,2:30.0,,B. Beal misses 3-pt jump shot from 25 ft,45,48
2,2:28.0,Defensive rebound by D. Melton,,45,48
2,2:19.0,T. Warren misses 2-pt jump shot from 15 ft,,45,48
2,2:14.0,Offensive rebound by D. Ayton,,45,48
2,2:14.0,D. Ayton misses 2-pt layup from 1 ft,,45,48
2,2:13.0,Offensive rebound by D. Ayton,,45,48
2,2:13.0,D. Ayton misses 2-pt layup from 1 ft,,45,48
2,2:13.0,Offensive rebound by D. Ayton,,45,48
2,2:11.0,D. Ayton makes 2-pt layup from 1 ft,,47,48
2,1:51.0,,T. Bryant makes 2-pt layup from 2 ft (assist by T. Satoranský),47,50
2,1:44.0,D. Booker makes 3-pt jump shot from 26 ft,,50,50
2,1:29.0,,J. Green makes 2-pt hook shot from 7 ft,50,52
2,1:08.0,D. Ayton makes 2-pt layup from 3 ft (assist by T. Warren),,52,52
2,0:50.0,,Turnover by T. Bryant (traveling),52,52
2,0:35.0,D. Booker misses 2-pt layup from 3 ft (block by B. Beal),,52,52
2,0:33.0,Offensive rebound by D. Booker,,52,52
2,0:31.0,T. Warren makes 3-pt jump shot from 28 ft (assist by D. Booker),,55,52
2,0:08.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by B. Beal),55,55
2,0:05.0,Personal foul by T. Ariza (drawn by D. Booker),,55,55
2,0:02.0,D. Ayton misses 2-pt layup from 8 ft,,55,55
2,0:01.0,Offensive rebound by D. Ayton,,55,55
2,0:01.0,D. Ayton misses 2-pt layup from 2 ft,,55,55
2,0:01.0,Offensive rebound by D. Melton,,55,55
2,0:00.0,D. Melton misses 2-pt layup from 2 ft,,55,55
2,0:00.0,Offensive rebound by Team,,55,55
3,11:40.0,,B. Beal misses 2-pt jump shot from 8 ft,55,55
3,11:37.0,,Offensive rebound by B. Beal,55,55
3,11:30.0,,Turnover by B. Beal (bad pass; steal by D. Melton),55,55
3,11:17.0,D. Booker misses 3-pt jump shot from 30 ft,,55,55
3,11:13.0,,Defensive rebound by T. Bryant,55,55
3,11:02.0,,T. Satoranský misses 2-pt jump shot from 11 ft,55,55
3,11:00.0,Defensive rebound by T. Warren,,55,55
3,10:57.0,D. Booker makes 2-pt layup from 2 ft,,57,55
3,10:57.0,Shooting foul by T. Satoranský (drawn by D. Booker),,57,55
3,10:57.0,D. Booker makes free throw 1 of 1,,58,55
3,10:38.0,,J. Green makes 3-pt jump shot from 26 ft (assist by T. Ariza),58,58
3,10:16.0,D. Ayton makes 2-pt hook shot from 7 ft (assist by D. Melton),,60,58
3,10:03.0,,T. Ariza misses 2-pt jump shot from 21 ft,60,58
3,10:00.0,,Offensive rebound by T. Bryant,60,58
3,9:59.0,,T. Bryant makes 2-pt dunk from 1 ft,60,60
3,9:36.0,D. Melton makes 3-pt jump shot from 24 ft (assist by M. Bridges),,63,60
3,9:20.0,,Turnover by B. Beal (bad pass; steal by D. Melton),63,60
3,9:15.0,D. Booker makes 2-pt dunk from 2 ft (assist by D. Melton),,65,60
3,9:06.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by B. Beal),65,62
3,8:49.0,Turnover by T. Warren (lost ball; steal by T. Ariza),,65,62
3,8:46.0,,Shooting foul by M. Bridges (drawn by J. Green),65,62
3,8:46.0,,J. Green makes free throw 1 of 2,65,63
3,8:46.0,,J. Green makes free throw 2 of 2,65,64
3,8:32.0,D. Ayton makes 2-pt jump shot from 13 ft (assist by M. Bridges),,67,64
3,8:15.0,,T. Satoranský makes 2-pt dunk from 2 ft (assist by B. Beal),67,66
3,7:48.0,D. Booker misses 3-pt jump shot from 34 ft,,67,66
3,7:47.0,,Defensive rebound by Team,67,66
3,7:35.0,,B. Beal misses 3-pt jump shot from 26 ft,67,66
3,7:32.0,Defensive rebound by D. Ayton,,67,66
3,7:25.0,Turnover by D. Booker (bad pass; steal by T. Ariza),,67,66
3,7:11.0,,B. Beal makes 2-pt layup from 1 ft,67,68
3,6:45.0,D. Booker misses 3-pt jump shot from 27 ft,,67,68
3,6:43.0,,Defensive rebound by T. Bryant,67,68
3,6:38.0,,Turnover by T. Ariza (bad pass; steal by T. Warren),67,68
3,6:35.0,Shooting foul by J. Green (drawn by T. Warren),,67,68
3,6:35.0,,Washington full timeout,67,68
3,6:35.0,T. Warren makes free throw 1 of 2,,68,68
3,6:35.0,T. Warren misses free throw 2 of 2,,68,68
3,6:32.0,,Defensive rebound by T. Bryant,68,68
3,6:11.0,,B. Beal makes 2-pt layup from 3 ft (assist by T. Bryant),68,70
3,6:00.0,Turnover by D. Ayton (offensive foul),,68,70
3,6:00.0,Offensive foul by D. Ayton (drawn by B. Beal),,68,70
3,6:00.0,R. Holmes enters the game for D. Ayton,,68,70
3,6:00.0,K. Oubre enters the game for M. Bridges,,68,70
3,5:48.0,,Turnover by B. Beal (bad pass),68,70
3,5:34.0,Shooting foul by T. Ariza (drawn by K. Oubre),,68,70
3,5:34.0,K. Oubre makes free throw 1 of 2,,69,70
3,5:34.0,,M. Morris enters the game for T. Bryant,69,70
3,5:34.0,,C. Randle enters the game for T. Satoranský,69,70
3,5:34.0,K. Oubre makes free throw 2 of 2,,70,70
3,5:11.0,,J. Green misses 2-pt hook shot from 3 ft,70,70
3,5:10.0,,Offensive rebound by B. Beal,70,70
3,5:04.0,,T. Ariza makes 2-pt layup from 2 ft (assist by B. Beal),70,72
3,4:49.0,D. Booker makes 3-pt jump shot from 26 ft (assist by T. Warren),,73,72
3,4:31.0,,M. Morris makes 2-pt layup from 3 ft (assist by T. Ariza),73,74
3,4:10.0,T. Warren makes 2-pt layup from 2 ft,,75,74
3,4:04.0,,Shooting foul by R. Holmes (drawn by J. Green),75,74
3,4:04.0,,J. Green makes free throw 1 of 2,75,75
3,4:04.0,J. Crawford enters the game for D. Booker,,75,75
3,4:04.0,,J. Green makes free throw 2 of 2,75,76
3,3:53.0,K. Oubre misses 3-pt jump shot from 27 ft,,75,76
3,3:51.0,,Defensive rebound by M. Morris,75,76
3,3:42.0,,Offensive foul by M. Morris (drawn by D. Melton),75,76
3,3:42.0,,Turnover by M. Morris (offensive foul),75,76
3,3:42.0,,S. Dekker enters the game for J. Green,75,76
3,3:19.0,R. Holmes makes 2-pt dunk from 1 ft (assist by D. Melton),,77,76
3,3:05.0,,C. Randle misses 3-pt jump shot from 26 ft,77,76
3,3:02.0,Defensive rebound by R. Holmes,,77,76
3,2:48.0,Shooting foul by M. Morris (drawn by T. Warren),,77,76
3,2:48.0,Phoenix full timeout,,77,76
3,2:48.0,J. Jackson enters the game for D. Melton,,77,76
3,2:48.0,,R. Baker enters the game for B. Beal,77,76
3,2:48.0,T. Warren misses free throw 1 of 2,,77,76
3,2:48.0,Offensive rebound by Team,,77,76
3,2:48.0,T. Warren makes free throw 2 of 2,,78,76
3,2:26.0,,M. Morris misses 2-pt jump shot from 21 ft,78,76
3,2:23.0,Defensive rebound by J. Jackson,,78,76
3,2:07.0,Shooting foul by R. Baker (drawn by K. Oubre),,78,76
3,2:07.0,K. Oubre misses free throw 1 of 2,,78,76
3,2:07.0,Offensive rebound by Team,,78,76
3,2:07.0,K. Oubre makes free throw 2 of 2,,79,76
3,1:53.0,,Turnover by M. Morris (bad pass),79,76
3,1:33.0,J. Jackson misses 2-pt jump shot from 10 ft,,79,76
3,1:33.0,,Defensive rebound by Team,79,76
3,1:33.0,Loose ball foul by J. Jackson (drawn by M. Morris),,79,76
3,1:20.0,,M. Morris makes 2-pt dunk from 2 ft (assist by T. Ariza),79,78
3,0:54.0,J. Crawford misses 2-pt layup from 3 ft,,79,78
3,0:52.0,,Defensive rebound by R. Baker,79,78
3,0:42.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by R. Baker),79,81
3,0:36.0,Turnover by J. Crawford (palming),,79,81
3,0:16.0,,S. Dekker makes 2-pt dunk from 2 ft (assist by C. Randle),79,83
3,0:03.0,J. Crawford misses 2-pt jump shot from 15 ft,,79,83
3,0:01.0,,Defensive rebound by S. Dekker,79,83
4,11:44.0,R. Holmes makes 2-pt layup from 2 ft (assist by D. Booker),,81,83
4,11:27.0,,T. Ariza misses 3-pt jump shot from 25 ft,81,83
4,11:24.0,Defensive rebound by Team,,81,83
4,11:10.0,J. Jackson misses 3-pt jump shot from 24 ft,,81,83
4,11:07.0,,Defensive rebound by R. Baker,81,83
4,11:07.0,,Personal take foul by J. Crawford (drawn by R. Baker),81,83
4,10:50.0,,C. Randle misses 2-pt jump shot from 7 ft,81,83
4,10:48.0,Defensive rebound by M. Bridges,,81,83
4,10:45.0,,Technical foul by M. Morris,81,83
4,10:45.0,D. Booker makes technical free throw,,82,83
4,10:38.0,Shooting foul by C. Randle (drawn by J. Crawford),,82,83
4,10:38.0,J. Crawford makes free throw 1 of 2,,83,83
4,10:38.0,,B. Beal enters the game for T. Ariza,83,83
4,10:38.0,J. Crawford makes free throw 2 of 2,,84,83
4,10:21.0,,M. Morris misses 2-pt jump shot from 11 ft,84,83
4,10:19.0,,Offensive rebound by S. Dekker,84,83
4,10:19.0,,Shooting foul by R. Holmes (drawn by C. Randle),84,83
4,10:19.0,,C. Randle makes free throw 1 of 2,84,84
4,10:19.0,,C. Randle misses free throw 2 of 2,84,84
4,10:15.0,Defensive rebound by M. Bridges,,84,84
4,10:11.0,Personal foul by M. Morris (drawn by R. Holmes),,84,84
4,9:54.0,R. Holmes misses 2-pt jump shot from 16 ft,,84,84
4,9:51.0,Offensive rebound by D. Booker,,84,84
4,9:44.0,J. Crawford makes 2-pt jump shot from 19 ft,,86,84
4,9:37.0,,Turnover by M. Morris (bad pass; steal by J. Jackson),86,84
4,9:37.0,J. Jackson makes 2-pt dunk from 2 ft,,88,84
4,9:37.0,,Washington full timeout,88,84
4,9:37.0,,J. Green enters the game for S. Dekker,88,84
4,9:22.0,,M. Morris makes 2-pt layup from 2 ft (assist by B. Beal),88,86
4,9:09.0,J. Jackson misses 2-pt layup from 3 ft (block by M. Morris),,88,86
4,9:05.0,Offensive rebound by Team,,88,86
4,8:58.0,R. Holmes misses 2-pt layup from 3 ft,,88,86
4,8:56.0,Offensive rebound by R. Holmes,,88,86
4,8:55.0,R. Holmes makes 2-pt dunk from 2 ft,,90,86
4,8:41.0,,M. Morris misses 3-pt jump shot from 26 ft,90,86
4,8:37.0,Defensive rebound by M. Bridges,,90,86
4,8:28.0,Offensive foul by D. Booker (drawn by J. Green),,90,86
4,8:28.0,Turnover by D. Booker (offensive foul),,90,86
4,8:28.0,K. Oubre enters the game for J. Jackson,,90,86
4,8:28.0,,T. Ariza enters the game for R. Baker,90,86
4,8:16.0,,Shooting foul by D. Booker (drawn by C. Randle),90,86
4,8:16.0,,C. Randle makes free throw 1 of 2,90,87
4,8:16.0,,C. Randle makes free throw 2 of 2,90,88
4,7:56.0,J. Crawford misses 3-pt jump shot from 27 ft,,90,88
4,7:52.0,,Defensive rebound by T. Ariza,90,88
4,7:35.0,,B. Beal misses 2-pt layup from 3 ft,90,88
4,7:33.0,Defensive rebound by R. Holmes,,90,88
4,7:29.0,Personal foul by B. Beal (drawn by D. Booker),,90,88
4,7:29.0,D. Ayton enters the game for R. Holmes,,90,88
4,7:29.0,Phoenix full timeout,,90,88
4,7:29.0,T. Warren enters the game for M. Bridges,,90,88
4,7:17.0,Personal foul by C. Randle (drawn by J. Crawford),,90,88
4,7:17.0,,T. Satoranský enters the game for C. Randle,90,88
4,7:04.0,T. Warren makes 2-pt jump shot from 10 ft (assist by D. Booker),,92,88
4,6:50.0,,Turnover by B. Beal (lost ball; steal by K. Oubre),92,88
4,6:45.0,K. Oubre makes 2-pt dunk from 1 ft (assist by D. Booker),,94,88
4,6:29.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by T. Satoranský),94,91
4,6:08.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by D. Booker),,97,91
4,5:43.0,,M. Morris misses 2-pt layup from 4 ft (block by D. Ayton),97,91
4,5:41.0,Defensive rebound by D. Ayton,,97,91
4,5:38.0,K. Oubre misses 3-pt jump shot from 23 ft,,97,91
4,5:35.0,,Defensive rebound by M. Morris,97,91
4,5:28.0,,Personal foul by D. Booker (drawn by T. Ariza),97,91
4,5:28.0,M. Bridges enters the game for J. Crawford,,97,91
4,5:22.0,,B. Beal makes 2-pt jump shot from 8 ft,97,93
4,5:22.0,,Shooting foul by D. Ayton (drawn by B. Beal),97,93
4,5:22.0,,B. Beal makes free throw 1 of 1,97,94
4,5:07.0,M. Bridges misses 3-pt jump shot from 23 ft,,97,94
4,5:04.0,,Defensive rebound by J. Green,97,94
4,5:00.0,,T. Ariza misses 2-pt layup from 4 ft (block by D. Booker),97,94
4,5:00.0,,Offensive rebound by Team,97,94
4,5:00.0,,Washington full timeout,97,94
4,5:00.0,,Offensive foul by T. Ariza (drawn by K. Oubre),97,94
4,5:00.0,,Turnover by T. Ariza (offensive foul),97,94
4,4:48.0,T. Warren makes 2-pt layup from 2 ft (assist by D. Booker),,99,94
4,4:48.0,Shooting foul by M. Morris (drawn by T. Warren),,99,94
4,4:48.0,T. Warren misses free throw 1 of 1,,99,94
4,4:46.0,,Defensive rebound by J. Green,99,94
4,4:29.0,,Turnover by B. Beal (bad pass; steal by M. Bridges),99,94
4,4:27.0,Shooting foul by B. Beal (drawn by T. Warren),,99,94
4,4:27.0,T. Warren misses free throw 1 of 2,,99,94
4,4:27.0,Offensive rebound by Team,,99,94
4,4:27.0,T. Warren makes free throw 2 of 2,,100,94
4,4:16.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by T. Ariza),100,97
4,3:50.0,D. Booker makes 2-pt jump shot from 18 ft,,102,97
4,3:31.0,,T. Satoranský misses 2-pt jump shot from 22 ft,102,97
4,3:30.0,,Offensive rebound by B. Beal,102,97
4,3:28.0,,J. Green misses 3-pt jump shot from 24 ft,102,97
4,3:23.0,Defensive rebound by K. Oubre,,102,97
4,3:03.0,D. Booker misses 2-pt jump shot from 14 ft,,102,97
4,2:59.0,Offensive rebound by M. Bridges,,102,97
4,2:56.0,Shooting foul by M. Morris (drawn by K. Oubre),,102,97
4,2:56.0,K. Oubre makes free throw 1 of 2,,103,97
4,2:56.0,,T. Bryant enters the game for M. Morris,103,97
4,2:56.0,K. Oubre makes free throw 2 of 2,,104,97
4,2:44.0,,T. Ariza misses 3-pt jump shot from 24 ft,104,97
4,2:40.0,,Offensive rebound by B. Beal,104,97
4,2:40.0,,B. Beal makes 2-pt layup from 1 ft,104,99
4,2:25.0,D. Booker misses 3-pt jump shot from 27 ft,,104,99
4,2:22.0,,Defensive rebound by T. Bryant,104,99
4,2:11.0,,B. Beal misses 3-pt jump shot from 25 ft,104,99
4,2:10.0,,Offensive rebound by Team,104,99
4,2:10.0,Loose ball foul by D. Ayton (drawn by T. Ariza),,104,99
4,2:10.0,,T. Ariza makes free throw 1 of 2,104,100
