QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
1,1:20.0,,K. Lowry misses 2-pt hook shot from 4 ft,25,18
1,1:18.0,Defensive rebound by M. Brogdon,,25,18
1,1:14.0,G. Hill misses 3-pt jump shot from 27 ft,,25,18
1,1:14.0,Offensive rebound by M. Brogdon,,25,18
1,1:00.0,G. Hill makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,28,18
1,0:49.0,,Personal foul by G. Hill (drawn by N. Powell),28,18
1,0:49.0,E. Bledsoe enters the game for P. Connaughton,,28,18
1,0:49.0,B. Lopez enters the game for E. İlyasova,,28,18
1,0:49.0,,M. Gasol enters the game for P. Siakam,28,18
1,0:39.0,,S. Ibaka misses 2-pt jump shot from 12 ft,28,18
1,0:36.0,Defensive rebound by G. Antetokounmpo,,28,18
1,0:26.0,M. Brogdon makes 3-pt jump shot from 26 ft (assist by B. Lopez),,31,18
1,0:02.0,,S. Ibaka misses 2-pt jump shot from 18 ft,31,18
1,0:02.0,Defensive rebound by B. Lopez,,31,18
2,11:37.0,E. Bledsoe misses 2-pt jump shot from 20 ft,,31,18
2,11:35.0,Offensive rebound by B. Lopez,,31,18
2,11:35.0,Shooting foul by M. Gasol (drawn by B. Lopez),,31,18
2,11:35.0,B. Lopez makes free throw 1 of 2,,32,18
2,11:35.0,B. Lopez makes free throw 2 of 2,,33,18
2,11:18.0,,F. VanVleet makes 3-pt jump shot from 29 ft (assist by K. Leonard),33,21
2,11:03.0,B. Lopez misses 2-pt hook shot from 11 ft,,33,21
2,11:02.0,,Defensive rebound by S. Ibaka,33,21
2,10:47.0,,K. Leonard makes 2-pt jump shot from 21 ft,33,23
2,10:34.0,Personal foul by K. Leonard (drawn by E. Bledsoe),,33,23
2,10:29.0,K. Middleton makes 2-pt jump shot from 11 ft (assist by M. Brogdon),,35,23
2,10:04.0,,S. Ibaka misses 2-pt dunk from 2 ft (block by B. Lopez),35,23
2,10:00.0,Defensive rebound by B. Lopez,,35,23
2,9:52.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,35,23
2,9:50.0,,Defensive rebound by Team,35,23
2,9:38.0,,Personal foul by M. Brogdon (drawn by K. Leonard),35,23
2,9:38.0,G. Antetokounmpo enters the game for M. Brogdon,,35,23
2,9:38.0,G. Hill enters the game for B. Lopez,,35,23
2,9:38.0,,D. Green enters the game for S. Ibaka,35,23
2,9:38.0,,P. Siakam enters the game for N. Powell,35,23
2,9:29.0,,Offensive foul by K. Leonard (drawn by E. İlyasova),35,23
2,9:29.0,,Turnover by K. Leonard (offensive foul),35,23
2,9:29.0,,S. Ibaka enters the game for M. Gasol,35,23
2,9:04.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,35,23
2,9:02.0,,Defensive rebound by K. Leonard,35,23
2,8:45.0,,Turnover by K. Leonard (lost ball; steal by G. Hill),35,23
2,8:31.0,K. Middleton misses 3-pt jump shot from 30 ft,,35,23
2,8:29.0,Offensive rebound by E. İlyasova,,35,23
2,8:24.0,Personal foul by S. Ibaka (drawn by G. Antetokounmpo),,35,23
2,8:16.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,,35,23
2,8:14.0,Offensive rebound by E. İlyasova,,35,23
2,8:04.0,Turnover by E. Bledsoe (bad pass),,35,23
2,7:54.0,,D. Green misses 3-pt jump shot from 26 ft,35,23
2,7:51.0,Defensive rebound by G. Antetokounmpo,,35,23
2,7:46.0,E. İlyasova makes 3-pt jump shot from 28 ft (assist by G. Hill),,38,23
2,7:34.0,,Personal foul by E. İlyasova (drawn by F. VanVleet),38,23
2,7:34.0,P. Connaughton enters the game for E. Bledsoe,,38,23
2,7:34.0,,K. Lowry enters the game for D. Green,38,23
2,7:19.0,,Turnover by Team (shot clock),38,23
2,7:04.0,K. Middleton misses 2-pt jump shot from 5 ft,,38,23
2,7:02.0,Offensive rebound by G. Antetokounmpo,,38,23
2,7:00.0,Turnover by G. Antetokounmpo (back court),,38,23
2,7:00.0,M. Brogdon enters the game for K. Middleton,,38,23
2,6:44.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Leonard),38,26
2,6:22.0,Shooting foul by S. Ibaka (drawn by E. İlyasova),,38,26
2,6:22.0,,Toronto full timeout,38,26
2,6:22.0,B. Lopez enters the game for G. Antetokounmpo,,38,26
2,6:22.0,E. İlyasova misses free throw 1 of 2,,38,26
2,6:22.0,Offensive rebound by Team,,38,26
2,6:22.0,E. İlyasova makes free throw 2 of 2,,39,26
2,5:59.0,,Turnover by K. Lowry (bad pass; steal by G. Hill),39,26
2,5:38.0,G. Hill misses 2-pt layup from 2 ft,,39,26
2,5:35.0,,Defensive rebound by K. Lowry,39,26
2,5:32.0,,K. Lowry makes 2-pt layup from 2 ft,39,28
2,5:16.0,Turnover by M. Brogdon (bad pass),,39,28
2,5:16.0,G. Antetokounmpo enters the game for P. Connaughton,,39,28
2,5:16.0,K. Middleton enters the game for E. İlyasova,,39,28
2,5:16.0,,M. Gasol enters the game for S. Ibaka,39,28
2,4:56.0,,P. Siakam makes 2-pt jump shot from 7 ft (assist by K. Lowry),39,30
2,4:38.0,B. Lopez misses 2-pt jump shot from 6 ft,,39,30
2,4:36.0,,Defensive rebound by K. Leonard,39,30
2,4:32.0,,K. Leonard misses 2-pt jump shot from 19 ft,39,30
2,4:30.0,Defensive rebound by K. Middleton,,39,30
2,4:21.0,Turnover by B. Lopez (lost ball; steal by M. Gasol),,39,30
2,4:14.0,,F. VanVleet misses 3-pt jump shot from 26 ft,39,30
2,4:10.0,Defensive rebound by G. Antetokounmpo,,39,30
2,4:05.0,M. Brogdon misses 3-pt jump shot from 26 ft,,39,30
2,4:05.0,,Defensive rebound by P. Siakam,39,30
2,3:52.0,,Shooting foul by M. Brogdon (drawn by P. Siakam),39,30
2,3:52.0,,P. Siakam makes free throw 1 of 2,39,31
2,3:52.0,Milwaukee full timeout,,39,31
2,3:52.0,,P. Siakam makes free throw 2 of 2,39,32
2,3:34.0,Shooting foul by M. Gasol (drawn by B. Lopez),,39,32
2,3:34.0,B. Lopez makes free throw 1 of 2,,40,32
2,3:34.0,E. Bledsoe enters the game for G. Hill,,40,32
2,3:34.0,,S. Ibaka enters the game for M. Gasol,40,32
2,3:34.0,B. Lopez makes free throw 2 of 2,,41,32
2,3:15.0,,K. Leonard makes 2-pt jump shot from 23 ft,41,34
2,2:57.0,G. Antetokounmpo makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,44,34
2,2:36.0,,Personal foul by K. Middleton (drawn by K. Leonard),44,34
2,2:28.0,,F. VanVleet makes 3-pt jump shot from 25 ft,44,37
2,2:15.0,Shooting foul by S. Ibaka (drawn by E. Bledsoe),,44,37
2,2:15.0,E. Bledsoe makes free throw 1 of 2,,45,37
2,2:15.0,G. Hill enters the game for M. Brogdon,,45,37
2,2:15.0,E. Bledsoe misses free throw 2 of 2,,45,37
2,2:13.0,,Defensive rebound by K. Leonard,45,37
2,2:04.0,,Shooting foul by B. Lopez (drawn by S. Ibaka),45,37
2,2:04.0,,Offensive rebound by Team,45,37
2,2:04.0,,S. Ibaka misses free throw 1 of 2,45,37
2,2:04.0,,S. Ibaka makes free throw 2 of 2,45,38
2,1:55.0,B. Lopez misses 3-pt jump shot from 27 ft,,45,38
2,1:50.0,,Defensive rebound by K. Lowry,45,38
2,1:37.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by F. VanVleet),45,40
2,1:27.0,Personal foul by K. Lowry (drawn by G. Antetokounmpo),,45,40
2,1:27.0,G. Antetokounmpo makes free throw 1 of 2,,46,40
2,1:27.0,E. İlyasova enters the game for B. Lopez,,46,40
2,1:27.0,G. Antetokounmpo misses free throw 2 of 2,,46,40
2,1:26.0,,Defensive rebound by Team,46,40
2,1:07.0,,F. VanVleet makes 3-pt jump shot from 28 ft (assist by K. Leonard),46,43
2,0:39.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,49,43
2,0:24.0,,K. Leonard misses 3-pt jump shot from 26 ft,49,43
2,0:22.0,Defensive rebound by E. Bledsoe,,49,43
2,0:02.0,E. İlyasova misses 3-pt jump shot from 26 ft,,49,43
2,0:00.0,Offensive rebound by Team,,49,43
2,0:00.0,,Loose ball foul by F. VanVleet (drawn by G. Antetokounmpo),49,43
2,0:00.0,Offensive rebound by Team,,49,43
2,0:00.0,G. Antetokounmpo misses free throw 1 of 2,,49,43
2,0:00.0,M. Brogdon enters the game for G. Hill,,49,43
2,0:00.0,B. Lopez enters the game for E. İlyasova,,49,43
2,0:00.0,G. Antetokounmpo makes free throw 2 of 2,,50,43
3,11:37.0,E. Bledsoe misses 2-pt jump shot from 6 ft,,50,43
3,11:35.0,,Defensive rebound by D. Green,50,43
3,11:35.0,,Technical foul by M. Budenholzer,50,43
3,11:35.0,,K. Leonard misses technical free throw,50,43
3,11:35.0,,Offensive rebound by Team,50,43
3,11:17.0,,Turnover by K. Leonard (lost ball; steal by M. Brogdon),50,43
3,11:16.0,Personal take foul by K. Lowry (drawn by M. Brogdon),,50,43
3,11:10.0,B. Lopez misses 2-pt hook shot from 3 ft,,50,43
3,11:08.0,,Defensive rebound by M. Gasol,50,43
3,11:01.0,,Personal foul by K. Middleton (drawn by K. Lowry),50,43
3,10:54.0,,P. Siakam misses 2-pt hook shot from 6 ft,50,43
3,10:52.0,Defensive rebound by E. Bledsoe,,50,43
3,10:50.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),,52,43
3,10:33.0,,Personal foul by G. Antetokounmpo (drawn by K. Leonard),52,43
3,10:21.0,,P. Siakam makes 2-pt layup from 1 ft (assist by K. Lowry),52,45
3,10:06.0,Shooting foul by D. Green (drawn by M. Brogdon),,52,45
3,10:06.0,M. Brogdon makes free throw 1 of 2,,53,45
3,10:06.0,M. Brogdon makes free throw 2 of 2,,54,45
3,9:55.0,,K. Leonard makes 2-pt jump shot from 16 ft,54,47
3,9:38.0,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,57,47
3,9:26.0,,Personal foul by K. Middleton (drawn by K. Leonard),57,47
3,9:20.0,,K. Leonard makes 2-pt jump shot from 19 ft,57,49
3,9:00.0,M. Brogdon misses 3-pt jump shot from 24 ft,,57,49
3,8:57.0,,Defensive rebound by D. Green,57,49
3,8:54.0,,K. Lowry misses 3-pt jump shot from 27 ft,57,49
3,8:53.0,Defensive rebound by Team,,57,49
3,8:53.0,,Loose ball foul by K. Leonard (drawn by E. Bledsoe),57,49
3,8:39.0,K. Middleton misses 2-pt hook shot from 9 ft,,57,49
3,8:38.0,,Defensive rebound by K. Leonard,57,49
3,8:26.0,,M. Gasol makes 3-pt jump shot from 22 ft (assist by K. Leonard),57,52
3,8:19.0,Milwaukee full timeout,,57,52
3,8:03.0,K. Middleton misses 2-pt jump shot from 14 ft,,57,52
3,8:01.0,,Defensive rebound by K. Leonard,57,52
3,7:53.0,,K. Leonard misses 2-pt hook shot from 5 ft (block by B. Lopez),57,52
3,7:50.0,,Offensive rebound by K. Leonard,57,52
3,7:47.0,,P. Siakam misses 2-pt hook shot from 4 ft,57,52
3,7:44.0,Defensive rebound by G. Antetokounmpo,,57,52
3,7:40.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,59,52
3,7:39.0,Violation by Team (delay of game),,59,52
3,7:24.0,,P. Siakam misses 3-pt jump shot from 23 ft,59,52
3,7:21.0,Defensive rebound by E. Bledsoe,,59,52
3,7:10.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,59,52
3,7:08.0,,Defensive rebound by K. Leonard,59,52
3,6:57.0,,M. Gasol misses 2-pt jump shot from 11 ft,59,52
3,6:55.0,Defensive rebound by B. Lopez,,59,52
3,6:47.0,Shooting foul by D. Green (drawn by B. Lopez),,59,52
3,6:47.0,B. Lopez makes free throw 1 of 2,,60,52
3,6:47.0,G. Hill enters the game for G. Antetokounmpo,,60,52
3,6:47.0,E. İlyasova enters the game for M. Brogdon,,60,52
3,6:47.0,,F. VanVleet enters the game for D. Green,60,52
3,6:47.0,B. Lopez misses free throw 2 of 2,,60,52
3,6:45.0,Offensive rebound by E. Bledsoe,,60,52
3,6:30.0,K. Middleton makes 3-pt jump shot from 24 ft,,63,52
3,6:06.0,,K. Leonard misses 3-pt jump shot from 23 ft,63,52
3,6:03.0,Defensive rebound by B. Lopez,,63,52
3,5:54.0,E. Bledsoe makes 2-pt jump shot from 10 ft,,65,52
3,5:47.0,,Toronto full timeout,65,52
3,5:47.0,G. Antetokounmpo enters the game for B. Lopez,,65,52
3,5:47.0,,N. Powell enters the game for P. Siakam,65,52
3,5:36.0,,K. Lowry makes 3-pt jump shot from 27 ft (assist by M. Gasol),65,55
3,5:20.0,E. Bledsoe makes 2-pt jump shot from 5 ft (assist by E. İlyasova),,67,55
3,4:56.0,,K. Lowry makes 3-pt jump shot from 26 ft,67,58
3,4:36.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,67,58
3,4:34.0,Offensive rebound by G. Antetokounmpo,,67,58
3,4:28.0,Shooting foul by M. Gasol (drawn by G. Antetokounmpo),,67,58
3,4:28.0,G. Antetokounmpo makes free throw 1 of 2,,68,58
3,4:28.0,P. Connaughton enters the game for E. Bledsoe,,68,58
3,4:28.0,G. Antetokounmpo misses free throw 2 of 2,,68,58
3,4:26.0,,Defensive rebound by M. Gasol,68,58
3,4:14.0,,K. Lowry misses 2-pt layup from 1 ft,68,58
3,4:13.0,Defensive rebound by G. Hill,,68,58
3,4:13.0,Personal foul by K. Lowry (drawn by G. Hill),,68,58
3,4:13.0,G. Hill makes free throw 1 of 2,,69,58
3,4:13.0,,S. Ibaka enters the game for M. Gasol,69,58
3,4:13.0,G. Hill misses free throw 2 of 2,,69,58
3,4:10.0,,Defensive rebound by N. Powell,69,58
3,3:58.0,,Turnover by N. Powell (bad pass; steal by P. Connaughton),69,58
3,3:46.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,72,58
3,3:21.0,,N. Powell makes 2-pt dunk from 2 ft (assist by K. Leonard),72,60
3,3:02.0,Shooting foul by K. Lowry (drawn by E. İlyasova),,72,60
3,3:02.0,E. İlyasova makes free throw 1 of 2,,73,60
3,3:02.0,M. Brogdon enters the game for K. Middleton,,73,60
3,3:02.0,E. İlyasova makes free throw 2 of 2,,74,60
3,2:45.0,,K. Leonard misses 2-pt jump shot from 12 ft,74,60
3,2:43.0,Defensive rebound by P. Connaughton,,74,60
3,2:35.0,E. İlyasova misses 3-pt jump shot from 26 ft,,74,60
3,2:32.0,,Defensive rebound by S. Ibaka,74,60
3,2:28.0,,Shooting foul by P. Connaughton (drawn by N. Powell),74,60
3,2:28.0,,N. Powell misses free throw 1 of 2,74,60
3,2:28.0,,Offensive rebound by Team,74,60
3,2:28.0,,P. Siakam enters the game for K. Lowry,74,60
3,2:28.0,,N. Powell makes free throw 2 of 2,74,61
3,2:18.0,Personal foul by F. VanVleet (drawn by E. İlyasova),,74,61
3,2:18.0,E. İlyasova makes free throw 1 of 2,,75,61
3,2:18.0,B. Lopez enters the game for G. Antetokounmpo,,75,61
3,2:18.0,E. İlyasova makes free throw 2 of 2,,76,61
3,2:01.0,,K. Leonard makes 2-pt jump shot from 10 ft,76,63
3,2:01.0,,Shooting foul by E. İlyasova (drawn by K. Leonard),76,63
3,2:01.0,G. Antetokounmpo enters the game for E. İlyasova,,76,63
3,2:01.0,,K. Leonard makes free throw 1 of 1,76,64
3,1:41.0,G. Hill misses 3-pt jump shot from 26 ft,,76,64
3,1:37.0,,Defensive rebound by K. Leonard,76,64
3,1:29.0,,K. Leonard makes 2-pt jump shot from 21 ft,76,66
3,1:12.0,B. Lopez misses 3-pt jump shot from 23 ft,,76,66
3,1:10.0,,Defensive rebound by K. Leonard,76,66
3,1:10.0,E. Bledsoe enters the game for P. Connaughton,,76,66
3,1:03.0,,P. Siakam misses 2-pt layup from 3 ft (block by G. Antetokounmpo),76,66
3,1:03.0,,Offensive rebound by Team,76,66
3,0:55.0,,S. Ibaka makes 2-pt hook shot from 3 ft (assist by K. Leonard),76,68
3,0:32.0,E. Bledsoe misses 2-pt jump shot from 14 ft,,76,68
3,0:30.0,,Defensive rebound by K. Leonard,76,68
3,0:26.0,,Shooting foul by E. Bledsoe (drawn by K. Leonard),76,68
3,0:26.0,,K. Leonard makes free throw 1 of 3,76,69
3,0:26.0,,K. Leonard makes free throw 2 of 3,76,70
3,0:26.0,K. Middleton enters the game for G. Hill,,76,70
3,0:26.0,,K. Leonard misses free throw 3 of 3,76,70
3,0:26.0,,Offensive rebound by K. Leonard,76,70
3,0:22.0,,Personal foul by G. Antetokounmpo (drawn by K. Leonard),76,70
3,0:22.0,,K. Leonard misses free throw 1 of 2,76,70
3,0:22.0,,Offensive rebound by Team,76,70
3,0:22.0,,K. Leonard makes free throw 2 of 2,76,71
3,0:04.0,G. Antetokounmpo misses 3-pt jump shot from 29 ft,,76,71
3,0:01.0,,Defensive rebound by K. Leonard,76,71
3,0:00.0,,K. Leonard misses 3-pt jump shot from 50 ft,76,71
3,0:00.0,,Offensive rebound by Team,76,71
4,11:44.0,,F. VanVleet makes 2-pt layup from 1 ft,76,73
4,11:30.0,B. Lopez makes 2-pt layup from 1 ft (assist by E. Bledsoe),,78,73
4,11:12.0,,N. Powell makes 3-pt jump shot from 23 ft (assist by K. Lowry),78,76
4,11:03.0,Personal foul by N. Powell (drawn by K. Middleton),,78,76
4,10:50.0,M. Brogdon misses 3-pt jump shot from 23 ft,,78,76
4,10:47.0,,Defensive rebound by K. Lowry,78,76
4,10:31.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by K. Lowry),78,78
4,10:30.0,Milwaukee full timeout,,78,78
4,10:30.0,G. Antetokounmpo enters the game for E. İlyasova,,78,78
4,10:10.0,G. Antetokounmpo misses 2-pt jump shot from 15 ft,,78,78
4,10:06.0,,Defensive rebound by N. Powell,78,78
4,9:48.0,,P. Siakam makes 2-pt jump shot from 9 ft (assist by F. VanVleet),78,80
4,9:36.0,Offensive foul by M. Brogdon (drawn by K. Lowry),,78,80
4,9:36.0,Turnover by M. Brogdon (offensive foul),,78,80
4,9:36.0,G. Hill enters the game for M. Brogdon,,78,80
4,9:20.0,,Turnover by P. Siakam (bad pass; steal by E. Bledsoe),78,80
4,8:57.0,G. Hill misses 3-pt jump shot from 22 ft,,78,80
4,8:54.0,,Defensive rebound by S. Ibaka,78,80
4,8:30.0,,N. Powell misses 2-pt jump shot from 21 ft,78,80
4,8:30.0,,Offensive rebound by Team,78,80
4,8:30.0,Loose ball foul by G. Antetokounmpo (drawn by S. Ibaka),,78,80
4,8:30.0,E. İlyasova enters the game for B. Lopez,,78,80
4,8:30.0,,K. Leonard enters the game for N. Powell,78,80
4,8:18.0,,F. VanVleet makes 3-pt jump shot from 26 ft,78,83
4,7:57.0,Shooting foul by P. Siakam (drawn by G. Antetokounmpo),,78,83
4,7:57.0,G. Antetokounmpo misses free throw 1 of 2,,78,83
4,7:57.0,Offensive rebound by Team,,78,83
4,7:57.0,G. Antetokounmpo makes free throw 2 of 2,,79,83
4,7:37.0,,S. Ibaka makes 2-pt hook shot from 5 ft (assist by K. Lowry),79,85
4,7:21.0,E. İlyasova misses 3-pt jump shot from 28 ft,,79,85
4,7:19.0,,Defensive rebound by K. Leonard,79,85
4,6:59.0,,K. Leonard misses 3-pt jump shot from 25 ft,79,85
4,6:55.0,Defensive rebound by K. Middleton,,79,85
4,6:51.0,Turnover by K. Middleton (lost ball; steal by K. Lowry),,79,85
4,6:46.0,,K. Leonard makes 2-pt dunk from 2 ft (assist by K. Lowry),79,87
4,6:46.0,Milwaukee full timeout,,79,87
4,6:46.0,M. Brogdon enters the game for E. Bledsoe,,79,87
4,6:46.0,B. Lopez enters the game for E. İlyasova,,79,87
4,6:37.0,Personal foul by K. Lowry (drawn by G. Hill),,79,87
4,6:30.0,G. Hill makes 2-pt layup from 1 ft,,81,87
4,6:04.0,,P. Siakam misses 3-pt jump shot from 23 ft,81,87
4,6:01.0,Defensive rebound by G. Antetokounmpo,,81,87
4,5:55.0,G. Antetokounmpo misses 2-pt layup from 4 ft (block by K. Leonard),,81,87
4,5:51.0,Offensive rebound by K. Middleton,,81,87
4,5:48.0,B. Lopez makes 2-pt jump shot from 3 ft,,83,87
4,5:48.0,Shooting foul by S. Ibaka (drawn by B. Lopez),,83,87
4,5:48.0,B. Lopez makes free throw 1 of 1,,84,87
4,5:29.0,,K. Leonard misses 3-pt jump shot from 23 ft,84,87
4,5:26.0,Defensive rebound by G. Antetokounmpo,,84,87
4,5:19.0,G. Antetokounmpo makes 2-pt layup at rim,,86,87
4,5:19.0,,Toronto full timeout,86,87
4,5:19.0,,M. Gasol enters the game for S. Ibaka,86,87
4,5:03.0,Violation by Team (kicked ball),,86,87
4,5:02.0,,Personal foul by G. Antetokounmpo (drawn by M. Gasol),86,87
4,4:57.0,,K. Leonard misses 3-pt jump shot from 26 ft,86,87
4,4:52.0,Defensive rebound by B. Lopez,,86,87
4,4:35.0,G. Hill misses 2-pt layup from 2 ft,,86,87
4,4:33.0,,Defensive rebound by K. Lowry,86,87
4,4:25.0,,K. Lowry makes 2-pt layup from 1 ft,86,89
4,4:19.0,,Violation by Team (kicked ball),86,89
4,4:12.0,G. Antetokounmpo misses 2-pt jump shot from 7 ft,,86,89
4,4:10.0,Offensive rebound by B. Lopez,,86,89
4,4:09.0,B. Lopez makes 2-pt layup at rim,,88,89
4,3:50.0,,M. Gasol makes 3-pt jump shot from 23 ft (assist by K. Leonard),88,92
