QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CLEVELAND_ACTION,LA CLIPPERS_SCORE,CLEVELAND_SCORE
4,1:26.0,Turnover by P. Beverley (traveling),,108,102
4,1:05.0,,J. Clarkson makes 2-pt jump shot from 11 ft,108,104
4,0:47.0,L. Williams misses 2-pt jump shot from 9 ft,,108,104
4,0:43.0,,Defensive rebound by K. Love,108,104
4,0:37.0,,L. Nance makes 2-pt dunk at rim (assist by J. Clarkson),108,106
4,0:37.0,LA Clippers full timeout,,108,106
4,0:37.0,L. Shamet enters the game for S. Gilgeous-Alexander,,108,106
4,0:15.0,P. Beverley misses 3-pt jump shot from 24 ft,,108,106
4,0:13.0,Offensive rebound by L. Shamet,,108,106
4,0:13.0,Personal foul by C. Osman (drawn by L. Shamet),,108,106
4,0:13.0,L. Shamet misses free throw 1 of 2,,108,106
4,0:13.0,Offensive rebound by Team,,108,106
4,0:13.0,S. Thornwell enters the game for L. Williams,,108,106
4,0:13.0,L. Shamet makes free throw 2 of 2,,109,106
4,0:13.0,,Cleveland full timeout,109,106
4,0:13.0,S. Gilgeous-Alexander enters the game for L. Shamet,,109,106
4,0:10.0,,K. Love makes 2-pt hook shot from 9 ft (assist by C. Osman),109,108
4,0:10.0,LA Clippers full timeout,,109,108
4,0:10.0,L. Shamet enters the game for M. Harrell,,109,108
4,0:10.0,L. Williams enters the game for S. Thornwell,,109,108
4,0:10.0,,D. Nwaba enters the game for K. Love,109,108
4,0:06.0,Personal take foul by C. Osman (drawn by P. Beverley),,109,108
4,0:06.0,P. Beverley makes free throw 1 of 2,,110,108
4,0:06.0,M. Harrell enters the game for L. Shamet,,110,108
4,0:06.0,S. Thornwell enters the game for L. Williams,,110,108
4,0:06.0,,K. Love enters the game for D. Nwaba,110,108
4,0:06.0,P. Beverley misses free throw 2 of 2,,110,108
4,0:06.0,,Defensive rebound by L. Nance,110,108
4,0:06.0,,Cleveland full timeout,110,108
4,0:06.0,,N. Stauskas enters the game for L. Nance,110,108
4,0:00.0,,J. Clarkson misses 3-pt jump shot from 27 ft,110,108
4,0:00.0,,Offensive rebound by Team,110,108
