QUARTER,TIME_REMAINING,PHOENIX_ACTION,ORLANDO_ACTION,PHOENIX_SCORE,ORLANDO_SCORE
2,11:22.0,,D. Augustin misses 3-pt jump shot from 25 ft,28,32
2,11:22.0,,Offensive rebound by Team,28,32
2,11:22.0,,Turnover by Team (shot clock),28,32
2,11:14.0,J. Jackson makes 2-pt dunk from 2 ft (assist by K. Oubre),,30,32
2,10:59.0,,Turnover by J. Simmons (bad pass; steal by R. Holmes),30,32
2,10:48.0,K. Oubre misses 2-pt jump shot from 15 ft,,30,32
2,10:46.0,,Defensive rebound by A. Gordon,30,32
2,10:39.0,,M. Bamba misses 3-pt jump shot from 26 ft,30,32
2,10:36.0,Defensive rebound by J. Jackson,,30,32
2,10:30.0,R. Holmes makes 2-pt dunk from 1 ft (assist by J. Jackson),,32,32
2,10:13.0,,Turnover by M. Bamba (out of bounds lost ball),32,32
2,10:06.0,Turnover by K. Oubre (out of bounds lost ball),,32,32
2,9:43.0,,J. Simmons makes 2-pt jump shot from 8 ft,32,34
2,9:27.0,J. Jackson makes 2-pt jump shot from 19 ft,,34,34
2,9:13.0,,D. Augustin misses 2-pt jump shot from 9 ft,34,34
2,9:09.0,Defensive rebound by J. Jackson,,34,34
2,9:06.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by J. Jackson),,37,34
2,8:46.0,,T. Ross makes 3-pt jump shot from 26 ft,37,37
2,8:32.0,K. Oubre makes 3-pt jump shot from 24 ft (assist by M. Bridges),,40,37
2,8:15.0,,T. Ross misses 2-pt jump shot from 17 ft,40,37
2,8:10.0,Defensive rebound by E. Okobo,,40,37
2,8:03.0,Turnover by E. Okobo (bad pass; steal by J. Simmons),,40,37
2,7:56.0,,Shooting foul by R. Holmes (drawn by J. Simmons),40,37
2,7:56.0,,J. Simmons makes free throw 1 of 2,40,38
2,7:56.0,,J. Simmons makes free throw 2 of 2,40,39
2,7:38.0,Turnover by K. Oubre (bad pass; steal by A. Gordon),,40,39
2,7:37.0,,Personal foul by K. Oubre (drawn by A. Gordon),40,39
2,7:37.0,,E. Fournier enters the game for J. Simmons,40,39
2,7:13.0,,M. Bamba misses 2-pt jump shot from 20 ft (block by R. Holmes),40,39
2,7:07.0,,Offensive rebound by A. Gordon,40,39
2,7:07.0,,A. Gordon misses 3-pt jump shot from 27 ft,40,39
2,7:05.0,Defensive rebound by K. Oubre,,40,39
2,7:03.0,K. Oubre misses 2-pt jump shot from 13 ft,,40,39
2,7:03.0,,Defensive rebound by A. Gordon,40,39
2,6:43.0,,D. Augustin makes 2-pt layup from 1 ft,40,41
2,6:26.0,R. Holmes makes 2-pt jump shot from 10 ft (assist by J. Jackson),,42,41
2,6:12.0,,E. Fournier misses 2-pt layup from 4 ft,42,41
2,6:07.0,,Offensive rebound by E. Fournier,42,41
2,6:07.0,,E. Fournier makes 2-pt layup at rim,42,43
2,5:52.0,K. Oubre makes 2-pt layup from 2 ft,,44,43
2,5:38.0,,D. Augustin misses 2-pt jump shot from 5 ft,44,43
2,5:33.0,,Offensive rebound by M. Bamba,44,43
2,5:33.0,,M. Bamba misses 2-pt dunk at rim,44,43
2,5:33.0,Defensive rebound by M. Bridges,,44,43
2,5:31.0,E. Okobo makes 2-pt layup from 1 ft (assist by J. Jackson),,46,43
2,5:30.0,,Orlando full timeout,46,43
2,5:30.0,D. Ayton enters the game for R. Holmes,,46,43
2,5:30.0,D. Booker enters the game for E. Okobo,,46,43
2,5:30.0,,J. Grant enters the game for D. Augustin,46,43
2,5:30.0,,J. Isaac enters the game for M. Bamba,46,43
2,5:30.0,,N. Vučević enters the game for A. Gordon,46,43
2,5:17.0,,N. Vučević misses 2-pt jump shot from 4 ft,46,43
2,5:15.0,Defensive rebound by D. Ayton,,46,43
2,5:05.0,J. Jackson makes 2-pt layup from 1 ft (assist by M. Bridges),,48,43
2,4:50.0,,N. Vučević misses 3-pt jump shot from 26 ft,48,43
2,4:47.0,Defensive rebound by J. Jackson,,48,43
2,4:45.0,Personal foul by N. Vučević (drawn by D. Ayton),,48,43
2,4:40.0,J. Jackson misses 2-pt jump shot from 8 ft,,48,43
2,4:38.0,,Defensive rebound by J. Isaac,48,43
2,4:22.0,,E. Fournier makes 3-pt jump shot from 26 ft,48,46
2,4:04.0,D. Ayton makes 2-pt jump shot from 14 ft,,50,46
2,3:53.0,,T. Ross makes 2-pt jump shot from 20 ft (assist by J. Grant),50,48
2,3:39.0,D. Booker makes 2-pt jump shot from 15 ft,,52,48
2,3:28.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by J. Grant),52,51
2,3:11.0,M. Bridges makes 2-pt jump shot from 5 ft (assist by D. Booker),,54,51
2,2:56.0,,Personal foul by D. Booker (drawn by J. Isaac),54,51
2,2:56.0,D. Melton enters the game for J. Jackson,,54,51
2,2:56.0,T. Warren enters the game for K. Oubre,,54,51
2,2:52.0,,Turnover by J. Isaac (offensive foul),54,51
2,2:52.0,,Offensive foul by J. Isaac (drawn by D. Booker),54,51
2,2:37.0,D. Booker makes 3-pt jump shot from 25 ft,,57,51
2,2:22.0,,J. Isaac makes 2-pt jump shot from 10 ft (assist by N. Vučević),57,53
2,2:02.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by D. Booker),,60,53
2,1:48.0,,E. Fournier misses 3-pt jump shot from 23 ft,60,53
2,1:43.0,Defensive rebound by D. Melton,,60,53
2,1:34.0,T. Warren misses 2-pt jump shot from 11 ft,,60,53
2,1:31.0,,Defensive rebound by N. Vučević,60,53
2,1:22.0,,J. Isaac misses 2-pt layup from 3 ft (block by D. Melton),60,53
2,1:21.0,,Offensive rebound by Team,60,53
2,1:21.0,,D. Augustin enters the game for J. Grant,60,53
2,1:21.0,,A. Gordon enters the game for J. Isaac,60,53
2,1:17.0,,N. Vučević misses 2-pt jump shot from 10 ft,60,53
2,1:14.0,Defensive rebound by D. Ayton,,60,53
2,1:03.0,D. Ayton misses 2-pt jump shot from 17 ft,,60,53
2,1:01.0,,Defensive rebound by T. Ross,60,53
2,0:53.0,,D. Augustin misses 3-pt jump shot from 25 ft,60,53
2,0:50.0,Defensive rebound by D. Ayton,,60,53
2,0:44.0,T. Warren makes 2-pt layup from 1 ft,,62,53
2,0:26.0,,A. Gordon misses 2-pt jump shot from 13 ft,62,53
2,0:22.0,Defensive rebound by D. Booker,,62,53
2,0:02.0,D. Booker misses 2-pt jump shot from 13 ft,,62,53
2,0:02.0,Offensive rebound by T. Warren,,62,53
2,0:00.0,T. Warren misses 3-pt jump shot from 26 ft,,62,53
2,0:00.0,Offensive rebound by Team,,62,53
3,11:50.0,Turnover by D. Melton (bad pass; steal by N. Vučević),,62,53
3,11:34.0,,A. Gordon misses 2-pt jump shot from 14 ft,62,53
3,11:30.0,Defensive rebound by D. Melton,,62,53
3,11:27.0,D. Booker makes 3-pt jump shot from 26 ft,,65,53
3,11:08.0,,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Fournier),65,55
3,10:47.0,D. Booker misses 2-pt jump shot from 12 ft,,65,55
3,10:44.0,,Defensive rebound by N. Vučević,65,55
3,10:36.0,,D. Augustin makes 2-pt hook shot from 5 ft,65,57
3,10:16.0,T. Warren misses 2-pt jump shot from 9 ft,,65,57
3,10:13.0,,Defensive rebound by N. Vučević,65,57
3,10:08.0,,Shooting foul by D. Melton (drawn by D. Augustin),65,57
3,10:08.0,,D. Augustin misses free throw 1 of 3,65,57
3,10:08.0,,Offensive rebound by Team,65,57
3,10:08.0,,D. Augustin makes free throw 2 of 3,65,58
3,10:08.0,,D. Augustin makes free throw 3 of 3,65,59
3,9:58.0,Turnover by D. Ayton (lost ball; steal by D. Augustin),,65,59
3,9:55.0,,D. Augustin makes 2-pt layup from 2 ft,65,61
3,9:55.0,Phoenix full timeout,,65,61
3,9:42.0,D. Booker misses 2-pt jump shot from 4 ft,,65,61
3,9:38.0,,Defensive rebound by D. Augustin,65,61
3,9:36.0,,Shooting foul by D. Melton (drawn by D. Augustin),65,61
3,9:36.0,,D. Augustin makes free throw 1 of 2,65,62
3,9:36.0,,D. Augustin makes free throw 2 of 2,65,63
3,9:17.0,T. Warren makes 2-pt jump shot from 6 ft,,67,63
3,9:03.0,,Personal foul by D. Melton (drawn by D. Augustin),67,63
3,8:55.0,,D. Augustin misses 3-pt jump shot from 23 ft,67,63
3,8:52.0,,Offensive rebound by J. Isaac,67,63
3,8:51.0,,J. Isaac makes 2-pt layup from 2 ft,67,65
3,8:33.0,Turnover by D. Booker (bad pass; steal by D. Augustin),,67,65
3,8:24.0,,Turnover by E. Fournier (lost ball; steal by T. Warren),67,65
3,8:20.0,Shooting foul by E. Fournier (drawn by T. Warren),,67,65
3,8:20.0,J. Jackson enters the game for M. Bridges,,67,65
3,8:20.0,E. Okobo enters the game for D. Melton,,67,65
3,8:20.0,T. Warren misses free throw 1 of 2,,67,65
3,8:20.0,Offensive rebound by Team,,67,65
3,8:20.0,T. Warren makes free throw 2 of 2,,68,65
3,8:08.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),68,68
3,7:52.0,T. Warren misses 2-pt jump shot from 10 ft,,68,68
3,7:50.0,,Defensive rebound by N. Vučević,68,68
3,7:49.0,,Personal foul by T. Warren (drawn by D. Augustin),68,68
3,7:41.0,,N. Vučević makes 2-pt jump shot from 19 ft (assist by D. Augustin),68,70
3,7:22.0,D. Booker misses 3-pt jump shot from 27 ft,,68,70
3,7:19.0,,Defensive rebound by A. Gordon,68,70
3,7:02.0,,N. Vučević makes 2-pt layup from 3 ft,68,72
3,6:41.0,J. Jackson makes 2-pt jump shot from 8 ft,,70,72
3,6:18.0,,A. Gordon makes 2-pt jump shot from 12 ft (assist by J. Isaac),70,74
3,6:08.0,Personal foul by E. Fournier (drawn by D. Booker),,70,74
3,6:01.0,D. Booker makes 2-pt jump shot from 16 ft,,72,74
3,5:48.0,,Personal foul by D. Booker (drawn by J. Isaac),72,74
3,5:48.0,R. Holmes enters the game for D. Ayton,,72,74
3,5:48.0,,J. Isaac makes free throw 1 of 2,72,75
3,5:48.0,,J. Isaac makes free throw 2 of 2,72,76
3,5:38.0,Personal foul by E. Fournier (drawn by J. Jackson),,72,76
3,5:38.0,,J. Simmons enters the game for E. Fournier,72,76
3,5:31.0,T. Warren makes 3-pt jump shot from 26 ft (assist by D. Booker),,75,76
3,5:14.0,,D. Augustin makes 3-pt jump shot from 26 ft,75,79
3,4:54.0,Turnover by J. Jackson (back court),,75,79
3,4:46.0,,D. Augustin makes 2-pt layup from 2 ft,75,81
3,4:32.0,T. Warren misses 2-pt jump shot from 12 ft,,75,81
3,4:28.0,,Defensive rebound by N. Vučević,75,81
3,4:23.0,,J. Isaac makes 2-pt jump shot from 22 ft (assist by D. Augustin),75,83
3,4:05.0,D. Booker makes 2-pt jump shot from 12 ft,,77,83
3,3:40.0,,J. Simmons misses 2-pt jump shot from 13 ft,77,83
3,3:40.0,Defensive rebound by J. Jackson,,77,83
3,3:40.0,Personal foul by D. Augustin (drawn by J. Jackson),,77,83
3,3:40.0,,T. Ross enters the game for A. Gordon,77,83
3,3:30.0,T. Warren misses 3-pt jump shot from 26 ft,,77,83
3,3:30.0,,Defensive rebound by N. Vučević,77,83
3,3:14.0,,Turnover by D. Augustin (lost ball; steal by J. Jackson),77,83
3,3:11.0,J. Jackson makes 2-pt dunk from 1 ft,,79,83
3,2:47.0,,J. Isaac misses 2-pt jump shot from 15 ft,79,83
3,2:47.0,Defensive rebound by R. Holmes,,79,83
3,2:36.0,E. Okobo misses 2-pt layup from 2 ft,,79,83
3,2:36.0,Offensive rebound by R. Holmes,,79,83
3,2:36.0,Shooting foul by J. Isaac (drawn by R. Holmes),,79,83
3,2:36.0,,Orlando full timeout,79,83
3,2:36.0,K. Oubre enters the game for T. Warren,,79,83
3,2:36.0,,A. Gordon enters the game for D. Augustin,79,83
3,2:36.0,,J. Grant enters the game for J. Isaac,79,83
3,2:36.0,R. Holmes makes free throw 1 of 2,,80,83
3,2:36.0,R. Holmes makes free throw 2 of 2,,81,83
3,2:19.0,,T. Ross misses 2-pt jump shot from 17 ft,81,83
3,2:15.0,Defensive rebound by D. Booker,,81,83
3,1:55.0,K. Oubre misses 3-pt jump shot from 23 ft,,81,83
3,1:52.0,Offensive rebound by J. Jackson,,81,83
3,1:50.0,R. Holmes misses 2-pt jump shot from 10 ft,,81,83
3,1:48.0,,Defensive rebound by N. Vučević,81,83
3,1:41.0,,Personal foul by K. Oubre (drawn by J. Simmons),81,83
3,1:41.0,,J. Simmons misses free throw 1 of 2,81,83
3,1:41.0,,Offensive rebound by Team,81,83
3,1:41.0,,J. Simmons makes free throw 2 of 2,81,84
3,1:26.0,D. Booker makes 3-pt jump shot from 26 ft (assist by K. Oubre),,84,84
3,1:06.0,,J. Grant misses 2-pt jump shot from 14 ft (block by D. Booker),84,84
3,1:02.0,Defensive rebound by J. Jackson,,84,84
3,1:01.0,E. Okobo makes 2-pt dunk from 2 ft,,86,84
3,0:43.0,,N. Vučević misses 2-pt jump shot from 6 ft (block by R. Holmes),86,84
3,0:41.0,,Offensive rebound by N. Vučević,86,84
3,0:39.0,,Turnover by N. Vučević (lost ball; steal by J. Jackson),86,84
3,0:36.0,Shooting foul by A. Gordon (drawn by K. Oubre),,86,84
3,0:36.0,K. Oubre makes free throw 1 of 2,,87,84
3,0:36.0,K. Oubre makes free throw 2 of 2,,88,84
3,0:15.0,,T. Ross misses 3-pt jump shot from 25 ft,88,84
3,0:13.0,Defensive rebound by Team,,88,84
3,0:02.0,R. Holmes makes 2-pt dunk at rim (assist by D. Booker),,90,84
3,0:00.0,,Personal foul by E. Okobo (drawn by J. Grant),90,84
3,0:00.0,Technical foul by D. Booker,,90,84
3,0:00.0,,T. Ross makes technical free throw,90,85
3,0:00.0,,J. Grant makes free throw 1 of 2,90,86
3,0:00.0,,J. Grant makes free throw 2 of 2,90,87
4,11:41.0,,T. Ross makes 2-pt jump shot from 13 ft (assist by A. Gordon),90,89
4,11:23.0,Personal foul by J. Simmons (drawn by K. Oubre),,90,89
4,11:08.0,R. Holmes misses 2-pt hook shot from 6 ft,,90,89
4,11:05.0,,Defensive rebound by M. Bamba,90,89
4,10:55.0,,M. Bamba makes 2-pt jump shot from 9 ft,90,91
4,10:39.0,J. Jackson misses 2-pt jump shot from 14 ft,,90,91
4,10:37.0,Offensive rebound by R. Holmes,,90,91
4,10:37.0,R. Holmes misses 2-pt layup from 2 ft (block by J. Simmons),,90,91
4,10:37.0,Offensive rebound by Team,,90,91
4,10:29.0,E. Okobo makes 2-pt jump shot from 20 ft,,92,91
4,10:09.0,,Turnover by M. Bamba (lost ball; steal by K. Oubre),92,91
4,9:59.0,K. Oubre misses 2-pt layup from 3 ft,,92,91
4,9:56.0,,Defensive rebound by M. Bamba,92,91
4,9:46.0,,J. Simmons makes 2-pt layup from 1 ft,92,93
4,9:27.0,E. Okobo misses 3-pt jump shot from 26 ft,,92,93
4,9:22.0,,Defensive rebound by M. Bamba,92,93
4,9:20.0,,Turnover by J. Simmons (dbl dribble),92,93
4,9:05.0,M. Bridges misses 2-pt jump shot from 13 ft,,92,93
4,9:02.0,,Defensive rebound by A. Gordon,92,93
4,8:55.0,,A. Gordon misses 2-pt jump shot from 17 ft,92,93
4,8:51.0,Defensive rebound by K. Oubre,,92,93
4,8:47.0,Shooting foul by M. Bamba (drawn by J. Jackson),,92,93
4,8:47.0,J. Jackson misses free throw 1 of 2,,92,93
4,8:47.0,Offensive rebound by Team,,92,93
4,8:47.0,D. Melton enters the game for E. Okobo,,92,93
4,8:47.0,J. Jackson misses free throw 2 of 2,,92,93
4,8:45.0,,Defensive rebound by M. Bamba,92,93
4,8:26.0,,J. Simmons misses 3-pt jump shot from 25 ft,92,93
4,8:23.0,Defensive rebound by J. Jackson,,92,93
4,8:18.0,Turnover by J. Jackson (bad pass; steal by T. Ross),,92,93
4,8:18.0,Clear path foul by T. Ross,,92,93
4,8:18.0,,T. Ross misses clear path free throw 1 of 2,92,93
4,8:18.0,,Offensive rebound by Team,92,93
4,8:18.0,,T. Ross makes clear path free throw 2 of 2,92,94
4,8:06.0,,D. Augustin misses 3-pt jump shot from 26 ft,92,94
4,8:02.0,Defensive rebound by M. Bridges,,92,94
4,7:51.0,K. Oubre makes 2-pt layup from 1 ft,,94,94
4,7:37.0,,D. Augustin makes 2-pt layup from 1 ft,94,96
4,7:37.0,,Shooting foul by D. Melton (drawn by D. Augustin),94,96
4,7:37.0,D. Ayton enters the game for R. Holmes,,94,96
4,7:37.0,D. Booker enters the game for J. Jackson,,94,96
4,7:37.0,,E. Fournier enters the game for M. Bamba,94,96
4,7:37.0,,N. Vučević enters the game for J. Simmons,94,96
4,7:37.0,,D. Augustin makes free throw 1 of 1,94,97
4,7:13.0,D. Booker misses 2-pt jump shot from 17 ft,,94,97
4,7:11.0,Offensive rebound by D. Ayton,,94,97
4,7:08.0,M. Bridges misses 3-pt jump shot from 25 ft,,94,97
4,7:05.0,,Defensive rebound by N. Vučević,94,97
4,6:57.0,,D. Augustin makes 3-pt jump shot from 26 ft,94,100
4,6:57.0,Phoenix full timeout,,94,100
4,6:57.0,E. Okobo enters the game for M. Bridges,,94,100
4,6:57.0,T. Warren enters the game for D. Melton,,94,100
4,6:57.0,,J. Isaac enters the game for A. Gordon,94,100
4,6:46.0,K. Oubre makes 2-pt dunk from 2 ft (assist by D. Booker),,96,100
4,6:21.0,,J. Isaac misses 3-pt jump shot from 26 ft,96,100
4,6:17.0,Defensive rebound by D. Booker,,96,100
4,6:10.0,D. Ayton makes 2-pt hook shot from 6 ft (assist by D. Booker),,98,100
4,5:55.0,,N. Vučević misses 3-pt jump shot from 26 ft,98,100
4,5:52.0,Defensive rebound by D. Booker,,98,100
4,5:46.0,D. Booker makes 2-pt jump shot from 16 ft,,100,100
4,5:24.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by E. Fournier),100,103
4,4:56.0,E. Okobo misses 2-pt jump shot from 11 ft,,100,103
4,4:55.0,,Defensive rebound by J. Isaac,100,103
4,4:55.0,,D. Augustin misses 3-pt jump shot from 26 ft,100,103
4,4:48.0,Defensive rebound by D. Ayton,,100,103
4,4:47.0,Phoenix full timeout,,100,103
4,4:47.0,,A. Gordon enters the game for J. Isaac,100,103
4,4:34.0,Personal foul by A. Gordon (drawn by T. Warren),,100,103
4,4:24.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by D. Ayton),,103,103
4,4:01.0,,N. Vučević makes 2-pt jump shot from 12 ft,103,105
4,3:45.0,Turnover by D. Ayton (traveling),,103,105
4,3:33.0,,D. Augustin misses 2-pt layup from 5 ft (block by K. Oubre),103,105
4,3:30.0,,Offensive rebound by D. Augustin,103,105
4,3:29.0,,D. Augustin misses 2-pt layup from 2 ft,103,105
4,3:27.0,Defensive rebound by D. Ayton,,103,105
4,3:23.0,K. Oubre misses 2-pt layup from 2 ft,,103,105
4,3:19.0,,Defensive rebound by E. Fournier,103,105
4,3:14.0,,Orlando full timeout,103,105
4,3:14.0,M. Bridges enters the game for E. Okobo,,103,105
4,3:06.0,,N. Vučević misses 3-pt jump shot from 25 ft,103,105
4,3:05.0,Defensive rebound by Team,,103,105
4,2:47.0,T. Warren makes 2-pt jump shot from 16 ft (assist by D. Ayton),,105,105
4,2:22.0,,N. Vučević makes 2-pt hook shot from 5 ft,105,107
4,2:05.0,T. Warren makes 2-pt layup from 2 ft,,107,107
4,1:49.0,,N. Vučević makes 2-pt jump shot from 11 ft (assist by A. Gordon),107,109
4,1:26.0,D. Ayton makes 2-pt layup from 2 ft (assist by M. Bridges),,109,109
4,1:12.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by D. Augustin),109,112
4,1:00.0,D. Booker makes 3-pt jump shot from 25 ft,,112,112
4,0:49.0,,Turnover by D. Augustin (bad pass; steal by D. Booker),112,112
4,0:46.0,D. Booker makes 2-pt dunk from 2 ft (assist by M. Bridges),,114,112
4,0:46.0,,Orlando full timeout,114,112
4,0:38.0,,E. Fournier misses 2-pt layup from 2 ft (block by M. Bridges),114,112
4,0:33.0,,Offensive rebound by N. Vučević,114,112
4,0:32.0,,N. Vučević misses 2-pt layup from 2 ft,114,112
4,0:32.0,Defensive rebound by D. Booker,,114,112
4,0:16.0,D. Booker makes 2-pt layup from 2 ft,,116,112
4,0:16.0,,Orlando full timeout,116,112
4,0:12.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by E. Fournier),116,115
4,0:11.0,Phoenix full timeout,,116,115
4,0:11.0,,J. Isaac enters the game for D. Augustin,116,115
4,0:11.0,,J. Simmons enters the game for T. Ross,116,115
4,0:07.0,Personal take foul by E. Fournier (drawn by K. Oubre),,116,115
