QUARTER,TIME_REMAINING,MIAMI_ACTION,DALLAS_ACTION,MIAMI_SCORE,DALLAS_SCORE
1,7:59.0,Turnover by K. Olynyk (bad pass; steal by T. Hardaway),,9,5
1,7:53.0,,L. Dončić misses 2-pt layup from 3 ft (block by K. Olynyk),9,5
1,7:53.0,Defensive rebound by J. Richardson,,9,5
1,7:48.0,D. Waiters makes 2-pt layup from 2 ft (assist by J. Richardson),,11,5
1,7:45.0,,Dallas full timeout,11,5
1,7:29.0,,M. Kleber misses 3-pt jump shot from 26 ft,11,5
1,7:25.0,Defensive rebound by H. Whiteside,,11,5
1,7:10.0,H. Whiteside makes 2-pt jump shot from 9 ft,,13,5
1,7:10.0,,J. Brunson enters the game for S. Mejri,13,5
1,6:45.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,13,5
1,6:43.0,Defensive rebound by J. Winslow,,13,5
1,6:24.0,H. Whiteside misses 2-pt hook shot from 7 ft,,13,5
1,6:21.0,,Defensive rebound by L. Dončić,13,5
1,6:15.0,,T. Hardaway makes 2-pt jump shot from 12 ft (assist by L. Dončić),13,7
1,5:58.0,K. Olynyk makes 2-pt dunk from 1 ft (assist by J. Winslow),,15,7
1,5:47.0,,L. Dončić makes 2-pt layup from 2 ft,15,9
1,5:33.0,Turnover by J. Winslow (bad pass; steal by D. Finney-Smith),,15,9
1,5:26.0,,L. Dončić makes 3-pt jump shot from 28 ft (assist by J. Brunson),15,12
1,5:11.0,Offensive foul by J. Winslow (drawn by J. Brunson),,15,12
1,5:11.0,Turnover by J. Winslow (offensive foul),,15,12
1,5:11.0,D. Wade enters the game for J. Winslow,,15,12
1,5:11.0,,D. Nowitzki enters the game for D. Finney-Smith,15,12
1,5:11.0,,D. Powell enters the game for M. Kleber,15,12
1,4:59.0,,L. Dončić misses 3-pt jump shot from 27 ft,15,12
1,4:55.0,,Offensive rebound by J. Brunson,15,12
1,4:50.0,,L. Dončić misses 2-pt layup from 2 ft,15,12
1,4:48.0,,Offensive rebound by L. Dončić,15,12
1,4:48.0,,L. Dončić makes 2-pt layup from 1 ft,15,14
1,4:48.0,Miami full timeout,,15,14
1,4:31.0,D. Waiters misses 3-pt jump shot from 25 ft,,15,14
1,4:28.0,,Defensive rebound by J. Brunson,15,14
1,4:23.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,15,14
1,4:20.0,Defensive rebound by D. Waiters,,15,14
1,4:07.0,K. Olynyk makes 2-pt jump shot from 6 ft,,17,14
1,3:51.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by L. Dončić),17,17
1,3:26.0,K. Olynyk misses 2-pt layup from 2 ft,,17,17
1,3:24.0,Offensive rebound by H. Whiteside,,17,17
1,3:24.0,H. Whiteside misses 2-pt layup at rim,,17,17
1,3:24.0,Offensive rebound by Team,,17,17
1,3:24.0,B. Adebayo enters the game for K. Olynyk,,17,17
1,3:24.0,J. Johnson enters the game for D. Waiters,,17,17
1,3:24.0,R. McGruder enters the game for H. Whiteside,,17,17
1,3:22.0,D. Wade makes 2-pt jump shot from 18 ft (assist by J. Richardson),,19,17
1,3:10.0,,Turnover by L. Dončić (bad pass),19,17
1,2:59.0,D. Wade misses 2-pt jump shot from 14 ft,,19,17
1,2:57.0,,Defensive rebound by Team,19,17
1,2:57.0,,D. Harris enters the game for L. Dončić,19,17
1,2:41.0,,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by T. Hardaway),19,19
1,2:24.0,Turnover by D. Wade (bad pass; steal by D. Harris),,19,19
1,2:19.0,,T. Hardaway misses 3-pt jump shot from 26 ft,19,19
1,2:15.0,Defensive rebound by R. McGruder,,19,19
1,2:08.0,D. Wade makes 3-pt jump shot from 23 ft,,22,19
1,1:42.0,,D. Nowitzki makes 2-pt jump shot from 7 ft (assist by D. Harris),22,21
1,1:26.0,R. McGruder makes 3-pt jump shot from 25 ft (assist by J. Johnson),,25,21
1,1:13.0,,J. Brunson makes 2-pt layup from 1 ft,25,23
1,0:59.0,J. Johnson makes 2-pt jump shot from 6 ft,,27,23
1,0:49.0,,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by J. Brunson),27,25
1,0:38.0,Turnover by B. Adebayo (lost ball; steal by D. Nowitzki),,27,25
1,0:32.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,27,25
1,0:29.0,Defensive rebound by J. Johnson,,27,25
1,0:11.0,Shooting foul by D. Powell (drawn by D. Wade),,27,25
1,0:11.0,D. Wade makes free throw 1 of 2,,28,25
1,0:11.0,,J. Jackson enters the game for T. Hardaway,28,25
1,0:11.0,D. Wade makes free throw 2 of 2,,29,25
1,0:01.0,,D. Nowitzki misses 3-pt jump shot from 28 ft,29,25
1,0:01.0,,Offensive rebound by Team,29,25
2,11:48.0,,Shooting foul by D. Wade (drawn by D. Harris),29,25
2,11:48.0,,D. Harris makes free throw 1 of 2,29,26
2,11:48.0,,L. Dončić enters the game for J. Brunson,29,26
2,11:48.0,,D. Harris makes free throw 2 of 2,29,27
2,11:38.0,R. McGruder misses 2-pt jump shot from 9 ft,,29,27
2,11:35.0,,Defensive rebound by D. Powell,29,27
2,11:27.0,,D. Harris makes 3-pt jump shot from 26 ft (assist by L. Dončić),29,30
2,11:14.0,J. Winslow misses 2-pt jump shot from 16 ft,,29,30
2,11:11.0,,Defensive rebound by D. Nowitzki,29,30
2,11:01.0,,Shooting foul by D. Wade (drawn by L. Dončić),29,30
2,11:01.0,,L. Dončić misses free throw 1 of 2,29,30
2,11:01.0,,Offensive rebound by Team,29,30
2,11:01.0,,L. Dončić makes free throw 2 of 2,29,31
2,10:51.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Winslow),,31,31
2,10:29.0,,Turnover by J. Jackson (lost ball; steal by R. McGruder),31,31
2,10:24.0,D. Wade makes 2-pt layup from 2 ft (assist by J. Johnson),,33,31
2,10:08.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,33,31
2,10:03.0,Defensive rebound by J. Winslow,,33,31
2,9:53.0,J. Winslow misses 2-pt jump shot from 18 ft,,33,31
2,9:50.0,,Defensive rebound by L. Dončić,33,31
2,9:38.0,,L. Dončić misses 3-pt jump shot from 27 ft,33,31
2,9:35.0,Defensive rebound by D. Wade,,33,31
2,9:31.0,Shooting foul by D. Nowitzki (drawn by B. Adebayo),,33,31
2,9:31.0,B. Adebayo makes free throw 1 of 2,,34,31
2,9:31.0,,M. Kleber enters the game for D. Nowitzki,34,31
2,9:31.0,B. Adebayo makes free throw 2 of 2,,35,31
2,9:18.0,,Personal foul by R. McGruder (drawn by D. Powell),35,31
2,9:11.0,,D. Harris misses 3-pt jump shot from 23 ft,35,31
2,9:07.0,Defensive rebound by J. Johnson,,35,31
2,9:04.0,D. Wade misses 3-pt jump shot from 25 ft,,35,31
2,9:00.0,,Defensive rebound by J. Jackson,35,31
2,8:51.0,,J. Jackson makes 2-pt layup from 3 ft (assist by D. Harris),35,33
2,8:33.0,R. McGruder misses 3-pt jump shot from 25 ft,,35,33
2,8:31.0,,Defensive rebound by L. Dončić,35,33
2,8:26.0,,Turnover by L. Dončić (bad pass; steal by J. Winslow),35,33
2,8:19.0,Shooting foul by M. Kleber (drawn by R. McGruder),,35,33
2,8:19.0,R. McGruder makes free throw 1 of 2,,36,33
2,8:19.0,R. McGruder misses free throw 2 of 2,,36,33
2,8:17.0,,Defensive rebound by M. Kleber,36,33
2,7:59.0,,Def 3 sec tech foul by Team,36,33
2,7:59.0,,D. Harris makes technical free throw,36,34
2,7:49.0,,D. Powell misses 2-pt hook shot from 4 ft,36,34
2,7:46.0,Defensive rebound by B. Adebayo,,36,34
2,7:39.0,J. Winslow makes 2-pt layup from 2 ft,,38,34
2,7:30.0,,Dallas full timeout,38,34
2,7:30.0,D. Waiters enters the game for D. Wade,,38,34
2,7:25.0,,J. Jackson misses 3-pt jump shot from 26 ft,38,34
2,7:22.0,Defensive rebound by D. Waiters,,38,34
2,7:08.0,Shooting foul by D. Harris (drawn by D. Waiters),,38,34
2,7:08.0,D. Waiters makes free throw 1 of 2,,39,34
2,7:08.0,D. Waiters makes free throw 2 of 2,,40,34
2,6:45.0,,D. Powell misses 3-pt jump shot from 26 ft,40,34
2,6:42.0,Defensive rebound by J. Johnson,,40,34
2,6:25.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Waiters),,43,34
2,6:06.0,,D. Powell makes 2-pt jump shot from 3 ft (assist by M. Kleber),43,36
2,5:46.0,Turnover by B. Adebayo (lost ball; steal by M. Kleber),,43,36
2,5:37.0,,M. Kleber makes 2-pt dunk from 1 ft (assist by L. Dončić),43,38
2,5:37.0,Miami full timeout,,43,38
2,5:37.0,J. Richardson enters the game for B. Adebayo,,43,38
2,5:37.0,H. Whiteside enters the game for J. Winslow,,43,38
2,5:37.0,,J. Brunson enters the game for L. Dončić,43,38
2,5:37.0,,D. Finney-Smith enters the game for D. Harris,43,38
2,5:37.0,,T. Hardaway enters the game for J. Jackson,43,38
2,5:37.0,,S. Mejri enters the game for D. Powell,43,38
2,5:21.0,Turnover by D. Waiters (bad pass; steal by S. Mejri),,43,38
2,5:16.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by J. Brunson),43,41
2,5:00.0,J. Richardson misses 3-pt jump shot from 26 ft,,43,41
2,4:57.0,,Defensive rebound by J. Brunson,43,41
2,4:53.0,,J. Brunson makes 2-pt layup from 2 ft,43,43
2,4:51.0,Turnover by J. Richardson (inbound),,43,43
2,4:44.0,,Personal foul by D. Waiters (drawn by T. Hardaway),43,43
2,4:37.0,,Personal foul by J. Richardson (drawn by T. Hardaway),43,43
2,4:37.0,,T. Hardaway makes free throw 1 of 2,43,44
2,4:37.0,K. Olynyk enters the game for J. Johnson,,43,44
2,4:37.0,,T. Hardaway misses free throw 2 of 2,43,44
2,4:34.0,,Offensive rebound by S. Mejri,43,44
2,4:33.0,,T. Hardaway makes 2-pt jump shot from 16 ft (assist by S. Mejri),43,46
2,4:17.0,Turnover by J. Richardson (bad pass; steal by D. Finney-Smith),,43,46
2,3:54.0,,T. Hardaway makes 3-pt jump shot from 28 ft (assist by J. Brunson),43,49
2,3:43.0,Personal foul by D. Finney-Smith (drawn by H. Whiteside),,43,49
2,3:30.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by J. Richardson),,46,49
2,3:17.0,,Offensive foul by T. Hardaway (drawn by J. Richardson),46,49
2,3:17.0,,Turnover by T. Hardaway (offensive foul),46,49
2,3:06.0,K. Olynyk makes 3-pt jump shot from 24 ft (assist by J. Richardson),,49,49
2,3:03.0,,Dallas full timeout,49,49
2,3:03.0,,L. Dončić enters the game for S. Mejri,49,49
2,2:54.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,49,49
2,2:52.0,,Offensive rebound by M. Kleber,49,49
2,2:42.0,,T. Hardaway misses 3-pt jump shot from 25 ft,49,49
2,2:38.0,Defensive rebound by D. Waiters,,49,49
2,2:27.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by R. McGruder),,52,49
2,2:10.0,,L. Dončić makes 3-pt jump shot from 27 ft,52,52
2,1:53.0,Turnover by K. Olynyk (out of bounds lost ball),,52,52
2,1:44.0,,M. Kleber makes 3-pt jump shot from 27 ft (assist by L. Dončić),52,55
2,1:26.0,R. McGruder misses 3-pt jump shot from 25 ft,,52,55
2,1:24.0,Offensive rebound by Team,,52,55
2,1:24.0,B. Adebayo enters the game for K. Olynyk,,52,55
2,1:24.0,D. Wade enters the game for H. Whiteside,,52,55
2,1:15.0,J. Richardson misses 3-pt jump shot from 27 ft,,52,55
2,1:13.0,,Defensive rebound by M. Kleber,52,55
2,0:57.0,,J. Brunson misses 2-pt jump shot from 6 ft,52,55
2,0:54.0,,Offensive rebound by D. Finney-Smith,52,55
2,0:54.0,,D. Finney-Smith misses 2-pt layup from 1 ft,52,55
2,0:54.0,,Offensive rebound by L. Dončić,52,55
2,0:45.0,,L. Dončić makes 3-pt jump shot from 29 ft,52,58
2,0:36.0,D. Wade makes 2-pt jump shot from 8 ft,,54,58
2,0:36.0,Shooting foul by T. Hardaway (drawn by D. Wade),,54,58
2,0:36.0,J. Johnson enters the game for D. Waiters,,54,58
2,0:36.0,D. Wade makes free throw 1 of 1,,55,58
2,0:18.0,,L. Dončić misses 2-pt layup from 2 ft,55,58
2,0:15.0,Defensive rebound by R. McGruder,,55,58
2,0:01.0,D. Wade makes 2-pt jump shot from 18 ft,,57,58
2,0:00.0,,Turnover by M. Kleber (bad pass; steal by R. McGruder),57,58
3,11:51.0,,L. Dončić misses 3-pt jump shot from 26 ft,57,58
3,11:47.0,Defensive rebound by H. Whiteside,,57,58
3,11:36.0,J. Richardson misses 3-pt jump shot from 24 ft,,57,58
3,11:32.0,,Defensive rebound by D. Finney-Smith,57,58
3,11:14.0,,T. Hardaway misses 3-pt jump shot from 25 ft,57,58
3,11:11.0,Defensive rebound by H. Whiteside,,57,58
3,11:07.0,J. Winslow makes 2-pt jump shot from 23 ft,,59,58
3,10:50.0,,D. Finney-Smith misses 3-pt jump shot from 24 ft,59,58
3,10:45.0,Defensive rebound by H. Whiteside,,59,58
3,10:36.0,K. Olynyk misses 3-pt jump shot from 24 ft,,59,58
3,10:33.0,,Defensive rebound by D. Finney-Smith,59,58
3,10:21.0,,Offensive foul by D. Finney-Smith (drawn by H. Whiteside),59,58
3,10:21.0,,Turnover by D. Finney-Smith (offensive foul),59,58
3,10:06.0,J. Winslow makes 2-pt jump shot from 3 ft,,61,58
3,10:06.0,,Dallas full timeout,61,58
3,9:48.0,,J. Brunson misses 3-pt jump shot from 23 ft,61,58
3,9:44.0,Defensive rebound by J. Winslow,,61,58
3,9:39.0,Personal foul by T. Hardaway (drawn by H. Whiteside),,61,58
3,9:33.0,J. Winslow misses 2-pt jump shot from 11 ft,,61,58
3,9:30.0,,Defensive rebound by L. Dončić,61,58
3,9:17.0,,Personal foul by D. Waiters (drawn by L. Dončić),61,58
3,9:10.0,,M. Kleber makes 2-pt layup from 1 ft (assist by D. Finney-Smith),61,60
3,9:10.0,,Shooting foul by J. Winslow (drawn by M. Kleber),61,60
3,9:10.0,,M. Kleber makes free throw 1 of 1,61,61
3,9:03.0,J. Winslow misses 3-pt jump shot from 25 ft,,61,61
3,9:01.0,,Defensive rebound by Team,61,61
3,9:01.0,Loose ball foul by K. Olynyk (drawn by L. Dončić),,61,61
3,8:40.0,,M. Kleber misses 3-pt jump shot from 23 ft,61,61
3,8:37.0,Defensive rebound by J. Winslow,,61,61
3,8:20.0,J. Winslow makes 3-pt jump shot from 25 ft (assist by J. Richardson),,64,61
3,8:03.0,,L. Dončić misses 2-pt layup from 2 ft,64,61
3,8:02.0,,Offensive rebound by L. Dončić,64,61
3,8:02.0,,Shooting foul by J. Richardson (drawn by L. Dončić),64,61
3,8:02.0,,L. Dončić makes free throw 1 of 2,64,62
3,8:02.0,,L. Dončić makes free throw 2 of 2,64,63
3,7:51.0,J. Winslow misses 2-pt layup from 1 ft,,64,63
3,7:48.0,Offensive rebound by J. Richardson,,64,63
3,7:48.0,J. Richardson makes 2-pt dunk from 1 ft,,66,63
3,7:32.0,,J. Brunson misses 2-pt jump shot from 8 ft,66,63
3,7:30.0,Defensive rebound by H. Whiteside,,66,63
3,7:18.0,D. Waiters makes 2-pt layup from 2 ft,,68,63
3,7:05.0,,Turnover by L. Dončić (bad pass; steal by D. Waiters),68,63
3,6:58.0,J. Richardson makes 2-pt jump shot from 22 ft (assist by D. Waiters),,70,63
3,6:58.0,,Dallas full timeout,70,63
3,6:58.0,,D. Harris enters the game for L. Dončić,70,63
3,6:58.0,,D. Nowitzki enters the game for D. Finney-Smith,70,63
3,6:58.0,,D. Powell enters the game for M. Kleber,70,63
3,6:38.0,,D. Harris misses 3-pt jump shot from 22 ft,70,63
3,6:35.0,Defensive rebound by D. Waiters,,70,63
3,6:31.0,D. Waiters misses 3-pt jump shot from 26 ft,,70,63
3,6:27.0,,Defensive rebound by T. Hardaway,70,63
3,6:18.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,70,63
3,6:15.0,Defensive rebound by J. Winslow,,70,63
3,6:07.0,J. Richardson makes 2-pt jump shot from 10 ft,,72,63
3,5:51.0,,T. Hardaway misses 3-pt jump shot from 24 ft,72,63
3,5:49.0,Defensive rebound by J. Winslow,,72,63
3,5:38.0,J. Richardson misses 3-pt jump shot from 26 ft,,72,63
3,5:35.0,,Defensive rebound by T. Hardaway,72,63
3,5:26.0,,T. Hardaway misses 2-pt layup from 2 ft,72,63
3,5:24.0,Defensive rebound by J. Winslow,,72,63
3,5:11.0,H. Whiteside makes 2-pt jump shot from 13 ft (assist by J. Richardson),,74,63
3,4:48.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,74,63
3,4:46.0,Defensive rebound by K. Olynyk,,74,63
3,4:36.0,D. Waiters makes 2-pt layup from 2 ft,,76,63
3,4:36.0,,Dallas full timeout,76,63
3,4:36.0,D. Wade enters the game for J. Winslow,,76,63
3,4:36.0,,D. Finney-Smith enters the game for T. Hardaway,76,63
3,4:23.0,,J. Brunson makes 2-pt jump shot from 18 ft,76,65
3,4:07.0,J. Richardson misses 3-pt jump shot from 26 ft,,76,65
3,4:04.0,,Defensive rebound by D. Harris,76,65
3,4:00.0,,J. Brunson misses 3-pt jump shot from 25 ft,76,65
3,3:58.0,Defensive rebound by H. Whiteside,,76,65
3,3:50.0,D. Wade makes 2-pt layup from 2 ft (assist by D. Waiters),,78,65
3,3:50.0,Shooting foul by D. Powell (drawn by D. Wade),,78,65
3,3:50.0,,L. Dončić enters the game for J. Brunson,78,65
3,3:50.0,D. Wade misses free throw 1 of 1,,78,65
3,3:48.0,,Defensive rebound by D. Powell,78,65
3,3:36.0,,Shooting foul by K. Olynyk (drawn by D. Harris),78,65
3,3:36.0,,D. Harris makes free throw 1 of 2,78,66
3,3:36.0,,D. Harris makes free throw 2 of 2,78,67
3,3:13.0,D. Waiters makes 3-pt jump shot from 26 ft,,81,67
3,3:00.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by L. Dončić),81,70
3,2:59.0,Miami full timeout,,81,70
3,2:59.0,B. Adebayo enters the game for K. Olynyk,,81,70
3,2:59.0,J. Johnson enters the game for H. Whiteside,,81,70
3,2:41.0,D. Waiters misses 3-pt jump shot from 25 ft,,81,70
3,2:41.0,,Defensive rebound by L. Dončić,81,70
3,2:31.0,,D. Harris misses 3-pt jump shot from 22 ft,81,70
3,2:28.0,,Offensive rebound by L. Dončić,81,70
3,2:26.0,,Shooting foul by J. Richardson (drawn by D. Harris),81,70
3,2:26.0,,D. Harris misses free throw 1 of 2,81,70
3,2:26.0,,Offensive rebound by Team,81,70
3,2:26.0,,D. Harris makes free throw 2 of 2,81,71
3,2:16.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by D. Wade),,84,71
3,2:04.0,,L. Dončić misses 3-pt jump shot from 26 ft,84,71
3,2:01.0,,Offensive rebound by D. Finney-Smith,84,71
3,2:00.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,84,71
3,1:56.0,,Offensive rebound by L. Dončić,84,71
3,1:51.0,,Turnover by L. Dončić (out of bounds lost ball),84,71
3,1:36.0,Turnover by J. Johnson (traveling),,84,71
3,1:36.0,R. McGruder enters the game for D. Waiters,,84,71
3,1:20.0,,Turnover by D. Harris (bad pass; steal by B. Adebayo),84,71
3,1:13.0,Turnover by B. Adebayo (step out of bounds),,84,71
3,0:59.0,,D. Nowitzki makes 3-pt jump shot from 27 ft (assist by L. Dončić),84,74
3,0:44.0,R. McGruder makes 3-pt jump shot from 23 ft (assist by J. Johnson),,87,74
3,0:34.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,87,74
3,0:32.0,Defensive rebound by Team,,87,74
3,0:16.0,D. Wade makes 2-pt jump shot from 12 ft,,89,74
3,0:01.0,,L. Dončić misses 3-pt jump shot from 28 ft,89,74
3,0:01.0,,Offensive rebound by Team,89,74
4,11:50.0,D. Wade makes 2-pt jump shot from 15 ft (assist by J. Winslow),,91,74
4,11:32.0,,L. Dončić misses 2-pt jump shot from 5 ft,91,74
4,11:28.0,Defensive rebound by R. McGruder,,91,74
4,11:08.0,R. McGruder misses 2-pt layup from 2 ft,,91,74
4,11:07.0,Offensive rebound by B. Adebayo,,91,74
4,11:06.0,B. Adebayo makes 2-pt layup from 1 ft,,93,74
4,10:45.0,,Shooting foul by J. Johnson (drawn by L. Dončić),93,74
4,10:45.0,,L. Dončić makes free throw 1 of 2,93,75
4,10:45.0,,R. Broekhoff enters the game for D. Finney-Smith,93,75
4,10:45.0,,J. Jackson enters the game for D. Harris,93,75
4,10:45.0,,C. Lee enters the game for M. Kleber,93,75
4,10:45.0,,L. Dončić makes free throw 2 of 2,93,76
4,10:41.0,Personal take foul by C. Lee (drawn by J. Winslow),,93,76
4,10:41.0,,T. Burke enters the game for L. Dončić,93,76
4,10:34.0,D. Wade misses 2-pt jump shot from 12 ft,,93,76
4,10:30.0,Offensive rebound by D. Wade,,93,76
4,10:30.0,D. Wade misses 2-pt jump shot from 3 ft,,93,76
4,10:29.0,Offensive rebound by B. Adebayo,,93,76
4,10:29.0,B. Adebayo misses 2-pt layup from 2 ft,,93,76
4,10:28.0,,Defensive rebound by D. Powell,93,76
4,10:17.0,,Turnover by T. Burke (bad pass; steal by J. Johnson),93,76
4,10:12.0,Shooting foul by R. Broekhoff (drawn by B. Adebayo),,93,76
4,10:12.0,B. Adebayo makes free throw 1 of 2,,94,76
4,10:12.0,B. Adebayo makes free throw 2 of 2,,95,76
4,10:02.0,,T. Burke misses 2-pt jump shot from 15 ft,95,76
4,9:58.0,Defensive rebound by R. McGruder,,95,76
4,9:54.0,R. McGruder misses 2-pt jump shot from 9 ft,,95,76
4,9:51.0,,Defensive rebound by R. Broekhoff,95,76
4,9:41.0,,J. Jackson misses 2-pt jump shot from 8 ft,95,76
4,9:38.0,Defensive rebound by B. Adebayo,,95,76
4,9:21.0,Turnover by D. Wade (lost ball; steal by C. Lee),,95,76
4,9:16.0,,T. Burke misses 3-pt jump shot from 24 ft,95,76
4,9:12.0,Defensive rebound by J. Winslow,,95,76
4,8:53.0,B. Adebayo makes 2-pt layup from 2 ft,,97,76
4,8:51.0,,Dallas full timeout,97,76
4,8:38.0,,J. Jackson misses 3-pt jump shot from 25 ft,97,76
4,8:34.0,Defensive rebound by R. McGruder,,97,76
4,8:21.0,J. Winslow misses 2-pt jump shot from 18 ft,,97,76
4,8:19.0,Offensive rebound by R. McGruder,,97,76
4,8:14.0,Turnover by J. Johnson (bad pass),,97,76
4,8:03.0,,D. Powell makes 2-pt layup from 2 ft,97,78
4,7:43.0,D. Wade makes 2-pt jump shot from 12 ft (assist by B. Adebayo),,99,78
4,7:32.0,,C. Lee makes 2-pt jump shot from 16 ft (assist by D. Powell),99,80
4,7:11.0,Turnover by D. Wade (bad pass; steal by T. Burke),,99,80
4,7:07.0,,T. Burke misses 2-pt layup from 2 ft,99,80
4,7:05.0,Defensive rebound by J. Winslow,,99,80
4,6:53.0,Turnover by J. Winslow (lost ball; steal by T. Burke),,99,80
4,6:49.0,,R. Broekhoff makes 3-pt jump shot from 25 ft,99,83
4,6:49.0,Miami full timeout,,99,83
4,6:49.0,,D. Nowitzki enters the game for D. Powell,99,83
4,6:39.0,J. Johnson misses 2-pt jump shot from 11 ft,,99,83
4,6:36.0,,Defensive rebound by R. Broekhoff,99,83
4,6:19.0,,J. Jackson makes 2-pt layup from 2 ft (assist by T. Burke),99,85
4,5:57.0,D. Wade misses 3-pt jump shot from 26 ft,,99,85
4,5:53.0,,Defensive rebound by D. Nowitzki,99,85
4,5:36.0,,R. Broekhoff misses 3-pt jump shot from 23 ft (block by D. Wade),99,85
4,5:35.0,,Offensive rebound by Team,99,85
4,5:35.0,J. Richardson enters the game for D. Wade,,99,85
4,5:33.0,,R. Broekhoff makes 3-pt jump shot from 28 ft (assist by J. Jackson),99,88
4,5:12.0,J. Johnson makes 2-pt hook shot from 5 ft,,101,88
4,5:02.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,101,88
4,4:58.0,Defensive rebound by J. Johnson,,101,88
4,4:53.0,J. Johnson makes 2-pt jump shot from 11 ft,,103,88
4,4:53.0,Shooting foul by R. Broekhoff (drawn by J. Johnson),,103,88
4,4:53.0,D. Waiters enters the game for J. Winslow,,103,88
4,4:53.0,,J. Brunson enters the game for R. Broekhoff,103,88
4,4:53.0,,L. Dončić enters the game for T. Burke,103,88
4,4:53.0,,D. Finney-Smith enters the game for J. Jackson,103,88
4,4:53.0,,T. Hardaway enters the game for C. Lee,103,88
4,4:53.0,,M. Kleber enters the game for D. Nowitzki,103,88
4,4:53.0,J. Johnson misses free throw 1 of 1,,103,88
4,4:51.0,,Defensive rebound by L. Dončić,103,88
4,4:44.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by T. Hardaway),103,91
4,4:29.0,J. Johnson misses 2-pt jump shot from 8 ft,,103,91
4,4:27.0,Offensive rebound by B. Adebayo,,103,91
4,4:27.0,Turnover by B. Adebayo (out of bounds lost ball),,103,91
4,4:27.0,J. Winslow enters the game for R. McGruder,,103,91
4,4:21.0,,T. Hardaway misses 3-pt jump shot from 27 ft,103,91
4,4:19.0,,Offensive rebound by Team,103,91
4,4:19.0,Loose ball foul by J. Johnson (drawn by D. Finney-Smith),,103,91
4,4:05.0,,D. Finney-Smith misses 2-pt jump shot from 13 ft,103,91
4,4:01.0,Defensive rebound by J. Winslow,,103,91
4,3:46.0,D. Waiters misses 3-pt jump shot from 23 ft,,103,91
4,3:42.0,,Defensive rebound by J. Brunson,103,91
