QUARTER,TIME_REMAINING,WASHINGTON_ACTION,GOLDEN STATE_ACTION,WASHINGTON_SCORE,GOLDEN STATE_SCORE
1,3:50.0,Turnover by K. Oubre (lost ball; steal by J. Jerebko),,22,29
1,3:45.0,,J. Jerebko misses 2-pt layup from 2 ft,22,29
1,3:44.0,,Offensive rebound by J. Jerebko,22,29
1,3:44.0,,J. Jerebko misses 2-pt layup from 1 ft,22,29
1,3:43.0,Defensive rebound by K. Oubre,,22,29
1,3:36.0,J. Wall misses 3-pt jump shot from 22 ft,,22,29
1,3:34.0,,Defensive rebound by J. Jerebko,22,29
1,3:30.0,,S. Curry makes 3-pt jump shot from 31 ft (assist by J. Jerebko),22,32
1,3:17.0,M. Morris makes 3-pt jump shot from 28 ft (assist by J. Wall),,25,32
1,3:04.0,,S. Curry makes 2-pt layup from 6 ft,25,34
1,2:53.0,A. Rivers misses 3-pt jump shot from 26 ft,,25,34
1,2:51.0,,Defensive rebound by K. Looney,25,34
1,2:48.0,,S. Curry makes 3-pt jump shot from 33 ft,25,37
1,2:44.0,Washington full timeout,,25,37
1,2:44.0,T. Satoranský enters the game for J. Wall,,25,37
1,2:44.0,,S. Livingston enters the game for K. Durant,25,37
1,2:24.0,M. Morris misses 2-pt layup from 4 ft,,25,37
1,2:23.0,,Defensive rebound by K. Looney,25,37
1,2:17.0,,S. Curry makes 3-pt jump shot from 29 ft,25,40
1,2:03.0,K. Oubre makes 3-pt jump shot from 27 ft (assist by M. Morris),,28,40
1,1:53.0,,Shooting foul by T. Satoranský (drawn by S. Curry),28,40
1,1:53.0,,S. Curry makes free throw 1 of 2,28,41
1,1:53.0,,S. Curry makes free throw 2 of 2,28,42
1,1:42.0,Shooting foul by S. Curry (drawn by T. Satoranský),,28,42
1,1:42.0,T. Satoranský makes free throw 1 of 2,,29,42
1,1:42.0,T. Satoranský makes free throw 2 of 2,,30,42
1,1:30.0,,S. Curry misses 2-pt layup from 2 ft,30,42
1,1:29.0,Defensive rebound by K. Oubre,,30,42
1,1:26.0,K. Oubre makes 3-pt jump shot from 26 ft,,33,42
1,1:01.0,,S. Curry makes 2-pt layup from 5 ft (assist by K. Looney),33,44
1,0:50.0,,Loose ball foul by K. Looney (drawn by T. Satoranský),33,44
1,0:50.0,T. Satoranský makes free throw 1 of 2,,34,44
1,0:50.0,T. Satoranský makes free throw 2 of 2,,35,44
1,0:38.0,,J. Jerebko misses 3-pt jump shot from 27 ft,35,44
1,0:36.0,,Offensive rebound by S. Livingston,35,44
1,0:35.0,,S. Livingston misses 2-pt layup from 1 ft,35,44
1,0:34.0,,Offensive rebound by S. Livingston,35,44
1,0:33.0,,S. Livingston makes 2-pt layup from 1 ft,35,46
1,0:29.0,A. Rivers misses 3-pt jump shot from 26 ft,,35,46
1,0:27.0,,Defensive rebound by S. Livingston,35,46
1,0:08.0,,S. Curry misses 3-pt jump shot from 27 ft,35,46
1,0:06.0,Defensive rebound by M. Morris,,35,46
1,0:00.0,K. Oubre makes 2-pt jump shot from 8 ft (assist by M. Morris),,37,46
2,11:43.0,Personal foul by S. Livingston (drawn by K. Oubre),,37,46
2,11:32.0,Turnover by J. Green (bad pass),,37,46
2,11:13.0,,S. Livingston makes 2-pt jump shot from 19 ft (assist by D. Green),37,48
2,10:57.0,Shooting foul by J. Jerebko (drawn by T. Satoranský),,37,48
2,10:57.0,T. Satoranský makes free throw 1 of 2,,38,48
2,10:57.0,T. Satoranský makes free throw 2 of 2,,39,48
2,10:45.0,,Shooting foul by K. Oubre (drawn by S. Livingston),39,48
2,10:45.0,,S. Livingston makes free throw 1 of 2,39,49
2,10:45.0,,S. Livingston makes free throw 2 of 2,39,50
2,10:29.0,O. Porter makes 3-pt jump shot from 29 ft (assist by J. Green),,42,50
2,10:12.0,,Offensive foul by S. Livingston (drawn by A. Rivers),42,50
2,10:12.0,,Turnover by S. Livingston (offensive foul),42,50
2,10:12.0,,J. Bell enters the game for J. Jerebko,42,50
2,9:57.0,J. Green misses 2-pt layup from 2 ft,,42,50
2,9:56.0,Offensive rebound by A. Rivers,,42,50
2,9:53.0,O. Porter misses 3-pt jump shot from 25 ft,,42,50
2,9:51.0,,Defensive rebound by S. Livingston,42,50
2,9:42.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by D. Green),42,52
2,9:28.0,A. Rivers misses 3-pt jump shot from 26 ft,,42,52
2,9:26.0,Offensive rebound by Team,,42,52
2,9:24.0,Turnover by O. Porter (traveling),,42,52
2,9:21.0,,K. Thompson makes 2-pt jump shot from 5 ft (assist by D. Green),42,54
2,9:08.0,T. Satoranský misses 3-pt jump shot from 27 ft,,42,54
2,9:06.0,,Defensive rebound by S. Livingston,42,54
2,9:02.0,,K. Thompson misses 2-pt jump shot from 19 ft,42,54
2,9:01.0,Defensive rebound by A. Rivers,,42,54
2,8:48.0,J. Green misses 3-pt jump shot from 25 ft,,42,54
2,8:46.0,Offensive rebound by K. Oubre,,42,54
2,8:46.0,Shooting foul by K. Thompson (drawn by K. Oubre),,42,54
2,8:46.0,K. Oubre makes free throw 1 of 2,,43,54
2,8:46.0,,K. Durant enters the game for A. Iguodala,43,54
2,8:46.0,K. Oubre makes free throw 2 of 2,,44,54
2,8:35.0,,J. Bell makes 2-pt dunk from 3 ft (assist by D. Green),44,56
2,8:27.0,K. Oubre makes 2-pt layup from 4 ft (assist by T. Satoranský),,46,56
2,8:18.0,,S. Livingston misses 2-pt layup from 4 ft,46,56
2,8:17.0,,Offensive rebound by S. Livingston,46,56
2,8:11.0,,K. Durant misses 3-pt jump shot from 27 ft,46,56
2,8:09.0,Defensive rebound by J. Green,,46,56
2,8:05.0,J. Green makes 2-pt layup from 2 ft,,48,56
2,7:52.0,,K. Thompson makes 2-pt layup from 2 ft (assist by K. Durant),48,58
2,7:51.0,,Golden State full timeout,48,58
2,7:51.0,J. Wall enters the game for T. Satoranský,,48,58
2,7:35.0,Shooting foul by S. Livingston (drawn by J. Green),,48,58
2,7:35.0,J. Green makes free throw 1 of 2,,49,58
2,7:35.0,,S. Curry enters the game for S. Livingston,49,58
2,7:35.0,J. Green makes free throw 2 of 2,,50,58
2,7:23.0,,Turnover by K. Durant (bad pass; steal by O. Porter),50,58
2,7:11.0,K. Oubre misses 2-pt jump shot from 11 ft (block by S. Curry),,50,58
2,7:09.0,,Defensive rebound by K. Durant,50,58
2,7:02.0,,J. Bell makes 2-pt layup from 3 ft (assist by K. Durant),50,60
2,6:43.0,Turnover by K. Oubre (out of bounds lost ball),,50,60
2,6:43.0,M. Morris enters the game for K. Oubre,,50,60
2,6:36.0,,K. Thompson misses 3-pt jump shot from 26 ft,50,60
2,6:34.0,Defensive rebound by O. Porter,,50,60
2,6:25.0,J. Green misses 3-pt jump shot from 23 ft,,50,60
2,6:23.0,,Defensive rebound by K. Durant,50,60
2,6:10.0,,Turnover by D. Green (bad pass),50,60
2,5:48.0,O. Porter misses 3-pt jump shot from 27 ft,,50,60
2,5:46.0,,Defensive rebound by K. Durant,50,60
2,5:41.0,,K. Durant makes 2-pt dunk from 1 ft,50,62
2,5:18.0,J. Wall makes 2-pt layup from 4 ft,,52,62
2,5:10.0,,K. Durant misses 3-pt jump shot from 29 ft,52,62
2,5:08.0,Defensive rebound by J. Wall,,52,62
2,4:58.0,J. Wall makes 2-pt layup from 1 ft,,54,62
2,4:58.0,,Golden State full timeout,54,62
2,4:58.0,B. Beal enters the game for M. Morris,,54,62
2,4:58.0,K. Oubre enters the game for A. Rivers,,54,62
2,4:58.0,,A. Iguodala enters the game for D. Green,54,62
2,4:58.0,,K. Looney enters the game for K. Thompson,54,62
2,4:39.0,,K. Durant makes 2-pt jump shot from 16 ft,54,64
2,4:25.0,K. Oubre makes 3-pt jump shot from 24 ft (assist by J. Wall),,57,64
2,4:11.0,,S. Curry misses 3-pt jump shot from 24 ft,57,64
2,4:08.0,,Offensive rebound by Team,57,64
2,4:01.0,,K. Durant makes 2-pt jump shot from 14 ft (assist by K. Looney),57,66
2,3:53.0,J. Wall makes 2-pt layup from 1 ft (assist by O. Porter),,59,66
2,3:36.0,,A. Iguodala misses 3-pt jump shot from 28 ft,59,66
2,3:34.0,Defensive rebound by B. Beal,,59,66
2,3:25.0,J. Wall misses 2-pt layup from 4 ft (block by J. Bell),,59,66
2,3:24.0,,Defensive rebound by A. Iguodala,59,66
2,3:18.0,,Turnover by S. Curry (bad pass; steal by J. Green),59,66
2,3:14.0,J. Wall misses 3-pt jump shot from 27 ft,,59,66
2,3:12.0,,Defensive rebound by S. Curry,59,66
2,3:03.0,,Shooting foul by J. Wall (drawn by K. Durant),59,66
2,3:03.0,,K. Durant makes free throw 1 of 2,59,67
2,3:03.0,,D. Green enters the game for J. Bell,59,67
2,3:03.0,,K. Thompson enters the game for K. Looney,59,67
2,3:03.0,,K. Durant makes free throw 2 of 2,59,68
2,2:44.0,Turnover by K. Oubre (bad pass),,59,68
2,2:35.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),59,71
2,2:25.0,J. Green makes 2-pt dunk at rim (assist by B. Beal),,61,71
2,2:07.0,,Personal foul by B. Beal (drawn by S. Curry),61,71
2,2:03.0,,S. Curry makes 2-pt jump shot from 19 ft,61,73
2,2:03.0,,Shooting foul by J. Wall (drawn by S. Curry),61,73
2,2:03.0,,S. Curry makes free throw 1 of 1,61,74
2,1:55.0,B. Beal makes 2-pt layup from 2 ft,,63,74
2,1:46.0,,K. Thompson makes 2-pt layup from 1 ft (assist by D. Green),63,76
2,1:36.0,B. Beal makes 2-pt jump shot from 4 ft,,65,76
2,1:22.0,,Turnover by K. Durant (bad pass),65,76
2,1:18.0,Personal foul by K. Thompson (drawn by J. Green),,65,76
2,1:18.0,J. Green makes free throw 1 of 2,,66,76
2,1:18.0,J. Green makes free throw 2 of 2,,67,76
2,1:06.0,,Personal foul by J. Green (drawn by S. Curry),67,76
2,1:06.0,,S. Curry makes free throw 1 of 2,67,77
2,1:06.0,T. Satoranský enters the game for J. Wall,,67,77
2,1:06.0,,S. Curry makes free throw 2 of 2,67,78
2,0:49.0,J. Green makes 2-pt hook shot from 9 ft,,69,78
2,0:40.0,,K. Thompson misses 2-pt layup from 1 ft,69,78
2,0:39.0,Defensive rebound by T. Satoranský,,69,78
2,0:30.0,B. Beal misses 3-pt jump shot from 26 ft,,69,78
2,0:28.0,,Defensive rebound by S. Curry,69,78
2,0:11.0,,K. Durant makes 2-pt jump shot from 15 ft (assist by S. Curry),69,80
2,0:02.0,B. Beal makes 2-pt jump shot from 13 ft,,71,80
3,11:43.0,M. Morris misses 2-pt jump shot from 12 ft,,71,80
3,11:40.0,,Defensive rebound by K. Thompson,71,80
3,11:20.0,,K. Thompson misses 3-pt jump shot from 26 ft,71,80
3,11:18.0,Defensive rebound by B. Beal,,71,80
3,11:05.0,B. Beal makes 2-pt jump shot from 18 ft,,73,80
3,10:58.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by S. Curry),73,83
3,10:42.0,O. Porter makes 2-pt jump shot from 19 ft,,75,83
3,10:24.0,,Turnover by K. Thompson (bad pass; steal by J. Smith),75,83
3,10:22.0,Personal foul by D. Green (drawn by J. Wall),,75,83
3,10:16.0,J. Smith misses 2-pt layup from 2 ft,,75,83
3,10:14.0,,Defensive rebound by D. Green,75,83
3,10:06.0,,K. Durant makes 2-pt dunk from 2 ft (assist by K. Thompson),75,85
3,9:56.0,O. Porter misses 3-pt jump shot from 27 ft,,75,85
3,9:53.0,,Defensive rebound by Team,75,85
3,9:53.0,Loose ball foul by J. Smith (drawn by K. Thompson),,75,85
3,9:34.0,,K. Thompson misses 2-pt jump shot from 15 ft,75,85
3,9:31.0,Defensive rebound by J. Smith,,75,85
3,9:17.0,M. Morris makes 3-pt jump shot from 23 ft (assist by B. Beal),,78,85
3,9:03.0,,S. Curry misses 2-pt jump shot from 12 ft,78,85
3,9:00.0,,Offensive rebound by D. Jones,78,85
3,8:58.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Jones),78,88
3,8:35.0,M. Morris misses 3-pt jump shot from 24 ft,,78,88
3,8:34.0,,Defensive rebound by Team,78,88
3,8:28.0,,D. Jones makes 2-pt dunk from 1 ft (assist by K. Durant),78,90
3,8:28.0,J. Green enters the game for J. Smith,,78,90
3,8:19.0,M. Morris makes 2-pt layup from 1 ft (assist by B. Beal),,80,90
3,7:53.0,,K. Thompson makes 2-pt jump shot from 12 ft,80,92
3,7:34.0,Turnover by J. Wall (lost ball; steal by D. Green),,80,92
3,7:26.0,,Personal foul by M. Morris (drawn by K. Durant),80,92
3,7:20.0,,Turnover by K. Durant (bad pass; steal by J. Green),80,92
3,7:15.0,B. Beal misses 3-pt jump shot from 31 ft,,80,92
3,7:13.0,,Defensive rebound by D. Green,80,92
3,7:08.0,,Turnover by D. Green (bad pass),80,92
3,6:58.0,B. Beal makes 2-pt dunk from 2 ft (assist by J. Wall),,82,92
3,6:41.0,,K. Durant misses 2-pt jump shot from 16 ft,82,92
3,6:38.0,,Offensive rebound by D. Jones,82,92
3,6:36.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by D. Green),82,95
3,6:11.0,B. Beal makes 2-pt layup from 2 ft,,84,95
3,5:57.0,,K. Durant misses 2-pt jump shot from 8 ft,84,95
3,5:52.0,Defensive rebound by M. Morris,,84,95
3,5:44.0,O. Porter makes 3-pt jump shot from 26 ft (assist by J. Wall),,87,95
3,5:33.0,,Golden State full timeout,87,95
3,5:33.0,,K. Looney enters the game for D. Jones,87,95
3,5:16.0,,K. Durant makes 2-pt dunk from 2 ft,87,97
3,5:16.0,,Shooting foul by J. Green (drawn by K. Durant),87,97
3,5:16.0,,K. Durant makes free throw 1 of 1,87,98
3,5:03.0,Shooting foul by K. Looney (drawn by J. Wall),,87,98
3,5:03.0,J. Wall makes free throw 1 of 2,,88,98
3,5:03.0,K. Oubre enters the game for O. Porter,,88,98
3,5:03.0,,A. Iguodala enters the game for K. Thompson,88,98
3,5:03.0,J. Wall misses free throw 2 of 2,,88,98
3,5:01.0,,Defensive rebound by K. Durant,88,98
3,4:53.0,,D. Green misses 3-pt jump shot from 26 ft,88,98
3,4:50.0,Defensive rebound by B. Beal,,88,98
3,4:50.0,Personal foul by D. Green (drawn by B. Beal),,88,98
3,4:50.0,,J. Bell enters the game for D. Green,88,98
3,4:38.0,B. Beal misses 2-pt layup from 3 ft,,88,98
3,4:36.0,,Defensive rebound by J. Bell,88,98
3,4:34.0,,Shooting foul by M. Morris (drawn by S. Curry),88,98
3,4:34.0,,S. Curry makes free throw 1 of 2,88,99
3,4:34.0,,S. Curry makes free throw 2 of 2,88,100
3,4:21.0,Turnover by J. Wall (bad pass; steal by A. Iguodala),,88,100
3,4:15.0,,S. Curry makes 3-pt jump shot from 23 ft,88,103
3,4:15.0,,Shooting foul by B. Beal (drawn by S. Curry),88,103
3,4:15.0,,S. Curry makes free throw 1 of 1,88,104
3,3:55.0,M. Morris makes 2-pt jump shot from 11 ft,,90,104
3,3:44.0,,A. Iguodala misses 3-pt jump shot from 23 ft,90,104
3,3:41.0,,Offensive rebound by K. Looney,90,104
3,3:39.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Looney),90,107
3,3:29.0,B. Beal makes 3-pt jump shot from 26 ft,,93,107
3,3:11.0,,S. Curry misses 2-pt layup from 7 ft,93,107
3,3:06.0,Defensive rebound by M. Morris,,93,107
3,2:59.0,B. Beal misses 3-pt jump shot from 27 ft,,93,107
3,2:55.0,,Defensive rebound by K. Durant,93,107
3,2:46.0,,S. Curry makes 3-pt jump shot from 31 ft (assist by K. Durant),93,110
3,2:46.0,A. Rivers enters the game for M. Morris,,93,110
3,2:46.0,,S. Livingston enters the game for K. Durant,93,110
3,2:27.0,J. Wall misses 2-pt layup from 2 ft,,93,110
3,2:25.0,,Defensive rebound by A. Iguodala,93,110
3,2:22.0,,A. Iguodala misses 2-pt jump shot from 18 ft,93,110
3,2:21.0,Defensive rebound by J. Green,,93,110
3,2:07.0,B. Beal misses 2-pt jump shot from 11 ft,,93,110
3,2:06.0,,Defensive rebound by K. Looney,93,110
3,1:54.0,,S. Curry misses 3-pt jump shot from 23 ft,93,110
3,1:50.0,,Offensive rebound by S. Livingston,93,110
3,1:44.0,,Personal foul by B. Beal (drawn by S. Curry),93,110
3,1:44.0,,S. Curry makes free throw 1 of 2,93,111
3,1:44.0,,S. Curry makes free throw 2 of 2,93,112
3,1:36.0,K. Oubre misses 2-pt layup from 4 ft (block by K. Looney),,93,112
3,1:35.0,Offensive rebound by Team,,93,112
3,1:26.0,J. Wall misses 2-pt jump shot from 19 ft,,93,112
3,1:25.0,,Defensive rebound by S. Curry,93,112
3,1:20.0,,S. Curry makes 3-pt jump shot from 31 ft,93,115
3,1:00.0,B. Beal makes 2-pt layup from 2 ft,,95,115
3,0:51.0,,S. Curry misses 3-pt jump shot from 35 ft,95,115
3,0:47.0,Defensive rebound by K. Oubre,,95,115
3,0:45.0,Shooting foul by A. Iguodala (drawn by B. Beal),,95,115
3,0:45.0,B. Beal makes free throw 1 of 2,,96,115
3,0:45.0,T. Satoranský enters the game for J. Wall,,96,115
3,0:45.0,,K. Durant enters the game for K. Looney,96,115
3,0:45.0,B. Beal makes free throw 2 of 2,,97,115
3,0:33.0,,Turnover by S. Curry (step out of bounds),97,115
3,0:33.0,J. McRae enters the game for B. Beal,,97,115
3,0:14.0,T. Satoranský misses 2-pt jump shot from 20 ft,,97,115
3,0:10.0,,Defensive rebound by K. Durant,97,115
3,0:02.0,,S. Curry misses 3-pt jump shot from 32 ft,97,115
3,0:00.0,Defensive rebound by J. McRae,,97,115
4,11:36.0,,Turnover by Team (shot clock),97,115
4,11:27.0,Shooting foul by S. Livingston (drawn by T. Satoranský),,97,115
4,11:27.0,T. Satoranský makes free throw 1 of 2,,98,115
4,11:27.0,T. Satoranský makes free throw 2 of 2,,99,115
4,11:08.0,,K. Durant misses 2-pt jump shot from 17 ft,99,115
4,11:02.0,Defensive rebound by J. McRae,,99,115
4,10:52.0,J. McRae misses 3-pt jump shot from 23 ft,,99,115
4,10:50.0,,Defensive rebound by A. Iguodala,99,115
4,10:45.0,,Personal foul by A. Rivers (drawn by K. Thompson),99,115
4,10:34.0,,Personal foul by J. Green (drawn by K. Thompson),99,115
4,10:32.0,,D. Green makes 3-pt jump shot from 28 ft (assist by K. Durant),99,118
4,10:20.0,Turnover by T. Satoranský (bad pass; steal by K. Thompson),,99,118
4,10:20.0,Violation by Team (kicked ball),,99,118
4,10:04.0,,Personal foul by K. Oubre (drawn by D. Green),99,118
4,9:50.0,,K. Thompson makes 2-pt jump shot from 17 ft,99,120
4,9:35.0,Personal foul by D. Green (drawn by J. Green),,99,120
4,9:27.0,K. Oubre misses 3-pt jump shot from 26 ft,,99,120
4,9:25.0,,Defensive rebound by Team,99,120
4,9:21.0,,K. Durant makes 2-pt dunk from 1 ft,99,122
4,9:20.0,Washington full timeout,,99,122
4,9:20.0,T. Bryant enters the game for J. Green,,99,122
4,9:01.0,J. McRae misses 2-pt jump shot from 17 ft,,99,122
4,8:58.0,,Defensive rebound by D. Green,99,122
4,8:42.0,,S. Livingston makes 2-pt dunk from 1 ft (assist by K. Durant),99,124
4,8:31.0,Personal foul by A. Iguodala (drawn by T. Bryant),,99,124
4,8:31.0,,J. Bell enters the game for K. Durant,99,124
4,8:31.0,,J. Jerebko enters the game for D. Green,99,124
4,8:22.0,T. Satoranský misses 3-pt jump shot from 27 ft,,99,124
4,8:22.0,,Defensive rebound by Team,99,124
4,8:03.0,,S. Livingston misses 2-pt layup from 3 ft,99,124
4,7:59.0,Defensive rebound by T. Bryant,,99,124
4,7:58.0,Shooting foul by J. Jerebko (drawn by K. Oubre),,99,124
4,7:58.0,K. Oubre makes free throw 1 of 2,,100,124
4,7:58.0,K. Oubre makes free throw 2 of 2,,101,124
4,7:43.0,,J. Jerebko makes 2-pt jump shot from 18 ft (assist by J. Bell),101,126
4,7:24.0,A. Rivers misses 3-pt jump shot from 26 ft,,101,126
4,7:21.0,,Defensive rebound by K. Thompson,101,126
4,7:16.0,,A. Iguodala makes 2-pt layup at rim (assist by J. Jerebko),101,128
4,7:02.0,T. Bryant makes 2-pt layup from 4 ft (assist by T. Satoranský),,103,128
4,6:50.0,,K. Thompson misses 3-pt jump shot from 28 ft,103,128
4,6:47.0,,Offensive rebound by J. Bell,103,128
4,6:44.0,,Golden State full timeout,103,128
4,6:44.0,T. Brown enters the game for K. Oubre,,103,128
4,6:44.0,,Q. Cook enters the game for S. Livingston,103,128
4,6:44.0,,A. McKinnie enters the game for K. Thompson,103,128
4,6:35.0,,Turnover by Team (shot clock),103,128
4,6:26.0,T. Bryant misses 2-pt layup from 2 ft (block by J. Bell),,103,128
4,6:24.0,Offensive rebound by T. Bryant,,103,128
4,6:24.0,T. Bryant misses 2-pt layup from 4 ft,,103,128
4,6:24.0,,Defensive rebound by A. McKinnie,103,128
4,6:18.0,,A. McKinnie misses 3-pt jump shot from 27 ft,103,128
4,6:18.0,Defensive rebound by T. Satoranský,,103,128
4,6:08.0,A. Rivers makes 3-pt jump shot from 26 ft (assist by T. Satoranský),,106,128
4,5:41.0,,Q. Cook misses 3-pt jump shot from 26 ft,106,128
4,5:41.0,,Offensive rebound by Team,106,128
4,5:40.0,,Turnover by Team (shot clock),106,128
4,5:26.0,J. McRae makes 2-pt jump shot from 15 ft,,108,128
4,5:11.0,,J. Bell makes 2-pt jump shot from 16 ft (assist by J. Jerebko),108,130
4,5:04.0,Personal foul by J. Bell (drawn by T. Bryant),,108,130
4,5:04.0,T. Bryant makes free throw 1 of 2,,109,130
4,5:04.0,T. Bryant makes free throw 2 of 2,,110,130
4,4:53.0,,Personal foul by T. Brown (drawn by J. Jerebko),110,130
4,4:53.0,,J. Jerebko makes free throw 1 of 2,110,131
4,4:53.0,,J. Jerebko misses free throw 2 of 2,110,131
4,4:53.0,Defensive rebound by T. Brown,,110,131
4,4:39.0,T. Brown misses 2-pt layup from 2 ft,,110,131
