QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW YORK_ACTION,PORTLAND_SCORE,NEW YORK_SCORE
4,2:16.0,Offensive rebound by Team,,109,107
4,2:16.0,D. Lillard makes free throw 2 of 3,,110,107
4,2:16.0,D. Lillard makes free throw 3 of 3,,111,107
4,2:07.0,,T. Hardaway makes 2-pt layup from 1 ft (assist by E. Mudiay),111,109
4,1:50.0,C. McCollum makes 3-pt jump shot from 25 ft,,114,109
4,1:43.0,,Shooting foul by E. Turner (drawn by T. Hardaway),114,109
4,1:43.0,,T. Hardaway makes free throw 1 of 3,114,110
4,1:43.0,,T. Hardaway makes free throw 2 of 3,114,111
4,1:43.0,,T. Burke enters the game for E. Freedom,114,111
4,1:43.0,,T. Hardaway makes free throw 3 of 3,114,112
4,1:26.0,J. Nurkić misses 2-pt jump shot from 16 ft,,114,112
4,1:23.0,,Defensive rebound by T. Hardaway,114,112
4,1:03.0,,Personal foul by J. Nurkić (drawn by N. Vonleh),114,112
4,1:03.0,,N. Vonleh misses free throw 1 of 2,114,112
4,1:03.0,,Offensive rebound by Team,114,112
4,1:03.0,,N. Vonleh misses free throw 2 of 2,114,112
4,1:03.0,Defensive rebound by A. Aminu,,114,112
4,0:44.0,D. Lillard makes 2-pt jump shot from 13 ft,,116,112
4,0:44.0,,New York full timeout,116,112
4,0:33.0,,Shooting foul by J. Nurkić (drawn by T. Hardaway),116,112
4,0:33.0,,T. Hardaway makes free throw 1 of 2,116,113
4,0:33.0,,T. Hardaway makes free throw 2 of 2,116,114
4,0:11.0,D. Lillard misses 2-pt jump shot from 14 ft,,116,114
4,0:11.0,Offensive rebound by J. Nurkić,,116,114
4,0:11.0,J. Nurkić misses 2-pt layup from 3 ft,,116,114
4,0:11.0,Offensive rebound by E. Turner,,116,114
4,0:09.0,E. Turner makes 2-pt layup at rim,,118,114
4,0:09.0,,New York full timeout,118,114
4,0:09.0,,E. Freedom enters the game for N. Vonleh,118,114
4,0:06.0,,E. Freedom misses 2-pt hook shot from 7 ft,118,114
4,0:02.0,Defensive rebound by J. Nurkić,,118,114
