QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PORTLAND_ACTION,PHILADELPHIA_SCORE,PORTLAND_SCORE
1,6:16.0,,Turnover by J. Nurkić (bad pass; steal by W. Chandler),13,15
1,6:08.0,Turnover by A. Johnson (off goaltending),,13,15
1,6:08.0,,Portland full timeout,13,15
1,6:08.0,F. Korkmaz enters the game for J. Butler,,13,15
1,6:08.0,M. Muscala enters the game for A. Johnson,,13,15
1,6:08.0,L. Shamet enters the game for J. Redick,,13,15
1,5:45.0,,J. Nurkić misses 2-pt hook shot from 3 ft,13,15
1,5:42.0,Defensive rebound by W. Chandler,,13,15
1,5:40.0,Shooting foul by J. Nurkić (drawn by B. Simmons),,13,15
1,5:40.0,B. Simmons misses free throw 1 of 2,,13,15
1,5:40.0,Offensive rebound by Team,,13,15
1,5:40.0,,J. Layman enters the game for J. Nurkić,13,15
1,5:40.0,,M. Leonard enters the game for E. Turner,13,15
1,5:40.0,B. Simmons makes free throw 2 of 2,,14,15
1,5:20.0,,M. Leonard makes 2-pt jump shot from 15 ft (assist by S. Curry),14,17
1,5:06.0,M. Muscala misses 3-pt jump shot from 29 ft,,14,17
1,5:04.0,,Defensive rebound by A. Aminu,14,17
1,5:01.0,,Shooting foul by L. Shamet (drawn by A. Aminu),14,17
1,5:01.0,,A. Aminu makes free throw 1 of 2,14,18
1,5:01.0,,A. Aminu makes free throw 2 of 2,14,19
1,4:50.0,B. Simmons makes 2-pt layup from 1 ft (assist by M. Muscala),,16,19
1,4:28.0,,Turnover by D. Lillard (bad pass; steal by F. Korkmaz),16,19
1,4:20.0,W. Chandler misses 3-pt jump shot from 26 ft,,16,19
1,4:19.0,,Defensive rebound by J. Layman,16,19
1,4:11.0,,D. Lillard misses 2-pt layup from 1 ft,16,19
1,4:10.0,,Offensive rebound by Team,16,19
1,4:02.0,,Turnover by J. Layman (lost ball; steal by F. Korkmaz),16,19
1,4:01.0,Personal foul by J. Layman (drawn by W. Chandler),,16,19
1,3:47.0,Turnover by B. Simmons (out of bounds lost ball),,16,19
1,3:33.0,,Personal foul by B. Simmons (drawn by A. Aminu),16,19
1,3:33.0,J. Bolden enters the game for W. Chandler,,16,19
1,3:33.0,J. Butler enters the game for F. Korkmaz,,16,19
1,3:33.0,T. McConnell enters the game for L. Shamet,,16,19
1,3:33.0,J. Redick enters the game for B. Simmons,,16,19
1,3:33.0,,Z. Collins enters the game for A. Aminu,16,19
1,3:33.0,,E. Turner enters the game for J. Layman,16,19
1,3:22.0,,E. Turner makes 2-pt layup from 1 ft (assist by Z. Collins),16,21
1,3:00.0,J. Butler misses 2-pt jump shot from 21 ft,,16,21
1,2:58.0,,Defensive rebound by M. Leonard,16,21
1,2:50.0,,S. Curry misses 3-pt jump shot from 23 ft,16,21
1,2:47.0,Defensive rebound by J. Butler,,16,21
1,2:39.0,J. Butler misses 2-pt layup from 2 ft,,16,21
1,2:38.0,,Defensive rebound by M. Leonard,16,21
1,2:27.0,,E. Turner makes 2-pt layup from 1 ft (assist by Z. Collins),16,23
1,2:13.0,J. Redick misses 3-pt jump shot from 26 ft,,16,23
1,2:10.0,,Defensive rebound by E. Turner,16,23
1,2:03.0,,Turnover by D. Lillard (lost ball; steal by T. McConnell),16,23
1,1:57.0,Turnover by J. Butler (out of bounds lost ball),,16,23
1,1:57.0,Philadelphia full timeout,,16,23
1,1:57.0,,C. McCollum enters the game for D. Lillard,16,23
1,1:40.0,,Turnover by E. Turner (out of bounds lost ball),16,23
1,1:30.0,Turnover by M. Muscala (bad pass; steal by Z. Collins),,16,23
1,1:20.0,,Shooting foul by M. Muscala (drawn by M. Leonard),16,23
1,1:20.0,,M. Leonard makes free throw 1 of 2,16,24
1,1:20.0,,M. Leonard misses free throw 2 of 2,16,24
1,1:16.0,,Offensive rebound by Z. Collins,16,24
1,1:11.0,,C. McCollum makes 3-pt jump shot from 26 ft (assist by S. Curry),16,27
1,1:00.0,T. McConnell makes 2-pt jump shot from 12 ft,,18,27
1,0:51.0,,C. McCollum makes 2-pt jump shot from 18 ft,18,29
1,0:32.0,J. Bolden makes 2-pt dunk from 1 ft (assist by J. Butler),,20,29
1,0:16.0,,S. Curry makes 2-pt jump shot from 2 ft,20,31
1,0:02.0,J. Butler misses 2-pt jump shot from 16 ft,,20,31
1,0:02.0,Offensive rebound by M. Muscala,,20,31
2,11:36.0,J. Butler misses 2-pt layup from 4 ft (block by Z. Collins),,20,31
2,11:33.0,,Defensive rebound by E. Turner,20,31
2,11:27.0,,S. Curry makes 2-pt layup at rim,20,33
2,11:14.0,J. Bolden misses 3-pt jump shot from 26 ft,,20,33
2,11:12.0,,Defensive rebound by M. Leonard,20,33
2,11:00.0,,C. McCollum makes 2-pt jump shot from 12 ft,20,35
2,11:00.0,,Shooting foul by J. Redick (drawn by C. McCollum),20,35
2,11:00.0,,C. McCollum makes free throw 1 of 1,20,36
2,10:45.0,J. Redick misses 3-pt jump shot from 25 ft,,20,36
2,10:42.0,,Defensive rebound by E. Turner,20,36
2,10:32.0,,C. McCollum makes 2-pt dunk from 1 ft (assist by Z. Collins),20,38
2,10:32.0,Philadelphia full timeout,,20,38
2,10:32.0,B. Simmons enters the game for J. Bolden,,20,38
2,10:20.0,J. Butler misses 2-pt jump shot from 20 ft,,20,38
2,10:16.0,,Defensive rebound by E. Turner,20,38
2,9:57.0,,E. Turner makes 2-pt layup from 3 ft,20,40
2,9:49.0,W. Chandler misses 3-pt jump shot from 26 ft,,20,40
2,9:44.0,,Defensive rebound by M. Leonard,20,40
2,9:33.0,,S. Curry misses 2-pt jump shot from 20 ft,20,40
2,9:30.0,Defensive rebound by W. Chandler,,20,40
2,9:25.0,B. Simmons misses 2-pt layup from 2 ft,,20,40
2,9:22.0,,Defensive rebound by M. Leonard,20,40
2,9:18.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by E. Turner),20,43
2,9:07.0,T. McConnell makes 3-pt jump shot from 25 ft (assist by J. Redick),,23,43
2,8:47.0,,E. Turner misses 2-pt jump shot from 3 ft,23,43
2,8:45.0,Defensive rebound by B. Simmons,,23,43
2,8:43.0,W. Chandler makes 2-pt layup from 3 ft (assist by B. Simmons),,25,43
2,8:43.0,Shooting foul by Z. Collins (drawn by W. Chandler),,25,43
2,8:43.0,,A. Aminu enters the game for Z. Collins,25,43
2,8:43.0,,J. Layman enters the game for E. Turner,25,43
2,8:43.0,W. Chandler makes free throw 1 of 1,,26,43
2,8:30.0,,M. Leonard makes 2-pt hook shot at rim (assist by C. McCollum),26,45
2,8:15.0,T. McConnell makes 2-pt jump shot from 16 ft,,28,45
2,7:57.0,,C. McCollum misses 2-pt jump shot from 8 ft,28,45
2,7:54.0,Defensive rebound by T. McConnell,,28,45
2,7:52.0,Turnover by B. Simmons (bad pass),,28,45
2,7:52.0,M. Muscala enters the game for W. Chandler,,28,45
2,7:52.0,L. Shamet enters the game for J. Redick,,28,45
2,7:36.0,,A. Aminu makes 2-pt layup from 1 ft,28,47
2,7:36.0,,Shooting foul by B. Simmons (drawn by A. Aminu),28,47
2,7:36.0,,A. Aminu makes free throw 1 of 1,28,48
2,7:25.0,M. Muscala makes 3-pt jump shot from 26 ft (assist by J. Butler),,31,48
2,7:08.0,,C. McCollum misses 3-pt jump shot from 27 ft,31,48
2,7:08.0,Defensive rebound by M. Muscala,,31,48
2,6:59.0,T. McConnell makes 2-pt jump shot from 16 ft,,33,48
2,6:58.0,,Portland full timeout,33,48
2,6:58.0,,D. Lillard enters the game for S. Curry,33,48
2,6:58.0,,J. Nurkić enters the game for M. Leonard,33,48
2,6:34.0,,J. Nurkić makes 2-pt hook shot from 2 ft,33,50
2,6:24.0,Turnover by T. McConnell (out of bounds lost ball),,33,50
2,6:18.0,,C. McCollum makes 2-pt layup from 2 ft (assist by D. Lillard),33,52
2,6:09.0,Personal foul by J. Layman (drawn by M. Muscala),,33,52
2,5:56.0,J. Butler misses 2-pt jump shot from 15 ft,,33,52
2,5:55.0,,Defensive rebound by A. Aminu,33,52
2,5:48.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),33,54
2,5:48.0,Philadelphia full timeout,,33,54
2,5:33.0,B. Simmons misses 2-pt layup from 2 ft,,33,54
2,5:29.0,,Defensive rebound by J. Nurkić,33,54
2,5:19.0,,Turnover by D. Lillard (bad pass),33,54
2,5:11.0,B. Simmons makes 2-pt dunk from 2 ft (assist by T. McConnell),,35,54
2,5:11.0,Shooting foul by J. Layman (drawn by B. Simmons),,35,54
2,5:11.0,B. Simmons makes free throw 1 of 1,,36,54
2,4:59.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by D. Lillard),36,57
2,4:46.0,Personal foul by A. Aminu (drawn by B. Simmons),,36,57
2,4:46.0,J. Redick enters the game for T. McConnell,,36,57
2,4:43.0,B. Simmons misses 2-pt jump shot from 16 ft,,36,57
2,4:40.0,,Defensive rebound by D. Lillard,36,57
2,4:26.0,,J. Layman misses 3-pt jump shot from 28 ft,36,57
2,4:21.0,,Offensive rebound by C. McCollum,36,57
2,4:21.0,,C. McCollum makes 2-pt layup at rim,36,59
2,4:08.0,J. Butler makes 2-pt jump shot from 3 ft,,38,59
2,4:06.0,,Turnover by J. Layman (bad pass),38,59
2,4:06.0,J. Bolden enters the game for J. Butler,,38,59
2,3:56.0,J. Bolden misses 3-pt jump shot from 25 ft,,38,59
2,3:55.0,,Defensive rebound by D. Lillard,38,59
2,3:55.0,,Personal foul by B. Simmons (drawn by D. Lillard),38,59
2,3:55.0,,Technical foul by J. Nurkić,38,59
2,3:55.0,J. Redick makes technical free throw,,39,59
2,3:55.0,F. Korkmaz enters the game for L. Shamet,,39,59
2,3:55.0,T. McConnell enters the game for B. Simmons,,39,59
2,3:55.0,,E. Turner enters the game for J. Layman,39,59
2,3:51.0,,Turnover by J. Nurkić (bad pass; steal by J. Redick),39,59
2,3:50.0,Turnover by J. Redick (bad pass),,39,59
2,3:37.0,,A. Aminu misses 3-pt jump shot from 26 ft,39,59
2,3:36.0,Defensive rebound by F. Korkmaz,,39,59
2,3:23.0,J. Redick misses 2-pt jump shot from 20 ft,,39,59
2,3:20.0,Offensive rebound by Team,,39,59
2,3:20.0,,Z. Collins enters the game for A. Aminu,39,59
2,3:12.0,F. Korkmaz makes 2-pt jump shot from 18 ft,,41,59
2,2:59.0,,C. McCollum makes 2-pt jump shot from 19 ft,41,61
2,2:51.0,Offensive foul by J. Bolden (drawn by D. Lillard),,41,61
2,2:51.0,Turnover by J. Bolden (offensive foul),,41,61
2,2:39.0,,Personal foul by F. Korkmaz (drawn by J. Nurkić),41,61
2,2:39.0,,S. Curry enters the game for E. Turner,41,61
2,2:29.0,,J. Nurkić makes 2-pt hook shot from 1 ft,41,63
2,2:17.0,J. Redick misses 3-pt jump shot from 25 ft,,41,63
2,2:15.0,,Defensive rebound by D. Lillard,41,63
2,2:09.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),41,65
2,2:09.0,Violation by Team (def goaltending),,41,65
2,1:55.0,F. Korkmaz misses 2-pt jump shot from 18 ft,,41,65
2,1:53.0,,Defensive rebound by D. Lillard,41,65
2,1:47.0,,D. Lillard misses 3-pt jump shot from 29 ft,41,65
2,1:45.0,,Offensive rebound by Team,41,65
2,1:45.0,W. Chandler enters the game for M. Muscala,,41,65
2,1:29.0,,C. McCollum makes 3-pt jump shot from 26 ft,41,68
2,1:11.0,J. Redick misses 3-pt jump shot from 25 ft,,41,68
2,1:10.0,,Defensive rebound by C. McCollum,41,68
2,1:05.0,,Shooting foul by J. Bolden (drawn by C. McCollum),41,68
2,1:05.0,,C. McCollum makes free throw 1 of 2,41,69
2,1:05.0,,C. McCollum makes free throw 2 of 2,41,70
2,0:49.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,41,70
2,0:47.0,,Defensive rebound by Z. Collins,41,70
2,0:32.0,,C. McCollum misses 3-pt jump shot from 26 ft,41,70
2,0:30.0,Defensive rebound by F. Korkmaz,,41,70
2,0:20.0,J. Bolden misses 2-pt layup from 2 ft,,41,70
2,0:19.0,,Defensive rebound by J. Nurkić,41,70
2,0:01.0,,C. McCollum misses 2-pt jump shot from 15 ft,41,70
2,0:01.0,Defensive rebound by W. Chandler,,41,70
3,11:46.0,Personal foul by C. McCollum (drawn by J. Redick),,41,70
3,11:34.0,J. Butler makes 2-pt layup from 1 ft,,43,70
3,11:34.0,Shooting foul by A. Aminu (drawn by J. Butler),,43,70
3,11:34.0,J. Butler makes free throw 1 of 1,,44,70
3,11:22.0,,Turnover by E. Turner (bad pass; steal by J. Butler),44,70
3,11:11.0,T. McConnell makes 2-pt jump shot from 10 ft (assist by J. Butler),,46,70
3,11:11.0,,Portland full timeout,46,70
3,10:53.0,,D. Lillard makes 3-pt jump shot from 28 ft (assist by J. Nurkić),46,73
3,10:35.0,J. Redick misses 2-pt jump shot from 20 ft,,46,73
3,10:33.0,,Defensive rebound by J. Nurkić,46,73
3,10:19.0,,J. Nurkić misses 2-pt hook shot from 4 ft,46,73
3,10:16.0,Defensive rebound by J. Butler,,46,73
3,10:09.0,B. Simmons makes 2-pt hook shot from 3 ft (assist by J. Butler),,48,73
3,9:48.0,,D. Lillard makes 2-pt jump shot from 22 ft,48,75
3,9:27.0,J. Redick misses 2-pt jump shot from 21 ft,,48,75
3,9:25.0,,Defensive rebound by D. Lillard,48,75
3,9:10.0,,C. McCollum misses 3-pt jump shot from 26 ft,48,75
3,9:06.0,Defensive rebound by W. Chandler,,48,75
3,9:02.0,Shooting foul by J. Nurkić (drawn by B. Simmons),,48,75
3,9:02.0,B. Simmons misses free throw 1 of 2,,48,75
3,9:02.0,Offensive rebound by Team,,48,75
3,9:02.0,B. Simmons misses free throw 2 of 2,,48,75
3,8:58.0,,Defensive rebound by A. Aminu,48,75
3,8:45.0,,J. Nurkić makes 2-pt layup from 1 ft,48,77
3,8:45.0,,Shooting foul by W. Chandler (drawn by J. Nurkić),48,77
3,8:45.0,,J. Nurkić misses free throw 1 of 1,48,77
3,8:43.0,Defensive rebound by B. Simmons,,48,77
3,8:29.0,W. Chandler makes 2-pt jump shot from 17 ft (assist by J. Butler),,50,77
3,8:11.0,,C. McCollum makes 2-pt jump shot from 3 ft,50,79
3,8:00.0,J. Butler misses 2-pt jump shot from 11 ft,,50,79
3,7:56.0,,Defensive rebound by E. Turner,50,79
3,7:51.0,,Turnover by D. Lillard (bad pass; steal by J. Redick),50,79
3,7:46.0,J. Redick makes 3-pt jump shot from 25 ft,,53,79
3,7:24.0,,J. Nurkić misses 2-pt hook shot from 3 ft,53,79
3,7:22.0,,Offensive rebound by J. Nurkić,53,79
3,7:22.0,,Personal foul by T. McConnell (drawn by A. Aminu),53,79
3,7:12.0,,C. McCollum makes 3-pt jump shot from 25 ft,53,82
3,7:10.0,Philadelphia full timeout,,53,82
3,6:53.0,J. Butler misses 3-pt jump shot from 24 ft,,53,82
3,6:51.0,,Defensive rebound by D. Lillard,53,82
3,6:51.0,M. Muscala enters the game for T. McConnell,,53,82
3,6:51.0,L. Shamet enters the game for J. Redick,,53,82
3,6:39.0,,Turnover by J. Nurkić (out of bounds lost ball),53,82
3,6:32.0,L. Shamet misses 2-pt layup from 1 ft,,53,82
3,6:30.0,,Defensive rebound by J. Nurkić,53,82
3,6:23.0,,D. Lillard misses 3-pt jump shot from 26 ft,53,82
3,6:21.0,Defensive rebound by B. Simmons,,53,82
3,6:18.0,Shooting foul by J. Nurkić (drawn by B. Simmons),,53,82
3,6:18.0,B. Simmons makes free throw 1 of 2,,54,82
3,6:18.0,B. Simmons misses free throw 2 of 2,,54,82
3,6:16.0,,Defensive rebound by C. McCollum,54,82
3,6:00.0,,Turnover by E. Turner (off goaltending),54,82
3,5:49.0,M. Muscala misses 3-pt jump shot from 26 ft,,54,82
3,5:47.0,,Defensive rebound by E. Turner,54,82
3,5:41.0,,J. Nurkić misses 2-pt dunk from 2 ft,54,82
3,5:38.0,,Offensive rebound by A. Aminu,54,82
3,5:34.0,,D. Lillard makes 2-pt jump shot from 6 ft (assist by A. Aminu),54,84
3,5:26.0,L. Shamet misses 3-pt jump shot from 26 ft,,54,84
3,5:26.0,,Defensive rebound by D. Lillard,54,84
3,5:14.0,,A. Aminu makes 2-pt layup from 3 ft (assist by J. Nurkić),54,86
3,5:14.0,Philadelphia full timeout,,54,86
3,5:14.0,J. Bolden enters the game for W. Chandler,,54,86
3,5:08.0,J. Bolden misses 3-pt jump shot from 24 ft,,54,86
3,5:04.0,Offensive rebound by M. Muscala,,54,86
3,5:04.0,Personal foul by J. Nurkić (drawn by J. Bolden),,54,86
3,5:04.0,J. Bolden makes free throw 1 of 2,,55,86
3,5:04.0,J. Bolden misses free throw 2 of 2,,55,86
3,5:04.0,Offensive rebound by Team,,55,86
3,5:04.0,,Loose ball foul by E. Turner (drawn by M. Muscala),55,86
3,5:04.0,M. Muscala misses free throw 1 of 2,,55,86
3,5:04.0,Offensive rebound by Team,,55,86
3,5:04.0,M. Muscala makes free throw 2 of 2,,56,86
3,4:48.0,,C. McCollum makes 2-pt layup from 1 ft,56,88
3,4:39.0,M. Muscala makes 3-pt jump shot from 24 ft (assist by B. Simmons),,59,88
3,4:15.0,,Shooting foul by M. Muscala (drawn by A. Aminu),59,88
3,4:15.0,,A. Aminu makes free throw 1 of 2,59,89
3,4:15.0,,M. Leonard enters the game for J. Nurkić,59,89
3,4:15.0,,A. Aminu makes free throw 2 of 2,59,90
3,4:04.0,J. Butler misses 2-pt jump shot from 22 ft,,59,90
3,4:01.0,,Defensive rebound by E. Turner,59,90
3,3:55.0,,Turnover by D. Lillard (bad pass; steal by B. Simmons),59,90
3,3:52.0,B. Simmons makes 2-pt layup from 1 ft,,61,90
3,3:41.0,,Portland full timeout,61,90
3,3:41.0,,Z. Collins enters the game for A. Aminu,61,90
3,3:30.0,,E. Turner makes 2-pt layup from 1 ft,61,92
3,3:22.0,B. Simmons makes 2-pt layup from 3 ft,,63,92
3,3:12.0,,Shooting foul by J. Bolden (drawn by C. McCollum),63,92
3,3:12.0,,C. McCollum makes free throw 1 of 2,63,93
3,3:12.0,F. Korkmaz enters the game for J. Butler,,63,93
3,3:12.0,,J. Layman enters the game for E. Turner,63,93
3,3:12.0,,C. McCollum makes free throw 2 of 2,63,94
3,3:03.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,63,94
3,3:00.0,,Defensive rebound by Z. Collins,63,94
3,2:41.0,,M. Leonard makes 2-pt dunk from 2 ft (assist by C. McCollum),63,96
3,2:37.0,Personal foul by M. Leonard (drawn by B. Simmons),,63,96
3,2:37.0,B. Simmons makes free throw 1 of 2,,64,96
3,2:37.0,B. Simmons makes free throw 2 of 2,,65,96
3,2:28.0,,Personal foul by F. Korkmaz (drawn by Z. Collins),65,96
3,2:28.0,,Z. Collins misses free throw 1 of 2,65,96
3,2:28.0,,Offensive rebound by Team,65,96
3,2:28.0,T. McConnell enters the game for B. Simmons,,65,96
3,2:28.0,,Z. Collins misses free throw 2 of 2,65,96
3,2:26.0,Defensive rebound by J. Bolden,,65,96
3,2:17.0,T. McConnell misses 2-pt jump shot from 16 ft,,65,96
3,2:14.0,,Defensive rebound by M. Leonard,65,96
3,2:06.0,,D. Lillard makes 3-pt jump shot from 27 ft (assist by C. McCollum),65,99
3,1:51.0,L. Shamet misses 2-pt jump shot from 4 ft,,65,99
3,1:50.0,,Defensive rebound by Team,65,99
3,1:50.0,Loose ball foul by L. Shamet (drawn by M. Leonard),,65,99
3,1:50.0,,M. Leonard makes free throw 1 of 2,65,100
3,1:50.0,,S. Curry enters the game for D. Lillard,65,100
3,1:50.0,,N. Stauskas enters the game for C. McCollum,65,100
3,1:50.0,,M. Leonard makes free throw 2 of 2,65,101
3,1:39.0,L. Shamet misses 2-pt jump shot from 16 ft,,65,101
3,1:38.0,,Defensive rebound by M. Leonard,65,101
3,1:23.0,,N. Stauskas misses 2-pt hook shot from 3 ft,65,101
3,1:21.0,,Offensive rebound by J. Layman,65,101
3,1:17.0,,Z. Collins makes 2-pt layup from 2 ft (assist by J. Layman),65,103
3,1:04.0,J. Bolden makes 2-pt jump shot from 23 ft (assist by T. McConnell),,67,103
3,0:47.0,,J. Layman makes 3-pt jump shot from 26 ft (assist by S. Curry),67,106
3,0:33.0,M. Muscala misses 3-pt jump shot from 24 ft,,67,106
3,0:32.0,,Defensive rebound by Z. Collins,67,106
3,0:21.0,,S. Curry misses 2-pt layup from 4 ft,67,106
3,0:19.0,Defensive rebound by F. Korkmaz,,67,106
3,0:11.0,F. Korkmaz misses 3-pt jump shot from 23 ft,,67,106
3,0:09.0,,Defensive rebound by M. Leonard,67,106
3,0:00.0,,S. Curry misses 2-pt jump shot from 22 ft,67,106
3,0:00.0,,Offensive rebound by Team,67,106
4,11:34.0,,M. Leonard misses 2-pt jump shot from 15 ft,67,106
4,11:33.0,Defensive rebound by T. McConnell,,67,106
4,11:26.0,Shooting foul by S. Curry (drawn by T. McConnell),,67,106
4,11:26.0,T. McConnell misses free throw 1 of 2,,67,106
4,11:26.0,Offensive rebound by Team,,67,106
4,11:26.0,T. McConnell makes free throw 2 of 2,,68,106
4,11:12.0,,Turnover by N. Stauskas (bad pass; steal by F. Korkmaz),68,106
4,11:02.0,Turnover by J. Bolden (off goaltending),,68,106
4,10:46.0,,J. Layman misses 2-pt layup from 2 ft (block by L. Shamet),68,106
4,10:44.0,Defensive rebound by T. McConnell,,68,106
4,10:36.0,Turnover by L. Shamet (bad pass),,68,106
4,10:25.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by M. Leonard),68,109
4,10:14.0,Personal foul by M. Leonard (drawn by A. Johnson),,68,109
4,10:14.0,D. Jackson enters the game for T. McConnell,,68,109
4,10:14.0,,W. Baldwin enters the game for S. Curry,68,109
4,10:14.0,,A. Simons enters the game for J. Layman,68,109
4,10:14.0,,C. Swanigan enters the game for M. Leonard,68,109
4,10:05.0,F. Korkmaz misses 3-pt jump shot from 27 ft,,68,109
4,10:03.0,,Defensive rebound by C. Swanigan,68,109
4,9:50.0,,Shooting foul by A. Johnson (drawn by Z. Collins),68,109
4,9:50.0,,Z. Collins makes free throw 1 of 2,68,110
4,9:50.0,,Z. Collins misses free throw 2 of 2,68,110
4,9:47.0,Defensive rebound by A. Johnson,,68,110
4,9:39.0,J. Bolden misses 3-pt jump shot from 23 ft,,68,110
4,9:35.0,Offensive rebound by Team,,68,110
4,9:35.0,,Loose ball foul by A. Simons (drawn by D. Jackson),68,110
4,9:29.0,L. Shamet misses 3-pt jump shot from 25 ft,,68,110
4,9:26.0,,Defensive rebound by Z. Collins,68,110
4,9:19.0,,W. Baldwin misses 2-pt jump shot from 18 ft,68,110
4,9:17.0,Defensive rebound by J. Bolden,,68,110
4,9:08.0,D. Jackson misses 3-pt jump shot from 25 ft,,68,110
4,9:06.0,Offensive rebound by D. Jackson,,68,110
4,9:01.0,D. Jackson makes 2-pt jump shot from 16 ft,,70,110
4,8:49.0,,Personal foul by A. Johnson (drawn by A. Simons),70,110
4,8:45.0,,A. Simons misses 3-pt jump shot from 24 ft,70,110
4,8:42.0,Defensive rebound by A. Johnson,,70,110
4,8:34.0,L. Shamet makes 2-pt jump shot from 22 ft (assist by J. Bolden),,72,110
4,8:11.0,,A. Simons misses 2-pt layup from 4 ft,72,110
4,8:11.0,Defensive rebound by Team,,72,110
4,8:11.0,,Loose ball foul by Z. Collins (drawn by A. Johnson),72,110
4,7:58.0,L. Shamet makes 2-pt jump shot from 4 ft,,74,110
4,7:39.0,,Shooting foul by A. Johnson (drawn by C. Swanigan),74,110
4,7:39.0,,C. Swanigan makes free throw 1 of 2,74,111
4,7:39.0,T. McConnell enters the game for L. Shamet,,74,111
4,7:39.0,,C. Swanigan makes free throw 2 of 2,74,112
4,7:23.0,J. Bolden misses 3-pt jump shot from 26 ft,,74,112
4,7:20.0,,Defensive rebound by N. Stauskas,74,112
4,7:14.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by W. Baldwin),74,115
4,7:13.0,Philadelphia full timeout,,74,115
4,6:51.0,F. Korkmaz misses 3-pt jump shot from 25 ft,,74,115
4,6:49.0,,Defensive rebound by A. Simons,74,115
4,6:42.0,,W. Baldwin misses 2-pt layup from 2 ft,74,115
4,6:41.0,Defensive rebound by A. Johnson,,74,115
4,6:33.0,A. Johnson misses 3-pt jump shot from 25 ft,,74,115
4,6:31.0,Offensive rebound by D. Jackson,,74,115
4,6:20.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,74,115
4,6:18.0,,Defensive rebound by C. Swanigan,74,115
