QUARTER,TIME_REMAINING,DENVER_ACTION,NEW ORLEANS_ACTION,DENVER_SCORE,NEW ORLEANS_SCORE
1,7:06.0,Shooting foul by A. Davis (drawn by N. Jokić),,17,15
1,7:06.0,N. Jokić makes free throw 1 of 1,,18,15
1,6:59.0,,E. Moore makes 2-pt layup from 2 ft (assist by J. Holiday),18,17
1,6:44.0,N. Jokić misses 3-pt jump shot from 25 ft,,18,17
1,6:40.0,,Defensive rebound by W. Johnson,18,17
1,6:38.0,,Personal foul by J. Murray (drawn by J. Holiday),18,17
1,6:38.0,,New Orleans full timeout,18,17
1,6:38.0,,I. Clark enters the game for J. Holiday,18,17
1,6:38.0,,J. Randle enters the game for N. Mirotić,18,17
1,6:24.0,,J. Randle makes 2-pt jump shot from 5 ft,18,19
1,6:05.0,N. Jokić makes 2-pt layup from 1 ft (assist by J. Murray),,20,19
1,5:45.0,,Turnover by I. Clark (traveling),20,19
1,5:45.0,M. Morris enters the game for J. Murray,,20,19
1,5:35.0,P. Millsap misses 2-pt jump shot from 16 ft,,20,19
1,5:32.0,,Defensive rebound by J. Randle,20,19
1,5:18.0,,A. Davis makes 2-pt hook shot from 7 ft,20,21
1,5:08.0,N. Jokić makes 2-pt layup from 1 ft (assist by M. Morris),,22,21
1,5:08.0,Shooting foul by I. Clark (drawn by N. Jokić),,22,21
1,5:08.0,N. Jokić makes free throw 1 of 1,,23,21
1,4:56.0,,A. Davis misses 2-pt jump shot from 15 ft,23,21
1,4:53.0,Defensive rebound by J. Hernangómez,,23,21
1,4:45.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by P. Millsap),,26,21
1,4:31.0,,A. Davis makes 2-pt dunk from 1 ft (assist by W. Johnson),26,23
1,4:25.0,Denver full timeout,,26,23
1,4:12.0,G. Harris misses 2-pt layup from 2 ft (block by J. Randle),,26,23
1,4:09.0,,Defensive rebound by W. Johnson,26,23
1,3:54.0,,J. Randle misses 2-pt layup from 1 ft,26,23
1,3:51.0,Defensive rebound by M. Morris,,26,23
1,3:47.0,P. Millsap misses 3-pt jump shot from 25 ft,,26,23
1,3:44.0,Offensive rebound by N. Jokić,,26,23
1,3:43.0,J. Hernangómez makes 3-pt jump shot from 24 ft (assist by N. Jokić),,29,23
1,3:20.0,,I. Clark makes 3-pt jump shot from 23 ft (assist by A. Davis),29,26
1,3:05.0,M. Morris makes 2-pt jump shot from 13 ft,,31,26
1,2:46.0,,J. Randle misses 3-pt jump shot from 25 ft,31,26
1,2:43.0,Defensive rebound by J. Hernangómez,,31,26
1,2:38.0,Turnover by M. Morris (bad pass; steal by J. Randle),,31,26
1,2:34.0,,Shooting foul by N. Jokić (drawn by J. Randle),31,26
1,2:34.0,,J. Randle makes free throw 1 of 2,31,27
1,2:34.0,T. Lyles enters the game for G. Harris,,31,27
1,2:34.0,J. Murray enters the game for N. Jokić,,31,27
1,2:34.0,M. Plumlee enters the game for P. Millsap,,31,27
1,2:34.0,,J. Holiday enters the game for A. Davis,31,27
1,2:34.0,,D. Miller enters the game for W. Johnson,31,27
1,2:34.0,,N. Mirotić enters the game for E. Moore,31,27
1,2:34.0,,J. Randle makes free throw 2 of 2,31,28
1,2:19.0,T. Lyles misses 2-pt layup from 4 ft,,31,28
1,2:16.0,,Defensive rebound by N. Mirotić,31,28
1,2:12.0,,D. Miller makes 3-pt jump shot from 23 ft (assist by J. Randle),31,31
1,1:45.0,M. Plumlee misses 2-pt jump shot from 5 ft,,31,31
1,1:43.0,,Defensive rebound by I. Clark,31,31
1,1:38.0,,J. Randle makes 2-pt layup from 2 ft (assist by N. Mirotić),31,33
1,1:25.0,J. Murray misses 3-pt jump shot from 25 ft,,31,33
1,1:22.0,,Defensive rebound by N. Mirotić,31,33
1,1:14.0,,J. Holiday makes 2-pt layup from 1 ft (assist by I. Clark),31,35
1,1:14.0,Denver full timeout,,31,35
1,1:14.0,M. Beasley enters the game for J. Hernangómez,,31,35
1,1:06.0,M. Morris makes 2-pt layup from 1 ft (assist by J. Murray),,33,35
1,0:46.0,,Personal foul by J. Murray (drawn by N. Mirotić),33,35
1,0:46.0,,N. Mirotić makes free throw 1 of 2,33,36
1,0:46.0,,N. Mirotić makes free throw 2 of 2,33,37
1,0:30.0,M. Plumlee makes 2-pt hook shot from 4 ft,,35,37
1,0:17.0,,N. Mirotić misses 3-pt jump shot from 26 ft,35,37
1,0:14.0,Defensive rebound by M. Beasley,,35,37
1,0:00.0,M. Plumlee misses 2-pt jump shot from 20 ft,,35,37
1,0:00.0,Offensive rebound by Team,,35,37
2,11:43.0,J. Murray misses 2-pt jump shot from 11 ft,,35,37
2,11:39.0,,Defensive rebound by J. Randle,35,37
2,11:35.0,,J. Randle misses 2-pt jump shot from 1 ft,35,37
2,11:33.0,Defensive rebound by M. Plumlee,,35,37
2,11:28.0,Shooting foul by D. Miller (drawn by J. Murray),,35,37
2,11:28.0,J. Murray makes free throw 1 of 2,,36,37
2,11:28.0,J. Murray makes free throw 2 of 2,,37,37
2,11:16.0,,N. Mirotić makes 3-pt jump shot from 25 ft (assist by J. Holiday),37,40
2,11:05.0,Personal foul by D. Miller (drawn by M. Beasley),,37,40
2,11:03.0,Turnover by M. Plumlee (traveling),,37,40
2,10:53.0,,Personal foul by M. Plumlee (drawn by J. Randle),37,40
2,10:46.0,,J. Holiday makes 2-pt jump shot from 3 ft,37,42
2,10:46.0,,Shooting foul by J. Murray (drawn by J. Holiday),37,42
2,10:46.0,G. Harris enters the game for J. Murray,,37,42
2,10:46.0,,J. Holiday makes free throw 1 of 1,37,43
2,10:34.0,T. Lyles misses 3-pt jump shot from 23 ft,,37,43
2,10:30.0,,Defensive rebound by J. Holiday,37,43
2,10:24.0,,J. Randle misses 2-pt dunk from 4 ft (block by M. Plumlee),37,43
2,10:17.0,,Offensive rebound by J. Randle,37,43
2,10:17.0,,J. Randle makes 2-pt layup from 1 ft,37,45
2,10:03.0,G. Harris makes 3-pt jump shot from 24 ft,,40,45
2,9:47.0,,N. Mirotić misses 3-pt jump shot from 25 ft,40,45
2,9:44.0,Defensive rebound by M. Plumlee,,40,45
2,9:38.0,M. Beasley makes 2-pt jump shot from 17 ft (assist by G. Harris),,42,45
2,9:28.0,,J. Holiday makes 2-pt layup from 1 ft,42,47
2,9:12.0,G. Harris makes 3-pt jump shot from 24 ft (assist by T. Lyles),,45,47
2,8:56.0,,J. Holiday misses 2-pt jump shot from 12 ft,45,47
2,8:54.0,Defensive rebound by G. Harris,,45,47
2,8:48.0,G. Harris misses 2-pt layup from 1 ft,,45,47
2,8:45.0,,Defensive rebound by N. Mirotić,45,47
2,8:39.0,,I. Clark misses 2-pt layup from 1 ft,45,47
2,8:38.0,,Offensive rebound by J. Randle,45,47
2,8:38.0,,J. Randle makes 2-pt layup from 3 ft,45,49
2,8:38.0,,Shooting foul by M. Plumlee (drawn by J. Randle),45,49
2,8:38.0,,J. Randle misses free throw 1 of 1,45,49
2,8:38.0,Defensive rebound by M. Plumlee,,45,49
2,8:25.0,M. Morris makes 2-pt jump shot from 13 ft,,47,49
2,8:15.0,,J. Holiday misses 2-pt layup from 2 ft (block by G. Harris),47,49
2,8:15.0,,Offensive rebound by Team,47,49
2,8:15.0,,A. Davis enters the game for J. Randle,47,49
2,8:13.0,,Turnover by I. Clark (bad pass),47,49
2,7:59.0,T. Lyles makes 2-pt layup from 2 ft,,49,49
2,7:43.0,,Turnover by J. Holiday (bad pass; steal by M. Plumlee),49,49
2,7:43.0,Personal foul by J. Holiday (drawn by G. Harris),,49,49
2,7:43.0,,F. Jackson enters the game for I. Clark,49,49
2,7:43.0,,E. Moore enters the game for J. Holiday,49,49
2,7:31.0,M. Morris makes 2-pt jump shot from 16 ft,,51,49
2,7:20.0,,Turnover by F. Jackson (bad pass; steal by M. Plumlee),51,49
2,7:16.0,M. Plumlee makes 2-pt dunk at rim,,53,49
2,6:59.0,,Turnover by E. Moore (bad pass; steal by M. Plumlee),53,49
2,6:54.0,M. Beasley misses 3-pt jump shot from 24 ft,,53,49
2,6:49.0,,Defensive rebound by F. Jackson,53,49
2,6:44.0,,Shooting foul by M. Plumlee (drawn by A. Davis),53,49
2,6:44.0,,New Orleans full timeout,53,49
2,6:44.0,N. Jokić enters the game for M. Plumlee,,53,49
2,6:44.0,,I. Clark enters the game for D. Miller,53,49
2,6:44.0,,A. Davis makes free throw 1 of 2,53,50
2,6:44.0,,A. Davis makes free throw 2 of 2,53,51
2,6:30.0,Turnover by T. Lyles (bad pass),,53,51
2,6:30.0,J. Hernangómez enters the game for M. Morris,,53,51
2,6:20.0,,E. Moore misses 2-pt jump shot from 13 ft,53,51
2,6:17.0,Defensive rebound by T. Lyles,,53,51
2,6:08.0,Turnover by T. Lyles (traveling),,53,51
2,5:55.0,,A. Davis makes 2-pt dunk from 1 ft,53,53
2,5:42.0,T. Lyles misses 3-pt jump shot from 25 ft,,53,53
2,5:38.0,,Defensive rebound by E. Moore,53,53
2,5:18.0,,Shooting foul by T. Lyles (drawn by N. Mirotić),53,53
2,5:18.0,,N. Mirotić makes free throw 1 of 3,53,54
2,5:18.0,,N. Mirotić makes free throw 2 of 3,53,55
2,5:18.0,P. Millsap enters the game for M. Beasley,,53,55
2,5:18.0,M. Morris enters the game for T. Lyles,,53,55
2,5:18.0,,N. Mirotić makes free throw 3 of 3,53,56
2,5:02.0,G. Harris makes 2-pt jump shot from 8 ft (assist by N. Jokić),,55,56
2,4:48.0,,Shooting foul by J. Hernangómez (drawn by A. Davis),55,56
2,4:48.0,,A. Davis makes free throw 1 of 2,55,57
2,4:48.0,,J. Randle enters the game for N. Mirotić,55,57
2,4:48.0,,A. Davis makes free throw 2 of 2,55,58
2,4:31.0,N. Jokić misses 2-pt layup from 5 ft,,55,58
2,4:28.0,,Defensive rebound by A. Davis,55,58
2,4:22.0,,I. Clark misses 3-pt jump shot from 25 ft,55,58
2,4:20.0,Defensive rebound by N. Jokić,,55,58
2,4:13.0,J. Hernangómez makes 2-pt jump shot from 4 ft (assist by N. Jokić),,57,58
2,3:55.0,,Shooting foul by P. Millsap (drawn by A. Davis),57,58
2,3:55.0,,A. Davis makes free throw 1 of 2,57,59
2,3:55.0,,J. Holiday enters the game for I. Clark,57,59
2,3:55.0,,N. Mirotić enters the game for F. Jackson,57,59
2,3:55.0,,A. Davis makes free throw 2 of 2,57,60
2,3:41.0,Turnover by M. Morris (traveling),,57,60
2,3:41.0,,Technical foul by,57,60
2,3:41.0,,A. Davis makes technical free throw,57,61
2,3:40.0,,Technical foul by J. Fernandez,57,61
2,3:40.0,,A. Davis makes technical free throw,57,62
2,3:23.0,,J. Randle makes 2-pt layup from 2 ft (assist by N. Mirotić),57,64
2,3:13.0,M. Morris makes 2-pt jump shot from 12 ft,,59,64
2,2:51.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Randle),59,67
2,2:33.0,J. Hernangómez misses 3-pt jump shot from 25 ft,,59,67
2,2:29.0,,Defensive rebound by E. Moore,59,67
2,2:29.0,,Turnover by E. Moore (step out of bounds),59,67
2,2:29.0,Denver full timeout,,59,67
2,2:07.0,P. Millsap misses 3-pt jump shot from 22 ft,,59,67
2,2:05.0,,Defensive rebound by J. Randle,59,67
2,1:47.0,,E. Moore misses 2-pt jump shot from 7 ft,59,67
2,1:46.0,,Offensive rebound by Team,59,67
2,1:43.0,,E. Moore misses 2-pt layup from 2 ft,59,67
2,1:41.0,Defensive rebound by N. Jokić,,59,67
2,1:36.0,J. Hernangómez makes 3-pt jump shot from 24 ft (assist by M. Morris),,62,67
2,1:07.0,,E. Moore misses 2-pt jump shot from 22 ft,62,67
2,1:04.0,,Offensive rebound by A. Davis,62,67
2,1:01.0,,Shooting foul by J. Hernangómez (drawn by J. Randle),62,67
2,1:01.0,,J. Randle makes free throw 1 of 2,62,68
2,1:01.0,T. Lyles enters the game for N. Jokić,,62,68
2,1:01.0,,W. Johnson enters the game for A. Davis,62,68
2,1:01.0,,J. Randle makes free throw 2 of 2,62,69
2,0:49.0,G. Harris makes 3-pt jump shot from 24 ft (assist by P. Millsap),,65,69
2,0:36.0,,J. Holiday misses 2-pt jump shot from 12 ft,65,69
2,0:33.0,,Offensive rebound by J. Randle,65,69
2,0:33.0,,Personal foul by T. Lyles (drawn by J. Randle),65,69
2,0:33.0,,J. Randle makes free throw 1 of 2,65,70
2,0:33.0,,J. Randle misses free throw 2 of 2,65,70
2,0:33.0,Defensive rebound by J. Hernangómez,,65,70
2,0:18.0,P. Millsap makes 2-pt layup from 2 ft (assist by G. Harris),,67,70
2,0:18.0,Shooting foul by J. Randle (drawn by P. Millsap),,67,70
2,0:18.0,M. Beasley enters the game for J. Hernangómez,,67,70
2,0:18.0,P. Millsap misses free throw 1 of 1,,67,70
2,0:18.0,,Defensive rebound by N. Mirotić,67,70
3,11:51.0,Personal foul by W. Johnson (drawn by G. Harris),,67,70
3,11:48.0,Personal foul by N. Mirotić (drawn by N. Jokić),,67,70
3,11:36.0,N. Jokić misses 3-pt jump shot from 26 ft,,67,70
3,11:34.0,Offensive rebound by J. Hernangómez,,67,70
3,11:28.0,G. Harris makes 3-pt jump shot from 25 ft (assist by J. Hernangómez),,70,70
3,11:13.0,,N. Mirotić makes 3-pt jump shot from 26 ft (assist by A. Davis),70,73
3,11:01.0,J. Hernangómez misses 2-pt layup from 2 ft,,70,73
3,10:55.0,Offensive rebound by J. Hernangómez,,70,73
3,10:55.0,J. Hernangómez misses 2-pt layup from 1 ft,,70,73
3,10:53.0,Offensive rebound by J. Hernangómez,,70,73
3,10:53.0,Turnover by J. Hernangómez (lost ball; steal by J. Holiday),,70,73
3,10:51.0,,J. Holiday misses 3-pt jump shot from 25 ft,70,73
3,10:48.0,Defensive rebound by J. Murray,,70,73
3,10:27.0,N. Jokić misses 2-pt layup from 3 ft,,70,73
3,10:25.0,,Defensive rebound by J. Holiday,70,73
3,10:11.0,,J. Holiday makes 2-pt layup from 2 ft (assist by A. Davis),70,75
3,10:00.0,J. Murray makes 2-pt jump shot from 10 ft,,72,75
3,9:43.0,,A. Davis misses 2-pt jump shot from 4 ft,72,75
3,9:43.0,Defensive rebound by J. Hernangómez,,72,75
3,9:28.0,N. Jokić misses 2-pt jump shot from 4 ft (block by N. Mirotić),,72,75
3,9:26.0,,Defensive rebound by N. Mirotić,72,75
3,9:19.0,,N. Mirotić misses 3-pt jump shot from 25 ft,72,75
3,9:16.0,Defensive rebound by N. Jokić,,72,75
3,9:05.0,Shooting foul by J. Holiday (drawn by P. Millsap),,72,75
3,9:05.0,P. Millsap misses free throw 1 of 2,,72,75
3,9:05.0,Offensive rebound by Team,,72,75
3,9:05.0,P. Millsap makes free throw 2 of 2,,73,75
3,8:52.0,,Turnover by N. Mirotić (bad pass; steal by N. Jokić),73,75
3,8:38.0,Shooting foul by J. Holiday (drawn by J. Hernangómez),,73,75
3,8:38.0,J. Hernangómez makes free throw 1 of 2,,74,75
3,8:38.0,,I. Clark enters the game for J. Holiday,74,75
3,8:38.0,J. Hernangómez makes free throw 2 of 2,,75,75
3,8:28.0,,A. Davis makes 2-pt jump shot from 9 ft (assist by I. Clark),75,77
3,8:16.0,G. Harris misses 3-pt jump shot from 25 ft,,75,77
3,8:13.0,,Defensive rebound by N. Mirotić,75,77
3,7:58.0,,N. Mirotić misses 2-pt layup from 5 ft (block by P. Millsap),75,77
3,7:58.0,,Offensive rebound by Team,75,77
3,7:55.0,,W. Johnson makes 3-pt jump shot from 23 ft (assist by I. Clark),75,80
3,7:38.0,,Violation by Team (kicked ball),75,80
3,7:27.0,J. Hernangómez makes 2-pt layup from 2 ft (assist by G. Harris),,77,80
3,7:16.0,,N. Mirotić makes 3-pt jump shot from 24 ft (assist by A. Davis),77,83
3,7:02.0,J. Murray misses 2-pt jump shot from 9 ft,,77,83
3,7:00.0,,Defensive rebound by I. Clark,77,83
3,6:57.0,,E. Moore makes 2-pt layup from 2 ft (assist by I. Clark),77,85
3,6:57.0,Denver full timeout,,77,85
3,6:57.0,M. Morris enters the game for J. Murray,,77,85
3,6:57.0,,D. Miller enters the game for N. Mirotić,77,85
3,6:57.0,,J. Randle enters the game for E. Moore,77,85
3,6:42.0,N. Jokić misses 2-pt jump shot from 13 ft,,77,85
3,6:38.0,,Defensive rebound by W. Johnson,77,85
3,6:23.0,,I. Clark misses 2-pt jump shot from 11 ft,77,85
3,6:21.0,Defensive rebound by N. Jokić,,77,85
3,6:14.0,Turnover by N. Jokić (bad pass),,77,85
3,6:02.0,,J. Randle misses 2-pt layup from 1 ft (block by P. Millsap),77,85
3,5:59.0,Defensive rebound by N. Jokić,,77,85
3,5:55.0,N. Jokić makes 2-pt layup from 1 ft,,79,85
3,5:34.0,,Personal foul by P. Millsap (drawn by D. Miller),79,85
3,5:22.0,,J. Randle makes 2-pt jump shot from 13 ft,79,87
3,5:07.0,P. Millsap misses 3-pt jump shot from 26 ft,,79,87
3,5:05.0,,Defensive rebound by W. Johnson,79,87
3,4:58.0,,Offensive foul by J. Randle (drawn by N. Jokić),79,87
3,4:58.0,,Turnover by J. Randle (offensive foul),79,87
3,4:58.0,T. Lyles enters the game for P. Millsap,,79,87
3,4:48.0,G. Harris misses 2-pt jump shot from 15 ft,,79,87
3,4:46.0,,Defensive rebound by J. Randle,79,87
3,4:39.0,,Shooting foul by T. Lyles (drawn by A. Davis),79,87
3,4:39.0,,A. Davis makes free throw 1 of 2,79,88
3,4:39.0,,A. Davis makes free throw 2 of 2,79,89
3,4:28.0,G. Harris misses 3-pt jump shot from 25 ft,,79,89
3,4:24.0,Offensive rebound by T. Lyles,,79,89
3,4:17.0,G. Harris makes 3-pt jump shot from 28 ft,,82,89
3,3:59.0,,A. Davis misses 2-pt jump shot from 14 ft,82,89
3,3:55.0,Defensive rebound by G. Harris,,82,89
3,3:34.0,N. Jokić misses 3-pt jump shot from 26 ft (block by A. Davis),,82,89
3,3:32.0,,Defensive rebound by I. Clark,82,89
3,3:22.0,,A. Davis misses 2-pt layup from 3 ft,82,89
3,3:17.0,,Offensive rebound by J. Randle,82,89
3,3:17.0,,J. Randle makes 2-pt dunk at rim,82,91
3,3:08.0,N. Jokić misses 3-pt jump shot from 25 ft,,82,91
3,3:05.0,,Defensive rebound by A. Davis,82,91
3,2:51.0,,D. Miller misses 3-pt jump shot from 26 ft,82,91
3,2:48.0,Defensive rebound by M. Morris,,82,91
3,2:38.0,M. Morris misses 2-pt jump shot from 5 ft,,82,91
3,2:33.0,Offensive rebound by N. Jokić,,82,91
3,2:33.0,N. Jokić makes 2-pt layup from 1 ft,,84,91
3,2:24.0,,W. Johnson makes 3-pt jump shot from 25 ft (assist by A. Davis),84,94
3,2:08.0,G. Harris misses 3-pt jump shot from 25 ft,,84,94
3,2:06.0,,Defensive rebound by J. Randle,84,94
3,1:59.0,,I. Clark misses 3-pt jump shot from 26 ft,84,94
3,1:53.0,Defensive rebound by T. Lyles,,84,94
3,1:38.0,Personal foul by J. Randle (drawn by N. Jokić),,84,94
3,1:38.0,,New Orleans full timeout,84,94
3,1:38.0,M. Beasley enters the game for G. Harris,,84,94
3,1:38.0,J. Murray enters the game for J. Hernangómez,,84,94
3,1:38.0,,N. Mirotić enters the game for A. Davis,84,94
3,1:38.0,,E. Moore enters the game for W. Johnson,84,94
3,1:38.0,N. Jokić misses free throw 1 of 2,,84,94
3,1:38.0,Offensive rebound by Team,,84,94
3,1:38.0,N. Jokić makes free throw 2 of 2,,85,94
3,1:24.0,,E. Moore makes 2-pt layup from 2 ft (assist by J. Randle),85,96
3,1:06.0,Turnover by J. Murray (bad pass; steal by J. Randle),,85,96
3,1:04.0,,Turnover by I. Clark (traveling),85,96
3,1:04.0,M. Plumlee enters the game for N. Jokić,,85,96
3,0:51.0,T. Lyles misses 2-pt layup from 4 ft (block by N. Mirotić),,85,96
3,0:49.0,,Defensive rebound by N. Mirotić,85,96
3,0:43.0,,J. Randle makes 2-pt dunk at rim (assist by I. Clark),85,98
3,0:31.0,T. Lyles makes 3-pt jump shot from 25 ft (assist by J. Murray),,88,98
3,0:16.0,,N. Mirotić misses 2-pt jump shot from 19 ft,88,98
3,0:14.0,Defensive rebound by M. Plumlee,,88,98
3,0:00.0,M. Beasley misses 3-pt jump shot from 26 ft,,88,98
3,0:00.0,Offensive rebound by Team,,88,98
4,11:47.0,,N. Mirotić misses 3-pt jump shot from 24 ft,88,98
4,11:47.0,Defensive rebound by M. Beasley,,88,98
4,11:32.0,Turnover by M. Beasley (bad pass; steal by J. Randle),,88,98
4,11:24.0,,E. Moore misses 2-pt jump shot from 6 ft,88,98
4,11:22.0,Defensive rebound by T. Lyles,,88,98
4,11:13.0,M. Beasley misses 3-pt jump shot from 25 ft,,88,98
4,11:10.0,Offensive rebound by M. Plumlee,,88,98
4,11:09.0,J. Murray makes 3-pt jump shot from 25 ft (assist by M. Plumlee),,91,98
4,10:52.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by J. Holiday),91,100
4,10:41.0,M. Beasley makes 2-pt dunk from 2 ft (assist by M. Morris),,93,100
4,10:41.0,,New Orleans full timeout,93,100
4,10:41.0,,A. Davis enters the game for J. Randle,93,100
4,10:22.0,,Shooting foul by M. Plumlee (drawn by A. Davis),93,100
4,10:22.0,,A. Davis makes free throw 1 of 2,93,101
4,10:22.0,,A. Davis makes free throw 2 of 2,93,102
4,10:09.0,T. Lyles misses 3-pt jump shot from 27 ft,,93,102
4,10:06.0,Offensive rebound by Team,,93,102
4,9:56.0,J. Murray misses 2-pt jump shot from 9 ft (block by J. Holiday),,93,102
4,9:56.0,Offensive rebound by Team,,93,102
4,9:52.0,T. Lyles misses 2-pt jump shot from 13 ft (block by N. Mirotić),,93,102
4,9:50.0,,Defensive rebound by N. Mirotić,93,102
4,9:44.0,,A. Davis misses 2-pt layup from 3 ft,93,102
4,9:44.0,Defensive rebound by Team,,93,102
4,9:44.0,,Loose ball foul by A. Davis (drawn by M. Plumlee),93,102
4,9:28.0,T. Lyles makes 2-pt layup from 6 ft (assist by J. Murray),,95,102
4,9:15.0,,J. Holiday misses 2-pt layup from 2 ft,95,102
4,9:12.0,,Offensive rebound by J. Holiday,95,102
4,9:12.0,,J. Holiday makes 2-pt layup at rim,95,104
4,8:59.0,J. Murray misses 3-pt jump shot from 26 ft,,95,104
4,8:56.0,,Defensive rebound by A. Davis,95,104
4,8:44.0,,A. Davis makes 2-pt layup from 1 ft,95,106
4,8:29.0,J. Murray misses 2-pt layup from 1 ft (block by D. Miller),,95,106
4,8:27.0,,Defensive rebound by E. Moore,95,106
4,8:20.0,,A. Davis misses 2-pt layup from 1 ft,95,106
4,8:18.0,Defensive rebound by M. Morris,,95,106
4,8:14.0,Shooting foul by N. Mirotić (drawn by T. Lyles),,95,106
4,8:14.0,T. Lyles misses free throw 1 of 2,,95,106
4,8:14.0,Offensive rebound by Team,,95,106
4,8:14.0,G. Harris enters the game for M. Morris,,95,106
4,8:14.0,T. Lyles misses free throw 2 of 2,,95,106
4,8:12.0,,Defensive rebound by Team,95,106
4,8:00.0,,J. Holiday makes 2-pt layup from 2 ft,95,108
4,8:00.0,Denver full timeout,,95,108
4,8:00.0,J. Hernangómez enters the game for M. Beasley,,95,108
4,8:00.0,N. Jokić enters the game for M. Plumlee,,95,108
4,7:42.0,Turnover by J. Hernangómez (lost ball; steal by J. Holiday),,95,108
4,7:25.0,,Turnover by D. Miller (traveling),95,108
4,7:08.0,N. Jokić misses 3-pt jump shot from 26 ft,,95,108
4,7:04.0,,Defensive rebound by N. Mirotić,95,108
4,6:58.0,,Personal foul by T. Lyles (drawn by A. Davis),95,108
4,6:58.0,M. Morris enters the game for T. Lyles,,95,108
4,6:50.0,,J. Holiday misses 2-pt jump shot from 7 ft,95,108
4,6:49.0,,Offensive rebound by A. Davis,95,108
4,6:49.0,,Shooting foul by M. Morris (drawn by A. Davis),95,108
4,6:49.0,,A. Davis makes free throw 1 of 2,95,109
4,6:49.0,,J. Randle enters the game for N. Mirotić,95,109
4,6:49.0,,A. Davis makes free throw 2 of 2,95,110
4,6:38.0,G. Harris makes 2-pt layup from 2 ft (assist by J. Murray),,97,110
4,6:25.0,,J. Holiday misses 3-pt jump shot from 25 ft,97,110
4,6:22.0,Defensive rebound by N. Jokić,,97,110
4,6:14.0,G. Harris misses 2-pt layup from 1 ft,,97,110
4,6:12.0,Offensive rebound by G. Harris,,97,110
4,5:59.0,J. Hernangómez misses 3-pt jump shot from 23 ft,,97,110
4,5:57.0,,Defensive rebound by A. Davis,97,110
4,5:37.0,,E. Moore makes 2-pt jump shot from 2 ft (assist by A. Davis),97,112
4,5:24.0,J. Murray misses 2-pt jump shot from 16 ft (block by D. Miller),,97,112
