QUARTER,TIME_REMAINING,TORONTO_ACTION,WASHINGTON_ACTION,TORONTO_SCORE,WASHINGTON_SCORE
1,8:54.0,Offensive rebound by J. Valančiūnas,,4,7
1,8:52.0,J. Valančiūnas makes 2-pt dunk from 1 ft,,6,7
1,8:30.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),6,10
1,8:18.0,K. Lowry makes 2-pt jump shot from 17 ft,,8,10
1,8:03.0,,O. Porter misses 3-pt jump shot from 23 ft,8,10
1,7:59.0,Defensive rebound by J. Valančiūnas,,8,10
1,7:51.0,Turnover by K. Lowry (bad pass; steal by I. Mahinmi),,8,10
1,7:46.0,,O. Porter makes 2-pt dunk from 1 ft (assist by B. Beal),8,12
1,7:31.0,D. Green misses 3-pt jump shot from 24 ft,,8,12
1,7:29.0,Offensive rebound by J. Valančiūnas,,8,12
1,7:24.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Lowry),,11,12
1,7:02.0,,J. Wall makes 2-pt jump shot from 12 ft,11,14
1,6:51.0,O. Anunoby makes 2-pt dunk from 1 ft (assist by K. Lowry),,13,14
1,6:44.0,,J. Wall misses 3-pt jump shot from 25 ft,13,14
1,6:40.0,Defensive rebound by O. Anunoby,,13,14
1,6:25.0,Shooting foul by I. Mahinmi (drawn by J. Valančiūnas),,13,14
1,6:25.0,,Washington full timeout,13,14
1,6:25.0,J. Valančiūnas makes free throw 1 of 2,,14,14
1,6:25.0,J. Valančiūnas misses free throw 2 of 2,,14,14
1,6:21.0,Offensive rebound by N. Powell,,14,14
1,6:20.0,K. Lowry misses 3-pt jump shot from 27 ft (block by J. Wall),,14,14
1,6:16.0,,Defensive rebound by M. Morris,14,14
1,6:02.0,,I. Mahinmi misses 2-pt layup from 1 ft (block by J. Valančiūnas),14,14
1,5:59.0,Defensive rebound by J. Valančiūnas,,14,14
1,5:42.0,J. Valančiūnas makes 2-pt hook shot from 11 ft,,16,14
1,5:25.0,,Def 3 sec tech foul by Team,16,14
1,5:25.0,,B. Beal makes technical free throw,16,15
1,5:10.0,,J. Wall makes 2-pt jump shot from 18 ft (assist by I. Mahinmi),16,17
1,4:51.0,Personal foul by O. Porter (drawn by O. Anunoby),,16,17
1,4:51.0,,A. Rivers enters the game for O. Porter,16,17
1,4:40.0,Shooting foul by I. Mahinmi (drawn by J. Valančiūnas),,16,17
1,4:40.0,J. Valančiūnas makes free throw 1 of 3,,17,17
1,4:40.0,J. Valančiūnas makes free throw 2 of 3,,18,17
1,4:40.0,J. Valančiūnas makes free throw 3 of 3,,19,17
1,4:40.0,,J. Smith enters the game for I. Mahinmi,19,17
1,4:21.0,,J. Smith misses 3-pt jump shot from 23 ft,19,17
1,4:18.0,Defensive rebound by D. Green,,19,17
1,4:07.0,K. Lowry misses 2-pt jump shot from 7 ft,,19,17
1,4:05.0,Offensive rebound by O. Anunoby,,19,17
1,4:05.0,O. Anunoby makes 2-pt dunk from 1 ft,,21,17
1,3:53.0,,Shooting foul by D. Green (drawn by J. Wall),21,17
1,3:53.0,,J. Wall misses free throw 1 of 2,21,17
1,3:53.0,,Offensive rebound by Team,21,17
1,3:53.0,S. Ibaka enters the game for O. Anunoby,,21,17
1,3:53.0,P. Siakam enters the game for D. Green,,21,17
1,3:53.0,F. VanVleet enters the game for J. Valančiūnas,,21,17
1,3:53.0,,J. Wall makes free throw 2 of 2,21,18
1,3:34.0,N. Powell misses 3-pt jump shot from 26 ft,,21,18
1,3:30.0,,Defensive rebound by A. Rivers,21,18
1,3:22.0,,A. Rivers misses 2-pt jump shot from 4 ft,21,18
1,3:20.0,Defensive rebound by F. VanVleet,,21,18
1,3:18.0,Shooting foul by J. Wall (drawn by S. Ibaka),,21,18
1,3:18.0,C. Miles enters the game for K. Lowry,,21,18
1,3:18.0,,J. Green enters the game for M. Morris,21,18
1,3:18.0,,K. Oubre enters the game for J. Wall,21,18
1,3:18.0,S. Ibaka misses free throw 1 of 2,,21,18
1,3:18.0,Offensive rebound by Team,,21,18
1,3:18.0,S. Ibaka misses free throw 2 of 2,,21,18
1,3:15.0,,Defensive rebound by K. Oubre,21,18
1,3:01.0,,B. Beal misses 2-pt jump shot from 7 ft,21,18
1,2:59.0,,Offensive rebound by J. Smith,21,18
1,2:58.0,,J. Smith misses 2-pt hook shot from 6 ft,21,18
1,2:58.0,Defensive rebound by S. Ibaka,,21,18
1,2:52.0,S. Ibaka misses 3-pt jump shot from 26 ft,,21,18
1,2:49.0,Offensive rebound by C. Miles,,21,18
1,2:44.0,C. Miles misses 2-pt layup from 6 ft (block by J. Green),,21,18
1,2:43.0,Offensive rebound by Team,,21,18
1,2:43.0,Toronto full timeout,,21,18
1,2:43.0,,T. Satoranský enters the game for B. Beal,21,18
1,2:38.0,Shooting foul by J. Green (drawn by C. Miles),,21,18
1,2:38.0,C. Miles misses free throw 1 of 2,,21,18
1,2:38.0,Offensive rebound by Team,,21,18
1,2:38.0,C. Miles makes free throw 2 of 2,,22,18
1,2:25.0,,K. Oubre misses 2-pt layup from 3 ft,22,18
1,2:22.0,Defensive rebound by P. Siakam,,22,18
1,2:14.0,C. Miles misses 2-pt layup from 7 ft,,22,18
1,2:14.0,,Defensive rebound by K. Oubre,22,18
1,2:14.0,L. Brown enters the game for N. Powell,,22,18
1,2:02.0,,A. Rivers misses 3-pt jump shot from 26 ft,22,18
1,1:58.0,Defensive rebound by F. VanVleet,,22,18
1,1:51.0,S. Ibaka misses 2-pt jump shot from 11 ft,,22,18
1,1:47.0,,Defensive rebound by J. Smith,22,18
1,1:39.0,,K. Oubre misses 3-pt jump shot from 24 ft,22,18
1,1:35.0,,Offensive rebound by A. Rivers,22,18
1,1:32.0,,K. Oubre makes 2-pt layup from 1 ft (assist by A. Rivers),22,20
1,1:08.0,S. Ibaka misses 2-pt jump shot from 6 ft,,22,20
1,1:05.0,Offensive rebound by C. Miles,,22,20
1,1:05.0,C. Miles makes 2-pt layup from 2 ft,,24,20
1,0:50.0,,A. Rivers misses 2-pt layup from 3 ft,24,20
1,0:48.0,Defensive rebound by C. Miles,,24,20
1,0:36.0,C. Miles misses 3-pt jump shot from 27 ft,,24,20
1,0:33.0,,Defensive rebound by K. Oubre,24,20
1,0:25.0,,J. Smith makes 2-pt layup from 1 ft (assist by J. Green),24,22
1,0:03.0,Turnover by F. VanVleet (lost ball; steal by J. Green),,24,22
1,0:01.0,,J. Green misses 3-pt jump shot from 39 ft,24,22
1,0:01.0,,Offensive rebound by Team,24,22
2,11:47.0,,A. Rivers makes 3-pt jump shot from 26 ft (assist by T. Satoranský),24,25
2,11:21.0,P. Siakam misses 2-pt jump shot from 6 ft,,24,25
2,11:19.0,,Defensive rebound by T. Satoranský,24,25
2,11:11.0,,Turnover by K. Oubre (lost ball; steal by P. Siakam),24,25
2,11:04.0,Shooting foul by T. Satoranský (drawn by S. Ibaka),,24,25
2,11:04.0,S. Ibaka makes free throw 1 of 2,,25,25
2,11:04.0,S. Ibaka makes free throw 2 of 2,,26,25
2,10:49.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by A. Rivers),26,28
2,10:35.0,Turnover by C. Miles (step out of bounds),,26,28
2,10:16.0,,T. Satoranský misses 2-pt jump shot from 17 ft,26,28
2,10:13.0,Defensive rebound by C. Miles,,26,28
2,10:00.0,S. Ibaka makes 2-pt layup from 3 ft (assist by P. Siakam),,28,28
2,10:00.0,Shooting foul by J. Smith (drawn by S. Ibaka),,28,28
2,10:00.0,S. Ibaka makes free throw 1 of 1,,29,28
2,9:45.0,,J. Green misses 3-pt jump shot from 25 ft,29,28
2,9:42.0,Defensive rebound by S. Ibaka,,29,28
2,9:34.0,Turnover by L. Brown (bad pass; steal by T. Satoranský),,29,28
2,9:27.0,,K. Oubre misses 2-pt layup from 3 ft,29,28
2,9:26.0,Defensive rebound by P. Siakam,,29,28
2,9:19.0,L. Brown misses 3-pt jump shot from 26 ft,,29,28
2,9:16.0,,Defensive rebound by Team,29,28
2,8:52.0,,A. Rivers makes 2-pt layup from 2 ft,29,30
2,8:34.0,P. Siakam makes 2-pt layup from 2 ft,,31,30
2,8:32.0,,Washington full timeout,31,30
2,8:32.0,D. Green enters the game for C. Miles,,31,30
2,8:32.0,K. Lowry enters the game for F. VanVleet,,31,30
2,8:32.0,,J. Wall enters the game for K. Oubre,31,30
2,8:19.0,,J. Green misses 3-pt jump shot from 27 ft,31,30
2,8:15.0,,Offensive rebound by J. Wall,31,30
2,8:07.0,,J. Green misses 2-pt layup from 3 ft (block by K. Lowry),31,30
2,8:05.0,Defensive rebound by K. Lowry,,31,30
2,7:59.0,S. Ibaka misses 2-pt hook shot from 9 ft,,31,30
2,7:57.0,,Defensive rebound by J. Smith,31,30
2,7:46.0,,A. Rivers misses 3-pt jump shot from 27 ft,31,30
2,7:44.0,Defensive rebound by Team,,31,30
2,7:44.0,,B. Beal enters the game for T. Satoranský,31,30
2,7:44.0,,M. Morris enters the game for J. Smith,31,30
2,7:30.0,P. Siakam misses 2-pt jump shot from 9 ft,,31,30
2,7:30.0,,Defensive rebound by Team,31,30
2,7:30.0,Loose ball foul by S. Ibaka (drawn by J. Green),,31,30
2,7:19.0,,J. Wall misses 2-pt layup from 2 ft,31,30
2,7:19.0,Defensive rebound by L. Brown,,31,30
2,7:12.0,D. Green misses 3-pt jump shot from 27 ft,,31,30
2,7:08.0,,Defensive rebound by B. Beal,31,30
2,7:05.0,,Personal foul by P. Siakam (drawn by M. Morris),31,30
2,6:52.0,,J. Green misses 2-pt jump shot from 15 ft,31,30
2,6:49.0,Defensive rebound by D. Green,,31,30
2,6:44.0,P. Siakam makes 2-pt layup from 3 ft (assist by K. Lowry),,33,30
2,6:27.0,,M. Morris makes 2-pt jump shot from 10 ft (assist by B. Beal),33,32
2,6:16.0,K. Lowry misses 2-pt layup from 9 ft (block by J. Green),,33,32
2,6:13.0,,Defensive rebound by M. Morris,33,32
2,6:10.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),33,35
2,6:02.0,Toronto full timeout,,33,35
2,6:02.0,O. Anunoby enters the game for S. Ibaka,,33,35
2,6:02.0,J. Valančiūnas enters the game for P. Siakam,,33,35
2,5:46.0,J. Valančiūnas makes 2-pt hook shot from 11 ft,,35,35
2,5:39.0,,Personal foul by O. Anunoby (drawn by J. Green),35,35
2,5:32.0,,Turnover by A. Rivers (traveling),35,35
2,5:32.0,N. Powell enters the game for L. Brown,,35,35
2,5:21.0,O. Anunoby makes 3-pt jump shot from 25 ft (assist by K. Lowry),,38,35
2,4:58.0,,M. Morris misses 2-pt layup from 5 ft,38,35
2,4:55.0,Defensive rebound by J. Valančiūnas,,38,35
2,4:49.0,O. Anunoby makes 2-pt layup from 1 ft (assist by K. Lowry),,40,35
2,4:38.0,,Turnover by J. Wall (bad pass; steal by O. Anunoby),40,35
2,4:32.0,D. Green misses 3-pt jump shot from 26 ft,,40,35
2,4:28.0,,Defensive rebound by J. Green,40,35
2,4:24.0,,A. Rivers makes 3-pt jump shot from 23 ft (assist by B. Beal),40,38
2,4:14.0,Personal foul by A. Rivers (drawn by K. Lowry),,40,38
2,4:14.0,,I. Mahinmi enters the game for J. Green,40,38
2,4:14.0,,O. Porter enters the game for A. Rivers,40,38
2,4:03.0,O. Anunoby makes 3-pt jump shot from 25 ft (assist by K. Lowry),,43,38
2,3:43.0,,B. Beal makes 2-pt jump shot from 14 ft,43,40
2,3:31.0,J. Valančiūnas makes 2-pt hook shot from 8 ft (assist by K. Lowry),,45,40
2,3:14.0,,B. Beal misses 3-pt jump shot from 23 ft,45,40
2,3:12.0,,Offensive rebound by I. Mahinmi,45,40
2,3:11.0,,O. Porter makes 3-pt jump shot from 29 ft (assist by M. Morris),45,43
2,3:01.0,K. Lowry makes 3-pt jump shot from 29 ft,,48,43
2,2:45.0,,M. Morris misses 3-pt jump shot from 23 ft,48,43
2,2:43.0,Defensive rebound by D. Green,,48,43
2,2:38.0,Personal foul by I. Mahinmi (drawn by K. Lowry),,48,43
2,2:34.0,K. Lowry makes 2-pt jump shot from 18 ft (assist by O. Anunoby),,50,43
2,2:30.0,,Washington full timeout,50,43
2,2:18.0,,Turnover by M. Morris (lost ball; steal by D. Green),50,43
2,2:11.0,K. Lowry makes 3-pt jump shot from 30 ft (assist by J. Valančiūnas),,53,43
2,1:53.0,,J. Wall misses 3-pt jump shot from 26 ft,53,43
2,1:51.0,Defensive rebound by Team,,53,43
2,1:31.0,Shooting foul by M. Morris (drawn by J. Valančiūnas),,53,43
2,1:31.0,J. Valančiūnas makes free throw 1 of 2,,54,43
2,1:31.0,F. VanVleet enters the game for D. Green,,54,43
2,1:31.0,J. Valančiūnas makes free throw 2 of 2,,55,43
2,1:22.0,,B. Beal misses 2-pt jump shot from 9 ft,55,43
2,1:19.0,Defensive rebound by N. Powell,,55,43
2,1:16.0,Turnover by N. Powell (bad pass; steal by J. Wall),,55,43
2,1:12.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),55,46
2,1:00.0,Turnover by K. Lowry (lost ball; steal by J. Wall),,55,46
2,0:59.0,Clear path foul by J. Wall,,55,46
2,0:59.0,,J. Wall makes clear path free throw 1 of 2,55,47
2,0:59.0,,J. Wall makes clear path free throw 2 of 2,55,48
2,0:52.0,,J. Wall makes 2-pt layup from 2 ft,55,50
2,0:38.0,J. Valančiūnas misses 2-pt jump shot from 12 ft,,55,50
2,0:35.0,,Defensive rebound by I. Mahinmi,55,50
2,0:31.0,,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),55,53
2,0:31.0,,Shooting foul by N. Powell (drawn by O. Porter),55,53
2,0:31.0,,O. Porter makes free throw 1 of 1,55,54
2,0:14.0,Shooting foul by J. Wall (drawn by F. VanVleet),,55,54
2,0:14.0,F. VanVleet makes free throw 1 of 2,,56,54
2,0:14.0,S. Ibaka enters the game for O. Anunoby,,56,54
2,0:14.0,P. Siakam enters the game for J. Valančiūnas,,56,54
2,0:14.0,,J. Green enters the game for I. Mahinmi,56,54
2,0:14.0,F. VanVleet makes free throw 2 of 2,,57,54
2,0:03.0,,B. Beal misses 3-pt jump shot from 25 ft,57,54
2,0:00.0,Defensive rebound by F. VanVleet,,57,54
3,11:50.0,,O. Porter misses 3-pt jump shot from 27 ft,57,54
3,11:44.0,Defensive rebound by C. Miles,,57,54
3,11:39.0,C. Miles makes 2-pt dunk from 2 ft (assist by K. Lowry),,59,54
3,11:12.0,,Turnover by J. Wall (bad pass; steal by K. Lowry),59,54
3,11:07.0,Personal foul by M. Morris (drawn by D. Green),,59,54
3,11:01.0,Turnover by C. Miles (bad pass; steal by O. Porter),,59,54
3,10:54.0,,B. Beal misses 3-pt jump shot from 28 ft,59,54
3,10:52.0,Defensive rebound by C. Miles,,59,54
3,10:39.0,Offensive foul by J. Valančiūnas (drawn by I. Mahinmi),,59,54
3,10:39.0,Turnover by J. Valančiūnas (offensive foul),,59,54
3,10:27.0,,B. Beal makes 2-pt jump shot from 15 ft,59,56
3,10:04.0,Turnover by K. Lowry (bad pass; steal by M. Morris),,59,56
3,9:59.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),59,59
3,9:57.0,Toronto full timeout,,59,59
3,9:49.0,D. Green misses 3-pt jump shot from 27 ft,,59,59
3,9:46.0,,Defensive rebound by M. Morris,59,59
3,9:37.0,,Personal foul by O. Anunoby (drawn by M. Morris),59,59
3,9:25.0,,J. Wall misses 3-pt jump shot from 24 ft,59,59
3,9:22.0,Defensive rebound by J. Valančiūnas,,59,59
3,9:12.0,Turnover by K. Lowry (bad pass; steal by M. Morris),,59,59
3,9:10.0,,M. Morris makes 2-pt layup from 3 ft,59,61
3,9:10.0,,Shooting foul by O. Anunoby (drawn by M. Morris),59,61
3,9:10.0,,M. Morris makes free throw 1 of 1,59,62
3,8:58.0,K. Lowry misses 3-pt jump shot from 29 ft,,59,62
3,8:54.0,,Defensive rebound by M. Morris,59,62
3,8:46.0,,I. Mahinmi misses 2-pt hook shot from 11 ft,59,62
3,8:44.0,Defensive rebound by J. Valančiūnas,,59,62
3,8:44.0,P. Siakam enters the game for O. Anunoby,,59,62
3,8:38.0,C. Miles makes 2-pt layup from 2 ft (assist by K. Lowry),,61,62
3,8:27.0,,Personal foul by D. Green (drawn by O. Porter),61,62
3,8:19.0,,B. Beal misses 3-pt jump shot from 25 ft,61,62
3,8:17.0,,Offensive rebound by I. Mahinmi,61,62
3,8:15.0,,J. Wall misses 3-pt jump shot from 25 ft,61,62
3,8:12.0,Defensive rebound by P. Siakam,,61,62
3,8:00.0,J. Valančiūnas makes 2-pt hook shot from 8 ft (assist by K. Lowry),,63,62
3,7:43.0,,Shooting foul by J. Valančiūnas (drawn by M. Morris),63,62
3,7:43.0,,M. Morris makes free throw 1 of 2,63,63
3,7:43.0,,M. Morris makes free throw 2 of 2,63,64
3,7:38.0,Shooting foul by M. Morris (drawn by D. Green),,63,64
3,7:38.0,D. Green makes free throw 1 of 2,,64,64
3,7:38.0,D. Green makes free throw 2 of 2,,65,64
3,7:27.0,,Shooting foul by J. Valančiūnas (drawn by I. Mahinmi),65,64
3,7:27.0,,I. Mahinmi makes free throw 1 of 2,65,65
3,7:27.0,S. Ibaka enters the game for J. Valančiūnas,,65,65
3,7:27.0,,I. Mahinmi misses free throw 2 of 2,65,65
3,7:25.0,Defensive rebound by S. Ibaka,,65,65
3,7:14.0,C. Miles misses 2-pt jump shot from 9 ft (block by I. Mahinmi),,65,65
3,7:13.0,,Defensive rebound by Team,65,65
3,7:13.0,,Personal foul by C. Miles (drawn by I. Mahinmi),65,65
3,7:13.0,,I. Mahinmi misses free throw 1 of 2,65,65
3,7:13.0,,Offensive rebound by Team,65,65
3,7:13.0,,I. Mahinmi makes free throw 2 of 2,65,66
3,6:51.0,Shooting foul by J. Wall (drawn by C. Miles),,65,66
3,6:51.0,C. Miles makes free throw 1 of 3,,66,66
3,6:51.0,C. Miles makes free throw 2 of 3,,67,66
3,6:51.0,C. Miles makes free throw 3 of 3,,68,66
3,6:37.0,,Shooting foul by C. Miles (drawn by J. Wall),68,66
3,6:37.0,,J. Wall makes free throw 1 of 2,68,67
3,6:37.0,,J. Wall makes free throw 2 of 2,68,68
3,6:23.0,Turnover by S. Ibaka (out of bounds lost ball),,68,68
3,6:12.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by B. Beal),68,71
3,5:52.0,Shooting foul by I. Mahinmi (drawn by S. Ibaka),,68,71
3,5:52.0,S. Ibaka makes free throw 1 of 2,,69,71
3,5:52.0,F. VanVleet enters the game for C. Miles,,69,71
3,5:52.0,,J. Smith enters the game for I. Mahinmi,69,71
3,5:52.0,S. Ibaka makes free throw 2 of 2,,70,71
3,5:42.0,,Personal foul by D. Green (drawn by J. Smith),70,71
3,5:42.0,,J. Smith makes free throw 1 of 2,70,72
3,5:42.0,,J. Smith makes free throw 2 of 2,70,73
3,5:27.0,Personal foul by B. Beal (drawn by S. Ibaka),,70,73
3,5:27.0,S. Ibaka makes free throw 1 of 2,,71,73
3,5:27.0,N. Powell enters the game for D. Green,,71,73
3,5:27.0,,A. Rivers enters the game for O. Porter,71,73
3,5:27.0,S. Ibaka makes free throw 2 of 2,,72,73
3,5:13.0,,B. Beal misses 2-pt layup from 2 ft,72,73
3,5:12.0,Defensive rebound by N. Powell,,72,73
3,5:05.0,N. Powell makes 3-pt jump shot from 23 ft (assist by K. Lowry),,75,73
3,4:41.0,,M. Morris misses 2-pt jump shot from 11 ft,75,73
3,4:39.0,Defensive rebound by K. Lowry,,75,73
3,4:25.0,F. VanVleet makes 2-pt layup from 2 ft,,77,73
3,4:16.0,,Offensive foul by J. Smith (drawn by F. VanVleet),77,73
3,4:16.0,,Turnover by J. Smith (offensive foul),77,73
3,4:16.0,,J. Green enters the game for M. Morris,77,73
3,4:16.0,,K. Oubre enters the game for J. Wall,77,73
3,3:53.0,S. Ibaka makes 2-pt hook shot from 13 ft (assist by F. VanVleet),,79,73
3,3:29.0,,Shooting foul by P. Siakam (drawn by B. Beal),79,73
3,3:29.0,,B. Beal makes free throw 1 of 2,79,74
3,3:29.0,,B. Beal misses free throw 2 of 2,79,74
3,3:24.0,,Offensive rebound by Team,79,74
3,3:21.0,Loose ball foul by S. Ibaka (drawn by J. Smith),,79,74
3,3:21.0,,J. Smith makes free throw 1 of 2,79,75
3,3:21.0,,J. Smith makes free throw 2 of 2,79,76
3,3:19.0,K. Lowry misses 3-pt jump shot from 26 ft,,79,76
3,3:14.0,Offensive rebound by P. Siakam,,79,76
3,3:12.0,Turnover by N. Powell (traveling),,79,76
3,3:12.0,,T. Satoranský enters the game for B. Beal,79,76
3,2:56.0,,K. Oubre misses 3-pt jump shot from 29 ft,79,76
3,2:55.0,Defensive rebound by Team,,79,76
3,2:55.0,,Washington full timeout,79,76
3,2:45.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by F. VanVleet),,82,76
3,2:23.0,,J. Green makes 2-pt jump shot from 17 ft,82,78
3,2:07.0,S. Ibaka makes 2-pt layup from 1 ft (assist by K. Lowry),,84,78
3,2:07.0,Shooting foul by J. Smith (drawn by S. Ibaka),,84,78
3,2:07.0,O. Anunoby enters the game for K. Lowry,,84,78
3,2:07.0,S. Ibaka makes free throw 1 of 1,,85,78
3,1:55.0,,J. Green misses 3-pt jump shot from 25 ft,85,78
3,1:52.0,Defensive rebound by N. Powell,,85,78
3,1:30.0,O. Anunoby misses 2-pt jump shot from 10 ft (block by A. Rivers),,85,78
3,1:28.0,,Defensive rebound by J. Smith,85,78
3,1:20.0,,J. Smith misses 2-pt jump shot from 20 ft,85,78
3,1:18.0,Defensive rebound by P. Siakam,,85,78
3,1:04.0,F. VanVleet makes 2-pt jump shot from 10 ft,,87,78
3,0:51.0,,T. Satoranský misses 2-pt jump shot from 9 ft,87,78
3,0:50.0,Defensive rebound by S. Ibaka,,87,78
3,0:43.0,F. VanVleet misses 2-pt layup from 4 ft,,87,78
3,0:43.0,,Defensive rebound by J. Smith,87,78
3,0:43.0,,Technical foul by J. Smith,87,78
3,0:43.0,F. VanVleet misses technical free throw,,87,78
3,0:43.0,,Defensive rebound by Team,87,78
3,0:43.0,L. Brown enters the game for O. Anunoby,,87,78
3,0:34.0,,A. Rivers makes 2-pt layup from 3 ft,87,80
3,0:31.0,F. VanVleet makes 3-pt jump shot from 31 ft,,90,80
3,0:22.0,,Personal foul by L. Brown (drawn by T. Satoranský),90,80
3,0:22.0,,T. Satoranský makes free throw 1 of 2,90,81
3,0:22.0,C. Miles enters the game for L. Brown,,90,81
3,0:22.0,J. Valančiūnas enters the game for S. Ibaka,,90,81
3,0:22.0,,T. Satoranský makes free throw 2 of 2,90,82
3,0:00.0,F. VanVleet misses 2-pt jump shot from 20 ft,,90,82
3,0:00.0,Offensive rebound by Team,,90,82
4,11:47.0,N. Powell makes 2-pt jump shot from 5 ft (assist by F. VanVleet),,92,82
4,11:33.0,,T. Satoranský misses 2-pt layup from 4 ft (block by N. Powell),92,82
4,11:31.0,Defensive rebound by P. Siakam,,92,82
4,11:30.0,Personal foul by T. Satoranský (drawn by S. Ibaka),,92,82
4,11:10.0,F. VanVleet misses 2-pt layup from 4 ft,,92,82
4,11:08.0,Offensive rebound by P. Siakam,,92,82
4,11:08.0,P. Siakam misses 2-pt layup at rim,,92,82
4,11:08.0,Offensive rebound by Team,,92,82
4,10:57.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by F. VanVleet),,94,82
4,10:38.0,,J. Green misses 2-pt layup from 9 ft (block by P. Siakam),94,82
4,10:36.0,Defensive rebound by F. VanVleet,,94,82
4,10:32.0,S. Ibaka misses 2-pt jump shot from 16 ft,,94,82
4,10:29.0,,Defensive rebound by K. Oubre,94,82
4,10:17.0,,A. Rivers makes 2-pt layup from 5 ft,94,84
4,9:53.0,N. Powell misses 2-pt jump shot from 20 ft,,94,84
4,9:49.0,,Defensive rebound by J. Green,94,84
4,9:40.0,,A. Rivers misses 3-pt jump shot from 23 ft,94,84
4,9:37.0,Defensive rebound by O. Anunoby,,94,84
4,9:25.0,P. Siakam makes 2-pt dunk from 1 ft,,96,84
4,9:25.0,Shooting foul by J. Green (drawn by P. Siakam),,96,84
4,9:25.0,,B. Beal enters the game for T. Satoranský,96,84
4,9:25.0,,J. Wall enters the game for J. Smith,96,84
4,9:25.0,P. Siakam misses free throw 1 of 1,,96,84
4,9:25.0,,Defensive rebound by B. Beal,96,84
4,9:25.0,D. Green enters the game for N. Powell,,96,84
4,9:12.0,,Turnover by K. Oubre (out of bounds lost ball),96,84
4,8:51.0,F. VanVleet misses 2-pt jump shot from 21 ft,,96,84
4,8:51.0,Offensive rebound by Team,,96,84
4,8:51.0,,Loose ball foul by K. Oubre (drawn by S. Ibaka),96,84
4,8:39.0,O. Anunoby misses 3-pt jump shot from 26 ft,,96,84
4,8:38.0,,Defensive rebound by Team,96,84
4,8:24.0,,J. Wall misses 2-pt layup from 4 ft (block by S. Ibaka),96,84
4,8:22.0,Defensive rebound by S. Ibaka,,96,84
4,8:10.0,Turnover by P. Siakam (lost ball; steal by J. Wall),,96,84
4,8:05.0,,J. Wall misses 2-pt dunk from 3 ft,96,84
