QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,INDIANA_ACTION,CHARLOTTE_SCORE,INDIANA_SCORE
1,6:46.0,Loose ball foul by B. Biyombo (drawn by D. Collison),,11,10
1,6:46.0,,Indiana full timeout,11,10
1,6:30.0,,Personal foul by M. Williams (drawn by M. Turner),11,10
1,6:24.0,,B. Bogdanović misses 2-pt jump shot from 2 ft,11,10
1,6:22.0,Defensive rebound by M. Williams,,11,10
1,6:17.0,K. Walker misses 3-pt jump shot from 26 ft,,11,10
1,6:13.0,,Defensive rebound by M. Turner,11,10
1,5:57.0,,D. Collison misses 3-pt jump shot from 26 ft,11,10
1,5:54.0,,Offensive rebound by T. Young,11,10
1,5:44.0,,T. Young misses 3-pt jump shot from 28 ft,11,10
1,5:42.0,Defensive rebound by J. Lamb,,11,10
1,5:22.0,N. Batum misses 2-pt jump shot from 12 ft,,11,10
1,5:20.0,,Defensive rebound by M. Turner,11,10
1,5:17.0,,V. Oladipo misses 2-pt layup from 3 ft (block by K. Walker),11,10
1,5:16.0,Defensive rebound by K. Walker,,11,10
1,5:11.0,B. Biyombo misses 2-pt layup from 2 ft,,11,10
1,5:08.0,,Defensive rebound by M. Turner,11,10
1,5:05.0,,D. Collison makes 3-pt jump shot from 23 ft (assist by V. Oladipo),11,13
1,4:42.0,M. Williams misses 2-pt dunk from 3 ft (block by M. Turner),,11,13
1,4:41.0,,Defensive rebound by M. Turner,11,13
1,4:41.0,,Personal take foul by K. Walker (drawn by T. Young),11,13
1,4:41.0,M. Bridges enters the game for N. Batum,,11,13
1,4:41.0,W. Hernangómez enters the game for B. Biyombo,,11,13
1,4:41.0,M. Kidd-Gilchrist enters the game for M. Williams,,11,13
1,4:41.0,,C. Joseph enters the game for B. Bogdanović,11,13
1,4:41.0,,D. Sabonis enters the game for T. Young,11,13
1,4:32.0,,V. Oladipo makes 2-pt jump shot from 19 ft (assist by D. Collison),11,15
1,4:10.0,M. Kidd-Gilchrist misses 3-pt jump shot from 26 ft,,11,15
1,4:07.0,,Defensive rebound by M. Turner,11,15
1,3:58.0,,D. Collison makes 2-pt layup from 1 ft (assist by D. Sabonis),11,17
1,3:40.0,Turnover by M. Bridges (lost ball; steal by V. Oladipo),,11,17
1,3:29.0,,M. Turner makes 3-pt jump shot from 24 ft (assist by D. Collison),11,20
1,3:27.0,Charlotte full timeout,,11,20
1,3:27.0,M. Monk enters the game for J. Lamb,,11,20
1,3:10.0,M. Monk makes 2-pt jump shot from 10 ft (assist by K. Walker),,13,20
1,2:55.0,,V. Oladipo makes 2-pt jump shot from 20 ft (assist by D. Collison),13,22
1,2:35.0,M. Monk misses 2-pt jump shot from 20 ft,,13,22
1,2:33.0,,Defensive rebound by D. Collison,13,22
1,2:14.0,,D. Collison misses 2-pt jump shot from 23 ft,13,22
1,2:11.0,,Offensive rebound by D. Sabonis,13,22
1,2:10.0,,C. Joseph makes 3-pt jump shot from 27 ft (assist by D. Sabonis),13,25
1,1:56.0,K. Walker makes 3-pt jump shot from 27 ft,,16,25
1,1:45.0,,M. Turner makes 3-pt jump shot from 28 ft (assist by V. Oladipo),16,28
1,1:27.0,K. Walker misses 2-pt jump shot from 5 ft,,16,28
1,1:25.0,,Defensive rebound by C. Joseph,16,28
1,1:19.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by D. Collison),16,31
1,1:18.0,Technical foul by K. Walker,,16,31
1,1:18.0,,V. Oladipo makes technical free throw,16,32
1,1:18.0,T. Parker enters the game for K. Walker,,16,32
1,1:18.0,,T. Evans enters the game for D. Collison,16,32
1,1:18.0,,T. Leaf enters the game for V. Oladipo,16,32
1,1:18.0,,D. McDermott enters the game for M. Turner,16,32
1,1:07.0,M. Monk misses 2-pt layup from 6 ft,,16,32
1,1:06.0,Offensive rebound by W. Hernangómez,,16,32
1,1:06.0,W. Hernangómez makes 2-pt layup from 1 ft,,18,32
1,0:58.0,,Turnover by C. Joseph (bad pass; steal by M. Monk),18,32
1,0:52.0,M. Bridges makes 2-pt dunk from 2 ft (assist by M. Monk),,20,32
1,0:42.0,,T. Evans makes 2-pt jump shot from 5 ft,20,34
1,0:29.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by T. Parker),,22,34
1,0:22.0,,D. Sabonis misses 2-pt jump shot from 20 ft,22,34
1,0:22.0,Defensive rebound by M. Bridges,,22,34
1,0:06.0,Personal foul by T. Evans (drawn by T. Parker),,22,34
1,0:06.0,Away from play foul by C. Joseph (drawn by T. Parker),,22,34
1,0:06.0,M. Monk makes free throw 1 of 1,,23,34
1,0:01.0,M. Monk makes 3-pt jump shot from 24 ft (assist by T. Parker),,26,34
2,11:49.0,Turnover by M. Monk (step out of bounds),,26,34
2,11:39.0,,D. McDermott misses 3-pt jump shot from 27 ft,26,34
2,11:35.0,Defensive rebound by M. Bridges,,26,34
2,11:23.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by T. Leaf),,26,34
2,11:21.0,,Defensive rebound by T. Leaf,26,34
2,11:17.0,,C. Joseph misses 2-pt jump shot from 20 ft,26,34
2,11:13.0,Defensive rebound by M. Kidd-Gilchrist,,26,34
2,10:52.0,W. Hernangómez misses 2-pt layup from 1 ft (block by T. Leaf),,26,34
2,10:49.0,,Defensive rebound by D. Sabonis,26,34
2,10:45.0,,T. Evans misses 2-pt layup from 4 ft (block by M. Bridges),26,34
2,10:43.0,Defensive rebound by T. Parker,,26,34
2,10:36.0,T. Parker makes 2-pt jump shot from 3 ft,,28,34
2,10:16.0,,T. Leaf makes 2-pt jump shot from 10 ft (assist by T. Evans),28,36
2,9:59.0,Shooting foul by D. Sabonis (drawn by M. Kidd-Gilchrist),,28,36
2,9:59.0,M. Kidd-Gilchrist misses free throw 1 of 2,,28,36
2,9:59.0,Offensive rebound by Team,,28,36
2,9:59.0,M. Kidd-Gilchrist makes free throw 2 of 2,,29,36
2,9:47.0,,D. Sabonis makes 2-pt dunk from 1 ft (assist by D. McDermott),29,38
2,9:32.0,Shooting foul by D. Sabonis (drawn by T. Parker),,29,38
2,9:32.0,T. Parker misses free throw 1 of 2,,29,38
2,9:32.0,Offensive rebound by Team,,29,38
2,9:32.0,N. Batum enters the game for M. Bridges,,29,38
2,9:32.0,M. Williams enters the game for M. Kidd-Gilchrist,,29,38
2,9:32.0,T. Parker makes free throw 2 of 2,,30,38
2,9:19.0,,T. Evans makes 3-pt jump shot from 26 ft (assist by D. McDermott),30,41
2,9:04.0,T. Parker misses 2-pt jump shot from 10 ft,,30,41
2,9:02.0,Offensive rebound by W. Hernangómez,,30,41
2,8:50.0,N. Batum misses 3-pt jump shot from 24 ft,,30,41
2,8:47.0,,Defensive rebound by Team,30,41
2,8:33.0,,D. McDermott misses 2-pt layup at rim (block by M. Williams),30,41
2,8:30.0,,Offensive rebound by D. Sabonis,30,41
2,8:30.0,,D. Sabonis makes 2-pt layup from 1 ft,30,43
2,8:20.0,T. Parker makes 2-pt layup from 1 ft,,32,43
2,8:08.0,,D. Sabonis makes 2-pt jump shot from 18 ft (assist by T. Evans),32,45
2,7:58.0,Personal foul by C. Joseph (drawn by T. Parker),,32,45
2,7:55.0,Personal foul by D. McDermott (drawn by M. Williams),,32,45
2,7:48.0,Turnover by T. Parker (traveling),,32,45
2,7:39.0,,D. McDermott misses 3-pt jump shot from 27 ft,32,45
2,7:35.0,Defensive rebound by N. Batum,,32,45
2,7:28.0,M. Monk misses 2-pt jump shot from 13 ft,,32,45
2,7:26.0,,Defensive rebound by D. Sabonis,32,45
2,7:21.0,,T. Evans misses 2-pt layup at rim,32,45
2,7:18.0,Defensive rebound by M. Williams,,32,45
2,7:12.0,Personal foul by T. Leaf (drawn by M. Williams),,32,45
2,7:12.0,B. Biyombo enters the game for W. Hernangómez,,32,45
2,7:12.0,J. Lamb enters the game for M. Monk,,32,45
2,7:12.0,K. Walker enters the game for T. Parker,,32,45
2,7:12.0,,T. Young enters the game for T. Leaf,32,45
2,7:12.0,M. Williams misses free throw 1 of 2,,32,45
2,7:12.0,Offensive rebound by Team,,32,45
2,7:12.0,M. Williams makes free throw 2 of 2,,33,45
2,7:01.0,,D. Sabonis misses 2-pt layup from 1 ft (block by N. Batum),33,45
2,6:59.0,Defensive rebound by N. Batum,,33,45
2,6:45.0,K. Walker misses 3-pt jump shot from 26 ft,,33,45
2,6:42.0,,Defensive rebound by D. Sabonis,33,45
2,6:34.0,,T. Evans misses 2-pt jump shot from 1 ft,33,45
2,6:34.0,,Offensive rebound by D. Sabonis,33,45
2,6:34.0,,Shooting foul by M. Williams (drawn by D. Sabonis),33,45
2,6:34.0,,Indiana full timeout,33,45
2,6:34.0,,B. Bogdanović enters the game for D. McDermott,33,45
2,6:34.0,,D. Sabonis makes free throw 1 of 2,33,46
2,6:34.0,,D. Sabonis makes free throw 2 of 2,33,47
2,6:21.0,N. Batum makes 2-pt jump shot from 12 ft (assist by K. Walker),,35,47
2,6:03.0,,C. Joseph misses 2-pt jump shot from 6 ft,35,47
2,5:59.0,Defensive rebound by J. Lamb,,35,47
2,5:48.0,Turnover by J. Lamb (step out of bounds),,35,47
2,5:48.0,,D. Collison enters the game for T. Evans,35,47
2,5:48.0,,V. Oladipo enters the game for C. Joseph,35,47
2,5:48.0,,M. Turner enters the game for D. Sabonis,35,47
2,5:31.0,,Turnover by B. Bogdanović (bad pass; steal by N. Batum),35,47
2,5:26.0,M. Williams misses 2-pt jump shot from 5 ft,,35,47
2,5:21.0,,Defensive rebound by B. Bogdanović,35,47
2,5:08.0,,V. Oladipo misses 2-pt jump shot from 24 ft,35,47
2,5:01.0,Defensive rebound by K. Walker,,35,47
2,4:56.0,K. Walker misses 3-pt jump shot from 26 ft,,35,47
2,4:53.0,,Defensive rebound by M. Turner,35,47
2,4:38.0,,Turnover by D. Collison (bad pass; steal by K. Walker),35,47
2,4:18.0,J. Lamb misses 2-pt layup from 2 ft,,35,47
2,4:16.0,,Defensive rebound by D. Collison,35,47
2,4:14.0,,Turnover by D. Collison (bad pass; steal by B. Biyombo),35,47
2,4:12.0,B. Biyombo makes 2-pt dunk from 1 ft,,37,47
2,3:56.0,,T. Young makes 2-pt jump shot from 6 ft (assist by D. Collison),37,49
2,3:40.0,Personal foul by B. Bogdanović (drawn by N. Batum),,37,49
2,3:40.0,N. Batum makes free throw 1 of 2,,38,49
2,3:40.0,N. Batum makes free throw 2 of 2,,39,49
2,3:24.0,,T. Young makes 3-pt jump shot from 26 ft (assist by D. Collison),39,52
2,3:10.0,K. Walker misses 3-pt jump shot from 26 ft,,39,52
2,3:08.0,,Defensive rebound by T. Young,39,52
2,3:03.0,,V. Oladipo misses 3-pt jump shot from 25 ft,39,52
2,3:01.0,Defensive rebound by B. Biyombo,,39,52
2,2:51.0,M. Williams misses 3-pt jump shot from 23 ft,,39,52
2,2:48.0,,Defensive rebound by T. Young,39,52
2,2:40.0,,D. Collison makes 2-pt jump shot from 17 ft,39,54
2,2:22.0,M. Williams misses 2-pt jump shot from 8 ft,,39,54
2,2:21.0,,Defensive rebound by V. Oladipo,39,54
2,2:13.0,,M. Turner misses 3-pt jump shot from 27 ft,39,54
2,2:10.0,Defensive rebound by B. Biyombo,,39,54
2,2:04.0,Turnover by N. Batum (lost ball; steal by V. Oladipo),,39,54
2,1:51.0,,V. Oladipo misses 2-pt jump shot from 6 ft (block by B. Biyombo),39,54
2,1:49.0,Defensive rebound by K. Walker,,39,54
2,1:46.0,Charlotte full timeout,,39,54
2,1:46.0,M. Kidd-Gilchrist enters the game for M. Williams,,39,54
2,1:31.0,Turnover by K. Walker (lost ball; steal by D. Collison),,39,54
2,1:27.0,,B. Bogdanović misses 2-pt layup from 1 ft,39,54
2,1:26.0,,Offensive rebound by T. Young,39,54
2,1:26.0,,T. Young makes 2-pt dunk from 1 ft,39,56
2,1:13.0,Offensive foul by N. Batum (drawn by B. Bogdanović),,39,56
2,1:13.0,Turnover by N. Batum (offensive foul),,39,56
2,0:52.0,,V. Oladipo misses 3-pt jump shot from 25 ft,39,56
2,0:49.0,Defensive rebound by B. Biyombo,,39,56
2,0:37.0,M. Kidd-Gilchrist makes 2-pt hook shot from 7 ft,,41,56
2,0:31.0,,D. Collison misses 2-pt jump shot from 21 ft,41,56
2,0:29.0,Defensive rebound by Team,,41,56
2,0:29.0,M. Monk enters the game for M. Kidd-Gilchrist,,41,56
2,0:07.0,J. Lamb misses 2-pt jump shot from 16 ft,,41,56
2,0:03.0,,Defensive rebound by M. Turner,41,56
2,0:00.0,,D. Collison misses 2-pt jump shot from 19 ft,41,56
2,0:00.0,,Offensive rebound by Team,41,56
3,11:49.0,Turnover by J. Lamb (bad pass; steal by T. Young),,41,56
3,11:31.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,41,56
3,11:26.0,,Offensive rebound by M. Turner,41,56
3,11:26.0,,M. Turner misses 2-pt layup at rim,41,56
3,11:26.0,Defensive rebound by M. Williams,,41,56
3,11:18.0,Shooting foul by D. Collison (drawn by K. Walker),,41,56
3,11:18.0,K. Walker makes free throw 1 of 2,,42,56
3,11:18.0,K. Walker misses free throw 2 of 2,,42,56
3,11:17.0,,Defensive rebound by B. Bogdanović,42,56
3,11:09.0,,Personal foul by J. Lamb (drawn by B. Bogdanović),42,56
3,11:04.0,,Turnover by D. Collison (bad pass),42,56
3,10:53.0,M. Williams misses 3-pt jump shot from 27 ft,,42,56
3,10:48.0,Offensive rebound by B. Biyombo,,42,56
3,10:46.0,J. Lamb makes 3-pt jump shot from 27 ft (assist by K. Walker),,45,56
3,10:28.0,,Shooting foul by B. Biyombo (drawn by V. Oladipo),45,56
3,10:28.0,,V. Oladipo makes free throw 1 of 2,45,57
3,10:28.0,,V. Oladipo makes free throw 2 of 2,45,58
3,10:17.0,Shooting foul by B. Bogdanović (drawn by B. Biyombo),,45,58
3,10:17.0,B. Biyombo makes free throw 1 of 2,,46,58
3,10:17.0,B. Biyombo makes free throw 2 of 2,,47,58
3,9:53.0,,T. Young misses 2-pt jump shot from 3 ft,47,58
3,9:51.0,Defensive rebound by B. Biyombo,,47,58
3,9:37.0,B. Biyombo makes 2-pt dunk from 2 ft,,49,58
3,9:21.0,,V. Oladipo makes 3-pt jump shot from 27 ft (assist by M. Turner),49,61
3,9:02.0,M. Williams misses 3-pt jump shot from 27 ft,,49,61
3,8:59.0,,Defensive rebound by B. Bogdanović,49,61
3,8:51.0,,D. Collison misses 2-pt jump shot from 17 ft,49,61
3,8:48.0,Defensive rebound by N. Batum,,49,61
3,8:42.0,K. Walker makes 3-pt jump shot from 27 ft (assist by N. Batum),,52,61
3,8:14.0,,B. Bogdanović misses 2-pt layup from 2 ft,52,61
3,8:12.0,Defensive rebound by N. Batum,,52,61
3,8:11.0,,Technical foul by B. Bogdanović,52,61
3,8:11.0,K. Walker makes technical free throw,,53,61
3,7:59.0,M. Williams makes 3-pt jump shot from 24 ft (assist by J. Lamb),,56,61
3,7:44.0,,V. Oladipo misses 2-pt jump shot from 1 ft,56,61
3,7:43.0,,Offensive rebound by M. Turner,56,61
3,7:43.0,,M. Turner misses 2-pt layup from 2 ft,56,61
3,7:42.0,,Offensive rebound by M. Turner,56,61
3,7:42.0,,M. Turner misses 2-pt layup at rim,56,61
3,7:38.0,,Offensive rebound by B. Bogdanović,56,61
3,7:36.0,,D. Collison makes 3-pt jump shot from 28 ft (assist by B. Bogdanović),56,64
3,7:12.0,J. Lamb misses 3-pt jump shot from 31 ft,,56,64
3,7:08.0,,Defensive rebound by D. Collison,56,64
3,7:05.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),56,66
3,6:41.0,J. Lamb makes 2-pt jump shot from 9 ft,,58,66
3,6:21.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,58,66
3,6:18.0,Defensive rebound by N. Batum,,58,66
3,6:02.0,K. Walker misses 2-pt jump shot from 19 ft,,58,66
3,6:00.0,,Defensive rebound by B. Bogdanović,58,66
3,5:53.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by V. Oladipo),58,68
3,5:53.0,Charlotte full timeout,,58,68
3,5:53.0,W. Hernangómez enters the game for B. Biyombo,,58,68
3,5:53.0,M. Kidd-Gilchrist enters the game for M. Williams,,58,68
3,5:35.0,W. Hernangómez misses 2-pt layup at rim (block by M. Turner),,58,68
3,5:32.0,,Defensive rebound by V. Oladipo,58,68
3,5:26.0,,M. Turner misses 3-pt jump shot from 29 ft,58,68
3,5:22.0,Defensive rebound by J. Lamb,,58,68
3,5:22.0,Turnover by J. Lamb (lost ball; steal by D. Collison),,58,68
3,5:16.0,,D. Collison misses 3-pt jump shot from 24 ft,58,68
3,5:11.0,Defensive rebound by J. Lamb,,58,68
3,4:53.0,M. Kidd-Gilchrist makes 3-pt jump shot from 24 ft (assist by J. Lamb),,61,68
3,4:34.0,,B. Bogdanović makes 2-pt jump shot from 16 ft (assist by V. Oladipo),61,70
3,4:14.0,Offensive foul by M. Kidd-Gilchrist (drawn by B. Bogdanović),,61,70
3,4:14.0,Turnover by M. Kidd-Gilchrist (offensive foul),,61,70
3,4:14.0,,C. Joseph enters the game for B. Bogdanović,61,70
3,4:14.0,,D. Sabonis enters the game for T. Young,61,70
3,3:59.0,,V. Oladipo misses 3-pt jump shot from 27 ft,61,70
3,3:56.0,Defensive rebound by W. Hernangómez,,61,70
3,3:49.0,Shooting foul by D. Collison (drawn by K. Walker),,61,70
3,3:49.0,K. Walker makes free throw 1 of 2,,62,70
3,3:49.0,K. Walker makes free throw 2 of 2,,63,70
3,3:33.0,,V. Oladipo makes 2-pt jump shot from 21 ft,63,72
3,3:15.0,Turnover by K. Walker (bad pass; steal by C. Joseph),,63,72
3,3:12.0,,D. Collison makes 3-pt jump shot from 26 ft (assist by V. Oladipo),63,75
3,2:52.0,Shooting foul by V. Oladipo (drawn by N. Batum),,63,75
3,2:52.0,,Indiana full timeout,63,75
3,2:52.0,M. Bridges enters the game for J. Lamb,,63,75
3,2:52.0,T. Parker enters the game for K. Walker,,63,75
3,2:52.0,N. Batum makes free throw 1 of 3,,64,75
3,2:52.0,N. Batum makes free throw 2 of 3,,65,75
3,2:52.0,N. Batum misses free throw 3 of 3,,65,75
3,2:50.0,,Defensive rebound by M. Turner,65,75
3,2:33.0,,V. Oladipo makes 2-pt jump shot from 19 ft,65,77
3,2:13.0,M. Bridges makes 3-pt jump shot from 27 ft (assist by T. Parker),,68,77
3,2:02.0,,V. Oladipo misses 2-pt jump shot from 20 ft,68,77
3,2:00.0,Defensive rebound by M. Kidd-Gilchrist,,68,77
3,1:48.0,M. Bridges makes 3-pt jump shot from 27 ft (assist by T. Parker),,71,77
3,1:34.0,,V. Oladipo makes 2-pt jump shot from 16 ft,71,79
3,1:15.0,W. Hernangómez misses 2-pt jump shot from 5 ft,,71,79
3,1:12.0,,Defensive rebound by M. Turner,71,79
3,0:51.0,,D. Sabonis makes 2-pt hook shot from 6 ft (assist by D. Collison),71,81
3,0:32.0,T. Parker misses 2-pt jump shot from 7 ft,,71,81
3,0:30.0,,Defensive rebound by M. Turner,71,81
3,0:12.0,,Personal foul by M. Bridges (drawn by M. Turner),71,81
3,0:04.0,,Shooting foul by W. Hernangómez (drawn by D. Sabonis),71,81
3,0:04.0,,D. Sabonis makes free throw 1 of 2,71,82
3,0:04.0,,B. Bogdanović enters the game for M. Turner,71,82
3,0:04.0,,D. Sabonis makes free throw 2 of 2,71,83
4,11:46.0,,C. Joseph misses 2-pt jump shot from 17 ft,71,83
4,11:44.0,,Offensive rebound by Team,71,83
4,11:38.0,,T. Evans misses 2-pt jump shot from 5 ft,71,83
4,11:37.0,,Offensive rebound by Team,71,83
4,11:37.0,Loose ball foul by M. Monk (drawn by D. Sabonis),,71,83
4,11:37.0,,Technical foul by J. Borrego,71,83
4,11:37.0,,B. Bogdanović makes technical free throw,71,84
4,11:27.0,,D. Sabonis misses 2-pt hook shot from 10 ft,71,84
4,11:24.0,,Offensive rebound by D. Sabonis,71,84
4,11:24.0,,D. Sabonis misses 2-pt layup at rim,71,84
4,11:24.0,,Offensive rebound by D. Sabonis,71,84
4,11:21.0,,Personal foul by M. Kidd-Gilchrist (drawn by B. Bogdanović),71,84
4,11:08.0,,Turnover by C. Joseph (bad pass; steal by M. Monk),71,84
4,11:05.0,M. Monk makes 2-pt layup at rim,,73,84
4,11:05.0,Shooting foul by B. Bogdanović (drawn by M. Monk),,73,84
4,11:05.0,M. Monk misses free throw 1 of 1,,73,84
4,11:03.0,,Defensive rebound by B. Bogdanović,73,84
4,10:45.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by T. Evans),73,86
4,10:28.0,K. Walker makes 3-pt jump shot from 27 ft (assist by M. Williams),,76,86
4,10:21.0,,Turnover by T. Evans (traveling),76,86
4,10:00.0,M. Monk misses 3-pt jump shot from 29 ft,,76,86
4,9:57.0,,Defensive rebound by T. Evans,76,86
4,9:49.0,,B. Bogdanović makes 2-pt jump shot from 19 ft (assist by T. Evans),76,88
4,9:27.0,Turnover by K. Walker (lost ball; steal by D. Sabonis),,76,88
4,9:22.0,,T. Evans makes 2-pt layup from 3 ft,76,90
4,8:59.0,T. Parker misses 2-pt layup from 4 ft (block by C. Joseph),,76,90
4,8:57.0,Offensive rebound by M. Monk,,76,90
4,8:57.0,Shooting foul by B. Bogdanović (drawn by M. Kidd-Gilchrist),,76,90
4,8:57.0,M. Kidd-Gilchrist misses free throw 1 of 2,,76,90
4,8:57.0,Offensive rebound by Team,,76,90
4,8:57.0,M. Kidd-Gilchrist makes free throw 2 of 2,,77,90
4,8:42.0,,D. Sabonis misses 2-pt layup from 2 ft,77,90
4,8:40.0,Defensive rebound by M. Williams,,77,90
4,8:36.0,K. Walker makes 2-pt layup from 2 ft,,79,90
4,8:18.0,,D. Sabonis misses 2-pt hook shot from 4 ft,79,90
4,8:16.0,Defensive rebound by M. Williams,,79,90
4,8:09.0,Turnover by M. Monk (bad pass; steal by B. Bogdanović),,79,90
4,8:06.0,,T. Evans makes 2-pt layup from 1 ft (assist by B. Bogdanović),79,92
4,7:53.0,Charlotte full timeout,,79,92
4,7:53.0,M. Bridges enters the game for M. Kidd-Gilchrist,,79,92
4,7:53.0,,T. Young enters the game for B. Bogdanović,79,92
4,7:47.0,M. Williams makes 2-pt jump shot from 7 ft (assist by K. Walker),,81,92
4,7:32.0,,T. Evans makes 2-pt jump shot from 14 ft (assist by C. Joseph),81,94
4,7:15.0,M. Monk misses 2-pt jump shot from 1 ft (block by D. McDermott),,81,94
4,7:12.0,,Defensive rebound by D. McDermott,81,94
4,7:11.0,,T. Evans makes 2-pt layup at rim (assist by D. McDermott),81,96
4,7:11.0,,Shooting foul by K. Walker (drawn by T. Evans),81,96
4,7:11.0,J. Lamb enters the game for M. Monk,,81,96
4,7:11.0,,T. Evans makes free throw 1 of 1,81,97
4,6:58.0,K. Walker misses 3-pt jump shot from 25 ft,,81,97
4,6:57.0,,Defensive rebound by Team,81,97
4,6:46.0,,D. McDermott makes 2-pt layup from 2 ft (assist by D. Sabonis),81,99
4,6:28.0,M. Williams makes 3-pt jump shot from 30 ft (assist by K. Walker),,84,99
4,6:20.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),84,101
4,6:20.0,Violation by Team (def goaltending),,84,101
4,6:09.0,M. Williams misses 3-pt jump shot from 28 ft,,84,101
4,6:06.0,,Defensive rebound by D. McDermott,84,101
4,5:57.0,,D. Sabonis misses 2-pt jump shot from 7 ft,84,101
4,5:56.0,Defensive rebound by M. Bridges,,84,101
4,5:39.0,K. Walker misses 3-pt jump shot from 27 ft,,84,101
4,5:37.0,Offensive rebound by Team,,84,101
4,5:37.0,N. Batum enters the game for M. Bridges,,84,101
4,5:37.0,B. Biyombo enters the game for T. Parker,,84,101
4,5:37.0,,V. Oladipo enters the game for D. McDermott,84,101
4,5:27.0,J. Lamb misses 2-pt jump shot from 10 ft,,84,101
4,5:26.0,Offensive rebound by Team,,84,101
4,5:26.0,,Loose ball foul by D. Sabonis (drawn by B. Biyombo),84,101
4,5:10.0,J. Lamb misses 2-pt jump shot from 21 ft,,84,101
4,5:08.0,,Defensive rebound by C. Joseph,84,101
4,4:55.0,,V. Oladipo misses 2-pt jump shot from 20 ft,84,101
4,4:51.0,Defensive rebound by J. Lamb,,84,101
4,4:37.0,J. Lamb misses 2-pt jump shot from 7 ft,,84,101
4,4:31.0,Offensive rebound by B. Biyombo,,84,101
4,4:28.0,Turnover by B. Biyombo (bad pass; steal by V. Oladipo),,84,101
4,4:25.0,,C. Joseph makes 3-pt jump shot from 27 ft (assist by V. Oladipo),84,104
4,4:03.0,B. Biyombo makes 2-pt hook shot from 9 ft (assist by N. Batum),,86,104
4,4:03.0,Shooting foul by D. Sabonis (drawn by B. Biyombo),,86,104
4,4:03.0,,M. Turner enters the game for D. Sabonis,86,104
4,4:03.0,B. Biyombo makes free throw 1 of 1,,87,104
4,4:03.0,,Indiana full timeout,87,104
4,4:03.0,,B. Bogdanović enters the game for T. Evans,87,104
4,4:03.0,,D. Collison enters the game for C. Joseph,87,104
4,3:54.0,,M. Turner misses 2-pt layup from 3 ft,87,104
