QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MIAMI_ACTION,NEW ORLEANS_SCORE,MIAMI_SCORE
1,6:11.0,,R. McGruder misses 3-pt jump shot from 25 ft,11,14
1,6:08.0,Defensive rebound by E. Moore,,11,14
1,6:06.0,N. Mirotić misses 3-pt jump shot from 26 ft,,11,14
1,6:03.0,,Defensive rebound by H. Whiteside,11,14
1,6:03.0,J. Randle enters the game for N. Mirotić,,11,14
1,6:03.0,,D. Wade enters the game for R. McGruder,11,14
1,5:42.0,,J. Richardson makes 2-pt jump shot from 14 ft (assist by D. Wade),11,16
1,5:28.0,A. Davis makes 2-pt jump shot from 19 ft (assist by T. Frazier),,13,16
1,5:17.0,,Personal foul by E. Moore (drawn by J. Richardson),13,16
1,5:17.0,D. Miller enters the game for T. Frazier,,13,16
1,5:14.0,,Personal foul by D. Miller (drawn by J. Richardson),13,16
1,5:14.0,S. Hill enters the game for E. Moore,,13,16
1,4:59.0,,J. Johnson misses 2-pt jump shot from 7 ft,13,16
1,4:54.0,Defensive rebound by S. Hill,,13,16
1,4:52.0,Turnover by A. Davis (lost ball; steal by J. Richardson),,13,16
1,4:40.0,,J. Richardson makes 3-pt jump shot from 27 ft (assist by J. Johnson),13,19
1,4:26.0,A. Davis makes 2-pt jump shot from 13 ft (assist by J. Randle),,15,19
1,4:15.0,,J. Richardson misses 3-pt jump shot from 27 ft,15,19
1,4:11.0,Defensive rebound by J. Randle,,15,19
1,4:04.0,Turnover by D. Miller (bad pass; steal by J. Johnson),,15,19
1,3:59.0,,J. Richardson makes 2-pt layup from 3 ft (assist by J. Johnson),15,21
1,3:53.0,New Orleans full timeout,,15,21
1,3:53.0,,B. Adebayo enters the game for J. Johnson,15,21
1,3:53.0,,K. Olynyk enters the game for H. Whiteside,15,21
1,3:41.0,J. Holiday misses 2-pt jump shot from 9 ft,,15,21
1,3:36.0,,Defensive rebound by J. Richardson,15,21
1,3:32.0,,D. Wade makes 3-pt jump shot from 27 ft,15,24
1,3:19.0,Turnover by J. Randle (bad pass; steal by K. Olynyk),,15,24
1,3:10.0,,J. Richardson makes 3-pt jump shot from 26 ft,15,27
1,2:46.0,D. Miller misses 3-pt jump shot from 25 ft,,15,27
1,2:41.0,,Defensive rebound by B. Adebayo,15,27
1,2:40.0,,Personal foul by S. Hill (drawn by W. Ellington),15,27
1,2:40.0,,W. Ellington makes free throw 1 of 2,15,28
1,2:40.0,,W. Ellington misses free throw 2 of 2,15,28
1,2:36.0,,Offensive rebound by D. Wade,15,28
1,2:33.0,,D. Wade misses 3-pt jump shot from 25 ft,15,28
1,2:31.0,Defensive rebound by S. Hill,,15,28
1,2:18.0,S. Hill makes 2-pt dunk from 4 ft (assist by J. Holiday),,17,28
1,1:54.0,,D. Wade makes 2-pt jump shot from 13 ft (assist by K. Olynyk),17,30
1,1:32.0,J. Holiday misses 2-pt jump shot from 9 ft,,17,30
1,1:30.0,Offensive rebound by J. Holiday,,17,30
1,1:29.0,J. Holiday misses 2-pt layup from 5 ft,,17,30
1,1:29.0,Offensive rebound by S. Hill,,17,30
1,1:29.0,Turnover by S. Hill (step out of bounds),,17,30
1,1:29.0,N. Mirotić enters the game for A. Davis,,17,30
1,1:29.0,,R. McGruder enters the game for W. Ellington,17,30
1,1:29.0,,J. Winslow enters the game for J. Richardson,17,30
1,1:19.0,,K. Olynyk makes 3-pt jump shot from 27 ft (assist by D. Wade),17,33
1,1:09.0,D. Miller misses 2-pt jump shot from 15 ft,,17,33
1,1:05.0,,Defensive rebound by K. Olynyk,17,33
1,0:49.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by D. Wade),17,36
1,0:41.0,New Orleans full timeout,,17,36
1,0:26.0,N. Mirotić misses 3-pt jump shot from 25 ft,,17,36
1,0:22.0,Offensive rebound by S. Hill,,17,36
1,0:13.0,Turnover by J. Randle (lost ball),,17,36
1,0:04.0,,Shooting foul by S. Hill (drawn by D. Wade),17,36
1,0:04.0,,D. Wade makes free throw 1 of 3,17,37
1,0:04.0,,D. Wade misses free throw 2 of 3,17,37
1,0:04.0,,Offensive rebound by Team,17,37
1,0:04.0,,D. Wade misses free throw 3 of 3,17,37
1,0:01.0,Defensive rebound by J. Randle,,17,37
1,0:00.0,J. Holiday misses 3-pt jump shot from 47 ft,,17,37
1,0:00.0,Offensive rebound by Team,,17,37
2,11:45.0,,D. Wade misses 2-pt hook shot from 9 ft,17,37
2,11:42.0,Defensive rebound by J. Randle,,17,37
2,11:23.0,E. Moore misses 2-pt jump shot from 21 ft,,17,37
2,11:20.0,,Defensive rebound by B. Adebayo,17,37
2,11:16.0,,B. Adebayo misses 2-pt layup from 4 ft (block by J. Randle),17,37
2,11:16.0,,Offensive rebound by Team,17,37
2,11:06.0,,J. Winslow misses 2-pt jump shot from 11 ft,17,37
2,11:00.0,,Offensive rebound by B. Adebayo,17,37
2,10:58.0,,R. McGruder misses 3-pt jump shot from 26 ft,17,37
2,10:54.0,Defensive rebound by J. Randle,,17,37
2,10:37.0,J. Randle misses 3-pt jump shot from 27 ft,,17,37
2,10:34.0,,Defensive rebound by K. Olynyk,17,37
2,10:19.0,,Shooting foul by S. Hill (drawn by D. Wade),17,37
2,10:19.0,,D. Wade makes free throw 1 of 2,17,38
2,10:19.0,,D. Wade makes free throw 2 of 2,17,39
2,10:03.0,Turnover by E. Moore (lost ball; steal by K. Olynyk),,17,39
2,10:00.0,,Offensive foul by D. Wade (drawn by S. Hill),17,39
2,10:00.0,,Turnover by D. Wade (offensive foul),17,39
2,10:00.0,W. Johnson enters the game for S. Hill,,17,39
2,9:45.0,E. Moore misses 2-pt jump shot from 20 ft,,17,39
2,9:36.0,Offensive rebound by J. Randle,,17,39
2,9:34.0,N. Mirotić makes 2-pt layup from 4 ft (assist by J. Randle),,19,39
2,9:19.0,,J. Winslow misses 2-pt layup from 5 ft (block by W. Johnson),19,39
2,9:16.0,,Offensive rebound by B. Adebayo,19,39
2,9:15.0,,B. Adebayo makes 2-pt dunk from 2 ft,19,41
2,9:00.0,J. Randle misses 2-pt hook shot from 11 ft,,19,41
2,8:57.0,,Defensive rebound by D. Wade,19,41
2,8:55.0,,J. Winslow makes 2-pt layup from 3 ft (assist by D. Wade),19,43
2,8:41.0,E. Moore misses 2-pt layup from 4 ft,,19,43
2,8:34.0,,Defensive rebound by J. Winslow,19,43
2,8:31.0,,K. Olynyk misses 2-pt layup from 4 ft,19,43
2,8:28.0,Defensive rebound by N. Mirotić,,19,43
2,8:23.0,I. Clark misses 3-pt jump shot from 27 ft,,19,43
2,8:17.0,,Defensive rebound by R. McGruder,19,43
2,8:08.0,,D. Wade makes 2-pt jump shot from 12 ft,19,45
2,8:08.0,,Shooting foul by E. Moore (drawn by D. Wade),19,45
2,8:08.0,A. Davis enters the game for J. Randle,,19,45
2,8:08.0,,D. Wade makes free throw 1 of 1,19,46
2,7:56.0,E. Moore misses 2-pt jump shot from 12 ft (block by B. Adebayo),,19,46
2,7:52.0,,Defensive rebound by B. Adebayo,19,46
2,7:46.0,,Shooting foul by W. Johnson (drawn by J. Winslow),19,46
2,7:46.0,,J. Winslow makes free throw 1 of 2,19,47
2,7:46.0,,W. Ellington enters the game for R. McGruder,19,47
2,7:46.0,,J. Richardson enters the game for D. Wade,19,47
2,7:46.0,,J. Winslow makes free throw 2 of 2,19,48
2,7:32.0,A. Davis makes 2-pt layup from 3 ft (assist by I. Clark),,21,48
2,7:20.0,,J. Richardson makes 2-pt jump shot from 12 ft,21,50
2,7:04.0,A. Davis misses 2-pt jump shot from 20 ft,,21,50
2,7:02.0,,Defensive rebound by K. Olynyk,21,50
2,6:54.0,,Turnover by J. Winslow (bad pass; steal by N. Mirotić),21,50
2,6:48.0,W. Johnson misses 3-pt jump shot from 26 ft,,21,50
2,6:44.0,,Defensive rebound by B. Adebayo,21,50
2,6:37.0,,Miami full timeout,21,50
2,6:37.0,J. Holiday enters the game for E. Moore,,21,50
2,6:37.0,,H. Whiteside enters the game for B. Adebayo,21,50
2,6:25.0,,J. Richardson misses 2-pt layup from 4 ft,21,50
2,6:22.0,,Offensive rebound by H. Whiteside,21,50
2,6:22.0,,H. Whiteside makes 2-pt layup at rim,21,52
2,6:12.0,J. Holiday misses 3-pt jump shot from 28 ft,,21,52
2,6:06.0,,Defensive rebound by J. Winslow,21,52
2,5:58.0,,H. Whiteside misses 2-pt hook shot from 4 ft,21,52
2,5:54.0,Defensive rebound by N. Mirotić,,21,52
2,5:51.0,Turnover by N. Mirotić (bad pass; steal by J. Richardson),,21,52
2,5:45.0,,K. Olynyk misses 3-pt jump shot from 25 ft,21,52
2,5:41.0,Defensive rebound by I. Clark,,21,52
2,5:29.0,I. Clark makes 2-pt jump shot from 9 ft,,23,52
2,5:07.0,,J. Richardson misses 2-pt jump shot from 15 ft (block by J. Holiday),23,52
2,5:03.0,Defensive rebound by W. Johnson,,23,52
2,4:55.0,J. Holiday misses 2-pt jump shot from 14 ft (block by H. Whiteside),,23,52
2,4:50.0,,Defensive rebound by K. Olynyk,23,52
2,4:47.0,,J. Winslow makes 2-pt layup from 3 ft (assist by W. Ellington),23,54
2,4:33.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by J. Holiday),,26,54
2,4:14.0,,J. Winslow misses 3-pt jump shot from 26 ft,26,54
2,4:12.0,,Offensive rebound by K. Olynyk,26,54
2,4:05.0,,Turnover by K. Olynyk (traveling),26,54
2,4:05.0,C. Diallo enters the game for I. Clark,,26,54
2,4:05.0,T. Frazier enters the game for N. Mirotić,,26,54
2,4:05.0,,J. Johnson enters the game for K. Olynyk,26,54
2,4:05.0,,R. McGruder enters the game for J. Winslow,26,54
2,3:53.0,Shooting foul by H. Whiteside (drawn by J. Holiday),,26,54
2,3:53.0,J. Holiday makes free throw 1 of 2,,27,54
2,3:53.0,J. Holiday makes free throw 2 of 2,,28,54
2,3:36.0,,H. Whiteside makes 2-pt jump shot from 6 ft,28,56
2,3:20.0,Personal foul by J. Johnson (drawn by A. Davis),,28,56
2,3:18.0,Personal foul by R. McGruder (drawn by A. Davis),,28,56
2,3:09.0,C. Diallo misses 2-pt jump shot from 9 ft (block by H. Whiteside),,28,56
2,3:02.0,,Defensive rebound by H. Whiteside,28,56
2,2:56.0,,J. Richardson makes 3-pt jump shot from 27 ft (assist by H. Whiteside),28,59
2,2:50.0,New Orleans full timeout,,28,59
2,2:50.0,D. Miller enters the game for W. Johnson,,28,59
2,2:50.0,,D. Wade enters the game for R. McGruder,28,59
2,2:35.0,Turnover by J. Holiday (bad pass; steal by H. Whiteside),,28,59
2,2:28.0,,D. Wade misses 2-pt jump shot from 15 ft,28,59
2,2:23.0,Defensive rebound by T. Frazier,,28,59
2,2:19.0,J. Holiday makes 2-pt layup from 3 ft (assist by T. Frazier),,30,59
2,2:05.0,,Turnover by H. Whiteside (step out of bounds),30,59
2,1:58.0,J. Holiday makes 2-pt layup from 4 ft (assist by A. Davis),,32,59
2,1:58.0,Shooting foul by J. Johnson (drawn by J. Holiday),,32,59
2,1:58.0,J. Holiday makes free throw 1 of 1,,33,59
2,1:34.0,,J. Johnson misses 2-pt jump shot from 10 ft,33,59
2,1:31.0,Defensive rebound by D. Miller,,33,59
2,1:30.0,Personal foul by J. Johnson (drawn by T. Frazier),,33,59
2,1:30.0,T. Frazier makes free throw 1 of 2,,34,59
2,1:30.0,,K. Olynyk enters the game for J. Johnson,34,59
2,1:30.0,T. Frazier makes free throw 2 of 2,,35,59
2,1:16.0,,W. Ellington misses 3-pt jump shot from 27 ft,35,59
2,1:12.0,Defensive rebound by J. Holiday,,35,59
2,1:10.0,A. Davis makes 2-pt jump shot from 9 ft (assist by J. Holiday),,37,59
2,0:53.0,,Personal foul by C. Diallo (drawn by H. Whiteside),37,59
2,0:48.0,,J. Richardson misses 3-pt jump shot from 26 ft,37,59
2,0:45.0,Defensive rebound by T. Frazier,,37,59
2,0:42.0,A. Davis makes 2-pt jump shot from 12 ft (assist by T. Frazier),,39,59
2,0:42.0,Shooting foul by J. Richardson (drawn by A. Davis),,39,59
2,0:42.0,A. Davis makes free throw 1 of 1,,40,59
2,0:30.0,,Personal foul by D. Miller (drawn by K. Olynyk),40,59
2,0:30.0,,K. Olynyk makes free throw 1 of 2,40,60
2,0:30.0,,J. Winslow enters the game for W. Ellington,40,60
2,0:30.0,,K. Olynyk makes free throw 2 of 2,40,61
2,0:24.0,Personal foul by J. Winslow (drawn by T. Frazier),,40,61
2,0:24.0,T. Frazier misses free throw 1 of 2,,40,61
2,0:24.0,Offensive rebound by Team,,40,61
2,0:24.0,W. Johnson enters the game for D. Miller,,40,61
2,0:24.0,,W. Ellington enters the game for J. Winslow,40,61
2,0:24.0,T. Frazier makes free throw 2 of 2,,41,61
2,0:00.0,,Turnover by Team (shot clock),41,61
3,11:39.0,,H. Whiteside misses 2-pt layup from 4 ft,41,61
3,11:35.0,,Offensive rebound by H. Whiteside,41,61
3,11:35.0,,H. Whiteside makes 2-pt layup from 1 ft,41,63
3,11:20.0,A. Davis makes 2-pt jump shot from 15 ft (assist by N. Mirotić),,43,63
3,11:07.0,,R. McGruder misses 2-pt layup from 10 ft (block by A. Davis),43,63
3,11:06.0,,Offensive rebound by Team,43,63
3,10:53.0,,Turnover by Team (shot clock),43,63
3,10:33.0,A. Davis makes 3-pt jump shot from 26 ft (assist by J. Holiday),,46,63
3,10:20.0,,Turnover by J. Richardson (out of bounds lost ball),46,63
3,10:08.0,A. Davis makes 3-pt jump shot from 26 ft (assist by T. Frazier),,49,63
3,10:05.0,,Miami full timeout,49,63
3,9:53.0,,R. McGruder makes 2-pt jump shot from 4 ft (assist by H. Whiteside),49,65
3,9:42.0,Shooting foul by H. Whiteside (drawn by A. Davis),,49,65
3,9:42.0,A. Davis makes free throw 1 of 3,,50,65
3,9:42.0,A. Davis makes free throw 2 of 3,,51,65
3,9:42.0,A. Davis makes free throw 3 of 3,,52,65
3,9:29.0,,Personal foul by T. Frazier (drawn by R. McGruder),52,65
3,9:21.0,,R. McGruder makes 2-pt layup from 5 ft,52,67
3,9:21.0,,Shooting foul by T. Frazier (drawn by R. McGruder),52,67
3,9:21.0,,R. McGruder makes free throw 1 of 1,52,68
3,9:06.0,J. Holiday makes 2-pt jump shot from 8 ft,,54,68
3,8:54.0,,J. Johnson misses 2-pt jump shot from 22 ft,54,68
3,8:52.0,,Offensive rebound by R. McGruder,54,68
3,8:51.0,,R. McGruder misses 2-pt layup from 1 ft,54,68
3,8:51.0,,Offensive rebound by Team,54,68
3,8:45.0,,Turnover by J. Richardson (lost ball; steal by E. Moore),54,68
3,8:41.0,T. Frazier misses 2-pt layup from 4 ft,,54,68
3,8:37.0,Offensive rebound by E. Moore,,54,68
3,8:37.0,E. Moore misses 2-pt layup at rim,,54,68
3,8:36.0,,Defensive rebound by H. Whiteside,54,68
3,8:23.0,,J. Richardson misses 2-pt layup from 6 ft (block by A. Davis),54,68
3,8:20.0,,Offensive rebound by R. McGruder,54,68
3,8:17.0,,R. McGruder makes 2-pt layup from 4 ft,54,70
3,8:10.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by A. Davis),,57,70
3,7:42.0,,Shooting foul by J. Holiday (drawn by J. Johnson),57,70
3,7:42.0,,J. Johnson misses free throw 1 of 2,57,70
3,7:42.0,,Offensive rebound by Team,57,70
3,7:42.0,,J. Johnson makes free throw 2 of 2,57,71
3,7:36.0,A. Davis misses 2-pt jump shot from 16 ft,,57,71
3,7:32.0,,Defensive rebound by H. Whiteside,57,71
3,7:24.0,,J. Johnson misses 2-pt jump shot from 12 ft (block by N. Mirotić),57,71
3,7:21.0,Defensive rebound by T. Frazier,,57,71
3,7:18.0,E. Moore misses 3-pt jump shot from 24 ft,,57,71
3,7:14.0,Offensive rebound by T. Frazier,,57,71
3,7:13.0,A. Davis makes 2-pt dunk from 3 ft (assist by T. Frazier),,59,71
3,6:54.0,,J. Johnson makes 3-pt jump shot from 27 ft (assist by H. Whiteside),59,74
3,6:44.0,J. Holiday misses 3-pt jump shot from 26 ft,,59,74
3,6:40.0,,Defensive rebound by R. McGruder,59,74
3,6:34.0,,Personal foul by N. Mirotić (drawn by R. McGruder),59,74
3,6:34.0,J. Randle enters the game for N. Mirotić,,59,74
3,6:34.0,,B. Adebayo enters the game for H. Whiteside,59,74
3,6:23.0,,Turnover by W. Ellington (bad pass; steal by A. Davis),59,74
3,6:22.0,A. Davis misses 2-pt layup from 4 ft,,59,74
3,6:22.0,Offensive rebound by Team,,59,74
3,6:22.0,Shooting foul by W. Ellington (drawn by J. Randle),,59,74
3,6:22.0,J. Randle makes free throw 1 of 2,,60,74
3,6:22.0,J. Randle makes free throw 2 of 2,,61,74
3,6:07.0,,R. McGruder misses 2-pt jump shot from 8 ft,61,74
3,6:04.0,Defensive rebound by A. Davis,,61,74
3,5:56.0,Personal foul by R. McGruder (drawn by A. Davis),,61,74
3,5:56.0,,D. Wade enters the game for R. McGruder,61,74
3,5:56.0,Turnover by T. Frazier (bad pass),,61,74
3,5:46.0,,J. Richardson misses 2-pt jump shot from 23 ft,61,74
3,5:42.0,,Offensive rebound by B. Adebayo,61,74
3,5:41.0,,J. Richardson misses 3-pt jump shot from 26 ft,61,74
3,5:37.0,Defensive rebound by T. Frazier,,61,74
3,5:31.0,Personal foul by J. Richardson (drawn by J. Randle),,61,74
3,5:31.0,S. Hill enters the game for E. Moore,,61,74
3,5:16.0,J. Randle misses 2-pt jump shot from 8 ft,,61,74
3,5:13.0,Offensive rebound by S. Hill,,61,74
3,5:09.0,Turnover by J. Holiday (bad pass; steal by J. Richardson),,61,74
3,5:05.0,,W. Ellington misses 3-pt jump shot from 25 ft,61,74
3,5:05.0,Defensive rebound by Team,,61,74
3,4:50.0,A. Davis makes 2-pt dunk from 4 ft,,63,74
3,4:42.0,,Shooting foul by J. Holiday (drawn by J. Richardson),63,74
3,4:42.0,,J. Richardson makes free throw 1 of 2,63,75
3,4:42.0,,J. Richardson misses free throw 2 of 2,63,75
3,4:38.0,Defensive rebound by J. Randle,,63,75
3,4:28.0,A. Davis misses 2-pt hook shot from 6 ft,,63,75
3,4:25.0,,Defensive rebound by D. Wade,63,75
3,4:11.0,,D. Wade makes 2-pt jump shot from 15 ft,63,77
3,3:59.0,J. Holiday makes 2-pt layup from 4 ft (assist by T. Frazier),,65,77
3,3:43.0,,W. Ellington misses 3-pt jump shot from 23 ft,65,77
3,3:41.0,Defensive rebound by J. Randle,,65,77
3,3:36.0,T. Frazier makes 3-pt jump shot from 25 ft (assist by S. Hill),,68,77
3,3:18.0,,Turnover by B. Adebayo (bad pass),68,77
3,3:18.0,I. Clark enters the game for T. Frazier,,68,77
3,3:18.0,,R. McGruder enters the game for J. Johnson,68,77
3,3:18.0,,J. Winslow enters the game for J. Richardson,68,77
3,3:06.0,A. Davis makes 2-pt jump shot from 7 ft (assist by J. Holiday),,70,77
3,2:40.0,,B. Adebayo makes 2-pt layup from 3 ft (assist by R. McGruder),70,79
3,2:21.0,A. Davis misses 3-pt jump shot from 27 ft,,70,79
3,2:17.0,Offensive rebound by J. Randle,,70,79
3,2:16.0,Turnover by J. Randle (lost ball; steal by R. McGruder),,70,79
3,2:08.0,,W. Ellington misses 3-pt jump shot from 27 ft,70,79
3,2:07.0,Defensive rebound by A. Davis,,70,79
3,2:07.0,Personal foul by B. Adebayo (drawn by A. Davis),,70,79
3,2:07.0,New Orleans full timeout,,70,79
3,2:07.0,,K. Olynyk enters the game for W. Ellington,70,79
3,2:07.0,A. Davis makes free throw 1 of 2,,71,79
3,2:07.0,A. Davis makes free throw 2 of 2,,72,79
3,1:47.0,,D. Wade misses 3-pt jump shot from 27 ft,72,79
3,1:45.0,Defensive rebound by J. Holiday,,72,79
3,1:39.0,Shooting foul by K. Olynyk (drawn by J. Randle),,72,79
3,1:39.0,J. Randle misses free throw 1 of 2,,72,79
3,1:39.0,Offensive rebound by Team,,72,79
3,1:39.0,C. Diallo enters the game for A. Davis,,72,79
3,1:39.0,J. Randle makes free throw 2 of 2,,73,79
3,1:20.0,,J. Winslow misses 2-pt jump shot from 5 ft,73,79
3,1:17.0,Defensive rebound by J. Randle,,73,79
3,1:13.0,J. Randle makes 2-pt layup from 4 ft,,75,79
3,1:02.0,Violation by Team (kicked ball),,75,79
3,0:53.0,,D. Wade misses 2-pt jump shot from 17 ft,75,79
3,0:50.0,Defensive rebound by J. Randle,,75,79
3,0:43.0,J. Holiday misses 2-pt jump shot from 9 ft,,75,79
3,0:41.0,,Defensive rebound by K. Olynyk,75,79
3,0:22.0,,R. McGruder misses 2-pt jump shot from 10 ft,75,79
3,0:21.0,Defensive rebound by S. Hill,,75,79
3,0:20.0,Turnover by S. Hill (bad pass; steal by R. McGruder),,75,79
3,0:16.0,,R. McGruder makes 2-pt layup from 4 ft,75,81
3,0:00.0,I. Clark misses 3-pt jump shot from 26 ft,,75,81
3,0:00.0,Offensive rebound by Team,,75,81
4,11:42.0,J. Randle makes 2-pt layup from 4 ft (assist by E. Moore),,77,81
4,11:27.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by D. Wade),77,84
4,11:16.0,Offensive foul by J. Randle (drawn by D. Wade),,77,84
4,11:16.0,Turnover by J. Randle (offensive foul),,77,84
4,11:02.0,,K. Olynyk makes 2-pt layup from 3 ft (assist by D. Wade),77,86
4,10:43.0,A. Davis makes 2-pt jump shot from 13 ft,,79,86
4,10:18.0,,D. Wade misses 2-pt jump shot from 18 ft,79,86
4,10:16.0,Defensive rebound by A. Davis,,79,86
4,9:58.0,I. Clark misses 3-pt jump shot from 25 ft,,79,86
4,9:53.0,,Defensive rebound by B. Adebayo,79,86
4,9:32.0,,J. Winslow misses 2-pt layup from 6 ft (block by A. Davis),79,86
4,9:32.0,,Offensive rebound by B. Adebayo,79,86
4,9:32.0,,Turnover by Team (shot clock),79,86
4,9:24.0,Personal foul by R. McGruder (drawn by I. Clark),,79,86
4,9:24.0,J. Holiday enters the game for I. Clark,,79,86
4,9:15.0,E. Moore misses 2-pt jump shot from 8 ft,,79,86
4,9:12.0,Offensive rebound by E. Moore,,79,86
4,9:08.0,E. Moore makes 2-pt layup from 9 ft,,81,86
4,8:58.0,,Personal foul by S. Hill (drawn by K. Olynyk),81,86
4,8:58.0,,J. Richardson enters the game for R. McGruder,81,86
4,8:50.0,,D. Wade misses 2-pt jump shot from 15 ft,81,86
4,8:44.0,Defensive rebound by A. Davis,,81,86
4,8:42.0,Personal foul by J. Richardson (drawn by J. Randle),,81,86
4,8:36.0,S. Hill misses 3-pt jump shot from 23 ft,,81,86
4,8:33.0,,Defensive rebound by B. Adebayo,81,86
4,8:23.0,,J. Winslow misses 3-pt jump shot from 23 ft,81,86
4,8:19.0,,Offensive rebound by K. Olynyk,81,86
4,8:16.0,,D. Wade makes 3-pt jump shot from 24 ft (assist by J. Winslow),81,89
4,8:16.0,N. Mirotić enters the game for J. Randle,,81,89
4,7:58.0,,Violation by Team (kicked ball),81,89
4,7:52.0,E. Moore misses 2-pt jump shot from 12 ft,,81,89
4,7:47.0,,Defensive rebound by D. Wade,81,89
4,7:41.0,,K. Olynyk misses 3-pt jump shot from 27 ft,81,89
4,7:38.0,Defensive rebound by A. Davis,,81,89
4,7:29.0,A. Davis makes 2-pt jump shot from 12 ft (assist by J. Holiday),,83,89
4,7:29.0,,Miami full timeout,83,89
4,7:29.0,T. Frazier enters the game for E. Moore,,83,89
4,7:29.0,,W. Ellington enters the game for D. Wade,83,89
4,7:12.0,,K. Olynyk makes 3-pt jump shot from 27 ft (assist by B. Adebayo),83,92
4,6:55.0,Personal foul by W. Ellington (drawn by A. Davis),,83,92
4,6:49.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by T. Frazier),,86,92
4,6:35.0,,J. Richardson misses 3-pt jump shot from 28 ft,86,92
4,6:32.0,,Offensive rebound by Team,86,92
4,6:32.0,,Personal foul by A. Davis (drawn by K. Olynyk),86,92
4,6:23.0,,B. Adebayo makes 2-pt layup from 4 ft (assist by K. Olynyk),86,94
4,6:10.0,N. Mirotić misses 3-pt jump shot from 27 ft,,86,94
4,6:07.0,,Defensive rebound by W. Ellington,86,94
4,5:54.0,,K. Olynyk misses 3-pt jump shot from 27 ft,86,94
4,5:52.0,Defensive rebound by A. Davis,,86,94
4,5:43.0,Turnover by J. Holiday (traveling),,86,94
4,5:43.0,J. Randle enters the game for S. Hill,,86,94
4,5:22.0,,J. Winslow misses 2-pt layup from 7 ft,86,94
4,5:21.0,Defensive rebound by Team,,86,94
4,5:16.0,Shooting foul by J. Winslow (drawn by N. Mirotić),,86,94
