QUARTER,TIME_REMAINING,ATLANTA_ACTION,MEMPHIS_ACTION,ATLANTA_SCORE,MEMPHIS_SCORE
1,8:15.0,,M. Gasol misses 3-pt jump shot from 26 ft,8,11
1,8:12.0,Defensive rebound by V. Carter,,8,11
1,8:09.0,V. Carter misses 3-pt jump shot from 28 ft,,8,11
1,8:06.0,,Defensive rebound by M. Gasol,8,11
1,7:58.0,,C. Parsons makes 3-pt jump shot from 25 ft (assist by M. Conley),8,14
1,7:38.0,Offensive foul by A. Len (drawn by M. Conley),,8,14
1,7:38.0,Turnover by A. Len (offensive foul),,8,14
1,7:38.0,J. Lin enters the game for V. Carter,,8,14
1,7:25.0,,Personal foul by J. Lin (drawn by M. Conley),8,14
1,7:24.0,,Turnover by G. Temple (bad pass; steal by T. Young),8,14
1,7:19.0,T. Young misses 3-pt jump shot from 26 ft,,8,14
1,7:16.0,,Defensive rebound by J. Green,8,14
1,7:08.0,,Shooting foul by T. Prince (drawn by J. Green),8,14
1,7:08.0,,J. Green makes free throw 1 of 2,8,15
1,7:08.0,,J. Green makes free throw 2 of 2,8,16
1,6:58.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),,10,16
1,6:35.0,,C. Parsons misses 2-pt jump shot from 2 ft,10,16
1,6:33.0,,Offensive rebound by C. Parsons,10,16
1,6:32.0,,Shooting foul by A. Len (drawn by M. Gasol),10,16
1,6:32.0,,M. Gasol makes free throw 1 of 2,10,17
1,6:32.0,D. Bembry enters the game for K. Bazemore,,10,17
1,6:32.0,M. Plumlee enters the game for A. Len,,10,17
1,6:32.0,,K. Anderson enters the game for C. Parsons,10,17
1,6:32.0,,M. Gasol makes free throw 2 of 2,10,18
1,6:22.0,T. Prince misses 3-pt jump shot from 22 ft,,10,18
1,6:19.0,,Defensive rebound by M. Gasol,10,18
1,6:14.0,,J. Green makes 2-pt dunk at rim (assist by M. Conley),10,20
1,6:14.0,Atlanta full timeout,,10,20
1,6:14.0,A. Poythress enters the game for T. Prince,,10,20
1,6:14.0,Turnover by M. Plumlee (lost ball; steal by J. Green),,10,20
1,5:49.0,,Shooting foul by A. Poythress (drawn by M. Gasol),10,20
1,5:49.0,,M. Gasol makes free throw 1 of 2,10,21
1,5:49.0,,M. Gasol makes free throw 2 of 2,10,22
1,5:36.0,T. Young misses 3-pt jump shot from 24 ft,,10,22
1,5:35.0,Offensive rebound by M. Plumlee,,10,22
1,5:30.0,Offensive foul by D. Bembry (drawn by J. Green),,10,22
1,5:30.0,Turnover by D. Bembry (offensive foul),,10,22
1,5:30.0,V. Carter enters the game for M. Plumlee,,10,22
1,5:30.0,T. Dorsey enters the game for T. Young,,10,22
1,5:17.0,,Turnover by J. Green (traveling),10,22
1,5:17.0,,J. Jackson enters the game for J. Green,10,22
1,5:07.0,T. Dorsey misses 2-pt layup from 4 ft,,10,22
1,5:03.0,Offensive rebound by A. Poythress,,10,22
1,5:01.0,V. Carter misses 3-pt jump shot from 23 ft,,10,22
1,4:59.0,,Defensive rebound by M. Conley,10,22
1,4:56.0,,J. Jackson makes 2-pt layup from 1 ft (assist by M. Conley),10,24
1,4:39.0,J. Lin misses 2-pt layup from 2 ft (block by K. Anderson),,10,24
1,4:36.0,,Defensive rebound by K. Anderson,10,24
1,4:31.0,,M. Conley makes 3-pt jump shot from 26 ft,10,27
1,4:29.0,Atlanta full timeout,,10,27
1,4:29.0,K. Bazemore enters the game for D. Bembry,,10,27
1,4:29.0,A. Len enters the game for T. Dorsey,,10,27
1,4:29.0,T. Prince enters the game for J. Lin,,10,27
1,4:29.0,T. Young enters the game for A. Poythress,,10,27
1,4:29.0,,S. Mack enters the game for M. Conley,10,27
1,4:29.0,,W. Selden enters the game for G. Temple,10,27
1,4:15.0,T. Prince makes 2-pt jump shot from 3 ft,,12,27
1,4:15.0,Shooting foul by J. Jackson (drawn by T. Prince),,12,27
1,4:15.0,T. Prince makes free throw 1 of 1,,13,27
1,3:59.0,,M. Gasol makes 2-pt jump shot from 7 ft (assist by S. Mack),13,29
1,3:48.0,Turnover by T. Young (bad pass; steal by K. Anderson),,13,29
1,3:45.0,,Turnover by K. Anderson (bad pass; steal by T. Prince),13,29
1,3:41.0,T. Young makes 3-pt jump shot from 26 ft (assist by T. Prince),,16,29
1,3:27.0,,Shooting foul by V. Carter (drawn by K. Anderson),16,29
1,3:27.0,,K. Anderson misses free throw 1 of 2,16,29
1,3:27.0,,Offensive rebound by Team,16,29
1,3:27.0,,K. Anderson makes free throw 2 of 2,16,30
1,3:13.0,T. Young makes 2-pt jump shot from 11 ft (assist by T. Prince),,18,30
1,3:03.0,,J. Jackson makes 2-pt layup from 2 ft (assist by M. Gasol),18,32
1,3:03.0,,Shooting foul by V. Carter (drawn by J. Jackson),18,32
1,3:03.0,A. Poythress enters the game for V. Carter,,18,32
1,3:03.0,,D. Brooks enters the game for M. Gasol,18,32
1,3:03.0,,J. Jackson makes free throw 1 of 1,18,33
1,2:50.0,T. Prince makes 2-pt jump shot from 21 ft (assist by A. Poythress),,20,33
1,2:38.0,,K. Anderson misses 2-pt jump shot from 11 ft,20,33
1,2:35.0,Defensive rebound by T. Prince,,20,33
1,2:31.0,T. Young makes 2-pt jump shot from 12 ft,,22,33
1,2:29.0,,Memphis full timeout,22,33
1,2:29.0,,Violation by Team (delay of game),22,33
1,2:15.0,,Turnover by W. Selden (lost ball; steal by K. Bazemore),22,33
1,2:09.0,T. Prince makes 3-pt jump shot from 23 ft (assist by T. Young),,25,33
1,2:00.0,,Shooting foul by T. Prince (drawn by D. Brooks),25,33
1,2:00.0,,D. Brooks misses free throw 1 of 2,25,33
1,2:00.0,,Offensive rebound by Team,25,33
1,2:00.0,,M. Conley enters the game for K. Anderson,25,33
1,2:00.0,,D. Brooks misses free throw 2 of 2,25,33
1,1:57.0,Defensive rebound by A. Poythress,,25,33
1,1:49.0,T. Prince makes 2-pt dunk from 1 ft (assist by A. Len),,27,33
1,1:27.0,,Personal foul by K. Bazemore (drawn by M. Conley),27,33
1,1:27.0,,J. Green enters the game for D. Brooks,27,33
1,1:27.0,,G. Temple enters the game for W. Selden,27,33
1,1:27.0,,M. Conley misses free throw 1 of 2,27,33
1,1:27.0,,Offensive rebound by Team,27,33
1,1:27.0,,M. Conley makes free throw 2 of 2,27,34
1,1:27.0,D. Bembry enters the game for K. Bazemore,,27,34
1,1:12.0,Turnover by T. Prince (traveling),,27,34
1,1:12.0,T. Dorsey enters the game for T. Prince,,27,34
1,1:01.0,,J. Jackson makes 2-pt hook shot from 10 ft (assist by M. Conley),27,36
1,0:56.0,T. Young makes 3-pt jump shot from 27 ft,,30,36
1,0:45.0,,Shooting foul by T. Young (drawn by J. Jackson),30,36
1,0:45.0,,J. Jackson misses free throw 1 of 2,30,36
1,0:45.0,,Offensive rebound by Team,30,36
1,0:45.0,,J. Jackson makes free throw 2 of 2,30,37
1,0:39.0,Personal foul by M. Conley (drawn by T. Young),,30,37
1,0:28.0,A. Len misses 2-pt layup from 7 ft,,30,37
1,0:26.0,,Defensive rebound by J. Green,30,37
1,0:08.0,,M. Conley misses 3-pt jump shot from 25 ft,30,37
1,0:05.0,Defensive rebound by D. Bembry,,30,37
1,0:00.0,T. Young makes 3-pt jump shot from 23 ft (assist by D. Bembry),,33,37
2,11:49.0,,J. Green misses 2-pt layup from 1 ft,33,37
2,11:47.0,,Offensive rebound by J. Green,33,37
2,11:45.0,,J. Green misses 2-pt layup from 2 ft (block by A. Poythress),33,37
2,11:45.0,,Offensive rebound by Team,33,37
2,11:39.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by J. Jackson),33,40
2,11:25.0,A. Poythress makes 3-pt jump shot from 23 ft (assist by T. Young),,36,40
2,11:06.0,,J. Jackson misses 2-pt layup from 3 ft,36,40
2,11:03.0,Defensive rebound by A. Len,,36,40
2,10:54.0,A. Len misses 2-pt layup from 5 ft (block by J. Jackson),,36,40
2,10:51.0,Offensive rebound by Team,,36,40
2,10:45.0,A. Len makes 3-pt jump shot from 24 ft (assist by T. Dorsey),,39,40
2,10:22.0,,J. Green makes 2-pt jump shot from 19 ft (assist by M. Conley),39,42
2,10:17.0,Personal foul by M. Conley (drawn by A. Len),,39,42
2,10:17.0,,M. Gasol enters the game for J. Jackson,39,42
2,10:09.0,T. Young misses 3-pt jump shot from 27 ft,,39,42
2,10:07.0,Offensive rebound by A. Poythress,,39,42
2,10:07.0,Personal foul by G. Temple (drawn by A. Poythress),,39,42
2,10:06.0,Personal foul by J. Green (drawn by A. Poythress),,39,42
2,10:01.0,T. Young misses 2-pt jump shot from 19 ft,,39,42
2,9:58.0,,Defensive rebound by M. Conley,39,42
2,9:53.0,,M. Gasol misses 2-pt jump shot from 21 ft,39,42
2,9:49.0,Defensive rebound by T. Young,,39,42
2,9:41.0,T. Young makes 3-pt jump shot from 25 ft (assist by T. Dorsey),,42,42
2,9:22.0,,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),42,44
2,9:22.0,Atlanta full timeout,,42,44
2,9:22.0,M. Plumlee enters the game for A. Len,,42,44
2,9:22.0,,O. Casspi enters the game for J. Green,42,44
2,9:08.0,D. Bembry misses 2-pt layup from 3 ft,,42,44
2,9:02.0,Offensive rebound by A. Poythress,,42,44
2,9:02.0,A. Poythress misses 2-pt dunk from 1 ft,,42,44
2,9:01.0,,Defensive rebound by G. Temple,42,44
2,8:47.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by M. Conley),42,47
2,8:35.0,D. Bembry makes 2-pt jump shot from 7 ft (assist by M. Plumlee),,44,47
2,8:13.0,,O. Casspi makes 2-pt hook shot from 6 ft,44,49
2,8:00.0,Turnover by T. Young (bad pass),,44,49
2,7:42.0,,M. Conley makes 2-pt jump shot from 10 ft,44,51
2,7:33.0,Personal foul by M. Conley (drawn by M. Plumlee),,44,51
2,7:33.0,J. Lin enters the game for T. Young,,44,51
2,7:33.0,,S. Mack enters the game for M. Conley,44,51
2,7:29.0,D. Bembry makes 2-pt jump shot from 13 ft,,46,51
2,7:07.0,,G. Temple makes 3-pt jump shot from 26 ft (assist by M. Gasol),46,54
2,6:53.0,D. Bembry misses 2-pt layup from 6 ft,,46,54
2,6:48.0,Offensive rebound by A. Poythress,,46,54
2,6:48.0,A. Poythress makes 2-pt layup from 1 ft,,48,54
2,6:35.0,,S. Mack makes 2-pt layup from 2 ft (assist by M. Gasol),48,56
2,6:20.0,Personal foul by S. Mack (drawn by J. Lin),,48,56
2,6:20.0,J. Lin misses free throw 1 of 2,,48,56
2,6:20.0,Offensive rebound by Team,,48,56
2,6:20.0,K. Bazemore enters the game for T. Dorsey,,48,56
2,6:20.0,V. Carter enters the game for A. Poythress,,48,56
2,6:20.0,,K. Anderson enters the game for C. Parsons,48,56
2,6:20.0,J. Lin makes free throw 2 of 2,,49,56
2,6:09.0,,O. Casspi misses 3-pt jump shot from 26 ft,49,56
2,6:05.0,Defensive rebound by M. Plumlee,,49,56
2,5:52.0,Turnover by M. Plumlee (out of bounds lost ball),,49,56
2,5:37.0,,Turnover by M. Gasol (traveling),49,56
2,5:28.0,D. Bembry misses 2-pt jump shot from 9 ft,,49,56
2,5:25.0,,Defensive rebound by G. Temple,49,56
2,5:08.0,,O. Casspi misses 2-pt layup from 2 ft,49,56
2,5:05.0,Defensive rebound by K. Bazemore,,49,56
2,5:00.0,K. Bazemore misses 2-pt layup at rim,,49,56
2,4:57.0,,Defensive rebound by K. Anderson,49,56
2,4:53.0,,S. Mack misses 2-pt layup from 1 ft (block by D. Bembry),49,56
2,4:51.0,Defensive rebound by V. Carter,,49,56
2,4:41.0,Turnover by K. Bazemore (out of bounds lost ball),,49,56
2,4:41.0,T. Prince enters the game for D. Bembry,,49,56
2,4:26.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by K. Anderson),49,59
2,4:12.0,Turnover by T. Prince (lost ball; steal by K. Anderson),,49,59
2,4:09.0,,Shooting foul by J. Lin (drawn by S. Mack),49,59
2,4:09.0,,S. Mack makes free throw 1 of 2,49,60
2,4:09.0,,J. Jackson enters the game for M. Gasol,49,60
2,4:09.0,,S. Mack makes free throw 2 of 2,49,61
2,3:58.0,Technical foul by M. Plumlee,,49,61
2,3:58.0,,G. Temple makes technical free throw,49,62
2,3:54.0,Personal foul by S. Mack (drawn by J. Lin),,49,62
2,3:54.0,J. Lin makes free throw 1 of 2,,50,62
2,3:54.0,J. Lin makes free throw 2 of 2,,51,62
2,3:40.0,,O. Casspi misses 3-pt jump shot from 25 ft,51,62
2,3:37.0,Defensive rebound by K. Bazemore,,51,62
2,3:34.0,T. Prince misses 3-pt jump shot from 26 ft,,51,62
2,3:30.0,,Defensive rebound by K. Anderson,51,62
2,3:23.0,,Turnover by J. Jackson (3 sec),51,62
2,3:23.0,T. Young enters the game for J. Lin,,51,62
2,3:12.0,M. Plumlee makes 2-pt layup from 1 ft (assist by T. Young),,53,62
2,3:01.0,,Shooting foul by K. Bazemore (drawn by G. Temple),53,62
2,3:01.0,,G. Temple makes free throw 1 of 2,53,63
2,3:01.0,D. Bembry enters the game for K. Bazemore,,53,63
2,3:01.0,,G. Temple misses free throw 2 of 2,53,63
2,2:59.0,Defensive rebound by M. Plumlee,,53,63
2,2:51.0,T. Young misses 2-pt jump shot from 15 ft,,53,63
2,2:49.0,,Defensive rebound by J. Jackson,53,63
2,2:43.0,,O. Casspi makes 2-pt dunk from 1 ft (assist by G. Temple),53,65
2,2:29.0,M. Plumlee misses 2-pt layup from 1 ft,,53,65
2,2:26.0,Offensive rebound by M. Plumlee,,53,65
2,2:26.0,M. Plumlee makes 2-pt layup from 1 ft,,55,65
2,2:07.0,,O. Casspi misses 2-pt layup from 3 ft,55,65
2,2:07.0,,Offensive rebound by Team,55,65
2,2:07.0,,Memphis full timeout,55,65
2,2:07.0,,Away from play foul by T. Prince (drawn by G. Temple),55,65
2,2:07.0,,G. Temple makes free throw 1 of 1,55,66
2,2:05.0,,G. Temple makes 3-pt jump shot from 23 ft (assist by O. Casspi),55,69
2,1:54.0,Personal foul by O. Casspi (drawn by V. Carter),,55,69
2,1:54.0,V. Carter makes free throw 1 of 2,,56,69
2,1:54.0,V. Carter makes free throw 2 of 2,,57,69
2,1:38.0,,Turnover by K. Anderson (bad pass; steal by T. Prince),57,69
2,1:35.0,Offensive foul by T. Prince (drawn by K. Anderson),,57,69
2,1:35.0,Turnover by T. Prince (offensive foul),,57,69
2,1:35.0,T. Dorsey enters the game for T. Prince,,57,69
2,1:23.0,,J. Jackson makes 2-pt dunk at rim (assist by G. Temple),57,71
2,1:10.0,Personal foul by K. Anderson (drawn by V. Carter),,57,71
2,1:10.0,V. Carter makes free throw 1 of 2,,58,71
2,1:10.0,V. Carter makes free throw 2 of 2,,59,71
2,0:51.0,,J. Jackson makes 2-pt layup from 5 ft,59,73
2,0:42.0,Shooting foul by K. Anderson (drawn by M. Plumlee),,59,73
2,0:42.0,M. Plumlee misses free throw 1 of 2,,59,73
2,0:42.0,Offensive rebound by Team,,59,73
2,0:42.0,A. Poythress enters the game for V. Carter,,59,73
2,0:42.0,M. Plumlee misses free throw 2 of 2,,59,73
2,0:40.0,,Defensive rebound by J. Jackson,59,73
2,0:31.0,,Shooting foul by T. Dorsey (drawn by G. Temple),59,73
2,0:31.0,,G. Temple makes free throw 1 of 3,59,74
2,0:31.0,,G. Temple makes free throw 2 of 3,59,75
2,0:31.0,V. Carter enters the game for M. Plumlee,,59,75
2,0:31.0,,G. Temple misses free throw 3 of 3,59,75
2,0:31.0,Defensive rebound by D. Bembry,,59,75
2,0:24.0,T. Young misses 2-pt jump shot from 3 ft,,59,75
2,0:22.0,Offensive rebound by T. Young,,59,75
2,0:18.0,A. Poythress makes 2-pt dunk from 1 ft (assist by T. Young),,61,75
2,0:00.0,,S. Mack makes 2-pt jump shot from 6 ft,61,77
3,11:49.0,,Turnover by J. Green (bad pass; steal by K. Bazemore),61,77
3,11:39.0,V. Carter misses 3-pt jump shot from 26 ft,,61,77
3,11:35.0,,Defensive rebound by M. Gasol,61,77
3,11:18.0,,M. Conley misses 3-pt jump shot from 26 ft,61,77
3,11:15.0,Defensive rebound by K. Bazemore,,61,77
3,11:13.0,Personal foul by M. Conley (drawn by T. Young),,61,77
3,11:07.0,T. Young misses 2-pt jump shot from 22 ft,,61,77
3,11:04.0,,Defensive rebound by J. Green,61,77
3,10:56.0,,J. Green misses 2-pt jump shot from 22 ft,61,77
3,10:54.0,Defensive rebound by K. Bazemore,,61,77
3,10:42.0,T. Prince misses 3-pt jump shot from 23 ft,,61,77
3,10:39.0,,Defensive rebound by M. Gasol,61,77
3,10:25.0,,J. Green misses 2-pt hook shot from 6 ft (block by V. Carter),61,77
3,10:25.0,,Offensive rebound by Team,61,77
3,10:18.0,,M. Conley misses 2-pt jump shot from 14 ft,61,77
3,10:17.0,,Offensive rebound by Team,61,77
3,10:17.0,,J. Green misses 2-pt layup from 2 ft (block by K. Bazemore),61,77
3,10:17.0,,Offensive rebound by J. Green,61,77
3,10:17.0,,Turnover by Team (shot clock),61,77
3,10:07.0,A. Len misses 2-pt layup from 1 ft,,61,77
3,10:05.0,,Defensive rebound by M. Conley,61,77
3,10:03.0,,G. Temple makes 2-pt layup at rim (assist by M. Conley),61,79
3,9:52.0,Turnover by T. Prince (bad pass; steal by J. Green),,61,79
3,9:49.0,,C. Parsons makes 2-pt layup at rim (assist by J. Green),61,81
3,9:49.0,Technical foul by K. Bazemore,,61,81
3,9:49.0,,M. Conley makes technical free throw,61,82
3,9:37.0,T. Prince makes 2-pt layup from 1 ft,,63,82
3,9:26.0,,Personal foul by K. Bazemore (drawn by M. Conley),63,82
3,9:15.0,,C. Parsons makes 3-pt jump shot from 25 ft (assist by M. Gasol),63,85
3,9:12.0,Atlanta full timeout,,63,85
3,9:12.0,A. Poythress enters the game for A. Len,,63,85
3,9:03.0,Shooting foul by C. Parsons (drawn by K. Bazemore),,63,85
3,9:03.0,K. Bazemore misses free throw 1 of 2,,63,85
3,9:03.0,Offensive rebound by Team,,63,85
3,9:03.0,K. Bazemore makes free throw 2 of 2,,64,85
3,8:49.0,,Turnover by J. Green (bad pass; steal by A. Poythress),64,85
3,8:47.0,Shooting foul by J. Green (drawn by A. Poythress),,64,85
3,8:47.0,A. Poythress misses free throw 1 of 2,,64,85
3,8:47.0,Offensive rebound by Team,,64,85
3,8:47.0,D. Bembry enters the game for K. Bazemore,,64,85
3,8:47.0,,J. Jackson enters the game for J. Green,64,85
3,8:47.0,A. Poythress misses free throw 2 of 2,,64,85
3,8:45.0,,Defensive rebound by M. Gasol,64,85
3,8:33.0,,M. Gasol makes 2-pt jump shot from 16 ft (assist by M. Conley),64,87
3,8:12.0,T. Young misses 3-pt jump shot from 26 ft,,64,87
3,8:10.0,,Defensive rebound by Team,64,87
3,8:04.0,,Offensive foul by C. Parsons (drawn by T. Prince),64,87
3,8:04.0,,Turnover by C. Parsons (offensive foul),64,87
3,8:04.0,A. Len enters the game for V. Carter,,64,87
3,7:51.0,D. Bembry misses 2-pt layup from 3 ft,,64,87
3,7:49.0,,Defensive rebound by J. Jackson,64,87
3,7:42.0,,Personal foul by T. Young (drawn by M. Conley),64,87
3,7:37.0,,G. Temple misses 3-pt jump shot from 23 ft,64,87
3,7:34.0,Defensive rebound by A. Len,,64,87
3,7:27.0,Turnover by A. Len (lost ball; steal by G. Temple),,64,87
3,7:24.0,,G. Temple makes 2-pt layup at rim,64,89
3,7:11.0,T. Prince makes 3-pt jump shot from 22 ft (assist by T. Young),,67,89
3,6:57.0,,M. Gasol misses 3-pt jump shot from 25 ft,67,89
3,6:53.0,Defensive rebound by A. Poythress,,67,89
3,6:47.0,Shooting foul by J. Jackson (drawn by D. Bembry),,67,89
3,6:47.0,D. Bembry makes free throw 1 of 2,,68,89
3,6:47.0,K. Huerter enters the game for T. Prince,,68,89
3,6:47.0,,S. Mack enters the game for M. Conley,68,89
3,6:47.0,D. Bembry makes free throw 2 of 2,,69,89
3,6:31.0,,G. Temple makes 2-pt layup from 1 ft (assist by C. Parsons),69,91
3,6:21.0,A. Len makes 2-pt dunk from 2 ft (assist by K. Huerter),,71,91
3,5:59.0,,C. Parsons misses 3-pt jump shot from 23 ft,71,91
3,5:55.0,Defensive rebound by D. Bembry,,71,91
3,5:51.0,Personal foul by J. Jackson (drawn by T. Young),,71,91
3,5:51.0,T. Young makes free throw 1 of 2,,72,91
3,5:51.0,,K. Anderson enters the game for C. Parsons,72,91
3,5:51.0,T. Young makes free throw 2 of 2,,73,91
3,5:33.0,,J. Jackson makes 3-pt jump shot from 23 ft (assist by K. Anderson),73,94
3,5:17.0,D. Bembry misses 3-pt jump shot from 27 ft,,73,94
3,5:15.0,,Defensive rebound by J. Jackson,73,94
3,5:01.0,,S. Mack misses 2-pt jump shot from 2 ft,73,94
3,4:58.0,Defensive rebound by K. Huerter,,73,94
3,4:54.0,Turnover by D. Bembry (lost ball; steal by K. Anderson),,73,94
3,4:48.0,,Memphis full timeout,73,94
3,4:48.0,K. Bazemore enters the game for A. Len,,73,94
3,4:48.0,M. Plumlee enters the game for T. Young,,73,94
3,4:37.0,,G. Temple makes 2-pt jump shot from 16 ft,73,96
3,4:24.0,Personal foul by S. Mack (drawn by M. Plumlee),,73,96
3,4:24.0,M. Plumlee misses free throw 1 of 2,,73,96
3,4:24.0,Offensive rebound by Team,,73,96
3,4:24.0,M. Plumlee misses free throw 2 of 2,,73,96
3,4:20.0,,Defensive rebound by G. Temple,73,96
3,4:02.0,,Shooting foul by A. Poythress (drawn by J. Jackson),73,96
3,4:02.0,,J. Jackson makes free throw 1 of 2,73,97
3,4:02.0,,O. Casspi enters the game for M. Gasol,73,97
3,4:02.0,,J. Jackson misses free throw 2 of 2,73,97
3,3:59.0,Defensive rebound by K. Bazemore,,73,97
3,3:52.0,Personal foul by S. Mack (drawn by M. Plumlee),,73,97
3,3:52.0,M. Plumlee makes free throw 1 of 2,,74,97
3,3:52.0,M. Plumlee makes free throw 2 of 2,,75,97
3,3:33.0,,Turnover by J. Jackson (lost ball; steal by D. Bembry),75,97
3,3:29.0,Shooting foul by S. Mack (drawn by D. Bembry),,75,97
3,3:29.0,D. Bembry misses free throw 1 of 2,,75,97
3,3:29.0,Offensive rebound by Team,,75,97
3,3:29.0,,D. Brooks enters the game for S. Mack,75,97
3,3:29.0,,M. Conley enters the game for G. Temple,75,97
3,3:29.0,D. Bembry misses free throw 2 of 2,,75,97
3,3:27.0,,Defensive rebound by J. Jackson,75,97
3,3:06.0,,M. Conley misses 2-pt jump shot from 14 ft,75,97
3,3:03.0,Defensive rebound by A. Poythress,,75,97
3,2:59.0,K. Huerter misses 3-pt jump shot from 23 ft,,75,97
3,2:54.0,,Defensive rebound by K. Anderson,75,97
3,2:48.0,,K. Anderson makes 2-pt jump shot from 13 ft,75,99
3,2:35.0,D. Bembry misses 2-pt jump shot from 20 ft,,75,99
3,2:32.0,,Defensive rebound by O. Casspi,75,99
3,2:20.0,,J. Jackson misses 3-pt jump shot from 22 ft,75,99
3,2:17.0,Defensive rebound by K. Bazemore,,75,99
3,2:12.0,K. Bazemore makes 2-pt jump shot from 7 ft,,77,99
3,2:05.0,,Personal foul by A. Poythress (drawn by J. Jackson),77,99
3,2:05.0,T. Young enters the game for M. Plumlee,,77,99
3,1:57.0,,M. Conley misses 2-pt jump shot from 16 ft,77,99
3,1:56.0,,Offensive rebound by O. Casspi,77,99
3,1:56.0,,Personal foul by A. Poythress (drawn by O. Casspi),77,99
3,1:56.0,,O. Casspi misses free throw 1 of 2,77,99
3,1:56.0,,Offensive rebound by Team,77,99
3,1:56.0,A. Len enters the game for A. Poythress,,77,99
3,1:56.0,,O. Casspi misses free throw 2 of 2,77,99
3,1:53.0,,Offensive rebound by D. Brooks,77,99
3,1:43.0,,M. Conley makes 2-pt jump shot from 9 ft,77,101
3,1:27.0,D. Bembry makes 3-pt jump shot from 27 ft (assist by T. Young),,80,101
3,1:11.0,,Offensive foul by D. Brooks (drawn by K. Huerter),80,101
3,1:11.0,,Turnover by D. Brooks (offensive foul),80,101
3,1:11.0,,Technical foul by D. Brooks,80,101
3,1:11.0,T. Young misses technical free throw,,80,101
3,1:11.0,Offensive rebound by Team,,80,101
3,1:03.0,Turnover by D. Bembry (traveling),,80,101
3,0:50.0,,M. Conley makes 2-pt jump shot from 10 ft (assist by K. Anderson),80,103
3,0:50.0,Turnover by D. Bembry (turnover),,80,103
3,0:50.0,Loose ball foul by D. Bembry (drawn by J. Jackson),,80,103
3,0:50.0,,J. Jackson misses free throw 1 of 1,80,103
3,0:49.0,Defensive rebound by K. Bazemore,,80,103
3,0:34.0,A. Len makes 2-pt hook shot from 6 ft,,82,103
3,0:28.0,,M. Conley misses 3-pt jump shot from 25 ft,82,103
3,0:26.0,,Offensive rebound by Team,82,103
3,0:19.0,,D. Brooks misses 2-pt jump shot from 9 ft,82,103
3,0:18.0,,Offensive rebound by J. Jackson,82,103
3,0:18.0,,J. Jackson makes 2-pt layup at rim,82,105
3,0:18.0,,Shooting foul by K. Huerter (drawn by J. Jackson),82,105
3,0:18.0,,J. Jackson makes free throw 1 of 1,82,106
3,0:01.0,Turnover by T. Young (bad pass; steal by K. Anderson),,82,106
4,11:45.0,T. Prince makes 2-pt jump shot from 13 ft,,84,106
4,11:24.0,,D. Brooks misses 2-pt layup from 1 ft (block by T. Young),84,106
4,11:21.0,Defensive rebound by T. Prince,,84,106
4,11:17.0,T. Young makes 2-pt jump shot from 6 ft (assist by T. Prince),,86,106
4,11:07.0,,S. Mack makes 2-pt layup from 3 ft (assist by K. Anderson),86,108
4,10:51.0,V. Carter misses 2-pt layup from 1 ft,,86,108
