QUARTER,TIME_REMAINING,INDIANA_ACTION,TORONTO_ACTION,INDIANA_SCORE,TORONTO_SCORE
2,1:55.0,Turnover by D. Collison (bad pass; steal by G. Monroe),,55,42
2,1:47.0,,D. Green makes 3-pt jump shot from 27 ft (assist by K. Leonard),55,45
2,1:32.0,T. Young makes 2-pt layup from 1 ft (assist by V. Oladipo),,57,45
2,1:32.0,Shooting foul by D. Wright (drawn by T. Young),,57,45
2,1:32.0,T. Young misses free throw 1 of 1,,57,45
2,1:30.0,,Defensive rebound by D. Wright,57,45
2,1:21.0,,G. Monroe misses 2-pt layup from 5 ft,57,45
2,1:21.0,,Offensive rebound by G. Monroe,57,45
2,1:21.0,,Personal foul by M. Turner (drawn by G. Monroe),57,45
2,1:21.0,,G. Monroe misses free throw 1 of 2,57,45
2,1:21.0,,Offensive rebound by Team,57,45
2,1:21.0,D. McDermott enters the game for M. Turner,,57,45
2,1:21.0,D. Sabonis enters the game for T. Young,,57,45
2,1:21.0,,G. Monroe makes free throw 2 of 2,57,46
2,1:04.0,D. Collison misses 3-pt jump shot from 23 ft,,57,46
2,1:01.0,Offensive rebound by D. Sabonis,,57,46
2,0:50.0,V. Oladipo misses 2-pt layup from 4 ft (block by D. Green),,57,46
2,0:50.0,Offensive rebound by D. Collison,,57,46
2,0:47.0,Turnover by Team (shot clock),,57,46
2,0:30.0,,K. Leonard makes 2-pt jump shot from 9 ft (assist by F. VanVleet),57,48
2,0:11.0,Turnover by V. Oladipo (lost ball; steal by K. Leonard),,57,48
2,0:09.0,,K. Leonard makes 2-pt dunk from 1 ft,57,50
2,0:06.0,Personal foul by K. Leonard (drawn by V. Oladipo),,57,50
2,0:06.0,V. Oladipo makes free throw 1 of 2,,58,50
2,0:06.0,V. Oladipo misses free throw 2 of 2,,58,50
2,0:06.0,,Defensive rebound by K. Leonard,58,50
2,0:00.0,,F. VanVleet misses 3-pt jump shot from 30 ft,58,50
2,0:00.0,,Offensive rebound by Team,58,50
3,11:40.0,,G. Monroe misses 2-pt hook shot from 5 ft,58,50
3,11:38.0,Defensive rebound by M. Turner,,58,50
3,11:18.0,M. Turner makes 2-pt jump shot from 16 ft (assist by V. Oladipo),,60,50
3,10:55.0,,F. VanVleet misses 2-pt layup from 2 ft,60,50
3,10:49.0,,Offensive rebound by G. Monroe,60,50
3,10:49.0,,G. Monroe makes 2-pt layup at rim,60,52
3,10:43.0,B. Bogdanović makes 2-pt jump shot from 5 ft,,62,52
3,10:43.0,,Violation by Team (def goaltending),62,52
3,10:28.0,,D. Green misses 3-pt jump shot from 23 ft,62,52
3,10:25.0,Defensive rebound by M. Turner,,62,52
3,10:22.0,Offensive foul by D. Collison (drawn by D. Green),,62,52
3,10:22.0,Turnover by D. Collison (offensive foul),,62,52
3,10:05.0,,K. Leonard misses 2-pt hook shot from 6 ft,62,52
3,10:01.0,Defensive rebound by B. Bogdanović,,62,52
3,9:57.0,Turnover by V. Oladipo (lost ball; steal by D. Green),,62,52
3,9:54.0,,Turnover by K. Leonard (traveling),62,52
3,9:37.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,62,52
3,9:33.0,,Defensive rebound by P. Siakam,62,52
3,9:26.0,,Personal foul by M. Turner (drawn by P. Siakam),62,52
3,9:16.0,,Shooting foul by D. Collison (drawn by K. Leonard),62,52
3,9:16.0,,K. Leonard misses free throw 1 of 2,62,52
3,9:16.0,,Offensive rebound by Team,62,52
3,9:16.0,,K. Leonard makes free throw 2 of 2,62,53
3,9:02.0,T. Young misses 3-pt jump shot from 26 ft,,62,53
3,8:58.0,,Defensive rebound by P. Siakam,62,53
3,8:54.0,,Shooting foul by B. Bogdanović (drawn by K. Leonard),62,53
3,8:54.0,,K. Leonard makes free throw 1 of 2,62,54
3,8:54.0,,K. Leonard misses free throw 2 of 2,62,54
3,8:51.0,Defensive rebound by B. Bogdanović,,62,54
3,8:42.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by D. Collison),,65,54
3,8:16.0,,P. Siakam makes 2-pt layup from 1 ft,65,56
3,8:00.0,Turnover by V. Oladipo (bad pass; steal by K. Leonard),,65,56
3,7:55.0,,Shooting foul by B. Bogdanović (drawn by K. Leonard),65,56
3,7:55.0,,K. Leonard makes free throw 1 of 2,65,57
3,7:55.0,,K. Leonard makes free throw 2 of 2,65,58
3,7:48.0,Personal foul by P. Siakam (drawn by M. Turner),,65,58
3,7:33.0,V. Oladipo makes 2-pt layup from 2 ft,,67,58
3,7:14.0,,F. VanVleet misses 2-pt layup from 2 ft (block by M. Turner),67,58
3,7:12.0,Defensive rebound by D. Collison,,67,58
3,7:12.0,Personal take foul by G. Monroe (drawn by D. Collison),,67,58
3,7:02.0,V. Oladipo makes 2-pt layup from 2 ft,,69,58
3,6:49.0,,K. Leonard misses 2-pt jump shot from 17 ft,69,58
3,6:47.0,Defensive rebound by M. Turner,,69,58
3,6:39.0,Shooting foul by K. Leonard (drawn by M. Turner),,69,58
3,6:39.0,,Toronto full timeout,69,58
3,6:39.0,,O. Anunoby enters the game for G. Monroe,69,58
3,6:39.0,M. Turner makes free throw 1 of 2,,70,58
3,6:39.0,M. Turner makes free throw 2 of 2,,71,58
3,6:26.0,,F. VanVleet misses 3-pt jump shot from 25 ft,71,58
3,6:21.0,Defensive rebound by M. Turner,,71,58
3,6:13.0,D. Collison misses 2-pt layup from 2 ft (block by F. VanVleet),,71,58
3,6:11.0,,Defensive rebound by Team,71,58
3,6:04.0,,P. Siakam misses 2-pt layup from 4 ft (block by M. Turner),71,58
3,6:04.0,,Offensive rebound by Team,71,58
3,6:04.0,,D. Wright enters the game for F. VanVleet,71,58
3,5:48.0,,K. Leonard misses 2-pt jump shot from 12 ft,71,58
3,5:45.0,,Offensive rebound by O. Anunoby,71,58
3,5:43.0,,O. Anunoby misses 2-pt layup from 1 ft (block by T. Young),71,58
3,5:43.0,Defensive rebound by T. Young,,71,58
3,5:39.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by V. Oladipo),,74,58
3,5:23.0,,Shooting foul by M. Turner (drawn by P. Siakam),74,58
3,5:23.0,,P. Siakam makes free throw 1 of 2,74,59
3,5:23.0,D. Sabonis enters the game for M. Turner,,74,59
3,5:23.0,,P. Siakam makes free throw 2 of 2,74,60
3,5:05.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),,77,60
3,4:54.0,,K. Leonard makes 2-pt dunk at rim (assist by D. Wright),77,62
3,4:30.0,Turnover by V. Oladipo (dbl dribble),,77,62
3,4:17.0,,D. Green misses 3-pt jump shot from 24 ft,77,62
3,4:13.0,Defensive rebound by D. Collison,,77,62
3,3:53.0,Turnover by D. Sabonis (lost ball; steal by O. Anunoby),,77,62
3,3:49.0,,O. Anunoby makes 3-pt jump shot from 25 ft (assist by P. Siakam),77,65
3,3:47.0,Indiana full timeout,,77,65
3,3:47.0,C. Joseph enters the game for B. Bogdanović,,77,65
3,3:47.0,D. McDermott enters the game for D. Collison,,77,65
3,3:47.0,,N. Powell enters the game for D. Green,77,65
3,3:25.0,V. Oladipo misses 2-pt jump shot from 8 ft (block by O. Anunoby),,77,65
3,3:21.0,,Defensive rebound by K. Leonard,77,65
3,3:12.0,,P. Siakam makes 2-pt jump shot from 4 ft (assist by O. Anunoby),77,67
3,2:55.0,D. McDermott makes 3-pt jump shot from 24 ft (assist by T. Young),,80,67
3,2:26.0,,D. Wright makes 2-pt layup from 2 ft (assist by N. Powell),80,69
3,2:09.0,V. Oladipo misses 2-pt jump shot from 19 ft,,80,69
3,2:05.0,,Defensive rebound by D. Wright,80,69
3,1:59.0,,P. Siakam misses 2-pt layup from 3 ft,80,69
3,1:56.0,Defensive rebound by C. Joseph,,80,69
3,1:36.0,D. Sabonis makes 2-pt layup from 1 ft,,82,69
3,1:17.0,,Shooting foul by D. Sabonis (drawn by P. Siakam),82,69
3,1:17.0,,P. Siakam makes free throw 1 of 2,82,70
3,1:17.0,B. Bogdanović enters the game for V. Oladipo,,82,70
3,1:17.0,T. Evans enters the game for T. Young,,82,70
3,1:17.0,,M. Richardson enters the game for K. Leonard,82,70
3,1:17.0,,P. Siakam makes free throw 2 of 2,82,71
3,1:01.0,C. Joseph makes 2-pt jump shot from 16 ft,,84,71
3,0:47.0,,N. Powell makes 2-pt layup at rim (assist by D. Wright),84,73
3,0:35.0,Turnover by B. Bogdanović (bad pass; steal by P. Siakam),,84,73
3,0:30.0,,P. Siakam makes 2-pt layup from 1 ft,84,75
3,0:10.0,B. Bogdanović misses 3-pt jump shot from 26 ft (block by D. Wright),,84,75
3,0:04.0,,Defensive rebound by N. Powell,84,75
3,0:04.0,,Turnover by N. Powell (bad pass; steal by C. Joseph),84,75
3,0:01.0,Shooting foul by P. Siakam (drawn by B. Bogdanović),,84,75
3,0:01.0,B. Bogdanović makes free throw 1 of 2,,85,75
3,0:01.0,,C. Boucher enters the game for P. Siakam,85,75
3,0:01.0,B. Bogdanović misses free throw 2 of 2,,85,75
3,0:01.0,Offensive rebound by D. Sabonis,,85,75
3,0:01.0,D. Sabonis misses 2-pt layup from 3 ft,,85,75
3,0:00.0,Offensive rebound by Team,,85,75
4,11:47.0,Turnover by D. Sabonis (3 sec),,85,75
4,11:39.0,,M. Richardson misses 3-pt jump shot from 26 ft,85,75
4,11:35.0,Defensive rebound by M. Turner,,85,75
4,11:26.0,D. Sabonis misses 2-pt hook shot from 7 ft,,85,75
4,11:21.0,,Defensive rebound by O. Anunoby,85,75
4,11:15.0,,O. Anunoby misses 2-pt layup from 2 ft,85,75
4,11:13.0,Defensive rebound by M. Turner,,85,75
4,11:03.0,Offensive foul by M. Turner (drawn by D. Wright),,85,75
4,11:03.0,Turnover by M. Turner (offensive foul),,85,75
4,11:03.0,B. Bogdanović enters the game for M. Turner,,85,75
4,10:51.0,,Turnover by D. Wright (lost ball; steal by B. Bogdanović),85,75
4,10:47.0,B. Bogdanović misses 2-pt layup from 3 ft (block by C. Boucher),,85,75
4,10:47.0,Offensive rebound by Team,,85,75
4,10:45.0,Personal foul by M. Richardson (drawn by D. McDermott),,85,75
4,10:38.0,Shooting foul by M. Richardson (drawn by D. Sabonis),,85,75
4,10:38.0,D. Sabonis makes free throw 1 of 2,,86,75
4,10:38.0,D. Sabonis misses free throw 2 of 2,,86,75
4,10:36.0,,Defensive rebound by C. Boucher,86,75
4,10:26.0,,Personal foul by T. Evans (drawn by N. Powell),86,75
4,10:26.0,,K. Leonard enters the game for O. Anunoby,86,75
4,10:14.0,,K. Leonard misses 2-pt jump shot from 19 ft,86,75
4,10:11.0,Defensive rebound by T. Evans,,86,75
4,10:08.0,T. Evans makes 2-pt layup from 2 ft,,88,75
4,10:06.0,,Toronto full timeout,88,75
4,10:06.0,,P. Siakam enters the game for C. Boucher,88,75
4,9:58.0,,Personal foul by T. Evans (drawn by P. Siakam),88,75
4,9:45.0,,D. Wright misses 2-pt jump shot from 21 ft,88,75
4,9:40.0,Defensive rebound by D. Sabonis,,88,75
4,9:25.0,T. Evans misses 2-pt layup from 3 ft,,88,75
4,9:23.0,,Defensive rebound by K. Leonard,88,75
4,9:03.0,,M. Richardson misses 2-pt layup from 2 ft,88,75
4,9:01.0,Defensive rebound by D. Sabonis,,88,75
4,8:49.0,D. Sabonis misses 2-pt hook shot from 5 ft,,88,75
4,8:46.0,,Defensive rebound by K. Leonard,88,75
4,8:44.0,,K. Leonard makes 2-pt jump shot from 12 ft,88,77
4,8:44.0,,Shooting foul by D. Sabonis (drawn by K. Leonard),88,77
4,8:44.0,V. Oladipo enters the game for B. Bogdanović,,88,77
4,8:44.0,T. Young enters the game for T. Evans,,88,77
4,8:44.0,,L. Brown enters the game for N. Powell,88,77
4,8:44.0,,D. Green enters the game for M. Richardson,88,77
4,8:44.0,,F. VanVleet enters the game for D. Wright,88,77
4,8:44.0,,K. Leonard makes free throw 1 of 1,88,78
4,8:29.0,D. McDermott misses 2-pt layup from 3 ft,,88,78
4,8:26.0,,Defensive rebound by L. Brown,88,78
4,8:24.0,,F. VanVleet makes 3-pt jump shot from 25 ft (assist by P. Siakam),88,81
4,8:24.0,Indiana full timeout,,88,81
4,8:00.0,T. Young misses 2-pt jump shot from 19 ft,,88,81
4,7:55.0,,Defensive rebound by P. Siakam,88,81
4,7:47.0,,D. Green makes 2-pt jump shot from 9 ft (assist by K. Leonard),88,83
4,7:36.0,V. Oladipo makes 2-pt jump shot from 22 ft,,90,83
4,7:08.0,,F. VanVleet misses 3-pt jump shot from 27 ft,90,83
4,7:04.0,Defensive rebound by D. McDermott,,90,83
4,6:44.0,C. Joseph misses 2-pt jump shot from 22 ft,,90,83
4,6:43.0,Offensive rebound by Team,,90,83
4,6:43.0,Turnover by Team (shot clock),,90,83
4,6:43.0,,Toronto full timeout,90,83
4,6:43.0,D. Collison enters the game for D. McDermott,,90,83
4,6:43.0,,C. Miles enters the game for D. Green,90,83
4,6:28.0,,Turnover by K. Leonard (lost ball; steal by T. Young),90,83
4,6:23.0,V. Oladipo misses 2-pt layup from 1 ft,,90,83
4,6:20.0,,Defensive rebound by K. Leonard,90,83
4,6:18.0,,F. VanVleet misses 3-pt jump shot from 26 ft,90,83
4,6:14.0,,Offensive rebound by P. Siakam,90,83
4,6:11.0,,C. Miles misses 3-pt jump shot from 24 ft,90,83
4,6:08.0,,Offensive rebound by L. Brown,90,83
4,5:54.0,,K. Leonard makes 2-pt dunk from 1 ft,90,85
4,5:43.0,V. Oladipo misses 2-pt layup from 1 ft,,90,85
4,5:41.0,,Defensive rebound by L. Brown,90,85
4,5:23.0,,F. VanVleet makes 3-pt jump shot from 25 ft (assist by L. Brown),90,88
4,5:21.0,,Toronto full timeout,90,88
