QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DETROIT_ACTION,NEW ORLEANS_SCORE,DETROIT_SCORE
1,7:41.0,J. Randle makes 2-pt dunk from 1 ft (assist by T. Frazier),,15,9
1,7:33.0,,Detroit full timeout,15,9
1,7:15.0,,B. Brown makes 2-pt layup from 2 ft (assist by A. Drummond),15,11
1,6:58.0,J. Holiday makes 2-pt jump shot from 14 ft (assist by A. Davis),,17,11
1,6:40.0,,B. Griffin misses 2-pt layup from 9 ft (block by A. Davis),17,11
1,6:40.0,Defensive rebound by S. Hill,,17,11
1,6:27.0,New Orleans full timeout,,17,11
1,6:27.0,N. Mirotić enters the game for A. Davis,,17,11
1,6:27.0,,L. Galloway enters the game for B. Brown,17,11
1,6:22.0,N. Mirotić misses 3-pt jump shot from 24 ft,,17,11
1,6:18.0,,Defensive rebound by A. Drummond,17,11
1,6:09.0,,R. Jackson misses 3-pt jump shot from 25 ft,17,11
1,6:06.0,Defensive rebound by T. Frazier,,17,11
1,5:56.0,Turnover by S. Hill (bad pass; steal by B. Griffin),,17,11
1,5:49.0,,B. Griffin makes 2-pt hook shot from 4 ft (assist by R. Jackson),17,13
1,5:28.0,N. Mirotić makes 2-pt hook shot from 8 ft,,19,13
1,5:17.0,,Turnover by B. Griffin (bad pass),19,13
1,5:17.0,E. Moore enters the game for T. Frazier,,19,13
1,5:04.0,N. Mirotić misses 3-pt jump shot from 25 ft,,19,13
1,5:00.0,,Defensive rebound by A. Drummond,19,13
1,4:52.0,,B. Griffin misses 3-pt jump shot from 26 ft,19,13
1,4:49.0,Defensive rebound by S. Hill,,19,13
1,4:41.0,N. Mirotić misses 2-pt layup from 2 ft,,19,13
1,4:39.0,,Defensive rebound by A. Drummond,19,13
1,4:36.0,,Turnover by A. Drummond (bad pass; steal by J. Holiday),19,13
1,4:30.0,J. Randle makes 2-pt dunk from 1 ft (assist by J. Holiday),,21,13
1,4:24.0,,Personal foul by N. Mirotić (drawn by B. Griffin),21,13
1,4:24.0,C. Diallo enters the game for J. Randle,,21,13
1,4:21.0,Violation by Team (kicked ball),,21,13
1,4:14.0,,B. Griffin misses 2-pt jump shot from 12 ft,21,13
1,4:09.0,Defensive rebound by C. Diallo,,21,13
1,4:02.0,J. Holiday misses 3-pt jump shot from 26 ft,,21,13
1,4:01.0,Offensive rebound by C. Diallo,,21,13
1,3:53.0,C. Diallo makes 2-pt layup from 4 ft (assist by J. Holiday),,23,13
1,3:29.0,,B. Griffin makes 2-pt hook shot from 7 ft,23,15
1,3:18.0,C. Diallo makes 2-pt layup from 1 ft (assist by J. Holiday),,25,15
1,3:18.0,,L. Kennard enters the game for G. Robinson,25,15
1,2:59.0,,L. Galloway misses 3-pt jump shot from 26 ft,25,15
1,2:53.0,Defensive rebound by J. Holiday,,25,15
1,2:50.0,Turnover by C. Diallo (bad pass),,25,15
1,2:38.0,,R. Jackson misses 3-pt jump shot from 26 ft,25,15
1,2:34.0,Defensive rebound by C. Diallo,,25,15
1,2:29.0,N. Mirotić misses 3-pt jump shot from 26 ft,,25,15
1,2:26.0,,Defensive rebound by L. Kennard,25,15
1,2:12.0,,A. Drummond misses 2-pt layup from 3 ft (block by N. Mirotić),25,15
1,2:09.0,,Offensive rebound by A. Drummond,25,15
1,2:09.0,,A. Drummond misses 2-pt layup from 4 ft,25,15
1,2:09.0,,Offensive rebound by A. Drummond,25,15
1,2:09.0,,A. Drummond misses 2-pt layup from 2 ft,25,15
1,2:07.0,Defensive rebound by C. Diallo,,25,15
1,2:02.0,Turnover by J. Holiday (bad pass; steal by R. Jackson),,25,15
1,1:56.0,,L. Galloway makes 3-pt jump shot from 23 ft (assist by R. Jackson),25,18
1,1:43.0,J. Holiday misses 2-pt layup from 2 ft (block by B. Griffin),,25,18
1,1:41.0,Offensive rebound by J. Holiday,,25,18
1,1:31.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by C. Diallo),,28,18
1,1:15.0,,L. Kennard misses 3-pt jump shot from 26 ft,28,18
1,1:13.0,Defensive rebound by C. Diallo,,28,18
1,1:02.0,E. Moore misses 2-pt jump shot from 16 ft,,28,18
1,0:59.0,,Defensive rebound by L. Kennard,28,18
1,0:48.0,,B. Griffin makes 2-pt hook shot from 8 ft,28,20
1,0:37.0,E. Moore misses 3-pt jump shot from 25 ft,,28,20
1,0:34.0,,Defensive rebound by A. Drummond,28,20
1,0:25.0,,L. Galloway misses 2-pt jump shot from 19 ft,28,20
1,0:21.0,Defensive rebound by S. Hill,,28,20
1,0:03.0,Personal take foul by R. Jackson (drawn by J. Holiday),,28,20
2,11:44.0,E. Moore misses 2-pt jump shot from 15 ft,,28,20
2,11:40.0,,Defensive rebound by Z. Pachulia,28,20
2,11:21.0,,J. Leuer misses 3-pt jump shot from 26 ft,28,20
2,11:17.0,Defensive rebound by C. Diallo,,28,20
2,10:58.0,E. Moore makes 2-pt layup from 2 ft (assist by T. Frazier),,30,20
2,10:43.0,,L. Galloway misses 3-pt jump shot from 25 ft,30,20
2,10:41.0,,Offensive rebound by J. Leuer,30,20
2,10:39.0,,Z. Pachulia makes 2-pt jump shot from 15 ft (assist by J. Leuer),30,22
2,10:25.0,Personal foul by L. Galloway (drawn by T. Frazier),,30,22
2,10:16.0,T. Frazier misses 3-pt jump shot from 26 ft,,30,22
2,10:12.0,Offensive rebound by E. Moore,,30,22
2,10:09.0,D. Miller misses 2-pt jump shot from 17 ft,,30,22
2,10:05.0,,Defensive rebound by J. Calderón,30,22
2,9:49.0,,J. Leuer makes 2-pt jump shot from 8 ft (assist by J. Calderón),30,24
2,9:28.0,N. Mirotić misses 2-pt jump shot from 20 ft,,30,24
2,9:26.0,,Defensive rebound by L. Kennard,30,24
2,9:21.0,Violation by Team (kicked ball),,30,24
2,9:21.0,J. Randle enters the game for N. Mirotić,,30,24
2,9:13.0,,L. Galloway makes 2-pt jump shot from 10 ft (assist by Z. Pachulia),30,26
2,9:02.0,J. Randle makes 2-pt layup from 2 ft (assist by D. Miller),,32,26
2,9:02.0,Shooting foul by J. Leuer (drawn by J. Randle),,32,26
2,9:02.0,J. Randle misses free throw 1 of 1,,32,26
2,9:02.0,,Defensive rebound by Z. Pachulia,32,26
2,8:38.0,,J. Leuer makes 2-pt dunk from 1 ft (assist by J. Calderón),32,28
2,8:22.0,E. Moore misses 2-pt layup from 9 ft (block by L. Kennard),,32,28
2,8:21.0,,Defensive rebound by L. Kennard,32,28
2,8:21.0,,Personal foul by E. Moore (drawn by L. Kennard),32,28
2,8:21.0,New Orleans full timeout,,32,28
2,8:09.0,,L. Kennard misses 2-pt jump shot from 17 ft,32,28
2,8:07.0,,Offensive rebound by J. Leuer,32,28
2,8:04.0,,Z. Pachulia misses 2-pt layup from 2 ft,32,28
2,8:04.0,,Offensive rebound by Z. Pachulia,32,28
2,8:04.0,,Shooting foul by C. Diallo (drawn by Z. Pachulia),32,28
2,8:04.0,,Offensive rebound by Team,32,28
2,8:04.0,,Z. Pachulia misses free throw 1 of 2,32,28
2,8:04.0,,Z. Pachulia makes free throw 2 of 2,32,29
2,7:50.0,D. Miller makes 3-pt jump shot from 26 ft (assist by T. Frazier),,35,29
2,7:36.0,,Turnover by Z. Pachulia (3 sec),35,29
2,7:24.0,Turnover by C. Diallo (offensive foul),,35,29
2,7:24.0,Offensive foul by C. Diallo (drawn by L. Kennard),,35,29
2,7:24.0,S. Hill enters the game for T. Frazier,,35,29
2,7:24.0,J. Holiday enters the game for E. Moore,,35,29
2,7:05.0,,L. Galloway makes 2-pt layup from 1 ft (assist by Z. Pachulia),35,31
2,6:51.0,J. Randle makes 2-pt jump shot from 11 ft,,37,31
2,6:38.0,,J. Calderón misses 3-pt jump shot from 26 ft,37,31
2,6:35.0,Defensive rebound by C. Diallo,,37,31
2,6:28.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by J. Randle),,40,31
2,6:16.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by J. Calderón),40,33
2,6:16.0,,Shooting foul by C. Diallo (drawn by Z. Pachulia),40,33
2,6:16.0,N. Mirotić enters the game for C. Diallo,,40,33
2,6:16.0,,Z. Pachulia makes free throw 1 of 1,40,34
2,6:07.0,J. Randle misses 2-pt layup from 5 ft,,40,34
2,6:03.0,,Defensive rebound by J. Calderón,40,34
2,5:58.0,,L. Galloway makes 2-pt jump shot from 16 ft (assist by Z. Pachulia),40,36
2,5:36.0,J. Randle makes 2-pt layup from 1 ft (assist by D. Miller),,42,36
2,5:12.0,,Shooting foul by N. Mirotić (drawn by Z. Pachulia),42,36
2,5:12.0,,Z. Pachulia misses free throw 1 of 2,42,36
2,5:12.0,,Offensive rebound by Team,42,36
2,5:12.0,,B. Griffin enters the game for J. Leuer,42,36
2,5:12.0,,Z. Pachulia misses free throw 2 of 2,42,36
2,5:10.0,Defensive rebound by N. Mirotić,,42,36
2,5:04.0,J. Holiday makes 2-pt jump shot from 12 ft,,44,36
2,4:49.0,,B. Griffin misses 2-pt hook shot from 9 ft,44,36
2,4:48.0,,Offensive rebound by Z. Pachulia,44,36
2,4:48.0,,Turnover by L. Kennard (lost ball; steal by J. Holiday),44,36
2,4:44.0,Turnover by J. Holiday (bad pass),,44,36
2,4:44.0,,Detroit full timeout,44,36
2,4:44.0,,B. Brown enters the game for L. Kennard,44,36
2,4:44.0,,A. Drummond enters the game for Z. Pachulia,44,36
2,4:31.0,,A. Drummond misses 2-pt layup from 1 ft,44,36
2,4:29.0,Defensive rebound by J. Randle,,44,36
2,4:24.0,N. Mirotić makes 3-pt jump shot from 25 ft (assist by J. Holiday),,47,36
2,3:55.0,,B. Griffin makes 3-pt jump shot from 32 ft (assist by J. Calderón),47,39
2,3:34.0,S. Hill makes 3-pt jump shot from 23 ft (assist by J. Holiday),,50,39
2,3:26.0,,B. Griffin makes 2-pt layup from 1 ft (assist by J. Calderón),50,41
2,3:15.0,N. Mirotić misses 3-pt jump shot from 27 ft,,50,41
2,3:12.0,,Defensive rebound by A. Drummond,50,41
2,2:53.0,,B. Brown makes 3-pt jump shot from 23 ft (assist by L. Galloway),50,44
2,2:32.0,D. Miller misses 3-pt jump shot from 24 ft,,50,44
2,2:30.0,,Defensive rebound by B. Griffin,50,44
2,2:12.0,,B. Griffin misses 2-pt layup from 8 ft,50,44
2,2:09.0,Defensive rebound by S. Hill,,50,44
2,2:09.0,Personal foul by J. Calderón (drawn by D. Miller),,50,44
2,2:09.0,,R. Jackson enters the game for J. Calderón,50,44
2,1:59.0,Shooting foul by A. Drummond (drawn by J. Randle),,50,44
2,1:59.0,J. Randle makes free throw 1 of 2,,51,44
2,1:59.0,E. Moore enters the game for D. Miller,,51,44
2,1:59.0,J. Randle makes free throw 2 of 2,,52,44
2,1:38.0,,B. Brown misses 2-pt layup from 3 ft,52,44
2,1:34.0,,A. Drummond makes 2-pt layup from 1 ft,52,46
2,1:34.0,,Offensive rebound by A. Drummond,52,46
2,1:28.0,Personal foul by R. Jackson (drawn by E. Moore),,52,46
2,1:28.0,E. Moore makes free throw 1 of 2,,53,46
2,1:28.0,E. Moore makes free throw 2 of 2,,54,46
2,1:11.0,,B. Griffin misses 2-pt layup from 3 ft (block by J. Randle),54,46
2,1:11.0,,Offensive rebound by L. Galloway,54,46
2,1:11.0,,L. Galloway makes 2-pt layup from 1 ft,54,48
2,1:11.0,Violation by Team (def goaltending),,54,48
2,0:54.0,J. Holiday misses 3-pt jump shot from 27 ft,,54,48
2,0:51.0,Offensive rebound by S. Hill,,54,48
2,0:46.0,Turnover by J. Randle (bad pass; steal by L. Galloway),,54,48
2,0:39.0,,B. Brown misses 2-pt layup from 5 ft,54,48
2,0:39.0,,Offensive rebound by A. Drummond,54,48
2,0:39.0,,A. Drummond makes 2-pt layup from 1 ft,54,50
2,0:31.0,J. Randle makes 2-pt layup from 1 ft,,56,50
2,0:20.0,,Offensive foul by A. Drummond (drawn by N. Mirotić),56,50
2,0:20.0,,Turnover by A. Drummond (offensive foul),56,50
2,0:20.0,D. Miller enters the game for S. Hill,,56,50
2,0:20.0,,J. Leuer enters the game for A. Drummond,56,50
2,0:02.0,J. Holiday misses 2-pt jump shot from 11 ft (block by B. Brown),,56,50
2,0:02.0,,Defensive rebound by B. Griffin,56,50
2,0:02.0,,Personal foul by J. Randle (drawn by B. Griffin),56,50
2,0:02.0,,B. Griffin misses free throw 1 of 2,56,50
2,0:02.0,,Offensive rebound by Team,56,50
2,0:02.0,,B. Griffin misses free throw 2 of 2,56,50
2,0:00.0,Defensive rebound by J. Randle,,56,50
3,11:50.0,J. Randle makes 2-pt layup from 3 ft (assist by T. Frazier),,58,50
3,11:32.0,,Turnover by B. Griffin (bad pass; steal by J. Holiday),58,50
3,11:29.0,N. Mirotić makes 2-pt layup from 1 ft (assist by T. Frazier),,60,50
3,11:29.0,,Violation by Team (def goaltending),60,50
3,11:13.0,,B. Griffin makes 3-pt jump shot from 23 ft (assist by R. Jackson),60,53
3,11:10.0,,Violation by Team (delay of game),60,53
3,10:59.0,J. Randle misses 2-pt jump shot from 22 ft,,60,53
3,10:57.0,,Defensive rebound by B. Griffin,60,53
3,10:50.0,,Offensive foul by A. Drummond (drawn by J. Randle),60,53
3,10:50.0,,Turnover by A. Drummond (offensive foul),60,53
3,10:42.0,Turnover by J. Holiday (lost ball; steal by R. Jackson),,60,53
3,10:19.0,,B. Griffin misses 2-pt jump shot from 15 ft,60,53
3,10:13.0,,Offensive rebound by A. Drummond,60,53
3,10:13.0,,A. Drummond misses 2-pt layup at rim,60,53
3,10:12.0,,Offensive rebound by A. Drummond,60,53
3,10:12.0,,A. Drummond misses 2-pt layup at rim,60,53
3,10:11.0,Defensive rebound by N. Mirotić,,60,53
3,10:08.0,N. Mirotić misses 3-pt jump shot from 31 ft,,60,53
3,10:06.0,Offensive rebound by J. Randle,,60,53
3,10:06.0,Shooting foul by B. Brown (drawn by J. Randle),,60,53
3,10:06.0,J. Randle makes free throw 1 of 2,,61,53
3,10:06.0,A. Davis enters the game for N. Mirotić,,61,53
3,10:06.0,J. Randle makes free throw 2 of 2,,62,53
3,9:54.0,,R. Jackson misses 2-pt layup from 7 ft,62,53
3,9:52.0,,Offensive rebound by A. Drummond,62,53
3,9:52.0,,A. Drummond misses 2-pt layup at rim,62,53
3,9:51.0,Defensive rebound by A. Davis,,62,53
3,9:51.0,Personal foul by B. Griffin (drawn by J. Randle),,62,53
3,9:39.0,Offensive foul by J. Holiday (drawn by B. Griffin),,62,53
3,9:39.0,Turnover by J. Holiday (offensive foul),,62,53
3,9:22.0,,G. Robinson misses 2-pt jump shot from 8 ft,62,53
3,9:17.0,,Offensive rebound by A. Drummond,62,53
3,9:17.0,,A. Drummond makes 2-pt layup at rim,62,55
3,9:06.0,J. Holiday makes 2-pt layup from 5 ft,,64,55
3,8:42.0,,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Jackson),64,58
3,8:22.0,J. Holiday makes 2-pt layup from 1 ft,,66,58
3,8:22.0,Shooting foul by G. Robinson (drawn by J. Holiday),,66,58
3,8:22.0,J. Holiday makes free throw 1 of 1,,67,58
3,8:04.0,,R. Jackson misses 2-pt jump shot from 19 ft,67,58
3,8:01.0,Defensive rebound by A. Davis,,67,58
3,7:58.0,Turnover by J. Holiday (bad pass),,67,58
3,7:40.0,,B. Griffin makes 2-pt jump shot from 22 ft,67,60
3,7:23.0,J. Randle misses 3-pt jump shot from 26 ft,,67,60
3,7:19.0,,Defensive rebound by A. Drummond,67,60
3,7:11.0,,Turnover by R. Jackson (lost ball; steal by T. Frazier),67,60
3,7:06.0,Shooting foul by R. Jackson (drawn by T. Frazier),,67,60
3,7:06.0,T. Frazier makes free throw 1 of 2,,68,60
3,7:06.0,T. Frazier makes free throw 2 of 2,,69,60
3,6:58.0,,R. Jackson misses 2-pt layup from 5 ft (block by A. Davis),69,60
3,6:56.0,Defensive rebound by A. Davis,,69,60
3,6:41.0,J. Randle makes 2-pt layup from 3 ft,,71,60
3,6:25.0,,G. Robinson misses 2-pt jump shot from 12 ft,71,60
3,6:23.0,Defensive rebound by S. Hill,,71,60
3,6:19.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by T. Frazier),,74,60
3,6:18.0,,Detroit full timeout,74,60
3,6:18.0,,J. Calderón enters the game for R. Jackson,74,60
3,6:18.0,,L. Galloway enters the game for G. Robinson,74,60
3,6:12.0,,Personal foul by T. Frazier (drawn by B. Brown),74,60
3,5:55.0,,L. Galloway misses 2-pt jump shot from 13 ft (block by A. Davis),74,60
3,5:52.0,,Offensive rebound by A. Drummond,74,60
3,5:51.0,,A. Drummond makes 2-pt layup from 1 ft,74,62
3,5:38.0,S. Hill makes 2-pt layup from 4 ft (assist by J. Randle),,76,62
3,5:24.0,,B. Brown misses 2-pt layup from 4 ft (block by A. Davis),76,62
3,5:21.0,Defensive rebound by A. Davis,,76,62
3,5:16.0,J. Randle misses 2-pt layup from 2 ft,,76,62
3,5:15.0,Offensive rebound by J. Randle,,76,62
3,5:15.0,J. Randle misses 2-pt layup from 1 ft (block by A. Drummond),,76,62
3,5:15.0,Offensive rebound by Team,,76,62
3,5:13.0,Turnover by A. Davis (lost ball; steal by J. Calderón),,76,62
3,5:07.0,,L. Galloway misses 3-pt jump shot from 23 ft,76,62
3,5:04.0,Defensive rebound by S. Hill,,76,62
3,5:03.0,Personal foul by J. Calderón (drawn by T. Frazier),,76,62
3,5:03.0,T. Frazier makes free throw 1 of 2,,77,62
3,5:03.0,N. Mirotić enters the game for J. Randle,,77,62
3,5:03.0,T. Frazier makes free throw 2 of 2,,78,62
3,4:48.0,,B. Griffin makes 3-pt jump shot from 25 ft (assist by L. Galloway),78,65
3,4:27.0,T. Frazier makes 2-pt jump shot from 9 ft (assist by A. Davis),,80,65
3,4:03.0,,A. Drummond misses 2-pt layup from 2 ft,80,65
3,4:01.0,,Offensive rebound by A. Drummond,80,65
3,4:01.0,,A. Drummond makes 2-pt layup at rim,80,67
3,3:58.0,,Violation by Team (kicked ball),80,67
3,3:58.0,E. Moore enters the game for T. Frazier,,80,67
3,3:53.0,Turnover by S. Hill (bad pass; steal by L. Galloway),,80,67
3,3:48.0,,L. Galloway misses 2-pt layup from 2 ft,80,67
3,3:45.0,Defensive rebound by E. Moore,,80,67
3,3:43.0,Offensive foul by J. Holiday (drawn by B. Griffin),,80,67
3,3:43.0,Turnover by J. Holiday (offensive foul),,80,67
3,3:43.0,D. Miller enters the game for S. Hill,,80,67
3,3:43.0,,L. Kennard enters the game for B. Brown,80,67
3,3:30.0,,Shooting foul by N. Mirotić (drawn by B. Griffin),80,67
3,3:30.0,,B. Griffin makes free throw 1 of 3,80,68
3,3:30.0,,Offensive rebound by Team,80,68
3,3:30.0,,B. Griffin misses free throw 2 of 3,80,68
3,3:30.0,,B. Griffin makes free throw 3 of 3,80,69
3,3:23.0,A. Davis misses 2-pt jump shot from 17 ft,,80,69
3,3:20.0,,Defensive rebound by B. Griffin,80,69
3,3:11.0,,L. Kennard misses 3-pt jump shot from 23 ft,80,69
3,3:09.0,Defensive rebound by N. Mirotić,,80,69
3,2:58.0,Shooting foul by J. Calderón (drawn by D. Miller),,80,69
3,2:58.0,New Orleans full timeout,,80,69
3,2:58.0,T. Frazier enters the game for J. Holiday,,80,69
3,2:58.0,D. Miller makes free throw 1 of 3,,81,69
3,2:58.0,D. Miller makes free throw 2 of 3,,82,69
3,2:58.0,D. Miller makes free throw 3 of 3,,83,69
3,2:47.0,,B. Griffin makes 2-pt layup from 2 ft (assist by J. Calderón),83,71
3,2:47.0,,Shooting foul by N. Mirotić (drawn by B. Griffin),83,71
3,2:47.0,,B. Griffin makes free throw 1 of 1,83,72
3,2:29.0,N. Mirotić makes 3-pt jump shot from 23 ft (assist by D. Miller),,86,72
3,2:09.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by J. Calderón),86,75
3,1:54.0,Turnover by D. Miller (bad pass; steal by J. Calderón),,86,75
3,1:49.0,,L. Galloway makes 3-pt jump shot from 23 ft (assist by L. Kennard),86,78
3,1:24.0,A. Davis misses 3-pt jump shot from 27 ft,,86,78
3,1:19.0,,Defensive rebound by L. Galloway,86,78
3,1:12.0,,Shooting foul by T. Frazier (drawn by L. Galloway),86,78
3,1:12.0,,L. Galloway misses free throw 1 of 3,86,78
3,1:12.0,,Offensive rebound by Team,86,78
3,1:12.0,,L. Galloway makes free throw 2 of 3,86,79
3,1:12.0,,L. Galloway makes free throw 3 of 3,86,80
3,0:52.0,N. Mirotić misses 3-pt jump shot from 27 ft,,86,80
3,0:49.0,,Defensive rebound by L. Galloway,86,80
3,0:41.0,,L. Galloway makes 2-pt layup from 4 ft (assist by B. Griffin),86,82
3,0:34.0,T. Frazier makes 2-pt layup from 2 ft,,88,82
3,0:12.0,,A. Drummond misses 2-pt layup from 3 ft,88,82
3,0:12.0,,Offensive rebound by Team,88,82
3,0:07.0,,A. Drummond makes 2-pt dunk from 1 ft,88,84
3,0:00.0,T. Frazier makes 3-pt jump shot from 27 ft,,91,84
4,11:48.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by L. Kennard),91,87
4,11:33.0,J. Randle makes 2-pt layup from 1 ft (assist by D. Miller),,93,87
4,11:21.0,,J. Leuer makes 2-pt layup from 1 ft (assist by J. Calderón),93,89
4,11:06.0,D. Miller misses 3-pt jump shot from 23 ft,,93,89
4,11:02.0,,Defensive rebound by Z. Pachulia,93,89
4,10:53.0,,J. Leuer makes 2-pt layup from 1 ft (assist by J. Calderón),93,91
4,10:53.0,New Orleans full timeout,,93,91
4,10:48.0,Personal foul by J. Leuer (drawn by N. Mirotić),,93,91
4,10:32.0,J. Holiday misses 3-pt jump shot from 23 ft,,93,91
4,10:29.0,,Defensive rebound by J. Calderón,93,91
4,10:25.0,,Z. Pachulia misses 2-pt layup from 3 ft (block by J. Randle),93,91
4,10:24.0,,Offensive rebound by Team,93,91
4,10:17.0,,L. Galloway misses 2-pt layup from 5 ft,93,91
4,10:15.0,Defensive rebound by N. Mirotić,,93,91
4,10:12.0,Turnover by J. Holiday (bad pass),,93,91
4,10:12.0,A. Davis enters the game for N. Mirotić,,93,91
4,10:00.0,,L. Galloway misses 3-pt jump shot from 27 ft,93,91
4,9:57.0,Defensive rebound by T. Frazier,,93,91
4,9:40.0,T. Frazier makes 3-pt jump shot from 26 ft (assist by J. Randle),,96,91
4,9:23.0,,L. Kennard misses 3-pt jump shot from 23 ft,96,91
4,9:19.0,Defensive rebound by J. Randle,,96,91
4,9:13.0,J. Holiday misses 3-pt jump shot from 26 ft,,96,91
4,9:09.0,,Defensive rebound by J. Leuer,96,91
4,8:56.0,,Shooting foul by J. Randle (drawn by J. Leuer),96,91
4,8:56.0,,J. Leuer misses free throw 1 of 2,96,91
4,8:56.0,,Offensive rebound by Team,96,91
4,8:56.0,,J. Leuer makes free throw 2 of 2,96,92
4,8:44.0,Personal foul by Z. Pachulia (drawn by J. Holiday),,96,92
4,8:37.0,J. Holiday makes 2-pt layup from 4 ft,,98,92
4,8:37.0,,Detroit full timeout,98,92
4,8:37.0,,B. Griffin enters the game for Z. Pachulia,98,92
4,8:24.0,,Turnover by B. Griffin (traveling),98,92
4,8:11.0,J. Holiday misses 2-pt jump shot from 17 ft,,98,92
4,8:10.0,,Defensive rebound by Team,98,92
4,8:10.0,Loose ball foul by J. Randle (drawn by J. Leuer),,98,92
4,7:50.0,,B. Griffin misses 3-pt jump shot from 24 ft,98,92
4,7:47.0,Defensive rebound by T. Frazier,,98,92
4,7:37.0,J. Randle makes 2-pt layup from 2 ft (assist by A. Davis),,100,92
4,7:25.0,,L. Galloway misses 2-pt jump shot from 16 ft,100,92
4,7:23.0,,Offensive rebound by J. Leuer,100,92
4,7:11.0,,B. Griffin makes 2-pt hook shot from 6 ft,100,94
4,6:44.0,J. Randle misses 2-pt jump shot from 10 ft,,100,94
4,6:42.0,,Defensive rebound by J. Calderón,100,94
4,6:35.0,,B. Griffin misses 3-pt jump shot from 23 ft,100,94
4,6:31.0,Defensive rebound by J. Randle,,100,94
4,6:22.0,Personal foul by J. Leuer (drawn by J. Randle),,100,94
4,6:22.0,N. Mirotić enters the game for J. Randle,,100,94
4,6:22.0,,A. Drummond enters the game for J. Calderón,100,94
4,6:22.0,,R. Jackson enters the game for J. Leuer,100,94
4,6:17.0,Turnover by J. Holiday (discontinued dribble),,100,94
4,5:53.0,,A. Drummond misses 2-pt dunk from 3 ft,100,94
4,5:51.0,Defensive rebound by A. Davis,,100,94
4,5:49.0,J. Holiday makes 2-pt layup from 5 ft (assist by A. Davis),,102,94
4,5:41.0,,Shooting foul by A. Davis (drawn by A. Drummond),102,94
4,5:41.0,,A. Drummond makes free throw 1 of 2,102,95
4,5:41.0,,A. Drummond makes free throw 2 of 2,102,96
4,5:34.0,Turnover by T. Frazier (bad pass),,102,96
4,5:19.0,,L. Galloway misses 3-pt jump shot from 28 ft,102,96
4,5:16.0,Defensive rebound by N. Mirotić,,102,96
4,5:01.0,J. Holiday makes 3-pt jump shot from 26 ft,,105,96
4,4:32.0,,R. Jackson makes 2-pt jump shot from 11 ft,105,98
4,4:18.0,A. Davis misses 2-pt jump shot from 16 ft,,105,98
4,4:14.0,,Defensive rebound by L. Kennard,105,98
4,4:03.0,,Shooting foul by J. Holiday (drawn by A. Drummond),105,98
