QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA CLIPPERS_ACTION,BROOKLYN_SCORE,LA CLIPPERS_SCORE
1,8:32.0,,Offensive rebound by Team,9,5
1,8:25.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,9,5
1,8:23.0,Defensive rebound by J. Allen,,9,5
1,8:10.0,D. Russell makes 3-pt jump shot from 25 ft (assist by C. LeVert),,12,5
1,7:57.0,,P. Beverley makes 2-pt jump shot from 14 ft (assist by I. Zubac),12,7
1,7:50.0,R. Kurucs misses 2-pt layup from 3 ft (block by I. Zubac),,12,7
1,7:47.0,Offensive rebound by J. Allen,,12,7
1,7:46.0,J. Allen makes 2-pt dunk from 2 ft,,14,7
1,7:37.0,,I. Zubac misses 2-pt hook shot from 2 ft,14,7
1,7:37.0,,Offensive rebound by Team,14,7
1,7:25.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by P. Beverley),14,10
1,7:13.0,J. Harris misses 3-pt jump shot from 26 ft,,14,10
1,7:11.0,,Defensive rebound by D. Gallinari,14,10
1,7:07.0,,Personal foul by R. Kurucs (drawn by D. Gallinari),14,10
1,6:55.0,,Turnover by I. Zubac (bad pass; steal by R. Kurucs),14,10
1,6:51.0,Turnover by R. Kurucs (lost ball; steal by D. Gallinari),,14,10
1,6:46.0,,D. Gallinari makes 2-pt jump shot from 21 ft,14,12
1,6:27.0,C. LeVert misses 2-pt layup from 2 ft,,14,12
1,6:25.0,,Defensive rebound by D. Gallinari,14,12
1,6:22.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by P. Beverley),14,14
1,6:21.0,Brooklyn full timeout,,14,14
1,6:21.0,S. Dinwiddie enters the game for C. LeVert,,14,14
1,6:06.0,J. Harris misses 2-pt jump shot from 4 ft,,14,14
1,6:03.0,,Defensive rebound by P. Beverley,14,14
1,5:55.0,,Turnover by P. Beverley (bad pass; steal by R. Kurucs),14,14
1,5:35.0,S. Dinwiddie misses 2-pt layup from 1 ft,,14,14
1,5:33.0,,Defensive rebound by I. Zubac,14,14
1,5:27.0,,D. Gallinari misses 2-pt jump shot from 15 ft,14,14
1,5:25.0,Defensive rebound by S. Dinwiddie,,14,14
1,5:15.0,Offensive foul by D. Russell (drawn by P. Beverley),,14,14
1,5:15.0,Turnover by D. Russell (offensive foul),,14,14
1,5:15.0,E. Davis enters the game for J. Allen,,14,14
1,5:15.0,,M. Harrell enters the game for L. Shamet,14,14
1,5:15.0,,L. Williams enters the game for I. Zubac,14,14
1,5:02.0,,D. Gallinari misses 3-pt jump shot from 26 ft,14,14
1,4:59.0,Defensive rebound by E. Davis,,14,14
1,4:50.0,Personal foul by P. Beverley (drawn by E. Davis),,14,14
1,4:37.0,D. Russell misses 2-pt jump shot from 20 ft,,14,14
1,4:36.0,,Defensive rebound by D. Gallinari,14,14
1,4:28.0,,M. Harrell misses 2-pt hook shot from 5 ft,14,14
1,4:26.0,Defensive rebound by J. Harris,,14,14
1,4:19.0,R. Kurucs makes 3-pt jump shot from 24 ft (assist by D. Russell),,17,14
1,4:06.0,,D. Gallinari misses 2-pt layup from 2 ft,17,14
1,4:03.0,Defensive rebound by R. Kurucs,,17,14
1,3:59.0,D. Russell makes 3-pt jump shot from 26 ft (assist by J. Harris),,20,14
1,3:58.0,,LA Clippers full timeout,20,14
1,3:58.0,D. Carroll enters the game for R. Kurucs,,20,14
1,3:58.0,T. Graham enters the game for D. Russell,,20,14
1,3:58.0,,J. Green enters the game for D. Gallinari,20,14
1,3:58.0,,G. Temple enters the game for S. Gilgeous-Alexander,20,14
1,3:43.0,,J. Green makes 2-pt hook shot from 9 ft,20,16
1,3:26.0,J. Harris makes 3-pt jump shot from 22 ft (assist by S. Dinwiddie),,23,16
1,3:14.0,,L. Williams makes 2-pt jump shot from 10 ft,23,18
1,2:59.0,S. Dinwiddie misses 2-pt jump shot from 7 ft,,23,18
1,2:57.0,,Defensive rebound by J. Green,23,18
1,2:57.0,C. LeVert enters the game for J. Harris,,23,18
1,2:57.0,,W. Chandler enters the game for P. Beverley,23,18
1,2:36.0,,L. Williams makes 2-pt jump shot from 18 ft,23,20
1,2:11.0,T. Graham misses 3-pt jump shot from 24 ft,,23,20
1,2:09.0,,Defensive rebound by J. Green,23,20
1,2:04.0,,G. Temple misses 2-pt layup from 2 ft,23,20
1,2:01.0,Defensive rebound by E. Davis,,23,20
1,1:56.0,Personal foul by J. Green (drawn by S. Dinwiddie),,23,20
1,1:47.0,C. LeVert misses 2-pt layup from 5 ft,,23,20
1,1:43.0,,Defensive rebound by G. Temple,23,20
1,1:40.0,,W. Chandler misses 3-pt jump shot from 26 ft,23,20
1,1:38.0,Defensive rebound by E. Davis,,23,20
1,1:26.0,T. Graham misses 3-pt jump shot from 28 ft,,23,20
1,1:23.0,,Defensive rebound by L. Williams,23,20
1,1:16.0,,Turnover by L. Williams (bad pass; steal by T. Graham),23,20
1,1:11.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by T. Graham),,26,20
1,0:52.0,,L. Williams misses 2-pt jump shot from 12 ft,26,20
1,0:47.0,Defensive rebound by E. Davis,,26,20
1,0:42.0,Personal foul by L. Williams (drawn by D. Carroll),,26,20
1,0:42.0,D. Carroll makes free throw 1 of 2,,27,20
1,0:42.0,D. Carroll makes free throw 2 of 2,,28,20
1,0:33.0,,Turnover by L. Williams (bad pass),28,20
1,0:29.0,Shooting foul by G. Temple (drawn by S. Dinwiddie),,28,20
1,0:29.0,S. Dinwiddie misses free throw 1 of 3,,28,20
1,0:29.0,Offensive rebound by Team,,28,20
1,0:29.0,S. Dinwiddie makes free throw 2 of 3,,29,20
1,0:29.0,S. Dinwiddie makes free throw 3 of 3,,30,20
1,0:09.0,,Shooting foul by T. Graham (drawn by L. Williams),30,20
1,0:09.0,,L. Williams makes free throw 1 of 3,30,21
1,0:09.0,,L. Williams makes free throw 2 of 3,30,22
1,0:09.0,,L. Williams makes free throw 3 of 3,30,23
1,0:09.0,J. Harris enters the game for T. Graham,,30,23
1,0:00.0,S. Dinwiddie misses 2-pt layup from 1 ft,,30,23
1,0:00.0,Offensive rebound by Team,,30,23
2,11:50.0,,Offensive foul by G. Temple (drawn by C. LeVert),30,23
2,11:50.0,,Turnover by G. Temple (offensive foul),30,23
2,11:27.0,C. LeVert makes 2-pt layup from 2 ft,,32,23
2,11:17.0,,M. Harrell misses 2-pt layup from 3 ft,32,23
2,11:16.0,Defensive rebound by T. Graham,,32,23
2,11:10.0,C. LeVert makes 2-pt jump shot from 11 ft (assist by S. Dinwiddie),,34,23
2,10:55.0,,L. Williams misses 2-pt jump shot from 13 ft,34,23
2,10:52.0,Defensive rebound by C. LeVert,,34,23
2,10:42.0,D. Carroll misses 2-pt layup from 4 ft (block by W. Chandler),,34,23
2,10:38.0,Offensive rebound by E. Davis,,34,23
2,10:37.0,E. Davis makes 2-pt layup from 2 ft,,36,23
2,10:27.0,,Shooting foul by C. LeVert (drawn by L. Williams),36,23
2,10:27.0,,L. Williams makes free throw 1 of 2,36,24
2,10:27.0,,L. Williams makes free throw 2 of 2,36,25
2,10:08.0,C. LeVert misses 3-pt jump shot from 27 ft,,36,25
2,10:08.0,,Defensive rebound by Team,36,25
2,10:00.0,,Personal foul by T. Graham (drawn by M. Harrell),36,25
2,10:00.0,D. Russell enters the game for S. Dinwiddie,,36,25
2,9:51.0,,G. Temple misses 2-pt jump shot from 12 ft,36,25
2,9:49.0,,Offensive rebound by G. Temple,36,25
2,9:39.0,,W. Chandler misses 2-pt jump shot from 18 ft,36,25
2,9:37.0,Defensive rebound by D. Russell,,36,25
2,9:32.0,Personal foul by G. Temple (drawn by D. Russell),,36,25
2,9:32.0,,P. Beverley enters the game for G. Temple,36,25
2,9:21.0,D. Russell makes 3-pt jump shot from 27 ft (assist by C. LeVert),,39,25
2,9:16.0,,Offensive foul by J. Green (drawn by C. LeVert),39,25
2,9:16.0,,Turnover by J. Green (offensive foul),39,25
2,9:16.0,,L. Shamet enters the game for W. Chandler,39,25
2,9:04.0,D. Carroll makes 3-pt jump shot from 24 ft (assist by T. Graham),,42,25
2,8:54.0,,L. Williams makes 2-pt jump shot from 2 ft,42,27
2,8:41.0,D. Russell misses 2-pt jump shot from 15 ft,,42,27
2,8:37.0,Offensive rebound by C. LeVert,,42,27
2,8:31.0,D. Carroll misses 2-pt jump shot from 11 ft,,42,27
2,8:26.0,Offensive rebound by E. Davis,,42,27
2,8:26.0,E. Davis makes 2-pt layup from 1 ft,,44,27
2,8:15.0,,J. Green misses 2-pt jump shot from 21 ft,44,27
2,8:13.0,Defensive rebound by E. Davis,,44,27
2,8:07.0,D. Carroll makes 2-pt layup from 3 ft (assist by D. Russell),,46,27
2,8:07.0,,LA Clippers full timeout,46,27
2,8:07.0,S. Dinwiddie enters the game for C. LeVert,,46,27
2,8:07.0,J. Harris enters the game for D. Russell,,46,27
2,8:07.0,,D. Gallinari enters the game for J. Green,46,27
2,7:59.0,,L. Shamet misses 3-pt jump shot from 29 ft,46,27
2,7:56.0,Defensive rebound by T. Graham,,46,27
2,7:40.0,J. Harris misses 2-pt jump shot from 7 ft,,46,27
2,7:38.0,,Defensive rebound by M. Harrell,46,27
2,7:31.0,,Personal foul by E. Davis (drawn by M. Harrell),46,27
2,7:31.0,R. Kurucs enters the game for D. Carroll,,46,27
2,7:31.0,D. Russell enters the game for T. Graham,,46,27
2,7:31.0,,S. Gilgeous-Alexander enters the game for L. Williams,46,27
2,7:21.0,,Shooting foul by E. Davis (drawn by M. Harrell),46,27
2,7:21.0,,M. Harrell makes free throw 1 of 2,46,28
2,7:21.0,,M. Harrell makes free throw 2 of 2,46,29
2,7:11.0,S. Dinwiddie misses 2-pt layup from 3 ft (block by M. Harrell),,46,29
2,7:08.0,,Defensive rebound by M. Harrell,46,29
2,7:05.0,,Personal foul by J. Harris (drawn by D. Gallinari),46,29
2,7:05.0,,D. Gallinari makes free throw 1 of 2,46,30
2,7:05.0,J. Allen enters the game for E. Davis,,46,30
2,7:05.0,,D. Gallinari makes free throw 2 of 2,46,31
2,6:56.0,R. Kurucs makes 2-pt layup from 1 ft (assist by D. Russell),,48,31
2,6:48.0,,Personal foul by J. Harris (drawn by L. Shamet),48,31
2,6:48.0,,L. Shamet makes free throw 1 of 2,48,32
2,6:48.0,D. Carroll enters the game for J. Harris,,48,32
2,6:48.0,,L. Shamet makes free throw 2 of 2,48,33
2,6:28.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,48,33
2,6:26.0,,Defensive rebound by D. Gallinari,48,33
2,6:20.0,,M. Harrell makes 2-pt layup from 2 ft (assist by D. Gallinari),48,35
2,6:01.0,Offensive foul by R. Kurucs (drawn by P. Beverley),,48,35
2,6:01.0,Turnover by R. Kurucs (offensive foul),,48,35
2,6:01.0,C. LeVert enters the game for R. Kurucs,,48,35
2,5:44.0,,M. Harrell makes 2-pt jump shot from 12 ft (assist by S. Gilgeous-Alexander),48,37
2,5:36.0,Personal foul by P. Beverley (drawn by J. Allen),,48,37
2,5:23.0,D. Russell makes 3-pt jump shot from 26 ft (assist by C. LeVert),,51,37
2,5:05.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by D. Gallinari),51,39
2,4:57.0,D. Russell misses 3-pt jump shot from 26 ft,,51,39
2,4:54.0,,Defensive rebound by D. Gallinari,51,39
2,4:48.0,,D. Gallinari makes 2-pt layup from 1 ft,51,41
2,4:48.0,Brooklyn full timeout,,51,41
2,4:48.0,T. Graham enters the game for D. Russell,,51,41
2,4:36.0,Personal foul by P. Beverley (drawn by D. Carroll),,51,41
2,4:35.0,Technical foul by D. Rivers,,51,41
2,4:35.0,S. Dinwiddie makes technical free throw,,52,41
2,4:35.0,,G. Temple enters the game for P. Beverley,52,41
2,4:17.0,S. Dinwiddie misses 3-pt jump shot from 28 ft,,52,41
2,4:15.0,,Defensive rebound by M. Harrell,52,41
2,4:11.0,,M. Harrell misses 2-pt layup from 2 ft,52,41
2,4:08.0,Defensive rebound by T. Graham,,52,41
2,4:03.0,D. Carroll misses 3-pt jump shot from 26 ft,,52,41
2,4:00.0,,Defensive rebound by D. Gallinari,52,41
2,3:54.0,,D. Gallinari makes 3-pt jump shot from 27 ft,52,44
2,3:38.0,C. LeVert misses 3-pt jump shot from 26 ft,,52,44
2,3:35.0,,Defensive rebound by M. Harrell,52,44
2,3:28.0,,M. Harrell makes 2-pt jump shot from 4 ft (assist by L. Shamet),52,46
2,3:21.0,Brooklyn full timeout,,52,46
2,3:05.0,J. Allen misses 2-pt hook shot from 5 ft,,52,46
2,3:02.0,Offensive rebound by T. Graham,,52,46
2,3:02.0,T. Graham misses 2-pt layup from 1 ft,,52,46
2,3:01.0,,Defensive rebound by D. Gallinari,52,46
2,2:51.0,,D. Gallinari makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),52,48
2,2:30.0,S. Dinwiddie misses 2-pt layup from 2 ft,,52,48
2,2:28.0,,Defensive rebound by M. Harrell,52,48
2,2:19.0,,M. Harrell makes 2-pt jump shot from 16 ft (assist by L. Shamet),52,50
2,2:04.0,Turnover by D. Carroll (out of bounds lost ball),,52,50
2,1:47.0,,D. Gallinari makes 2-pt jump shot from 20 ft (assist by S. Gilgeous-Alexander),52,52
2,1:23.0,S. Dinwiddie misses 2-pt layup from 2 ft,,52,52
2,1:21.0,,Defensive rebound by M. Harrell,52,52
2,1:18.0,,M. Harrell misses 2-pt layup from 2 ft (block by S. Dinwiddie),52,52
2,1:13.0,Defensive rebound by Team,,52,52
2,1:10.0,D. Carroll makes 2-pt layup from 2 ft (assist by T. Graham),,54,52
2,1:02.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),54,55
2,0:52.0,Shooting foul by G. Temple (drawn by S. Dinwiddie),,54,55
2,0:52.0,S. Dinwiddie makes free throw 1 of 2,,55,55
2,0:52.0,,S. Thornwell enters the game for G. Temple,55,55
2,0:52.0,S. Dinwiddie misses free throw 2 of 2,,55,55
2,0:51.0,,Defensive rebound by M. Harrell,55,55
2,0:39.0,,L. Shamet makes 3-pt jump shot from 24 ft (assist by S. Gilgeous-Alexander),55,58
2,0:31.0,C. LeVert misses 2-pt layup from 1 ft (block by M. Harrell),,55,58
2,0:31.0,Offensive rebound by Team,,55,58
2,0:24.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,55,58
2,0:21.0,,Defensive rebound by D. Gallinari,55,58
2,0:10.0,,Personal foul by T. Graham (drawn by D. Gallinari),55,58
2,0:10.0,,D. Gallinari makes free throw 1 of 2,55,59
2,0:10.0,,D. Gallinari makes free throw 2 of 2,55,60
2,0:10.0,J. Harris enters the game for T. Graham,,55,60
2,0:01.0,J. Harris misses 3-pt jump shot from 24 ft,,55,60
2,0:00.0,Offensive rebound by Team,,55,60
3,11:43.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 12 ft,55,62
3,11:32.0,D. Russell makes 2-pt jump shot from 15 ft (assist by J. Harris),,57,62
3,11:14.0,,I. Zubac misses 2-pt layup from 3 ft,57,62
3,11:12.0,,Offensive rebound by P. Beverley,57,62
3,11:08.0,,P. Beverley makes 3-pt jump shot from 23 ft,57,65
3,10:56.0,C. LeVert misses 3-pt jump shot from 25 ft,,57,65
3,10:56.0,,Defensive rebound by Team,57,65
3,10:38.0,,D. Gallinari misses 3-pt jump shot from 25 ft,57,65
3,10:34.0,Defensive rebound by J. Allen,,57,65
3,10:27.0,D. Russell makes 2-pt jump shot from 9 ft,,59,65
3,10:17.0,,Personal foul by D. Russell (drawn by S. Gilgeous-Alexander),59,65
3,10:12.0,,Personal foul by R. Kurucs (drawn by D. Gallinari),59,65
3,9:59.0,,I. Zubac misses 2-pt hook shot from 2 ft,59,65
3,9:56.0,,Offensive rebound by I. Zubac,59,65
3,9:56.0,,I. Zubac misses 2-pt layup from 1 ft (block by J. Harris),59,65
3,9:53.0,Defensive rebound by J. Harris,,59,65
3,9:52.0,Turnover by J. Harris (bad pass; steal by P. Beverley),,59,65
3,9:50.0,,D. Gallinari misses 2-pt layup from 2 ft,59,65
3,9:47.0,Defensive rebound by J. Harris,,59,65
3,9:44.0,D. Russell misses 2-pt jump shot from 6 ft,,59,65
3,9:41.0,Offensive rebound by J. Allen,,59,65
3,9:40.0,J. Allen misses 2-pt layup from 2 ft (block by I. Zubac),,59,65
3,9:38.0,,Defensive rebound by P. Beverley,59,65
3,9:38.0,,Personal foul by R. Kurucs (drawn by D. Gallinari),59,65
3,9:38.0,T. Graham enters the game for R. Kurucs,,59,65
3,9:28.0,,L. Shamet misses 3-pt jump shot from 24 ft,59,65
3,9:25.0,Defensive rebound by T. Graham,,59,65
3,9:17.0,C. LeVert makes 2-pt layup from 3 ft,,61,65
3,9:07.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),61,67
3,9:07.0,,Shooting foul by J. Allen (drawn by D. Gallinari),61,67
3,9:07.0,D. Carroll enters the game for T. Graham,,61,67
3,9:07.0,,D. Gallinari makes free throw 1 of 1,61,68
3,8:53.0,J. Allen makes 2-pt dunk from 1 ft (assist by D. Russell),,63,68
3,8:44.0,,D. Gallinari misses 3-pt jump shot from 28 ft,63,68
3,8:41.0,,Offensive rebound by I. Zubac,63,68
3,8:30.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by D. Gallinari),63,71
3,8:15.0,Offensive foul by J. Harris (drawn by P. Beverley),,63,71
3,8:15.0,Turnover by J. Harris (offensive foul),,63,71
3,8:04.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),63,74
3,8:03.0,Brooklyn full timeout,,63,74
3,7:39.0,Personal foul by I. Zubac (drawn by J. Allen),,63,74
3,7:34.0,J. Harris makes 2-pt layup from 1 ft (assist by D. Russell),,65,74
3,7:34.0,Shooting foul by L. Shamet (drawn by J. Harris),,65,74
3,7:34.0,J. Harris makes free throw 1 of 1,,66,74
3,7:19.0,,Turnover by D. Gallinari (bad pass; steal by D. Carroll),66,74
3,7:09.0,C. LeVert makes 2-pt layup from 2 ft (assist by D. Carroll),,68,74
3,6:58.0,,Turnover by S. Gilgeous-Alexander (bad pass),68,74
3,6:58.0,,LA Clippers full timeout,68,74
3,6:43.0,C. LeVert makes 2-pt layup from 2 ft,,70,74
3,6:22.0,,P. Beverley makes 2-pt jump shot from 5 ft (assist by L. Shamet),70,76
3,6:05.0,D. Russell misses 2-pt jump shot from 18 ft,,70,76
3,6:02.0,Offensive rebound by D. Carroll,,70,76
3,6:00.0,D. Carroll makes 2-pt layup from 1 ft,,72,76
3,5:43.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft,72,76
3,5:37.0,,Offensive rebound by L. Shamet,72,76
3,5:34.0,,D. Gallinari misses 3-pt jump shot from 22 ft,72,76
3,5:28.0,,Offensive rebound by I. Zubac,72,76
3,5:27.0,,I. Zubac misses 2-pt layup from 3 ft,72,76
3,5:26.0,,Offensive rebound by I. Zubac,72,76
3,5:26.0,,I. Zubac misses 2-pt layup from 1 ft,72,76
3,5:25.0,Defensive rebound by J. Allen,,72,76
3,5:18.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),,75,76
3,4:59.0,,L. Shamet misses 3-pt jump shot from 25 ft,75,76
3,4:58.0,,Offensive rebound by I. Zubac,75,76
3,4:58.0,,Personal foul by D. Carroll (drawn by I. Zubac),75,76
3,4:58.0,,I. Zubac misses free throw 1 of 2,75,76
3,4:58.0,,Offensive rebound by Team,75,76
3,4:58.0,,L. Williams enters the game for S. Gilgeous-Alexander,75,76
3,4:58.0,,I. Zubac makes free throw 2 of 2,75,77
3,4:46.0,D. Russell misses 2-pt jump shot from 17 ft,,75,77
3,4:46.0,Offensive rebound by Team,,75,77
3,4:46.0,E. Davis enters the game for J. Allen,,75,77
3,4:46.0,S. Dinwiddie enters the game for C. LeVert,,75,77
3,4:46.0,,M. Harrell enters the game for I. Zubac,75,77
3,4:38.0,D. Russell makes 2-pt jump shot from 11 ft,,77,77
3,4:26.0,,L. Williams misses 2-pt layup from 1 ft,77,77
3,4:26.0,,Offensive rebound by L. Williams,77,77
3,4:21.0,,M. Harrell misses 2-pt layup from 3 ft,77,77
3,4:21.0,Defensive rebound by D. Carroll,,77,77
3,4:15.0,D. Russell misses 3-pt jump shot from 25 ft,,77,77
3,4:12.0,Offensive rebound by E. Davis,,77,77
3,4:12.0,Shooting foul by P. Beverley (drawn by E. Davis),,77,77
3,4:12.0,E. Davis makes free throw 1 of 2,,78,77
3,4:12.0,,G. Temple enters the game for P. Beverley,78,77
3,4:12.0,E. Davis misses free throw 2 of 2,,78,77
3,4:10.0,,Defensive rebound by G. Temple,78,77
3,4:00.0,,Turnover by G. Temple (bad pass; steal by D. Russell),78,77
3,3:58.0,D. Russell makes 2-pt layup from 2 ft,,80,77
3,3:58.0,Shooting foul by L. Shamet (drawn by D. Russell),,80,77
3,3:58.0,D. Russell misses free throw 1 of 1,,80,77
3,3:56.0,,Defensive rebound by G. Temple,80,77
3,3:44.0,,L. Shamet misses 3-pt jump shot from 24 ft,80,77
3,3:41.0,Defensive rebound by S. Dinwiddie,,80,77
3,3:23.0,D. Russell makes 2-pt hook shot from 11 ft,,82,77
3,3:07.0,,M. Harrell misses 2-pt layup from 1 ft (block by E. Davis),82,77
3,3:04.0,Defensive rebound by S. Dinwiddie,,82,77
3,2:59.0,D. Russell misses 3-pt jump shot from 27 ft,,82,77
3,2:58.0,Offensive rebound by D. Carroll,,82,77
3,2:58.0,,J. Green enters the game for D. Gallinari,82,77
3,2:50.0,Turnover by D. Russell (bad pass; steal by L. Shamet),,82,77
3,2:47.0,,L. Williams misses 3-pt jump shot from 27 ft,82,77
3,2:46.0,Defensive rebound by Team,,82,77
3,2:46.0,,Loose ball foul by J. Green (drawn by S. Dinwiddie),82,77
3,2:46.0,S. Dinwiddie misses free throw 1 of 2,,82,77
3,2:46.0,Offensive rebound by Team,,82,77
3,2:46.0,T. Graham enters the game for J. Harris,,82,77
3,2:46.0,C. LeVert enters the game for D. Russell,,82,77
3,2:46.0,S. Dinwiddie misses free throw 2 of 2,,82,77
3,2:44.0,,Defensive rebound by G. Temple,82,77
3,2:29.0,,Personal foul by C. LeVert (drawn by G. Temple),82,77
3,2:29.0,,G. Temple makes free throw 1 of 2,82,78
3,2:29.0,,G. Temple makes free throw 2 of 2,82,79
3,2:17.0,C. LeVert misses 3-pt jump shot from 27 ft,,82,79
3,2:12.0,,Defensive rebound by J. Green,82,79
3,2:03.0,,M. Harrell misses 2-pt layup from 1 ft,82,79
3,2:02.0,,Offensive rebound by J. Green,82,79
3,2:02.0,,J. Green makes 2-pt layup from 1 ft,82,81
3,2:02.0,,Shooting foul by E. Davis (drawn by J. Green),82,81
3,2:02.0,,J. Green makes free throw 1 of 1,82,82
3,1:42.0,D. Carroll makes 3-pt jump shot from 27 ft (assist by C. LeVert),,85,82
3,1:25.0,,Shooting foul by E. Davis (drawn by M. Harrell),85,82
3,1:25.0,,M. Harrell makes free throw 1 of 2,85,83
3,1:25.0,,M. Harrell makes free throw 2 of 2,85,84
3,1:10.0,Shooting foul by J. Green (drawn by D. Carroll),,85,84
3,1:10.0,D. Carroll makes free throw 1 of 2,,86,84
3,1:10.0,,S. Gilgeous-Alexander enters the game for L. Shamet,86,84
3,1:10.0,D. Carroll makes free throw 2 of 2,,87,84
3,1:02.0,,Turnover by J. Green (bad pass),87,84
3,0:45.0,C. LeVert misses 2-pt jump shot from 10 ft,,87,84
3,0:42.0,,Defensive rebound by G. Temple,87,84
3,0:36.0,,G. Temple misses 3-pt jump shot from 26 ft,87,84
3,0:33.0,,Offensive rebound by J. Green,87,84
3,0:31.0,,L. Williams makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),87,87
3,0:26.0,D. Carroll misses 2-pt layup from 1 ft,,87,87
3,0:24.0,,Defensive rebound by L. Williams,87,87
3,0:04.0,,L. Williams misses 3-pt jump shot from 26 ft,87,87
3,0:01.0,Defensive rebound by D. Carroll,,87,87
4,11:43.0,Turnover by C. LeVert (lost ball; steal by G. Temple),,87,87
4,11:38.0,,G. Temple makes 2-pt layup from 1 ft (assist by L. Williams),87,89
4,11:21.0,E. Davis misses 2-pt hook shot from 4 ft,,87,89
4,11:16.0,Offensive rebound by S. Dinwiddie,,87,89
4,11:07.0,S. Dinwiddie misses 2-pt layup from 3 ft,,87,89
4,11:05.0,Offensive rebound by E. Davis,,87,89
4,11:03.0,E. Davis misses 2-pt layup from 2 ft,,87,89
4,11:03.0,,Defensive rebound by S. Gilgeous-Alexander,87,89
4,10:58.0,,Shooting foul by R. Kurucs (drawn by L. Williams),87,89
4,10:58.0,D. Russell enters the game for R. Kurucs,,87,89
4,10:58.0,,L. Williams makes free throw 1 of 2,87,90
4,10:58.0,,L. Williams makes free throw 2 of 2,87,91
