QUARTER,TIME_REMAINING,ATLANTA_ACTION,CLEVELAND_ACTION,ATLANTA_SCORE,CLEVELAND_SCORE
1,4:50.0,,Defensive rebound by K. Love,7,20
1,4:42.0,,G. Hill misses 2-pt jump shot from 13 ft (block by K. Huerter),7,20
1,4:42.0,,Offensive rebound by T. Thompson,7,20
1,4:36.0,,T. Thompson makes 2-pt hook shot from 6 ft,7,22
1,4:22.0,Personal foul by T. Thompson (drawn by J. Lin),,7,22
1,4:22.0,,J. Clarkson enters the game for G. Hill,7,22
1,4:22.0,,L. Nance enters the game for T. Thompson,7,22
1,4:12.0,D. Bembry misses 2-pt hook shot from 12 ft,,7,22
1,4:09.0,,Defensive rebound by K. Love,7,22
1,3:54.0,,Turnover by K. Love (bad pass; steal by K. Huerter),7,22
1,3:47.0,O. Spellman makes 3-pt jump shot from 25 ft (assist by D. Bembry),,10,22
1,3:33.0,,Personal foul by O. Spellman (drawn by L. Nance),10,22
1,3:33.0,T. Young enters the game for J. Lin,,10,22
1,3:27.0,,C. Osman makes 2-pt layup at rim,10,24
1,3:14.0,T. Young makes 3-pt jump shot from 30 ft (assist by K. Huerter),,13,24
1,3:03.0,,C. Osman misses 2-pt layup from 1 ft,13,24
1,3:01.0,Defensive rebound by K. Huerter,,13,24
1,2:58.0,K. Huerter makes 3-pt jump shot from 29 ft,,16,24
1,2:56.0,,Cleveland full timeout,16,24
1,2:56.0,,R. Hood enters the game for C. Osman,16,24
1,2:45.0,,J. Clarkson makes 2-pt jump shot from 18 ft,16,26
1,2:26.0,Personal foul by C. Sexton (drawn by K. Huerter),,16,26
1,2:23.0,O. Spellman makes 3-pt jump shot from 27 ft (assist by A. Poythress),,19,26
1,2:01.0,,R. Hood misses 3-pt jump shot from 23 ft,19,26
1,1:58.0,,Offensive rebound by L. Nance,19,26
1,1:54.0,,J. Clarkson makes 3-pt jump shot from 23 ft (assist by L. Nance),19,29
1,1:41.0,T. Young misses 3-pt jump shot from 29 ft,,19,29
1,1:39.0,,Defensive rebound by K. Love,19,29
1,1:38.0,,Shooting foul by D. Bembry (drawn by L. Nance),19,29
1,1:38.0,,L. Nance misses free throw 1 of 2,19,29
1,1:38.0,,Offensive rebound by Team,19,29
1,1:38.0,,S. Dekker enters the game for K. Love,19,29
1,1:38.0,,L. Nance makes free throw 2 of 2,19,30
1,1:28.0,A. Poythress makes 2-pt dunk from 3 ft (assist by T. Young),,21,30
1,1:16.0,,S. Dekker makes 2-pt dunk at rim (assist by L. Nance),21,32
1,1:09.0,Turnover by T. Young (bad pass; steal by S. Dekker),,21,32
1,1:04.0,,C. Sexton misses 2-pt jump shot from 20 ft,21,32
1,1:03.0,,Offensive rebound by Team,21,32
1,0:57.0,,J. Clarkson makes 2-pt jump shot from 8 ft,21,34
1,0:49.0,Personal foul by C. Sexton (drawn by T. Young),,21,34
1,0:34.0,D. Bembry makes 3-pt jump shot from 23 ft (assist by K. Huerter),,24,34
1,0:15.0,,C. Sexton misses 2-pt jump shot from 19 ft,24,34
1,0:12.0,Defensive rebound by K. Huerter,,24,34
1,0:00.0,T. Young misses 2-pt layup from 2 ft,,24,34
1,0:00.0,,Defensive rebound by C. Sexton,24,34
2,11:46.0,,R. Hood misses 2-pt layup from 1 ft,24,34
2,11:46.0,,Offensive rebound by Team,24,34
2,11:43.0,,R. Hood misses 2-pt jump shot from 18 ft,24,34
2,11:40.0,Defensive rebound by K. Huerter,,24,34
2,11:34.0,K. Huerter misses 3-pt jump shot from 29 ft,,24,34
2,11:34.0,Offensive rebound by Team,,24,34
2,11:34.0,,Loose ball foul by S. Dekker (drawn by A. Len),24,34
2,11:25.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),,26,34
2,11:05.0,,S. Dekker makes 3-pt jump shot from 25 ft (assist by C. Sexton),26,37
2,10:52.0,K. Huerter misses 2-pt jump shot from 12 ft,,26,37
2,10:50.0,,Defensive rebound by J. Clarkson,26,37
2,10:48.0,,Offensive foul by L. Nance (drawn by K. Bazemore),26,37
2,10:48.0,,Turnover by L. Nance (offensive foul),26,37
2,10:35.0,Personal foul by L. Nance (drawn by K. Bazemore),,26,37
2,10:29.0,T. Young makes 3-pt jump shot from 30 ft,,29,37
2,10:11.0,,L. Nance makes 2-pt jump shot from 14 ft,29,39
2,9:56.0,Turnover by V. Carter (3 sec),,29,39
2,9:56.0,,G. Hill enters the game for C. Sexton,29,39
2,9:45.0,,Personal foul by K. Huerter (drawn by J. Clarkson),29,39
2,9:41.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by L. Nance),29,42
2,9:30.0,Personal foul by G. Hill (drawn by V. Carter),,29,42
2,9:26.0,T. Young makes 3-pt jump shot from 30 ft (assist by V. Carter),,32,42
2,9:09.0,,S. Dekker makes 2-pt jump shot from 19 ft (assist by R. Hood),32,44
2,8:56.0,T. Young misses 3-pt jump shot from 27 ft,,32,44
2,8:53.0,,Defensive rebound by S. Dekker,32,44
2,8:48.0,,L. Nance makes 2-pt layup at rim (assist by S. Dekker),32,46
2,8:48.0,,Shooting foul by K. Huerter (drawn by L. Nance),32,46
2,8:48.0,J. Lin enters the game for V. Carter,,32,46
2,8:48.0,T. Prince enters the game for K. Huerter,,32,46
2,8:48.0,,L. Nance misses free throw 1 of 1,32,46
2,8:48.0,Defensive rebound by A. Len,,32,46
2,8:36.0,T. Prince misses 2-pt jump shot from 20 ft,,32,46
2,8:33.0,,Defensive rebound by S. Dekker,32,46
2,8:31.0,,Personal foul by T. Prince (drawn by L. Nance),32,46
2,8:23.0,,L. Nance misses 2-pt layup from 1 ft,32,46
2,8:20.0,Defensive rebound by A. Len,,32,46
2,8:19.0,Shooting foul by G. Hill (drawn by T. Prince),,32,46
2,8:19.0,T. Prince makes free throw 1 of 2,,33,46
2,8:19.0,,Cleveland full timeout,33,46
2,8:19.0,T. Prince makes free throw 2 of 2,,34,46
2,8:04.0,,Turnover by J. Clarkson (lost ball; steal by K. Bazemore),34,46
2,8:04.0,Personal foul by J. Clarkson (drawn by K. Bazemore),,34,46
2,8:04.0,K. Bazemore makes free throw 1 of 2,,35,46
2,8:04.0,,K. Love enters the game for J. Clarkson,35,46
2,8:04.0,,C. Osman enters the game for S. Dekker,35,46
2,8:04.0,,T. Thompson enters the game for L. Nance,35,46
2,8:04.0,K. Bazemore makes free throw 2 of 2,,36,46
2,7:41.0,,C. Osman makes 2-pt layup at rim (assist by K. Love),36,48
2,7:24.0,T. Young makes 2-pt layup from 2 ft,,38,48
2,7:24.0,,Violation by Team (def goaltending),38,48
2,7:13.0,,Personal foul by T. Prince (drawn by K. Love),38,48
2,7:07.0,,Def 3 sec tech foul by Team,38,48
2,7:07.0,,K. Love makes technical free throw,38,49
2,6:59.0,,C. Osman misses 2-pt layup at rim,38,49
2,6:55.0,Defensive rebound by K. Bazemore,,38,49
2,6:53.0,K. Bazemore makes 3-pt jump shot from 27 ft,,41,49
2,6:39.0,,T. Thompson makes 2-pt dunk from 1 ft (assist by R. Hood),41,51
2,6:19.0,T. Young makes 2-pt layup from 2 ft,,43,51
2,6:06.0,,Personal foul by T. Young (drawn by T. Thompson),43,51
2,6:06.0,,T. Thompson misses free throw 1 of 2,43,51
2,6:06.0,,Offensive rebound by Team,43,51
2,6:06.0,,C. Sexton enters the game for R. Hood,43,51
2,6:06.0,,T. Thompson makes free throw 2 of 2,43,52
2,5:50.0,T. Young makes 3-pt jump shot from 27 ft,,46,52
2,5:39.0,,K. Love misses 3-pt jump shot from 26 ft,46,52
2,5:37.0,Defensive rebound by J. Lin,,46,52
2,5:33.0,Turnover by J. Lin (lost ball; steal by K. Love),,46,52
2,5:28.0,,K. Love misses 2-pt layup from 1 ft,46,52
2,5:26.0,Defensive rebound by T. Prince,,46,52
2,5:21.0,T. Prince makes 2-pt layup from 3 ft,,48,52
2,5:11.0,,C. Osman misses 3-pt jump shot from 25 ft,48,52
2,5:10.0,Defensive rebound by A. Len,,48,52
2,5:01.0,A. Len makes 2-pt layup from 2 ft,,50,52
2,5:00.0,,Cleveland full timeout,50,52
2,5:00.0,A. Poythress enters the game for J. Lin,,50,52
2,4:48.0,,Turnover by C. Sexton (traveling),50,52
2,4:38.0,Turnover by T. Prince (bad pass; steal by C. Osman),,50,52
2,4:29.0,,G. Hill misses 2-pt layup at rim,50,52
2,4:26.0,Defensive rebound by T. Prince,,50,52
2,4:21.0,T. Prince misses 2-pt layup from 2 ft,,50,52
2,4:19.0,,Defensive rebound by K. Love,50,52
2,4:12.0,,Turnover by T. Thompson (3 sec),50,52
2,4:06.0,Personal foul by T. Thompson (drawn by A. Len),,50,52
2,4:06.0,A. Len makes free throw 1 of 2,,51,52
2,4:06.0,A. Len makes free throw 2 of 2,,52,52
2,3:43.0,,C. Osman misses 3-pt jump shot from 25 ft,52,52
2,3:40.0,,Offensive rebound by K. Love,52,52
2,3:38.0,,K. Love makes 2-pt layup from 1 ft,52,54
2,3:29.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),,54,54
2,3:14.0,,C. Sexton misses 2-pt layup from 2 ft,54,54
2,3:12.0,Defensive rebound by A. Len,,54,54
2,3:06.0,T. Prince misses 3-pt jump shot from 23 ft,,54,54
2,3:03.0,,Defensive rebound by T. Thompson,54,54
2,2:55.0,,G. Hill makes 2-pt jump shot from 19 ft,54,56
2,2:40.0,Personal foul by T. Thompson (drawn by T. Young),,54,56
2,2:40.0,T. Young makes free throw 1 of 2,,55,56
2,2:40.0,K. Huerter enters the game for T. Prince,,55,56
2,2:40.0,,L. Nance enters the game for T. Thompson,55,56
2,2:40.0,T. Young makes free throw 2 of 2,,56,56
2,2:35.0,,G. Hill makes 2-pt dunk at rim (assist by C. Sexton),56,58
2,2:17.0,Flagrant foul type 1 by C. Sexton (drawn by K. Bazemore),,56,58
2,2:17.0,K. Bazemore makes flagrant free throw 1 of 3,,57,58
2,2:17.0,K. Bazemore makes flagrant free throw 2 of 3,,58,58
2,2:17.0,K. Bazemore makes flagrant free throw 3 of 3,,59,58
2,2:17.0,,R. Hood enters the game for C. Sexton,59,58
2,1:55.0,K. Bazemore makes 2-pt layup from 1 ft (assist by A. Poythress),,61,58
2,1:41.0,,Personal foul by A. Poythress (drawn by K. Love),61,58
2,1:41.0,,K. Love makes free throw 1 of 2,61,59
2,1:41.0,,J. Clarkson enters the game for G. Hill,61,59
2,1:41.0,,K. Love misses free throw 2 of 2,61,59
2,1:38.0,Defensive rebound by A. Poythress,,61,59
2,1:24.0,A. Len misses 3-pt jump shot from 23 ft,,61,59
2,1:23.0,,Defensive rebound by C. Osman,61,59
2,1:15.0,,C. Osman misses 2-pt layup from 1 ft,61,59
2,1:12.0,Defensive rebound by K. Huerter,,61,59
2,1:07.0,K. Bazemore misses 3-pt jump shot from 26 ft,,61,59
2,1:05.0,,Defensive rebound by J. Clarkson,61,59
2,1:05.0,,Turnover by C. Osman (traveling),61,59
2,1:05.0,O. Spellman enters the game for A. Len,,61,59
2,0:48.0,K. Huerter misses 2-pt layup from 7 ft (block by C. Osman),,61,59
2,0:45.0,,Defensive rebound by K. Love,61,59
2,0:39.0,,Shooting foul by O. Spellman (drawn by J. Clarkson),61,59
2,0:39.0,,J. Clarkson misses free throw 1 of 2,61,59
2,0:39.0,,Offensive rebound by Team,61,59
2,0:39.0,,J. Clarkson makes free throw 2 of 2,61,60
2,0:34.0,T. Young makes 2-pt layup from 2 ft,,63,60
2,0:34.0,Shooting foul by R. Hood (drawn by T. Young),,63,60
2,0:34.0,T. Young makes free throw 1 of 1,,64,60
2,0:18.0,,K. Love misses 2-pt hook shot from 10 ft,64,60
2,0:16.0,Defensive rebound by K. Bazemore,,64,60
2,0:01.0,K. Bazemore misses 3-pt jump shot from 28 ft,,64,60
2,0:01.0,Offensive rebound by Team,,64,60
3,11:51.0,Violation by Team (kicked ball),,64,60
3,11:44.0,,T. Thompson makes 2-pt jump shot from 2 ft (assist by G. Hill),64,62
3,11:32.0,T. Prince makes 3-pt jump shot from 25 ft (assist by V. Carter),,67,62
3,11:22.0,,Turnover by C. Osman (traveling),67,62
3,11:12.0,K. Bazemore makes 2-pt layup from 1 ft (assist by T. Young),,69,62
3,11:02.0,,Turnover by K. Love (bad pass),69,62
3,10:49.0,T. Prince misses 3-pt jump shot from 23 ft,,69,62
3,10:46.0,,Defensive rebound by K. Love,69,62
3,10:38.0,,R. Hood makes 2-pt jump shot from 19 ft,69,64
3,10:16.0,K. Bazemore misses 3-pt jump shot from 25 ft,,69,64
3,10:11.0,Offensive rebound by T. Prince,,69,64
3,10:08.0,T. Young makes 2-pt layup from 1 ft,,71,64
3,10:00.0,,Turnover by G. Hill (lost ball; steal by V. Carter),71,64
3,9:54.0,K. Bazemore misses 3-pt jump shot from 27 ft,,71,64
3,9:51.0,Offensive rebound by K. Bazemore,,71,64
3,9:42.0,T. Young makes 2-pt layup at rim,,73,64
3,9:42.0,,Cleveland full timeout,73,64
3,9:22.0,,K. Love misses 2-pt jump shot from 9 ft (block by A. Len),73,64
3,9:17.0,,Offensive rebound by K. Love,73,64
3,9:16.0,,K. Love makes 2-pt hook shot from 9 ft,73,66
3,9:03.0,T. Prince misses 2-pt jump shot from 16 ft,,73,66
3,9:03.0,,Defensive rebound by R. Hood,73,66
3,8:51.0,,R. Hood makes 2-pt jump shot from 20 ft,73,68
3,8:28.0,V. Carter misses 3-pt jump shot from 32 ft,,73,68
3,8:26.0,,Defensive rebound by C. Osman,73,68
3,8:21.0,,C. Osman misses 2-pt layup from 2 ft (block by K. Bazemore),73,68
3,8:21.0,Defensive rebound by T. Young,,73,68
3,8:05.0,T. Prince misses 2-pt jump shot from 14 ft,,73,68
3,8:03.0,,Defensive rebound by K. Love,73,68
3,7:53.0,,K. Love misses 3-pt jump shot from 26 ft,73,68
3,7:49.0,Defensive rebound by A. Len,,73,68
3,7:42.0,A. Len makes 2-pt hook shot from 1 ft (assist by T. Young),,75,68
3,7:28.0,,K. Love misses 3-pt jump shot from 26 ft,75,68
3,7:26.0,Defensive rebound by A. Len,,75,68
3,7:19.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),,77,68
3,6:58.0,,R. Hood makes 3-pt jump shot from 26 ft,77,71
3,6:33.0,V. Carter misses 2-pt jump shot from 20 ft,,77,71
3,6:30.0,,Defensive rebound by T. Thompson,77,71
3,6:23.0,,R. Hood makes 2-pt jump shot from 20 ft,77,73
3,6:22.0,Atlanta full timeout,,77,73
3,6:22.0,,C. Sexton enters the game for G. Hill,77,73
3,6:14.0,Personal foul by K. Love (drawn by A. Len),,77,73
3,6:14.0,K. Huerter enters the game for V. Carter,,77,73
3,6:14.0,O. Spellman enters the game for T. Prince,,77,73
3,6:06.0,T. Young makes 2-pt layup from 1 ft (assist by A. Len),,79,73
3,5:52.0,,Personal foul by K. Huerter (drawn by T. Thompson),79,73
3,5:38.0,,R. Hood makes 2-pt hook shot from 7 ft,79,75
3,5:28.0,T. Young makes 3-pt jump shot from 37 ft (assist by K. Bazemore),,82,75
3,5:15.0,,C. Sexton makes 2-pt jump shot from 20 ft,82,77
3,4:57.0,Offensive foul by K. Bazemore (drawn by R. Hood),,82,77
3,4:57.0,Turnover by K. Bazemore (offensive foul),,82,77
3,4:57.0,A. Poythress enters the game for A. Len,,82,77
3,4:52.0,,Personal foul by A. Poythress (drawn by K. Love),82,77
3,4:47.0,,C. Sexton misses 2-pt jump shot from 17 ft,82,77
3,4:45.0,Defensive rebound by A. Poythress,,82,77
3,4:40.0,T. Young misses 2-pt layup from 2 ft (block by T. Thompson),,82,77
3,4:40.0,Offensive rebound by Team,,82,77
3,4:40.0,T. Prince enters the game for K. Bazemore,,82,77
3,4:37.0,T. Young misses 3-pt jump shot from 29 ft,,82,77
3,4:35.0,,Defensive rebound by K. Love,82,77
3,4:27.0,,Turnover by C. Osman (lost ball; steal by T. Prince),82,77
3,4:25.0,T. Prince makes 2-pt layup at rim (assist by O. Spellman),,84,77
3,4:25.0,Shooting foul by R. Hood (drawn by T. Prince),,84,77
3,4:25.0,J. Lin enters the game for T. Young,,84,77
3,4:25.0,T. Prince makes free throw 1 of 1,,85,77
3,4:11.0,,R. Hood makes 2-pt jump shot from 16 ft,85,79
3,4:11.0,,Personal foul by T. Prince (drawn by T. Thompson),85,79
3,4:11.0,Personal foul by T. Thompson (drawn by T. Prince),,85,79
3,4:11.0,,J. Clarkson enters the game for C. Osman,85,79
3,3:48.0,T. Prince misses 3-pt jump shot from 26 ft,,85,79
3,3:45.0,Offensive rebound by K. Huerter,,85,79
3,3:44.0,J. Lin misses 3-pt jump shot from 26 ft,,85,79
3,3:41.0,Offensive rebound by K. Huerter,,85,79
3,3:36.0,T. Prince makes 2-pt layup from 1 ft (assist by K. Huerter),,87,79
3,3:19.0,,T. Thompson misses 2-pt hook shot from 11 ft,87,79
3,3:17.0,Defensive rebound by O. Spellman,,87,79
3,3:04.0,J. Lin misses 2-pt layup from 2 ft,,87,79
3,3:02.0,,Defensive rebound by T. Thompson,87,79
3,2:56.0,,R. Hood misses 3-pt jump shot from 23 ft (block by T. Prince),87,79
3,2:52.0,Defensive rebound by A. Poythress,,87,79
3,2:42.0,T. Prince misses 2-pt jump shot from 8 ft,,87,79
3,2:39.0,,Defensive rebound by K. Love,87,79
3,2:30.0,,J. Clarkson misses 2-pt jump shot from 11 ft,87,79
3,2:26.0,Defensive rebound by K. Huerter,,87,79
3,2:23.0,A. Poythress misses 2-pt dunk from 1 ft,,87,79
3,2:17.0,,Defensive rebound by T. Thompson,87,79
3,2:15.0,,Offensive foul by K. Love (drawn by A. Poythress),87,79
3,2:15.0,,Turnover by K. Love (offensive foul),87,79
3,2:15.0,Atlanta full timeout,,87,79
3,2:15.0,,S. Dekker enters the game for R. Hood,87,79
3,2:15.0,,L. Nance enters the game for K. Love,87,79
3,2:15.0,,C. Osman enters the game for T. Thompson,87,79
3,2:06.0,K. Huerter misses 2-pt jump shot from 12 ft,,87,79
3,2:02.0,Offensive rebound by K. Huerter,,87,79
3,1:57.0,O. Spellman misses 3-pt jump shot from 24 ft,,87,79
3,1:53.0,,Defensive rebound by S. Dekker,87,79
3,1:43.0,,S. Dekker misses 3-pt jump shot from 24 ft,87,79
3,1:41.0,Defensive rebound by K. Huerter,,87,79
3,1:36.0,Shooting foul by J. Clarkson (drawn by A. Poythress),,87,79
3,1:36.0,A. Poythress misses free throw 1 of 2,,87,79
3,1:36.0,Offensive rebound by Team,,87,79
3,1:36.0,A. Poythress makes free throw 2 of 2,,88,79
3,1:23.0,,J. Clarkson misses 3-pt jump shot from 26 ft,88,79
3,1:19.0,Defensive rebound by T. Prince,,88,79
3,1:16.0,T. Prince misses 3-pt jump shot from 27 ft,,88,79
3,1:13.0,,Defensive rebound by L. Nance,88,79
3,0:58.0,,L. Nance makes 2-pt jump shot from 15 ft,88,81
3,0:43.0,J. Lin misses 2-pt jump shot from 9 ft,,88,81
3,0:41.0,,Defensive rebound by J. Clarkson,88,81
3,0:38.0,,J. Clarkson makes 2-pt jump shot from 2 ft,88,83
3,0:38.0,,Shooting foul by J. Lin (drawn by J. Clarkson),88,83
3,0:38.0,T. Young enters the game for J. Lin,,88,83
3,0:38.0,,J. Clarkson makes free throw 1 of 1,88,84
3,0:28.0,O. Spellman makes 2-pt layup from 1 ft (assist by T. Young),,90,84
3,0:16.0,,Personal foul by A. Poythress (drawn by L. Nance),90,84
3,0:16.0,,L. Nance makes free throw 1 of 2,90,85
3,0:16.0,V. Carter enters the game for A. Poythress,,90,85
3,0:16.0,,L. Nance makes free throw 2 of 2,90,86
3,0:02.0,O. Spellman makes 2-pt dunk at rim (assist by T. Young),,92,86
4,11:48.0,K. Huerter misses 3-pt jump shot from 25 ft,,92,86
4,11:46.0,,Defensive rebound by Team,92,86
4,11:30.0,,L. Nance misses 2-pt layup from 2 ft,92,86
4,11:28.0,Defensive rebound by D. Bembry,,92,86
4,11:19.0,D. Bembry makes 2-pt layup from 1 ft (assist by A. Len),,94,86
4,11:01.0,,J. Clarkson makes 2-pt jump shot from 8 ft,94,88
4,10:53.0,T. Young makes 3-pt jump shot from 31 ft,,97,88
4,10:35.0,,J. Clarkson makes 3-pt jump shot from 25 ft (assist by L. Nance),97,91
4,10:24.0,Personal foul by C. Sexton (drawn by T. Young),,97,91
4,10:17.0,T. Young makes 2-pt jump shot from 13 ft,,99,91
4,10:07.0,,C. Sexton misses 2-pt jump shot from 15 ft,99,91
4,10:05.0,Defensive rebound by A. Len,,99,91
4,10:00.0,Personal foul by L. Nance (drawn by T. Young),,99,91
4,9:54.0,T. Young misses 3-pt jump shot from 36 ft,,99,91
4,9:52.0,,Defensive rebound by L. Nance,99,91
4,9:34.0,,J. Clarkson misses 3-pt jump shot from 26 ft,99,91
4,9:31.0,Defensive rebound by D. Bembry,,99,91
4,9:25.0,K. Huerter makes 3-pt jump shot from 26 ft (assist by T. Young),,102,91
4,9:24.0,,Cleveland full timeout,102,91
4,9:18.0,,Personal foul by O. Spellman (drawn by C. Osman),102,91
4,9:07.0,,Turnover by C. Sexton (lost ball; steal by K. Huerter),102,91
4,9:03.0,D. Bembry misses 2-pt layup from 8 ft,,102,91
4,9:03.0,,Defensive rebound by Team,102,91
4,9:03.0,Loose ball foul by A. Len (drawn by J. Clarkson),,102,91
4,8:53.0,,J. Clarkson misses 2-pt jump shot from 18 ft,102,91
4,8:50.0,Defensive rebound by K. Huerter,,102,91
4,8:45.0,Shooting foul by C. Osman (drawn by O. Spellman),,102,91
4,8:45.0,O. Spellman misses free throw 1 of 2,,102,91
4,8:45.0,Offensive rebound by Team,,102,91
4,8:45.0,K. Bazemore enters the game for T. Young,,102,91
4,8:45.0,,K. Love enters the game for S. Dekker,102,91
4,8:45.0,O. Spellman makes free throw 2 of 2,,103,91
4,8:33.0,,K. Love misses 3-pt jump shot from 24 ft,103,91
4,8:30.0,Defensive rebound by K. Bazemore,,103,91
4,8:20.0,A. Len makes 2-pt dunk from 1 ft (assist by K. Bazemore),,105,91
4,8:06.0,,C. Sexton misses 2-pt layup from 1 ft,105,91
4,8:03.0,,Offensive rebound by L. Nance,105,91
4,8:03.0,,L. Nance misses 2-pt layup at rim,105,91
4,8:03.0,,Offensive rebound by C. Sexton,105,91
4,8:00.0,,C. Sexton misses 2-pt layup from 2 ft (block by A. Len),105,91
4,8:00.0,Defensive rebound by A. Len,,105,91
4,7:55.0,K. Bazemore makes 3-pt jump shot from 26 ft (assist by K. Huerter),,108,91
4,7:55.0,,Cleveland full timeout,108,91
4,7:55.0,A. Poythress enters the game for O. Spellman,,108,91
4,7:55.0,,G. Hill enters the game for L. Nance,108,91
4,7:55.0,,T. Thompson enters the game for C. Sexton,108,91
4,7:41.0,,C. Osman makes 2-pt jump shot from 18 ft,108,93
4,7:27.0,Personal foul by C. Osman (drawn by K. Huerter),,108,93
4,7:21.0,K. Bazemore makes 3-pt jump shot from 26 ft (assist by A. Len),,111,93
4,7:02.0,,G. Hill makes 3-pt jump shot from 23 ft (assist by J. Clarkson),111,96
4,6:48.0,D. Bembry makes 3-pt jump shot from 25 ft (assist by K. Bazemore),,114,96
4,6:35.0,,C. Osman misses 2-pt jump shot from 16 ft,114,96
4,6:34.0,,Offensive rebound by T. Thompson,114,96
4,6:30.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by T. Thompson),114,99
4,6:15.0,D. Bembry misses 3-pt jump shot from 23 ft,,114,99
4,6:13.0,Offensive rebound by D. Bembry,,114,99
