QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW ORLEANS_ACTION,BROOKLYN_SCORE,NEW ORLEANS_SCORE
1,5:06.0,,J. Holiday makes 2-pt dunk from 1 ft (assist by A. Davis),18,18
1,4:41.0,C. LeVert misses 2-pt layup from 3 ft,,18,18
1,4:40.0,Offensive rebound by Team,,18,18
1,4:40.0,Turnover by Team (shot clock),,18,18
1,4:40.0,,I. Clark enters the game for E. Payton,18,18
1,4:24.0,,J. Randle misses 2-pt hook shot from 7 ft,18,18
1,4:21.0,Defensive rebound by A. Crabbe,,18,18
1,4:19.0,R. Hollis-Jefferson makes 2-pt jump shot from 16 ft (assist by C. LeVert),,20,18
1,4:05.0,,Turnover by J. Holiday (bad pass; steal by S. Dinwiddie),20,18
1,3:58.0,C. LeVert makes 2-pt layup from 2 ft (assist by A. Crabbe),,22,18
1,3:49.0,,E. Moore makes 3-pt jump shot from 24 ft (assist by J. Holiday),22,21
1,3:35.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,24,21
1,3:24.0,,Shooting foul by E. Davis (drawn by J. Holiday),24,21
1,3:24.0,,J. Holiday makes free throw 1 of 2,24,22
1,3:24.0,,N. Mirotić enters the game for A. Davis,24,22
1,3:24.0,,J. Holiday makes free throw 2 of 2,24,23
1,3:18.0,Shooting foul by I. Clark (drawn by A. Crabbe),,24,23
1,3:18.0,A. Crabbe makes free throw 1 of 3,,25,23
1,3:18.0,A. Crabbe makes free throw 2 of 3,,26,23
1,3:18.0,S. Napier enters the game for C. LeVert,,26,23
1,3:18.0,A. Crabbe makes free throw 3 of 3,,27,23
1,3:07.0,,N. Mirotić misses 2-pt layup at rim,27,23
1,3:04.0,Defensive rebound by R. Hollis-Jefferson,,27,23
1,3:00.0,S. Napier misses 3-pt jump shot from 25 ft,,27,23
1,2:56.0,,Defensive rebound by J. Holiday,27,23
1,2:51.0,,J. Holiday misses 3-pt jump shot from 25 ft,27,23
1,2:48.0,Defensive rebound by E. Davis,,27,23
1,2:40.0,A. Crabbe misses 3-pt jump shot from 25 ft,,27,23
1,2:37.0,,Defensive rebound by I. Clark,27,23
1,2:33.0,,Personal foul by A. Crabbe (drawn by N. Mirotić),27,23
1,2:33.0,,N. Mirotić makes free throw 1 of 2,27,24
1,2:33.0,,S. Hill enters the game for J. Holiday,27,24
1,2:33.0,,D. Miller enters the game for E. Moore,27,24
1,2:33.0,,N. Mirotić makes free throw 2 of 2,27,25
1,2:19.0,R. Hollis-Jefferson misses 2-pt jump shot from 17 ft,,27,25
1,2:16.0,,Defensive rebound by Team,27,25
1,2:06.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by J. Randle),27,28
1,1:50.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,27,28
1,1:45.0,,Defensive rebound by N. Mirotić,27,28
1,1:40.0,,J. Randle misses 3-pt jump shot from 25 ft,27,28
1,1:34.0,Defensive rebound by S. Napier,,27,28
1,1:33.0,S. Napier makes 3-pt jump shot from 26 ft,,30,28
1,1:17.0,,I. Clark makes 2-pt jump shot from 21 ft (assist by D. Miller),30,30
1,1:00.0,Turnover by S. Dinwiddie (bad pass; steal by N. Mirotić),,30,30
1,0:52.0,,J. Randle misses 2-pt layup from 2 ft,30,30
1,0:50.0,Defensive rebound by E. Davis,,30,30
1,0:39.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft,,30,30
1,0:33.0,Offensive rebound by E. Davis,,30,30
1,0:33.0,E. Davis misses 2-pt layup from 1 ft,,30,30
1,0:32.0,,Defensive rebound by I. Clark,30,30
1,0:29.0,,D. Miller misses 3-pt jump shot from 25 ft (block by S. Dinwiddie),30,30
1,0:29.0,Violation by Team (kicked ball),,30,30
1,0:29.0,,Offensive rebound by Team,30,30
1,0:23.0,,J. Randle makes 2-pt layup from 1 ft (assist by D. Miller),30,32
1,0:02.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,30,32
1,0:02.0,,Defensive rebound by J. Randle,30,32
2,11:42.0,S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by J. Harris),,33,32
2,11:27.0,,D. Miller misses 2-pt jump shot from 23 ft,33,32
2,11:24.0,Defensive rebound by J. Harris,,33,32
2,11:18.0,Personal foul by D. Miller (drawn by S. Napier),,33,32
2,11:08.0,J. Harris makes 2-pt layup from 2 ft (assist by A. Crabbe),,35,32
2,10:52.0,,N. Mirotić misses 2-pt jump shot from 12 ft,35,32
2,10:49.0,Defensive rebound by S. Napier,,35,32
2,10:41.0,A. Crabbe misses 3-pt jump shot from 25 ft,,35,32
2,10:35.0,,Defensive rebound by D. Miller,35,32
2,10:23.0,,I. Clark makes 2-pt layup from 2 ft (assist by J. Randle),35,34
2,10:07.0,E. Davis misses 2-pt layup from 2 ft (block by N. Mirotić),,35,34
2,10:07.0,Offensive rebound by Team,,35,34
2,10:07.0,,E. Payton enters the game for D. Miller,35,34
2,10:00.0,A. Crabbe makes 2-pt jump shot from 6 ft (assist by S. Dinwiddie),,37,34
2,9:47.0,,S. Hill misses 3-pt jump shot from 26 ft,37,34
2,9:44.0,Defensive rebound by E. Davis,,37,34
2,9:34.0,S. Dinwiddie makes 3-pt jump shot from 27 ft,,40,34
2,9:11.0,,J. Randle makes 2-pt layup from 2 ft,40,36
2,8:57.0,Personal foul by E. Payton (drawn by S. Napier),,40,36
2,8:57.0,,A. Davis enters the game for J. Randle,40,36
2,8:52.0,S. Napier makes 3-pt jump shot from 27 ft (assist by E. Davis),,43,36
2,8:40.0,,E. Payton makes 2-pt layup from 1 ft,43,38
2,8:34.0,S. Dinwiddie makes 2-pt dunk from 1 ft (assist by S. Napier),,45,38
2,8:34.0,,New Orleans full timeout,45,38
2,8:34.0,,W. Johnson enters the game for N. Mirotić,45,38
2,8:21.0,,W. Johnson misses 2-pt jump shot from 16 ft,45,38
2,8:18.0,Defensive rebound by A. Crabbe,,45,38
2,8:13.0,Personal foul by I. Clark (drawn by S. Napier),,45,38
2,8:04.0,A. Crabbe misses 2-pt layup from 1 ft,,45,38
2,8:02.0,Offensive rebound by E. Davis,,45,38
2,8:00.0,E. Davis makes 2-pt layup from 2 ft,,47,38
2,7:53.0,,E. Payton misses 2-pt layup from 1 ft,47,38
2,7:53.0,Defensive rebound by S. Dinwiddie,,47,38
2,7:43.0,Turnover by S. Dinwiddie (bad pass; steal by A. Davis),,47,38
2,7:38.0,,S. Hill makes 2-pt layup from 2 ft,47,40
2,7:14.0,Personal foul by W. Johnson (drawn by A. Crabbe),,47,40
2,7:14.0,J. Allen enters the game for A. Crabbe,,47,40
2,7:14.0,J. Dudley enters the game for E. Davis,,47,40
2,7:14.0,C. LeVert enters the game for S. Dinwiddie,,47,40
2,7:14.0,D. Russell enters the game for S. Napier,,47,40
2,7:14.0,,J. Holiday enters the game for I. Clark,47,40
2,7:00.0,Turnover by Team (shot clock),,47,40
2,6:41.0,,E. Payton misses 3-pt jump shot from 25 ft,47,40
2,6:40.0,,Offensive rebound by Team,47,40
2,6:34.0,,A. Davis misses 2-pt hook shot from 3 ft,47,40
2,6:30.0,Defensive rebound by D. Russell,,47,40
2,6:19.0,Turnover by C. LeVert (lost ball; steal by W. Johnson),,47,40
2,6:16.0,,Turnover by W. Johnson (lost ball; steal by D. Russell),47,40
2,6:07.0,D. Russell makes 2-pt jump shot from 14 ft,,49,40
2,5:54.0,,A. Davis makes 3-pt jump shot from 24 ft (assist by E. Payton),49,43
2,5:43.0,Turnover by D. Russell (bad pass; steal by W. Johnson),,49,43
2,5:36.0,,A. Davis makes 2-pt layup from 2 ft (assist by S. Hill),49,45
2,5:36.0,Brooklyn full timeout,,49,45
2,5:11.0,D. Russell misses 2-pt jump shot from 19 ft,,49,45
2,5:09.0,,Defensive rebound by A. Davis,49,45
2,5:01.0,,Offensive foul by W. Johnson (drawn by C. LeVert),49,45
2,5:01.0,,Turnover by W. Johnson (offensive foul),49,45
2,4:42.0,C. LeVert misses 3-pt jump shot from 26 ft,,49,45
2,4:39.0,Offensive rebound by J. Allen,,49,45
2,4:38.0,J. Dudley makes 3-pt jump shot from 26 ft (assist by J. Allen),,52,45
2,4:20.0,,W. Johnson makes 2-pt jump shot from 13 ft (assist by E. Payton),52,47
2,4:09.0,C. LeVert misses 2-pt layup from 2 ft (block by J. Holiday),,52,47
2,4:09.0,Offensive rebound by C. LeVert,,52,47
2,4:09.0,C. LeVert misses 2-pt layup from 1 ft (block by A. Davis),,52,47
2,4:09.0,Offensive rebound by J. Allen,,52,47
2,4:08.0,J. Allen misses 2-pt layup from 2 ft (block by W. Johnson),,52,47
2,4:08.0,Offensive rebound by Team,,52,47
2,4:08.0,S. Dinwiddie enters the game for J. Dudley,,52,47
2,4:08.0,R. Hollis-Jefferson enters the game for J. Harris,,52,47
2,4:08.0,,E. Moore enters the game for S. Hill,52,47
2,3:57.0,C. LeVert misses 3-pt jump shot from 25 ft,,52,47
2,3:54.0,,Defensive rebound by E. Payton,52,47
2,3:52.0,,A. Davis misses 2-pt jump shot from 12 ft,52,47
2,3:50.0,Defensive rebound by S. Dinwiddie,,52,47
2,3:44.0,D. Russell makes 3-pt jump shot from 22 ft (assist by C. LeVert),,55,47
2,3:23.0,,E. Payton misses 2-pt layup from 1 ft,55,47
2,3:21.0,Defensive rebound by J. Allen,,55,47
2,3:18.0,Turnover by J. Allen (bad pass; steal by E. Moore),,55,47
2,3:11.0,,A. Davis misses 3-pt jump shot from 26 ft,55,47
2,3:09.0,Defensive rebound by D. Russell,,55,47
2,2:59.0,D. Russell makes 2-pt jump shot from 17 ft,,57,47
2,2:42.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by E. Payton),57,50
2,2:21.0,D. Russell makes 3-pt jump shot from 23 ft (assist by C. LeVert),,60,50
2,2:06.0,,A. Davis misses 2-pt jump shot from 17 ft,60,50
2,2:06.0,Defensive rebound by D. Russell,,60,50
2,1:57.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,60,50
2,1:53.0,,Defensive rebound by E. Moore,60,50
2,1:51.0,,Shooting foul by S. Dinwiddie (drawn by W. Johnson),60,50
2,1:51.0,,W. Johnson makes free throw 1 of 2,60,51
2,1:51.0,,W. Johnson misses free throw 2 of 2,60,51
2,1:49.0,Defensive rebound by J. Allen,,60,51
2,1:42.0,D. Russell makes 3-pt jump shot from 27 ft,,63,51
2,1:32.0,,A. Davis misses 2-pt layup from 3 ft (block by R. Hollis-Jefferson),63,51
2,1:32.0,,Offensive rebound by A. Davis,63,51
2,1:32.0,,Shooting foul by D. Russell (drawn by A. Davis),63,51
2,1:32.0,,A. Davis makes free throw 1 of 2,63,52
2,1:32.0,,A. Davis makes free throw 2 of 2,63,53
2,1:20.0,C. LeVert makes 2-pt layup from 1 ft,,65,53
2,1:20.0,Shooting foul by J. Holiday (drawn by C. LeVert),,65,53
2,1:20.0,C. LeVert makes free throw 1 of 1,,66,53
2,1:13.0,,A. Davis makes 2-pt dunk at rim (assist by E. Payton),66,55
2,0:48.0,J. Allen misses 2-pt layup from 2 ft (block by A. Davis),,66,55
2,0:48.0,Offensive rebound by Team,,66,55
2,0:48.0,Turnover by Team (shot clock),,66,55
2,0:29.0,,E. Moore makes 2-pt jump shot from 16 ft,66,57
2,0:09.0,Turnover by D. Russell (bad pass; steal by A. Davis),,66,57
2,0:03.0,,E. Moore misses 3-pt jump shot from 26 ft,66,57
2,0:01.0,,Offensive rebound by A. Davis,66,57
2,0:01.0,,A. Davis misses 2-pt jump shot from 5 ft,66,57
2,0:00.0,Defensive rebound by R. Hollis-Jefferson,,66,57
3,11:36.0,J. Allen makes 2-pt hook shot from 8 ft (assist by D. Russell),,68,57
3,11:19.0,,N. Mirotić makes 2-pt jump shot from 20 ft (assist by E. Moore),68,59
3,11:03.0,D. Russell makes 3-pt jump shot from 25 ft,,71,59
3,10:42.0,,A. Davis misses 2-pt jump shot from 15 ft,71,59
3,10:41.0,,Offensive rebound by N. Mirotić,71,59
3,10:40.0,,N. Mirotić makes 2-pt layup from 1 ft,71,61
3,10:24.0,J. Harris misses 2-pt jump shot from 13 ft (block by A. Davis),,71,61
3,10:20.0,,Defensive rebound by N. Mirotić,71,61
3,10:18.0,,N. Mirotić misses 3-pt jump shot from 29 ft,71,61
3,10:13.0,Defensive rebound by J. Allen,,71,61
3,10:08.0,C. LeVert misses 2-pt jump shot from 13 ft,,71,61
3,10:04.0,Offensive rebound by C. LeVert,,71,61
3,10:03.0,J. Harris misses 3-pt jump shot from 23 ft,,71,61
3,10:03.0,Offensive rebound by J. Allen,,71,61
3,9:57.0,D. Russell misses 3-pt jump shot from 25 ft,,71,61
3,9:55.0,,Defensive rebound by A. Davis,71,61
3,9:49.0,,E. Payton misses 2-pt layup from 1 ft,71,61
3,9:47.0,,Offensive rebound by N. Mirotić,71,61
3,9:44.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by A. Davis),71,64
3,9:18.0,C. LeVert misses 2-pt jump shot from 13 ft,,71,64
3,9:16.0,,Defensive rebound by N. Mirotić,71,64
3,9:07.0,,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),71,66
3,9:07.0,Brooklyn full timeout,,71,66
3,8:57.0,Offensive foul by J. Dudley (drawn by E. Moore),,71,66
3,8:57.0,Turnover by J. Dudley (offensive foul),,71,66
3,8:47.0,,E. Payton misses 2-pt layup from 1 ft,71,66
3,8:42.0,,Offensive rebound by A. Davis,71,66
3,8:42.0,,A. Davis misses 2-pt layup from 1 ft,71,66
3,8:41.0,Defensive rebound by J. Allen,,71,66
3,8:26.0,C. LeVert misses 2-pt layup from 2 ft,,71,66
3,8:24.0,,Defensive rebound by E. Payton,71,66
3,8:21.0,,Turnover by E. Payton (bad pass),71,66
3,8:06.0,D. Russell misses 2-pt jump shot from 6 ft,,71,66
3,8:04.0,,Defensive rebound by A. Davis,71,66
3,7:49.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by E. Payton),71,68
3,7:30.0,J. Allen makes 2-pt dunk from 1 ft (assist by C. LeVert),,73,68
3,7:15.0,,J. Holiday misses 3-pt jump shot from 26 ft,73,68
3,7:13.0,Defensive rebound by Team,,73,68
3,7:03.0,C. LeVert misses 3-pt jump shot from 25 ft,,73,68
3,7:01.0,,Defensive rebound by N. Mirotić,73,68
3,6:56.0,,E. Payton makes 2-pt layup from 3 ft,73,70
3,6:56.0,,Shooting foul by J. Allen (drawn by E. Payton),73,70
3,6:56.0,,E. Payton makes free throw 1 of 1,73,71
3,6:45.0,J. Dudley makes 3-pt jump shot from 25 ft (assist by D. Russell),,76,71
3,6:31.0,,E. Payton makes 3-pt jump shot from 27 ft (assist by A. Davis),76,74
3,6:19.0,C. LeVert misses 2-pt layup from 2 ft,,76,74
3,6:15.0,Offensive rebound by D. Russell,,76,74
3,6:06.0,D. Russell misses 3-pt jump shot from 26 ft,,76,74
3,6:02.0,,Defensive rebound by A. Davis,76,74
3,5:58.0,,Offensive foul by E. Payton (drawn by J. Dudley),76,74
3,5:58.0,,Turnover by E. Payton (offensive foul),76,74
3,5:58.0,A. Crabbe enters the game for J. Dudley,,76,74
3,5:58.0,R. Hollis-Jefferson enters the game for J. Harris,,76,74
3,5:58.0,,J. Randle enters the game for N. Mirotić,76,74
3,5:42.0,D. Russell misses 2-pt jump shot from 6 ft,,76,74
3,5:40.0,,Defensive rebound by E. Payton,76,74
3,5:35.0,,E. Moore misses 2-pt layup from 5 ft,76,74
3,5:35.0,,Offensive rebound by E. Moore,76,74
3,5:30.0,,E. Moore makes 2-pt layup from 1 ft,76,76
3,5:18.0,C. LeVert makes 3-pt jump shot from 26 ft,,79,76
3,5:08.0,,A. Davis misses 2-pt layup from 2 ft,79,76
3,5:08.0,,Offensive rebound by J. Randle,79,76
3,5:04.0,,Turnover by J. Randle (lost ball; steal by A. Crabbe),79,76
3,4:54.0,Personal foul by E. Payton (drawn by C. LeVert),,79,76
3,4:54.0,E. Davis enters the game for J. Allen,,79,76
3,4:54.0,S. Dinwiddie enters the game for D. Russell,,79,76
3,4:54.0,,I. Clark enters the game for E. Payton,79,76
3,4:47.0,C. LeVert misses 2-pt layup from 2 ft,,79,76
3,4:45.0,,Defensive rebound by J. Holiday,79,76
3,4:40.0,,J. Holiday misses 2-pt jump shot from 14 ft (block by S. Dinwiddie),79,76
3,4:40.0,Defensive rebound by R. Hollis-Jefferson,,79,76
3,4:36.0,Turnover by C. LeVert (bad pass),,79,76
3,4:27.0,,J. Holiday misses 2-pt jump shot from 8 ft,79,76
3,4:25.0,Defensive rebound by E. Davis,,79,76
3,4:14.0,E. Davis misses 2-pt layup from 2 ft (block by J. Randle),,79,76
3,4:13.0,Offensive rebound by E. Davis,,79,76
3,4:13.0,E. Davis misses 2-pt layup from 2 ft,,79,76
3,4:13.0,,Defensive rebound by Team,79,76
3,4:13.0,Loose ball foul by E. Davis (drawn by A. Davis),,79,76
3,4:13.0,,S. Hill enters the game for J. Holiday,79,76
3,3:51.0,,J. Randle misses 2-pt layup from 1 ft,79,76
3,3:51.0,Defensive rebound by Team,,79,76
3,3:40.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,82,76
3,3:30.0,,E. Moore makes 2-pt layup from 2 ft,82,78
3,3:30.0,,Shooting foul by A. Crabbe (drawn by E. Moore),82,78
3,3:30.0,S. Napier enters the game for C. LeVert,,82,78
3,3:30.0,,E. Moore makes free throw 1 of 1,82,79
3,3:18.0,A. Crabbe misses 2-pt layup from 3 ft (block by A. Davis),,82,79
3,3:17.0,Offensive rebound by E. Davis,,82,79
3,3:17.0,Shooting foul by A. Davis (drawn by E. Davis),,82,79
3,3:17.0,E. Davis misses free throw 1 of 2,,82,79
3,3:17.0,Offensive rebound by Team,,82,79
3,3:17.0,E. Davis makes free throw 2 of 2,,83,79
3,3:07.0,,I. Clark misses 2-pt layup from 2 ft,83,79
3,3:05.0,,Offensive rebound by J. Randle,83,79
3,3:04.0,,J. Randle makes 2-pt layup from 2 ft,83,81
3,2:46.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft (block by A. Davis),,83,81
3,2:42.0,Offensive rebound by E. Davis,,83,81
3,2:41.0,E. Davis makes 2-pt layup from 2 ft,,85,81
3,2:31.0,,J. Randle makes 2-pt layup from 3 ft,85,83
3,2:21.0,A. Crabbe misses 3-pt jump shot from 27 ft,,85,83
3,2:18.0,,Defensive rebound by A. Davis,85,83
3,2:12.0,,Personal foul by R. Hollis-Jefferson (drawn by J. Randle),85,83
3,2:12.0,,New Orleans full timeout,85,83
3,2:12.0,,J. Holiday enters the game for A. Davis,85,83
3,2:12.0,,N. Mirotić enters the game for E. Moore,85,83
3,2:05.0,,I. Clark makes 3-pt jump shot from 26 ft (assist by J. Holiday),85,86
3,1:52.0,Shooting foul by I. Clark (drawn by S. Napier),,85,86
3,1:52.0,S. Napier misses free throw 1 of 3,,85,86
3,1:52.0,Offensive rebound by Team,,85,86
3,1:52.0,S. Napier misses free throw 2 of 3,,85,86
3,1:52.0,Offensive rebound by Team,,85,86
3,1:52.0,S. Napier makes free throw 3 of 3,,86,86
3,1:36.0,,J. Randle misses 2-pt hook shot from 6 ft,86,86
3,1:33.0,Defensive rebound by R. Hollis-Jefferson,,86,86
3,1:26.0,S. Napier makes 2-pt layup from 2 ft (assist by R. Hollis-Jefferson),,88,86
3,1:11.0,,I. Clark makes 2-pt jump shot from 8 ft (assist by J. Randle),88,88
3,0:49.0,R. Hollis-Jefferson misses 2-pt jump shot from 6 ft,,88,88
3,0:47.0,,Defensive rebound by J. Randle,88,88
3,0:34.0,,N. Mirotić misses 2-pt jump shot from 10 ft,88,88
3,0:30.0,Defensive rebound by R. Hollis-Jefferson,,88,88
3,0:24.0,S. Napier misses 2-pt layup from 2 ft,,88,88
3,0:22.0,,Defensive rebound by N. Mirotić,88,88
3,0:14.0,,J. Holiday misses 2-pt layup from 2 ft,88,88
3,0:11.0,Defensive rebound by E. Davis,,88,88
3,0:00.0,S. Dinwiddie makes 3-pt jump shot from 26 ft,,91,88
4,11:43.0,,J. Randle misses 2-pt layup from 2 ft (block by E. Davis),91,88
4,11:43.0,,Offensive rebound by J. Randle,91,88
4,11:43.0,,J. Randle makes 2-pt layup from 1 ft,91,90
4,11:43.0,,Shooting foul by E. Davis (drawn by J. Randle),91,90
4,11:43.0,,E. Payton enters the game for N. Mirotić,91,90
4,11:43.0,,J. Randle misses free throw 1 of 1,91,90
4,11:43.0,Defensive rebound by J. Harris,,91,90
4,11:23.0,S. Napier makes 2-pt layup from 1 ft,,93,90
4,11:13.0,,J. Holiday misses 3-pt jump shot from 25 ft,93,90
4,11:11.0,Defensive rebound by E. Davis,,93,90
4,10:53.0,S. Napier misses 2-pt layup from 3 ft (block by J. Randle),,93,90
4,10:50.0,,Defensive rebound by J. Randle,93,90
4,10:50.0,,J. Randle misses 2-pt layup from 3 ft (block by A. Crabbe),93,90
4,10:47.0,,Offensive rebound by S. Hill,93,90
4,10:45.0,,S. Hill misses 2-pt jump shot from 11 ft,93,90
4,10:44.0,Defensive rebound by S. Dinwiddie,,93,90
4,10:37.0,S. Napier makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,95,90
4,10:18.0,,E. Payton makes 2-pt jump shot from 8 ft,95,92
4,10:18.0,,Shooting foul by S. Napier (drawn by E. Payton),95,92
4,10:18.0,,A. Davis enters the game for J. Randle,95,92
4,10:18.0,,E. Payton makes free throw 1 of 1,95,93
4,9:59.0,S. Dinwiddie misses 2-pt jump shot from 16 ft,,95,93
4,9:58.0,Offensive rebound by Team,,95,93
4,9:58.0,,Loose ball foul by A. Davis (drawn by E. Davis),95,93
4,9:55.0,Offensive foul by A. Crabbe (drawn by E. Payton),,95,93
4,9:55.0,Turnover by A. Crabbe (offensive foul),,95,93
4,9:48.0,,E. Payton misses 3-pt jump shot from 26 ft,95,93
4,9:43.0,Defensive rebound by A. Crabbe,,95,93
4,9:34.0,S. Napier makes 3-pt jump shot from 25 ft,,98,93
4,9:23.0,,Turnover by E. Payton (lost ball; steal by S. Napier),98,93
4,9:19.0,S. Napier misses 3-pt jump shot from 26 ft,,98,93
4,9:17.0,,Defensive rebound by Team,98,93
4,9:06.0,,A. Davis makes 2-pt jump shot from 9 ft,98,95
4,8:39.0,S. Napier misses 3-pt jump shot from 26 ft,,98,95
4,8:36.0,,Defensive rebound by A. Davis,98,95
4,8:22.0,,J. Holiday misses 2-pt layup from 3 ft,98,95
4,8:19.0,Defensive rebound by J. Harris,,98,95
4,8:14.0,Turnover by E. Davis (bad pass; steal by S. Hill),,98,95
4,8:09.0,,E. Payton makes 2-pt layup from 1 ft (assist by S. Hill),98,97
4,8:09.0,Brooklyn full timeout,,98,97
4,8:09.0,J. Dudley enters the game for S. Napier,,98,97
4,8:09.0,,E. Moore enters the game for I. Clark,98,97
4,8:09.0,,J. Randle enters the game for J. Holiday,98,97
